study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,age,age_se,c14_age,c14_age_se,c14_material
Belshe_et_al_2019,EP,EP05,single set of methods,15,16,0.492,0.07719999999999999,-8,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,16,17,0.511,0.04827,0,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,17,18,0.692,0.06164,7,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,18,19,0.605,0.043390000000000005,16,0.31799936400190804,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,19,20,0.767,0.04686,26,0.31799936400190804,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,20,21,0.767,NA,42,0.423999152002544,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,21,22,0.683,0.04570000000000001,52,0.52999894000318,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,22,23,0.522,NA,76,0.6359987280038161,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,23,24,0.556,0.05364,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,24,25,0.538,NA,NA,NA,398,4.130921946615823,seagrass_sheath
Belshe_et_al_2019,EP,EP05,single set of methods,25,26,0.586,0.04331,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,26,27,0.567,NA,NA,NA,379,4.310527248642598,seagrass_sheath
Belshe_et_al_2019,EP,EP05,single set of methods,27,28,0.675,0.05137,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,28,29,0.811,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,29,30,0.749,0.05152999999999999,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,30,31,0.589,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,31,32,0.655,0.05521,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,32,33,0.665,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,33,34,0.699,0.0528,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,34,35,0.694,NA,NA,NA,467,4.849343154722923,seagrass_sheath
Belshe_et_al_2019,EP,EP05,single set of methods,35,36,0.723,0.05145,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,36,37,0.838,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,37,38,0.824,0.04125,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,38,39,0.767,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,39,40,0.911,0.04931,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,40,41,0.82,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,41,42,0.748,0.04227,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,42,43,0.818,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,43,44,0.845,0.04106,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,44,45,0.888,NA,NA,NA,502,4.849343154722923,seagrass_sheath
Belshe_et_al_2019,EP,EP05,single set of methods,45,46,0.87,0.04365,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,46,47,0.829,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,47,48,0.874,0.04259,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,48,49,0.904,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,49,50,0.929,0.04506,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,50,51,0.942,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,51,52,0.955,0.03886,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,52,53,0.873,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,53,54,0.931,0.03679,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,54,55,0.746,NA,NA,NA,1741,5.028948456749697,seagrass_sheath
Belshe_et_al_2019,EP,EP05,single set of methods,55,56,1.202,0.03697,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,56,57,0.872,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,57,58,0.966,0.0349,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,58,59,0.92,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,59,60,0.996,0.0439,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,60,61,0.941,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,61,62,0.91,0.03493,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,62,63,0.824,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,63,64,0.89,0.04169,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,64,65,0.888,NA,NA,NA,1940,4.669737852696148,seagrass_sheath
Belshe_et_al_2019,EP,EP05,single set of methods,65,66,0.965,0.04475,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,66,67,0.891,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,67,68,0.878,0.04238,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,68,69,1.017,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,69,70,1.001,0.0467,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,70,71,0.924,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,71,72,0.988,0.03415,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,72,73,0.977,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,73,74,0.846,0.03427,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,74,75,1.049,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,75,76,0.861,0.03804,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,76,77,1.141,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,77,78,0.933,0.03453,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,78,79,0.968,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,79,80,1.245,0.03955,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,80,81,0.782,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,81,82,1.016,0.03555,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,82,83,0.774,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,83,84,0.817,0.03562,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,84,85,0.622,NA,NA,NA,1788,5.208553758776472,seagrass_sheath
Belshe_et_al_2019,EP,EP05,single set of methods,85,86,0.769,0.03127,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,86,87,0.708,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,EP,EP05,single set of methods,87,88,1.355,0.0284,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,0,1,0.1003,0.039032,-65,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,1,2,0.098,0.024358,-62,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,2,3,0.1373,0.028348,-60,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,3,4,0.1333,0.032379,-57,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,4,5,0.1866,0.060802,-55,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,5,6,0.225,0.040328,-52,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,6,7,0.2534,0.034128,-49,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,7,8,0.3329,0.026993,-46,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,8,9,0.3835,0.039116,-43,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,9,10,0.4563,0.027068,-39,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,10,11,0.5374,0.026476000000000003,-34,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,11,12,0.5752,0.023238,-30,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,12,13,0.6131,0.046634,-26,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,13,14,0.6422,0.027276,-21,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,14,15,0.8128,0.028838,-16,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,15,16,0.8207,0.043272000000000005,-10,0.31799936400190804,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,16,17,0.7281,0.027389,-1,0.31799936400190804,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,17,18,0.9641,0.022723,10,0.423999152002544,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,18,19,1.1408,0.020126,39,0.6359987280038161,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,19,20,1.0204,0.021474000000000004,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,20,21,1.0648,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,21,22,0.7143,0.022096,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,22,23,1.0759,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,23,24,1.5365,0.01205,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,24,25,1.4431,NA,NA,NA,75,4.669737852696148,seagrass_sheath
Belshe_et_al_2019,SM,SM05,single set of methods,25,26,1.2569,0.013718,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,26,27,1.2795,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,27,28,1.5139,0.017277,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,28,29,1.1866,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,29,30,1.5045,0.017462,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,30,31,1.3574,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,31,32,1.1748,0.016257,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,32,33,1.3184,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,33,34,1.3852,0.018608,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,34,35,1.3414,NA,NA,NA,105,5.028948456749697,seagrass_sheath
Belshe_et_al_2019,SM,SM05,single set of methods,35,36,1.1518,0.023724,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,36,37,1.2478,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,37,38,1.1852,0.026313,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,38,39,1.0851,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,39,40,1.0409,0.03945,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,40,41,1.2956,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,41,42,0.8286,0.039497,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,42,43,0.5222,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,43,44,0.6613,0.037464,NA,NA,366,4.490132550669373,seagrass_sheath
Belshe_et_al_2019,SM,SM05,single set of methods,44,45,1.0713,NA,NA,NA,439,4.490132550669373,seagrass_sheath
Belshe_et_al_2019,SM,SM05,single set of methods,45,46,1.107,0.035734,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,46,47,1.7021,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,47,48,0.7635,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,48,49,1.1432,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,49,50,0.7954,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,single set of methods,50,51,1.0363,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,0,1,0.3414,0.026543,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,1,2,0.2934,0.025267,-62.8,0.1271997456007632,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,2,3,0.3353,0.024557,-60.8,0.13037973924078228,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,3,4,0.36870000000000003,0.022997,-58.9,0.132499735000795,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,4,5,0.323,0.027322000000000003,-56.4,0.13673972652082045,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,5,6,0.4186,0.016555,-54.2,0.14097971804084589,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,6,7,0.4443,0.015333,-51.9,0.14521970956087135,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,7,8,0.513,0.015436,-49.3,0.14945970108089676,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,8,9,0.5048,0.012364,-46.6,0.1536996926009222,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,9,10,0.4947,0.01298,-43.3,0.15899968200095402,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,10,11,0.6039,0.014962,-39.8,0.1674796650410049,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,11,12,0.5549,0.028461,-34.7,0.17913964172107485,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,12,13,0.5227,0.022903,-30.6,0.18867962264113208,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,13,14,0.5822,0.011271,-25.5,0.20881958236125292,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,14,15,0.7235,0.012657,-19.6,0.23107953784138652,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,15,16,0.8947,0.011263,-13.2,0.2639394721215837,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,16,17,0.8084,0.008486,-7.97,0.2755994488016536,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,17,18,0.931,0.009868,-2.4,0.30103939792180623,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,18,19,0.8678,0.01051,3.89,0.3360193279620161,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,19,20,0.8796,0.014028,8.97,0.3582792834421497,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,20,21,0.7511,NA,15,0.3879592240823278,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,21,22,0.92490000000000006,0.010508,22.8,0.4441391117226649,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,22,23,1.1148,NA,39.3,0.6031387937236189,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,23,24,0.9607,0.010859,74,1.0811978376064872,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,24,25,0.8141,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,25,26,0.9187,0.009541,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,26,27,1.0665,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,27,28,1.0216,0.016143,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,28,29,0.9016,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,29,30,1.0595,0.013185,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,30,31,1.0241,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,31,32,1.2123,0.013682,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,32,33,1.2482,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,33,34,1.2143,0.015866,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,34,35,1.0788,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,35,36,1.4232,0.011619999999999998,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,36,37,1.2563,NA,NA,NA,449,5.028948456749697,seagrass_sheath
Belshe_et_al_2019,SM,SM10,single set of methods,37,38,1.2768,0.008499,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,38,39,1.2544,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,39,40,1.375,0.009377,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,40,41,1.4529,NA,NA,NA,384,5.208553758776472,seagrass_sheath
Belshe_et_al_2019,SM,SM10,single set of methods,41,42,1.1956,0.011391,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,42,43,1.3442,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,43,44,1.5046,0.006832,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,44,45,1.2858,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,45,46,1.4788,0.006854,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,46,47,1.3038,NA,NA,NA,479,4.669737852696148,seagrass_sheath
Belshe_et_al_2019,SM,SM10,single set of methods,47,48,1.306,0.006131999999999999,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,48,49,1.29,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,49,50,1.2474,0.00614,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,50,51,1.5529,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,51,52,1.3875,0.006299,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,52,53,1.386,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,53,54,1.4684,0.007462,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,54,55,1.3184,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,55,56,1.4058,0.005585,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,56,57,1.4334,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,57,58,1.4442,0.005855,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,58,59,1.5887,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,59,60,1.567,0.005207000000000001,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,60,61,1.7253,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,61,62,1.3388,0.005607,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,62,63,1.3518,NA,NA,NA,593,10.95592342363327,seagrass_sheath
Belshe_et_al_2019,SM,SM10,single set of methods,63,64,1.4459,0.006792,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,64,65,1.5843,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,65,66,1.3214,0.006294999999999999,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,66,67,1.1981,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,67,68,1.5273,0.004547,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,68,69,1.1521,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,69,70,1.1779,0.005564,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,70,71,1.4781,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,71,72,1.4758,0.006024000000000001,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,72,73,1.5683,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,73,74,1.424,0.005974,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,74,75,1.3841,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,75,76,1.253,0.005177,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,76,77,1.239,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,77,78,1.4811,0.005576,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,78,79,1.365,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,79,80,1.2626,0.006503,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,80,81,1.2817,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,81,82,1.4804,0.005881999999999999,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,82,83,1.6375,NA,NA,NA,740,6.1065802689103474,seagrass_sheath
Belshe_et_al_2019,SM,SM10,single set of methods,83,84,1.3452,0.006039,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,84,85,1.38,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,85,86,1.4339,0.005947,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,86,87,1.3637,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,87,88,1.0194,0.006531,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,88,89,1.5202,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,89,90,1.2861,0.006448000000000001,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,90,91,1.6261,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,91,92,1.8211,0.006191,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,92,93,1.3415,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,93,94,1.6178,0.006028,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,94,95,1.468,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,95,96,1.4909,0.005111,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,96,97,1.4393,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,97,98,1.6226,0.006793,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,98,99,1.2119,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,99,100,1.3856,0.005675,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,100,101,1.5548,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,101,102,1.5617,0.005503,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,102,103,1.6944,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,103,104,1.3885,0.005969,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,104,105,1.6759,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,105,106,1.5382,0.006561,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,106,107,1.356,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,107,108,1.4888,0.004991,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,108,109,1.4899,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,109,110,1.583,0.006371,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,110,111,1.3791,NA,NA,NA,NA,NA,NA
