study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Ward_et_al_2021,Tomales Bay,Tomales Bay 13,single set of methods,10,12,1.17,0.0051,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 13,single set of methods,14,16,1.16,0.0053,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 13,single set of methods,16,18,1.21,0.005600000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 13,single set of methods,18,20,1.62,0.0085,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 15,single set of methods,0,2,0.87,0.0318,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 15,single set of methods,2,4,1.3,0.0172,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 15,single set of methods,6,8,1.02,0.026600000000000002,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 15,single set of methods,8,10,1.07,0.0305,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 15,single set of methods,10,12,1.26,0.0148,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 15,single set of methods,14,16,1.26,0.0159,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 15,single set of methods,18,20,1.24,0.0089,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 17,single set of methods,0,2,0.5,0.0705,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 17,single set of methods,2,4,0.5,0.076,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 17,single set of methods,4,6,0.56,0.0699,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 17,single set of methods,6,8,0.54,0.0708,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 17,single set of methods,10,12,0.6,0.0647,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 17,single set of methods,14,16,0.55,0.073,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 17,single set of methods,18,20,0.68,0.0635,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 18,single set of methods,0,2,0.36,0.08460000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 18,single set of methods,2,4,0.46,0.087,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 18,single set of methods,4,6,0.42,0.0902,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 18,single set of methods,6,8,0.51,0.0755,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 18,single set of methods,10,12,0.48,0.0693,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 18,single set of methods,14,16,0.63,0.0824,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 18,single set of methods,18,20,0.58,0.0929,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 19,single set of methods,0,2,2.11,0.0144,0.00387
Ward_et_al_2021,Bodega Bay,Bodega Bay 19,single set of methods,2,4,2.83,0.0091,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 19,single set of methods,6,8,2.6,0.0137,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 19,single set of methods,10,12,2.52,0.0242,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 19,single set of methods,12,14,2.59,0.030600000000000002,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 19,single set of methods,14,16,2.74,0.0248,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 19,single set of methods,18,20,2.77,0.019299999999999998,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 20,single set of methods,0,2,1.19,0.0235,0.00674
Ward_et_al_2021,Bodega Bay,Bodega Bay 20,single set of methods,2,4,2.89,0.0178,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 20,single set of methods,4,6,2.39,0.0155,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 20,single set of methods,6,8,2.66,0.02,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 20,single set of methods,8,10,2.49,0.0171,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 20,single set of methods,10,12,2.66,0.0184,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 20,single set of methods,12,14,2.86,0.018500000000000003,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 20,single set of methods,14,16,2.96,0.0297,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 21,single set of methods,0,2,1.68,0.023700000000000002,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 21,single set of methods,2,4,2.22,0.013600000000000001,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 21,single set of methods,4,6,2.77,0.0131,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 21,single set of methods,6,8,2.74,0.011699999999999999,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 21,single set of methods,8,10,2.8,0.0113,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 21,single set of methods,10,12,2.76,0.0129,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 21,single set of methods,12,14,3.17,0.0154,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 21,single set of methods,14.25,16.25,4.38,0.0152,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 22,single set of methods,0,2,2.2,0.0127,0.0023699999999999997
Ward_et_al_2021,Bodega Bay,Bodega Bay 22,single set of methods,2,4,2.68,0.0096,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 22,single set of methods,4,6,3,0.0106,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 22,single set of methods,8,10,2.23,0.0108,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 22,single set of methods,12,14,2.78,0.0129,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 22,single set of methods,14,16,2.68,0.0176,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 22,single set of methods,16,18,2.62,0.0147,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 23,single set of methods,0,2,1.77,0.0146,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 23,single set of methods,2,4,2.33,0.0149,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 23,single set of methods,4,6,2.57,0.0131,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 23,single set of methods,8,10,2.62,0.0134,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 23,single set of methods,12,14,2.7,0.0131,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 23,single set of methods,16,18,2.81,0.0144,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 24,single set of methods,0,2,1.74,0.0141,0.00497
Ward_et_al_2021,Bodega Bay,Bodega Bay 24,single set of methods,4,6,2.57,0.0173,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 24,single set of methods,8,10,2.74,0.0132,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 24,single set of methods,12,14,2.56,0.0166,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 24,single set of methods,16,18,2.87,0.013000000000000001,NA
Ward_et_al_2021,Bodega Bay,Bodega Bay 24,single set of methods,18,20,2.86,0.011000000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 25,single set of methods,0,2,3.01,0.0171,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 25,single set of methods,2,4,2.48,0.0095,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 25,single set of methods,4,6,2.22,0.0106,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 25,single set of methods,6,8,2.54,0.0105,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 25,single set of methods,10,12,2.56,0.0121,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 25,single set of methods,12,14,2.89,0.0096,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 25,single set of methods,14,16,3.24,0.009000000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 25,single set of methods,16,18,3.01,0.0091,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 26,single set of methods,0,2,2.36,0.0196,0.00716
Ward_et_al_2021,Tomales Bay,Tomales Bay 26,single set of methods,2,4,2.51,0.0174,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 26,single set of methods,6,8,2.4,0.0149,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 26,single set of methods,10,12,2.65,0.0182,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 26,single set of methods,14,16,3,0.0154,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 26,single set of methods,18,20,2.37,0.0079,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 27,single set of methods,0,2,1.88,0.015,0.00418
Ward_et_al_2021,Tomales Bay,Tomales Bay 27,single set of methods,2,4,2.5,0.0147,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 27,single set of methods,4,6,2.22,0.0144,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 27,single set of methods,8,10,2.26,0.0131,0.00381
Ward_et_al_2021,Tomales Bay,Tomales Bay 27,single set of methods,12,14,2.7,0.011399999999999999,0.00262
Ward_et_al_2021,Tomales Bay,Tomales Bay 27,single set of methods,16,18,2.39,0.009899999999999999,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 27,single set of methods,18,20,2.76,0.009399999999999999,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 28,single set of methods,0,2,2.28,0.0152,0.00532
Ward_et_al_2021,Tomales Bay,Tomales Bay 28,single set of methods,2,4,2.23,0.0215,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 28,single set of methods,4,6,2.19,0.012199999999999999,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 28,single set of methods,8,10,2.97,0.0083,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 28,single set of methods,12,14,2.7,0.0151,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 28,single set of methods,16,18,2.79,0.009300000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 29,single set of methods,0,2,2.45,0.0101,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 29,single set of methods,2,4,2.57,0.0115,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 29,single set of methods,4,6,2.25,0.0115,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 29,single set of methods,8,10,2.87,0.0054,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 29,single set of methods,12,14,2.8,0.0067,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 29,single set of methods,14,16,2.82,0.0059,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 29,single set of methods,16,18,2.68,0.0058,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 29,single set of methods,18,20,2.91,0.0058,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 30,single set of methods,0,2,2.96,0.0088,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 30,single set of methods,2,4,2.73,0.0069,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 30,single set of methods,4,6,2.69,0.0067,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 30,single set of methods,8,10,2.88,0.0052,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 30,single set of methods,10,12,2.62,0.005,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 30,single set of methods,12,14,2.8,0.0051,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 30,single set of methods,14,16,2.9,0.0046,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 30,single set of methods,16,18,3.08,0.005,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 33,single set of methods,0,2,0.88,0.0161,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 33,single set of methods,2,4,0.65,0.019799999999999998,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 33,single set of methods,4,6,0.74,0.0233,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 33,single set of methods,6,8,0.95,0.018500000000000003,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 33,single set of methods,8,10,0.99,0.0144,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 33,single set of methods,10,12,1.2,0.0212,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 33,single set of methods,12,14,1.58,0.024900000000000002,NA
Ward_et_al_2021,Newport Bay,Newport Bay 36,single set of methods,0,2,0.631,0.0983,NA
Ward_et_al_2021,Newport Bay,Newport Bay 36,single set of methods,2,4,0.526,0.0971,NA
Ward_et_al_2021,Newport Bay,Newport Bay 36,single set of methods,4,6,0.565,0.10220000000000001,NA
Ward_et_al_2021,Newport Bay,Newport Bay 36,single set of methods,6,8,0.643,0.0975,NA
Ward_et_al_2021,Newport Bay,Newport Bay 36,single set of methods,8,10,0.615,0.0992,NA
Ward_et_al_2021,Newport Bay,Newport Bay 36,single set of methods,10,12,0.66,0.0933,NA
Ward_et_al_2021,Newport Bay,Newport Bay 36,single set of methods,12,14,0.72,0.09519999999999999,NA
Ward_et_al_2021,Newport Bay,Newport Bay 36,single set of methods,14,16,0.578,0.0955,NA
Ward_et_al_2021,Newport Bay,Newport Bay 36,single set of methods,16,18,0.513,0.0946,NA
Ward_et_al_2021,Newport Bay,Newport Bay 37,single set of methods,0,2,0.244,0.1039,NA
Ward_et_al_2021,Newport Bay,Newport Bay 37,single set of methods,2,4,0.396,0.1112,NA
Ward_et_al_2021,Newport Bay,Newport Bay 37,single set of methods,4,6,0.534,0.1081,NA
Ward_et_al_2021,Newport Bay,Newport Bay 37,single set of methods,6,8,0.4,0.10460000000000001,NA
Ward_et_al_2021,Newport Bay,Newport Bay 37,single set of methods,8,10,0.762,0.1002,NA
Ward_et_al_2021,Newport Bay,Newport Bay 38,single set of methods,0,2,0.814,0.0796,NA
Ward_et_al_2021,Newport Bay,Newport Bay 38,single set of methods,2,4,0.637,0.07769999999999999,NA
Ward_et_al_2021,Newport Bay,Newport Bay 38,single set of methods,4,6,0.696,0.0775,NA
Ward_et_al_2021,Newport Bay,Newport Bay 38,single set of methods,6,8,0.779,0.0788,NA
Ward_et_al_2021,Newport Bay,Newport Bay 38,single set of methods,8,10,0.908,0.07400000000000001,0.01729
Ward_et_al_2021,Newport Bay,Newport Bay 38,single set of methods,10,12,0.759,0.07339999999999999,NA
Ward_et_al_2021,Newport Bay,Newport Bay 38,single set of methods,12,14,0.799,0.0732,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,0,2,0.448,0.0693,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,2,4,0.649,0.0698,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,4,6,0.684,0.0708,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,6,8,0.79,0.07,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,8,10,0.855,0.0704,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,10,12,0.789,0.0728,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,12,14,0.887,0.0697,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,14,16,0.88,0.068,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,16,18,1.048,0.0707,NA
Ward_et_al_2021,Newport Bay,Newport Bay 39,single set of methods,18,20,0.767,0.0679,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,single set of methods,0,2,0.417,0.3791,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,single set of methods,2,4,0.387,0.4521,0.121476
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,single set of methods,4,6,0.97,0.0755,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,single set of methods,6,8,0.819,0.12140000000000001,0.03904527034
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,single set of methods,8,10,0.753,0.1777,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,single set of methods,10,12,0.972,0.13970000000000002,0.030355477290000002
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,single set of methods,12,14,0.943,0.1197,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,single set of methods,14,16,1.145,0.1101,0.036065
Ward_et_al_2021,Tomales Bay,Tomales Bay 40,single set of methods,16,18,0.946,0.08410000000000001,0.01683191198
Ward_et_al_2021,Tomales Bay,Tomales Bay 41,single set of methods,0,2,0.307,0.4194,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 41,single set of methods,2,4,0.341,0.3436,0.023344
Ward_et_al_2021,Tomales Bay,Tomales Bay 41,single set of methods,4,6,0.314,0.3961,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 41,single set of methods,6,8,0.687,0.1065,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 41,single set of methods,8,10,0.488,0.1991,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 41,single set of methods,10,12,0.537,0.24969999999999998,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 41,single set of methods,12,14,0.811,0.1165,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 41,single set of methods,14,16,1,0.0929,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,single set of methods,0,2,0.304,0.14730000000000001,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,single set of methods,2,4,0.397,0.17579999999999998,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,single set of methods,4,6,0.554,0.1563,0.05533072607
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,single set of methods,6,8,0.475,0.1454,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,single set of methods,8,10,0.637,0.1297,NA
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,single set of methods,10,12,0.707,0.0935,0.027860999999999997
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,single set of methods,12,14,0.893,0.0735,0.028813
Ward_et_al_2021,Tomales Bay,Tomales Bay 42,single set of methods,14,16,1.017,0.11130000000000001,0.036065
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,0,2,0.2822,0.305357,NA
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,2,4,0.854,0.10836399999999999,0.021152
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,4,6,0.4929,0.084175,NA
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,6,8,0.9025,0.050334000000000004,NA
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,8,10,1.3789,0.037597,NA
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,10,12,1.6194,0.022177,NA
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,12,14,1.7041,0.017757000000000002,NA
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,14,16,1.8001,0.013856,0.0015279999999999998
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,16,18,1.6676,0.007266,NA
Ward_et_al_2021,Newport Bay,Newport Bay 50,single set of methods,18,20,1.7516,0.003858,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,0,2,0.5044,0.21661999999999998,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,2,4,0.652,0.1402,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,4,6,0.3954,0.18563,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,6,8,0.7618,0.06886,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,8,10,1.305,0.017669999999999998,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,10,12,1.425,0.012960000000000001,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,12,14,1.505,0.01433,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,14,16,1.63,0.00989,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,16,18,1.853,0.003,NA
Ward_et_al_2021,Newport Bay,Newport Bay 51,single set of methods,18,20,1.7811,0.00545,NA
Ward_et_al_2021,Newport Bay,Newport Bay 52,single set of methods,0,2,0.288,0.37085,NA
Ward_et_al_2021,Newport Bay,Newport Bay 52,single set of methods,2,4,0.495,0.18866,0.12122400000000001
