"","X","study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","cs137_activity","cs137_activity_se","cs137_unit","excess_pb210_activity","excess_pb210_activity_se","total_pb210_activity","total_pb210_activity_se","pb210_unit","pb214_activity","pb214_activity_se","pb214_unit","bi214_activity","bi214_activity_se","bi214_unit","age","age_min","age_max","depth_interval_notes"
"31",31,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",31,32,NA,NA,0.02,0,"dpm/g",0.27,0.11,1.26,0.09,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"32",32,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",32,33,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"33",33,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",33,34,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"34",34,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",34,35,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"35",35,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",35,36,NA,NA,0.04,0,"dpm/g",0.32,0.14,1.17,0.09,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"36",36,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",36,37,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"37",37,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",37,38,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"38",38,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",38,39,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"39",39,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",39,40,NA,NA,0.02,0,"dpm/g",-0.09,0.07,0.85,0.06,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"40",40,"Langston_et_al_2022","Goodwin Island","OT3_3","push core",40,41,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"41",41,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",1,2,NA,NA,0.07,0,"dpm/g",2.14,0.22,2.61,0.19,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"42",42,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",2,3,NA,NA,0.11,0,"dpm/g",1.93,0.22,2.43,0.18,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"43",43,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",3,4,NA,NA,0.13,0,"dpm/g",0.95,0.13,1.5,0.11,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"44",44,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",4,5,NA,NA,0.05,0,"dpm/g",2.81,0.25,3.26,0.24,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"45",45,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",5,6,NA,NA,0.09,0,"dpm/g",1.79,0.21,2.29,0.17,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"46",46,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",6,7,NA,NA,0.13,0,"dpm/g",1.17,0.16,1.7,0.12,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"47",47,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",7,8,NA,NA,0.13,0,"dpm/g",0.7,0.13,1.19,0.09,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"48",48,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",8,9,NA,NA,0.13,0,"dpm/g",0.69,0.14,1.18,0.09,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"49",49,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",9,10,NA,NA,0.07,0,"dpm/g",0.56,0.13,1.11,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"50",50,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",10,11,NA,NA,0.1,0,"dpm/g",0.31,0.13,0.8,0.06,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"51",51,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",11,12,NA,NA,0.09,0,"dpm/g",0.36,0.19,0.93,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"52",52,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",12,13,NA,NA,0.02,0,"dpm/g",0.24,0.2,0.75,0.05,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"53",53,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",13,14,NA,NA,0.05,0,"dpm/g",0.42,0.21,1.04,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"54",54,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",14,15,NA,NA,0.03,0,"dpm/g",0.45,0.2,1.03,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"55",55,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",15,16,NA,NA,0.05,0,"dpm/g",0.22,0.08,0.88,0.06,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"56",56,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",16,17,NA,NA,0.07,0,"dpm/g",0.24,0.18,0.91,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"57",57,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",17,18,NA,NA,0.05,0,"dpm/g",0.47,0.14,1.14,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"58",58,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",18,19,NA,NA,0.05,0,"dpm/g",0.69,0.11,1.36,0.1,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"59",59,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",19,20,NA,NA,0.07,0,"dpm/g",0.66,0.21,1.322,0.1,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"60",60,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",20,21,NA,NA,0.1,0,"dpm/g",0.99,0.14,1.56,0.11,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"61",61,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",21,22,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"62",62,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",22,23,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"63",63,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",23,24,NA,NA,0.08,0,"dpm/g",0.9,0.13,1.46,0.11,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"64",64,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",24,25,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"65",65,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",25,26,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"66",66,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",26,27,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"67",67,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",27,28,NA,NA,0.07,0,"dpm/g",1.17,0.13,1.67,0.12,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"68",68,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",28,29,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"69",69,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",29,30,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"70",70,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",30,31,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"71",71,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",31,32,NA,NA,0.07,0,"dpm/g",0.56,0.13,1.07,0.08,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"72",72,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",32,33,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"73",73,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",33,34,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"74",74,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",34,35,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"75",75,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",35,36,NA,NA,0.03,0,"dpm/g",0.54,0.1,0.96,0.07,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"76",76,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",36,37,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"77",77,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",37,38,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"78",78,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",38,39,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"79",79,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",39,40,NA,NA,0.03,0,"dpm/g",0.18,0.1,0.61,0.04,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"80",80,"Langston_et_al_2022","Goodwin Island","OT3_2","push core",40,41,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"81",81,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",1,2,0.320962800141454,0.100763572399456,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"82",82,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",2,3,0.54553191692171,0.0636006289308176,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"83",83,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",3,4,0.716378282661296,0.248258551581897,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"84",84,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",4,5,0.697758471768795,0.0616077837148098,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"85",85,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",5,6,0.710666291331199,0.0487982376775107,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"86",86,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",6,7,0.789401161240654,0.0560703442293285,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"87",87,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",7,8,0.70320023732041,0.0511482458712011,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"88",88,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",8,9,0.734285167828158,0.0534910914243811,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"89",89,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",9,10,0.646680628307958,0.0505434988448282,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"90",90,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",10,11,0.641175706400765,0.0529321497251413,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"91",91,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",11,12,0.598846433322863,0.0487001168649538,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"92",92,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",12,13,0.766677513614705,0.043141856949638,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"93",93,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",13,14,0.471675568220718,0.232349548546199,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"94",94,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",14,15,0.7179803451604,0.044496440681327,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"95",95,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",15,16,0.698493981750431,0.0444681469989334,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"96",96,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",16,17,0.776595484580371,0.046527163768543,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"97",97,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",17,18,0.677740212766426,0.0494574372233322,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"98",98,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",18,19,0.602153423985939,0.0475474317445627,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"99",99,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",19,20,0.617120379921588,0.0522032435824526,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"100",100,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",23,24,0.82237502815224,0.0418255411509356,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"101",101,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",27,28,0.669659688941446,0.0565956446811845,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"102",102,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",31,32,0.627807257065288,0.0407184446856804,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"103",103,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",35,36,0.834366865905205,0.0408710474402927,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"104",104,"Langston_et_al_2022","Goodwin Island","OT3_3","russian corer",39,40,0.79029198112514,0.0457234763628007,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
