study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_unit,total_pb210_activity,pb210_unit,pb214_activity,pb214_unit,bi214_activity,bi214_unit
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,20,22,0.24,0.1193,0.374,microbecquerelPerGram,0.105,becquerelPerGram,11.93,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,22,24,0.26,0.1056,0.235,microbecquerelPerGram,0.076,becquerelPerGram,10.56,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,24,26,0.26,0.0946,0.093,microbecquerelPerGram,0.069,becquerelPerGram,9.46,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,26,28,0.24,0.1114,0.037,microbecquerelPerGram,0.07,becquerelPerGram,11.14,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,28,30,0.22,0.1204,0.03,microbecquerelPerGram,0.063,becquerelPerGram,12.04,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,30,32,0.25,0.11960000000000001,0.023,microbecquerelPerGram,0.055,becquerelPerGram,11.96,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,32,34,0.2,0.1585,0.008,microbecquerelPerGram,0.043,becquerelPerGram,15.85,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,34,36,0.22,0.1241,0.007,microbecquerelPerGram,0.04,becquerelPerGram,12.41,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,36,38,0.27,0.0876,0.002,microbecquerelPerGram,0.045,becquerelPerGram,8.76,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,38,40,0.26,0.12300000000000001,0.005,microbecquerelPerGram,0.035,becquerelPerGram,12.3,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,0,2,0.13,0.1523,0.022,microbecquerelPerGram,0.25,becquerelPerGram,15.23,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,2,4,0.25,0.1523,0.029,microbecquerelPerGram,0.25,becquerelPerGram,15.23,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,4,6,0.18,0.2225,0.02,microbecquerelPerGram,0.1,becquerelPerGram,22.25,becquerelPerGram,0.014,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,6,8,0.2,0.18460000000000001,0.028,microbecquerelPerGram,0.079,becquerelPerGram,18.46,becquerelPerGram,0.013,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,8,10,0.19,0.19690000000000002,0.021,microbecquerelPerGram,0.078,becquerelPerGram,19.69,becquerelPerGram,0.015,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,10,12,0.15,0.23920000000000002,0.018,microbecquerelPerGram,0.075,becquerelPerGram,23.92,becquerelPerGram,0.014,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,12,14,0.17,0.2159,0.035,microbecquerelPerGram,0.108,becquerelPerGram,21.59,becquerelPerGram,0.011,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,14,16,0.19,0.1771,0.049,microbecquerelPerGram,0.125,becquerelPerGram,17.71,becquerelPerGram,0.015,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,16,18,0.2,0.1741,0.067,microbecquerelPerGram,0.117,becquerelPerGram,17.41,becquerelPerGram,0.015,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,18,20,0.21,0.1753,0.117,microbecquerelPerGram,0.106,becquerelPerGram,17.53,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,20,22,0.24,NA,0.332,microbecquerelPerGram,0.107,becquerelPerGram,NA,NA,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,22,24,0.24,0.1869,0.296,microbecquerelPerGram,0.07,becquerelPerGram,18.69,becquerelPerGram,0.022,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,24,26,0.23,0.10279999999999999,0.16,microbecquerelPerGram,0.067,becquerelPerGram,10.28,becquerelPerGram,0.024,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,26,28,0.21,0.1351,0.062,microbecquerelPerGram,0.066,becquerelPerGram,13.51,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,28,30,0.19,0.1577,0.021,microbecquerelPerGram,0.056,becquerelPerGram,15.77,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,30,32,0.19,0.1387,0.02,microbecquerelPerGram,0.061,becquerelPerGram,13.87,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,32,34,0.19,0.1407,0.016,microbecquerelPerGram,0.05,becquerelPerGram,14.07,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,34,36,0.16,0.1631,0.004,microbecquerelPerGram,0.047,becquerelPerGram,16.31,becquerelPerGram,0.016,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,36,38,0.15,0.18469999999999998,0.005,microbecquerelPerGram,0.039,becquerelPerGram,18.47,becquerelPerGram,0.015,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_3,single set of methods,38,40,0.16,0.18600000000000003,0.002,microbecquerelPerGram,0.039,becquerelPerGram,18.6,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,0,2,0.24,0.1426,0.029,microbecquerelPerGram,0.264,becquerelPerGram,14.26,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,2,4,0.27,0.1355,0.04,microbecquerelPerGram,0.209,becquerelPerGram,13.55,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,4,6,0.26,0.1598,0.046,microbecquerelPerGram,0.189,becquerelPerGram,15.98,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,6,8,0.27,0.1532,0.056,microbecquerelPerGram,0.167,becquerelPerGram,15.32,becquerelPerGram,0.016,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,8,10,0.25,0.1509,0.088,microbecquerelPerGram,0.139,becquerelPerGram,15.09,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,10,12,0.26,0.1457,0.098,microbecquerelPerGram,0.139,becquerelPerGram,14.57,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,12,14,0.26,0.15130000000000002,0.176,microbecquerelPerGram,0.096,becquerelPerGram,15.13,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,14,16,0.31,0.11230000000000001,0.407,microbecquerelPerGram,0.108,becquerelPerGram,11.23,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,16,18,0.32,0.1234,0.164,microbecquerelPerGram,0.068,becquerelPerGram,12.34,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,18,20,0.3,0.13140000000000002,0.055,microbecquerelPerGram,0.062,becquerelPerGram,13.14,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,20,22,0.26,0.1478,0.019,microbecquerelPerGram,0.052,becquerelPerGram,14.78,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,22,24,0.28,0.1483,0.015,microbecquerelPerGram,0.061,becquerelPerGram,14.83,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,24,26,0.42,0.1099,0.005,microbecquerelPerGram,0.04,becquerelPerGram,10.99,becquerelPerGram,0.024,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,26,28,0.33,0.138,0.006,microbecquerelPerGram,0.041,becquerelPerGram,13.8,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,28,30,0.36,0.1331,0.009,microbecquerelPerGram,0.039,becquerelPerGram,13.31,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,30,32,0.36,0.1009,0.015,microbecquerelPerGram,0.037,becquerelPerGram,10.09,becquerelPerGram,0.022,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,32,34,0.38,0.09390000000000001,0.008,microbecquerelPerGram,0.033,becquerelPerGram,9.39,becquerelPerGram,0.023,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,34,36,0.31,0.1137,0.005,microbecquerelPerGram,0.033,becquerelPerGram,11.37,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,36,38,0.29,0.1115,0.006,microbecquerelPerGram,0.029,becquerelPerGram,11.15,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_4,single set of methods,38,40,0.34,0.11019999999999999,0.009,microbecquerelPerGram,0.032,becquerelPerGram,11.02,becquerelPerGram,0.023,becquerelPerGram
