Core ID,Depth range     (cm),Bulk density (g/cm3),%OC (Craft et al. 1991),C density (g/cm3),gC/sqm over depth range,Phragmites rhizome weight (g),Phragmites rhizome volume (cm3),Phragmites root weight (g),Phragmites root volume (cm3),Cyperus esculentus weight (g),Cyperus esculentusvolume (cm3),S.patens weight (g),S.patens volume (cm3),Unidentified material weight (g),Unidentified material volume (cm3),%Phragmites volume,%Cyperus volume,%S.patens volume,%Unidentified material volume,
LP2-1,2-4,0.260,11.42,0.030,594.6,4.038,24,0.58,6,0.062,0.6,,,0.776,5.0,16.98,0.34,,2.86,
LP2-1,4-6,0.253,10.60,0.027,536.0,3.859,26,0.405,4.9,0.118,1.8,,,1.479,10.2,17.49,1.02,,5.77,
LP2-1,6-8,0.253,12.53,0.032,635.1,3.043,18,0.418,5,0.249,3.6,,,1.551,12.3,13.02,2.04,,6.97,
LP2-1,8-10,0.297,13.13,0.039,778.7,2.43,16,0.528,7,0.411,4.5,,,2.514,21.1,13.02,2.55,,11.92,
LP2-1,10-12,0.321,9.85,0.032,632.3,1.88,14,0.258,3.8,0.395,4.2,,,0.95,8.5,10.07,2.38,,4.79,
LP2-1,12-14,0.390,7.92,0.031,617.7,3.988,28,0.32,4.6,0.401,5.2,,,0.789,6.7,18.45,2.94,,3.81,
LP2-1,14-16,0.328,9.44,0.031,618.4,2.155,15,0.351,5.2,0.489,5.4,,,1.646,12.1,11.43,3.06,,6.84,
LP2-1,16-18,0.498,8.16,0.041,813.3,6.534,40,0.522,6.5,0.32,4,,,1.929,13.4,26.31,2.26,,7.60,
LP2-1,18-20,0.488,7.18,0.035,700.8,1.988,14,0.383,6.4,0.234,2.7,,,1.276,10.1,11.54,1.53,,5.70,
LP2-1,20-22,0.597,5.63,0.034,672.5,1.593,16,0.343,5.8,0.156,2,,,1.93,15.0,12.34,1.13,,8.51,
LP3-1,0-2,0.202,19.28,0.039,780.1,,,,,,,,,,,,,,,
LP3-1,2-4,0.223,18.47,0.041,824.3,2.316,17,0.322,3.8,4.942,32,,,1.162,9.8,11.77,18.11,,5.53,
LP3-1,4-6,0.227,16.75,0.038,760.0,4.489,21.4,0.212,2.6,1.965,10.1,,,1.067,11.3,13.58,5.72,,6.42,
LP3-1,6-8,0.254,14.97,0.038,760.5,1.894,11.5,0.459,4.5,3.024,13,,,1.763,18.6,9.05,7.36,,10.52,
LP3-1,8-10,0.318,8.63,0.027,548.9,0,0,0.387,4.5,0.997,5,,,2.179,21.2,2.55,2.83,,12.02,
LP3-1,10-12,0.389,7.26,0.028,564.9,1.926,16.5,0.278,4.2,0.128,1.4,,,1.193,12.0,11.71,0.79,,6.80,
LP3-1,12-14,0.507,6.98,0.035,708.3,0.899,6,0.414,6,0.131,2,,,1.973,14.4,6.79,1.13,,8.13,
LP3-1,14-16,0.540,4.95,0.027,534.3,1.322,10.5,0.367,4.2,0.108,1.6,,,0.686,6.1,8.32,0.91,,3.47,
LP3-1,16-18,0.607,3.97,0.024,481.9,0,0,0.345,4.5,0.027,0.6,,,0.252,2.8,2.55,0.34,,1.56,
LP3-1,18-20,0.573,4.61,0.026,529.1,3.344,32.4,0.165,1.8,0.048,0.6,,,0.156,1.6,19.35,0.34,,0.88,
LP3-1,20-22,0.668,4.19,0.028,559.5,2.551,23,0.199,3,0.011,0.2,,,0.08,0.2,14.71,0.11,,0.09,
LP3-1,22-24,0.860,3.09,0.027,531.8,1.594,10,0.158,2,0.013,0.2,,,0,0.0,6.79,0.11,,0.00,
LP1-2,0-2,0.384,5.34,0.021,410.2,0.432,3.2,0.447,7,0.287,3.6,0.645,9.8 ,0.743,9.0 ,5.77,2.04,5.55,5.09,
LP1-2,2-4,0.374,6.11,0.023,457.4,0.377,3.4,0.467,6.2,0.456,4.8,0.516,7.2 ,0.877,9.8 ,5.43,2.72,4.07,5.55,
LP1-2,4-6,0.472,6.27,0.030,591.9,0.93,5,0.494,1.6,0.428,4.2,0.880,10.4 ,2.727,23.0 ,3.73,2.38,5.87,13.02,
LP1-2,6-8,0.645,4.23,0.027,545.5,1.662,10,0.358,2.3,0.336,4,0.491,5.9 ,1.951,19.0 ,6.96,2.26,3.34,10.75,
LP1-2,8-10,0.698,3.44,0.024,480.4,1.272,9,0.399,6.2,0.169,2,0.324,4.4 ,1.257,13.4 ,8.60,1.13,2.51,7.58,
LP1-2,10-12,0.690,3.35,0.023,462.3,1.656,12.8,0.359,5.7,0.1,1,0.559,6.3 ,1.282,14.2 ,10.47,0.57,3.56,8.04,
LP1-2,12-14,0.776,3.20,0.025,496.6,0.63,4,0.356,6.9,0.044,0.4,0.549,5.5 ,1.542,20.0 ,6.17,0.23,3.10,11.32,
LP1-2,14-16,0.723,3.30,0.024,477.7,0.736,6.5,0.468,6.4,0.033,0.4,0.610,7.4 ,1.141,10.4 ,7.30,0.23,4.16,5.89,
LP1-2,16-18,0.725,3.61,0.026,522.9,0.679,4.4,0.462,7.4,0.01,0.2,0.743,7.5 ,0.721,6.2 ,6.68,0.11,4.25,3.51,
LP1-2,18-20,0.697,3.65,0.025,508.9,0.569,5.6,0.862,5.8,0.013,0.1,1.169,11.6 ,0.797,7.0 ,6.45,0.06,6.56,3.96,
LP1-2,20-22,0.709,3.64,0.026,516.7,0.419,3.2,0.561,5.9,0.009,0.2,1.465,12.1 ,0.867,6.8 ,5.15,0.11,6.82,3.85,
LP1-2,22-24,0.734,3.59,0.026,526.4,0.292,3,0.592,4.9,0,0,1.512,13.5 ,0.724,6.2 ,4.47,0.00,7.64,3.51,
LP1-2,24-26,0.788,3.30,0.026,520.4,0.384,2.8,0.86,5.3,0,0,1.620,13.7 ,0.338,2.8 ,4.58,0.00,7.73,1.58,
LP1-2,26-28,0.926,3.13,0.029,579.3,2.8,21,0.673,3.3,0,0,1.371,12.2 ,0.279,2.2 ,13.75,0.00,6.92,1.24,
LP1-2,28-30,0.861,3.21,0.028,553.3,1.984,13,0.773,2.4,0,0,1.610,14.6 ,0.391,3.0 ,8.71,0.00,8.26,1.70,
LP2-2,0-2,0.299,7.34,0.022,438.7,0,0,0.198,1.2,0,0,,,0.634,4.2,0.68,0.00,,2.38,
LP2-2,2-4,0.301,9.87,0.030,594.2,0.156,1.9,0.207,1.6,0.031,0.2,,,0.863,6.8,1.98,0.11,,3.85,
LP2-2,4-6,0.259,10.87,0.028,562.0,0.063,0.6,0.205,2,0.17,1.6,,,1.398,11.6,1.47,0.91,,6.56,
LP2-2,6-8,0.300,10.08,0.030,605.7,0.613,5,0.313,4.2,0.414,3.2,,,1.865,15.4,5.21,1.81,,8.71,
LP2-2,8-10,0.299,10.52,0.031,629.7,3.448,20.4,0.372,5.4,0.348,3.2,,,1.765,16.4,14.60,1.81,,9.28,
LP2-2,10-12,0.411,8.47,0.035,696.9,0.761,6,0.441,5.8,0.435,4.6,,,2.29,21.8,6.68,2.60,,12.34,
LP2-2,12-14,0.357,8.25,0.029,588.7,1.533,13,0.458,5.8,0.457,3.8,,,3.093,25.4,10.64,2.15,,14.37,
LP2-2,14-16,0.476,7.12,0.034,677.8,3.35,34,0.486,6,0.3,2.4,,,2.293,19,22.64,1.36,,10.75,
LP2-2,16-18,0.532,8.10,0.043,861.5,2.9,22.5,0.654,7.2,0.137,1.4,,,2.025,17,16.81,0.79,,9.62,
LP2-2,18-20,0.636,6.03,0.038,767.0,3.567,27.5,0.44,5.2,0.104,1.2,,,1.141,11,18.50,0.68,,6.22,
LP2-2,20-22,0.650,5.11,0.033,664.7,4.166,34,0.355,4.2,0.054,0.6,,,0.671,6,21.62,0.34,,3.40,
LP2-2,22-24,0.821,4.86,0.040,798.9,2.341,18,0.39,5,0.087,1,,,1.066,10,13.02,0.57,,5.66,
LP2-2,24-26,0.764,3.76,0.029,573.8,0.187,1.2,0.417,4.4,0.111,1.4,,,1.486,11,3.17,0.79,,6.22,
LP2-2,26-28,0.779,3.62,0.028,564.3,0,0,0.376,5.2,0.102,1.2,,,1.332,12.2,2.94,0.68,,6.90,
LP2-2,28-30,0.892,3.65,0.033,650.7,0,0,0.271,3.6,0.072,1.2,,,1.335,10.9,2.04,0.68,,6.17,
LP3-2,0-2,0.194,11.93,0.023,461.8,1.332,8,0.406,5.6,0.5,3.5,,,0.892,6.4,7.70,1.98,,3.62,
LP3-2,2-4,0.158,14.05,0.022,442.9,1.424,10,0.726,9,1.945,12,,,1.385,10,10.75,6.79,,5.66,
LP3-2,4-6,0.176,17.56,0.031,617.9,1.192,10.2,0.602,7.5,2.252,13,,,0.994,8.9,10.02,7.36,,5.04,
LP3-2,6-8,0.171,17.40,0.030,593.5,1.227,11,0.527,7,3.033,16,,,1.075,11.8,10.19,9.05,,6.68,
LP3-2,8-10,0.287,14.67,0.042,842.6,2.676,20,0.461,5,5.52,24.5,,,1.419,12.9,14.15,13.86,,7.30,
LP3-2,10-12,0.320,11.49,0.037,735.6,1.958,14,0.453,4.8,1.722,8,,,2.355,24,10.64,4.53,,13.58,
LP3-2,12-14,0.444,6.64,0.030,590.3,1.586,11,0.493,6.4,0.16,1.6,,,2.285,21,9.85,0.91,,11.88,
LP3-2,14-16,0.493,6.43,0.032,633.0,1.209,12,0.564,7.3,0.053,0.6,,,2.624,28.4,10.92,0.34,,16.07,
LP3-2,16-18,0.561,5.93,0.033,665.1,1.649,12.8,0.604,9,0.056,1,,,1.074,12.4,12.34,0.57,,7.02,
LP3-2,18-20,0.657,5.44,0.036,714.4,3.781,29,0.405,5.2,0.026,0.4,,,0.667,8.2,19.35,0.23,,4.64,
LP3-2,20-22,0.749,4.27,0.032,638.9,2.385,16,0.402,5.2,0.025,0.4,,,0.696,9,12.00,0.23,,5.09,
LP3-2,22-24,0.824,3.94,0.032,649.3,1.261,10,0.462,6.2,0.5,0.6,,,0.272,3.8,9.17,0.34,,2.15,
LP1-3,0-2,0.447,5.87,0.026,524.4,0.595,3.8,0.528,6.8,0.18,2,1.257,7.0,1.439,11,6.00,1.13,3.96,6.22,
LP1-3,2-4,0.477,6.02,0.029,574.2,0.484,2.8,0.656,8,0.351,3.8,2.089,14.0,0.954,8,6.11,2.15,7.92,4.53,
LP1-3,4-6,0.411,6.19,0.025,509.1,1.083,7.6,0.694,1.9,1.544,8,1.468,15.6,0.759,6.5,5.38,4.53,8.85,3.68,
LP1-3,6-8,0.510,5.25,0.027,535.7,0.508,4.2,0.836,4.4,1.893,10.5,1.296,10.2,0.837,7.5,4.87,5.94,5.77,4.24,
LP1-3,8-10,0.458,5.15,0.024,471.1,1.271,10.5,0.681,4.8,2.412,11.5,0.473,4.7,0.951,7,8.66,6.51,2.65,3.96,
LP1-3,10-12,0.635,4.36,0.028,553.8,2.002,14,0.973,6.5,3.181,13.5,0.520,5.1,1.341,9.2,11.60,7.64,2.90,5.21,
LP1-3,12-14,0.631,5.03,0.032,635.0,1.801,14.5,0.89,8,2.892,16,0.328,3.0,1.577,11,12.73,9.05,1.69,6.22,
LP1-3,14-16,0.757,3.55,0.027,537.4,0.529,5,1.647,9.8,0.331,2.3,1.638,14.8,1.042,8,8.38,1.30,8.35,4.53,
LP1-3,16-18,0.670,3.62,0.024,484.7,0.793,5,1.374,10.3,0.118,1,1.488,15.1,0.992,8,8.66,0.57,8.55,4.53,
LP1-3,18-20,0.675,3.58,0.024,483.7,2.691,21,1.473,6.6,0.107,0.6,1.773,15.9,0.826,7,15.62,0.34,9.00,3.96,
LP1-3,20-22,0.618,4.12,0.025,509.7,1.594,17,1.728,8,0.032,0.3,1.869,17.5,0.78,5.5,14.15,0.17,9.92,3.11,
LP1-3,22-24,0.703,3.53,0.025,496.1,0.071,1.2,1.481,8.1,0.021,0.2,1.525,16.3,0.784,6,5.26,0.11,9.22,3.40,
LP1-3,24-26,0.684,3.41,0.023,466.1,0.096,2,1.237,7.4,0.011,0.1,1.201,12.0,0.504,3.9,5.32,0.06,6.77,2.21,
LP1-3,26-28,0.722,3.60,0.026,520.1,0.103,2.4,1.069,4,0,0,1.805,16.0,0.443,3.8,3.62,0.00,9.05,2.15,
LP1-3,28-30,0.666,3.30,0.022,439.2,0.055,1,1.058,3.1,0,0,1.826,16.1,0.563,4.4,2.32,0.00,9.09,2.49,
LP2-3,0-2,0.400,7.78,0.031,621.9,0.921,7.2,0.406,4.9,0.035,0.2,,,1.999,10.6,6.85,0.11,,6.00,
LP2-3,2-4,0.257,11.78,0.030,604.7,0.9,7.2,0.456,5,0.025,0.1,,,1.152,6.6,6.90,0.06,,3.73,
LP2-3,4-6,0.256,10.93,0.028,559.6,1.847,19.4,0.459,5.1,0.1,0.8,,,1.289,7.1,13.86,0.45,,4.02,
LP2-3,6-8,0.238,11.83,0.028,562.4,3.144,29.4,0.382,4.2,0.201,1.4,,,3.195,17.4,19.01,0.79,,9.85,
LP2-3,8-10,0.263,11.16,0.029,587.1,4.485,36,0.433,4.8,0.167,1,,,2.238,16.6,23.09,0.57,,9.39,
LP2-3,10-12,0.284,11.08,0.031,628.5,5.466,33,0.675,7,0.287,2.2,,,2.572,18.3,22.64,1.24,,10.36,
LP2-3,12-14,0.303,8.51,0.026,515.9,1.871,11,1.142,10,0.477,2.8,,,2.829,20.2,11.88,1.58,,11.43,
LP2-3,14-16,0.387,8.57,0.033,664.0,2.324,17,1.38,12,0.238,1.4,,,3.429,22,16.41,0.79,,12.45,
LP2-3,16-18,0.359,8.83,0.032,634.3,7.435,43,0.856,7,0.272,1.8,,,4.252,23,28.29,1.02,,13.02,
LP2-3,18-20,0.418,9.48,0.040,793.2,6.028,33,1.024,8.8,0.175,1.2,,,2.294,14.15,23.65,0.68,,8.01,
LP2-3,20-22,0.542,7.08,0.038,767.2,6.658,44,0.78,7,0.11,0.8,,,1.505,10,28.86,0.45,,5.66,
LP2-3,22-24,0.648,5.69,0.037,737.5,2.72,22,0.71,6,0.069,0.4,,,2.128,13.5,15.84,0.23,,7.64,
LP2-3,24-26,0.741,4.68,0.035,693.3,2.465,15,0.506,4.6,0.042,0.3,,,1.06,6.2,11.09,0.17,,3.51,
LP2-3,26-28,0.712,4.13,0.029,588.6,0.009,0.1,0.423,4,0.109,0.8,,,1.604,12.2,2.32,0.45,,6.90,
LP2-3,28-30,0.747,4.12,0.031,615.5,2.412,22,0.368,3.4,0.065,0.4,,,1.436,9.6,14.37,0.23,,5.43,
LP3-3,0-2,0.219,13.76,0.030,603.0,1.354,11,0.634,8,0.492,3.6,,,2.133,14,10.75,2.04,,7.92,
LP3-3,2-4,0.214,14.30,0.031,612.4,1.927,15,0.861,11,1.263,9,,,1.779,12,14.71,5.09,,6.79,
LP3-3,4-6,0.209,19.78,0.041,826.5,1.105,8.2,0.837,11,2.317,13.5,,,2.646,17.4,10.86,7.64,,9.85,
LP3-3,6-8,0.217,16.92,0.037,734.5,1.857,14.6,0.665,8,3.84,20,,,1.77,15,12.79,11.32,,8.49,
LP3-3,8-10,0.281,13.48,0.038,757.3,2.03,15.2,0.58,7.2,1.949,11.5,,,2.198,14.4,12.68,6.51,,8.15,
LP3-3,10-12,0.416,9.82,0.041,816.8,1.089,7.2,0.474,6.4,2.482,11,,,3.893,31.3,7.70,6.22,,17.71,
LP3-3,12-14,0.444,8.55,0.038,758.9,2.404,21.2,0.653,8.2,0.228,1.4,,,3.551,27,16.64,0.79,,15.28,
LP3-3,14-16,0.514,7.39,0.038,760.3,4,27.6,0.762,9.2,0.117,1,,,2.078,14.6,20.82,0.57,,8.26,
LP3-3,16-18,0.589,5.46,0.032,643.9,2.061,17.7,0.648,8,0.037,0.3,,,1.087,8.4,14.54,0.17,,4.75,
LP3-3,18-20,0.737,4.05,0.030,596.7,0.686,6,0.494,6.6,0.034,0.3,,,1.039,8.5,7.13,0.17,,4.81,
LP3-3,20-22,0.682,4.07,0.028,554.3,1.205,10.5,0.559,6.6,0.054,0.4,,,0.353,3.2,9.68,0.23,,1.81,
LP3-3,22-24,0.781,3.54,0.028,553.5,1.84,17,0.522,5.8,0.034,0.4,,,0.624,4.4,12.90,0.23,,2.49,
LP3-3,24-26,0.826,3.42,0.028,564.9,2.801,21.5,0.486,5.2,0.028,0.2,,,0.535,4.6,15.11,0.11,,2.60,
LP3-3,26-28,0.699,3.60,0.025,502.6,3.274,29.6,0.464,4.8,0.016,0.15,,,0.184,1.5,19.47,0.08,,0.85,
LP3-3,28-30,0.837,3.09,0.026,517.5,2.102,16.3,0.542,6,0.013,0.1,,,0.49,3.8,12.62,0.06,,2.15,
SP1-1,0-5,0.531,3.79,0.020,1005.6,,,,,,,,,,,,,,,
SP1-1,5-10,0.494,3.88,0.019,957.2,,,,,,,,,,,,,,,
SP1-1,10-15,0.367,4.11,0.015,754.8,,,,,,,,,,,,,,,
SP1-1,15-20,0.337,4.14,0.014,697.3,,,,,,,,,,,,,,,
SP1-1,20-25,0.475,10.00,0.047,2373.5,,,,,,,,,,,,,,,
SP1-1,25-30,0.498,10.46,0.052,2601.6,,,,,,,,,,,,,,,
SP1-2,0-5,0.486,3.27,0.016,794.5,,,,,,,,,,,,,,,
SP1-2,5-10,0.698,3.22,0.022,1124.2,,,,,,,,,,,,,,,
SP1-2,10-15,0.795,3.47,0.028,1378.5,,,,,,,,,,,,,,,
SP1-2,15-20,0.677,3.87,0.026,1309.0,,,,,,,,,,,,,,,
SP1-2,20-25,0.695,3.62,0.025,1259.7,,,,,,,,,,,,,,,
SP1-2,25-30,0.737,3.32,0.024,1223.5,,,,,,,,,,,,,,,
SP1-3,0-5,0.251,6.29,0.016,789.2,,,,,,,,,,,,,,,
SP1-3,5-10,0.341,4.48,0.015,763.5,,,,,,,,,,,,,,,
SP1-3,10-15,0.285,5.06,0.014,720.6,,,,,,,,,,,,,,,
SP1-3,15-20,0.364,5.07,0.018,923.4,,,,,,,,,,,,,,,
SP1-3,20-25,0.321,23.57,0.076,3786.4,,,,,,,,,,,,,,,
SP1-3,25-30,0.567,4.13,0.023,1170.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note: LP1 cores are in Phragmites australis and Spartina patens mix-growing site; LP2 & 3 cores are in Phragmites site; SP1 cores are in S. patens site. Unidentified material refer to coarse plant tissues decomposed beyond visual recognition to identify the plant species. %species volume are proportional volume of belowground biomass in each soil layer.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
