study_id,site_id,core_id,year,latitude,longitude,position_method,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_36,2015,-7.81,39.3,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_37,2015,-7.81,39.29,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_38,2015,-7.82,39.33,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_39,2015,-7.82,39.29,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_40,2015,-7.84,39.33,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_41,2015,-7.85,39.23,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_42,2015,-7.79,39.29,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_43,2015,-7.81,39.3,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_44,2015,-7.82,39.3,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_45,2015,-7.82,39.24,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_46,2015,-7.85,39.23,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_47,2015,-7.85,39.29,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_48,2015,-7.79,39.28,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_49,2015,-7.83,39.28,other low resolution,position corresponds to approximate center of subplot,estuarine,field observation,forested,field observation,mangrove
