study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_12,single set of methods,185,200,6,0.79,0.018600000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_13,single set of methods,0,15,1,0.56,0.02
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_13,single set of methods,15,30,2,0.46,0.0184
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_13,single set of methods,30,45,3,0.64,0.0176
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_13,single set of methods,45,110,4,0.7,0.0165
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_13,single set of methods,110,185,5,0.58,0.023799999999999998
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_13,single set of methods,185,200,6,0.75,0.0143
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_14,single set of methods,0,15,1,0.66,0.0172
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_14,single set of methods,15,30,2,0.76,0.0134
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_14,single set of methods,30,45,3,0.78,0.0138
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_14,single set of methods,45,110,4,0.66,0.0131
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_14,single set of methods,110,185,5,0.74,0.0187
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_14,single set of methods,185,200,6,0.91,0.0388
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_15,single set of methods,0,15,1,0.6,0.013500000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_15,single set of methods,15,30,2,0.81,0.0242
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_15,single set of methods,30,45,3,0.75,0.023700000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_15,single set of methods,45,110,4,0.93,0.0301
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_15,single set of methods,110,185,5,0.71,0.0285
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_15,single set of methods,185,200,6,0.82,0.0316
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_16,single set of methods,0,15,1,0.81,0.0271
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_16,single set of methods,15,30,2,0.85,0.0202
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_16,single set of methods,30,45,3,0.75,0.015700000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_16,single set of methods,45,110,4,0.75,0.014499999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_16,single set of methods,110,185,5,1,0.0158
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_16,single set of methods,185,200,6,1.08,0.0255
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_17,single set of methods,0,15,1,0.64,0.0172
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_17,single set of methods,15,30,2,0.68,0.0222
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_17,single set of methods,30,45,3,0.7,0.020499999999999997
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_17,single set of methods,45,110,4,0.65,0.0213
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_17,single set of methods,110,185,5,0.66,0.0254
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_17,single set of methods,185,200,6,0.69,0.035699999999999996
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_18,single set of methods,0,15,1,1.3,0.029300000000000003
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_18,single set of methods,15,30,2,1.28,0.015600000000000001
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_18,single set of methods,30,45,3,1.36,0.0086
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_18,single set of methods,45,110,4,1.48,0.0068000000000000005
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_18,single set of methods,110,185,5,NA,0.0084
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_18,single set of methods,185,200,6,NA,0.009399999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_19,single set of methods,0,15,1,0.66,0.026600000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_19,single set of methods,15,30,2,0.65,0.0227
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_19,single set of methods,30,45,3,0.75,0.0208
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_19,single set of methods,45,110,4,0.66,0.0337
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_19,single set of methods,110,185,5,0.57,0.0378
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_19,single set of methods,185,200,6,1,0.02
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_20,single set of methods,0,15,1,0.67,0.036000000000000004
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_20,single set of methods,15,30,2,0.77,0.035
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_20,single set of methods,30,45,3,0.95,0.0297
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_20,single set of methods,45,110,4,0.99,0.0254
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_20,single set of methods,110,185,5,1.08,0.013300000000000001
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_20,single set of methods,185,200,6,1.02,0.0104
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_21,single set of methods,0,15,1,0.75,0.0264
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_21,single set of methods,15,30,2,0.73,0.0317
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_21,single set of methods,30,45,3,0.73,0.0398
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_21,single set of methods,45,110,4,0.84,0.0239
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_21,single set of methods,110,185,5,1.01,0.0175
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_21,single set of methods,185,200,6,0.98,0.0149
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_22,single set of methods,0,15,1,0.78,0.0263
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_22,single set of methods,15,30,2,0.92,0.0294
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_22,single set of methods,30,45,3,0.92,0.0408
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_22,single set of methods,45,110,4,1.12,0.0177
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_22,single set of methods,110,185,5,1.04,0.014499999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_22,single set of methods,185,200,6,0.97,0.0131
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_23,single set of methods,0,15,1,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_23,single set of methods,15,30,2,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_23,single set of methods,30,45,3,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_23,single set of methods,45,110,4,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_23,single set of methods,110,185,5,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_23,single set of methods,185,200,6,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_24,single set of methods,0,15,1,0.85,0.0152
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_24,single set of methods,15,30,2,0.83,0.0126
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_24,single set of methods,30,45,3,0.76,0.0134
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_24,single set of methods,45,110,4,0.75,0.027000000000000003
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_24,single set of methods,110,185,5,1.38,0.022799999999999997
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_24,single set of methods,185,200,6,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_25,single set of methods,0,15,1,0.72,0.0207
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_25,single set of methods,15,30,2,0.73,0.016
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_25,single set of methods,30,45,3,0.71,0.0167
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_25,single set of methods,45,110,4,0.76,0.015700000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_25,single set of methods,110,185,5,0.89,0.0207
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_25,single set of methods,185,200,6,0.69,0.0226
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_26,single set of methods,0,15,1,0.89,0.022000000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_26,single set of methods,15,30,2,1,0.020099999999999996
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_26,single set of methods,30,45,3,0.81,0.0173
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_26,single set of methods,45,110,4,1.13,0.0165
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_26,single set of methods,110,185,5,0.85,0.027000000000000003
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_26,single set of methods,185,200,6,0.8,0.0287
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_27,single set of methods,0,15,1,0.84,0.0285
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_27,single set of methods,15,30,2,0.91,0.017
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_27,single set of methods,30,45,3,1.08,0.0131
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_27,single set of methods,45,110,4,1.01,0.0111
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_27,single set of methods,110,185,5,0.96,0.0208
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_27,single set of methods,185,200,6,1.01,0.0166
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_28,single set of methods,0,15,1,0.59,0.0418
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_28,single set of methods,15,30,2,0.77,0.0254
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_28,single set of methods,30,45,3,0.7,0.0359
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_28,single set of methods,45,110,4,0.8,0.0282
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_28,single set of methods,110,185,5,0.8,0.0308
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_28,single set of methods,185,200,6,0.93,0.018000000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_29,single set of methods,0,15,1,0.66,0.0259
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_29,single set of methods,15,30,2,0.89,0.016
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_29,single set of methods,30,45,3,0.91,0.0196
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_29,single set of methods,45,110,4,1.26,0.022000000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_29,single set of methods,110,185,5,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_29,single set of methods,185,200,6,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_30,single set of methods,0,15,1,1.24,0.0139
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_30,single set of methods,15,30,2,1.29,0.0124
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_30,single set of methods,30,45,3,1.36,0.010700000000000001
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_30,single set of methods,45,110,4,1.52,0.008
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_30,single set of methods,110,185,5,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_30,single set of methods,185,200,6,NA,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_31,single set of methods,0,15,1,0.8,0.0232
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_31,single set of methods,15,30,2,0.8,0.0278
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_31,single set of methods,30,45,3,0.68,0.04190000000000001
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_31,single set of methods,45,110,4,0.58,0.0407
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_31,single set of methods,110,185,5,0.86,0.0274
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_31,single set of methods,185,200,6,0.72,0.026699999999999998
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_32,single set of methods,0,15,1,0.73,0.028300000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_32,single set of methods,15,30,2,0.68,0.0318
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_32,single set of methods,30,45,3,0.71,0.0325
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_32,single set of methods,45,110,4,0.68,0.0297
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_32,single set of methods,110,185,5,0.75,0.020499999999999997
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_32,single set of methods,185,200,6,0.73,0.0223
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_33,single set of methods,0,15,1,0.92,0.0236
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_33,single set of methods,15,30,2,0.9,0.018799999999999997
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_33,single set of methods,30,45,3,0.85,0.0199
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_33,single set of methods,45,110,4,0.87,0.0154
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_33,single set of methods,110,185,5,0.9,0.0167
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_33,single set of methods,185,200,6,0.9,0.0146
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_34,single set of methods,0,15,1,0.81,0.0276
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_34,single set of methods,15,30,2,1.03,0.0277
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_34,single set of methods,30,45,3,0.86,NA
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_34,single set of methods,45,110,4,0.94,0.03
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_34,single set of methods,110,185,5,1,0.0239
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_34,single set of methods,185,200,6,0.94,0.018799999999999997
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_35,single set of methods,0,15,1,0.5,0.0305
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_35,single set of methods,15,30,2,0.67,0.0355
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_35,single set of methods,30,45,3,0.63,0.0401
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_35,single set of methods,45,110,4,0.73,0.030600000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_35,single set of methods,110,185,5,0.85,0.019799999999999998
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_35,single set of methods,185,200,6,0.67,0.018000000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_36,single set of methods,0,15,1,0.65,0.0302
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_36,single set of methods,15,30,2,0.77,0.0252
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_36,single set of methods,30,45,3,0.71,0.0233
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_36,single set of methods,45,110,4,0.74,0.043
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_36,single set of methods,110,185,5,0.92,0.023399999999999997
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_36,single set of methods,185,200,6,0.96,0.0146
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_37,single set of methods,0,15,1,0.73,0.0206
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_37,single set of methods,15,30,2,0.73,0.0174
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_37,single set of methods,30,45,3,0.73,0.0187
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_37,single set of methods,45,110,4,0.68,0.015700000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_37,single set of methods,110,185,5,0.83,0.0165
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_37,single set of methods,185,200,6,0.82,0.0242
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_38,single set of methods,0,15,1,0.66,0.0285
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_38,single set of methods,15,30,2,0.69,0.034300000000000004
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_38,single set of methods,30,45,3,0.79,0.029300000000000003
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_38,single set of methods,45,110,4,0.77,0.035699999999999996
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_38,single set of methods,110,185,5,0.97,0.0202
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_38,single set of methods,185,200,6,0.94,0.0137
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_39,single set of methods,0,15,1,0.7,0.0223
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_39,single set of methods,15,30,2,0.69,0.019799999999999998
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_39,single set of methods,30,45,3,0.75,0.0176
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_39,single set of methods,45,110,4,0.76,0.033
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_39,single set of methods,110,185,5,0.98,0.022799999999999997
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_39,single set of methods,185,200,6,0.99,0.014199999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_40,single set of methods,0,15,1,0.66,0.0333
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_40,single set of methods,15,30,2,0.74,0.0291
