 Sampling ID,Latitude,Longitude,Habitat,layer_cm,SOM_perc,OC_perc,d13C_permille,TN_perc,C/N,FM
2,44.51195,12.26281,Saltmarsh,11_12,6.9,0.28,-20.06,0.05,6.32,0.12
2,44.51195,12.26281,Saltmarsh,12_13,6.86,0.24,-18.47,0.04,7.01,0.21
2,44.51195,12.26281,Saltmarsh,13_14,5.44,0.22,-19.42,0.04,6.75,0.17
2,44.51195,12.26281,Saltmarsh,14_15,4.78,0.23,-18.56,0.04,7.48,0.25
2,44.51195,12.26281,Saltmarsh,15_16,4.59,0.45,-18.58,0.03,15.8,1.07
2,44.51195,12.26281,Saltmarsh,16_17,4.24,0.29,-19.27,0.02,15.24,1
2,44.51195,12.26281,Saltmarsh,17_18,3.91,0.32,-19.48,0.05,7,0.19
2,44.51195,12.26281,Saltmarsh,18_19,3.32,0.44,-19.11,0.06,8.22,0.32
2,44.51195,12.26281,Saltmarsh,19_20,2.97,0.59,-18.8,0.05,13.98,0.89
3,44.47651,12.24943,Impact,0_1,17.08,3.21,-23.07,0.42,8.95,0.33
3,44.47651,12.24943,Impact,1_2,17.32,2.81,-22.12,0.45,7.22,0.18
3,44.47651,12.24943,Impact,2_3,17.93,3.2,-22.63,0.45,8.38,0.28
3,44.47651,12.24943,Impact,3_4,18.36,3.45,-22.47,0.48,8.32,0.28
3,44.47651,12.24943,Impact,4_5,17.88,3.34,-22.09,0.48,8.17,0.27
3,44.47651,12.24943,Impact,5_6,17.9,3.22,-22.85,0.49,7.63,0.21
3,44.47651,12.24943,Impact,6_7,17.48,3.23,-24.2,0.45,8.31,0.26
3,44.47651,12.24943,Impact,7_8,17.61,2.97,-24.29,0.4,8.55,0.28
3,44.47651,12.24943,Impact,8_9,18.37,2.75,-25.06,0.34,9.48,0.36
3,44.47651,12.24943,Impact,9_10,17.71,2.82,-25.9,0.34,9.6,0.36
3,44.47651,12.24943,Impact,10_11,16.95,2.6,-24.63,0.34,8.99,0.32
3,44.47651,12.24943,Impact,11_12,17.29,2.64,-25.63,0.33,9.32,0.33
3,44.47651,12.24943,Impact,12_13,17.49,2.76,-25.28,0.36,8.86,0.29
3,44.47651,12.24943,Impact,13_14,12.17,3.09,-26.26,0.34,10.56,0.45
3,44.47651,12.24943,Impact,14_15,17.12,2.94,-26.1,0.35,9.79,0.37
3,44.47651,12.24943,Impact,15_16,17.3,3.13,-25.09,0.35,10.53,0.46
3,44.47651,12.24943,Impact,16_17,16.9,2.06,-23.83,0.36,6.64,0.1
3,44.47651,12.24943,Impact,17_18,17.77,2.99,-25.44,0.38,9.22,0.33
3,44.47651,12.24943,Impact,18_19,18.43,3.32,-25.94,0.38,10.15,0.41
3,44.47651,12.24943,Impact,19_20,18.94,3.74,-25.8,0.44,9.84,0.38
4,44.47689,12.24576,Impact,0_1,19.23,2.95,-23.13,0.43,7.93,0.23
4,44.47689,12.24576,Impact,1_2,16.98,2.65,-22.76,0.46,6.74,0.12
4,44.47689,12.24576,Impact,2_3,17.38,2.99,-23.5,0.44,8.01,0.24
4,44.47689,12.24576,Impact,3_4,17.93,2.91,-24.13,0.38,8.83,0.31
4,44.47689,12.24576,Impact,4_5,18.49,3,-24.43,0.43,8.14,0.24
4,44.47689,12.24576,Impact,5_6,19.03,3.12,-23.69,0.49,7.48,0.18
4,44.47689,12.24576,Impact,6_7,18.67,2.99,-24.21,0.45,7.75,0.2
4,44.47689,12.24576,Impact,7_8,18.58,2.83,-24.43,0.44,7.57,0.18
4,44.47689,12.24576,Impact,8_9,18.91,2.75,-26.34,0.35,9.13,0.31
4,44.47689,12.24576,Impact,9_10,19.7,2.53,-27.02,0.34,8.76,0.26
4,44.47689,12.24576,Impact,10_11,18.48,2.74,-27.21,0.33,9.58,0.34
4,44.47689,12.24576,Impact,11_12,17.6,2.8,-26.08,0.35,9.34,0.33
4,44.47689,12.24576,Impact,12_13,17.9,2.93,-25.81,0.38,9.05,0.31
4,44.47689,12.24576,Impact,13_14,18.04,3.11,-26.44,0.38,9.52,0.34
4,44.47689,12.24576,Impact,14_15,17.74,3.14,-24.42,0.44,8.39,0.26
4,44.47689,12.24576,Impact,15_16,17.98,3.35,-25.79,0.41,9.43,0.34
4,44.47689,12.24576,Impact,16_17,17.57,3.4,-25.58,0.43,9.21,0.32
4,44.47689,12.24576,Impact,17_18,18.13,3.47,-25.02,0.44,9.12,0.32
4,44.47689,12.24576,Impact,18_19,18.49,3.94,-24.73,0.41,11.33,0.54
4,44.47689,12.24576,Impact,19_20,18.26,2.71,-26.71,0.34,9.28,0.32
