"study_id","bibliography_id","publication_type","bibtype","doi","title","author","publisher","year","url","month","volume","number","pages","journal","editor","booktitle","issn"
"Ajonina_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Allen_et_al_2007","Allen_et_al_2007_article","synthesis source","Article","10.1016/j.soilbio.2006.09.013","Spatial and temporal variation of nitrous oxide and methane flux between subtropical mangrove sediments and the atmosphere","Diane E. Allen and Ram C. Dalal and Heinz Rennenberg and Rikke Louise Meyer and Steven Reeves and Susanne Schmidt","Elsevier {BV}","2007","https://doi.org/10.1016/j.soilbio.2006.09.013","feb","39","2","622--631","Soil Biology and Biochemistry",NA,NA,NA
"Allen_et_al_2007","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Along_et_al_2000_MEPS","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_1996","Alongi_1996_article","synthesis source","Article","10.1357/0022240963213475","The dynamics of benthic nutrient pools and fluxes in tropical mangrove forests","Daniel M. Alongi","Journal of Marine Research/Yale","1996","https://doi.org/10.1357/0022240963213475","jan","54","1","123--148","Journal of Marine Research",NA,NA,NA
"Alongi_1996","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_et_al_1999","Alongi_et_al_1999_article","synthesis source","Article","10.1006/ecss.1998.0465","Mineralization of Organic Matter in Intertidal Sediments of a Tropical Semi-enclosed Delta","D.M. Alongi and F. Tirendi and P. Dixon and L.A. Trott and G.J. Brunskill","Elsevier {BV}","1999","https://doi.org/10.1006/ecss.1998.0465","apr","48","4","451--467","Estuarine, Coastal and Shelf Science",NA,NA,NA
"Alongi_et_al_1999","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_et_al_2000","Alongi_et_al_2000_article_oct","synthesis source","Article","10.1016/s0304-3770(00)00110-8","Below-ground decomposition of organic matter in forests of the mangroves Rhizophora stylosa and Avicennia marina along the arid coast of Western Australia","D.M Alongi and F Tirendi and B.F Clough","Elsevier {BV}","2000","https://doi.org/10.1016/s0304-3770(00)00110-8","oct","68","2","97--122","Aquatic Botany",NA,NA,NA
"Alongi_et_al_2000","Alongi_et_al_2000_article","synthesis source","Article","10.3354/meps194087","Benthic decomposition rates and pathways in plantations of the mangrove Rhizophora apiculata in the Mekong delta, Vietnam","DM Alongi and F Tirendi and LA Trott and TT Xuan","Inter-Research Science Center","2000","https://doi.org/10.3354/meps194087",NA,"194",NA,"87--101","Marine Ecology Progress Series",NA,NA,NA
"Alongi_et_al_2000","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_et_al_2001","Alongi_et_al_2001_article","synthesis source","Article","10.1016/s0025-3227(01)00195-5","Organic carbon accumulation and metabolic pathways in sediments of mangrove forests in southern Thailand","D.M Alongi and G Wattayakorn and J Pfitzner and F Tirendi and I Zagorskis and G.J Brunskill and A Davidson and B.F Clough","Elsevier {BV}","2001","https://doi.org/10.1016/s0025-3227(01)00195-5","sep","179",NA,"85--103","Marine Geology",NA,NA,NA
"Alongi_et_al_2001","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_et_al_2004","Alongi_et_al_2004_article","synthesis source","Article","10.1016/j.margeo.2004.04.016","Sediment accumulation and organic material flux in a managed mangrove ecosystem: estimates of land{\textendash}ocean{\textendash}atmosphere exchange in peninsular Malaysia","D.M Alongi and A Sasekumar and V.C Chong and J Pfitzner and L.A Trott and F Tirendi and P Dixon and G.J Brunskill","Elsevier {BV}","2004","https://doi.org/10.1016/j.margeo.2004.04.016","aug","208",NA,"383--402","Marine Geology",NA,NA,NA
"Alongi_et_al_2004","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_et_al_2005","Alongi_et_al_2005_article","synthesis source","Article","10.1016/j.ecss.2005.01.004","Rapid sediment accumulation and microbial mineralization in forests of the mangrove Kandelia candel in the Jiulongjiang Estuary, China","D.M. Alongi and J. Pfitzner and L.A. Trott and F. Tirendi and P. Dixon and D.W. Klumpp","Elsevier {BV}","2005","https://doi.org/10.1016/j.ecss.2005.01.004","jun","63","4","605--618","Estuarine, Coastal and Shelf Science",NA,NA,NA
"Alongi_et_al_2005","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_et_al_2008","Alongi_et_al_2008_article_oct","synthesis source","Article","10.3354/meps07661","Growth and development of mangrove forests overlying smothered coral reefs, Sulawesi and Sumatra, Indonesia","DM Alongi and LA Trott and {Rachmansyah} and F Tirendi and AD McKinnon and MC Undu","Inter-Research Science Center","2008","https://doi.org/10.3354/meps07661","oct","375",NA,"97--109","Marine Ecology Progress Series",NA,NA,NA
"Alongi_et_al_2008","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Andreetta_et_al_2014","Andreetta_et_al_2014_article","synthesis source","Article","10.1016/j.seares.2013.08.010","Mangrove carbon sink. Do burrowing crabs contribute to sediment carbon storage? Evidence from a Kenyan mangrove system","Anna Andreetta and Marco Fusi and Irene Cameldi and Filippo Ci ò and Stefano Carnicelli and Stefano Cannicci","Elsevier {BV}","2014","https://doi.org/10.1016/j.seares.2013.08.010","jan","85",NA,"524--533","Journal of Sea Research",NA,NA,NA
"Andreetta_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Andreetta_et_al_2016","Andreetta_et_al_2016_article","synthesis source","Article","10.1016/j.agee.2015.10.017","Land use changes affecting soil organic carbon storage along a mangrove swamp rice chronosequence in the Cacheu and Oio regions (northern Guinea-Bissau)","Anna Andreetta and Antonio Delgado Huertas and Matteo Lotti and Streng Cerise","Elsevier {BV}","2016","https://doi.org/10.1016/j.agee.2015.10.017","jan","216",NA,"314--321","Agriculture, Ecosystems {\&} Environment",NA,NA,NA
"Andreetta_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Ashton_and_Macintosh_2002","Ashton_and_Macintosh_2002_article","synthesis source","Article",NA,"Preliminary assessment of the plant diversity and community ecology of the Sematan mangrove forest, Sarawak, Malaysia","Ashton, Elizabeth C and Macintosh, Donald J",NA,"2002",NA,NA,"166",NA,NA,"Forest Ecology and Management",NA,NA,NA
"Ashton_and_Macintosh_2002","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Banerjee_et_al_2012","Banerjee_et_al_2012_article","synthesis source","Article",NA,"Influence of anthropogenic and natural factors on the mangrove soil of Indian Sundarbans wetland","Banerjee, Kakoli and Roy Chowdhury, M and Sengupta, Kasturi and Sett, Saurov and Mitra, Abhijit",NA,"2012",NA,NA,"6",NA,NA,"Arch Environ Sci",NA,NA,NA
"Banerjee_et_al_2012","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Bhomia_et_al_2016_Honduras","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Bhomia_et_al_2016_India","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Bianchi_et_al_2012","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Blue_Ventures_Unpublished","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Bouillon_et_al_2003","Bouillon_et_al_2003_article","synthesis source","Article",NA,"Sources of organic carbon in mangrove sediments: variability and possible ecological implications","Bouillon, Steven and Dahdouh-Guebas, Farid and Rao, AVVS and Koedam, Nico and Dehairs, Frank",NA,"2003",NA,NA,"495",NA,NA,"Hydrobiologia",NA,NA,NA
"Bouillon_et_al_2003","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Bouillon_et_al_2004_FEMS","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Brunskill_et_al_2002","Brunskill_et_al_2002_article","synthesis source","Article","10.1006/ecss.2001.0852","Carbon Burial Rates in Sediments and a Carbon Mass Balance for the Herbert River Region of the Great Barrier Reef Continental Shelf, North Queensland, Australia","G.J. Brunskill and I. Zagorskis and J. Pfitzner","Elsevier {BV}","2002","https://doi.org/10.1006/ecss.2001.0852","apr","54","4","677--700","Estuarine, Coastal and Shelf Science",NA,NA,NA
"Brunskill_et_al_2002","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Brunskill_et_al_2004","Brunskill_et_al_2004_article","synthesis source","Article","10.1016/j.csr.2004.07.024","Sediment and trace element depositional history from the Ajkwa River estuarine mangroves of Irian Jaya (West Papua), Indonesia","Gregg J. Brunskill and Irena Zagorskis and John Pfitzner and Joanna Ellison","Elsevier {BV}","2004","https://doi.org/10.1016/j.csr.2004.07.024","dec","24","19","2535--2551","Continental Shelf Research",NA,NA,NA
"Brunskill_et_al_2004","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Bukoski_et_al_2017","Bukoski_et_al_2017_article","synthesis source","Article","10.1371/journal.pone.0169096","The Use of Mixed Effects Models for Obtaining Low-Cost Ecosystem Carbon Stock Estimates in Mangroves of the Asia-Pacific","Jacob J. Bukoski and Jeremy S. Broadhead and Daniel C. Donato and Daniel Murdiyarso and Timothy G. Gregoire","Public Library of Science ({PLoS})","2017","https://doi.org/10.1371/journal.pone.0169096","jan","12","1","e0169096","{PLOS} {ONE}","Shing Yip Lee",NA,NA
"Bukoski_et_al_2017","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Bulmer_et_al_2016","Bulmer_et_al_2016_article","synthesis source","Article","10.3389/fmars.2016.00150","Carbon and Nitrogen Stocks and Below-Ground Allometry in Temperate Mangroves","Richard H. Bulmer and Luitgard Schwendenmann and Carolyn J. Lundquist","Frontiers Media {SA}","2016","https://doi.org/10.3389/fmars.2016.00150","aug","3",NA,NA,"Frontiers in Marine Science",NA,NA,NA
"Bulmer_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"C._Sanders_Submitted_to_ECSS","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"C._Sanders_Unpublished","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Cahoon_and_Lynch_1997","Cahoon_and_Lynch_1997_article","synthesis source","Article",NA,"Vertical accretion and shallow subsidence in a mangrove forest of southwestern Florida, USA","Cahoon, Donald R and Lynch, James C",NA,"1997",NA,NA,"1","3",NA,"Mangroves and Salt Marshes",NA,NA,NA
"Cahoon_and_Lynch_1997","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Callaway_et_al_1997","Callaway_et_al_1997_article","synthesis source","Article",NA,"Sediment accretion rates from four coastal wetlands along the Gulf of Mexico","Callaway, JC and DeLaune, RD and Patrick Jr, WH",NA,"1997",NA,NA,NA,NA,NA,"Journal of Coastal Research",NA,NA,NA
"Callaway_et_al_1997","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Cardona_and_Botero_1998","Cardona_and_Botero_1998_article","synthesis source","Article","10.1111/j.1744-7429.1998.tb00366.x","Soil Characteristics and Vegetation Structure in a Heavily Deteriorated Mangrove Forest in the Caribbean Coast of Colombia","Pablo Cardona and Leonor Botero","Wiley","1998","https://doi.org/10.1111/j.1744-7429.1998.tb00366.x","mar","30","1","24--34","Biotropica",NA,NA,NA
"Cardona_and_Botero_1998","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Ceron-Breton_et_al_2011","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Chanda_et_al_2013","Chanda_et_al_2013_article","synthesis source","Article","10.1007/s12665-013-2962-2","Measuring daytime {CO}2 fluxes from the inter-tidal mangrove soils of Indian Sundarbans","Abhra Chanda and Anirban Akhand and Sudip Manna and Sachinandan Dutta and Indrani Das and Sugata Hazra and K. H. Rao and V. K. Dadhwal","Springer Science and Business Media {LLC}","2013","https://doi.org/10.1007/s12665-013-2962-2","nov","72","2","417--427","Environmental Earth Sciences",NA,NA,NA
"Chanda_et_al_2013","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Chen_and_Twilley_1999","Chen_and_Twilley_1999_article","synthesis source","Article","10.1007/bf00993000","A simulation model of organic matter and nutrient accumulation in mangrove wetland soils","Ronghua Chen and Robert R. Twilley","Springer Science and Business Media {LLC}","1999","https://doi.org/10.1007/bf00993000","jan","44","1","93--118","Biogeochemistry",NA,NA,NA
"Chen_and_Twilley_1999","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Chen_et_al_2010","Chen_et_al_2010_article","synthesis source","Article","10.1016/j.scitotenv.2010.03.007","Summer fluxes of atmospheric greenhouse gases N2O, {CH}4 and {CO}2 from mangrove soil in South China","G.C. Chen and N.F.Y. Tam and Y. Ye","Elsevier {BV}","2010","https://doi.org/10.1016/j.scitotenv.2010.03.007","jun","408","13","2761--2767","Science of The Total Environment",NA,NA,NA
"Chen_et_al_2010","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Chen_et_al_2012","Chen_et_al_2012_article","synthesis source","Article","10.1016/j.soilbio.2012.01.029","Spatial and seasonal variations of atmospheric N2O and {CO}2 fluxes from a subtropical mangrove swamp and their relationships with soil characteristics","Guang C. Chen and Nora F.Y. Tam and Yong Ye","Elsevier {BV}","2012","https://doi.org/10.1016/j.soilbio.2012.01.029","may","48",NA,"175--181","Soil Biology and Biochemistry",NA,NA,NA
"Chen_et_al_2012","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Chen_et_al_2014","Chen_et_al_2014_article","synthesis source","Article","10.1016/j.scitotenv.2014.03.140","Rich soil carbon and nitrogen but low atmospheric greenhouse gas fluxes from North Sulawesi mangrove swamps in Indonesia","Guang C. Chen and Yaya I. Ulumuddin and Sastro Pramudji and Shun Y. Chen and Bin Chen and Yong Ye and Dan Y. Ou and Zhi Y. Ma and Hao Huang and Jing K. Wang","Elsevier {BV}","2014","https://doi.org/10.1016/j.scitotenv.2014.03.140","jul","487",NA,"91--96","Science of The Total Environment",NA,NA,NA
"Chen_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Chen_et_al_2016","Chen_et_al_2016_article","synthesis source","Article","10.5194/bg-2015-662","Soil greenhouse gases emissions reduce the benefit of mangrove plant to mitigating atmospheric warming effect","Guangcheng Chen and Bin Chen and Dan Yu and Yong Ye and Nora F. Y. Tam and Shunyang Chen","Copernicus {GmbH}","2016","https://doi.org/10.5194/bg-2015-662","feb",NA,NA,"1--22","Biogeosciences Discussions",NA,NA,NA
"Chen_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Chmura_et_al_2003","Chmura_et_al_2003_article","synthesis source","Article","10.1029/2002gb001917","Global carbon sequestration in tidal, saline wetland soils","Gail L. Chmura and Shimon C. Anisfeld and Donald R. Cahoon and James C. Lynch","American Geophysical Union ({AGU})","2003","https://doi.org/10.1029/2002gb001917","dec","17","4","n/a--n/a","Global Biogeochemical Cycles",NA,NA,NA
"Chmura_et_al_2003","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
