,,,,,,,,,,,,QMD for each class (cm),,,Specific Gravities (kg m-3),,,,
864,1,W,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
864,2,NE,0,0,0,0,0,1,1,,,0.00,0.99,0.06,0.00,0.00,0.00,0.63,0.03
864,2,SE,0,0,0,0,2,2,1,,,13.60,1.98,0.06,0.00,0.00,9.66,1.26,0.03
864,2,SW,0,0,0,0,0,3,1,,,0.00,2.96,0.06,0.00,0.00,0.00,1.90,0.03
864,2,W,0,0,0,0,0,0,3,,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08
864,3,E,0,0,0,0,1,1,4,,,6.80,0.99,0.22,0.00,0.00,4.83,0.63,0.11
864,3,N,0,0,0,0,1,12,1,,,6.80,11.86,0.06,0.00,0.00,4.83,7.59,0.03
864,3,S,0,0,0,0,0,2,3,,,0.00,1.98,0.17,0.00,0.00,0.00,1.26,0.08
864,3,W,0,0,0,0,1,0,0,,,6.80,0.00,0.00,0.00,0.00,4.83,0.00,0.00
864,4,NE,0,0,0,0,0,1,4,,,0.00,0.99,0.22,0.00,0.00,0.00,0.63,0.11
864,4,NW,0,0,0,0,4,0,0,,,27.20,0.00,0.00,0.00,0.00,19.31,0.00,0.00
864,4,SE,0,0,0,0,0,2,1,,,0.00,1.98,0.06,0.00,0.00,0.00,1.26,0.03
864,4,SW,0,0,0,0,1,3,0,,,6.80,2.96,0.00,0.00,0.00,4.83,1.90,0.00
864,5,E,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
864,5,N,0,0,0,0,0,1,2,,,0.00,0.99,0.11,0.00,0.00,0.00,0.63,0.05
864,5,S,13.7,187.69,0,0,1,2,0,1.41,,6.80,1.98,0.00,0.97,0.00,4.83,1.26,0.00
864,5,W,0,0,0,0,1,15,1,,,6.80,14.82,0.06,0.00,0.00,4.83,9.48,0.03
1001,1,E,0,0,0,0,0,1,0,,,0.00,0.99,0.00,0.00,0.00,0.00,0.63,0.00
1001,1,N,8.5,72.25,0,0,0,0,2,0.87,,0.00,0.00,0.11,0.60,0.00,0.00,0.00,0.05
1001,1,S,0,0,0,0,3,5,3,,,20.40,4.94,0.17,0.00,0.00,14.49,3.16,0.08
1001,1,W,0,0,0,0,1,5,4,,,6.80,4.94,0.22,0.00,0.00,4.83,3.16,0.11
1001,2,NE,0,0,0,0,1,1,4,,,6.80,0.99,0.22,0.00,0.00,4.83,0.63,0.11
1001,2,NW,0,0,0,0,2,3,6,,,13.60,2.96,0.33,0.00,0.00,9.66,1.90,0.16
1001,2,SE,0,0,0,0,0,7,4,,,0.00,6.92,0.22,0.00,0.00,0.00,4.43,0.11
1001,2,SW,0,0,8,64,3,2,8,,0.82,20.40,1.98,0.44,0.00,0.24,14.49,1.26,0.21
1001,3,E,7.5,56.25,0,0,3,1,5,0.77,,20.40,0.99,0.28,0.53,0.00,14.49,0.63,0.13
1001,3,N,8,64,0,0,4,16,18,0.82,,27.20,15.81,1.00,0.57,0.00,19.31,10.12,0.48
1001,3,S,11.5,132.25,0,0,0,3,7,2.98,,0.00,2.96,0.39,2.06,0.00,0.00,1.90,0.19
1001,3,S,17.5,306.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1001,3,W,8,64,0,0,0,11,0,,,0.00,10.87,0.00,0.00,0.00,0.00,6.96,0.00
1001,4,NE,0,0,0,0,4,1,1,,,27.20,0.99,0.06,0.00,0.00,19.31,0.63,0.03
1001,4,NW,0,0,0,0,0,1,2,,,0.00,0.99,0.11,0.00,0.00,0.00,0.63,0.05
1001,4,SE,0,0,9,81,0,2,6,,1.90,0.00,1.98,0.33,0.00,0.55,0.00,1.26,0.16
1001,4,SE,,0,9.5,90.25,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1001,4,SW,0,0,0,0,0,3,1,,,0.00,2.96,0.06,0.00,0.00,0.00,1.90,0.03
1001,5,E,0,0,0,0,2,3,4,,,13.60,2.96,0.22,0.00,0.00,9.66,1.90,0.11
1001,5,N,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
1001,5,S,0,0,0,0,0,1,4,,,0.00,0.99,0.22,0.00,0.00,0.00,0.63,0.11
1001,5,W,0,0,9.5,90.25,0,2,1,,0.98,0.00,1.98,0.06,0.00,0.28,0.00,1.26,0.03
1079,1,E,0,0,0,0,3,1,0,,,20.40,0.99,0.00,0.00,0.00,14.49,0.63,0.00
1079,1,N,12.5,156.25,0,0,7,2,2,1.29,,47.61,1.98,0.11,0.89,0.00,33.80,1.26,0.05
1079,1,S,0,0,0,0,0,1,9,,,0.00,0.99,0.50,0.00,0.00,0.00,0.63,0.24
1079,1,W,10.2,104.04,0,0,0,1,3,1.82,,0.00,0.99,0.17,1.26,0.00,0.00,0.63,0.08
1079,1,W,7.5,56.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1079,2,NE,0,0,0,0,1,2,7,,,6.80,1.98,0.39,0.00,0.00,4.83,1.26,0.19
1079,2,NW,24,576,0,0,3,8,15,5.65,,20.40,7.90,0.83,3.90,0.00,14.49,5.06,0.40
1079,2,NW,14,196,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1079,2,NW,7,49,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1079,2,NW,10,100,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1079,2,SE,12,144,0,0,4,3,6,2.67,,27.20,2.96,0.33,1.84,0.00,19.31,1.90,0.16
1079,2,SE,14,196,13.2,174.24,,,,,1.36,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00
1079,2,SW,10,100,0,0,5,3,7,1.03,,34.00,2.96,0.39,0.71,0.00,24.14,1.90,0.19
1079,3,E,0,0,0,0,0,3,7,,,0.00,2.96,0.39,0.00,0.00,0.00,1.90,0.19
1079,3,N,27.3,745.29,31,961,1,2,3,2.81,3.19,6.80,1.98,0.17,1.94,0.91,4.83,1.26,0.08
1079,3,S,0,0,0,0,1,4,0,,,6.80,3.95,0.00,0.00,0.00,4.83,2.53,0.00
1079,3,W,20.5,420.25,10.5,110.25,4,7,3,2.11,1.08,27.20,6.92,0.17,1.45,0.31,19.31,4.43,0.08
1079,4,NE,7,49,0,0,0,9,14,1.64,,0.00,8.89,0.78,1.14,0.00,0.00,5.69,0.37
1079,4,NE,9,81,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1079,4,NW,10,100,0,0,1,6,3,1.03,,6.80,5.93,0.17,0.71,0.00,4.83,3.79,0.08
1079,4,SE,12,144,0,0,0,1,3,1.23,,0.00,0.99,0.17,0.85,0.00,0.00,0.63,0.08
1079,4,SW,0,0,0,0,0,3,6,,,0.00,2.96,0.33,0.00,0.00,0.00,1.90,0.16
1079,5,E,0,0,0,0,11,6,14,,,74.81,5.93,0.78,0.00,0.00,53.11,3.79,0.37
1079,5,N,14.5,210.25,0,0,1,7,3,2.72,,6.80,6.92,0.17,1.88,0.00,4.83,4.43,0.08
1079,5,N,12,144,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1079,5,S,0,0,0,0,0,7,0,,,0.00,6.92,0.00,0.00,0.00,0.00,4.43,0.00
1079,5,W,0,0,0,0,1,4,4,,,6.80,3.95,0.22,0.00,0.00,4.83,2.53,0.11
1113,1,E,9.1,82.81,0,0,1,4,1,1.89,,6.80,3.95,0.06,1.31,0.00,4.83,2.53,0.03
1113,1,E,9.3,86.49,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1113,1,N,0,0,0,0,0,2,3,,,0.00,1.98,0.17,0.00,0.00,0.00,1.26,0.08
1113,1,S,12.5,156.25,0,0,0,1,3,1.29,,0.00,0.99,0.17,0.89,0.00,0.00,0.63,0.08
1113,1,W,8.3,68.89,0,0,1,3,2,0.85,,6.80,2.96,0.11,0.59,0.00,4.83,1.90,0.05
1113,2,NE,0,0,0,0,1,1,0,,,6.80,0.99,0.00,0.00,0.00,4.83,0.63,0.00
1113,2,NW,0,0,0,0,0,1,4,,,0.00,0.99,0.22,0.00,0.00,0.00,0.63,0.11
1113,2,SE,20.5,420.25,0,0,1,3,0,2.11,,6.80,2.96,0.00,1.45,0.00,4.83,1.90,0.00
1113,2,SW,0,0,0,0,2,0,6,,,13.60,0.00,0.33,0.00,0.00,9.66,0.00,0.16
1113,3,E,0,0,0,0,3,1,8,,,20.40,0.99,0.44,0.00,0.00,14.49,0.63,0.21
1113,3,N,0,0,0,0,0,2,7,,,0.00,1.98,0.39,0.00,0.00,0.00,1.26,0.19
1113,3,S,12.3,151.29,0,0,2,8,2,1.26,,13.60,7.90,0.11,0.87,0.00,9.66,5.06,0.05
1113,3,W,35.2,1239.04,0,0,1,5,3,3.62,,6.80,4.94,0.17,2.50,0.00,4.83,3.16,0.08
1113,4,NE,0,0,0,0,0,3,6,,,0.00,2.96,0.33,0.00,0.00,0.00,1.90,0.16
1113,4,NW,0,0,0,0,0,2,0,,,0.00,1.98,0.00,0.00,0.00,0.00,1.26,0.00
1113,4,SE,18.5,342.25,0,0,3,0,6,1.90,,20.40,0.00,0.33,1.31,0.00,14.49,0.00,0.16
1113,4,SW,16,256,0,0,0,2,3,3.50,,0.00,1.98,0.17,2.41,0.00,0.00,1.26,0.08
1113,4,SW,18,324,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1130,1,E,0,0,0,0,0,2,3,,,0.00,1.98,0.17,0.00,0.00,0.00,1.26,0.08
1130,1,N,0,0,0,0,0,1,1,,,0.00,0.99,0.06,0.00,0.00,0.00,0.63,0.03
1130,1,S,0,0,0,0,1,1,27,,,6.80,0.99,1.50,0.00,0.00,4.83,0.63,0.72
1130,1,W,0,0,0,0,0,0,1,,,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.03
1130,2,E,0,0,0,0,0,22,2,,,0.00,21.74,0.11,0.00,0.00,0.00,13.91,0.05
1130,2,N,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
1130,2,S,0,0,0,0,0,0,4,,,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.11
1130,2,W,0,0,0,0,3,6,4,,,20.40,5.93,0.22,0.00,0.00,14.49,3.79,0.11
1130,3,E,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1130,3,N,0,0,0,0,0,1,2,,,0.00,0.99,0.11,0.00,0.00,0.00,0.63,0.05
1130,3,S,0,0,0,0,0,1,1,,,0.00,0.99,0.06,0.00,0.00,0.00,0.63,0.03
1130,3,W,0,0,0,0,1,0,0,,,6.80,0.00,0.00,0.00,0.00,4.83,0.00,0.00
1130,4,E,0,0,0,0,0,0,13,,,0.00,0.00,0.72,0.00,0.00,0.00,0.00,0.35
1130,4,N,0,0,0,0,0,1,40,,,0.00,0.99,2.22,0.00,0.00,0.00,0.63,1.07
1130,4,S,0,0,0,0,0,0,5,,,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.13
1130,4,W,0,0,0,0,0,2,4,,,0.00,1.98,0.22,0.00,0.00,0.00,1.26,0.11
1130,5,NE,0,0,0,0,1,0,3,,,6.80,0.00,0.17,0.00,0.00,4.83,0.00,0.08
1130,5,NW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1130,5,SE,0,0,0,0,2,0,2,,,13.60,0.00,0.11,0.00,0.00,9.66,0.00,0.05
1130,5,SW,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
1216,1,E,31.5,992.25,0,0,0,0,0,3.24,,0.00,0.00,0.00,2.23,0.00,0.00,0.00,0.00
1216,1,N,25,625,0,0,0,0,0,2.57,,0.00,0.00,0.00,1.77,0.00,0.00,0.00,0.00
1216,1,S,12.3,151.29,0,0,0,1,7,1.26,,0.00,0.99,0.39,0.87,0.00,0.00,0.63,0.19
1216,1,W,11.3,127.69,0,0,0,1,0,6.69,,0.00,0.99,0.00,4.62,0.00,0.00,0.63,0.00
1216,1,W,11.1,123.21,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,1,W,21.3,453.69,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,1,W,21.4,457.96,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,2,E,0,0,0,0,1,0,0,,,6.80,0.00,0.00,0.00,0.00,4.83,0.00,0.00
1216,2,N,0,0,0,0,4,0,0,,,27.20,0.00,0.00,0.00,0.00,19.31,0.00,0.00
1216,2,S,16.8,282.24,0,0,1,2,0,1.73,,6.80,1.98,0.00,1.19,0.00,4.83,1.26,0.00
1216,2,W,16.7,278.89,0,0,0,0,0,1.72,,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.00
1216,3,NE,25.5,650.25,0,0,0,0,1,7.93,,0.00,0.00,0.06,5.47,0.00,0.00,0.00,0.03
1216,3,NE,29.1,846.81,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,3,NE,22.5,506.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,3,NW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,3,SE,0,0,0,0,0,2,0,,,0.00,1.98,0.00,0.00,0.00,0.00,1.26,0.00
1216,3,SW,14.9,222.01,0,0,0,10,3,1.53,,0.00,9.88,0.17,1.06,0.00,0.00,6.32,0.08
1216,4,E,0,0,0,0,0,1,0,,,0.00,0.99,0.00,0.00,0.00,0.00,0.63,0.00
1216,4,N,0,0,0,0,1,2,13,,,6.80,1.98,0.72,0.00,0.00,4.83,1.26,0.35
1216,4,S,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,4,W,17.4,302.76,0,0,0,0,0,1.79,,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00
1216,5,NE,19.8,392.04,0,0,2,1,0,4.66,,13.60,0.99,0.00,3.21,0.00,9.66,0.63,0.00
1216,5,NE,18.2,331.24,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,5,NE,7.3,53.29,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,5,NW,0,0,0,0,1,0,0,,,6.80,0.00,0.00,0.00,0.00,4.83,0.00,0.00
1216,5,SE,18.1,327.61,0,0,0,8,1,6.42,,0.00,7.90,0.06,4.43,0.00,0.00,5.06,0.03
1216,5,SE,19,361,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,5,SE,25.3,640.09,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1216,5,SW,0,0,0,0,1,0,0,,,6.80,0.00,0.00,0.00,0.00,4.83,0.00,0.00
1219,1,E,0,0,0,0,0,0,4,,,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.11
1219,1,N,0,0,0,0,0,4,3,,,0.00,3.95,0.17,0.00,0.00,0.00,2.53,0.08
1219,1,S,0,0,0,0,1,3,3,,,6.80,2.96,0.17,0.00,0.00,4.83,1.90,0.08
1219,1,W,0,0,0,0,0,2,1,,,0.00,1.98,0.06,0.00,0.00,0.00,1.26,0.03
1219,2,NE,8,64,7.3,53.29,1,1,9,,0.75,6.80,0.99,0.50,0.00,0.22,4.83,0.63,0.24
1219,2,NW,0,0,0,0,0,3,18,,,0.00,2.96,1.00,0.00,0.00,0.00,1.90,0.48
1219,2,SE,0,0,0,0,1,2,2,,,6.80,1.98,0.11,0.00,0.00,4.83,1.26,0.05
1219,2,SW,0,0,0,0,2,0,0,,,13.60,0.00,0.00,0.00,0.00,9.66,0.00,0.00
1219,3,E,0,0,0,0,3,0,21,,,20.40,0.00,1.17,0.00,0.00,14.49,0.00,0.56
1219,3,N,11,121,0,0,2,0,3,1.13,,13.60,0.00,0.17,0.78,0.00,9.66,0.00,0.08
1219,3,S,0,0,0,0,8,7,11,,,54.41,6.92,0.61,0.00,0.00,38.63,4.43,0.29
1219,3,W,0,0,0,0,1,0,7,,,6.80,0.00,0.39,0.00,0.00,4.83,0.00,0.19
1219,4,NE,0,0,0,0,1,1,21,,,6.80,0.99,1.17,0.00,0.00,4.83,0.63,0.56
1219,4,NW,0,0,0,0,0,2,4,,,0.00,1.98,0.22,0.00,0.00,0.00,1.26,0.11
1219,4,SE,0,0,0,0,0,5,3,,,0.00,4.94,0.17,0.00,0.00,0.00,3.16,0.08
1219,4,SW,0,0,0,0,1,1,7,,,6.80,0.99,0.39,0.00,0.00,4.83,0.63,0.19
1219,5,E,0,0,0,0,0,4,6,,,0.00,3.95,0.33,0.00,0.00,0.00,2.53,0.16
1219,5,N,0,0,0,0,0,3,5,,,0.00,2.96,0.28,0.00,0.00,0.00,1.90,0.13
1219,5,S,0,0,0,0,1,1,7,,,6.80,0.99,0.39,0.00,0.00,4.83,0.63,0.19
1219,5,W,0,0,0,0,2,6,4,,,13.60,5.93,0.22,0.00,0.00,9.66,3.79,0.11
1254,1,E,0,0,0,0,1,8,5,,,6.80,7.90,0.28,0.00,0.00,4.83,5.06,0.13
1254,1,N,9.4,88.36,0,0,4,5,0,0.97,,27.20,4.94,0.00,0.67,0.00,19.31,3.16,0.00
1254,1,S,9.4,88.36,0,0,3,7,9,0.97,,20.40,6.92,0.50,0.67,0.00,14.49,4.43,0.24
1254,1,W,8.4,70.56,8.4,70.56,1,9,4,2.88,0.86,6.80,8.89,0.22,1.99,0.25,4.83,5.69,0.11
1254,1,W,8.3,68.89,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1254,1,W,11.3,127.69,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1254,2,NE,10,100,13.5,182.25,0,5,15,1.03,1.39,0.00,4.94,0.83,0.71,0.40,0.00,3.16,0.40
1254,2,NW,10,100,0,0,0,2,2,1.03,,0.00,1.98,0.11,0.71,0.00,0.00,1.26,0.05
1254,2,SE,9,81,0,0,1,10,25,0.93,,6.80,9.88,1.39,0.64,0.00,4.83,6.32,0.67
1254,2,SW,13,169,0,0,1,5,9,1.34,,6.80,4.94,0.50,0.92,0.00,4.83,3.16,0.24
1254,3,E,0,0,0,0,0,5,6,,,0.00,4.94,0.33,0.00,0.00,0.00,3.16,0.16
1254,3,N,10,100,16.5,272.25,0,10,20,4.42,2.42,0.00,9.88,1.11,3.05,0.69,0.00,6.32,0.53
1254,3,N,14,196,7,49,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1254,3,N,10,100,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1254,3,N,9,81,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1254,3,S,7.5,56.25,0,0,0,7,24,0.77,,0.00,6.92,1.33,0.53,0.00,0.00,4.43,0.64
1254,3,W,7.5,56.25,5,25,2,3,6,0.77,0.51,13.60,2.96,0.33,0.53,0.15,9.66,1.90,0.16
1254,4,NE,0,0,0,0,1,5,1,,,6.80,4.94,0.06,0.00,0.00,4.83,3.16,0.03
1254,4,NW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1254,4,SE,6.5,42.25,6.5,42.25,0,5,7,2.06,1.54,0.00,4.94,0.39,1.42,0.44,0.00,3.16,0.19
1254,4,SE,13.5,182.25,8.5,72.25,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1254,4,SW,7.5,56.25,0,0,1,3,8,0.77,,6.80,2.96,0.44,0.53,0.00,4.83,1.90,0.21
1254,5,E,16.5,272.25,0,0,3,8,12,1.70,,20.40,7.90,0.67,1.17,0.00,14.49,5.06,0.32
1254,5,N,10.5,110.25,0,0,2,4,20,2.57,,13.60,3.95,1.11,1.77,0.00,9.66,2.53,0.53
1254,5,N,14.5,210.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1254,5,S,0,0,0,0,0,2,5,,,0.00,1.98,0.28,0.00,0.00,0.00,1.26,0.13
1254,5,W,0,0,0,0,0,0,3,,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08
1285,1,E,0,0,0,0,5,3,0,,,34.00,2.96,0.00,0.00,0.00,24.14,1.90,0.00
1285,1,N,0,0,0,0,0,4,2,,,0.00,3.95,0.11,0.00,0.00,0.00,2.53,0.05
1285,1,S,0,0,0,0,0,4,3,,,0.00,3.95,0.17,0.00,0.00,0.00,2.53,0.08
1285,1,W,0,0,0,0,0,3,0,,,0.00,2.96,0.00,0.00,0.00,0.00,1.90,0.00
1285,2,NE,9.3,86.49,13,169,1,2,8,2.00,1.34,6.80,1.98,0.44,1.38,0.38,4.83,1.26,0.21
1285,2,NE,10.2,104.04,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1285,2,NW,0,0,0,0,1,2,2,,,6.80,1.98,0.11,0.00,0.00,4.83,1.26,0.05
1285,2,SE,0,0,9.3,86.49,0,1,4,,0.96,0.00,0.99,0.22,0.00,0.27,0.00,0.63,0.11
1285,2,SW,0,0,0,0,2,0,1,,,13.60,0.00,0.06,0.00,0.00,9.66,0.00,0.03
1285,3,E,8.2,67.24,8,64,2,14,6,0.84,0.82,13.60,13.83,0.33,0.58,0.24,9.66,8.85,0.16
1285,3,N,0,0,0,0,4,0,0,,,27.20,0.00,0.00,0.00,0.00,19.31,0.00,0.00
1285,3,S,0,0,0,0,1,3,2,,,6.80,2.96,0.11,0.00,0.00,4.83,1.90,0.05
1285,3,W,0,0,22.3,497.29,0,1,20,,3.20,0.00,0.99,1.11,0.00,0.92,0.00,0.63,0.53
1285,3,W,,0,8.8,77.44,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1285,4,NE,9.5,90.25,0,0,0,9,14,0.98,,0.00,8.89,0.78,0.67,0.00,0.00,5.69,0.37
1285,4,NW,0,0,0,0,8,7,2,,,54.41,6.92,0.11,0.00,0.00,38.63,4.43,0.05
1285,4,SE,0,0,0,0,0,0,1,,,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.03
1285,4,SW,0,0,19.6,384.16,1,1,2,,5.43,6.80,0.99,0.11,0.00,1.56,4.83,0.63,0.05
1285,4,SW,,0,26.1,681.21,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1285,4,SW,,0,7.1,50.41,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1285,5,E,0,0,0,0,3,0,2,,,20.40,0.00,0.11,0.00,0.00,14.49,0.00,0.05
1285,5,N,0,0,0,0,0,2,0,,,0.00,1.98,0.00,0.00,0.00,0.00,1.26,0.00
1285,5,S,11.3,127.69,0,0,5,6,4,2.25,,34.00,5.93,0.22,1.55,0.00,24.14,3.79,0.11
1285,5,S,10.6,112.36,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1285,5,W,0,0,0,0,3,1,0,,,20.40,0.99,0.00,0.00,0.00,14.49,0.63,0.00
1305,1,E,0,0,0,0,0,0,4,,,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.11
1305,1,N,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1305,1,S,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
1305,1,W,0,0,0,0,0,0,1,,,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.03
1305,4,NE,0,0,0,0,0,0,3,,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08
1305,4,NW,0,0,0,0,1,0,2,,,6.80,0.00,0.11,0.00,0.00,4.83,0.00,0.05
1305,4,SE,0,0,0,0,0,1,1,,,0.00,0.99,0.06,0.00,0.00,0.00,0.63,0.03
1305,4,SW,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
1314,1,E,0,0,0,0,3,3,5,,,20.40,2.96,0.28,0.00,0.00,14.49,1.90,0.13
1314,1,N,0,0,0,0,1,4,0,,,6.80,3.95,0.00,0.00,0.00,4.83,2.53,0.00
1314,1,S,0,0,0,0,0,3,14,,,0.00,2.96,0.78,0.00,0.00,0.00,1.90,0.37
1314,1,W,0,0,0,0,1,1,3,,,6.80,0.99,0.17,0.00,0.00,4.83,0.63,0.08
