Plot,Subplot,Interval,Actual Sample Interval,Actual Core Length (cm),Bulk Density (g cm-3),%C,%N
9012,5,3,35_40,4.5,0.889,1.64,0.12
1216,4,3,35_40,4.6,0.734,1.64,0.08
1361,5,6,190_195,5.0,0.991,1.64,2.01
9019,3,2,20_25,4.5,0.744,1.64,0.12
37,5,4,64_69,4.8,0.641,1.64,0.12
9025,2,4,70_75,5.0,0.903,1.64,0.13
9010,2,2,20_25,5.0,0.907,1.65,0.08
9007,4,1,5_10,4.8,0.920,1.65,0.14
864,3,4,70_75,5.4,0.947,1.65,0.10
9021,3,6,190_195,5.2,0.838,1.65,0.12
9018,4,2,20_25,4.5,0.724,1.65,0.16
36,4,3,35_40,5.3,0.636,1.65,0.12
1285,3,5,145_150,4.8,0.991,1.65,0.11
1254,1,5,145_150,5.0,0.763,1.65,0.12
35,3,1,5_10,5,0.949,1.65,0.10
9017,5,5,145_150,4.6,1.094,1.66,0.10
9019,1,4,70_75,4.5,0.886,1.66,0.11
1219,1,2,20_25,5.0,0.822,1.66,0.12
9024,3,6,190_195,5.0,0.813,1.66,0.09
35,2,6,190_195,4.9,0.865,1.66,0.10
806,2,2,20_25,5.0,0.862,1.66,0.11
9007,3,1,5_10,4.9,0.879,1.66,0.15
9005,5,2,20_25,4.5,1.247,1.66,0.11
9013,5,5,145_150,5.2,0.925,1.67,0.12
32B,3,4,70_75,4.9,0.801,1.67,0.12
1130,4,6,190_195,5.0,0.972,1.67,0.11
9001,3,2,20_25,4.7,0.994,1.67,0.11
9001,1,3,35_40,4.9,1.040,1.67,0.12
1314,1,1,12_17,4.9,0.695,1.67,0.13
9012,1,6,190_195,5.0,0.641,1.67,0.11
9014,4,5,145_150,4.9,0.925,1.67,0.12
9024,1,6,190_195,4.8,0.909,1.67,0.10
1254,5,5,146_151,4.9,0.815,1.67,0.12
36,1,4,83_87,4.7,0.787,1.67,0.08
37,6,6,190_195,4.9,0.778,1.68,0.11
9020,2,5,145_150,5.0,0.823,1.68,0.14
9023,4,6,176_181,4.8,0.684,1.68,0.12
1113,1,6,190_195,5.0,0.988,1.68,0.06
1216,5,4,65_70,4.8,0.692,1.68,0.10
37,4,5,145_150,5,0.768,1.69,0.12
1314,2,2,20_25,5.0,0.684,1.69,0.14
9012,1,2,24_29,4.5,0.898,1.69,0.12
9011,2,5,145_150,5.0,0.492,1.69,0.13
1382,4,2,20_25,4.5,0.635,1.69,0.12
9022,5,6,185_190,5.2,0.665,1.69,0.12
37,4,4,70_75,4.8,0.752,1.69,0.12
36,4,1,8_13,5,0.798,1.70,0.13
9025,5,3,35_40,4.8,0.871,1.70,0.12
9018,5,4,70_75,5.5,0.706,1.70,0.13
9022,4,4,60_65,4.1,0.722,1.71,0.11
36,5,5,145_150,5.2,0.681,1.71,0.09
1130,5,6,185_190,5.2,0.849,1.71,0.12
1079,2,5,145_150,4.7,0.920,1.71,0.09
1216,3,2,20_25,4.3,0.879,1.71,0.12
9025,1,4,70_75,4.6,0.863,1.71,0.12
9021,3,5,145_150,3.9,0.862,1.71,0.13
9023,2,4,65_70,5.4,0.754,1.71,0.11
9023,5,4,70_75,5.0,0.727,1.71,0.12
37,5,2,20_25,4.7,0.577,1.71,0.11
9013,1,1,5_10,5.6,0.795,1.71,0.13
9009,1,5,145_150,5.3,0.851,1.71,0.12
35,6,3,30_35,4.7,0.691,1.72,0.13
1359,1,2,20_25,4.4,0.717,1.72,0.14
9010,1,4,70_75,4.5,0.939,1.72,0.08
1285,2,6,179_184,4.9,0.835,1.72,0.10
1382,1,6,145_150,5.0,0.642,1.72,0.13
1361,3,2,20_25,5.0,0.721,1.72,0.12
1314,1,3,35_40,4.8,0.711,1.72,0.11
9025,1,3,35_40,4.8,0.750,1.73,0.12
1359,2,6,170_175,4.7,1.004,1.73,0.11
9025,4,4,70_75,4.8,0.725,1.73,0.14
9011,1,4,70_75,5.0,0.653,1.73,0.12
9022,1,1,5_10,4.9,0.857,1.73,0.13
9014,4,6,171_176,4.5,1.170,1.73,0.12
9007,4,2,20_25,4.9,0.777,1.74,0.15
9012,1,1,2_7,4.0,0.961,1.74,0.13
17,6,2,20_25,4.8,0.678,1.74,0.14
36,2,3,35_40,4.9,0.798,1.74,0.12
9018,5,2,20_25,4.7,0.745,1.74,0.13
9013,5,1,5_10,4.8,0.881,1.74,0.14
9001,3,3,35_40,4.5,1.051,1.74,0.11
9019,1,3,35_40,4.8,0.830,1.74,0.11
35,6,5,146_151,4.7,0.829,1.74,0.10
1285,1,2,20_25,4.6,0.635,1.74,0.14
9023,2,3,35_40,5.3,0.708,1.75,0.13
1382,2,3,35_40,4.6,0.713,1.75,0.13
16,1,1,5_10,5,0.862,1.75,0.06
32B,2,1,5_10,5,0.955,1.75,0.15
9019,1,1,5_10,4.5,0.875,1.75,0.14
35,6,6,178_183,4.7,0.791,1.75,0.10
9022,3,3,35_40,5.0,0.679,1.75,0.15
1079,2,4,70_75,5.0,0.826,1.75,0.12
9006,1,3,35_40,4.8,0.804,1.75,0.14
9003,4,5,145_150,4.9,0.775,1.75,0.13
36,3,1,5_10,5,0.756,1.76,0.14
1361,5,3,35_40,4.0,1.022,1.76,2.77
32B,2,3,35_40,4.9,0.910,1.76,0.06
9006,5,2,20_25,4.8,0.808,1.76,0.14
9006,2,1,5_10,4.9,1.005,1.77,0.16
15,1,6,170_175,5,0.848,1.77,0.12
1285,3,6,190_195,4.9,0.959,1.77,0.11
37,6,3,32_37,5,0.550,1.77,0.16
9027,3,2,20_25,5.0,0.767,1.77,0.12
806,5,3,35_40,4.8,0.889,1.77,0.11
9007,1,3,35_40,5.3,0.813,1.77,0.11
9007,1,2,20_25,4.7,0.900,1.77,0.16
9006,5,4,70_75,4.5,0.874,1.77,0.13
17,4,6,185_190,4.7,0.822,1.77,0.09
16,2,2,23_28,4.6,0.663,1.77,0.14
15,2,5,145_150,4.5,0.869,1.78,0.11
37,6,4,70_75,5,0.664,1.78,0.14
1216,4,5,145_150,4.8,0.853,1.78,0.13
1130,5,2,20_25,4.9,1.020,1.78,0.12
37,6,1,11_16,5,0.615,1.78,0.16
806,4,1,5_10,4.7,1.005,1.78,0.11
1382,4,6,160_165,5.0,0.599,1.78,0.12
9009,4,5,145_150,5.0,0.963,1.78,0.10
9002,2,1,5_10,4.9,0.814,1.78,0.13
9019,2,2,20_25,4.0,0.905,1.78,0.13
806,4,4,70_75,5.0,0.927,1.78,0.12
1130,2,1,5_10,4.9,1.240,1.78,0.13
1285,1,3,35_40,4.7,0.697,1.78,0.14
36,2,1,5_10,4.9,0.877,1.78,0.13
32B,2,4,70_75,4.7,0.840,1.79,0.14
1216,3,1,5_10,5.3,0.944,1.79,0.11
9007,5,5,145_150,5.2,0.794,1.79,0.12
9020,4,5,145_150,5.0,0.900,1.79,0.13
9024,2,6,190_195,5.0,1.013,1.79,0.12
35,4,2,16_21,5,0.877,1.79,0.15
9012,3,3,35_40,5.2,0.856,1.79,0.14
864,3,2,20_25,5.2,0.859,1.79,0.16
9002,4,1,10_15,5.0,0.722,1.79,0.14
806,1,6,171_176,5.7,0.765,1.79,0.11
1314,5,6,190_195,5.0,0.780,1.80,0.12
16,2,3,35_40,4.8,0.725,1.80,0.13
9018,4,3,35_40,4.7,0.805,1.80,0.16
9024,3,2,20_25,4.8,0.922,1.80,0.13
9019,2,4,70_75,5.0,0.814,1.80,0.13
9025,2,3,35_40,4.8,0.733,1.80,0.15
9006,1,2,20_25,5.2,0.888,1.80,0.15
1285,1,1,5_10,5.4,0.722,1.80,0.15
16,4,2,20_25,4.8,0.798,1.80,0.15
9011,3,2,20_25,5.3,0.597,1.80,0.14
806,1,2,20_25,5.0,0.935,1.80,0.12
27,2,4,70_75,4.7,0.752,1.80,0.03
1216,1,5,145_150,5.1,0.848,1.81,0.11
9012,2,1,5_10,5.0,0.854,1.81,0.16
806,1,1,10_15,4.9,0.974,1.81,0.12
9022,3,1,5_10,5.2,0.691,1.81,0.16
37,6,2,20_25,5,0.550,1.81,0.16
1001,2,5,144_149,5.0,0.740,1.81,0.10
1317,3,3,35_40,5.0,0.964,1.81,0.11
1001,3,1,5_10,4.6,0.977,1.81,0.12
1079,4,4,70_75,4.7,0.877,1.81,0.10
1382,2,4,62_67,4.6,0.669,1.81,0.11
9025,2,2,20_25,5.0,0.770,1.82,0.17
9020,4,6,190_195,4.5,0.801,1.82,0.14
9010,3,3,35_40,4.9,1.195,1.82,0.10
17,6,3,35_40,5.1,0.560,1.82,0.14
9012,1,5,145_150,5.0,1.412,1.82,0.12
9012,2,3,35_40,4.8,0.783,1.82,0.15
1382,5,2,24_29,4.9,0.651,1.82,0.16
1314,2,3,35_40,5.5,0.713,1.82,0.12
17,1,1,5_10,4.9,0.818,1.82,0.14
9002,4,2,20_25,5.0,0.509,1.83,0.13
9027,1,5,145_150,4.8,0.969,1.83,0.10
1305,1,4,70_75,4.9,0.771,1.83,0.12
1001,2,6,185_190,6.5,0.607,1.83,0.10
16,5,5,135_140,5.1,1.249,1.83,0.09
1216,3,6,183_188,5.4,0.737,1.83,0.12
9020,4,3,35_40,4.5,1.040,1.83,0.15
1285,1,4,70_75,4.5,0.709,1.83,0.13
1361,5,5,145_150,5.0,0.844,1.83,0.12
9022,1,2,20_25,5.1,0.808,1.83,0.12
35,6,1,5_10,5.1,0.806,1.84,0.14
9023,2,2,24_29,5.0,0.776,1.84,0.14
35,5,2,19_24,4.8,0.906,1.84,0.07
9018,2,4,70_75,4.2,0.768,1.84,0.16
1130,4,1,5_10,5.0,1.092,1.84,0.13
1361,1,3,35_40,5.0,0.835,1.85,0.13
1130,3,3,45_50,4.1,1.045,1.85,0.12
1359,4,2,20_25,5.1,0.455,1.86,0.16
1079,1,3,35_40,5.0,0.788,1.86,0.13
9009,3,1,5_10,4.8,0.790,1.86,0.15
9024,1,3,35_40,4.0,1.140,1.86,0.12
1216,1,6,182_187,4.7,0.585,1.86,0.12
9007,3,6,170_195,5.2,0.816,1.86,0.12
1305,4,1,8_13,5.7,0.909,1.86,0.14
17,3,6,190_195,4.9,1.033,1.86,0.08
9019,3,4,70_75,4.5,1.037,1.86,0.11
9017,2,5,145_150,4.5,0.944,1.86,0.11
9003,4,3,35_40,4.3,0.724,1.86,0.18
9025,2,1,5_10,4.9,0.637,1.86,0.17
9022,3,5,145_150,5.3,0.767,1.87,0.12
9017,2,3,40_45,5.0,0.859,1.87,0.11
1359,3,3,35_40,5.3,0.736,1.87,0.14
9018,4,6,177_176,5.0,0.581,1.87,0.15
1361,3,5,151_156,4.7,0.751,1.87,0.11
35,4,1,4_9,5,0.806,1.87,0.12
32B,6,4,70_75,5,0.786,1.87,0.16
9007,2,6,172_177,5.3,0.895,1.87,0.11
32B,5,4,70_75,5.3,0.673,1.87,0.11
1361,1,2,20_25,4.5,1.220,1.87,0.14
1254,2,3,35_40,5.3,0.654,1.88,0.14
9007,5,6,176_181,5.8,0.854,1.88,0.12
9021,1,5,145_150,5.2,0.641,1.88,0.12
9023,2,1,5_10,5.1,0.697,1.88,0.15
1382,4,1,2_10,4.6,0.700,1.88,0.12
9019,5,1,5_10,5.0,0.806,1.88,0.15
1254,5,4,70_75,5.0,0.666,1.88,0.14
1254,3,5,145_150,4.8,0.690,1.89,0.15
9009,5,2,21_26,4.6,0.743,1.89,0.13
9006,1,1,5_10,5.0,0.945,1.89,0.15
1285,4,1,5_10,5.1,0.816,1.89,0.14
9002,4,3,35_40,5.0,0.657,1.89,0.12
1130,5,5,145_150,5.3,0.857,1.89,0.11
36,4,6,190_195,5.1,0.738,1.90,0.12
1216,4,4,70_75,4.7,0.719,1.90,0.09
15,2,4,70_75,4.9,0.885,1.90,0.03
26,3,5,145_150,4.7,0.663,1.90,0.06
9022,4,1,5_10,4.7,0.857,1.90,0.13
15,2,1,5_10,4.8,1.004,1.90,0.14
29,6,6,170_175,5,0.580,1.90,0.07
1382,4,4,70_75,5.0,0.761,1.91,0.13
9007,1,1,5_10,4.9,0.995,1.91,0.16
17,5,4,70_75,4.8,0.595,1.91,0.10
1359,5,3,35_40,4.9,0.792,1.91,0.14
9023,1,2,20_25,4.8,0.612,1.91,0.15
9018,2,3,35_40,4.5,0.871,1.91,0.16
1314,1,6,190_195,4.6,0.694,1.91,0.13
9017,3,4,70_75,5.2,1.185,1.92,0.09
1079,5,4,70_75,5.0,0.710,1.92,0.12
17,5,3,35_40,5,0.685,1.92,0.12
1079,3,6,180_185,5.1,0.890,1.92,0.11
9024,2,3,35_40,4.0,0.992,1.92,0.14
9024,3,3,35_40,4.7,0.828,1.92,0.12
37,1,1,5_10,5,0.678,1.92,0.16
1079,5,3,35_40,4.9,0.694,1.92,0.15
1361,3,1,5_10,5.3,0.728,1.92,1.15
37,1,4,90_95,4.8,0.590,1.92,0.10
9023,4,5,145_150,5.0,0.707,1.92,0.13
9017,1,5,145_150,5.0,0.867,1.93,0.11
9022,3,4,70_75,5.0,0.812,1.93,0.13
15,1,5,145_150,5,0.708,1.93,0.06
9013,2,1,5_10,4.7,0.807,1.93,0.13
1001,2,3,35_40,5.5,0.610,1.93,0.11
9018,3,1,5_10,4.7,0.891,1.93,0.16
9009,1,6,190_195,5.3,0.623,1.93,0.12
9018,4,1,5_10,5.0,0.698,1.94,0.20
17,3,2,20_25,5,0.785,1.94,0.09
9012,2,4,70_75,4.5,0.653,1.94,0.16
1317,5,2,20_25,5.0,0.692,1.94,0.13
9025,1,2,20_25,4.8,0.688,1.94,0.14
36,4,4,70_75,5,0.762,1.94,0.12
1254,2,4,75_80,4.9,0.584,1.94,0.14
9009,1,3,35_40,6.8,0.512,1.94,0.13
9012,1,3,35_40,5.1,0.903,1.94,0.12
1314,5,5,145_150,5.0,0.743,1.94,0.13
9018,5,1,5_10,5.0,0.786,1.94,0.16
17,3,4,70_75,5.4,0.638,1.94,0.10
36,1,1,5_10,4.9,0.842,1.95,0.15
13,5,2,20_25,4.7,0.906,1.95,0.10
1314,4,4,70_75,4.9,0.777,1.95,0.11
13,6,1,5_10,4.5,0.917,1.95,0.14
13,2,5,145_150,4.8,0.866,1.95,0.12
1219,3,2,20_25,5.0,0.826,1.95,0.14
9004,3,2,20_25,4.5,0.884,1.95,0.15
37,4,2,20_25,4.9,0.472,1.95,0.15
806,5,1,5_10,5.0,0.874,1.95,0.14
1359,1,1,5_10,4.9,0.831,1.95,0.14
1001,5,6,190_195,5.0,0.814,1.96,0.12
9010,5,3,35_40,4.5,1.026,1.96,0.08
27,2,1,5_10,5,0.699,1.96,0.18
16,6,1,5_10,5,0.842,1.96,0.16
9027,4,4,65_70,4.8,0.928,1.96,0.12
9013,3,4,70_75,4.9,0.753,1.96,0.12
806,2,1,5_10,5.0,0.922,1.96,0.14
29,6,3,35_40,5,0.687,1.96,0.14
1130,3,6,182_187,6.8,0.631,1.96,0.12
1219,4,5,130_135,5,0.781,1.96,0.12
9011,5,4,70_75,4.0,0.676,1.96,0.13
25,6,1,5_10,5,0.713,1.96,0.18
32B,6,3,35_40,5,0.681,1.97,0.17
1305,1,2,20_25,4.9,0.936,1.97,0.16
9025,4,2,20_25,4.5,0.825,1.97,0.17
9002,1,5,145_150,4.5,0.570,1.97,0.14
25,5,4,70_75,5.2,0.772,1.97,0.09
9005,4,2,25_30,4.3,0.990,1.97,0.18
9001,2,2,20_25,5.0,1.066,1.97,0.14
9027,2,5,145_150,4.8,0.848,1.98,0.13
9013,2,4,70_75,5.3,0.772,1.98,0.11
37,4,3,35_40,5,0.559,1.98,0.14
29,5,2,20_25,4.8,0.569,1.98,0.05
1314,3,5,145_150,5.0,0.687,1.98,0.13
9023,3,4,70_75,5.0,0.636,1.98,0.13
25,6,6,185_190,4.8,0.829,1.98,0.14
1079,4,2,20_25,5.0,0.776,1.98,0.14
9002,3,4,70_75,5.0,0.792,1.98,0.14
32B,5,1,5_10,5,0.751,1.98,0.16
1314,3,4,70_75,4.7,0.741,1.98,0.12
29,2,2,20_25,4.9,0.707,1.98,0.14
32B,6,5,145_150,5,0.930,1.99,0.15
9003,1,6,190_195,4.8,0.730,1.99,0.09
17,5,5,145_150,4.9,0.694,1.99,0.11
9018,2,2,20_25,4.7,0.835,1.99,0.17
9008,2,5,145_150,5.2,0.870,1.99,0.15
17,5,2,20_25,4.6,0.618,1.99,0.07
15,1,1,5_10,5,0.873,1.99,0.12
1317,4,2,20_25,4.7,0.860,2.00,0.14
9004,1,3,35_40,4.7,0.699,2.00,0.14
1113,4,2,25_30,4.8,0.616,2.00,0.18
9011,5,2,20_25,4.5,0.706,2.00,0.14
1219,1,3,35_40,5.0,0.747,2.00,0.13
27,6,5,145_150,4.9,0.576,2.01,0.16
9024,3,4,70_75,5.0,1.059,2.01,0.09
1001,4,2,20_25,5.5,0.674,2.01,0.14
29,4,6,175_180,4.9,0.641,2.01,0.14
32B,5,5,145_150,5,0.918,2.01,0.05
9011,1,2,20_25,4.5,0.472,2.01,0.16
9012,5,1,10_15,4.5,0.906,2.01,0.15
9007,5,1,5_20,5.0,0.857,2.01,0.16
9021,1,4,70_75,5.2,0.715,2.02,0.14
1359,1,5,145_150,4.9,0.810,2.02,0.14
9011,4,4,70_75,5.0,0.658,2.02,0.14
9001,3,4,70_75,4.7,0.765,2.02,0.13
1359,5,4,65_70,4.5,0.704,2.03,0.15
1314,5,2,20_25,4.5,0.641,2.03,0.13
26,6,2,20_25,5,0.618,2.03,0.04
29,4,5,145_150,4.5,0.678,2.03,0.05
9006,5,1,5_10,5.0,0.800,2.03,0.09
9021,1,6,180_185,4.7,0.600,2.03,0.14
9002,2,2,20_25,5.0,0.637,2.03,0.14
864,4,6,183_188,5.1,0.735,2.03,0.15
9024,2,5,145_150,5.0,0.903,2.03,0.14
9010,2,4,70_75,4.5,0.992,2.03,0.10
1254,1,4,70_75,5.0,0.658,2.04,0.14
1359,2,5,145_150,4.3,1.042,2.04,0.13
17,3,3,35_40,5.1,0.794,2.04,0.03
9023,1,4,70_75,5.0,0.652,2.04,0.13
26,6,1,5_10,5,0.639,2.04,0.14
1382,1,4,35_40,5.0,0.619,2.04,0.14
864,4,4,70_75,5.0,0.873,2.04,0.13
864,3,3,35_40,5.3,0.893,2.04,0.13
1079,1,2,20_25,5.5,0.675,2.04,0.15
37,4,6,190_195,5.1,0.739,2.04,0.12
9021,2,4,62_67,4.4,0.802,2.04,0.10
1359,5,2,20_25,4.4,0.722,2.05,0.15
1079,4,5,140_145,5.0,0.886,2.05,0.10
9024,1,2,20_25,4.0,1.044,2.05,0.15
9006,5,3,35_40,5.0,0.701,2.05,0.13
35,3,3,47_52,4.7,0.715,2.06,0.12
1361,2,1,5_10,4.5,0.685,2.06,0.15
9003,2,4,70_75,5.3,0.605,2.06,0.16
37,1,3,51_56,5.2,0.637,2.06,0.14
1219,1,5,145_150,4.9,0.774,2.06,0.12
1219,2,3,35_40,4.7,0.951,2.06,0.16
9001,1,2,20_25,5.0,1.091,2.06,0.14
9024,3,1,5_10,5.0,0.966,2.06,0.15
36,5,6,190_195,5,0.745,2.07,0.13
9001,4,3,35_40,5.0,0.691,2.07,0.15
36,2,4,70_75,5,0.723,2.07,0.13
1079,3,4,70_75,5.0,0.832,2.07,0.12
9021,5,5,145_150,4.9,0.808,2.07,0.12
9022,5,5,145_150,5.4,0.712,2.07,0.13
32B,6,2,20_25,5,0.748,2.08,0.18
1314,5,3,35_40,5.0,0.614,2.08,0.13
1382,3,2,20_25,4.7,0.600,2.08,0.17
25,6,2,20_25,5.1,0.571,2.08,0.17
9023,1,1,5_10,4.6,0.795,2.08,0.16
16,1,5,145_150,5,0.770,2.08,0.09
29,2,6,185_190,5,0.553,2.09,0.16
9007,2,4,70_75,4.8,0.890,2.09,0.14
9019,3,1,5_10,4.0,0.752,2.09,0.18
864,2,2,20_35,5.0,0.753,2.09,0.13
1317,3,2,20_25,5.0,0.806,2.09,0.13
9006,5,5,145_150,5.2,0.632,2.09,0.15
1001,4,4,70_75,5.2,0.874,2.10,0.13
9020,4,2,23_28,4.0,1.050,2.10,0.17
1001,4,5,145_150,5.3,0.707,2.10,0.12
1361,1,5,145_150,5.0,0.693,2.11,0.14
9007,1,5,145_150,4.9,0.725,2.11,0.15
1130,3,2,25_30,4.9,0.964,2.11,0.15
864,5,2,20_25,4.9,0.843,2.11,0.14
13,5,1,5_10,5.4,0.516,2.11,0.15
1359,4,6,190_195,5.1,0.784,2.12,0.16
1359,5,5,150_155,4.6,0.728,2.12,0.14
9005,3,4,70_75,4.5,0.858,2.12,0.12
9024,4,6,190_195,4.5,1.025,2.12,0.15
36,4,5,145_150,4.9,0.629,2.12,0.13
1130,4,5,145_150,4.9,0.891,2.12,0.13
9003,2,1,5_10,4.7,0.729,2.13,0.18
9021,2,5,145_150,5.2,0.534,2.13,0.12
9019,2,3,35_40,4.5,0.903,2.13,0.14
9019,3,3,35_40,4.5,0.735,2.13,0.16
26,3,4,70_75,4.9,0.718,2.13,0.06
1382,5,3,35_40,4.9,0.655,2.14,0.15
806,4,3,35_40,4.6,0.863,2.14,0.14
1113,4,5,145_150,4.8,0.769,2.14,0.15
9003,1,4,70_75,5.2,0.636,2.15,0.14
9025,4,1,5_10,4.9,0.638,2.15,0.19
9003,4,4,70_75,4.0,0.792,2.15,0.18
9002,1,2,20_25,5.5,0.618,2.15,0.18
9010,4,4,70_75,5.0,0.882,2.15,0.11
1001,2,4,70_75,5.0,0.872,2.15,0.10
25,5,1,5_10,4.9,0.812,2.15,0.13
37,3,3,35_40,5,0.665,2.16,0.14
1317,5,1,5_10,4.8,0.908,2.16,0.16
26,4,4,70_75,4.6,0.601,2.17,0.13
26,2,5,145_150,5,0.592,2.17,0.13
1382,1,3,20_25,4.8,0.779,2.17,0.14
9003,1,3,35_40,4.8,0.718,2.17,0.12
36,3,6,185_190,4.8,0.756,2.17,0.13
1130,3,1,0_5,4.4,0.583,2.17,0.14
37,3,2,20_25,4.9,0.564,2.17,0.15
1079,3,2,20_25,5.0,0.749,2.18,0.16
13,6,3,35_40,5,0.570,2.18,0.05
9002,1,4,70_75,5.0,0.488,2.18,0.16
1314,2,1,5_10,5.0,0.665,2.18,0.17
36,1,6,190_195,4.6,0.819,2.18,0.12
9010,2,3,35_40,4.5,1.094,2.18,0.11
9011,5,1,5_10,4.5,1.107,2.18,0.20
9004,1,2,20_25,4.2,0.807,2.18,0.16
1001,3,5,145_150,4.7,0.903,2.18,0.13
864,1,6,185_190,5.3,0.738,2.18,0.13
9023,5,2,20_25,5.0,0.657,2.19,0.17
15,1,3,35_40,4.7,0.749,2.19,0.09
1359,1,3,35_40,4.7,0.733,2.19,0.15
1001,5,4,70_75,5.1,0.920,2.19,0.13
16,4,6,161_166,4.8,0.763,2.19,0.16
9024,2,2,20_25,4.7,0.904,2.19,0.18
9011,2,1,5_10,5.4,0.385,2.19,0.16
9013,1,4,70_75,4.8,0.755,2.19,0.13
26,6,4,70_75,5,0.625,2.20,0.14
1079,5,1,5_10,4.7,0.703,2.20,0.16
27,3,4,70_75,4.5,0.703,2.20,0.06
1382,4,3,35_40,4.7,0.571,2.20,0.13
1001,4,1,5_10,5.1,0.696,2.20,0.16
36,6,1,5_10,5.1,0.709,2.20,0.18
32B,1,1,5_10,4.7,0.831,2.20,0.07
1361,2,4,70_75,4.5,0.557,2.20,0.14
36,5,3,35_40,4.8,0.731,2.20,0.13
9009,5,3,35_40,4.8,0.713,2.20,0.14
37,5,3,35_40,5,0.650,2.20,0.15
37,1,2,23_28,5.3,0.697,2.20,0.16
9002,3,2,20_25,5.0,0.788,2.20,0.17
9012,2,5,145_150,5.0,0.584,2.20,0.15
9003,2,3,35_40,4.6,0.592,2.20,0.17
1254,2,2,20_25,5.3,0.727,2.20,0.13
9018,2,1,5_10,4.9,0.762,2.20,0.19
1113,4,1,5_10,5.0,0.666,2.20,0.21
9001,2,3,35_40,5.1,0.915,2.21,0.15
9009,5,1,4_9,4.7,0.823,2.21,0.14
9009,1,1,5_10,5.3,0.811,2.21,0.15
1113,1,5,145_150,5.0,0.716,2.21,0.12
1219,4,2,20_25,4.9,0.639,2.21,0.17
16,5,2,20_25,4.8,0.806,2.22,0.11
9001,5,2,20_25,4.9,0.836,2.22,0.15
9011,5,3,35_40,5.0,0.624,2.22,0.19
9011,1,3,35_40,5.0,0.477,2.22,0.16
1305,1,1,12_17,5.0,0.860,2.22,0.17
1361,5,1,5_10,4.0,1.136,2.22,3.19
16,1,4,70_75,4.8,0.639,2.23,0.10
9025,3,3,35_40,4.9,0.665,2.23,0.15
1130,2,5,145_150,5.2,0.921,2.23,0.14
9011,3,1,5_10,5.0,0.573,2.23,0.18
1113,2,5,145_150,5.0,0.755,2.23,0.14
1317,2,1,5_10,5.0,0.687,2.23,0.18
9023,5,3,35_40,5.2,0.694,2.24,0.16
1219,2,6,168_173,5.0,0.760,2.24,0.12
1219,1,1,5_10,5.2,0.908,2.24,0.15
29,6,4,70_75,5,0.600,2.24,0.18
1001,1,3,35_40,5.0,0.584,2.25,0.17
1001,5,5,140_145,4.9,0.653,2.25,0.13
29,2,5,145_150,4.9,0.788,2.25,0.17
9004,5,6,173_178,4.8,0.738,2.25,0.17
29,2,4,70_75,5,0.629,2.25,0.16
9023,1,3,35_40,4.9,0.739,2.25,2.73
1254,4,4,70_75,4.9,0.782,2.25,0.16
1130,2,3,45_50,4.9,1.007,2.26,0.17
1314,5,4,70_75,4.7,0.674,2.26,0.15
25,6,5,145_150,5.1,0.826,2.26,0.15
17,6,1,6_11,5,0.591,2.26,0.18
9022,2,4,70_75,5.2,0.810,2.26,0.09
9003,4,1,5_10,4.5,0.759,2.26,0.20
806,2,5,145_150,4.6,0.685,2.27,0.14
1216,1,4,70_75,4.9,0.760,2.27,0.12
9011,2,2,20_25,5.0,0.800,2.28,0.16
1219,4,1,5_10,5.0,0.812,2.28,0.16
16,3,5,145_150,4.9,0.720,2.28,0.06
26,4,2,20_25,5,0.549,2.28,0.15
16,4,4,70_75,5,0.750,2.28,0.15
1130,2,6,190_195,5.2,0.810,2.29,0.15
1314,1,4,70_75,4.5,0.736,2.29,0.14
1359,4,1,5_10,5.0,0.774,2.29,0.17
1359,4,5,145_150,5.2,0.696,2.30,0.17
27,1,2,21_26,5,0.628,2.30,0.11
13,6,2,20_25,4.6,0.753,2.30,0.14
16,3,2,20_25,4.8,0.655,2.30,0.13
9004,3,3,35_40,4.7,1.057,2.30,0.19
9009,4,2,20_25,5.3,0.661,2.30,0.14
9004,1,6,190_195,5.0,0.601,2.31,0.15
9025,5,2,20_25,5.0,0.612,2.31,0.15
29,6,2,20_25,4.7,0.543,2.31,0.15
1359,5,1,5_10,5.3,0.650,2.31,0.17
37,3,1,5_10,5.4,0.502,2.31,0.17
9025,3,2,20_25,4.9,0.697,2.31,0.16
1317,1,3,35_40,5.0,0.769,2.32,0.16
16,2,1,5_10,4.8,0.624,2.32,0.09
9001,5,6,190_195,4.7,0.737,2.32,0.14
9001,5,4,70_75,5.3,0.801,2.33,0.14
1359,1,4,70_75,5.1,0.581,2.33,0.14
806,3,6,190_195,5.0,0.728,2.33,0.13
37,4,1,5_10,5.1,0.542,2.33,0.19
36,6,5,145_150,4.6,0.758,2.33,0.13
1359,3,4,67_72,4.9,0.741,2.33,0.14
864,3,6,190_195,4.9,0.590,2.33,0.16
9011,4,1,5_10,5.0,0.130,2.33,0.17
1001,3,6,188_193,5.0,0.920,2.33,0.13
13,5,3,35_40,5,0.582,2.34,0.14
26,5,2,20_25,5,0.567,2.34,0.09
9027,5,4,65_70,4.8,0.750,2.34,0.12
806,3,5,145_150,5.2,0.827,2.34,0.17
32B,6,1,5_10,5,0.702,2.35,0.20
16,1,2,20_25,5,0.681,2.35,0.09
1079,5,2,20_25,4.5,0.774,2.35,0.19
