"study_id","site_id","plot_id","plot_radius","species","diameter","diameter_flag","alive_or_dead","decay_class","height","wood_density","carbon_conversion_factor","basal_area","basal_density","plant_aboveground_carbon","plant_belowground_carbon","plant_belowground_mass","plant_aboveground_mass","plant_notes"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",7,"Rhizophora mangle",37,"DBH","alive",NA,NA,0.898,0.4752,0.10752,6.98469,11.55114,16.89611,547.33892,374.1919,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",7,"Rhizophora mangle",41,"DBH","alive",NA,NA,0.898,0.4752,0.13203,8.57653,13.79738,21.22067,687.43029,446.95732,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",7,"Rhizophora mangle",42,"DBH","alive",NA,NA,0.898,0.4752,0.13854,9,14.38508,22.38682,725.2069,465.9955,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Pelliciera rhizophorae",6,"DBH","alive",NA,NA,0.811,0.4669,0.00283,0.18367,0.50679,0.26695,8.80154,16.70885,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Rhizophora mangle",6,"DBH","alive",NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Rhizophora mangle",7.3,"DBH","alive",NA,NA,0.898,0.4752,0.00419,0.27189,0.69579,0.46021,14.9082,22.53975,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Rhizophora mangle",8.2,"DBH","alive",NA,NA,0.898,0.4752,0.00528,0.34306,0.8509,0.59572,19.29813,27.56443,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Rhizophora mangle",13,"DBH","alive",NA,NA,0.898,0.4752,0.01327,0.86224,1.88931,1.65704,53.67879,61.20306,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Rhizophora mangle",29.5,"DBH","alive",NA,NA,0.898,0.4752,0.06835,4.44005,7.80422,10.21842,331.01935,252.81283,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Rhizophora mangle",54,"DBH","alive",NA,NA,0.898,0.4752,0.22902,14.87755,22.22497,39.11048,1266.95926,719.96402,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Rhizophora mangle",58,"DBH","alive",NA,NA,0.898,0.4752,0.26421,17.16327,25.15136,45.83414,1484.76817,814.76254,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",7,"Rhizophora mangle",58,"DBH","alive",NA,NA,0.898,0.4752,0.26421,17.16327,25.15136,45.83414,1484.76817,814.76254,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",7,"Rhizophora mangle",7.4,"DBH","alive",NA,NA,0.898,0.4752,0.0043,0.27939,0.71237,0.47432,15.36537,23.07689,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",7,"Rhizophora mangle",9,"DBH","alive",NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",7,"Rhizophora mangle",11,"DBH","alive",NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",7,"Rhizophora mangle",64,"DBH","alive",NA,NA,0.898,0.4752,0.3217,20.89796,29.82395,57.02936,1847.43023,966.12814,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6",7,"Rhizophora mangle",22,"DBH","alive",NA,NA,0.898,0.4752,0.03801,2.46939,4.69679,5.32792,172.59446,152.14962,NA
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6",7,"Rhizophora mangle",27,"DBH","alive",NA,NA,0.898,0.4752,0.05726,3.71939,6.69512,8.39473,271.94186,216.88418,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",7,"Rhizophora mangle",6,"DBH","alive",NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,NA
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",7,"Rhizophora mangle",6,"DBH","dead",3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",7,"Rhizophora mangle",9.4,"DBH","alive",NA,NA,0.898,0.4752,0.00694,0.45082,1.07783,0.80672,26.13318,34.91576,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",7,"Rhizophora mangle",11,"DBH","alive",NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",7,"Rhizophora mangle",15,"DBH","alive",NA,NA,0.898,0.4752,0.01767,1.14796,2.42037,2.27668,73.75154,78.40634,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",7,"Rhizophora mangle",15,"DBH","alive",NA,NA,0.898,0.4752,0.01767,1.14796,2.42037,2.27668,73.75154,78.40634,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",7,"Rhizophora mangle",20,"DBH","alive",NA,NA,0.898,0.4752,0.03142,2.04082,3.98245,4.31187,139.68028,129.00903,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",7,"Rhizophora mangle",26,"DBH","alive",NA,NA,0.898,0.4752,0.05309,3.44898,6.27172,7.72004,250.08597,203.16835,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",7,"Rhizophora mangle",35,"DBH","alive",NA,NA,0.898,0.4752,0.09621,6.25,10.49179,14.93517,483.81526,339.87481,NA
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",7,"Rhizophora mangle",6,"DBH","dead",3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",7,"Rhizophora mangle",8,"DBH","alive",NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",7,"Rhizophora mangle",12,"DBH","alive",NA,NA,0.898,0.4752,0.01131,0.73469,1.64487,1.38727,44.93977,53.28438,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",7,"Rhizophora mangle",15,"DBH","alive",NA,NA,0.898,0.4752,0.01767,1.14796,2.42037,2.27668,73.75154,78.40634,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",7,"Rhizophora mangle",20,"DBH","alive",NA,NA,0.898,0.4752,0.03142,2.04082,3.98245,4.31187,139.68028,129.00903,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",7,"Rhizophora mangle",8,"DBH","alive",NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",7,"Pelliciera rhizophorae",9.5,"DBH","alive",NA,NA,0.811,0.4669,0.00709,0.46046,1.56954,0.74044,24.41233,51.74813,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",7,"Rhizophora mangle",11,"DBH","alive",NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",7,"Rhizophora mangle",13,"DBH","alive",NA,NA,0.898,0.4752,0.01327,0.86224,1.88931,1.65704,53.67879,61.20306,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",7,"Rhizophora mangle",14,"DBH","alive",NA,NA,0.898,0.4752,0.01539,1,2.14791,1.95336,63.278,69.58006,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",7,"Rhizophora mangle",17,"DBH","alive",NA,NA,0.898,0.4752,0.0227,1.47449,3.0059,3.00591,97.37447,97.37428,NA
"Cifuentes_et_al_2023_Panama","El Represo","El Represo_2",7,"Rhizophora mangle",6,"DBH","dead",1,NA,0.898,0.4752,0.00283,0.18367,0.48312,0.29777,9.64593,15.65026,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",7,"Rhizophora mangle",26,"DBH","alive",NA,NA,0.898,0.4752,0.05309,3.44898,6.27172,7.72004,250.08597,203.16835,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",5.3,"DBH","alive",NA,NA,0.811,0.4669,0.00221,0.14332,0.3735,0.20269,6.68275,12.3144,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",5.8,"DBH","alive",NA,NA,0.811,0.4669,0.00264,0.17163,0.46624,0.2476,8.16344,15.3719,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",7,"DBH","alive",NA,NA,0.811,0.4669,0.00385,0.25,0.74048,0.37589,12.39311,24.41382,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",7,"DBH","alive",NA,NA,0.811,0.4669,0.00385,0.25,0.74048,0.37589,12.39311,24.41382,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",7,"DBH","alive",NA,NA,0.811,0.4669,0.00385,0.25,0.74048,0.37589,12.39311,24.41382,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",8,"DBH","alive",NA,NA,0.811,0.4669,0.00503,0.32653,1.02843,0.50559,16.6695,33.90751,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",8.4,"DBH","alive",NA,NA,0.811,0.4669,0.00554,0.36,1.15958,0.56343,18.57645,38.23152,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",9,"DBH","alive",NA,NA,0.811,0.4669,0.00636,0.41327,1.37407,0.65669,21.65116,45.30344,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",9,"DBH","alive",NA,NA,0.811,0.4669,0.00636,0.41327,1.37407,0.65669,21.65116,45.30344,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",9,"DBH","alive",NA,NA,0.811,0.4669,0.00636,0.41327,1.37407,0.65669,21.65116,45.30344,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",10,"DBH","alive",NA,NA,0.811,0.4669,0.00785,0.5102,1.78063,0.82974,27.35664,58.70763,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",11,"DBH","alive",NA,NA,0.811,0.4669,0.0095,0.61735,2.25112,1.02526,33.80295,74.21994,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",7,"Pelliciera rhizophorae",24,"DBH","alive",NA,NA,0.811,0.4669,0.04524,2.93878,15.34236,5.79442,191.04329,505.84124,NA
"Cifuentes_et_al_2023_Panama","El Río","El Río_1",7,"Rhizophora mangle",6,"DBH","dead",3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_5",7,"Rhizophora racemosa",9,"DBH","alive",NA,NA,0.88,0.5,0.00636,0.41327,1.25853,0.75681,23.30029,38.74722,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_5",7,"Rhizophora racemosa",35,"DBH","alive",NA,NA,0.88,0.5,0.09621,6.25,42.99431,15.43114,475.088,1323.69182,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",7,"Rhizophora racemosa",8.6,"DBH","alive",NA,NA,0.88,0.5,0.00581,0.37735,1.11823,0.68415,21.06345,34.42754,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",7,"Rhizophora racemosa",18,"DBH","alive",NA,NA,0.88,0.5,0.02545,1.65306,7.63032,3.52592,108.55453,234.91918,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",7,"Rhizophora racemosa",40,"DBH","alive",NA,NA,0.88,0.5,0.12566,8.16327,60.84011,20.75584,639.02254,1873.12149,NA
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",7,"Rhizophora racemosa",48,"DBH","alive",NA,NA,0.88,0.5,0.18096,11.7551,97.7375,31.11162,957.8523,3009.10392,NA
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",7,"Rhizophora mangle",5.5,"DBH","alive",NA,NA,0.898,0.4752,0.00238,0.15434,0.42622,0.24546,7.95158,13.80718,NA
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",7,"Rhizophora mangle",6.2,"DBH","alive",NA,NA,0.898,0.4752,0.00302,0.19612,0.52444,0.32025,10.37428,16.98898,NA
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",7,"Rhizophora mangle",7,"DBH","alive",NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,NA
"Cifuentes_et_al_2023_Panama","Boca del Río","Boca del Río_1",7,"Rhizophora mangle",7.8,"DBH","alive",NA,NA,0.898,0.4752,0.00478,0.31041,0.78034,0.53312,17.27025,25.2786,NA
