"study_id","site_id","core_id","latitude","longitude","position_method","position_notes","year","habitat","vegetation_class","vegetation_method"
"Cifuentes_et_al_2023_Panama","El Río","El Río_5",8.33466,-82.4212,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","El Río","El Río_6",8.33466,-82.4212,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",8.28891,-82.3313,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",8.28891,-82.3313,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",8.28891,-82.3313,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",8.28891,-82.3313,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",8.28891,-82.3313,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6",8.28891,-82.3313,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_1",8.37388,-82.4498,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_2",8.37388,-82.4498,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_3",8.37388,-82.4498,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_4",8.37388,-82.4498,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_1",8.31786,-82.4404,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_2",8.31786,-82.4404,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_3",8.31786,-82.4404,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_4",8.31786,-82.4404,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_5",8.31786,-82.4404,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_6",8.31786,-82.4404,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Limones","Limones_1",8.27676,-82.3499,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Limones","Limones_2",8.27676,-82.3499,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Limones","Limones_3",8.27676,-82.3499,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",8.27676,-82.3499,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Limones","Limones_5",8.27676,-82.3499,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",8.27676,-82.3499,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",8.30017,-82.4285,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_2",8.30017,-82.4285,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_3",8.30017,-82.4285,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_4",8.30017,-82.4285,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_5",8.30017,-82.4285,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_6",8.30017,-82.4285,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_1",8.31768,-82.4038,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_2",8.31768,-82.4038,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_3",8.31768,-82.4038,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_4",8.31768,-82.4038,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_5",8.31768,-82.4038,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
"Cifuentes_et_al_2023_Panama","Resbaloso","Resbaloso_6",8.31768,-82.4038,"handheld","coordinates are site-level resolution",2014,"mangrove","forested","measurement"
