"study_id","site_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","method_id"
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",30,50,0.32357,0.0908,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",50,100,0.36134,0.0925,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_4",100,300,0.45851,0.0707,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_5",0,15,0.28544,0.1381,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_5",15,30,0.24108,0.1149,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_5",30,50,0.29662,0.0766,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_5",50,100,0.336,0.0828,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_5",100,300,0.40539,0.0718,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",0,15,0.2932,0.10679999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",15,30,0.29756,0.0848,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",30,50,0.26303,0.0891,"single set of methods"
"Cifuentes_et_al_2023_Panama","Limones","Limones_6",50,100,0.33563,0.1125,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_5",0,15,0.39073,0.0894,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_5",15,30,0.37585,0.1514,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_5",30,50,0.37603,0.11130000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_5",50,100,0.42361,0.0842,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_5",100,300,0.67138,0.0296,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_6",0,15,0.5372,0.048799999999999996,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_6",15,30,0.59586,0.09480000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_6",30,50,0.61025,0.0592,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_6",50,100,0.73305,0.0508,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_6",100,300,0.39993,0.09910000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_3",0,15,0.40282,0.12,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_3",15,30,0.41145,0.0904,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_3",30,50,0.41853,0.09,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_3",50,100,0.60939,0.0518,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_3",100,300,0.60037,0.044000000000000004,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_4",0,15,0.33824,0.1333,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_4",15,30,0.35325,0.11460000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_4",30,50,0.33603,0.10640000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_4",50,100,0.45597,0.052199999999999996,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_4",100,300,0.66289,0.0548,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_1",0,15,0.33956,0.0872,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_1",15,30,0.29449,0.1007,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_1",30,50,0.53709,0.0584,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_1",50,100,0.57263,0.048600000000000004,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_1",100,300,0.59445,0.0336,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_2",0,15,0.42168,0.1079,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_2",15,30,0.27573,0.1143,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_2",30,50,0.32938,0.0977,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_2",50,100,0.52105,0.0611,"single set of methods"
"Cifuentes_et_al_2023_Panama","Las Matita","Las Matita_2",100,300,0.65698,0.0435,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",0,15,0.57778,0.0461,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",15,30,0.57646,0.0463,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",30,50,0.55146,0.0403,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",50,100,0.59753,0.037000000000000005,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_1",100,300,0.61334,0.0354,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",0,15,0.54238,0.0391,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",15,30,0.61098,0.042699999999999995,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",30,50,0.56467,0.042,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",50,100,0.65764,0.0333,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_2",100,300,0.65125,0.0354,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",0,15,0.52082,0.058600000000000006,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",15,30,0.5964,0.0496,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",30,50,0.56942,0.0454,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",50,100,0.54121,0.039599999999999996,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_3",100,300,0.63801,0.04019999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",0,15,0.39226,0.0815,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",15,30,0.40384,0.0803,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",30,50,0.46075,0.0674,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",50,100,0.71129,0.0338,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_4",100,300,0.60341,0.047599999999999996,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",0,15,0.42143,0.0933,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",15,30,0.40284,0.08460000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",30,50,0.39925,0.0766,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",50,100,0.51912,0.06709999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_5",100,300,0.6405,0.048600000000000004,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6",0,15,0.43981,0.1018,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6",15,30,0.39713,0.077,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6",30,50,0.40409,0.0717,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6",50,100,0.47881,0.0677,"single set of methods"
"Cifuentes_et_al_2023_Panama","Isla Mono","Isla Mono_6",100,300,0.50334,0.0506,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",0,15,0.60685,0.0467,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",15,30,0.48815,0.0698,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",30,50,0.46463,0.0704,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",50,100,0.45026,0.0977,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_1",100,300,0.88732,0.042,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_2",0,15,0.43481,0.0722,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_2",15,30,0.43476,0.1243,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_2",30,50,0.4401,0.1206,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_2",50,100,0.63046,0.0694,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_2",100,300,0.70999,0.0458,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_3",0,15,0.54459,0.1131,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_3",15,30,0.2992,0.1249,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_3",30,50,0.27862,0.0956,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_3",50,100,0.49701,0.0737,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_3",100,300,0.70919,0.0458,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_4",0,15,0.37803,0.071,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_4",15,30,0.51254,0.08410000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_4",30,50,0.39478,0.10619999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_4",50,100,0.38558,0.0779,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_4",100,300,0.66146,0.0252,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_5",0,15,0.56794,0.0535,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_5",15,30,0.60009,0.07440000000000001,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_5",30,50,0.56148,0.0634,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_5",50,100,0.75816,0.0718,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_5",100,300,0.85141,0.0373,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_6",0,15,0.51653,0.0557,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_6",15,30,0.50802,0.0852,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_6",30,50,0.3711,0.0783,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_6",50,100,0.43314,0.09369999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","Los Algarrobos","Los Algarrobos_6",100,300,0.74508,0.0311,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_1",0,15,0.58359,0.1358,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_1",15,30,0.20618,0.212,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_1",30,50,0.23459,0.2502,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_1",50,100,0.16145,0.2742,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_2",0,15,0.5567,0.14279999999999998,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_2",15,30,0.24108,0.2608,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_2",30,50,0.16656,0.3006,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_2",50,100,0.15851,0.29410000000000003,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_3",0,15,0.54809,0.1936,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_3",15,30,0.17338,0.37829999999999997,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_3",30,50,0.17136,0.331,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_3",50,100,0.18615,0.2589,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_4",0,15,0.61014,0.12279999999999999,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_4",15,30,0.26853,0.25370000000000004,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_4",30,50,0.13664,0.30079999999999996,"single set of methods"
"Cifuentes_et_al_2023_Panama","La Yeguada","La Yeguada_4",50,100,0.17429,0.1963,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Río","El Río_1",0,15,0.54927,0.0594,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Río","El Río_1",15,30,0.5512,0.047400000000000005,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Río","El Río_1",30,50,0.56574,0.0584,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Río","El Río_1",50,100,0.48405,0.0877,"single set of methods"
"Cifuentes_et_al_2023_Panama","El Río","El Río_1",100,300,0.51914,0.0674,"single set of methods"
