study_id,allometric_eq_id,genus,species,alive_or_dead
SWAMP_Data_Trees_Kubu_Raya_2011,Komiyama et al. 2010,Xylocarpus,granatum,dead
SWAMP_Data_Trees_Kubu_Raya_2011,Komiyama et al. 2010,Avicennia,alba,live
SWAMP_Data_Trees_Kubu_Raya_2011,Komiyama et al. 2010,Bruguiera,gymnorrhiza,dead
SWAMP_Data_Trees_Kubu_Raya_2011,Komiyama et al. 2010,NA,Sp.,live
SWAMP_Data_Trees_Sembilang_2011,Komiyama et al. 2010,Rhizophora,apiculata,live
SWAMP_Data_Trees_Sembilang_2011,Komiyama et al. 2010,Bruguiera,sexangula,live
SWAMP_Data_Trees_Sembilang_2011,Komiyama et al. 2010,Bruguiera,gymnorrhiza,live
SWAMP_Data_Trees_Sembilang_2011,Komiyama et al. 2010,Bruguiera,gymnorrhiza,dead
SWAMP_Data_Trees_Sembilang_2011,Komiyama et al. 2010,Xylocarpus,granatum,live
SWAMP_Data_Trees_Sembilang_2011,Komiyama et al. 2010,Rhizophora,mucronata,live
SWAMP_Data_Trees_Sembilang_2011,Komiyama et al. 2010,Ceriops,tagal,live
SWAMP_Data_Trees_Sembilang_2011,Komiyama et al. 2010,Rhizophora,apiculata,dead
SWAMP_Data_Trees_Sembilang_2011,Komiyama et al. 2010,Bruguiera,sexangula,dead
SWAMP_Data_Trees_Tanjung_Puting_2009,Komiyama et al. 2010,Rhizophora,apiculata,live
SWAMP_Data_Trees_Tanjung_Puting_2009,Komiyama et al. 2010,Bruguiera,gymnorrhiza,live
SWAMP_Data_Trees_Tanjung_Puting_2009,Komiyama et al. 2010,Xylocarpus,granatum,live
SWAMP_Data_Trees_Tanjung_Puting_2009,Komiyama et al. 2010,NA,sp.,dead
SWAMP_Data_Trees_Tanjung_Puting_2009,Komiyama et al. 2010,Xylocarpus,granatum,dead
SWAMP_Data_Trees_Tanjung_Puting_2009,Komiyama et al. 2010,NA,sp.,live
SWAMP_Data_Trees_Tanjung_Puting_2009,Komiyama et al. 2010,Delbergia,spinosa,live
SWAMP_Data_Trees_Tanjung_Puting_2009,Komiyama et al. 2010,Bruguiera,gymnorrhiza,dead
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Bruguiera,gymnorrhiza,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Rhizophora,apiculata,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Rhizophora,mucronata,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Xylocarpus,granatum,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Bruguiera,parviflora,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Heritiera,littoralis,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Avicennia,marina,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Avicennia,alba,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Bruguiera,cylindrica,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Hibiscus,tiliaceus,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Camptostemon,schultzii,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Pongamia,pinnata,live
SWAMP_Data_Trees_Teminabuan_2011,Komiyama et al. 2010,Calamus,sp.,live
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Rhizophora,apiculata,live
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Bruguiera,gymnorrhiza,live
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Bruguiera,gymnorrhiza,dead
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Rhizophora,mucronata,live
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Xylocarpus,granatum,live
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Ceriops,tagal,live
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Ceriops,tagal,dead
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Rhizophora,angustifolia,live
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Altingia,excelsa,live
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Canarium,indicum,live
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Rhizophora,apiculata,dead
SWAMP_Data_Trees_Timika_2011,Komiyama et al. 2010,Camptostemon,philippinense,live
SWAMP_Data_Trees_Ca_Mau_2012,Komiyama et al. (2005),Ceriops,tagal,live
SWAMP_Data_Trees_Ca_Mau_2012,Komiyama et al. (2005),Ceriops,tagal,dead
SWAMP_Data_Trees_Ca_Mau_2012,Kauffman and Cole (2010); Ong et al (2004),Rhizophora,apiculata,dead
SWAMP_Data_Trees_Ca_Mau_2012,Kauffman and Cole (2010); Ong et al (2004),Rhizophora,apiculata,live
SWAMP_Data_Trees_Ca_Mau_2012,Clough and Scott (1989); Poungparn et al. (2002),Xylocarpus,granatum,dead
SWAMP_Data_Trees_Ca_Mau_2012,Kauffman and Cole (2010); Tamai et al. (1986),Bruguiera,gymnorrhiza,dead
SWAMP_Data_Trees_Ca_Mau_2012,Komiyama et al. (2005),Avicennia,alba,dead
SWAMP_Data_Trees_Ca_Mau_2012,Komiyama et al. (2005),Avicennia,alba,live
SWAMP_Data_Trees_Ca_Mau_2012,Clough and Scott (1989); Poungparn et al. (2002),Xylocarpus,granatum,live
SWAMP_Data_Trees_Ca_Mau_2012,Komiyama et al. (2005),Ceriops,zippeliana,live
SWAMP_Data_Trees_Ca_Mau_2012,Komiyama et al. (2005),Excoecaria,agallocha,live
SWAMP_Data_Trees_Ca_Mau_2012,Kauffman and Cole (2010); Tamai et al. (1986),Bruguiera,gymnorrhiza,live
SWAMP_Data_Trees_Ca_Mau_2012,Kauffman and Cole (2010); Ong et al (2004),Rhizophora,mucronata,live
SWAMP_Data_Trees_Ca_Mau_2012,Komiyama et al. (2005),Ceriops,zippeliana,dead
SWAMP_Data_Trees_Ca_Mau_2012,Komiyama et al. (2005),Xylocarpus,mollousensiss,live
SWAMP_Data_Trees_Ca_Mau_2012,Komiyama et al. (2005),Avicennia,officinalis,live
SWAMP_Data_Trees_Ca_Mau_2012,Clough and Scott (1989); Tamai et al. (1986),Bruguiera,parviflora,live
SWAMP_Data_Trees_Can_Gio_2012,Kauffman and Cole (2010); Ong et al (2004),Rhizophora,apiculata,live
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Avicennia,alba,live
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Avicennia,alba,dead
SWAMP_Data_Trees_Can_Gio_2012,Comley and McGuinness (2005),Avicennia,marina,live
SWAMP_Data_Trees_Can_Gio_2012,Kauffman and Cole (2010); Komiyama et al. (2005),Avicennia,alba,live
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Ceriops,zippeliana,live
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Avicennia,officinalis,live
SWAMP_Data_Trees_Can_Gio_2012,Clough and Scott (1989); Poungparn et al. (2002),Xylocarpus,granatum,live
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Kandelia,candel,live
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Hibiscus,tiliaceus,live
SWAMP_Data_Trees_Can_Gio_2012,Kauffman and Cole (2010); Ong et al (2004),Rhizophora,apiculata,dead
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Lumnitzera,racemosa,dead
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Excoecaria,agallocha,live
SWAMP_Data_Trees_Can_Gio_2012,Kauffman and Cole (2010); Tamai et al. (1986),Bruguiera,gymnorrhiza,dead
SWAMP_Data_Trees_Can_Gio_2012,Kauffman and Cole (2010); Tamai et al. (1986),Bruguiera,gymnorrhiza,live
SWAMP_Data_Trees_Can_Gio_2012,Kauffman and Cole (2010); Ong et al (2004),Rhizophora,mucronata,live
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Excoecaria,agallocha,dead
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Ceriops,decandra,dead
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Ceriops,decandra,live
SWAMP_Data_Trees_Can_Gio_2012,Clough and Scott (1989); Poungparn et al. (2002),Xylocarpus,granatum,dead
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Ceriops,zippeliana,dead
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Avicennia,officinalis,dead
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Lumnitzera,racemosa,live
SWAMP_Data_Trees_Can_Gio_2012,Komiyama et al. (2005),Sonneratia,caseolaris,live
