Source,Site,Subsite,Core,Habitat_type,Species,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Raw et al (2020),Knysna Estuary,2,3,Saltmarsh,Spartina maritima,-34.051631°, 23.046969°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,2.371843917,,,
Raw et al (2020),Knysna Estuary,3,1,Saltmarsh,Spartina maritima,-34.042853°, 23.015361°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.035330261,,,
Raw et al (2020),Knysna Estuary,3,2,Saltmarsh,Spartina maritima,-34.042853°, 23.015361°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,8.128145219,,,
Raw et al (2020),Knysna Estuary,3,3,Saltmarsh,Spartina maritima,-34.042853°, 23.015361°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,1.769516064,,,
Raw et al (2020),Knysna Estuary,3,1,Saltmarsh,Spartina maritima,-34.042853°, 23.015361°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,2.286282306,,,
Raw et al (2020),Knysna Estuary,3,2,Saltmarsh,Spartina maritima,-34.042853°, 23.015361°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,1.948192823,,,
Raw et al (2020),Knysna Estuary,3,3,Saltmarsh,Spartina maritima,-34.042853°, 23.015361°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,1.592952835,,,
Raw et al (2020),Knysna Estuary,3,1,Saltmarsh,Spartina maritima,-34.042853°, 23.015361°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,3.20625779,,,
Raw et al (2020),Knysna Estuary,3,2,Saltmarsh,Spartina maritima,-34.042853°, 23.015361°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,2.614306785,,,
Raw et al (2020),Knysna Estuary,3,3,Saltmarsh,Spartina maritima,-34.042853°, 23.015361°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,0.453153705,,,
Raw et al (2020),Knysna Estuary,4,1,Saltmarsh,Spartina maritima,-34.055256°, 23.016786°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.421529226,,,
Raw et al (2020),Knysna Estuary,4,2,Saltmarsh,Spartina maritima,-34.055256°, 23.016786°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.677932761,,,
Raw et al (2020),Knysna Estuary,4,3,Saltmarsh,Spartina maritima,-34.055256°, 23.016786°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.333696838,,,
Raw et al (2020),Knysna Estuary,4,1,Saltmarsh,Spartina maritima,-34.055256°, 23.016786°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,1.481888035,,,
Raw et al (2020),Knysna Estuary,4,2,Saltmarsh,Spartina maritima,-34.055256°, 23.016786°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,1.465309534,,,
Raw et al (2020),Knysna Estuary,4,3,Saltmarsh,Spartina maritima,-34.055256°, 23.016786°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,2.117550446,,,
Raw et al (2020),Knysna Estuary,4,1,Saltmarsh,Spartina maritima,-34.055256°, 23.016786°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,1.210720163,,,
Raw et al (2020),Knysna Estuary,4,2,Saltmarsh,Spartina maritima,-34.055256°, 23.016786°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,1.449575481,,,
Raw et al (2020),Knysna Estuary,4,3,Saltmarsh,Spartina maritima,-34.055256°, 23.016786°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,1.131648435,,,
Raw et al (2020),Knysna Estuary,5,1,Saltmarsh,Spartina maritima,-34.040994°, 23.003736°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,4.539255796,,,
Raw et al (2020),Knysna Estuary,5,2,Saltmarsh,Spartina maritima,-34.040994°, 23.003736°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,3.14926892,,,
Raw et al (2020),Knysna Estuary,5,3,Saltmarsh,Spartina maritima,-34.040994°, 23.003736°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.507425572,,,
Raw et al (2020),Knysna Estuary,5,1,Saltmarsh,Spartina maritima,-34.040994°, 23.003736°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,3.23811869,,,
Raw et al (2020),Knysna Estuary,5,2,Saltmarsh,Spartina maritima,-34.040994°, 23.003736°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,3.48440259,,,
Raw et al (2020),Knysna Estuary,5,3,Saltmarsh,Spartina maritima,-34.040994°, 23.003736°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,3.604824502,,,
Raw et al (2020),Knysna Estuary,5,1,Saltmarsh,Spartina maritima,-34.040994°, 23.003736°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,2.161900815,,,
Raw et al (2020),Knysna Estuary,5,2,Saltmarsh,Spartina maritima,-34.040994°, 23.003736°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,2.284464709,,,
Raw et al (2020),Knysna Estuary,5,3,Saltmarsh,Spartina maritima,-34.040994°, 23.003736°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,2.60084486,,,
Raw et al (2020),Knysna Estuary,6,1,Saltmarsh,Spartina maritima,-34.025847°, 22.989842°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,12.36678274,,,
Raw et al (2020),Knysna Estuary,6,2,Saltmarsh,Spartina maritima,-34.025847°, 22.989842°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,15.35400431,,,
Raw et al (2020),Knysna Estuary,6,3,Saltmarsh,Spartina maritima,-34.025847°, 22.989842°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,10.53755568,,,
Raw et al (2020),Knysna Estuary,6,1,Saltmarsh,Spartina maritima,-34.025847°, 22.989842°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,9.231762427,,,
Raw et al (2020),Knysna Estuary,6,2,Saltmarsh,Spartina maritima,-34.025847°, 22.989842°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,18.23315467,,,
Raw et al (2020),Knysna Estuary,6,3,Saltmarsh,Spartina maritima,-34.025847°, 22.989842°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,24.22686428,,,
Raw et al (2020),Knysna Estuary,6,1,Saltmarsh,Spartina maritima,-34.025847°, 22.989842°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,8.542514699,,,
Raw et al (2020),Knysna Estuary,6,2,Saltmarsh,Spartina maritima,-34.025847°, 22.989842°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,5.021079058,,,
Raw et al (2020),Knysna Estuary,6,3,Saltmarsh,Spartina maritima,-34.025847°, 22.989842°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,9.887330421,,,
Raw et al (2020),Knysna Estuary,7,1,Saltmarsh,Spartina maritima,-34.025483°, 22.989683°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,1.750836797,,,
Raw et al (2020),Knysna Estuary,7,2,Saltmarsh,Spartina maritima,-34.025483°, 22.989683°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,3.837203009,,,
Raw et al (2020),Knysna Estuary,7,3,Saltmarsh,Spartina maritima,-34.025483°, 22.989683°,direct from dataset,SouthAfrica,2018,0,0.15,LOI,2.379194356,,,
Raw et al (2020),Knysna Estuary,7,1,Saltmarsh,Spartina maritima,-34.025483°, 22.989683°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,1.962116368,,,
Raw et al (2020),Knysna Estuary,7,2,Saltmarsh,Spartina maritima,-34.025483°, 22.989683°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,2.415478289,,,
Raw et al (2020),Knysna Estuary,7,3,Saltmarsh,Spartina maritima,-34.025483°, 22.989683°,direct from dataset,SouthAfrica,2018,0.15,0.3,LOI,2.773455061,,,
Raw et al (2020),Knysna Estuary,7,1,Saltmarsh,Spartina maritima,-34.025483°, 22.989683°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,3.881058927,,,
Raw et al (2020),Knysna Estuary,7,2,Saltmarsh,Spartina maritima,-34.025483°, 22.989683°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,2.897916998,,,
Raw et al (2020),Knysna Estuary,7,3,Saltmarsh,Spartina maritima,-34.025483°, 22.989683°,direct from dataset,SouthAfrica,2018,0.3,0.5,LOI,3.289404323,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
