study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,total_pb210_activity,total_pb210_activity_se,pb210_unit,depth_interval_notes
Bost_et_al_2024,Tributary,Tusk,single set of methods,21,22,NA,0.047086031449999996,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Tusk,single set of methods,22,23,NA,0.04698838524,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,1,2,0.41,0.1622006373,5.19,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,2,3,0.4,0.18818480829999998,4.71,0.03,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,3,4,0.45,0.2054733272,4.53,0.03,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,4,5,0.38,0.2343560489,3.63,0.033,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,5,6,0.38,0.20526261689999997,3.54,0.033,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,6,7,0.39,0.2515417823,3.42,0.034,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,7,8,0.4,0.24563675610000002,3.71,0.033,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,8,9,0.39,0.2484376606,3.65,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,9,10,0.37,0.2599239387,3.17,0.035,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,10,11,0.41,0.2366327475,6.52,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,11,12,0.44,0.3031966286,5.32,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,12,13,0.3,0.3117894953,5.59,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,13,14,0.32,0.3319765649,5.23,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,14,15,0.4,0.3579607359,8.25,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,15,16,0.26,0.35205570969999994,4.29,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,16,17,0.47,0.37514133,3.78,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,17,18,0.33,0.3170675301,2.93,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,18,19,0.37,0.3053705417,2.72,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,19,20,0.38,0.2849779011,2.43,0.034,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,20,21,NA,0.2848751156,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,1,2,0.42,0.19408469520000002,7.15,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,2,3,0.47,0.1997790112,4.97,0.032,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,3,4,0.42,0.1764878199,4.22,0.034,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,4,5,0.4,0.1908777881,3.46,0.038,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,5,6,0.38,0.19077500260000002,3.28,0.039,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,6,7,0.37,0.20226641999999997,2.86,0.044,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,7,8,0.36,0.2108592867,2.69,0.046,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,8,9,0.34,0.20495426049999999,2.19,0.06,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,9,10,0.36,0.1990543735,2.64,0.045,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,10,11,0.39,0.2250385446,3.23,0.04,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,11,12,0.38,0.2307328605,2.75,0.046,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,12,13,0.35,0.1987408778,3.11,0.042,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,13,14,0.33,0.2189279474,3.74,0.036,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,14,15,0.32,0.21883030120000002,3.04,0.042,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,15,16,0.3,0.2245194778,3.3,0.04,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,16,17,0.31,0.2591993011,2.69,0.047,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,17,18,0.36,0.2590965156,2.4,0.052,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,18,19,0.37,0.24739952720000002,2.42,0.047,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,19,20,0.35,0.2357025388,1.59,0.092,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,20,21,NA,0.2240055504,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,21,22,NA,0.25288827220000004,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,1,2,0.86,0.07524411553,5.9,0.034,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,2,3,0.94,0.06354712715,5.98,0.034,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,3,4,0.97,0.04605303731,5.09,0.034,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,4,5,0.94,0.0401480111,5.47,0.034,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,5,6,0.78,0.04584232706,4.47,0.035,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,6,7,0.94,0.04284099085,3.57,0.039,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,7,8,0.78,0.05723095899,1.94,0.078,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,8,9,0.94,0.07742316785,1.89,0.071,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,9,10,0.78,0.05992393874,2.55,0.053,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,10,11,NA,0.04822695035,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,11,12,NA,0.03652996197,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,1,2,0.24,0.3187223764,17.31,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,2,3,0.24,0.32441155309999997,18.37,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,3,4,0.22,0.3243139069,17.14,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,4,5,0.22,0.3589885908,14.76,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,5,6,0.2,0.38787645179999997,16.23,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,6,7,0.2,0.3819714256,14.81,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,7,8,0.2,0.3818686401,12.65,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,8,9,0.2,0.3846644054,11.59,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,9,10,0.2,0.3787645184,11.58,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,10,11,0.19,0.3815602837,9.98,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,11,12,0.19,0.3930517011,9.19,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,12,13,0.18,0.3987460171,7.58,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,13,14,0.18,0.3841453387,7.93,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,14,15,0.18,0.4043324083,7.2,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,15,16,0.19,0.4100267242,7.02,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,16,17,0.19,0.43021379379999997,5.95,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,17,18,0.19,0.412719704,6.04,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,18,19,0.18,0.40681981700000003,5.24,0.175,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,19,20,0.17,0.4125089937,5.19,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,20,21,0.16,0.43559461400000005,4.18,0.176,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,21,22,0.16,0.45287799360000003,4.6,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,22,23,0.16,0.4353890431,3.85,0.175,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,23,24,0.16,0.4758659677,2.74,0.177,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,24,25,0.15,0.5018501388,2.38,0.178,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,1,2,0.31,0.165099188,9.02,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,2,3,0.33,0.1505036489,10.42,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,3,4,0.27,0.1793863706,9.34,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,4,5,0.28,0.17928358519999998,8.1,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,5,6,0.29,0.20526775619999998,8.09,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,6,7,0.31,0.1587881591,8.14,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,7,8,0.3,0.1789752287,7.73,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,8,9,0.32,0.18176585469999998,7.45,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,9,10,0.31,0.1903587213,6.79,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,10,11,0.32,0.1844588344,6.66,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,11,12,0.31,0.1901531504,5.18,0.03,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,12,13,0.34,0.18715181420000002,4.45,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,13,14,0.37,0.1783533765,4.58,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,14,15,0.47,0.1695497996,4.14,0.033,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,15,16,0.53,0.149157159,3.06,0.041,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,16,17,0.59,0.1113732141,2.98,0.041,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,17,18,0.61,0.07938637064,3.03,0.039,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,18,19,0.7,0.07638503443,2.51,0.044,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,19,20,0.7,0.07338369822,2.3,0.05,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,20,21,NA,0.05878815911,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,21,22,NA,0.058685373629999996,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,1,2,0.47,0.112925275,5.89,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,2,3,0.5,0.1041268373,6.46,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,3,4,0.52,0.09532839963,5.58,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,4,5,0.56,0.09232706342000001,4.79,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,5,6,0.64,0.08932572721,4.74,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,6,7,0.58,0.09791345462,4.29,0.03,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,7,8,0.58,0.09491211841,3.88,0.03,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,8,9,0.57,0.09480933291999999,3.36,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,9,10,0.58,0.1005036489,3,0.033,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,10,11,0.62,0.1032994141,2.62,0.038,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,11,12,0.6,0.1060951794,2.39,0.049,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,12,13,0.61,0.1175865968,2.32,0.057,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,13,14,0.59,0.09139685476000001,2.16,0.063,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,14,15,0.63,0.09128892999999999,2.06,0.066,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,15,16,0.66,0.07959708089,1.82,0.082,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,16,17,0.72,0.08238770686,1.48,0.115,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,17,18,0.76,0.08228492137,1.46,0.108,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,18,19,0.88,0.07348648371000001,1.39,0.131,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Howe,single set of methods,1,2,0.59,0.08973686915,5.31,0.524,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Howe,single set of methods,2,3,0.65,0.1128224895,1.12,0.566,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Howe,single set of methods,3,4,0.64,0.161989927,0.68,0.755,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,1,2,0.24,0.07524411553,11.32,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,2,3,0.24,0.07224277931999999,10.5,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,3,4,0.24,0.04895158804,10.6,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,4,5,0.26,0.09522561414,9.29,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,5,6,0.27,0.07193442286,9.5,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,6,7,0.29,0.0718264981,9.57,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
