study_id,site_id,core_id,species_code,species_notes
Poppe_et_al_2024,Seal Slough swamp,SES-TS-C2,Rubus spectabilis,veg for core vicinity
Poppe_et_al_2024,Seal Slough swamp,SES-TS-C2,Lysichiton americanum,veg for core vicinity
Poppe_et_al_2024,Seal Slough swamp,SES-TS-C2,Gaultheria shallon,veg for core vicinity
Poppe_et_al_2024,Seal Slough swamp,SES-TS-C3,Cornus sericea,veg for core vicinity
Poppe_et_al_2024,South Clatsop Slough restored marsh,SCS-RM-C2,Carex lyngbyei,veg for core vicinity
Poppe_et_al_2024,South Clatsop Slough restored marsh,SCS-RM-C2,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Wasson upper pasture,WAS-PA-C1,Holcus lanatus,veg for core vicinity
Poppe_et_al_2024,Wasson lower pasture,WAS2-PA-C1,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Johns River polyhaline marsh,JRP-1,Deschampsia cespitosa,veg for core vicinity
Poppe_et_al_2024,Johns River polyhaline marsh,JRP-1,Juncus balticus,veg for core vicinity
Poppe_et_al_2024,Johns River polyhaline marsh,JRP-2,Distichlis spicata,veg for core vicinity
Poppe_et_al_2024,Johns River mesohaline marsh,JRM-1,Juncus balticus,veg for core vicinity
Poppe_et_al_2024,Johns River mesohaline marsh,JRM-1,Potentilla anserina,veg for core vicinity
Poppe_et_al_2024,Johns River mesohaline marsh,JRM-2,Juncus balticus,veg for core vicinity
Poppe_et_al_2024,Johns River mesohaline marsh,JRM-2,Potentilla anserina,veg for core vicinity
Poppe_et_al_2024,Johns River oligohaline marsh,JRO-1,Agrostis stolonifera,veg for core vicinity
Poppe_et_al_2024,Johns River oligohaline marsh,JRO-1,Juncus balticus,veg for core vicinity
Poppe_et_al_2024,Johns River oligohaline marsh,JRO-1,Potentilla anserina,veg for core vicinity
Poppe_et_al_2024,Johns River oligohaline marsh,JRO-2,Juncus balticus,veg for core vicinity
Poppe_et_al_2024,Johns River oligohaline marsh,JRO-2,Potentilla anserina,veg for core vicinity
Poppe_et_al_2024,Johns River swamp,JRS-1,Carex obnupta,veg for core vicinity
Poppe_et_al_2024,Johns River swamp,JRS-1,Rubus spectabilis,veg for core vicinity
Poppe_et_al_2024,Johns River swamp,JRS-2,Carex obnupta,veg for core vicinity
Poppe_et_al_2024,Johns River swamp,JRS-2,Rubus spectabilis,veg for core vicinity
Poppe_et_al_2024,Johns River swamp,JRS-2,Lonicera involucrata,veg for core vicinity
Poppe_et_al_2024,Johns River swamp,JRS-2,Picea sitchensis,veg for core vicinity
Poppe_et_al_2024,Johns River restored marsh,JRR-1,Distichlis spicata,veg for core vicinity
Poppe_et_al_2024,Johns River restored marsh,JRR-2,Salicornia pacifica,veg for core vicinity
Poppe_et_al_2024,Johns River dry pasture,JRD-1,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Johns River dry pasture,JRD-2,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Johns River wet pasture,JRW-1,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Johns River wet pasture,JRW-2,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-1,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-1,Typha latifolia,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-1,Typha angustifolia,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-1,Symphyotrichum subspicatum,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-1,Oenanthe sarmentosa,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-1,Potentilla anserina,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-2,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-2,Typha latifolia,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-2,Typha angustifolia,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-2,Symphyotrichum subspicatum,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-2,Oenanthe sarmentosa,veg for core vicinity
Poppe_et_al_2024,Milltown Island oligohaline marsh,MIO-2,Potentilla anserina,veg for core vicinity
Poppe_et_al_2024,Milltown Island restored marsh,MIR-1,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Milltown Island restored marsh,MIR-1,Scirpus microcarpus,veg for core vicinity
Poppe_et_al_2024,Milltown Island restored marsh,MIR-1,Carex utriculata,veg for core vicinity
Poppe_et_al_2024,Milltown Island restored marsh,MIR-2,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Milltown Island restored marsh,MIR-2,Scirpus microcarpus,veg for core vicinity
Poppe_et_al_2024,Milltown Island restored marsh,MIR-2,Carex utriculata,veg for core vicinity
Poppe_et_al_2024,Milltown Island swamp,MIS-1,Cornus sericea,veg for core vicinity
Poppe_et_al_2024,Milltown Island swamp,MIS-1,Rubus spectabilis,veg for core vicinity
Poppe_et_al_2024,Milltown Island swamp,MIS-1,Lysichiton americanum,veg for core vicinity
Poppe_et_al_2024,Fir Island marsh,FIR-1,Schoenoplectus tabernaemontani,veg for core vicinity
Poppe_et_al_2024,Fir Island marsh,FIR-1,Triglochin maritima,veg for core vicinity
Poppe_et_al_2024,Fir Island marsh,FIR-2,Agrostis stolonifera,veg for core vicinity
Poppe_et_al_2024,Fir Island restored marsh,FRR-1,Cotula coronopifolia,veg for core vicinity
Poppe_et_al_2024,Fir Island restored marsh,FRR-1,Spergularia canadensis,veg for core vicinity
Poppe_et_al_2024,Fir Island restored marsh,FRR-2,None,veg for core vicinity
Poppe_et_al_2024,Big Indian Slough marsh,BIS-1,Distichlis spicata,veg for core vicinity
Poppe_et_al_2024,Big Indian Slough marsh,BIS-2,Distichlis spicata,veg for core vicinity
Poppe_et_al_2024,Padilla Bay wet pasture,PBW-1,Atriplex sp.,veg for core vicinity
Poppe_et_al_2024,Padilla Bay wet pasture,PBW-1,Agrostis sp.,veg for core vicinity
Poppe_et_al_2024,Padilla Bay ag field,PBD-1,None,veg for core vicinity
Poppe_et_al_2024,Padilla Bay ag field,PBD-2,None,veg for core vicinity
Poppe_et_al_2024,Coal Creek swamp,NEH-COA-TS7,Picea sitchensis,veg for site - stocks project
Poppe_et_al_2024,Chehalis swamp,GRA-CHE-TS7,Picea sitchensis,veg for site - stocks project
Poppe_et_al_2024,John's River swamp,GRA-JOH-TS7,Picea sitchensis,veg for site - stocks project
Poppe_et_al_2024,Secret River swamp,COL-SEC-TS7,Picea sitchensis,veg for site - stocks project
Poppe_et_al_2024,Blind Slough swamp,COL-BLI-TS7,Picea sitchensis,veg for site - stocks project
Poppe_et_al_2024,Otter Island swamp,SNO-OTT-TS7,Picea sitchensis,veg for site - stocks project
Poppe_et_al_2024,Millicoma high marsh,COO-MIL-HM7,Agrostis stolonifera,veg for site - stocks project
Poppe_et_al_2024,Millicoma high marsh,COO-MIL-HM7,Carex lyngbyei,veg for site - stocks project
Poppe_et_al_2024,Hampel high marsh,COO-HAM-HM7,Agrostis stolonifera,veg for site - stocks project
Poppe_et_al_2024,Hampel high marsh,COO-HAM-HM7,Carex lyngbyei,veg for site - stocks project
Poppe_et_al_2024,Danger Point marsh,COO-DAN-HM7,Agrostis stolonifera,veg for site - stocks project
Poppe_et_al_2024,Danger Point marsh,COO-DAN-HM7,Carex lyngbyei,veg for site - stocks project
Poppe_et_al_2024,Metcalf marsh,COO-MET-HM7,Carex lyngbyei,veg for site - stocks project
Poppe_et_al_2024,Metcalf marsh,COO-MET-HM7,Triglochin maritima,veg for site - stocks project
Poppe_et_al_2024,Danger Point marsh,DAN-HM-C1a,Agrostis stolonifera,veg for site - stocks project
Poppe_et_al_2024,Danger Point marsh,DAN-HM-C1a,Carex lyngbyei,veg for site - stocks project
Poppe_et_al_2024,Millicoma high marsh,MIL-HM-C1a,Agrostis stolonifera,veg for site - stocks project
Poppe_et_al_2024,Millicoma high marsh,MIL-HM-C1a,Carex lyngbyei,veg for site - stocks project
Poppe_et_al_2024,South Clatsop Slough restored marsh,SCS-RM-C3,Carex lyngbyei,veg for core vicinity
Poppe_et_al_2024,Alder Rd pasture,ALD-PA-C1,Phalaris arundinacea,veg for core vicinity
Poppe_et_al_2024,Alder Rd pasture,ALD-PA-C2,Phalaris arundinacea,veg for core vicinity
