study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_fraction,compaction_notes,cs137_peak_age,cs137_activity,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,depth_interval_notes
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,gouge auger core,48,50,MLC-HM-C1-49,0.37198966538982514,0.114,0.00647,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,0,2.016,SEC-HM-C1-50,0.348,0.14887345069279895,0.05688,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.06180610236220472,cts/sec/kg,55.328,NA,99.99637331366311,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,2.016,4.032,SEC-HM-C1-51,0.361,0.1293058116083691,0.04347,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.05583333333333332,cts/sec/kg,42.522,NA,87.18986351797187,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,4.032,6.049,SEC-HM-C1-52,0.344,0.14442806250637727,0.05112,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0654126679462572,cts/sec/kg,44.222,NA,88.8902833065428,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,6.049,8.065,SEC-HM-C1-53,0.324,0.13271960054229537,0.04707,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.08620493358633777,cts/sec/kg,39.865,NA,84.5325075365907,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,8.065,10.081,SEC-HM-C1-54,0.451,0.11255762113309938,0.03678999999999999,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0622640090259496,cts/sec/kg,24.059,NA,68.72670167250031,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,10.081,12.097,SEC-HM-C1-55,0.47,0.1125878619713962,0.03375,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.04782392026578074,cts/sec/kg,17.302,NA,61.97007561851766,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,12.097,14.113,SEC-HM-C1-56,0.555,0.11683981087153344,0.03944,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.04746962115796999,cts/sec/kg,16.689,NA,61.356802553258774,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,14.113,16.13,SEC-HM-C1-57,0.371,0.123970172312446,0.04181,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.06079337401918047,cts/sec/kg,30.27,NA,74.9383380651459,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,16.13,18.146,SEC-HM-C1-58,0.423,0.10038829261145105,0.03118,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.05154671968190855,cts/sec/kg,13.546,NA,58.21400103577182,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,18.146,20.162,SEC-HM-C1-59,0.398,0.10918400318146772,0.03761,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.06772569444444444,cts/sec/kg,22.235,NA,66.90285514249436,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,20.162,22.178,SEC-HM-C1-60,0.454,0.10520130416518073,0.0345,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.07286041189931348,cts/sec/kg,12.432,NA,57.09989004654141,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,22.178,24.194,SEC-HM-C1-61,0.48,0.1032436771472827,0.03407,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.06612223016440315,cts/sec/kg,11.597,NA,56.26528807903745,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,24.194,26.211,SEC-HM-C1-62,0.534,0.10415529854195266,0.03448,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.093059434881455,cts/sec/kg,12.489,NA,57.15680186393371,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,26.211,28.227,SEC-HM-C1-63,0.521,0.09493986713307843,0.03282,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.10744162775183456,cts/sec/kg,2.336,NA,47.00426357074769,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,28.227,30.243,SEC-HM-C1-64,0.498,0.09125410777118297,0.03401,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.09786624203821656,cts/sec/kg,2.517,NA,47.18500576555334,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,30.243,32.259,SEC-HM-C1-65,0.566,0.08066077462430632,0.02725,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.07649908031882281,cts/sec/kg,-8.275,NA,36.39259520326408,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,32.259,34.275,SEC-HM-C1-66,0.573,0.07434046335202132,0.02454,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.1066464155528554,cts/sec/kg,-1.016,NA,43.65208072651671,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,34.275,36.292,SEC-HM-C1-67,0.627,0.06891186749006664,0.02538,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0996193103448276,cts/sec/kg,-2.831,NA,41.83650443029501,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,36.292,38.308,SEC-HM-C1-68,0.562,NA,0.03071,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.206036866359447,cts/sec/kg,3.29,NA,47.95754103879082,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,38.308,40.324,SEC-HM-C1-69,0.5,NA,0.0324,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.2724434544208362,cts/sec/kg,8.787,NA,53.454519796948034,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,40.324,42.34,SEC-HM-C1-70,0.502,0.08546572106580566,0.02814999999999999,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.3548053737512918,cts/sec/kg,2.176,NA,46.84405284484254,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,42.34,44.356,SEC-HM-C1-71,0.549,0.08470584339518773,NA,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.3832382762991128,cts/sec/kg,-0.879,NA,43.788662343681615,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,44.356,46.373,SEC-HM-C1-72,0.553,0.08176997598958824,0.02567,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.46782690498588897,cts/sec/kg,-4.232,NA,40.43639443714178,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,46.373,48.389,SEC-HM-C1-73,0.548,0.08070305624104789,0.02607,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.49226675015654353,cts/sec/kg,-0.782,NA,43.885672249463234,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,gouge auger core,48.389,50.405,SEC-HM-C1-74,0.55,0.08617538367897022,0.02908999999999999,0.0081,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.602360717658168,cts/sec/kg,-1.09,NA,43.57826045696672,NA,Bq/kg,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,0,2,KAN-RM-C1-75,0.2924914176377722,0.17,0.04238,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.06778179999999999,cts/sec/kg,48.46940865,13.80513137,72.65066822,12.05202742,Bq/kg,28.21686741,3.862054144,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,2,4,KAN-RM-C1-76,0.34837248654559316,0.2,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.00368294,cts/sec/kg,23.88287404,10.72831799,49.02618636,9.195407106,Bq/kg,27.14862664,3.467655352,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,4,6,KAN-RM-C1-77,0.23431144399640147,0.23,0.07450999999999999,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.05535699999999999,cts/sec/kg,37.32748009,17.53949391,73.46828912,15.08387872,Bq/kg,39.25164877,5.565179059,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,6,8,KAN-RM-C1-78,0.4047840719303869,0.16,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0343409,cts/sec/kg,30.39341334,10.90141653,59.44728321,9.469110469,Bq/kg,31.60346327,3.174088996,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,8,10,KAN-RM-C1-79,0.34678093711467406,0.17,0.04423,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0,cts/sec/kg,30.42182908,9.937766016,56.75074853,8.612927624,Bq/kg,28.86662719,2.964359257,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,10,12,KAN-RM-C1-80,0.2657887549634651,0.18,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0425348,cts/sec/kg,40.49319291,14.79484359,66.13705008,12.70892022,Bq/kg,29.03751963,4.713707927,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,12,14,KAN-RM-C1-81,0.6153991132886619,0.16,0.0347,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.08941539999999999,cts/sec/kg,21.88499675,8.54852179,44.66753623,7.328026037,Bq/kg,24.61154976,2.770018552,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,14,16,KAN-RM-C1-82,0.4063756213613059,0.19,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.03973459999999999,cts/sec/kg,10.90712373,8.80610212,33.35631079,7.386760031,Bq/kg,23.36244114,3.246655547,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,16,18,KAN-RM-C1-83,0.424766859229703,0.18,0.05141,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0,cts/sec/kg,4.938688548,8.531564692,34.58352712,7.097646029,Bq/kg,30.05796918,3.277608739,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,18,20,KAN-RM-C1-84,0.5121252391045878,0.17,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,0.0568757,cts/sec/kg,-10.30946011,7.321537117,21.46065744,5.903600587,Bq/kg,30.89643533,3.170460331,Bq/kg,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,20,22,KAN-RM-C1-85,0.5726041174795078,0.19,0.05759,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,22,24,KAN-RM-C1-86,0.585690190578175,0.18,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,24,26,KAN-RM-C1-87,0.5008075542624973,NA,0.04085,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,26,28,KAN-RM-C1-88,0.7057637531997272,0.15,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,28,30,KAN-RM-C1-89,0.5535055243084804,0.15,0.04085,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,30,32,KAN-RM-C1-90,0.5110642061506415,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,32,34,KAN-RM-C1-91,0.5524444913545344,NA,0.05658,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,excess pb210 has been decay corrected for pb210 half life and number of days between core collection and measurement. pb210/214 se is in units of sd/kg
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,34,36,KAN-RM-C1-92,0.5729577951308233,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,36,38,KAN-RM-C1-93,0.46862288799280294,NA,0.04135,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,38,40,KAN-RM-C1-94,0.4169859509007658,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,40,42,KAN-RM-C1-95,0.5121252391045875,NA,0.03704,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,42,44,KAN-RM-C1-96,0.6320219629004821,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,44,46,KAN-RM-C1-97,0.626363120479437,NA,0.03234,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,46,48,KAN-RM-C1-98,0.7563396573378182,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,gouge auger core,48,50,KAN-RM-C1-99,0.7253928628477274,NA,0.03666,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C2-1543,gouge auger core,0,2,KAN-RM-C2-100,0.2718012750358257,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C2-1543,gouge auger core,2,4,KAN-RM-C2-101,0.29567451649961,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C2-1543,gouge auger core,4,6,KAN-RM-C2-102,0.4880751588151456,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C2-1543,gouge auger core,6,8,KAN-RM-C2-103,0.5842754799729135,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C2-1543,gouge auger core,8,10,KAN-RM-C2-104,0.5856901905781747,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C2-1543,gouge auger core,10,12,KAN-RM-C2-105,0.6613772079596538,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KAN-RM,KAN-RM-C2-1543,gouge auger core,12,14,KAN-RM-C2-106,0.5008075542624973,NA,NA,0,"Compaction quantified, accounted for in reported section depths and bulk density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
