study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,pb210_unit
Snedden_2018,172,172_1,single set of methods,24,26,0.34,0.165726,0.054130000000000005,0.305,0.066,disintegrationsPerminutePerGram,1.171,0.813,32.854,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,26,28,0.32,0.193838,0.06053,0.427,0.064,disintegrationsPerminutePerGram,1.075,0.76,29.246,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,28,30,0.28,0.171375,0.05064,0.373,0.059,disintegrationsPerminutePerGram,1.264,0.742,30.182,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,30,32,0.32,0.154899,0.04743,0.379,0.058,disintegrationsPerminutePerGram,1.271,0.705,29.612,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,32,34,0.32,0.158004,0.04861,0.458,0.078,disintegrationsPerminutePerGram,1.349,0.49,21.342,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,34,36,0.31,0.15596,0.047889999999999995,0.301,0.062,disintegrationsPerminutePerGram,1.316,0.705,29.075,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,36,38,0.38,0.153061,0.04857,0.457,0.073,disintegrationsPerminutePerGram,1.632,0.774,27.946,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,38,40,0.33,0.15193500000000001,0.04713,0.44,0.063,disintegrationsPerminutePerGram,1.13,0.793,30.131,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,40,42,0.4,0.125337,0.042249999999999996,0.39,0.06,disintegrationsPerminutePerGram,1.394,0.725,28.306,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,42,44,0.42,0.127942,0.03345,0.387,0.065,disintegrationsPerminutePerGram,1.209,0.465,19.931,disintegrationsPerminutePerGram
Snedden_2018,172,172_1,single set of methods,43,45,0.45,0.132274,0.04249,0.368,0.055,disintegrationsPerminutePerGram,1.255,0.405,18.535,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,0,2,0.05,0.310205,0.1192,0,0,disintegrationsPerminutePerGram,13.347,0.74,14.238,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,2,4,0.15,0.30291,0.1151,0.04,0.054,disintegrationsPerminutePerGram,11.17,0.488,12.095,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,4,6,0.17,0.266408,0.08928000000000001,0.259,0.056,disintegrationsPerminutePerGram,11.161,0.449,12.214,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,6,8,0.22,0.234595,0.09451000000000001,0.228,0.055,disintegrationsPerminutePerGram,11.374,0.445,12.5,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,8,10,0.23,0.229899,0.08947,0.043,0.045,disintegrationsPerminutePerGram,9.512,0.408,10.355,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,10,12,0.22,0.25981000000000004,0.10300000000000001,0.239,0.065,disintegrationsPerminutePerGram,6.856,0.435,7.957,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,12,14,0.21,0.250275,0.09906000000000001,0.134,0.051,disintegrationsPerminutePerGram,4.846,0.408,6.065,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,14,16,0.26,0.22768,0.08578,0.242,0.051,disintegrationsPerminutePerGram,5.484,0.351,6.355,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,16,18,0.21,0.24851099999999998,0.1067,0.036,0.05,disintegrationsPerminutePerGram,4.76,0.345,5.719,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,18,20,0.15,0.382257,0.16440000000000002,0.507,0.07,disintegrationsPerminutePerGram,6.299,0.411,7.056,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,20,22,0.14,0.394305,0.1585,0.935,0.093,disintegrationsPerminutePerGram,7.303,0.451,8.484,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,22,24,0.19,0.30838699999999997,0.1177,1.122,0.083,disintegrationsPerminutePerGram,7.043,0.423,7.983,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,24,26,0.17,0.345685,0.1371,1.292,0.077,disintegrationsPerminutePerGram,6.892,0.435,7.533,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,26,28,0.18,0.365139,0.14730000000000001,1.389,0.098,disintegrationsPerminutePerGram,7.496,0.468,7.496,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,28,30,0.16,0.33866100000000005,0.133,2.02,0.116,disintegrationsPerminutePerGram,3.818,0.382,4.86,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,30,32,0.17,0.32157800000000003,0.1274,2.695,0.136,disintegrationsPerminutePerGram,5.297,0.524,5.297,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,32,34,0.14,0.444056,0.1912,2.615,0.137,disintegrationsPerminutePerGram,6.677,0.537,7.601,disintegrationsPerminutePerGram
Snedden_2018,173,173_1,single set of methods,34,36,0.14,0.44656399999999996,0.1764,1.821,0.113,disintegrationsPerminutePerGram,4.972,0.428,6.36,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,0,2,0.26,0.21343399999999998,0.08045,0.344,0.068,disintegrationsPerminutePerGram,34.753,0.877,36.425,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,2,4,0.35,0.189268,0.07254,0.209,0.061,disintegrationsPerminutePerGram,33.604,0.839,35.372,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,4,6,0.31,0.193469,0.07162,0.286,0.065,disintegrationsPerminutePerGram,33.288,0.845,35.02,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,6,8,0.34,0.176126,0.07012,0.219,0.063,disintegrationsPerminutePerGram,19.458,0.467,21.042,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,8,10,0.36,0.17428999999999997,0.06361,0.248,0.073,disintegrationsPerminutePerGram,22.695,0.541,24.464,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,10,12,0.4,0.176156,0.06756999999999999,0.222,0.058,disintegrationsPerminutePerGram,28.101,0.726,30.086,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,12,14,0.68,0.07122200000000001,0.01964,0.211,0.055,disintegrationsPerminutePerGram,17.749,0.424,19.629,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,14,16,0.49,0.130249,0.047380000000000005,0.107,0.057,disintegrationsPerminutePerGram,17.754,0.424,19.507,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,16,18,0.46,0.122524,0.03801,0.241,0.067,disintegrationsPerminutePerGram,19.113,0.458,20.761,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,18,20,0.4,0.15655,0.04907,0.394,0.074,disintegrationsPerminutePerGram,21.244,0.518,23.248,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,20,22,0.59,0.094711,0.01984,0.265,0.068,disintegrationsPerminutePerGram,30.756,0.797,32.418,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,22,24,0.43,0.135853,0.04445,0.172,0.069,disintegrationsPerminutePerGram,20.879,0.503,22.695,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,24,26,0.35,0.15438000000000002,0.05044,0.374,0.069,disintegrationsPerminutePerGram,28.047,0.776,29.693,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,26,28,0.41,0.155622,0.047889999999999995,0.299,0.059,disintegrationsPerminutePerGram,28.252,0.746,29.803,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,28,30,0.34,0.150686,0.05432000000000001,0.17,0.069,disintegrationsPerminutePerGram,21.983,0.497,23.606,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,30,32,0.33,0.18106999999999998,0.061660000000000006,0.36,0.062,disintegrationsPerminutePerGram,27.635,0.729,29.429,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,32,34,0.41,0.154774,0.052919999999999995,0.368,0.062,disintegrationsPerminutePerGram,29.174,0.742,30.88,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,34,36,0.4,0.146497,0.052450000000000004,0.498,0.066,disintegrationsPerminutePerGram,22.144,0.527,23.947,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,36,38,0.38,0.178329,0.06622,0.52,0.067,disintegrationsPerminutePerGram,19.791,0.467,21.485,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,38,40,0.42,0.146133,0.053689999999999995,0.539,0.063,disintegrationsPerminutePerGram,25.979,0.701,27.963,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,40,42,0.43,0.155695,0.057409999999999996,0.593,0.073,disintegrationsPerminutePerGram,30.679,0.793,32.5,disintegrationsPerminutePerGram
Snedden_2018,175,175_1,single set of methods,42,44,0.46,0.068776,0.05665,0.552,0.064,disintegrationsPerminutePerGram,28.634,0.715,30.453,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,0,2,0.05,0.214222,0.4313,0.156,0,disintegrationsPerminutePerGram,16.49,1.192,16.919,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,2,4,0.05,0.867988,0.4385,0.162,0,disintegrationsPerminutePerGram,16.127,1.441,16.735,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,4,6,0.06,0.93199,0.4454,0.386,0,disintegrationsPerminutePerGram,16.438,1.333,17.166,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,6,8,0.06,0.9448430000000001,0.4743,0.19,0,disintegrationsPerminutePerGram,16.275,2.002,16.719,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,8,10,0.05,0.929392,0.4648,0.052,0,disintegrationsPerminutePerGram,4.05,1.278,4.916,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,10,12,0.04,0.932536,0.4581,0.306,0,disintegrationsPerminutePerGram,10.109,1.088,10.619,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,12,14,0.06,0.921481,0.46869999999999995,0.067,0,disintegrationsPerminutePerGram,8.627,1.363,9.342,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,14,16,0.06,0.937656,0.47409999999999997,0.4,0,disintegrationsPerminutePerGram,14.692,1.258,15.018,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,16,18,0.06,0.931041,0.4754,0.577,0,disintegrationsPerminutePerGram,7.224,2.046,8.028,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,18,20,0.06,0.946211,0.4925,0.125,0,disintegrationsPerminutePerGram,8.356,1.358,9.068,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,20,22,0.05,0.959469,0.49,0.176,0,disintegrationsPerminutePerGram,13.475,1.401,13.879,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,22,24,0.07,0.940197,0.4857,0.5,0.168,disintegrationsPerminutePerGram,15.629,1.188,16.166,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,24,26,0.07,0.936348,0.4959,0.826,0.156,disintegrationsPerminutePerGram,11.195,0.996,11.575,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,26,28,0.06,0.92491,0.4593,2.225,0.242,disintegrationsPerminutePerGram,2.157,0.224,2.601,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,28,30,0.08,0.9126040000000001,0.45909999999999995,4.914,0.272,disintegrationsPerminutePerGram,8.943,0.971,9.198,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,30,32,0.07,0.88104,0.451,8.557,0.315,disintegrationsPerminutePerGram,8.82,0.956,9.523,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,32,34,0.09,0.8821420000000001,0.4314,5.609,0.289,disintegrationsPerminutePerGram,6.103,0.945,6.293,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,34,36,0.07,0.877757,0.45640000000000003,6.39,0.29,disintegrationsPerminutePerGram,6.256,0.835,6.62,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,36,38,0.11,0.66078,0.32899999999999996,5.978,0.236,disintegrationsPerminutePerGram,5.268,0.691,5.519,disintegrationsPerminutePerGram
Snedden_2018,189,189_1,single set of methods,38,40,0.1,0.515064,0.2525,3.713,0.179,disintegrationsPerminutePerGram,3.024,0.539,3.545,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,0,2,0.01,0.525675,0.2334,0.783,0,disintegrationsPerminutePerGram,13.089,1.341,14.937,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,2,4,0.16,0.339634,0.1464,0.564,0.134,disintegrationsPerminutePerGram,12.18,0.936,13.691,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,4,6,0.26,0.280048,0.12480000000000001,0.673,0.103,disintegrationsPerminutePerGram,11.488,0.669,12.975,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,6,8,0.23,0.28552900000000003,0.1184,0.844,0.1,disintegrationsPerminutePerGram,11.555,0.594,13.308,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,8,10,0.3,0.292192,0.1226,1.311,0.097,disintegrationsPerminutePerGram,10.56,0.524,11.949,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,10,12,0.24,0.33174,0.14400000000000002,2.346,0.115,disintegrationsPerminutePerGram,10.902,0.502,12.508,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,12,14,0.26,0.315392,0.1336,3.471,0.124,disintegrationsPerminutePerGram,8.468,0.453,9.891,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,14,16,0.28,0.293558,0.1216,4.103,0.131,disintegrationsPerminutePerGram,5.41,0.353,6.855,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,16,18,0.28,0.28045000000000003,0.122,3.918,0.133,disintegrationsPerminutePerGram,4.572,0.363,6.257,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,18,20,0.28,0.313138,0.1474,2.818,0.118,disintegrationsPerminutePerGram,3.779,0.327,5.185,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,20,22,0.26,0.32429,0.1211,1.77,0.105,disintegrationsPerminutePerGram,3.978,0.357,5.331,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,22,24,0.29,0.339711,0.1593,1.123,0.091,disintegrationsPerminutePerGram,2.178,0.276,3.402,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,24,26,0.31,0.34638599999999997,0.1671,0.533,0.062,disintegrationsPerminutePerGram,1.999,0.212,3.803,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,26,28,0.47,0.19139399999999998,0.07,0.285,0.045,disintegrationsPerminutePerGram,1.059,0.133,2.727,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,28,30,0.47,0.196446,0.07091,0.038,0,disintegrationsPerminutePerGram,0.882,0.116,2.855,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,30,32,0.51,0.154776,0.03837,0.086,0.042,disintegrationsPerminutePerGram,2.385,0.221,3.915,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,32,34,0.31,0.144886,0.03497,0.125,0,disintegrationsPerminutePerGram,1.765,0.181,3.459,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,34,36,0.45,0.17806,0.05838,0.038,0,disintegrationsPerminutePerGram,1.824,0.159,3.508,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,36,38,0.44,0.18396,0.06382,0,0,disintegrationsPerminutePerGram,1.675,0.163,3.479,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,38,40,0.43,0.184813,0.06146,0,0,disintegrationsPerminutePerGram,1.478,0.155,3.25,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,40,42,0.48,0.169864,0.05979,0,0,disintegrationsPerminutePerGram,1.484,0.156,3.206,disintegrationsPerminutePerGram
Snedden_2018,192,192_1,single set of methods,42,44,0.44,0.158699,0.05133,0.05,0.03,disintegrationsPerminutePerGram,1.872,0.175,3.659,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,0,2,0.12,0.35087,0.1386,0.076,0.05,disintegrationsPerminutePerGram,12.323,0.51,13.391,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,2,4,0.24,0.237334,0.08956,0.109,0.037,disintegrationsPerminutePerGram,9.828,0.434,11.233,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,4,6,0.39,0.123049,0.0353,0.086,0.033,disintegrationsPerminutePerGram,11.606,0.647,13.093,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,6,8,0.25,0.284137,0.1175,0.145,0.04,disintegrationsPerminutePerGram,10.344,0.441,11.474,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,8,10,0.36,0.178564,0.07122,0.131,0.043,disintegrationsPerminutePerGram,15.728,0.832,17.093,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,10,12,0.31,0.250548,2.8000000000000003e-4,0.374,0.05,disintegrationsPerminutePerGram,7.352,0.396,8.586,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,12,14,0.27,0.301074,0.10980000000000001,0.134,0.054,disintegrationsPerminutePerGram,5.485,0.382,6.572,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,14,16,0.2,0.33896299999999996,0.12960000000000002,0.22,0.045,disintegrationsPerminutePerGram,6.561,0.359,7.828,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,16,18,0.23,0.233657,0.07732,0.173,0.036,disintegrationsPerminutePerGram,6.656,0.364,7.893,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,18,20,0.21,0.300189,0.1284,0.315,0.051,disintegrationsPerminutePerGram,8.674,0.447,9.669,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,20,22,0.23,0.337406,0.1448,0.279,0.051,disintegrationsPerminutePerGram,10.415,0.406,11.298,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,22,24,0.2,0.347293,0.1499,0.445,0.061,disintegrationsPerminutePerGram,10.718,0.489,11.489,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,24,26,0.19,0.383695,0.15710000000000002,0.42,0.062,disintegrationsPerminutePerGram,10.417,0.523,11.277,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,26,28,0.18,0.43166899999999997,0.184,0.411,0.067,disintegrationsPerminutePerGram,11.141,0.543,11.727,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,28,30,0.16,0.399148,0.17550000000000002,0.436,0.066,disintegrationsPerminutePerGram,10.789,0.55,11.546,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,30,32,0.16,0.378767,0.1574,0.502,0.068,disintegrationsPerminutePerGram,9.929,0.508,10.656,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,32,34,0.15,0.420529,0.1794,0.732,0.071,disintegrationsPerminutePerGram,7.299,0.459,8.118,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,34,36,0.2,0.33988999999999997,0.1485,0.59,0.064,disintegrationsPerminutePerGram,5.85,0.388,6.79,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,36,38,0.18,0.352806,0.1469,0.613,0.06,disintegrationsPerminutePerGram,6.717,0.416,7.471,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,38,40,0.15,0.442048,0.18969999999999998,0.916,0.074,disintegrationsPerminutePerGram,7.611,0.455,8.31,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,40,42,0.13,0.469593,0.20010000000000003,1.225,0.076,disintegrationsPerminutePerGram,7.144,0.418,8.047,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,42,44,0.14,0.42682400000000004,0.1866,1.517,0.098,disintegrationsPerminutePerGram,7.58,0.501,8.201,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,43,45,0.29,0.210652,0.09401,1.95,0.085,disintegrationsPerminutePerGram,3.976,0.334,5.091,disintegrationsPerminutePerGram
Snedden_2018,209,209_1,single set of methods,44,46,0.21,0.313816,0.1365,3.662,0.11,disintegrationsPerminutePerGram,4.665,0.357,5.54,disintegrationsPerminutePerGram
Snedden_2018,211,211_1,single set of methods,0,2,0.1,0.282839,0.113,0.099,0.211,disintegrationsPerminutePerGram,11.235,1.293,12.643,disintegrationsPerminutePerGram
Snedden_2018,211,211_1,single set of methods,2,4,0.09,0.324349,0.1255,0.516,0.076,disintegrationsPerminutePerGram,13.446,0.556,15.02,disintegrationsPerminutePerGram
Snedden_2018,211,211_1,single set of methods,4,6,0.09,0.300219,0.1217,0.61,0.076,disintegrationsPerminutePerGram,12.418,0.556,13.877,disintegrationsPerminutePerGram
