SITE,Point_ID,Location,Latitude,Longitude,Elevation,Veg_species,Flood_Tolerance,OM_Depth,salinity
CSS,416,LW,37.32979793,-76.43258449,0.418,dist,2.5,0.19,
CSS,417,LW,37.32980648,-76.43253725,0.428,sht. alt,3,,
CSS,418,LW,37.3298202,-76.43248091,0.434,sht. alt,3,0.18,
CSS,419,LW,37.32983157,-76.4324265,0.419,alt,3,,
CSS,420,LW,37.32984358,-76.432373,0.398,alt,3,0.19,
CSS,421,LW,37.32985554,-76.43232804,0.377,sht. alt,3,,
CSL,125,SW,37.33020384,-76.43284286,0.456,alt,3,,
CSL,126,SW,37.33021454,-76.43282462,0.447,dist,2,0.065,3.7
CSL,127,SW,37.33022714,-76.43278647,0.452,dist,2,,
CSL,128,SW,37.33024176,-76.4327534,0.451,dist,2,0.17,
CSL,129,SW,37.33025586,-76.43270728,0.462,sht. alt,3,,
CSL,130,SW,37.33026314,-76.43266789,0.450,dist,2,0.16,4.5
CSL,131,SW,37.33027099,-76.43263133,0.496,dist,2,,
CSL,132,SW,37.33028324,-76.43259346,0.472,alt,3,0.05,16
CSL,133,SW,37.33028384,-76.43256542,0.492,dist,2,,
CSL,216,SW,37.33009439,-76.43278489,0.326,pond,,,
CSL,217,SW,37.3300951,-76.43278258,0.329,pond,,,
CSL,218,SW,37.33010514,-76.43274184,0.408,alt,2.5,0.1,
CSL,219,SW,37.33012253,-76.43269369,0.396,dist,2,,
CSL,220,SW,37.33014468,-76.432652,0.36,alt,2.5,0.095,
CSL,221,SW,37.33016886,-76.43260307,0.398,alt,2.5,,
CSL,222,SW,37.33018966,-76.43256494,0.382,dist,2,0.16,
CSL,223,SW,37.33020653,-76.43252139,0.387,alt,3,,
CSL,224,SW,37.33021035,-76.43250968,0.426,pond,3,,
CSL,316,SW,37.32996659,-76.4326749,0.414,alt,3,0.18,
CSL,317,SW,37.32997781,-76.43261877,0.438,alt,3,,
CSL,318,SW,37.32999324,-76.43256058,0.425,alt,3,0.06,9.3
CSL,319,SW,37.3300047,-76.43251044,0.343,pond,,,
CSL,320,SW,37.33001689,-76.43245301,0.413,alt,3,0.2,7.9
CSL,321,SW,37.33002325,-76.43242101,0.419,sht. alt,3,,
CSL,415,SW,37.3298009,-76.43260854,0.415,alt,3,,
CSL,416,SW,37.32979793,-76.43258449,0.418,dist,2.5,0.19,
CSL,417,SW,37.32980648,-76.43253725,0.428,sht. alt,3,,
CSL,418,SW,37.3298202,-76.43248091,0.434,sht. alt,3,0.18,
CSL,419,SW,37.32983157,-76.4324265,0.419,alt,3,,
CSL,420,SW,37.32984358,-76.432373,0.398,alt,3,0.19,
CSL,421,SW,37.32985554,-76.43232804,0.377,sht. alt,3,,
CSL,139,LW,37.33029653,-76.43250269,0.468,dist,2,,
CSL,140,LW,37.33029946,-76.43249431,0.508,dist,2,0.09,5.2
CSL,141,LW,37.33030519,-76.43245919,0.363,pond,,,
CSL,142,LW,37.33031711,-76.43242294,0.399,pond,,0.05,3
CSL,143,LW,37.330329,-76.43239045,0.411,pond,2,,
CSL,144,LW,37.33033923,-76.43235711,0.407,pond,2,0.06,15.8
CSL,145,LW,37.330346,-76.43231879,0.463,pond,2,,
CSL,146,LW,37.33035252,-76.43227371,0.477,dist,2,0.065,4.1
CSL,147,LW,37.33036371,-76.43222649,0.468,dist,2,,
CSL,148,LW,37.33036916,-76.43218537,0.465,dist,2,0.12,7.9
CSL,149,LW,37.33037837,-76.43213088,0.487,dist,2,,
CSL,150,LW,37.33038453,-76.43208533,0.467,dist,2,0.06,3.8
CSL,151,LW,37.33039438,-76.43203063,0.478,dist,2,,
CSL,152,LW,37.33039565,-76.43199345,0.499,dist,2,0.05,
CSL,153,LW,37.33040202,-76.43194002,0.491,dist,2,,
CSL,154,LW,37.33040762,-76.43189016,0.500,dist,2,0.025,
CSL,230,LW,37.33022414,-76.43245385,0.454,alt,3,0.05,
CSL,231,LW,37.33023132,-76.43241373,0.362,pond,,,
CSL,232,LW,37.33024422,-76.43236737,0.459,pond,2,0.12,
CSL,233,LW,37.3302508,-76.43231483,0.346,pond,,,
CSL,234,LW,37.33026103,-76.43226563,0.371,pond,2,0.13,
CSL,235,LW,37.33027244,-76.4322161,0.39,pond,2,,
CSL,236,LW,37.33028256,-76.43214678,0.409,dist,2,0.1,
CSL,237,LW,37.33029413,-76.4320828,0.443,dist,2,,
CSL,238,LW,37.33030569,-76.4320192,0.447,dist,2,0.04,
CSL,239,LW,37.33031567,-76.43195819,0.461,dist,2,,
CSL,240,LW,37.3303224,-76.4318992,0.455,dist,2,0.02,
CSL,329,LW,37.33003031,-76.43235301,0.42,dist,2,,
CSL,330,LW,37.33003869,-76.43231633,0.409,dist,2,0.1,7.4
CSL,331,LW,37.33005267,-76.4322628,0.386,dist,2,,
CSL,332,LW,37.3300614,-76.43220451,0.427,dist,2,0.105,4.5
CSL,333,LW,37.33006868,-76.43214376,0.367,pond,2,,
CSL,334,LW,37.33007821,-76.43208263,0.417,dist,2,0.03,
CSL,335,LW,37.33008655,-76.4320323,0.411,dist,2,,
CSL,336,LW,37.33009885,-76.43197873,0.452,dist,2,0.03,
CSL,337,LW,37.33011085,-76.43191861,0.472,dist,2,,
CSL,338,LW,37.33012196,-76.43186469,0.508,dist,2,0.02,
CSL,429,LW,37.32986917,-76.43225306,0.42,dist,2,,
CSL,430,LW,37.32988117,-76.43221878,0.41,dist,2,0.07,
CSL,431,LW,37.32989147,-76.43216306,0.423,dist,2,,
CSL,432,LW,37.3299026,-76.4321048,0.446,dist,2,0.06,
CSL,433,LW,37.32991629,-76.43205526,0.492,dist,2,,
CSL,434,LW,37.32992509,-76.43199702,0.403,dist,2,0.06,
CSL,435,LW,37.32994075,-76.43193857,0.438,dist,2,,
CSL,436,LW,37.32994926,-76.43187994,0.442,dist,2,0.01,
CSL,437,LW,37.329956,-76.43182673,0.462,dist,2,,
CSL,438,LW,37.32996804,-76.4317683,0.46,dist,2,0.01,
CSL,439,LW,37.32998217,-76.43170984,0.458,junc,2,,
CSL,440,LW,37.32998308,-76.43168311,0.428,junc,2,0.025,
KC,100,SW,37.306426,-76.407546,0.558,sht. Alt,3,0.13,1.4
KC,101,SW,37.30638,-76.407534,0.526,sal,1,,
KC,102,SW,37.30634,-76.407502,0.503,alt,3,0.03,3
KC,103,SW,37.306294,-76.407469,0.512,sal,1,,
KC,104,SW,37.306249,-76.407439,0.564,alt,3,0.13,1.1
KC,105,SW,37.306199,-76.40741,0.547,junc,2,,
KC,106,SW,37.306159,-76.40738,0.519,junc,2,0.03,2.6
KC,107,SW,37.30612,-76.407349,0.515,junc,2,,
KC,108,SW,37.306082,-76.407321,0.525,junc,2,0.09,1.5
KC,109,SW,37.306044,-76.407293,0.578,junc,2,,
KC,200,SW,37.306377,-76.407662,0.521,junc,2,0.08,
KC,201,SW,37.306328,-76.407647,0.513,sht. Alt,3,,
KC,202,SW,37.306276,-76.407625,0.513,sht. Alt,3,0.025,
KC,203,SW,37.306227,-76.407605,0.522,junc,2,,
KC,204,SW,37.306176,-76.407589,0.496,junc,2,0.03,
KC,205,SW,37.306123,-76.40758,0.524,dist,2,,
KC,206,SW,37.306072,-76.407563,0.521,dist,2,0.09,
KC,207,SW,37.306023,-76.407545,0.518,junc,2,,
KC,208,SW,37.305967,-76.407526,0.542,junc,2,0.03,
KC,209,SW,37.305918,-76.407503,0.584,dist,2,,
KC,210,SW,37.305905,-76.407495,0.679,dist,2,,
KC,300,SW,37.306253,-76.407903,0.541,junc,2,0.04,2.7
KC,301,SW,37.306223,-76.407869,0.519,junc,2,,
KC,302,SW,37.306185,-76.407839,0.539,junc,2,0.06,3.3
KC,303,SW,37.306141,-76.407806,0.539,bare,,,
KC,304,SW,37.3061,-76.407775,0.514,junc,2,0.02,3.1
KC,305,SW,37.306051,-76.407741,0.563,junc,2,,
KC,306,SW,37.306005,-76.407712,0.581,sal,1,0.01,4.8
KC,307,SW,37.305961,-76.407684,0.570,junc,2,,
KC,308,SW,37.305924,-76.407651,0.549,junc,2,0.015,2.5
KC,309,SW,37.305883,-76.407619,0.581,junc,2,,
KC,400,SW,37.306225,-76.408144,0.574,sal,1,0.04,
KC,401,SW,37.306185,-76.408122,0.558,junc,2,,
KC,402,SW,37.306139,-76.408104,0.548,junc,2,0.04,
KC,403,SW,37.306097,-76.408088,0.578,junc,2,,
KC,404,SW,37.306041,-76.408064,0.569,dist,2,0.06,
KC,405,SW,37.305991,-76.408042,0.546,dist,2,,
KC,406,SW,37.305944,-76.408017,0.578,sal,1,0.01,
KC,407,SW,37.305897,-76.407997,0.594,junc,2,,
KC,408,SW,37.305845,-76.40798,0.576,junc,2,0.07,
KC,409,SW,37.305793,-76.407959,0.577,junc,2,,
KC,410,SW,37.305742,-76.407936,0.575,junc,2,0.05,
KC,411,SW,37.305696,-76.407904,0.562,dist,2,,
KC,113,LW,37.306006,-76.407256,0.577,junc,2,,
KC,114,LW,37.305975,-76.407229,0.544,sal,1,0.07,4.4
KC,115,LW,37.305932,-76.407202,0.523,junc,2,,
KC,116,LW,37.305889,-76.407183,0.539,dist,2,0.02,1.5
KC,117,LW,37.305839,-76.407161,0.542,dist,2,,
KC,118,LW,37.305796,-76.407123,0.544,dist,2,0.05,2.4
KC,119,LW,37.305748,-76.40709,0.550,sal,1,,
KC,120,LW,37.305698,-76.407048,0.541,bare,,0.005,
KC,213,LW,37.30588,-76.407476,0.542,junc,2,,
KC,214,LW,37.305843,-76.40745,0.547,sal,1,0.04,
KC,215,LW,37.305799,-76.407423,0.546,sal,1,,
KC,216,LW,37.305753,-76.4074,0.544,sal,1,0.04,
KC,217,LW,37.305703,-76.407374,0.542,sal,1.5,,
KC,218,LW,37.305656,-76.407348,0.539,junc,2,0.02,
KC,219,LW,37.305622,-76.407326,0.535,junc,2,,
KC,220,LW,37.305585,-76.407302,0.511,junc,2,0.015,
KC,313,LW,37.305827,-76.407583,0.540,junc,2,,
KC,314,LW,37.305784,-76.407567,0.556,bare,,0.005,7.5
KC,315,LW,37.305734,-76.40754,0.552,sal,1,,
KC,316,LW,37.305683,-76.407512,0.549,bare,,0,
KC,317,LW,37.305629,-76.407484,0.559,sal,1,,
KC,318,LW,37.305579,-76.407461,0.565,junc,2,0.02,1.8
KC,319,LW,37.305531,-76.407432,0.553,pat,2,,
KC,320,LW,37.305486,-76.407397,0.556,sal,1,0.02,3.5
KC,416,LW,37.305622,-76.407867,0.528,bare,,0.005,
KC,417,LW,37.305573,-76.407856,0.529,dist,2,,
KC,418,LW,37.305521,-76.407838,0.529,junc,2,0.02,
KC,419,LW,37.30547,-76.407819,0.535,bare,,,
KC,420,LW,37.305423,-76.407803,0.526,junc,2,0.02,
KC,421,LW,37.305375,-76.407794,0.545,bare,,,
KC,422,LW,37.30532,-76.407767,0.510,bare,,0.01,
EP,100,SW,37.320852,-76.460276,0.687,junc,2,0.19,5.2
EP,101,SW,37.320887,-76.460289,0.422,alt,3,0.24,8.4
EP,102,SW,37.32092,-76.460301,0.798,alt,3,0.23,2.4
EP,200,SW,37.320867,-76.460184,0.478,junc,2,0.27,4.9
EP,201,SW,37.320903,-76.460199,0.514,alt,3,,
EP,202,SW,37.320949,-76.460216,1.079,bare,,0.45,3.1
EP,300,SW,37.320863,-76.460079,0.535,junc,2,0.06,0.7
EP,301,SW,37.320892,-76.460089,0.556,alt,3,0.03,1.1
EP,302,SW,37.32093,-76.460105,0.526,alt,3,0.21,2.8
EP,400,SW,37.320873,-76.459962,0.624,junc,2,0.05,1.6
EP,401,SW,37.320909,-76.459973,0.609,dist,2,,
EP,402,SW,37.320947,-76.459986,0.596,sht alt,3,0.21,3.4
EP,107,LW,37.320994,-76.460323,0.552,bare,,,
EP,108,LW,37.321033,-76.460337,0.583,pat,2,0.09,7.5
EP,109,LW,37.321073,-76.460346,0.574,dist,2,,
EP,110,LW,37.321107,-76.460349,0.618,dist,2,0.12,2.1
EP,111,LW,37.321147,-76.460364,0.588,bare,,,
EP,112,LW,37.32118,-76.460375,0.629,dist,1.5,0.06,6.3
EP,113,LW,37.321213,-76.46039,0.617,dist,2,,
EP,114,LW,37.321248,-76.460401,0.608,dist,2,0.05,1.1
EP,207,LW,37.321025,-76.460248,0.586,alt,2.5,,
EP,208,LW,37.321067,-76.460263,0.610,dist,2,0.07,8.6
EP,209,LW,37.321103,-76.460273,0.591,dist,2,,
EP,210,LW,37.321143,-76.460288,0.595,dist,2,0.07,3.1
EP,211,LW,37.321184,-76.460291,0.591,dist,2,,
EP,212,LW,37.321216,-76.4603,0.629,succ,1,0.04,3.2
EP,213,LW,37.321266,-76.460318,0.628,dist,1.5,,
EP,214,LW,NA,NA,NA,dist,1.5,0.02,2.4
EP,307,LW,37.321022,-76.460129,0.597,dist,1.5,,
EP,308,LW,37.321052,-76.460145,0.576,dist,2,0.08,1.7
EP,309,LW,37.321085,-76.460161,0.594,dist,2,,
EP,310,LW,37.321114,-76.460176,0.609,dist,2,0.04,3.2
EP,311,LW,37.321148,-76.460189,0.649,dist,1.5,,
EP,312,LW,37.321181,-76.460197,0.591,dist,2,0.02,0.8
EP,313,LW,37.321213,-76.460213,0.568,dist,1.5,,
EP,314,LW,37.32126,-76.460233,0.605,succ,1,0.005,
EP,407,LW,37.321046,-76.460029,0.582,dist,1.5,,
EP,408,LW,37.321074,-76.460039,0.553,dist,2,0.09,5.6
EP,409,LW,37.321105,-76.460055,0.593,dist,2,,
EP,410,LW,37.321132,-76.460069,0.619,dist,2,0.04,3.2
EP,411,LW,37.321161,-76.460077,0.604,dist,1.5,,
EP,412,LW,37.32119,-76.460088,0.620,dist,2,0.06,2.5
EP,413,LW,37.321226,-76.460102,0.605,dist,2,,
EP,414,LW,37.321264,-76.460126,0.674,dist,2,0.02,
BF,100,SW,-76.400466,37.290991,0.548,dist,2,0.065,
BF,101,SW,-76.400419,37.290959,0.546,dist,2,,
BF,102,SW,-76.400377,37.290931,0.553,sht alt,3,0.17,
BF,103,SW,-76.400344,37.290903,0.514,sht alt,2.5,,
BF,104,SW,-76.400308,37.290873,0.586,sht alt,2.5,0.1,
BF,200,SW,-76.400466,37.290991,0.548,dist,2,0.12,2.5
BF,201,SW,-76.400419,37.290959,0.546,dist,2,,
BF,202,SW,-76.400377,37.290931,0.553,sht alt,3,0.24,
BF,203,SW,-76.400344,37.290903,0.514,sht alt,3,,
BF,204,SW,-76.400308,37.290873,0.586,sht alt,3,0.19,10.4
BF,300,SW,-76.400202,37.291181,0.523,dist,2,0.03,
BF,301,SW,-76.400163,37.291151,0.511,pat,2,,
BF,302,SW,-76.40013,37.291121,0.555,sht alt,2.5,0.15,
BF,303,SW,-76.400094,37.2911,0.538,dist,2,,
BF,304,SW,-76.400059,37.291067,0.502,sht alt,3,0.12,
BF,400,SW,-76.400106,37.291275,0.531,sht alt,3,0.09,1.8
BF,401,SW,-76.400066,37.291246,0.519,dist,2,,
BF,402,SW,-76.400028,37.291216,0.526,sht alt,2.5,0.14,
BF,403,SW,-76.399993,37.291189,0.545,sht alt,3,,
BF,404,SW,-76.399961,37.291165,0.562,sht alt,3,0.2,1.4
BF,112,LW,-76.400175,37.290763,0.910,dist,2,0.01,
BF,113,LW,-76.400136,37.290727,0.973,dist,1,,
BF,114,LW,-76.400108,37.2907,1.050,dist,2,0,
BF,115,LW,-76.400071,37.290672,1.116,dist,2,,
BF,116,LW,NA,NA,NA,dist,2,0,
BF,212,LW,-76.400347,37.290698,0.768,dist,2,0.035,3.1
BF,213,LW,-76.400317,37.290672,0.851,dist,2,,
BF,214,LW,-76.400283,37.290643,0.935,dist,2,0.01,0.5
BF,215,LW,-76.40024,37.290597,1.046,dist,2,,
BF,216,LW,-76.400212,37.290567,1.138,dist,1,0,
BF,312,LW,-76.399959,37.290985,0.672,dist,2,0.005,
BF,313,LW,-76.399926,37.290959,0.804,dist,2,,
BF,314,LW,-76.399881,37.290921,0.918,dist,1,0.005,
BF,315,LW,-76.399835,37.290877,1.085,upland,0,,
BF,316,LW,-76.399782,37.290826,1.183,upland,0,0.005,
BF,413,LW,-76.399847,37.291073,0.713,pat,2,,
BF,414,LW,-76.399796,37.291041,0.894,pat,2,0.005,0.7
BF,415,LW,-76.399734,37.290996,1.010,pat,2,,
BF,416,LW,-76.399704,37.290956,1.131,pat,1,0.005,
BF,417,LW,-76.399661,37.290913,1.203,upland,0,,
BF,418,LW,NA,NA,NA,upland,0,0.005,0.01
