Site,Point_ID,Core_Top,Core_Bot,org_matter_percent
EP,101,0,1,7.36
EP,101,1,2,8.00
EP,101,2,3,10.99
EP,101,3,4,18.05
EP,101,4,5,21.54
EP,101,5,6,16.84
EP,101,6,7,22.09
EP,101,7,8,25.75
EP,101,8,9,26.71
EP,101,9,10,29.65
EP,301,0,1,7.03
EP,301,1,2,7.02
EP,301,2,3,6.42
EP,301,3,4,9.29
EP,301,4,5,10.86
EP,301,5,6,6.69
EP,301,6,7,6.81
EP,301,7,8,6.61
EP,301,8,9,5.66
EP,301,9,10,6.74
EP,108,0,1,38.70
EP,108,1,2,39.26
EP,108,2,3,52.53
EP,108,3,4,62.01
EP,108,4,5,79.08
EP,108,5,6,69.18
EP,108,6,7,66.81
EP,108,7,8,66.20
EP,108,8,9,69.44
EP,108,9,10,69.97
EP,112,0,1,12.13
EP,112,1,2,22.07
EP,112,2,3,25.94
EP,112,3,4,33.35
EP,112,4,5,39.40
EP,112,5,6,42.00
EP,112,6,7,43.34
EP,112,7,8,47.64
EP,112,8,9,49.12
EP,112,9,10,23.94
EP,308,0,1,20.43
EP,308,1,2,29.17
EP,308,2,3,47.98
EP,308,3,4,44.48
EP,308,4,5,38.17
EP,308,5,6,38.98
EP,308,6,7,61.86
EP,308,7,8,36.34
EP,308,8,9,13.77
EP,308,9,10,7.81
EP,312,0,1,15.69
EP,312,1,2,18.18
EP,312,2,3,16.92
EP,312,3,4,12.62
EP,312,4,5,8.84
EP,312,5,6,6.97
EP,312,6,7,5.64
EP,312,7,8,4.82
EP,312,8,9,4.37
EP,312,9,10,4.26
BF,100,0,1,17.55
BF,100,1,2,23.21
BF,100,2,3,34.54
BF,100,3,4,37.39
BF,100,4,5,41.38
BF,100,5,6,33.75
BF,100,6,7,16.92
BF,100,7,8,9.17
BF,100,8,9,8.98
BF,100,9,10,8.95
BF,104,0,1,23.49
BF,104,1,2,44.35
BF,104,2,3,48.22
BF,104,3,4,65.89
BF,104,4,5,66.69
BF,104,5,6,67.86
BF,104,6,7,58.66
BF,104,7,8,56.80
BF,104,8,9,57.94
BF,104,9,10,45.06
BF,400,0,1,14.81
BF,400,1,2,13.55
BF,400,2,3,13.71
BF,400,3,4,14.57
BF,400,4,5,13.24
BF,400,5,6,10.11
BF,400,6,7,7.27
BF,400,7,8,5.62
BF,400,8,9,5.99
BF,400,9,10,6.79
BF,404,0,1,37.76
BF,404,1,2,35.45
BF,404,2,3,35.30
BF,404,3,4,29.11
BF,404,4,5,28.42
BF,404,5,6,27.28
BF,404,6,7,28.91
BF,404,7,8,33.36
BF,404,8,9,33.78
BF,404,9,10,38.11
BF,112,0,1,47.10
BF,112,1,2,35.00
BF,112,2,3,28.12
BF,112,3,4,35.35
BF,112,4,5,44.17
BF,112,5,6,37.51
BF,112,6,7,18.80
BF,112,7,8,11.65
BF,112,8,9,9.02
BF,114,0,1,73.40
BF,114,1,2,69.46
BF,114,2,3,51.62
BF,114,3,4,33.14
BF,114,4,5,28.31
BF,114,5,6,27.05
BF,114,6,7,14.85
BF,114,7,8,6.94
BF,114,8,9,4.19
BF,114,9,10,7.46
BF,414,0,1,28.83
BF,414,1,2,24.13
BF,414,2,3,14.49
BF,414,3,4,10.34
BF,414,4,5,6.88
BF,414,5,6,4.95
BF,414,6,7,4.14
