Site,Replicate,ID,Date,Lat,Lon,Depth_min,Depth_max,VAR_LL,VAR_50,VAR_UL,MAR_LL,MAR_50,MAR_UL,CAR_LL,CAR_50,CAR_UL,NAR_LL,NAR_50,NAR_UL,Year_LL,Year_50,Year_UL
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,11,12,1.79,2.68,4.57,791,1184,2017,95.57,143.06,243.71,4.93,7.38,12.58,1989,1995,2000
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,12,13,1.4,2.34,4.06,,,,,,,,,,1984,1991,1996
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,13,14,1.51,2.54,5.32,627,1056,2214,75.88,127.94,268.06,3.91,6.59,13.81,1979,1987,1993
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,14,15,1.92,3.44,6.45,,,,,,,,,,1974,1983,1989
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,15,16,2.12,3.79,7.47,706,1261,2487,74.86,133.61,263.66,3.61,6.44,12.71,1970,1980,1987
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,16,17,2.04,3.81,7.4,,,,,,,,,,1967,1977,1985
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,17,18,2.18,4.08,8.52,971,1814,3791,79.26,148.06,309.35,3.23,6.03,12.61,1963,1974,1982
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,18,19,2.45,4.74,9.69,,,,,,,,,,1960,1972,1980
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,19,20,2.45,4.52,9.36,733,1351,2800,71.67,132.17,273.88,2.83,5.21,10.8,1957,1970,1979
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,20,21,1.92,3.72,7.85,,,,,,,,,,1953,1967,1977
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,21,22,1.76,3.49,7.5,977,1939,4166,92.02,182.61,392.43,3.81,7.56,16.25,1950,1965,1974
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,22,23,1.9,3.64,7.19,,,,,,,,,,1946,1961,1972
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,23,24,1.87,3.28,6.3,592,1038,1994,78.44,137.47,264.23,2.76,4.84,9.3,1942,1959,1970
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,24,25,1.42,2.55,4.95,,,,,,,,,,1938,1956,1967
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,25,26,1.21,2.14,4.18,528,937,1824,67.39,119.6,232.89,2.59,4.59,8.93,1933,1951,1963
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,26,27,0.97,1.83,3.84,,,,,,,,,,1928,1946,1959
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,27,28,0.91,1.71,3.84,391,736,1647,47.48,89.27,199.81,1.85,3.48,7.8,1923,1940,1953
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,28,29,0.96,1.87,4.18,,,,,,,,,,1917,1934,1947
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,29,30,0.96,1.84,3.92,930,1791,3806,94.2,181.44,385.53,3.93,7.57,16.08,1912,1928,1941
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,30,31,0.85,1.61,3.38,,,,,,,,,,1907,1922,1935
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,31,32,0.84,1.58,3.56,176,331,747,17.09,32.06,72.36,0.63,1.19,2.68,1900,1915,1929
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,32,33,0.89,1.8,4.15,,,,,,,,,,1894,1908,1923
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,33,34,0.93,1.88,4.31,900,1819,4166,64.89,131.15,300.39,2.38,4.81,11.01,1888,1902,1917
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,34,35,0.98,1.95,4.37,,,,,,,,,,1883,1896,1910
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,35,36,0.98,2.01,4.71,1461,3013,7051,92.65,191.05,447.04,3.27,6.75,15.8,1879,1890,1904
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,36,37,0.99,2.06,5.08,,,,,,,,,,1874,1885,1898
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,37,38,0.91,2.07,6.42,615,1399,4347,21.36,48.53,150.83,1.69,3.85,11.95,1870,1879,1892
Martin Peña West,One,MPW1,3/5/16,18.43308,-66.05859,38,39,0.69,2.28,13.76,,,,,,,,,,1865,1874,1886
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,0,1,0.88,2.46,9.23,1457,4075,15302,207.83,581.12,2182.06,13.49,37.71,141.58,2016,2016,2016
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,1,2,1.45,3.89,12,,,,,,,,,,2005,2012,2015
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,2,3,2.46,4.68,9.28,1398,2663,5276,185.96,354.16,701.7,11.86,22.59,44.76,2000,2009,2013
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,3,4,3.01,4.98,12.61,,,,,,,,,,1998,2006,2011
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,4,5,1.98,4.49,14.01,1573,3577,11150,246.78,561.3,1749.46,16.92,38.48,119.93,1996,2004,2009
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,5,6,1.83,4.64,13.72,,,,,,,,,,1993,2002,2007
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,6,7,1.72,4.85,15.31,1148,3243,10243,211.16,596.68,1884.67,13.56,38.32,121.04,1990,1999,2005
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,7,8,1.92,5.65,16,,,,,,,,,,1987,1997,2003
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,8,9,3.47,6.34,11.65,3630,6631,12173,606.98,1108.63,2035.32,34.52,63.06,115.76,1984,1995,2001
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,9,10,3.64,5.99,13.16,,,,,,,,,,1982,1993,2000
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,10,11,2.27,5.13,13.88,2659,6009,16259,340.14,768.49,2079.47,19.96,45.09,122.02,1981,1991,1998
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,11,12,1.89,4.85,14.5,,,,,,,,,,1978,1989,1996
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,12,13,1.89,5.07,15.46,2454,6589,20104,287.63,772.27,2356.17,15.33,41.15,125.55,1975,1987,1994
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,13,14,1.89,5.43,14.67,,,,,,,,,,1973,1984,1992
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,14,15,2.83,5.6,10.21,2478,4908,8950,251.72,498.66,909.29,13.55,26.85,48.95,1970,1982,1990
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,15,16,3.02,5.17,11.72,,,,,,,,,,1968,1980,1989
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,16,17,2.12,4.81,13.8,1186,2695,7724,109.69,249.24,714.48,6.19,14.06,40.3,1966,1978,1987
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,17,18,1.96,4.63,12.94,,,,,,,,,,1963,1975,1985
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,18,19,1.8,4.04,11.09,2758,6202,17021,185.35,416.76,1143.82,10.11,22.74,62.41,1961,1973,1982
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,19,20,1.58,3.19,7.43,,,,,,,,,,1958,1970,1980
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,20,21,1.1,2.15,3.82,781,1525,2712,50.97,99.57,177.12,2.82,5.5,9.79,1954,1967,1977
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,21,22,1.05,1.84,4.48,,,,,,,,,,1948,1962,1973
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,22,23,1.19,2.92,9.69,1915,4699,15611,132.34,324.7,1078.72,7.27,17.85,59.28,1941,1956,1968
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,23,24,1.37,3.36,10.91,,,,,,,,,,1937,1952,1964
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,24,25,1.46,3.66,11.32,1508,3776,11683,107.22,268.45,830.69,5.59,13.98,43.27,1934,1949,1960
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,25,26,1.45,3.74,10.19,,,,,,,,,,1931,1945,1956
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,26,27,1.59,3.31,6.49,955,1991,3904,75.46,157.31,308.39,3.79,7.9,15.48,1928,1942,1953
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,27,28,1.66,3.12,7.55,,,,,,,,,,1923,1939,1951
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,28,29,1.41,3.37,10.33,436,1040,3193,38.01,90.68,278.46,1.74,4.14,12.71,1920,1936,1948
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,29,30,1.42,3.25,9.5,,,,,,,,,,1916,1932,1944
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,30,31,1.34,2.96,7.86,1356,3004,7973,140.53,311.17,825.98,30.94,68.51,181.85,1913,1929,1941
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,31,32,1.18,2.37,5.75,,,,,,,,,,1909,1925,1937
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,32,33,0.81,1.55,2.85,1310,2509,4623,125.4,240.07,442.46,5.88,11.26,20.75,1905,1921,1933
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,33,34,0.66,1.12,2.15,,,,,,,,,,1896,1914,1927
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,34,35,0.33,0.72,1.54,757,1641,3483,65.75,142.6,302.67,3.02,6.55,13.9,1885,1904,1919
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,35,36,0.3,0.66,1.76,245,531,1411,21.12,45.78,121.8,0.99,2.14,5.7,1861,1889,1910
Martin Peña East,One,MPE1,3/5/16,18.42839,-66.03943,36,37,0.4,0.97,3.6,418,1006,3743,32.13,77.27,287.51,1.44,3.47,12.92,1839,1872,1900
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,0,1,0.97,2.67,8.99,379,1043,3506,61.16,168.13,565.1,4.03,11.09,37.26,2016,2016,2016
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,1,2,1.56,4.51,16.69,373,1078,3994,56.32,162.91,603.54,3.82,11.05,40.92,2006,2012,2015
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,2,3,7.2,13.68,26.07,2973,5645,10760,430.22,816.79,1557.04,25.5,48.41,92.29,2002,2010,2014
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,3,4,7.13,11.32,21.9,1228,1949,3771,166.12,263.71,510.26,9.28,14.74,28.52,2001,2009,2013
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,4,5,3,7.16,16.42,,,,,,,,,,2000,2008,2012
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,5,6,2.24,5.58,13.37,928,2309,5533,106.39,264.61,634.07,6.24,15.52,37.19,1998,2006,2011
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,6,7,2.01,4.94,13.29,,,,,,,,,,1996,2004,2009
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,7,8,2.01,4.86,12.05,973,2347,5820,108.44,261.74,648.95,5.72,13.8,34.2,1993,2002,2007
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,8,9,2.18,4.2,8.09,,,,,,,,,,1990,1999,2005
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,9,10,2.35,4.23,9.49,976,1755,3943,119.13,214.1,481.04,6.24,11.21,25.2,1987,1997,2003
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,10,11,1.89,4.27,12.25,,,,,,,,,,1984,1994,2001
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,11,12,1.93,4.37,11.95,2014,4549,12445,212.93,480.82,1315.41,10.96,24.75,67.71,1981,1992,1999
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,12,13,1.83,4.01,10.67,,,,,,,,,,1978,1989,1997
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,13,14,1.61,3.46,8.38,1063,2286,5536,104.2,224,542.54,5.76,12.39,30.01,1975,1986,1994
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,14,15,1.18,2.26,4.55,,,,,,,,,,1971,1983,1992
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,15,16,1.15,2.17,5.42,645,1221,3048,62.05,117.42,293.26,3.44,6.51,16.26,1965,1978,1988
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,16,17,1.33,3.2,9.32,,,,,,,,,,1958,1973,1984
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,17,18,1.47,3.41,9.76,1136,2630,7536,106.17,245.91,704.6,5.55,12.84,36.8,1954,1970,1981
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,18,19,1.45,3.22,8.77,,,,,,,,,,1950,1967,1978
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,19,20,1.3,2.62,6.03,582,1176,2701,50.96,102.94,236.36,2.58,5.2,11.95,1946,1963,1975
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,20,21,0.79,1.62,3.61,,,,,,,,,,1941,1959,1971
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,21,22,0.74,1.47,3.9,503,999,2662,44.6,88.53,235.89,2.27,4.51,12.01,1934,1952,1965
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,22,23,0.97,2.33,6.88,,,,,,,,,,1926,1945,1959
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,23,24,1.09,2.48,6.86,535,1217,3372,47.24,107.47,297.74,2.4,5.47,15.15,1920,1940,1955
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,24,25,1.1,2.39,6.52,,,,,,,,,,1915,1936,1950
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,25,26,1,2.04,5.17,381,776,1966,34.72,70.75,179.33,1.69,3.45,8.73,1910,1931,1946
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,26,27,0.63,1.34,3.2,,,,,,,,,,1905,1926,1941
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,27,28,0.56,1.19,3.24,224,473,1291,21.74,45.96,125.38,1.02,2.16,5.88,1895,1917,1935
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,28,29,0.75,1.76,5.13,,,,,,,,,,1886,1907,1927
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,29,30,0.8,1.87,5.33,515,1195,3413,47.16,109.31,312.29,2.06,4.77,13.64,1880,1901,1921
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,30,31,0.82,1.91,5.37,,,,,,,,,,1874,1894,1915
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,31,32,0.83,1.89,4.98,433,984,2595,38.62,87.77,231.52,1.69,3.84,10.12,1868,1888,1910
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,32,33,0.75,1.72,4.73,,,,,,,,,,1862,1882,1904
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,33,34,0.75,1.71,4.59,403,921,2469,29.99,68.63,183.93,1.32,3.03,8.11,1856,1876,1897
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,34,35,0.72,1.65,4.62,,,,,,,,,,1850,1869,1890
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,35,36,0.72,1.7,4.7,580,1365,3770,45.31,106.64,294.45,2.03,4.78,13.2,1844,1862,1882
Martin Peña East,Two,MPE2,3/5/16,18.42839,-66.03943,36,37,0.73,1.77,5.13,562,1361,3938,48.95,118.52,342.97,2.22,5.37,15.53,1838,1855,1875
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,0,1,1.71,2.12,2.51,417,517,613,86.52,107.2,127.14,4.08,5.05,5.99,2016,2016,2016
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,1,2,1.73,2.15,2.54,,,,,,,,,,2010,2011,2012
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,2,3,1.77,2.18,2.58,387,476,564,87.63,107.89,127.82,3.96,4.87,5.77,2004,2007,2008
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,3,4,1.81,2.22,2.62,,,,,,,,,,1999,2002,2004
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,4,5,1.86,2.26,2.67,358,436,516,79.57,96.7,114.61,3.11,3.78,4.48,1993,1998,2001
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,5,6,1.91,2.3,2.74,,,,,,,,,,1988,1993,1997
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,6,7,1.96,2.34,2.81,310,372,445,,,,,,,1983,1989,1993
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,7,8,2,2.38,2.87,,,,,,,,,,1978,1984,1990
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,8,9,2.03,2.41,2.91,419,499,602,73.32,87.31,105.3,2.66,3.17,3.82,1973,1980,1986
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,9,10,2.07,2.45,2.99,,,,,,,,,,1968,1976,1983
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,10,11,2.09,2.49,3.05,595,706,867,,,,,,,1964,1972,1979
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,11,12,2.12,2.52,3.11,,,,,,,,,,1959,1968,1976
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,12,13,2.15,2.55,3.18,390,463,577,63.73,75.56,94.21,2.5,2.97,3.7,1954,1964,1973
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,13,14,2.19,2.6,3.26,,,,,,,,,,1950,1960,1969
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,14,15,2.23,2.64,3.36,505,596,759,,,,,,,1946,1956,1966
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,15,16,2.28,2.68,3.45,,,,,,,,,,1941,1952,1963
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,16,17,2.31,2.73,3.55,499,589,766,,,,,,,1937,1949,1960
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,17,18,2.35,2.78,3.66,,,,,,,,,,1933,1945,1958
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,18,19,2.39,2.84,3.76,665,790,1048,,,,,,,1929,1941,1955
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,19,20,2.43,2.9,3.89,,,,,,,,,,1925,1938,1952
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,20,21,2.46,2.97,4.03,606,730,992,55.73,67.19,91.28,2.62,3.16,4.29,1921,1934,1949
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,21,22,2.5,3.04,4.18,,,,,,,,,,1917,1931,1947
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,22,23,2.54,3.12,4.34,795,977,1358,,,,,,,1914,1927,1944
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,23,24,2.58,3.21,4.55,,,,,,,,,,1910,1924,1942
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,24,25,2.62,3.3,4.76,245,309,446,,,,,,,1907,1921,1940
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,25,26,2.65,3.4,5,,,,,,,,,,1903,1918,1937
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,26,27,2.69,3.52,5.24,1082,1417,2109,80.04,104.83,156.09,3.24,4.24,6.31,1900,1915,1935
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,27,28,2.72,3.64,5.56,,,,,,,,,,1897,1912,1933
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,28,29,2.75,3.77,5.96,1140,1559,2467,,,,,,,1894,1909,1931
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,29,30,2.79,3.9,6.33,,,,,,,,,,1891,1906,1929
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,30,31,2.82,4.06,6.86,592,851,1440,36.79,52.96,89.55,1.77,2.54,4.3,1888,1904,1927
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,0,1,0.9,1.54,3.12,1313,2246,4545,250.58,428.82,867.71,10.55,18.05,36.52,2016,2016,2016
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,1,2,1.22,1.84,3.54,1652,2503,4807,274.5,416.06,798.92,12.94,19.61,37.66,2005,2010,2013
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,2,3,1.89,3.02,5.5,1398,2230,4063,249.39,397.76,724.79,11.1,17.71,32.26,2000,2004,2008
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,3,4,2.2,3.53,7.52,2141,3433,7302,334.06,535.47,1139.09,14.83,23.76,50.55,1996,2000,2005
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,4,5,2.1,3.4,6.16,,,,,,,,,,1993,1998,2003
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,5,6,2.05,3.01,5.47,1686,2481,4512,245.31,360.94,656.46,10.65,15.68,28.51,1989,1995,2000
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,6,7,1.37,2.34,4.18,,,,,,,,,,1985,1991,1997
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,7,8,1.38,2.29,5.02,1573,2608,5714,220.8,366.16,802.28,9.96,16.51,36.18,1980,1987,1993
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,8,9,1.53,2.83,5.76,,,,,,,,,,1975,1982,1989
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,9,10,1.93,3.63,9.57,1632,3072,8096,178.98,336.99,888.12,8.69,16.37,43.14,1970,1979,1986
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,10,11,2.73,5.1,10.48,,,,,,,,,,1967,1976,1984
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,11,12,2.59,4.25,7.7,1509,2471,4482,108.21,177.19,321.39,5.04,8.26,14.97,1964,1974,1982
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,12,13,1.48,2.83,5.19,,,,,,,,,,1961,1971,1980
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,13,14,1.13,2.35,5.24,1734,3603,8025,169.73,352.7,785.61,7.96,16.54,36.84,1956,1968,1977
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,14,15,1.65,3.21,6.52,,,,,,,,,,1951,1963,1973
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,15,16,1.76,3.08,6.52,2915,5089,10777,146.65,255.98,542.07,8.02,13.99,29.63,1946,1960,1970
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,16,17,1.35,2.58,5.46,,,,,,,,,,1942,1956,1967
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,17,18,1.25,2.26,4.86,2509,4526,9728,143.99,259.79,558.39,8.12,14.65,31.48,1937,1952,1964
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,18,19,0.95,1.87,4.29,,,,,,,,,,1931,1947,1960
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,19,20,0.9,1.72,4.29,2130,4045,10103,83.07,157.77,394,4.21,8,19.98,1923,1942,1956
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,20,21,0.74,1.58,4.25,,,,,,,,,,1916,1935,1951
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,21,22,0.75,1.66,4.81,1172,2582,7477,34.24,75.39,218.33,2.08,4.58,13.28,1908,1928,1946
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,22,23,0.94,1.99,5.15,,,,,,,,,,1900,1922,1941
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,23,24,0.97,1.92,4.98,1534,3025,7859,41.58,81.97,212.99,2.28,4.5,11.68,1892,1916,1937
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,24,25,0.79,1.63,4.47,,,,,,,,,,1884,1911,1933
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,25,26,0.7,1.44,4.47,1404,2905,8996,40.58,83.95,259.98,2.39,4.95,15.33,1877,1903,1928
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,26,27,0.63,1.36,4.3,,,,,,,,,,1869,1895,1923
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,27,28,0.64,1.33,4.37,867,1806,5953,20.21,42.07,138.71,1.16,2.41,7.95,1860,1887,1918
