Site,Replicate,ID,Date,Lat,Lon,Depth_min,Depth_max,Depth_mid,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,13C,15N
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,0,2,1,0.2438,9.0131,0.5696,1.0736,0.0697,7.9395,0.5739,0,0,0,0,20.7418,0.9776,-28.5044,5.5675
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,2,4,3,0.219,7.8125,0.6742,0.8723,0.0821,6.9402,0.6792,0,0,0,0,22.6544,1.0228,-28.5811,5.4742
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,4,6,5,0.193,7.5738,0.5074,1.0155,0.068,6.5582,0.512,0,0,0,0,22.1991,0.868,-28.4036,5.6379
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,6,8,7,0.1587,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,8,10,9,0.2066,3.4868,0.6489,1.1147,0.0971,2.3721,0.6561,0,0,0,0,17.5039,0.6347,-28.0575,5.6776
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,10,12,11,0.284,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,12,14,13,0.1811,4.3867,0.4694,0.6943,0.0432,3.6923,0.4714,0,0,0,0,16.3292,0.6409,-27.688,5.7356
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,14,16,15,0.2261,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,16,18,17,0.2156,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,18,20,19,0.2783,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,20,22,21,0.2461,1.9295,0.2692,0.5343,0.0275,1.3951,0.2706,0,0,0,0,9.2012,0.4321,-27.5783,5.6291
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,22,24,23,0.3128,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,24,26,25,0.0937,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,26,28,27,0.4025,1.7197,0.3441,0.866,0.0514,0.8537,0.3479,0,0,0,0,7.3976,0.2991,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,28,30,29,0.414,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,30,32,31,0.2098,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,6.2219,0.2988,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,32,34,33,   ,2.3169,0.3341,0.6643,0.0364,1.6527,0.3361,0,0,0,0,    ,    ,    ,    
Torrecilla Lagoon,One,TORR1,3/3/16,18.43973,-65.98142,34,36,35,   ,7.8199,0.2839,0.52,0.0226,7.2998,0.2848,0.7245,0.0277,0,0,    ,    ,    ,    
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,0,1,0.5,1.4567,5.9537,1.5569,2.782,0.2754,3.1717,1.5811,0,0,0,0,19.0917,0.8034,-28.2155,5.6502
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,1,2,1.5,1.358,15.107,1.5671,10.907,0.8606,4.2,1.8,0,0,0,0,16.6165,0.7835,-28.081,5.6578
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,2,3,2.5,0.7393,7.1697,1.0927,1.6928,0.1522,5.477,1.1032,0,0,0,0,17.8414,0.7941,-27.8371,6.212
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,3,5,4,0.9713,6.2346,0.8523,1.4272,0.1159,4.8074,0.8601,0,0,0,0,15.6027,0.6923,-27.9742,5.6551
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,5,7,6,0.8244,6.2705,0.8033,1.327,0.0945,4.9435,0.8088,0,0,0,0,14.5515,0.6319,-27.9367,5.7322
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,7,9,8,1.1375,5.9243,0.83,1.1195,0.0986,4.8048,0.8358,0,0,0,0,14.038,0.6332,-27.8631,5.5699
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,9,11,10,0.8456,4.2602,0.7835,0.9359,0.11,3.3244,0.7911,0,0,0,0,10.9702,0.5328,-27.6579,5.6674
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,11,13,12,0.5819,2.8505,0.5952,0.6809,0.0865,2.1696,0.6014,0,0,0,0,7.171,0.3341,-27.6541,5.3325
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,13,15,14,1.532,3.4227,0.4864,0.6739,0.0543,2.7488,0.4894,0,0,0,0,9.7924,0.4591,-27.6912,5.6233
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,15,17,16,1.6527,1.4316,0.2607,0.5027,0.0365,0.9289,0.2632,0,0,0,0,5.0302,0.275,-27.6487,5.3118
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,17,19,18,2.0025,1.5149,0.3289,0.4787,0.0367,1.0362,0.3309,0,0,0,0,5.7392,0.3236,-26.6215,5.7009
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,19,21,20,2.357,1.5228,0.2743,0.4232,0.0248,1.0996,0.2754,0,0,0,0,3.9015,0.1978,-27.191,5.0307
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,21,23,22,1.5534,2.0634,0.4486,0.477,0.0347,1.5865,0.4499,0,0,0,0,2.9235,0.1776,    ,    
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,23,25,24,1.579,0.8891,0.1989,0.4584,0.0226,0.4307,0.2002,0,0,0,0,2.7139,0.1486,    ,    
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,25,27,26,2.0115,1.169,0.2398,0.6367,0.0326,0.5323,0.242,0,0,0,0,2.8874,0.1704,    ,    
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,27,29,28,1.3618,0.0892,0.0205,0.0509,0.0021,0.0384,0.0206,0,0,0,0,2.3256,0.1335,    ,    
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,29,31,30,1.8007,1.0236,0.2377,0.5351,0.0199,0.4885,0.2385,0,0,0,0,1.1033,0.0746,    ,    
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,31,33,32,2.2477,0.8703,0.2019,0.3999,0.0192,0.4704,0.2028,0,0,0,0,1.1573,0.0722,    ,    
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,33,35,34,1.0882,0.61,0.1552,0.4959,0.0163,0.114,0.156,0,0,0,0,    ,    ,    ,    
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,0,1,0.5,0.0853,10.5694,1.0517,2.344,0.1378,8.2254,1.0607,0,0,0,0,30.89,1.2746,-28.453,4.3688
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,1,2,1.5,0.0833,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,30.6538,1.3473,-28.7554,4.2715
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,2,3,2.5,0.1143,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,28.2282,1.2815,-28.363,4.2566
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,3,5,4,0.2352,9.1757,0.5496,0.9845,0.0637,8.1912,0.5533,0,0,0,0,25.292,1.1056,-28.3576,3.9341
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,5,7,6,0.1681,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,27.2354,1.2619,-28.2971,4.7664
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,7,9,8,0.2472,4.9723,0.4883,0.7635,0.0549,4.2088,0.4914,0.3834,0.0506,0,0,25.6344,1.1069,-27.8027,6.661
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,9,11,10,0.0607,4.1815,0.3558,0.9654,0.0429,3.2161,0.3584,0.3664,0.0163,0,0,25.3915,1.0577,-27.7538,6.7246
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,11,13,12,0.2631,4.3052,0.5085,0.7911,0.0544,3.5141,0.5114,0.2943,0.0505,0,0,25.6223,0.976,-27.9278,6.0497
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,13,15,14,0.1101,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,26.372,0.9965,-27.7475,6.6613
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,15,17,16,0.1952,1.7659,0.3482,0.7513,0.0383,1.0146,0.3503,0.3587,0.0434,0,0,29.5505,1.0026,-27.8466,7.2625
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,17,19,18,0.1789,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,28.1948,1.0136,-27.9056,7.3137
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,19,21,20,0.0708,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,31.9391,0.9309,-28.6274,7.2246
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,21,23,22,0.1081,0,0,1.1854,0.1046,0,0,0,0,0,0,33.5138,0.7994,-28.6366,6.5367
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,25,27,26,0.1046,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,31.0107,1.1575,    ,    
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,27,29,28,0.1148,2.6052,0.6396,1.165,0.0846,1.4402,0.6451,0.4631,0.0942,0,0,31.6551,1.0656,    ,    
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,33,35,34,   ,2.4126,0.5539,1.0859,0.1001,1.3267,0.5629,0.9264,0.0969,0,0,    ,    ,    ,    
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,35,37,36,   ,2.2998,1.4951,4.6698,0.3596,-2.37,1.5377,0,0,0,0,    ,    ,    ,    
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,0,1,0.5,0.0853,4.8295,0.9451,2.3254,0.1991,2.5041,0.9659,0,0,0,0,31.5787,1.3414,-28.5069,4.9231
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,1,2,1.5,0.0833,6.39,0.9291,2.4038,0.1291,3.9862,0.938,0,0,0,0,32.153,1.2862,-28.9316,5.0995
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,2,3,2.5,0.0833,7.9587,0.7847,1.486,0.1052,6.4727,0.7918,0,0,0,0,30.5643,1.4507,-29.1948,4.3717
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,3,5,4,0.1143,8.0812,0.2699,0.697,0.0375,7.3842,0.2725,0,0,0,0,31.4687,1.3427,-29.213,4.6015
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,5,7,6,0.2352,7.5348,0.5787,0.8175,0.0573,6.7173,0.5815,0,0,0,0,29.7186,1.2039,-28.9578,5.0161
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,7,9,8,0.1681,6.4665,0.6939,1.1069,0.0899,5.3596,0.6997,0,0,0,0,31.9237,1.2275,-28.2903,5.3279
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,9,11,10,0.2472,5.8326,0.6387,0.8682,0.0757,4.9644,0.6431,0,0,0,0,33.8275,1.0882,-27.5014,5.7984
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,11,13,12,0.0607,4.5929,0.6687,1.0772,0.0907,3.5157,0.6748,0,0,0,0,32.9175,1.0301,-28.2719,6.9237
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,13,15,14,0.2631,2.5288,0.5606,1.3758,0.0784,1.153,0.5661,0,0,0,0,31.5374,1.0162,-28.9576,7.6449
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,15,17,16,0.1101,2.9289,0.6104,1.222,0.1264,1.7069,0.6233,0,0,0,0,35.5859,0.9073,-29.2365,7.689
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,17,19,18,0.1952,2.6564,0.6487,1.0202,0.0896,1.6362,0.6549,0,0,0,0,32.755,0.9828,-29.18,7.6496
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,19,21,20,0.1789,3.4282,0.5543,0.8505,0.0696,2.5776,0.5587,0,0,0,0,32.6222,1.0464,    ,    
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,21,23,22,0.0708,1.8899,0.4453,0.8915,0.074,0.9984,0.4514,0,0,0,0,33.5099,1.0485,    ,    
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,23,25,24,0.1081,0,0,1.0647,0.1022,0,0,0,0,0,0,33.8818,1.0044,    ,    
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,25,27,26,0.1046,0,0,1.046,0.1224,0,0,0,0,0,0,29.8936,0.9666,    ,    
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,27,29,28,0.1148,1.5475,0.4267,0.92,0.0825,0.6275,0.4346,0.3484,0.0715,0,0,30.8938,0.9658,    ,    
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,29,31,30,0.0855,0,0,0.918,0.0792,0,0,0.39,0.0708,0,0,    ,    ,    ,    
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,31,33,32,0.0682,0,0,1.0236,0.1027,-1.0236,0.1027,0,0,0,0,    ,    ,    ,    
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,33,35,34,0.0663,0,0,1.4215,0.1503,-1.4215,0.1503,0,0,0,0,    ,    ,    ,    
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,35,37,36,0.0587,0,0,3.4577,0.3637,-3.4577,0.3637,0,0,0,0,    ,    ,    ,    
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,0,1,0.5,0.804,10.1676,0.789,1.4237,0.1076,8.7439,0.7963,0.8624,0.0974,0,0,5.8422,0.5169,-25.788,3.4306
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,1,2,1.5,2.023,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,2,3,2.5,0.9386,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
