study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_fraction
Doughty_et_al_2016,MIPineIsland,MC-19C,0,20.9,0.768208166,0.282548476393373,0.0204,0.105263157894737
Doughty_et_al_2016,MIPineIsland,MC-20A,0,19.7,0.77299213,0.156250000008079,0.0231,0
Doughty_et_al_2016,MIPineIsland,MC-20B,0,27.9,0.166114407,0.108024691351264,0.0612,0.222222222222222
Doughty_et_al_2016,MIPineIsland,MC-20C,0,22,0.734827904,0.124653739617309,0.0338,0.210526315789474
Doughty_et_al_2016,MIPineIsland,MC-21A,0,18.6,1.06282304,0.136718749941797,0.0262,0.125000000067101
Doughty_et_al_2016,MIPineIsland,MC-21B,0,22.3,1.619811923,0.125,0.0156,0
Doughty_et_al_2016,MIPineIsland,MC-21C,0,21.4,0.782485164,0.134948096927926,0.0247,0.235294117784201
Doughty_et_al_2016,MIPineIsland,MC-22A,0,21.6,1.028749205,0.102040816315684,0.0247,0.285714285714286
Doughty_et_al_2016,MIPineIsland,MC-22B,0,16.5,1.017048315,0.05,0.037,0
Doughty_et_al_2016,MIPineIsland,MC-22C,0,19.5,1.1400391,0.0312500000040809,0.0405,0
Doughty_et_al_2016,KCSC-20C,MC-23A,0,32,0.092309867,0.390624999961455,0.0849,0.375
Doughty_et_al_2016,KCSC-20C,MC-23B,0,41.6,0.326487355,0.346020761157879,0.0824,0.411764705882353
Doughty_et_al_2016,KCSC-20C,MC-23,0,20.1,0.138016353,0.809999999917697,0.0366,0.0999999999502762
