study_id,site_id,plot_id,plant_id,year,month,day,genus,species,alive_or_dead,above_or_belowground,n_plants,height,height_se,diameter,diameter_se,diameter_method
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_35,2012,11,28,Avicennia,germinans,alive,aboveground,1,4.2,4.70154608895155,11.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_36,2012,11,28,Avicennia,germinans,alive,aboveground,1,4.9,4.70154608895155,14.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_37,2012,11,28,Avicennia,germinans,alive,aboveground,1,5,4.70154608895155,15,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,Brazil_South_1_tree_38,2012,11,28,Rhizophora,mangle,alive,aboveground,1,9,4.70154608895155,35.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_1,2012,11,28,Avicennia,germinans,alive,aboveground,1,6.9,4.70154608895155,24.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_2,2012,11,28,Avicennia,germinans,alive,aboveground,1,46.6,4.70154608895155,10,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_3,2012,11,28,Avicennia,germinans,alive,aboveground,1,12.1,4.70154608895155,45.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_4,2012,11,28,Rhizophora,mangle,alive,aboveground,1,6.1,4.70154608895155,11,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_5,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.1,4.70154608895155,9,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_6,2012,11,28,Rhizophora,mangle,alive,aboveground,1,3.7,4.70154608895155,8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_7,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.5,4.70154608895155,34.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_8,2012,11,28,Rhizophora,mangle,alive,aboveground,1,3.5,4.70154608895155,7,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_9,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.5,4.70154608895155,9.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_10,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.2,4.70154608895155,30.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_11,2012,11,28,Avicennia,germinans,alive,aboveground,1,8.9,4.70154608895155,25.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_12,2012,11,28,Rhizophora,mangle,alive,aboveground,1,7.1,4.70154608895155,13.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_13,2012,11,28,Avicennia,germinans,alive,aboveground,1,4.7,4.70154608895155,14.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_14,2012,11,28,Avicennia,germinans,alive,aboveground,1,7.3,4.70154608895155,25,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_15,2012,11,28,Rhizophora,mangle,alive,aboveground,1,8.7,4.70154608895155,20,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_16,2012,11,28,Avicennia,germinans,alive,aboveground,1,12.1,4.70154608895155,44.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_17,2012,11,28,Avicennia,germinans,alive,aboveground,1,4.5,4.70154608895155,14.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_18,2012,11,28,Avicennia,germinans,alive,aboveground,1,11,4.70154608895155,35.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_19,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.2,4.70154608895155,11,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_20,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.4,4.70154608895155,9,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_21,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.6,4.70154608895155,9.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_22,2012,11,28,Avicennia,germinans,alive,aboveground,1,11.4,4.70154608895155,45.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_23,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4,4.70154608895155,8.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_24,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.3,4.70154608895155,8.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_25,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.5,4.70154608895155,9,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_26,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.9,4.70154608895155,32,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_27,2012,11,28,Rhizophora,mangle,alive,aboveground,1,7.4,4.70154608895155,3.9,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_28,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.6,4.70154608895155,9.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_29,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4,4.70154608895155,8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_30,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.8,4.70154608895155,26.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_31,2012,11,28,Avicennia,germinans,alive,aboveground,1,11.2,4.70154608895155,40.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_32,2012,11,28,Avicennia,germinans,alive,aboveground,1,10.1,4.70154608895155,42.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_33,2012,11,28,Avicennia,germinans,alive,aboveground,1,8.8,4.70154608895155,32.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_34,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.2,4.70154608895155,10.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_35,2012,11,28,Avicennia,germinans,alive,aboveground,1,11.2,4.70154608895155,42,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_36,2012,11,28,Rhizophora,mangle,alive,aboveground,1,11.8,4.70154608895155,42,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_37,2012,11,28,Rhizophora,mangle,alive,aboveground,1,11.9,4.70154608895155,58,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_38,2012,11,28,Avicennia,germinans,alive,aboveground,1,9.6,4.70154608895155,27.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_39,2012,11,28,Avicennia,germinans,alive,aboveground,1,11.8,4.70154608895155,39,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_40,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.5,4.70154608895155,12.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_41,2012,11,28,Avicennia,germinans,alive,aboveground,1,11.4,4.70154608895155,39.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_42,2012,11,28,Rhizophora,mangle,alive,aboveground,1,3.7,4.70154608895155,7.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_43,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.2,4.70154608895155,13.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,Brazil_South_2_tree_44,2012,11,28,Avicennia,germinans,alive,aboveground,1,13,4.70154608895155,54.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_1,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.6,4.70154608895155,10.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_2,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.5,4.70154608895155,11.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_3,2012,11,28,Rhizophora,mangle,alive,aboveground,1,6.6,4.70154608895155,19.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_4,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5,4.70154608895155,10.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_5,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.3,4.70154608895155,11,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_6,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4,4.70154608895155,8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_7,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.4,4.70154608895155,13,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_8,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.2,4.70154608895155,9,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_9,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.4,4.70154608895155,13,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_10,2012,11,28,Rhizophora,mangle,alive,aboveground,1,3.7,4.70154608895155,7.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_11,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.6,4.70154608895155,12.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_12,2012,11,28,Rhizophora,mangle,alive,aboveground,1,3.6,4.70154608895155,8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_13,2012,11,28,Rhizophora,mangle,alive,aboveground,1,7.6,4.70154608895155,15,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_14,2012,11,28,Rhizophora,mangle,alive,aboveground,1,3.4,4.70154608895155,7.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_15,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.4,4.70154608895155,10,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_16,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.2,4.70154608895155,12.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_17,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.8,4.70154608895155,11,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_18,2012,11,28,Rhizophora,mangle,alive,aboveground,1,3.9,4.70154608895155,7.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_19,2012,11,28,Rhizophora,mangle,alive,aboveground,1,6.5,4.70154608895155,15.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_20,2012,11,28,Rhizophora,mangle,alive,aboveground,1,3.4,4.70154608895155,7,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_21,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4,4.70154608895155,9,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_22,2012,11,28,Rhizophora,mangle,alive,aboveground,1,6,4.70154608895155,13,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_23,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.6,4.70154608895155,11.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_24,2012,11,28,Rhizophora,mangle,alive,aboveground,1,4.5,4.70154608895155,10,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_25,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.9,4.70154608895155,13.6,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_26,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.9,4.70154608895155,12.8,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_27,2012,11,28,Rhizophora,mangle,alive,aboveground,1,6.9,4.70154608895155,12.2,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_28,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.7,4.70154608895155,13.4,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,Brazil_South_3_tree_29,2012,11,28,Rhizophora,mangle,alive,aboveground,1,5.8,4.70154608895155,20,14.319856491120643,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_2,2012,11,20,Avicennia,germinans,alive,aboveground,1,6.4,5.778582489694204,4,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_3,2012,11,20,Avicennia,germinans,alive,aboveground,1,NA,5.778582489694204,3.4,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_4,2012,11,20,Avicennia,germinans,alive,aboveground,1,NA,5.778582489694204,3,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_5,2012,11,20,Avicennia,germinans,alive,aboveground,1,NA,5.778582489694204,2.6,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_6,2012,11,20,Avicennia,germinans,alive,aboveground,1,NA,5.778582489694204,3,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_7,2012,11,20,Avicennia,germinans,alive,aboveground,1,4.7,5.778582489694204,3.2,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_8,2012,11,20,Avicennia,germinans,alive,aboveground,1,10,5.778582489694204,12,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_10,2012,11,20,Avicennia,germinans,alive,aboveground,1,7.6,5.778582489694204,7.5,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_11,2012,11,20,Avicennia,germinans,alive,aboveground,1,5,5.778582489694204,8.7,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_12,2012,11,20,Avicennia,germinans,alive,aboveground,1,3.6,5.778582489694204,3,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_13,2012,11,20,Avicennia,germinans,alive,aboveground,1,10.2,5.778582489694204,9,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_14,2012,11,20,Avicennia,germinans,alive,aboveground,1,3.8,5.778582489694204,4,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_15,2012,11,20,Avicennia,germinans,alive,aboveground,1,8.1,5.778582489694204,7,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_16,2012,11,20,Avicennia,germinans,alive,aboveground,1,NA,5.778582489694204,5,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_17,2012,11,20,Avicennia,germinans,alive,aboveground,1,9.1,5.778582489694204,9,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_18,2012,11,20,Avicennia,germinans,alive,aboveground,1,NA,5.778582489694204,2.8,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_20,2012,11,20,Avicennia,germinans,alive,aboveground,1,6.8,5.778582489694204,6.2,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_21,2012,11,20,Avicennia,germinans,alive,aboveground,1,8.3,5.778582489694204,6.2,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_22,2012,11,20,Rhizophora,mangle,alive,aboveground,1,9.1,5.778582489694204,9.3,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_24,2012,11,20,Rhizophora,mangle,alive,aboveground,1,6.7,5.778582489694204,3.5,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_26,2012,11,20,Avicennia,germinans,alive,aboveground,1,5.4,5.778582489694204,4.4,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_27,2012,11,20,Avicennia,germinans,alive,aboveground,1,3,5.778582489694204,3,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_28,2012,11,20,Avicennia,germinans,alive,aboveground,1,2.4,5.778582489694204,4.1,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_29,2012,11,20,Avicennia,germinans,alive,aboveground,1,11.8,5.778582489694204,15.2,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_30,2012,11,20,Avicennia,germinans,alive,aboveground,1,5.3,5.778582489694204,3.6,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_31,2012,11,20,Avicennia,germinans,alive,aboveground,1,4,5.778582489694204,3.5,13.032667985047045,breast height
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,Brazil_1ABCD_tree_32,2012,11,20,Avicennia,germinans,alive,aboveground,1,7.3,5.778582489694204,5.8,13.032667985047045,breast height
