study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,excess_pb210_activity_se,age,age_se,date,delta_c13,method_id
Breithaupt_et_al_2014,WSC-5,SH3-1,10,12,0.206220096,0.492459397,0.2064,NA,NA,6.848193274,0.179357657,2.474459271,0.062679315,4.468811501,0.194124634,22.23949674,1.021088915,1986.760503,-27.55265097,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,12,14,0.20562201,0.452356021,0.204953662,NA,NA,4.632995816,0.200952602,1.766468154,0.071696694,2.929298657,0.21803195,24.93343817,1.068001178,1984.066562,-27.74457315,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,14,16,0.222368421,0.435933297,0.170262046,NA,NA,2.902385007,0.167873703,2.14903993,0.081353038,2.760290371,0.188267176,28.03087081,1.130222528,1980.969129,-27.39691084,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,16,18,0.224449761,0.461948412,0.169359527,NA,NA,4.701272721,0.184601578,2.154845497,0.071202628,2.602845261,0.202241201,33.12985602,1.212790636,1975.870144,-27.26153426,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,18,20,0.250956938,0.482268827,0.209900844,NA,NA,3.982594269,0.168886387,2.015011102,0.068347887,2.011517671,0.186260631,36.17249714,1.27859248,1972.827503,-27.43388136,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,20,22,0.271674641,0.39952448,0.201739116,NA,NA,4.611367602,0.179655695,2.034865571,0.068063322,2.634483304,0.196440061,40.75323555,1.397052929,1968.246764,-27.26566975,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,22,24,0.25145933,0.50242603,0.197759178,NA,NA,3.439601411,0.134659582,1.839094125,0.055988698,1.63685763,0.149147565,44.48856247,1.504294195,1964.511438,-27.49633623,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,24,26,0.207416268,0.512226067,0.223683232,NA,NA,4.661684189,0.1821879,1.83752289,0.065711202,2.888736412,0.198104553,52.39210288,1.776230485,1956.607897,-27.57620097,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,26,28,0.229593301,0.518495363,0.219277628,NA,NA,3.639627296,0.169412419,1.918220684,0.07013558,1.759703274,0.187435677,58.10295026,1.986384413,1950.89705,-27.56544365,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,28,30,0.216148325,0.488212507,0.199096838,NA,NA,3.477611172,0.125226612,1.853708734,0.052249698,1.661748341,0.138852248,64.18765632,2.308212535,1944.812344,-27.39863691,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,30,32,0.236363636,0.491700405,0.19785,NA,NA,3.483404627,0.1554381,1.980820618,0.066721915,1.536573484,0.172979687,70.78054546,2.686876682,1938.219455,-27.01962337,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,32,34,0.200143541,0.492947645,0.21155677,NA,NA,4.428320667,0.152360761,1.80006172,0.056183014,2.690640548,0.166243845,85.1107633,3.999589898,1923.889237,-27.36891181,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,34,36,0.188947368,0.476069891,NA,NA,NA,4.339430656,0.18284867,2.259521349,0.07514326,2.129656788,0.202415399,106.9135794,7.255407022,1902.086421,NA,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,36,38,0.235311005,0.468584791,NA,NA,NA,3.122889417,0.145918163,1.70062717,0.061544088,1.456547674,0.162183687,152.3396216,27.62986421,1856.660378,NA,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-1,38,40,0.172272727,0.50881822,NA,NA,NA,2.314099155,0.130752208,1.747208655,0.469906778,0.580686661,0.499629316,NA,NA,NA,NA,2 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,0,1,0.230150309,0.297349212,0.143036253,-0.003897261,0.006970115,5.35073034,0.278171165,1.73768156,0.178887191,3.734019212,0.341799694,1.488096001,0.913834378,2007.511904,-22.503,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,1,2,0.350751547,0.287622889,0.132276693,-0.002817746,0.005039441,5.841267882,0.287335499,1.58833296,0.142373618,4.3957152839999996,0.331440183,4.344026064,0.931469545,2004.655974,-24.69,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,2,3,0.324756852,0.304655595,0.1475879,-0.003114604,0.005570362,5.465874192,0.294761303,1.659403329,0.155517951,3.934609895,0.344491102,6.920007097,0.944765668,2002.079993,-26.229,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,3,4,0.281874447,0.324968632,0.159657378,0.085286655,0.012208615,6.30584588,0.232278466,2.026015076,0.153200806,4.425067031,0.28769397,9.651103525,0.973755096,1999.348896,-26.031,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,4,5,0.28311229,0.333229232,0.16912914,-0.00362005,0.006474335,5.327101433,0.259529161,1.893468781,0.167168936,3.550747422,0.319238052,12.03487407,0.992604355,1996.965126,-26.915,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,5,6,0.179398762,0.427304091,0.165687925,0.104971114,0.013063294,5.979843712,0.225139155,2.236697539,0.14962522,3.871794986,0.279615568,13.79186049,1.017388903,1995.20814,-26.655,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,6,7,0.154022989,0.450631458,0.176456279,0.160496056,0.020998964,7.485343636,0.30429038,2.117127343,0.175176413,5.553556514,0.363234266,16.09661679,1.052400854,1992.903383,-26.587,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,7,8,0.15729443,0.453063519,0.190158343,0.353537266,0.037272285,6.932389947,0.33467338,2.35390172,0.171129593,4.737055717,0.38890625,18.24862751,1.083782283,1990.751372,-26.609,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,8,9,0.205658709,0.399398108,0.212312238,-0.003598799,0.006436328,6.281025687,0.270254312,2.060746112,0.167236234,4.36869567,0.328990315,21.05131671,1.127949935,1987.948683,-26.547,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,9,10,0.175243148,0.47073663,0.202025404,0.500834726,0.034405022,6.705955611,0.306671415,2.457891932,0.1990263,4.398278827,0.378521814,23.66749236,1.170602673,1985.332508,-26.594,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,10,11,0.145888594,0.487272727,0.207702299,0.50876466,0.0350091,5.378540657,0.276431385,2.395526844,0.180802905,3.088941619,0.342038607,25.30203473,1.199597196,1983.697965,-26.664,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,11,12,0.209106985,0.45243129,0.207125845,0.64843676,0.034333687,5.852623495,0.277146169,2.563206007,0.193192004,3.407076424,0.349920299,28.06895344,1.242978045,1980.931047,-26.262,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,12,13,0.194783378,0.384929641,0.205490325,0.34754714,0.026803848,5.898111726,0.261405103,2.331185957,0.167344423,3.695231541,0.32154667,31.1296723,1.306077483,1977.870328,-26.485,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,13,14,0.161715296,0.501913614,0.206516276,0.368006955,0.025838162,5.547908906,0.232328114,2.095958502,0.14446325,3.57670608,0.283467527,33.81995091,1.375955444,1975.180049,-26.44,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,14,15,0.154907162,0.461187215,0.214621972,0.473921298,0.035682048,5.459547616,0.362545756,2.084744719,0.266755912,3.497611461,0.466488823,36.56243619,1.422756547,1972.437564,-26.15,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,15,16,0.165075155,0.503481521,0.215797242,0.42792876,0.029356581,5.198000327,0.24818495,2.0060382,0.16076336,3.308742158,0.306522383,39.58669884,1.507674329,1969.413301,-26.106,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,16,17,0.183908046,0.465865385,0.216133142,0.445931302,0.020710209,5.055828071,0.213314976,2.071682675,0.158231802,3.09456442,0.275422514,43.07376506,1.618093286,1965.926235,-26.228,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,17,18,0.208399646,0.422995333,0.201373565,0.403999772,0.036791765,5.061555711,0.274700149,2.130984574,0.153755671,3.03933403,0.32648671,47.45965992,1.748692903,1961.54034,-26.113,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,18,19,0.202033599,0.396936543,0.195369068,-0.002829926,0.005061224,4.487002682,0.191983825,2.137048435,0.130853411,2.512060545,0.248364455,51.46505348,1.905556666,1957.534947,-26.112,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,19,20,0.204067197,0.386481802,0.184255749,0.24659284,0.014948704,4.572060993,0.174132744,2.245443508,0.124482087,2.414184696,0.222107875,55.89855013,2.113102545,1953.1014500000001,-25.939,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,20,21,0.226878868,0.38893219,0.185457341,0.32140025,0.03107452,4.552022193,0.251642102,2.175373014,0.147796287,2.466346455,0.302849113,61.8108121,2.374137451,1947.189188,-25.92,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,21,22,0.200176835,0.411219081,0.191401648,-0.003469378,0.006204862,4.333497694,0.268367558,2.125030561,0.16965501,2.29204776,0.329512517,67.63063033,2.6608198769999998,1941.36937,-25.915,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,22,23,0.170999116,0.388831437,0.193750892,-0.003684129,0.006588937,3.938438689,0.252919648,2.096559651,0.173320222,1.911822253,0.318250991,72.53296398,2.94713743,1936.467036,-25.998,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,23,24,0.209725906,0.387436762,0.184695031,-0.002871377,0.005135359,3.376749144,0.183288945,1.815453049,0.131381244,1.620990424,0.234134869,78.57517941,3.398039307,1930.424821,-26.019,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,24,25,0.201679929,0.434896975,0.181767857,-0.002648429,0.004736624,3.257387582,0.226053232,1.685756079,0.136372378,1.631894216,0.274125999,85.7580628,4.000504971,1923.241937,-26.025,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,25,26,0.196993811,0.407540395,0.184058694,-0.002648845,0.004737368,3.889836044,0.210635677,2.536604161,0.135549864,1.405296034,0.260119095,93.36247935,4.788712854,1915.637521,-25.88,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,26,27,0.241467728,0.369827902,0.180418591,-0.003156002,0.005644401,3.517350371,0.181953027,2.271323353,0.140590732,1.301421183,0.24016318,104.9690602,6.337481023,1904.03094,-25.947,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,27,28,0.235809019,0.38807649,0.176244134,-0.004209908,0.007529274,3.442732659,0.259400772,2.337072899,0.193493047,1.155064454,0.338078247,120.1854045,8.397802768,1888.814596,-26.314,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,28,29,0.210433245,0.390336134,0.151902846,-0.00377614,0.006753495,3.878344521,0.223168132,2.673372076,0.170418692,1.287537131,0.30003689099999997,149.8544593,17.78345119,1859.145541,-26.147,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,29,30,0.210875332,0.357651992,0.157489505,-0.003821506,0.006834632,3.274457808,0.239998138,2.734919608,0.179778146,0.576629389,0.320480552,186.6353261,40.72957886,1822.364674,-25.94,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-3,30,31,0.240760389,0.344105766,NA,-0.003608814,0.006454239,3.065158311,0.22212194,2.844870098,0.16951348,0.235537238,0.298757878,NA,NA,NA,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,0,1,0.173563218,0.606724401,0.268346612,-0.007899063,0.0141272,6.023673733,0.496137825,1.483644435,0.349954879,4.656530521,0.622721967,1.033900298,0.843016179,2009.8861,-26.99,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,1,2,0.168258179,0.607461902,0.268661009,-0.005181674,0.009267244,6.261559504,0.324530997,1.350686824,0.227347769,5.038241226,0.406518741,2.155370448,0.853254817,2008.76463,-26.812,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,2,3,0.169672856,0.59562272,0.263613966,-0.005074445,0.009075469,6.219447234,0.349821603,1.153222527,0.22570772,5.198477539,0.427184252,3.365371918,0.864350433,2007.554628,-26.853,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,3,4,0.425375774,0.197048431,0.093701746,-0.00438854,0.007848751,5.428205428,0.273683711,1.37465627,0.193150137,4.160507712,0.343816289,5.940048158,0.875502639,2004.979952,-26.785,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,4,5,0.201149425,0.538901099,0.239433538,-0.004266913,0.007631227,5.813887636,0.314770634,1.508929651,0.195134482,4.419113993,0.380169397,7.315536034,0.888166084,2003.604464,-26.801,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,5,6,0.180901857,0.500977517,0.223266716,-0.004419024,0.007903271,8.882305338,0.482125374,1.97062599,0.223697543,7.095616016,0.545638298,9.411931888,0.906544734,2001.508068,-26.832,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,6,7,0.18709107,0.599243856,0.265157656,-0.004487244,0.00802528,6.663852884,0.374036273,1.419818431,0.209130399,5.384254344,0.439989542,11.15869802,0.924198439,1999.761302,-26.666,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,7,8,0.153934571,0.662263067,0.292022746,-0.004938071,0.008831569,6.794536449,0.313752421,1.858768654,0.218471875,5.069043134,0.392646261,12.58025624,0.942245232,1998.339744,-26.721,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,8,9,0.177365164,0.565802592,0.250901645,-0.004643596,0.00830491,6.624231826,0.34891533,1.503688007,0.211679184,5.259452084,0.419176557,14.36669176,0.963996569,1996.553308,-26.942,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,9,10,0.156145004,0.607021518,0.268473273,-0.005825354,0.010418444,6.185472832,0.450537389,1.346851086,0.268525479,4.973894923,0.539153606,15.93379298,0.978790995,1994.986207,-27.008,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,10,11,0.20627763,0.506643806,0.225682255,-0.006647048,0.011888015,6.857056416,0.442731639,1.457412532,0.295638702,5.551463996,0.547334715,18.39361759,0.99730299,1992.526382,-26.523,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,11,12,0.159681698,0.565337763,0.250703488,-0.005760169,0.010301863,7.481063623,0.517716598,2.258119044,0.283967985,5.371589819,0.607286935,20.36799423,1.012680223,1990.552006,-26.401,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,12,13,0.196640141,0.564298561,0.250260477,-0.005827368,0.010422045,6.146080648,0.417579926,2.13496659,0.270037539,4.125838204,0.511509395,22.35428431,1.02445483,1988.565716,-26.35,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,13,14,0.170822281,0.656832298,0.289707609,-0.005513392,0.009860511,5.729595967,0.384349202,1.650989311,0.250869184,4.195670911,0.472150623,24.21743248,1.043344093,1986.702568,-26.699,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,14,15,0.121220159,0.677607586,0.298564114,-0.005414235,0.009683172,5.916826358,0.448296069,1.550832915,0.257411604,4.492958525,0.53197633,25.70926921,1.061821635,1985.210731,-26.702,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,15,16,0.120335986,0.665686995,0.293482366,-0.006440716,0.011518998,5.737610074,0.410878311,1.580957368,0.286697081,4.281231974,0.516031482,27.18723595,1.081143884,1983.732764,-26.472,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,16,17,0.14801061,0.638590203,0.281931004,-0.005826864,0.010421145,6.008182493,0.356658421,1.759357941,0.256935367,4.377252337,0.452856145,29.1479881,1.109527011,1981.772012,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,17,18,0.152343059,0.649448636,0.286559954,-0.005673423,0.01014672,6.683417351,0.487435584,1.936147736,0.274786393,4.891147114,0.576513347,31.56185694,1.134078597,1979.358143,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,18,19,0.117860301,0.647411853,0.285691673,-0.005921523,0.010590438,6.531321133,0.462931762,1.951508649,0.278983675,4.719112346,0.556937849,33.48987257,1.161963154,1977.430127,-26.7,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,19,20,0.155172414,0.642735043,0.283697949,-0.004993284,0.008930315,6.030317967,0.414573477,1.618711301,0.237414999,4.548074815,0.492520371,36.11571119,1.199783475,1974.804289,-26.6,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,20,21,0.1443855,0.640538885,0.282761727,-0.005417715,0.009689396,6.503680287,0.374800909,1.518810609,0.243212289,5.133333121,0.460104625,39.12615601,1.258357787,1971.793844,-26.643,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,21,22,0.154022989,0.614810563,0.271793743,-0.004662861,0.008339366,6.493675739,0.302767835,1.361947404,0.205498784,5.283672508,0.376755636,42.79317991,1.349957099,1968.12682,-26.774,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,22,23,0.130327144,0.65807327,0.290236635,-0.005399063,0.009656038,6.67105001,0.438083149,1.42686794,0.250917719,5.397233098,0.519587439,46.33968639,1.433605169,1964.580314,-26.597,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,23,24,0.171352785,0.613003096,0.27102322,-0.005216547,0.009329613,6.240773448,0.32729162,1.610965874,0.230074853,4.76122495,0.411424016,51.01311662,1.562471995,1959.906883,-26.174,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,24,25,0.165694076,0.621664888,0.274715742,-0.005472231,0.009786895,6.184528988,0.341571408,1.524470662,0.240924117,4.795162833,0.430108437,56.32911623,1.729744894,1954.590884,-26.497,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,25,26,0.122811671,0.688984881,0.303414255,-0.004831229,0.008640486,5.528894924,0.335688106,1.545819244,0.218975372,4.104811702,0.413045029,60.22436695,1.882270873,1950.695633,-26.464,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,26,27,0.140495137,0.554436753,0.246056388,-0.005760661,0.010302743,7.661658302,0.367331279,1.877934773,0.254260605,5.962156071,0.460527344,67.96908239,2.250060877,1942.950918,-26.518,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,27,28,0.153138815,0.639722864,0.282413857,-0.005227465,0.00934914,5.004018056,0.394473485,1.523244064,0.244630027,3.588782073,0.478572818,74.30085525,2.543356177,1936.619145,-26.265,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,28,29,0.165605659,0.53016551,0.235709557,-0.006267711,0.011209583,4.025674256,0.386522882,1.589157233,0.281349572,2.512483561,0.492982893,80.09218465,2.752176122,1930.827815,-25.8,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,29,30,0.194252874,0.559399181,0.248171871,-0.004975967,0.008899344,4.381592815,0.295471446,2.024407449,0.221279109,2.431356545,0.380760495,88.25010913,3.200147428,1922.669891,-25.905,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,30,31,0.152077807,0.571511628,0.253335407,-0.004882298,0.008731821,4.182294146,0.30997403,2.191461756,0.22340099,2.053821704,0.394178326,95.06764567,3.653407063,1915.852354,-26.091,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,31,32,0.160212202,0.53200883,0.236495364,-0.005308116,0.009493381,3.618747613,0.327407494,1.827104108,0.24062852,1.848624417,0.419245089,103.2233189,4.185150608,1907.696681,-26.091,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,32,33,0.157206012,0.446006749,NA,-0.004556372,0.008148913,3.945517549,0.270443765,2.572344068,0.205667187,1.417222981,0.350662273,111.0997821,4.848385263,1899.820218,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,33,34,0.161892131,0.576187875,NA,-0.004304775,0.007698941,3.759779275,0.279192747,2.326782949,0.200735582,1.479198057,0.354952273,122.4982959,6.055280675,1888.421704,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,34,35,0.16127321,0.573464912,NA,-0.004430055,0.007923,2.975555916,0.26561359,1.730513599,0.200136317,1.285441086,0.343364992,137.2799921,8.148570624,1873.640008,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,35,36,0.141025641,0.559247649,NA,-0.005198851,0.009297965,3.577550125,0.29341065,2.256780718,0.230325277,1.372180055,0.38753397,162.6183721,14.20439847,1848.301628,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,36,37,0.162157383,0.621592148,NA,-0.005776452,0.010330984,3.14619831,0.333186977,2.190506653,0.259692315,0.993132876,0.438988036,NA,NA,NA,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-5,37,38,0.190627763,0.628014842,NA,-0.004976334,0.008900001,2.28520007,0.263775033,2.140409156,0.217887041,NA,NA,NA,NA,NA,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,0,1,0.412113174,0.274404634,0.175196205,0,0,5.441311603,0.267947384,1.122012693,0.537045272,4.406110138,0.61224076,2.782033556,2.082561975,2008.137966,-24.139,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,1,2,0.37382847,0.288789026,0.147630905,0,0,5.057512693,0.212409992,0.997409264,0.479039212,4.142264398,0.534624033,5.361198375,2.148151428,2005.558802,-22.951,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,2,3,0.266666667,0.37765252,0.156061508,0,0,5.413487698,0.238435066,1.18241021,0.563604321,4.317475785,0.624461535,7.422759677,2.206891783,2003.49724,-22.526,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,3,4,0.271794872,0.410540013,0.152240707,0,0,5.870381305,0.290063794,1.25451113,0.615173243,4.710705034,0.694102597,9.88239852,2.279158084,2001.037601,-26.725,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,4,5,0.470380195,0.27575188,0.157913198,0,0,6.235600485,0.297785599,1.406655893,0.685587807,4.928707777,0.762909591,14.8808458,2.374934411,1996.039154,-25.528,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,5,6,0.357471264,0.330200346,0.129608912,0,0,5.477652729,0.180557056,1.259976171,0.462782171,4.306084661,0.507170623,18.68907149,2.52452883,1992.230929,-25.961,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,6,7,0.40627763,0.270729053,0.132240034,0,0,5.163177534,0.252427773,1.058493057,0.600384357,4.191305512,0.665036433,23.50579277,2.684053749,1987.414207,-25.68,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,7,8,0.208134394,0.506796941,0.18589061,0,0,5.719053364,0.288199426,1.370302206,0.642129867,4.441171949,0.718797768,26.45850955,2.827233706,1984.46149,-26.797,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,8,9,0.257559682,0.485753519,0.248785955,0,0,5.884109796,0.304928143,1.131063669,0.743675385,4.854596211,0.820935564,30.94076473,3.040396318,1979.979235,-26.928,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,9,10,0.184084881,0.556195965,0.247823026,0,0,5.98445365,0.334611697,1.251958494,0.987186379,4.834965882,1.064924223,34.56155006,3.217150237,1976.35845,-27.063,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,10,11,0.202564103,0.600611087,0.27904365,0,0,5.404915447,0.330331537,1.220904024,0.920175994,4.275398999,0.999027038,38.526027,3.420721366,1972.393973,-26.94,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,11,12,0.15066313,0.611502347,0.301777736,0,0,6.617035824,0.352927987,1.202117056,0.853945851,5.533875857,0.944302422,42.86928355,3.750777282,1968.050716,-26.822,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,12,13,0.178868258,0.694513099,0.305476569,0,0,6.384617548,0.368106529,1.519928868,1.105681255,4.973060967,1.191308361,48.25924801,4.109113274,1962.660752,-26.465,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,13,14,0.119982317,0.654384672,0.34349171,0,0,3.749103726,0.352548111,0.870586998,1.061693335,2.943099527,1.143796804,50.67788091,4.282869575,1960.242119,-27.268,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,14,15,0.114588859,0.651234568,0.305757309,0,0,4.857339363,0.395186536,1.885293745,1.115786369,3.039175587,1.210439576,53.25614487,4.476309569,1957.663855,-26.668,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,15,16,0.17816092,0.610918114,0.327904544,0,0,4.148721545,0.315212108,1.237549499,0.98156306,2.977741978,1.054508885,57.6306945,4.787019067,1953.289306,-26.581,1 cm intervals
