table,study_id,site_id,core_id
sites,Nahlik_and_Fennessy_2016,NWCA11-4522,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2710,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1634,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1618,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2608,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2605,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2598,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2566,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2537,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2030,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-6301,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-4503,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1420,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1418,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1417,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1416,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1413,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-3586,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-3583,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1792,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1813,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1805,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1803,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1793,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1779,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1776,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1369,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-3580,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-3588,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1180,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1746,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1750,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1752,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1753,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1754,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2265,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2269,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R089,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R002,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R052,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R071,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2390,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2382,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2529,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R006,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2262,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2281,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2279,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2273,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R024,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2179,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-3073,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2045,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2049,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1188,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1187,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1184,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R080,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1709,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1707,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1658,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R003,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R007,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R012,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2555,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1696,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1278,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1291,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1292,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1300,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1305,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1329,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1342,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1613,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1626,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1629,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1637,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1348,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1359,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1363,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1368,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1370,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1372,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1373,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1374,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1376,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1377,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1379,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1009,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1023,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1035,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1953,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1946,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1653,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1654,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1666,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1642,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2069,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2455,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2446,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2444,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2442,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2424,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2403,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2068,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2065,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-3988,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-3989,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2222,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2220,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2215,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2207,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2205,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2204,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2203,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2199,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2198,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2197,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2196,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2195,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2186,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2411,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2408,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2431,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2436,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2447,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2452,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1649,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R082,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2061,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2052,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1965,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1958,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1957,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-R058,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-2423,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1109,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1118,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1123,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1127,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1133,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1140,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1207,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1223,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1239,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1248,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1249,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1256,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1263,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1777,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1381,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1384,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1385,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1388,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1389,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1392,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1393,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1395,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1396,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1397,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1400,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1401,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1404,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1408,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1409,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1411,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1412,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1670,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1675,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1678,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1680,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1691,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1694,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1703,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1773,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1778,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1788,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1789,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1798,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1801,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1810,NA
sites,Nahlik_and_Fennessy_2016,NWCA11-1816,NA
