Samp_ID,Site,Vol_cm3,dry_mass_g,loi,BD_g_cm3,Elev_mNAVD88,Lat,Lon,perC,CD_gC_cm3,Mineral_g_cm3
SR_BD_43,SR,418.53833,88,0.40255,0.21053,1.219,42.12560812,-70.68813296,19.76242,0.04161,0.125781149
SR_BD_44,SR,418.53833,179,0.17015,0.42823,1.038,42.12529409,-70.68507222,7.67761,0.03288,0.355366666
SR_BD_45,SR,418.53833,132,0.33512,0.31579,1.113,42.12545788,-70.68478231,16.2562,0.05134,0.209962455
SR_BD_46,SR,418.53833,95,0.32709,0.22727,1.138,42.12841331,-70.68933836,15.83874,0.036,0.152932256
SR_BD_47,SR,418.53833,283,0.12108,0.67703,1.226,42.12818321,-70.68925477,5.1261,0.03471,0.595055208
SR_BD_48,SR,418.53833,96,0.46176,0.22967,1.282,42.12989944,-70.69189503,22.84128,0.05246,0.123617581
SR_BD_49,SR,418.53833,92,0.36972,0.2201,1.187,42.1291183,-70.68952907,18.05531,0.03974,0.138724628
SR_BD_52,SR,418.53833,56,0.65751,0.13397,1.311,42.12987247,-70.69090358,33.02033,0.04424,0.045883385
SR_BD_53,SR,418.53833,96,0.32774,0.22967,1.236,42.12597193,-70.68769486,15.87271,0.03645,0.154397954
SR_BD_58,SR,418.53833,305,0.09874,0.72967,1.297,42.12533172,-70.68838853,3.9645,0.02893,0.657622384
SR_BD_61,SR,418.53833,82,0.45284,0.19617,1.247,42.1294951,-70.68959343,22.37779,0.0439,0.107336377
SR_BD_62,SR,418.53833,72,0.29185,0.17225,1.219,42.12894782,-70.68947099,14.00641,0.02413,0.121978838
SR_BD_63,SR,418.53833,83,0.49763,0.19856,1.187,42.12974511,-70.69243109,24.70671,0.04906,0.099750587
SR_BD_64,SR,418.53833,78,0.6326,0.1866,1.34,42.12972797,-70.68950818,31.72535,0.0592,0.06855684
SR_BD_65,SR,418.53833,230,0.13736,0.55024,1.19,42.12821149,-70.68927778,5.97284,0.03286,0.474659034
SR_BD_66,SR,418.53833,124,0.2446,0.29665,1.091,42.12556772,-70.68457683,11.54933,0.03426,0.22408941
SR_BD_68,SR,418.53833,75,0.47849,0.17943,1.268,42.12972212,-70.69266148,23.71131,0.04254,0.093574539
SR_BD_69,SR,418.53833,101,0.31972,0.24163,1.086,42.12840863,-70.68936364,15.45539,0.03734,0.164376056
SR_BD_70,SR,418.53833,79,0.34584,0.189,1.053,42.12497328,-70.68560024,16.81354,0.03178,0.12363624
SR_BD_71,SR,418.53833,102,0.33238,0.24402,1.231,42.12882798,-70.68943145,16.11362,0.03932,0.162912632
SR_BD_72,SR,418.53833,113,0.27108,0.27033,1.071,42.12503531,-70.68546777,12.92596,0.03494,0.197048944
SR_BD_73,SR,418.53833,92,0.35337,0.2201,1.226,42.12852572,-70.68930803,17.20518,0.03787,0.142323263
SR_BD_74,SR,418.53833,81,0.441,0.19378,1.03,42.12511109,-70.685303,21.76201,0.04217,0.10832302
SR_BD_75,SR,418.53833,130,0.30257,0.311,1.258,42.12544364,-70.68831338,14.56373,0.04529,0.21690073
SR_BD_77,SR,418.53833,83,0.37101,0.19856,1.237,42.12557005,-70.68818248,18.12252,0.03598,0.124892254
SR_BD_83,SR,418.53833,296,0.11079,0.70813,1.183,42.12576012,-70.68413539,4.59123,0.03251,0.629676277
SR_BD_86,SR,418.53833,65,0.65937,0.1555,1.253,42.12967102,-70.69337679,33.11732,0.0515,0.052967965
SR_BD_89,SR,418.53833,224,0.1445,0.53589,1.175,42.12573976,-70.68419445,6.34391,0.034,0.458453895
SR_BD_91,SR,418.53833,142,0.25156,0.33971,1.102,42.12977957,-70.69203247,11.91128,0.04046,0.254252552
SR_BD_93,SR,418.53833,64,0.60152,0.15311,1.29,42.13006838,-70.69225001,30.10879,0.0461,0.061011273
SR_BD_95,SR,418.53833,83,0.47988,0.19856,1.17,42.12977095,-70.69210375,23.78393,0.04723,0.103275027
SR_BD_96,SR,418.53833,49,0.67389,0.11722,1.363,42.12964593,-70.69363501,33.87208,0.03971,0.038226614
SR_BD_97,SR,418.53833,142,0.27774,0.33971,1.142,42.13000046,-70.69224064,13.27267,0.04509,0.245358945
SR_BD_98,SR,418.53833,65,0.519,0.1555,1.268,42.13041326,-70.6922745,25.81777,0.04015,0.0747955
SR_BD_99,SR,418.53833,73,0.64385,0.17464,1.274,42.12968062,-70.69322194,32.31033,0.05643,0.062198036
SR_BD_100,SR,418.53833,63,0.67359,0.15072,1.24,42.1297041,-70.6928905,33.85677,0.05103,0.049196515
SR_BD_101,SR,418.53833,198,0.17893,0.47368,0.94,42.12487105,-70.6859695,8.13427,0.03853,0.388924438
SR-001-5m,SR,418.53833,201,0.16175,0.48024,1.234,42.12413142,-70.6858103,7.2411,0.03477,0.40256118
SR-001-20m,SR,418.53833,111,0.32516,0.26521,1.262,42.12399956,-70.68582181,15.73815,0.04174,0.178974316
SR-001-30m,SR,418.5,108,0.36,0.25806,1.29,42.12385927,-70.68583418,17.55,0.04529,0.1651584
SR-002-2m,SR,418.53833,267,0.12476,0.63793,1.239,42.12509823,-70.68884392,5.31764,0.03392,0.558341853
SR-002-10m,SR,418.53833,147,0.23719,0.35122,1.203,42.12505747,-70.68890602,11.1638,0.03921,0.267914128
SR-002-30m,SR,418.53833,103,0.31898,0.24609,1.148,42.12498181,-70.68908168,15.41711,0.03794,0.167592212
SR-002-60m,SR,418.53833,81,0.442,0.19353,1.13,42.12480306,-70.68935892,21.814,0.04222,0.10798974
SR-002-80m,SR,418.5,75,0.451,0.17921,1.073,42.12465376,-70.68961121,22.282,0.03993,0.09838629
SR-002-100m,SR,418.5,106,0.262,0.25329,1.014,42.12457261,-70.68976283,12.454,0.03154,0.18692802
SR-003-10m,SR,418.53833,157,0.27469,0.37511,1.204,42.12578518,-70.68925841,13.11374,0.04919,0.272071034
SR-003-40m,SR,418.53833,85,0.37825,0.20309,1.22,42.12565002,-70.68954003,18.49898,0.03757,0.126271208
SR-003-80m,SR,418.53833,76,0.42869,0.18158,1.193,42.12542299,-70.68999877,21.12192,0.03835,0.10373847
SR-003-180m,SR,418.53833,102,0.37053,0.24371,1.333,42.12498413,-70.69096466,18.09771,0.04411,0.153408134
SR-004-5m,SR,418.5,197,0.188,0.47073,1.126,42.12634021,-70.69101105,8.606,0.04051,0.38223276
SR-004-20m,SR,418.53833,114,0.28035,0.27238,1.034,42.1262864,-70.69113598,13.4081,0.03652,0.196018267
SR-004-30m,SR,418.53833,101,0.31899,0.24132,1.066,42.12624075,-70.69126237,15.41732,0.0372,0.164341333
SR-004-50m,SR,418.53833,83,0.3672,0.19831,1.06,42.12612034,-70.691546,17.92419,0.03555,0.125490568
SR-004-110m,SR,418.53833,74,0.61428,0.17681,1.282,42.12587833,-70.69215603,30.77277,0.05441,0.068199153
PG-001W-5m,PG,418.53833,222,0.11353,0.53042,1.141,42.19088293,-70.72304142,4.73373,0.02511,0.470201417
PG-001W-15m,PG,418.53833,135,0.22061,0.32255,1.191,42.19086473,-70.72318489,10.30163,0.03323,0.251392245
PG-001W-50m,PG,418.53833,103,0.43831,0.24609,1.285,42.19080227,-70.72356942,21.62228,0.05321,0.138226292
PG-002E-5m,PG,418.53833,195,0.16963,0.46591,1.225,42.18883798,-70.72283052,7.6505,0.03564,0.386877687
PG-002E-50m,PG,418.53833,131,0.27636,0.31299,1.333,42.1888088,-70.72230789,13.20076,0.04132,0.226492084
PG-002E-110m,PG,418.53833,130,0.35315,0.3106,1.363,42.18874343,-70.72158207,17.19376,0.0534,0.20091161
PG-002W-5m,PG,418.53833,90,0.38683,0.21503,1.244,42.1888213,-70.72319918,18.94511,0.04074,0.131849945
PG-002W-10m,PG,418.53833,102,0.48591,0.24371,1.287,42.18881612,-70.72329094,24.09711,0.05873,0.125288874
PG-002W-40m,PG,418.53833,118,0.30571,0.28193,1.372,42.18880011,-70.72364315,14.72715,0.04152,0.19574118
PG-002W-110m,PG,418.53833,83,0.41783,0.19831,1.236,42.18876406,-70.72448708,20.55731,0.04077,0.115450133
PG-002W-190m,PG,418.53833,77,0.44071,0.18397,1.341,42.18871107,-70.72547679,21.74687,0.04001,0.102892581
PG-003E-5m,PG,418.5,210,0.169,0.50179,1.221,42.1876043,-70.72219084,7.618,0.03823,0.41698749
PG-003E-30m,PG,418.53833,114,0.33422,0.27238,1.392,42.18759649,-70.72192042,16.20921,0.04415,0.181345156
PG-003E-100m,PG,418.5,179,0.214,0.42772,1.329,42.18756384,-70.7210404,9.958,0.04259,0.33618792
PG-003W-5m,PG,418.5,153,0.214,0.36559,1.216,42.18761345,-70.72240537,9.958,0.03641,0.28735374
PG-003W-30m,PG,418.5,115,0.317,0.27479,1.484,42.1875867,-70.72275247,15.314,0.04208,0.18768157
PG-003W-60m,PG,418.5,101,0.349,0.24134,1.444,42.18759127,-70.72313958,16.978,0.04097,0.15711234
PG-003W-140m,PG,418.53833,100,0.33928,0.23893,1.385,42.18753562,-70.72409175,16.47273,0.03936,0.15786583
NR-001-3m,NR,418.53833,304,0.09497,0.72634,1.33,42.16973497,-70.72646547,3.76846,0.02737,0.65735949
NR-001-20m,NR,418.53833,175,0.16557,0.41812,1.302,42.16982309,-70.72634355,7.43939,0.03111,0.348891872
NR-001-30m,NR,418.53833,158,0.18432,0.3775,1.217,42.16990318,-70.72617104,8.41459,0.03177,0.3079192
NR-001-50m,NR,418.53833,129,0.23792,0.30822,1.297,42.16997387,-70.72598008,11.20179,0.03453,0.234888298
NR-001-35m,NR,418.53833,185,0.17926,0.44201,1.231,42.17031409,-70.72602703,8.15143,0.03603,0.362775287
NR-002-3m,NR,418.53833,236,0.11851,0.56387,1.35,42.17096859,-70.72488184,4.99259,0.02815,0.497045766
NR-002-30m,NR,418.53833,103,0.29687,0.24609,1.24,42.17108131,-70.72513852,14.26728,0.03511,0.173033262
NR-002-60m,NR,418.53833,82,0.34073,0.19592,1.207,42.17127839,-70.7254737,16.54801,0.03242,0.129164178
NR-002-150m,NR,418.53833,85,0.39745,0.20309,1.22,42.17172752,-70.72633833,19.49741,0.0396,0.12237188
NR-002-200m,NR,418.53833,64,0.57642,0.15291,1.336,42.1722074,-70.72671689,28.80359,0.04404,0.064769618
NR-003-3m,NR,418.53833,191,0.18117,0.45635,1.283,42.17383745,-70.72497267,8.25104,0.03765,0.373673071
NR-003-10m,NR,418.53833,105,0.30112,0.25087,1.266,42.17380125,-70.7250367,14.48808,0.03635,0.175328026
NR-003-20m,NR,418.53833,72,0.44149,0.17203,1.313,42.17373373,-70.72514972,21.7877,0.03748,0.096080475
NR-003-40m,NR,418.53833,60,0.56263,0.14336,1.353,42.17361741,-70.72534657,28.0867,0.04026,0.062701363
WP-EB-001-4m,WP,418.53833,96,0.37761,0.22937,0.312,41.51208262,-71.05409359,18.46597,0.04236,0.142757594
WP-EB-001-20m,WP,418.53833,76,0.49461,0.18158,0.303,41.51199613,-71.05400652,24.54979,0.04458,0.091768716
WP-EB-001-40m,WP,418.53833,58,0.69081,0.13858,0.332,41.51178869,-71.05380945,34.75197,0.04816,0.04284755
WP-EB-001-100m,WP,418.53833,67,0.61182,0.16008,0.365,41.51138046,-71.05347885,30.6448,0.04906,0.062139854
WP-EB-002-7m,WP,418.53833,87,0.40298,0.20787,0.306,41.51204943,-71.05288986,19.78492,0.04113,0.124102547
WP-EB-002-20m,WP,418.53833,58,0.48194,0.13858,0.294,41.51195442,-71.05279401,23.89098,0.03311,0.071792755
WP-EB-002-40m,WP,418.5,59,0.505,0.14098,0.279,41.51179923,-71.05271043,25.09,0.03537,0.0697851
WP-EB-002-70m,WP,418.53833,58,0.57351,0.13858,0.356,41.51149454,-71.05255242,28.65232,0.03971,0.059102984
WP-EB-002-100m,WP,418.53833,60,0.63718,0.14336,0.398,41.5112635,-71.05235999,31.96332,0.04582,0.052013875
WP-EB-003-10m,WP,418.53833,103,0.37138,0.24609,0.344,41.51193975,-71.05146002,18.14184,0.04465,0.154697096
WP-EB-003-20m,WP,418.5,66,0.506,0.15771,0.247,41.5118873,-71.05137224,25.142,0.03965,0.07790874
WP-EB-003-30m,WP,418.5,61,0.512,0.14576,0.274,41.51181773,-71.05125052,25.454,0.0371,0.07113088
WP-EB-003-50m,WP,418.53833,56,0.57899,0.1338,0.382,41.51168667,-71.0510732,28.93754,0.03872,0.056331138
WP-EB-004-2m,WP,418.5,204,0.151,0.48746,0.421,41.51371707,-71.04931585,6.682,0.03257,0.41385354
WP-EB-004-10m,WP,418.53833,131,0.26002,0.31299,0.326,41.51369933,-71.04941482,12.35112,0.03866,0.23160634
WP-EB-004-20m,WP,418.53833,93,0.51698,0.2222,0.377,41.51369056,-71.04950021,25.71301,0.05713,0.107327044
WP-EB-004-30m,WP,418.53833,72,0.52689,0.17203,0.389,41.51368575,-71.0496732,26.22833,0.04512,0.081389113
WP-EB-101-3m,WPEB,418.5,218,0.125,0.52091,0.001,41.51676078,-71.06390076,5.33,0.02776,0.45579625
WP-EB-101-10m,WPEB,418.5,136,0.247,0.32497,0.4,41.51669546,-71.06388269,11.674,0.03794,0.24470241
WP-EB-101-30m,WPEB,418.5,109,0.338,0.26045,0.374,41.51651286,-71.06386652,16.406,0.04273,0.1724179
WP-EB-101-60m,WPEB,418.5,77,0.428,0.18399,0.389,41.51624434,-71.06375712,21.086,0.0388,0.10524228
WP-EB-201-3m,WPEB,418.5,264,0.09,0.63082,0.03,41.52515707,-71.06023073,3.51,0.02214,0.5740462
WP-EB-201-20m,WPEB,418.5,240,0.117,0.57348,-0.031,41.52520676,-71.06007686,4.914,0.02818,0.50638284
WP-EB-201-40m,WPEB,418.5,123,0.278,0.29391,0.252,41.52527782,-71.05986952,13.286,0.03905,0.21220302
WP-EB-301-3m,WPEB,418.5,87,0.429,0.20789,0.385,41.52955206,-71.06151632,21.138,0.04394,0.11870519
WP-EB-301-10m,WPEB,418.5,83,0.466,0.19833,0.427,41.5295203,-71.06144932,23.062,0.04574,0.10590822
WP-EB-301-30m,WPEB,418.5,85,0.428,0.20311,0.481,41.52939031,-71.06121687,21.086,0.04283,0.11617892
WP-EB-401-3m,WPEB,418.5,96,0.423,0.22939,0.396,41.5678447,-71.07330804,20.826,0.04777,0.13235803
WP-EB-401-10m,WPEB,418.5,58,0.662,0.13859,0.501,41.56784184,-71.07340831,33.254,0.04609,0.04684342
WP-EB-401-30m,WPEB,418.5,56,0.682,0.13381,0.449,41.56783617,-71.07365792,34.294,0.04589,0.04255158
WP-EB-501-3m,WPEB,418.5,83,0.441,0.19833,0.429,41.5768194,-71.07110203,21.762,0.04316,0.11086647
WP-EB-501-10m,WPEB,418.5,82,0.36,0.19594,0.491,41.57684672,-71.07102845,17.55,0.03439,0.1254016
WP-EB-501-30m,WPEB,418.5,79,0.453,0.18877,0.504,41.57691188,-71.07082552,22.386,0.04226,0.10325719
WP-EB-601-3m,WPEB,418.5,68,0.447,0.16249,0.33,41.58793451,-71.06924452,22.074,0.03587,0.08985697
WP-EB-601-10m,WPEB,418.5,73,0.508,0.17443,0.483,41.58794791,-71.06916279,25.246,0.04404,0.08581956
WP-EB-601-30m,WPEB,418.5,53,0.624,0.12664,0.472,41.58798354,-71.06893456,31.278,0.03961,0.04761664
WP-EB-701-3m,WPEB,418.5,77,0.375,0.18399,0.512,41.59862281,-71.06517235,18.33,0.03373,0.11499375
WP-EB-701-15m,WPEB,334.8,48,0.616,0.14337,0.552,41.59863413,-71.06503255,30.862,0.04425,0.05505408
WP-EB-701-30m,WPEB,251.1,23,0.754,0.0916,0.51,41.59865855,-71.06487788,38.038,0.03484,0.0225336
WP_BD_01,WP,418.5,73,0.61468,0.17443,0.428,41.50850677,-71.0514584,30.79353,0.05371,0.067211368
WP_BD_02,WP,418.5,52,0.5087,0.12425,0.368,41.50871096,-71.05161507,25.28256,0.03141,0.061044025
WP_BD_03,WP,418.5,52,0.49679,0.12425,0.404,41.50884582,-71.05171156,24.66307,0.03064,0.062523843
WP_BD_04,WP,418.5,71,0.53704,0.16965,0.408,41.50894455,-71.05179743,26.75592,0.04539,0.078541164
WP_BD_05,WP,418.5,81,0.63102,0.19355,0.442,41.50902407,-71.05187978,31.64296,0.06124,0.071416079
WP_BD_06,WP,418.5,73,0.58254,0.17443,0.457,41.50908575,-71.05197652,29.12205,0.0508,0.072817548
WP_BD_07,WP,418.5,66,0.57326,0.15771,0.451,41.50914971,-71.05214377,28.63926,0.04517,0.067301165
WP_BD_08,WP,418.5,55,0.641,0.13142,0.448,41.50921765,-71.05227947,32.16194,0.04227,0.04717978
WP_BD_09,WP,418.5,95,0.50314,0.227,0.428,41.50927093,-71.05248683,24.99343,0.05674,0.11278722
WP_BD_10,WP,418.5,69,0.5329,0.16487,0.441,41.50930151,-71.05257126,26.54083,0.04376,0.077010777
WP_BD_11,WP,418.5,61,0.57504,0.14576,0.432,41.50934587,-71.05271221,28.73184,0.04188,0.06194217
WP_BD_12,WP,418.5,62,0.58428,0.14815,0.439,41.50939154,-71.05283528,29.21266,0.04328,0.061588918
WP_BD_13,WP,418.5,80,0.50714,0.19116,0.358,41.50942954,-71.0529014,25.20136,0.04817,0.094215118
WP_BD_14,WP,418.5,61,0.59403,0.14576,0.433,41.50945382,-71.05306027,29.71958,0.04332,0.059174187
WP_BD_15,WP,418.5,62,0.56267,0.14815,0.463,41.50949306,-71.05327864,28.08905,0.04161,0.06479044
WP_BD_16,WP,418.5,91,0.32397,0.21744,0.303,41.50950051,-71.05335255,15.67637,0.03409,0.146995963
WP_BD_17,WP,418.5,63,0.59528,0.15054,0.44,41.50952262,-71.05354907,29.78434,0.04484,0.060926549
WP_BD_18,WP,418.5,54,0.4675,0.12903,0.431,41.50956483,-71.05370418,23.14014,0.02986,0.068708475
WP_BD_19,WP,418.5,67,0.51525,0.1601,0.424,41.50954518,-71.05386332,25.62299,0.04102,0.077608475
WP_BD_20,WP,418.5,92,0.37022,0.21983,0.319,41.50966838,-71.05425924,18.08166,0.03975,0.138444537
WP_BD_21,WP,418.5,67,0.57252,0.1601,0.674,41.51022511,-71.05123367,28.60098,0.04579,0.068439548
WP_BD_22,WP,418.5,83,0.46057,0.19833,0.683,41.51026527,-71.05145999,22.77968,0.04518,0.106985152
WP_BD_23,WP,418.5,63,0.59105,0.15054,0.677,41.51030131,-71.05177055,29.56475,0.04451,0.061563333
WP_BD_24,WP,418.5,74,0.50249,0.17682,0.727,41.51020256,-71.05182659,24.95955,0.04413,0.087969718
WP_BD_25,WP,418.5,103,0.39387,0.24612,0.59,41.51016565,-71.05184181,19.31098,0.04753,0.149180716
WP_BD_26,WP,418.5,90,0.35854,0.21505,0.573,41.5101297,-71.05187154,17.47395,0.03758,0.137945973
WP_BD_27,WP,418.5,99,0.33074,0.23656,0.545,41.51017769,-71.05191754,16.02845,0.03792,0.158320146
WP_BD_28,WP,418.5,98,0.4332,0.23417,0.343,41.51033593,-71.05181293,21.35617,0.05001,0.132727556
WP_BD_29,WP,418.5,70,0.59536,0.16726,0.442,41.51034966,-71.05248306,29.78871,0.04983,0.067680086
WP_BD_30,WP,418.5,99,0.54601,0.23656,0.4,41.5105832,-71.05276408,27.22273,0.0644,0.107395874
WP_BD_31,WP,418.5,97,0.33696,0.23178,0.397,41.51059874,-71.05279458,16.35175,0.0379,0.153679411
WP_BD_32,WP,418.5,61,0.58918,0.14576,0.437,41.51078509,-71.05333355,29.46728,0.04295,0.059881123
WP_BD_33,WP,418.5,66,0.4723,0.15771,0.393,41.5108697,-71.05428225,23.38951,0.03689,0.083223567
WP_BD_34,WP,418.5,69,0.51284,0.16487,0.427,41.51093101,-71.05476094,25.49749,0.04204,0.080318069
WP_BD_35,WP,418.5,75,0.52598,0.17921,0.401,41.51085082,-71.05513069,26.18083,0.04692,0.084949124
WP_BD_36,WP,418.5,86,0.50339,0.2055,0.351,41.51074942,-71.05534527,25.00604,0.05139,0.102053355
WP_BD_37,WP,418.5,83,0.42225,0.19833,0.406,41.51064741,-71.05557034,20.78686,0.04123,0.114585158
WP_BD_38,WP,418.5,88,0.43796,0.21027,0.39,41.51058492,-71.05572001,21.60391,0.04543,0.118180151
WP_BD_39,WP,418.5,85,0.39929,0.20311,0.313,41.51055637,-71.0558107,19.59332,0.0398,0.122010208
WP_BD_40,WP,418.5,82,0.38774,0.19594,0.374,41.51053293,-71.05584853,18.99243,0.03721,0.119966224
WP_BD_41,WP,418.5,82,0.38139,0.19594,0.297,41.51180705,-71.05257101,18.66237,0.03657,0.121210443
WP_BD_42,WP,418.5,100,0.40348,0.23895,0.367,41.51179787,-71.05258906,19.81078,0.04734,0.142538454
WP_BD_43,WP,418.5,59,0.52382,0.14098,0.396,41.51178192,-71.05261897,26.06855,0.03675,0.067131856
WP_BD_44,WP,418.5,64,0.36921,0.15293,0.316,41.51172247,-71.05331196,18.02915,0.02757,0.096466715
WP_BD_45,WP,418.5,54,0.51705,0.12903,0.387,41.51171985,-71.05344927,25.71674,0.03318,0.062315039
WP_BD_46,WP,418.5,61,0.51701,0.14576,0.389,41.51167876,-71.05378253,25.71431,0.03748,0.070400622
WP_BD_47,WP,418.5,87,0.54034,0.20789,0.44,41.51170692,-71.05403174,26.92785,0.05598,0.095558717
WP_BD_48,WP,418.5,133,0.22076,0.3178,0.315,41.51175117,-71.05424242,10.30943,0.03276,0.247642472
WP_BD_49,WP,418.5,123,0.27751,0.29391,0.345,41.51176136,-71.05429741,13.26026,0.03897,0.212347036
WP_BD_50,WP,418.5,60,0.48587,0.14337,0.4,41.51139162,-71.05120426,24.0952,0.03455,0.073710818
WP_BD_51,WP,418.5,61,0.59355,0.14576,0.42,41.51160947,-71.05118044,29.69465,0.04328,0.059244152
WP_BD_52,WP,418.5,47,0.45134,0.11231,0.293,41.51174039,-71.05115652,22.2999,0.02504,0.061620005
WP_BD_53,WP,418.5,55,0.49418,0.13142,0.282,41.51196766,-71.05109238,24.52711,0.03223,0.066474864
WP_BD_54,WP,418.5,93,0.34143,0.22222,0.328,41.5120636,-71.0510559,16.58445,0.03685,0.146347425
WP_BD_55,WP,418.5,78,0.35912,0.18638,0.279,41.51211719,-71.05104668,17.5044,0.03262,0.119447214
WP_BD_56,WP,418.5,56,0.6195,0.13381,0.39,41.51228467,-71.0510112,31.04387,0.04154,0.050914705
WP_BD_59,WP,418.5,73,0.4077,0.17443,0.576,41.51283861,-71.05105317,20.03022,0.03494,0.103314889
WP_BD_60,WP,418.5,109,0.28605,0.26045,0.577,41.512902,-71.05107105,13.70464,0.03569,0.185948278
WP_BD_61,WP,418.5,71,0.58369,0.16965,0.397,41.51241579,-71.0504891,29.18168,0.04951,0.070626992
WP_BD_62,WP,418.5,61,0.4715,0.14576,0.394,41.51228005,-71.05038092,23.34804,0.03403,0.07703416
WP_BD_63,WP,418.5,66,0.48318,0.15771,0.371,41.51210974,-71.05026974,23.95511,0.03778,0.081507682
WP_BD_64,WP,418.5,62,0.41648,0.14815,0.386,41.51196904,-71.05005749,20.48704,0.03035,0.086448488
WP_BD_65,WP,418.5,55,0.60154,0.13142,0.381,41.51186583,-71.04976967,30.1099,0.03957,0.052365613
WP_BD_66,WP,418.5,60,0.61842,0.14337,0.403,41.51184185,-71.04955341,30.98777,0.04443,0.054707125
WP_BD_67,WP,418.5,66,0.4423,0.15771,0.266,41.5118722,-71.04933666,21.82975,0.03443,0.087954867
WP_BD_68,WP,418.5,75,0.46666,0.17921,0.34,41.51204538,-71.04909349,23.09638,0.04139,0.095579861
WP_BD_69,WP,418.5,106,0.33892,0.25329,0.348,41.5121075,-71.04898892,16.45395,0.04168,0.167444953
WP_BD_70,WP,418.5,58,0.51201,0.13859,0.393,41.51245541,-71.04885032,25.45454,0.03528,0.067630534
WP_BD_71,WP,418.5,53,0.553,0.12664,0.374,41.51264709,-71.04886322,27.58625,0.03494,0.05660808
WP_BD_74,WP,418.5,70,0.51261,0.16726,0.449,41.5134897,-71.04936,25.4858,0.04263,0.081520851
WP_BD_75,WP,418.5,71,0.44898,0.16965,0.382,41.51401404,-71.04951444,22.1769,0.03762,0.093480543
WP_BD_76,WP,418.5,73,0.38339,0.17443,0.421,41.51433958,-71.04940961,18.76631,0.03273,0.107555282
WP_BD_77,WP,418.5,78,0.52171,0.18638,0.4,41.51489052,-71.04923995,25.95907,0.04838,0.08914369
WP_BD_78,WP,418.5,148,0.45694,0.35364,0.3,41.51553392,-71.04951577,22.59082,0.07989,0.192047738
WP_BD_79,WP,418.5,137,0.22826,0.32736,0.323,41.51585032,-71.04979823,10.69965,0.03503,0.252636806
WP_BD_80,WP,418.5,129,0.24006,0.30824,0.408,41.51618022,-71.04988855,11.3129,0.03487,0.234243906
BRN A1,BRN,418.5,115,0.33652,0.27479,0.578,41.26894119,-72.75487208,16.3289,0.04487,0.182317669
BRN A2,BRN,418.5,104,0.37458,0.24851,0.717,41.26903474,-72.75484328,18.30791,0.0455,0.155423124
BRN A3,BRN,418.5,104,0.35697,0.24851,0.792,41.26912075,-72.7548115,17.39232,0.04322,0.159799385
