dstart,dend,BHP001_16m_LOI,BHP002_16m_LOI,BHP004_16m_LOI,BRN_1_LOI,BRN_2_LOI,CHP_A2_LOI,CHP_B1_LOI,CHP_C3_LOI,COR001_LOI,COR002_LOI,COR003_LOI,COR004_LOI,GM1_B1_LOI,GM2_C2_LOI,GM3_LOI,GUL1_LOI,GUL2_LOI,HED002_16m_LOI,HED003_16m_LOI,HMP1_LOI,HMP2_LOI,HMP3_LOI,HMP4_LOI,HSB_002_10m_LOI,HSB_002_110m_LOI,HSB_002_40m_LOI,PRM1_LOI,PRM2_LOI,SAG002_0to100cm_LOI,SAG003_0to100cm_LOI,SAG004_0to100cm_LOI,SAG005_LOI,SPG003_0to100cm_LOI,WEL001_0to100cm_LOI,WEL002_0to100cm_LOI,WEL003_0to100cm_LOI,WEL004_0to100cm_LOI,WEL004_Paten_0to100cm_LOI,WEL005_0to100cm_LOI
100,110,11.068550555,11.87013063,19.288196015,17.4741902,NaN,NaN,NaN,NaN,7.429477936,NaN,NaN,24.33116536,NaN,NaN,11.91899857,10.749767737,NaN,44.761752325,4.729040456,19.11430767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.72644352,NaN,NaN,6.992842618,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,120,8.6632440615,10.986432785,12.218161505,NaN,NaN,NaN,NaN,NaN,7.9165543975,NaN,NaN,18.686800325,NaN,NaN,27.83265929,5.703026763,NaN,52.237144935,4.8657778905,11.269297292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.899791117,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120,130,8.8710643465,14.106708715,15.95209254,NaN,NaN,NaN,NaN,NaN,9.4539544605,NaN,NaN,16.204648245,NaN,NaN,NaN,5.7142304275,NaN,49.519585825,5.9934115095,17.33870968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3301813355,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,140,7.940033173,15.680604115,17.83909496,NaN,NaN,NaN,NaN,NaN,7.927532975,NaN,NaN,7.5875024385,NaN,NaN,NaN,5.7075252025,NaN,46.330097935,6.1717847,12.911334645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.660971433,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140,150,9.4143388915,20.33422953,16.40433213,NaN,NaN,NaN,NaN,NaN,6.5764924215,NaN,NaN,8.2963854095,NaN,NaN,NaN,11.097980635,NaN,23.484264335,5.6768096775,13.07080931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6055058785,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,160,10.34163487,20.87655445,NaN,NaN,NaN,NaN,NaN,NaN,6.756191401,NaN,NaN,6.9570601875,NaN,NaN,NaN,8.9447709925,NaN,23.9918021,6.352910952,11.75608459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5761638255,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160,170,11.86280012,11.85281543,NaN,NaN,NaN,NaN,NaN,NaN,4.620415047,NaN,NaN,7.464009965,NaN,NaN,NaN,10.047759014,NaN,35.22490322,6.9669191755,7.874252233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.039562351,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170,180,9.8993018335,11.49795364,NaN,NaN,NaN,NaN,NaN,NaN,5.485958595,NaN,NaN,NaN,NaN,NaN,NaN,12.712336836,NaN,35.95252097,8.140673007,2.205160991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180,190,9.58713324,12.63657623,NaN,NaN,NaN,NaN,NaN,NaN,8.569043213,NaN,NaN,NaN,NaN,NaN,NaN,12.571918285,NaN,44.92169217,8.1483459485,1.7600847911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
190,200,9.7385786975,16.341828325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.507345695,NaN,49.334671455,NaN,1.3556377231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
