study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,core_elevation,core_elevation_datum,core_elevation_method,vegetation_notes
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_mangrove_1,2013-01-15,24.51896,54.469702,RTK,-32.9389,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_mangrove_2,2013-01-15,24.519107,54.46966,RTK,-32.903,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_mangrove_3,2013-01-15,24.519283,54.46959,RTK,-32.9231,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_mangrove_4,2013-01-15,24.519429,54.469557,RTK,-32.937,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_mangrove_5,2013-01-15,24.519583,54.469501,RTK,-32.9412,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_mangrove_6,2013-01-15,24.519783,54.469409,RTK,-32.933,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_mangrove_1,2013-01-17,24.502869,54.533178,RTK,-32.9285,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_mangrove_2,2013-01-17,24.503097,54.533064,RTK,-32.9018,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_mangrove_3,2013-01-17,24.503279,54.53302,RTK,-32.9471,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_mangrove_4,2013-01-17,24.503569,54.532889,RTK,-32.7266,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_mangrove_5,2013-01-17,24.503762,54.532859,RTK,-32.7103,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_mangrove_6,2013-01-17,24.503978,54.532711,RTK,-32.7313,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Khalba East,Khalba_East_mangrove_1,2014-11-15,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba East,Khalba_East_mangrove_2,2014-11-15,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba East,Khalba_East_mangrove_3,2014-11-15,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba East,Khalba_East_mangrove_4,2014-11-15,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba East,Khalba_East_mangrove_5,2014-11-15,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba East,Khalba_East_mangrove_6,2014-11-15,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba North,Khalba_North_mangrove_1,2014-11-13,25.01736,56.35649,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba North,Khalba_North_mangrove_2,2014-11-13,25.01736,56.35649,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba North,Khalba_North_mangrove_3,2014-11-13,25.01736,56.35649,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba North,Khalba_North_mangrove_4,2014-11-13,25.01736,56.35649,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba North,Khalba_North_mangrove_5,2014-11-13,25.01736,56.35649,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba North,Khalba_North_mangrove_6,2014-11-13,25.01736,56.35649,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba South,Khalba_South_mangrove_1,2014-11-14,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba South,Khalba_South_mangrove_2,2014-11-14,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba South,Khalba_South_mangrove_3,2014-11-14,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba South,Khalba_South_mangrove_4,2014-11-14,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba South,Khalba_South_mangrove_5,2014-11-14,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba South,Khalba_South_mangrove_6,2014-11-14,NA,NA,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba West,Khalba_West_mangrove_1,NA,25.00956,56.35998,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba West,Khalba_West_mangrove_2,NA,25.00956,56.35998,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba West,Khalba_West_mangrove_3,NA,25.00956,56.35998,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba West,Khalba_West_mangrove_4,NA,25.00956,56.35998,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba West,Khalba_West_mangrove_5,NA,25.00956,56.35998,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Khalba West,Khalba_West_mangrove_6,NA,25.00956,56.35998,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_mangrove_1,2013-01-21,24.281622,53.313321,RTK,-31.9333,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_mangrove_2,2013-01-21,24.281467,53.31343,RTK,-31.9075,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_mangrove_3,2013-01-21,24.281328,53.313532,RTK,-31.8827,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_mangrove_4,2013-01-21,24.28124,53.31367,RTK,-31.8763,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_mangrove_5,2013-01-21,24.281148,53.31385,RTK,-31.8646,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_mangrove_6,2013-01-21,24.281024,53.313945,RTK,-31.8492,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_1,2014-11-17,25.77278,55.94654,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_2,2014-11-17,25.77278,55.94654,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_3,2014-11-17,25.77278,55.94654,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_4,2014-11-17,25.77278,55.94654,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_5,2014-11-17,25.77278,55.94654,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Ras al Kaimah,Ras_al_Kaimah_mangrove_6,2014-11-17,25.77278,55.94654,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_1,2013-01-18,24.450327,54.409469,RTK,-32.5619,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_2,2013-01-18,24.450346,54.409641,RTK,-32.4967,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_3,2013-01-18,24.450385,54.409799,RTK,-32.5732,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_4,2013-01-18,24.45046,54.409987,RTK,-32.6602,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_5,2013-01-18,24.450522,54.41014,RTK,-32.5399,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Salaam,Salaam_mangrove_6,2013-01-18,24.450527,54.410346,RTK,-32.4829,WGS84,RTK,mangrove
Schile-Beers_and_Megonigal_2017,Sinnia,Sinnia_mangrove_1,NA,25.56217,55.60479,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Sinnia,Sinnia_mangrove_2,NA,25.56217,55.60479,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Sinnia,Sinnia_mangrove_3,NA,25.56217,55.60479,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Sinnia,Sinnia_mangrove_4,NA,25.56217,55.60479,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Sinnia,Sinnia_mangrove_5,NA,25.56217,55.60479,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Sinnia,Sinnia_mangrove_6,NA,25.56217,55.60479,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_mangrove_1,NA,25.53317,55.59277,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_mangrove_2,NA,25.53317,55.59277,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_mangrove_3,NA,25.53317,55.59277,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_mangrove_4,NA,25.53317,55.59277,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_mangrove_5,NA,25.53317,55.59277,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_mangrove_6,NA,25.53317,55.59277,NA,NA,NA,NA,mangrove
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_microbial_mat_1,2013-01-27,24.254422,54.24068,RTK,-32.1652,WGS84,RTK,microbial mat
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_microbial_mat_2,2013-01-27,24.254364,54.240486,RTK,-32.1563,WGS84,RTK,microbial mat
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_microbial_mat_3,2013-01-27,24.254274,54.24031,RTK,-32.1738,WGS84,RTK,microbial mat
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_microbial_mat_4,2013-01-27,24.254124,54.23997,RTK,-32.1551,WGS84,RTK,microbial mat
Schile-Beers_and_Megonigal_2017,Algal Moon,Algal_Moon_microbial_mat_1,2013-01-22,24.128395,54.040272,RTK,-32.1601,WGS84,RTK,microbial mat
Schile-Beers_and_Megonigal_2017,Algal Moon,Algal_Moon_microbial_mat_2,2013-01-22,24.12858,54.040357,RTK,-32.1661,WGS84,RTK,microbial mat
Schile-Beers_and_Megonigal_2017,Algal Moon,Algal_Moon_microbial_mat_3,2013-01-22,24.128747,54.040417,RTK,-32.1768,WGS84,RTK,microbial mat
Schile-Beers_and_Megonigal_2017,Algal Moon,Algal_Moon_microbial_mat_4,2013-01-22,24.128924,54.040486,RTK,-32.2035,WGS84,RTK,microbial mat
Schile-Beers_and_Megonigal_2017,Algal Moon,Algal_Moon_microbial_mat_5,2013-01-22,24.129085,54.040561,RTK,-32.2202,WGS84,RTK,microbial mat
Schile-Beers_and_Megonigal_2017,Rafiq Island,Rafiq_Island_microbial_mat_1,2013-01-23,24.151466,54.077474,handheld,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Rafiq Island,Rafiq_Island_microbial_mat_2,2013-01-23,24.151401,54.077304,handheld,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Rafiq Island,Rafiq_Island_microbial_mat_3,2013-01-23,24.151341,54.077127,handheld,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Rafiq Island,Rafiq_Island_microbial_mat_4,2013-01-23,24.151259,54.076975,handheld,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Rafiq Island,Rafiq_Island_microbial_mat_5,2013-01-23,24.151197,54.076758,handheld,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_microbial_mat_1,2013-01-26,24.133039,53.029655,handheld,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_microbial_mat_2,2013-01-26,24.133255,53.02999,handheld,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_microbial_mat_3,2013-01-26,24.133508,53.030295,handheld,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_microbial_mat_1,NA,25.54269,55.64256,NA,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_microbial_mat_2,NA,25.54269,55.64256,NA,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_microbial_mat_3,NA,25.54269,55.64256,NA,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_microbial_mat_4,NA,25.54269,55.64256,NA,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Umm al Quwain,Umm_al_Quwain_microbial_mat_5,NA,25.54269,55.64256,NA,NA,NA,NA,microbial mat
Schile-Beers_and_Megonigal_2017,Abu al Abyad 10 yr,Abu_al_Abyad_10_yr_planted_mangrove_1,2013-01-22,24.203703,53.800099,RTK,-32.6777,WGS84,RTK,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 10 yr,Abu_al_Abyad_10_yr_planted_mangrove_2,2013-01-22,24.203764,53.800072,RTK,-32.6886,WGS84,RTK,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 10 yr,Abu_al_Abyad_10_yr_planted_mangrove_3,2013-01-22,24.203841,53.800107,NA,-32.6999,WGS84,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 10 yr,Abu_al_Abyad_10_yr_planted_mangrove_4,2013-01-22,24.203925,53.800166,NA,-32.7143,WGS84,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 10 yr,Abu_al_Abyad_10_yr_planted_mangrove_5,2013-01-22,24.204011,53.80019,NA,-32.705,WGS84,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 15 yr,Abu_al_Abyad_15_yr_planted_mangrove_1,2013-01-23,24.212971,53.798484,handheld,NA,NA,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 15 yr,Abu_al_Abyad_15_yr_planted_mangrove_2,2013-01-23,24.213082,53.79859,handheld,NA,NA,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 15 yr,Abu_al_Abyad_15_yr_planted_mangrove_3,2013-01-23,24.213219,53.798765,handheld,NA,NA,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 15 yr,Abu_al_Abyad_15_yr_planted_mangrove_4,2013-01-23,24.213356,53.798895,handheld,NA,NA,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 15 yr,Abu_al_Abyad_15_yr_planted_mangrove_5,2013-01-23,24.213478,53.799041,handheld,NA,NA,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 3 yr,Abu_al_Abyad_3_yr_planted_mangrove_1,2013-01-22,24.201495,53.802635,RTK,-32.7132,WGS84,RTK,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 3 yr,Abu_al_Abyad_3_yr_planted_mangrove_2,2013-01-22,24.201425,53.80244,RTK,-32.6949,WGS84,RTK,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 3 yr,Abu_al_Abyad_3_yr_planted_mangrove_3,2013-01-22,24.201363,53.802272,RTK,-32.6766,WGS84,RTK,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 3 yr,Abu_al_Abyad_3_yr_planted_mangrove_4,2013-01-22,24.201309,53.802106,RTK,-32.6673,WGS84,RTK,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 3 yr,Abu_al_Abyad_3_yr_planted_mangrove_5,2013-01-22,24.201225,53.80192,RTK,-32.6814,WGS84,RTK,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 5 yr,Abu_al_Abyad_5_yr_planted_mangrove_1,2013-01-22,24.203399,53.80078,NA,-32.738,WGS84,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 5 yr,Abu_al_Abyad_5_yr_planted_mangrove_2,2013-01-22,24.20331,53.800715,RTK,-32.708,WGS84,RTK,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 5 yr,Abu_al_Abyad_5_yr_planted_mangrove_3,2013-01-22,24.203229,53.80067,RTK,-32.7242,WGS84,RTK,planted mangrove
