Sample,BD,BD_N,BD_SD,LOI,LOI_N,LOI_SD,Sand,Sand_SD,Mud,Mud_SD,Clay,Clay_SD,Pb210,Pb_error,Cs137,Cs_error,Ra226,Ra_error,K40,K_error,
09WCC01_04_25,0.4149,3,0.0325,15.11,5,0.19,,,,,,,2.19,0.05,0.78,0.10,1.28,0.11,44.57,2.59,
09WCC01_04_27,0.4724,3,0.0177,13.13,4,0.60,2.00,0.10,98.00,0.10,28.30,0.80,1.70,0.04,1.11,0.10,1.30,0.10,49.36,2.36,
09WCC01_04_29,0.4022,3,0.0213,18.01,4,0.21,,,,,,,2.76,0.06,1.81,0.13,1.31,0.12,42.44,2.56,
09WCC01_04_31,0.4265,3,0.0071,15.83,5,1.03,2.30,0.50,97.70,0.50,27.00,0.50,2.24,0.05,2.42,0.13,1.68,0.11,44.45,2.27,
09WCC01_04_33,0.4692,3,0.0231,14.64,4,0.27,0.00,0.10,100.00,0.10,27.30,0.20,2.16,0.07,1.97,0.14,1.33,0.12,44.34,2.61,
09WCC01_04_35,0.4612,3,0.0442,18.17,5,0.87,0.70,0.50,99.30,0.50,28.30,0.20,2.15,0.06,1.32,0.12,1.33,0.12,42.03,2.55,
09WCC01_04_37,0.3608,3,0.0178,23.61,4,1.60,4.50,0.90,95.50,0.90,25.80,0.70,2.42,0.05,1.42,0.14,1.32,0.13,46.07,2.94,
09WCC01_04_39,0.3718,3,0.0303,21.98,4,0.72,3.70,0.50,96.30,0.50,34.50,0.30,2.10,0.05,0.62,0.08,1.06,0.09,35.88,1.96,
09WCC01_04_41,0.3983,3,0.0184,19.35,4,0.36,8.50,1.40,91.50,1.40,19.90,0.90,1.93,0.06,0.16,0.08,1.12,0.11,40.37,2.37,
09WCC01_04_43,0.4474,3,0.0111,16.51,4,0.42,4.40,1.00,95.60,1.00,20.00,0.40,1.97,0.06,0.07,0.06,1.20,0.10,40.11,2.06,
09WCC01_04_45,0.5234,3,0.0412,17.53,4,5.26,4.20,0.40,95.80,0.40,23.50,0.80,1.33,0.04,,,1.38,0.10,38.37,2.01,
09WCC01_04_47,0.5172,2,0.0039,12.54,2,0.00,2.20,0.30,97.80,0.30,26.30,1.10,1.24,0.03,,,1.31,0.12,43.40,2.42,
09WCC01_04_49,0.5156,2,0.0090,10.39,1,,1.80,0.60,98.20,0.60,25.20,1.30,1.14,0.04,,,,,,,
09WCC01_04_51,0.5236,1,,12.18,2,0.18,,,,,,,1.07,0.04,,,,,,,
09WCC01_04_53,0.5418,1,,12.96,1,,4.90,0.90,95.10,0.90,18.60,0.30,1.04,0.03,,,,,,,
09WCC01_04_55,0.5474,1,,13.30,2,0.30,,,,,,,1.16,0.03,,,,,,,
09WCC01_05_01,0.3104,2,0.0178,23.45,1,,36.80,2.70,63.20,2.70,12.20,1.00,4.06,0.11,,,,,,,
09WCC01_05_03,0.4154,2,0.0135,19.34,1,,10.70,1.70,89.30,1.70,18.30,0.50,4.11,0.08,,,,,,,
09WCC01_05_05,0.5009,2,0.0017,12.27,2,0.42,8.10,0.90,91.90,0.90,19.20,0.90,3.40,0.07,,,,,,,
09WCC01_05_07,0.5364,1,,11.08,1,,,,,,,,3.23,0.06,,,,,,,
09WCC01_05_09,0.3686,1,,14.60,1,,7.10,0.50,92.90,0.50,22.10,0.60,4.49,0.10,,,,,,,
09WCC01_05_11,0.3168,1,,15.55,1,,,,,,,,5.18,0.10,,,,,,,
09WCC01_05_13,0.2757,2,0.0005,21.89,2,0.37,21.30,2.50,78.70,2.50,16.70,0.70,5.52,0.11,,,,,,,
09WCC01_05_15,0.2978,1,,20.25,1,,34.50,3.00,65.50,3.00,13.10,1.10,6.86,0.12,,,,,,,
09WCC01_05_17,0.3221,2,0.0187,21.52,1,,25.40,4.30,74.60,4.20,14.20,2.30,5.51,0.10,,,,,,,
09WCC01_05_19,0.3591,1,,20.34,1,,,,,,,,5.64,0.10,,,,,,,
09WCC01_05_21,0.5206,3,0.0237,12.38,5,0.92,6.20,0.50,93.80,0.50,21.10,1.50,3.62,0.09,0.63,0.08,1.44,0.09,42.00,1.90,
09WCC01_05_23,0.3907,3,0.0811,15.30,4,0.65,8.60,1.20,91.40,1.20,21.00,1.30,4.42,0.10,0.62,0.09,1.25,0.10,41.03,2.11,
09WCC01_05_25,0.4648,3,0.0261,13.82,4,0.43,,,,,,,3.75,0.09,0.68,0.09,1.57,0.10,42.18,2.02,
09WCC01_05_27,0.4824,3,0.0264,12.75,4,4.92,,,,,,,4.25,0.10,1.03,0.08,1.66,0.08,41.16,1.61,
09WCC01_05_29,0.5214,3,0.0468,14.00,5,1.96,,,,,,,4.05,0.11,1.39,0.11,1.43,0.10,42.64,2.12,
09WCC01_05_31,0.4938,3,0.0293,13.89,4,1.18,8.90,1.20,91.10,1.20,17.70,1.90,3.17,0.08,1.49,0.12,1.49,0.11,42.27,2.18,
09WCC01_05_33,0.4532,3,0.0136,14.24,4,1.50,,,,,,,3.04,0.09,1.79,0.10,1.57,0.09,41.70,1.77,
09WCC01_05_35,0.4431,3,0.0290,18.13,4,2.27,,,,,,,2.87,0.08,2.00,0.14,1.50,0.12,41.03,2.37,
09WCC01_05_37,0.4677,3,0.0334,16.94,5,2.03,,,,,,,2.23,0.06,0.88,0.09,1.35,0.09,41.12,1.95,
09WCC01_05_39,0.4955,3,0.0784,20.29,4,2.36,,,,,,,2.21,0.06,0.31,0.08,1.34,0.11,39.36,2.27,
09WCC01_05_41,0.4620,3,0.0101,14.87,4,1.41,2.80,0.20,97.20,0.20,22.90,0.20,1.45,0.04,0.15,0.07,1.39,0.11,42.02,2.12,
09WCC01_05_43,0.4883,3,0.0074,11.81,4,0.77,1.70,0.40,98.30,0.40,24.70,0.50,1.19,0.03,,,1.30,0.09,47.37,2.01,
09WCC01_05_45,0.5061,1,,12.16,2,0.04,,,,,,,0.82,0.02,,,,,,,
09WCC01_05_47,0.4543,1,,10.47,1,,2.80,0.40,97.20,0.40,19.70,0.20,0.91,0.02,,,,,,,
09WCC01_05_49,0.5099,1,,10.21,1,,,,,,,,0.88,0.02,,,,,,,
09WCC01_05_51,0.5031,2,0.0111,12.05,2,0.60,2.40,0.20,97.60,0.20,20.20,0.10,0.84,0.03,,,,,,,
09WCC01_05_53,0.5145,1,,11.18,1,,,,,,,,1.00,0.03,,,,,,,
09WCC01_05_55,0.5079,1,,12.90,1,,,,,,,,1.38,0.04,,,,,,,
09WCC01_06_01,0.4457,2,0.0251,11.08,1,,5.80,1.40,94.20,1.40,20.60,1.10,4.35,0.08,,,,,,,
09WCC01_06_03,0.5571,1,,11.17,1,,2.30,0.60,97.70,0.60,22.30,0.20,4.69,0.09,,,,,,,
09WCC01_06_05,0.5083,2,0.0389,10.86,2,0.24,2.60,0.30,97.40,0.30,18.90,0.20,4.63,0.08,,,,,,,
09WCC01_06_07,0.4902,1,,9.59,2,0.01,12.20,1.50,87.80,1.50,14.10,0.70,3.83,0.07,,,,,,,
09WCC01_06_09,0.3562,1,,21.32,1,,9.30,1.90,90.70,1.90,18.40,0.60,4.60,0.08,,,,,,,
09WCC01_06_11,0.4160,2,0.0022,18.88,2,0.11,6.30,1.00,93.70,1.00,21.90,0.60,4.11,0.09,,,,,,,
09WCC01_06_13,0.4278,3,0.0310,20.16,4,1.89,,,,,,,3.12,0.05,0.52,0.09,1.47,0.11,37.37,2.21,
09WCC01_06_15,0.4419,3,0.0358,18.15,4,1.73,,,,,,,3.26,0.06,0.57,0.10,1.51,0.12,41.03,2.42,
09WCC01_06_17,0.4394,3,0.0315,17.40,5,1.43,4.60,0.30,95.40,0.30,24.10,0.30,2.87,0.05,0.50,0.08,1.56,0.10,42.09,2.11,
09WCC01_06_19,0.4884,3,0.0324,17.58,4,1.35,,,,,,,2.46,0.05,0.55,0.09,1.54,0.11,41.14,2.19,
09WCC01_06_21,0.4832,3,0.0260,15.04,4,1.59,,,,,,,2.58,0.05,0.59,0.08,1.58,0.10,44.47,2.10,
09WCC01_06_23,0.4818,3,0.0170,14.97,5,2.42,2.50,0.40,97.50,0.40,25.90,0.20,2.52,0.06,0.70,0.09,1.54,0.11,41.62,2.18,
09WCC01_06_25,0.4481,3,0.0325,16.04,4,1.84,,,,,,,2.55,0.06,1.16,0.11,1.61,0.12,41.08,2.33,
09WCC01_06_27,0.3825,3,0.0277,19.76,4,2.02,,,,,,,1.87,0.04,2.05,0.11,1.48,0.09,39.01,1.86,
09WCC01_06_29,0.4321,3,0.1088,22.09,5,3.29,2.40,1.10,97.60,1.10,25.10,0.10,1.40,0.03,1.11,0.09,1.28,0.10,38.02,1.92,
09WCC01_06_31,0.3399,3,0.0082,23.51,4,3.62,3.70,0.20,96.30,0.20,27.40,0.30,1.38,0.03,0.32,0.08,1.38,0.10,38.12,1.98,
09WCC01_06_33,0.3891,3,0.0113,19.33,4,0.57,0.20,0.30,99.80,0.30,31.70,0.50,1.28,0.03,0.13,0.06,1.31,0.09,41.94,1.90,
09WCC01_06_35,0.4163,3,0.0144,16.79,5,0.56,0.20,0.30,99.80,0.30,31.70,0.20,1.34,0.03,,,1.30,0.08,40.96,1.63,
09WCC01_06_37,0.3980,1,,21.29,1,,1.20,0.40,98.80,0.40,26.20,0.10,1.17,0.03,,,,,,,
09WCC01_06_39,0.3531,2,0.0307,16.40,1,,1.00,0.20,99.00,0.20,31.10,0.10,1.30,0.03,,,,,,,
09WCC01_06_41,0.4140,1,,17.07,2,0.42,,,,,,,1.11,0.03,,,,,,,
09WCC01_06_43,0.4194,2,0.0392,14.85,1,,2.60,0.30,97.40,0.20,23.70,0.20,1.06,0.02,,,,,,,
09WCC01_06_45,0.4111,1,,15.81,1,,,,,,,,1.08,0.04,,,,,,,
09WCC01_06_47,0.4620,2,0.0332,13.06,2,0.04,1.60,0.30,98.40,0.30,24.30,0.30,1.06,0.04,,,,,,,
09WCC01_06_48.625,0.4811,1,,11.32,1,,,,,,,,1.00,0.03,,,,,,,
09WCC01_07_01,0.3823,2,0.0186,15.30,1,,15.70,1.10,84.30,1.10,14.90,0.70,5.01,0.11,,,,,,,
09WCC01_07_03,0.4028,1,,14.35,2,0.16,5.80,0.30,94.20,0.30,17.70,0.40,4.72,0.10,,,,,,,
09WCC01_07_05,0.3672,3,0.0382,24.70,5,4.27,4.20,0.70,95.80,0.70,20.40,0.30,5.16,0.12,0.38,0.05,1.25,0.07,38.19,1.59,
09WCC01_07_07,0.2835,3,0.0184,32.74,4,3.74,4.00,0.40,96.00,0.40,21.70,0.20,6.13,0.14,0.43,0.05,0.97,0.06,31.52,1.37,
09WCC01_07_09,0.2891,3,0.0320,32.26,4,1.50,3.30,0.50,96.70,0.50,23.30,0.40,4.48,0.11,0.52,0.06,0.89,0.07,32.63,1.65,
09WCC01_07_11,0.3030,3,0.0251,25.99,4,2.20,,,,,,,3.60,0.09,0.63,0.07,1.08,0.08,35.13,1.77,
09WCC01_07_13,0.3347,3,0.0398,23.90,5,2.28,,,,,,,2.90,0.07,0.73,0.07,1.18,0.08,38.70,1.80,
09WCC01_07_15,0.3763,3,0.0046,20.11,4,1.09,,,,,,,2.66,0.07,0.87,0.07,1.19,0.07,40.15,1.63,
09WCC01_07_17,0.3904,3,0.0191,17.61,4,0.87,1.00,0.50,99.00,0.50,27.80,0.10,2.36,0.06,1.00,0.08,1.27,0.08,42.49,1.86,
09WCC01_07_19,0.3063,3,0.0115,21.53,4,0.25,,,,,,,2.24,0.06,2.10,0.12,1.43,0.10,41.65,2.14,
09WCC01_07_21,0.3942,3,0.0153,17.49,4,0.50,1.40,0.10,98.60,0.10,27.60,0.30,2.39,0.06,1.74,0.10,1.23,0.09,43.41,1.98,
09WCC01_07_23,0.4161,3,0.0376,15.60,4,0.34,1.90,0.20,98.10,0.20,27.00,0.20,1.97,0.06,0.90,0.07,1.51,0.08,45.07,1.76,
09WCC01_07_25,0.4255,3,0.0052,13.90,4,0.40,2.00,0.90,98.00,0.90,26.20,0.20,1.90,0.05,0.41,0.07,1.39,0.10,42.49,2.23,
09WCC01_07_27,0.4585,3,0.0244,14.77,5,1.45,1.20,1.10,98.80,1.10,28.10,0.50,1.85,0.05,0.26,0.06,1.18,0.09,44.10,2.24,
09WCC01_07_29,0.4716,3,0.0291,13.15,5,0.55,0.80,0.60,99.20,0.60,27.80,0.20,1.89,0.05,0.20,0.06,1.20,0.09,43.96,2.20,
09WCC01_07_31,0.4569,3,0.0166,13.19,4,0.38,1.50,0.70,98.50,0.70,27.50,0.50,1.55,0.05,0.15,0.05,1.21,0.07,41.80,1.74,
09WCC01_07_33,0.4100,1,,12.51,1,,1.50,0.40,98.50,0.40,28.50,0.20,1.58,0.03,,,,,,,
09WCC01_07_35,0.4037,1,,15.83,1,,,,,,,,1.49,0.03,,,,,,,
09WCC01_07_37,0.3153,1,,25.86,1,,,,,,,,1.32,0.04,,,,,,,
09WCC01_07_39,0.3372,2,0.0178,19.44,1,,5.20,0.50,94.80,0.50,22.70,0.30,1.39,0.03,,,,,,,
09WCC01_07_41,0.3688,2,0.0033,18.29,1,,10.20,1.20,89.80,1.20,21.40,0.70,1.45,0.04,,,,,,,
09WCC01_07_43,0.4028,1,,21.32,2,0.01,,,,,,,0.99,0.02,,,,,,,
09WCC01_07_45,0.4044,2,0.0223,36.21,1,,2.10,0.20,97.90,0.20,24.20,0.20,1.37,0.04,,,,,,,
09WCC01_07_47,0.4790,1,,25.06,1,,,,,,,,1.05,0.03,,,,,,,
09WCC01_07_49,0.4181,1,,23.07,1,,,,,,,,1.12,0.03,,,,,,,
09WCC01_08_01,0.3101,2,0.0124,20.99,1,,13.80,1.30,86.20,1.30,18.80,1.00,5.90,0.10,,,,,,,
09WCC01_08_03,0.2330,2,0.0041,26.59,1,,2.40,0.20,97.60,0.20,24.30,0.30,6.43,0.13,,,,,,,
09WCC01_08_05,0.2479,1,,27.63,2,0.28,11.90,0.90,88.10,0.90,20.10,0.50,6.49,0.12,,,,,,,
09WCC01_08_07,0.2254,3,0.0228,32.98,4,0.34,,,,,,,6.39,0.10,0.98,0.11,1.06,0.10,35.88,2.17,
09WCC01_08_09,0.2085,3,0.0136,36.07,4,0.43,3.20,0.20,96.80,0.20,27.30,0.40,7.65,0.13,1.36,0.09,0.93,0.08,36.63,1.84,
09WCC01_08_11,0.1989,3,0.0095,34.16,3,1.38,,,,,,,5.74,0.10,1.73,0.10,0.98,0.08,37.88,1.75,
09WCC01_08_13,0.2126,3,0.0098,32.83,3,0.98,2.00,0.30,98.00,0.30,30.30,0.20,6.32,0.11,2.93,0.13,1.01,0.09,35.23,1.92,
09WCC01_08_15,0.2020,3,0.0326,36.43,4,0.11,,,,,,,5.79,0.17,3.00,0.14,1.02,0.10,34.74,2.00,
09WCC01_08_17,0.1928,3,0.0109,35.01,4,1.85,,,,,,,2.40,0.06,2.98,0.18,1.01,0.13,31.93,2.46,
09WCC01_08_19,0.1613,3,0.0213,46.39,4,0.50,6.80,0.70,93.20,0.70,19.90,0.50,1.42,0.04,2.55,0.17,0.93,0.12,31.91,2.42,
09WCC01_08_21,0.1761,3,0.0031,41.18,2,1.36,,,,,,,1.49,0.04,2.39,0.19,1.02,0.15,32.15,2.91,
09WCC01_08_23,0.1636,3,0.0115,40.57,4,0.58,3.30,0.40,96.70,0.40,23.20,0.20,1.17,0.03,1.32,0.13,0.94,0.11,32.36,2.40,
09WCC01_08_25,0.1846,3,0.0159,40.66,4,0.29,,,,,,,2.15,0.05,0.91,0.10,0.87,0.10,32.68,2.19,
