"study_id","site_id","impact_class","stressor_class"
"Nahlik_and_Fennessey_2017","NWCA11-4505","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R095","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1200","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1364","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2028","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4499","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2721","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4522","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2706","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-6315","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2710","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2606","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2598","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2566","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2537","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R321","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-6301","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4503","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2931","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1180","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1181","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1743","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1745","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1748","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1749","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1753","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2264","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2265","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2267","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2269","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R004","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R005","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R015","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2390","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2389","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2386","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2382","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2281","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2279","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2278","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2276","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2271","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2749","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2747","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2181","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2179","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2032","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2381","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1543","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1193","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1189","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1187","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1186","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1184","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1179","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1547","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1695","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-WI-1011","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-WI-1018","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-WI-1054","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-WI-1065","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1278","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1292","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1316","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1321","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1612","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1345","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1346","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1348","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1357","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1377","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1023","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R304","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1651","ditched","High"
