"study_id","site_id","core_id","sample_id","DEPTH","DEPTH_FLAG","dry_bulk_density","BULK_DEN_DBF_FLAG","fraction_carbon"
"Nahlik_and_Fennessey_2017","NWCA11-1105","NWCA11-1105-3314","NWCA11-1105-1-11-CA-081-001-2",31,NA,0.8,NA,0.97
"Nahlik_and_Fennessey_2017","NWCA11-1105","NWCA11-1105-3314","NWCA11-1105-1-11-CA-081-001-3",60,"MATRIX COLOR: 10Y 3/1",0.67,NA,1.35
"Nahlik_and_Fennessey_2017","NWCA11-1105","NWCA11-1105-3314","NWCA11-1105-1-11-CA-081-001-4",125,"20-30% COARSE ORGANIC FROM PREVIOUS MARSH SURFACE. MATRIX COLOR: 10GY 3/1",NA,NA,2.43
"Nahlik_and_Fennessey_2017","NWCA11-2402","NWCA11-2402-3315","NWCA11-2402-2-11-SC-053-002-1",16,NA,0.74,NA,4.18
"Nahlik_and_Fennessey_2017","NWCA11-2402","NWCA11-2402-3315","NWCA11-2402-2-11-SC-053-002-2",60,NA,0.46,NA,2.42
"Nahlik_and_Fennessey_2017","NWCA11-2639","NWCA11-2639-3317","NWCA11-2639-1-11-VA-810-001-1",17,NA,0.03,NA,38.24
"Nahlik_and_Fennessey_2017","NWCA11-2639","NWCA11-2639-3317","NWCA11-2639-1-11-VA-810-001-2",45,NA,0.02,NA,42.64
"Nahlik_and_Fennessey_2017","NWCA11-2639","NWCA11-2639-3317","NWCA11-2639-1-11-VA-810-001-3",86,NA,0.04,NA,22.98
"Nahlik_and_Fennessey_2017","NWCA11-2639","NWCA11-2639-3317","NWCA11-2639-1-11-VA-810-001-4",125,NA,NA,NA,0.46
"Nahlik_and_Fennessey_2017","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-1",24,NA,0.38,NA,13.57
"Nahlik_and_Fennessey_2017","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-2",40,NA,1.71,NA,2.59
"Nahlik_and_Fennessey_2017","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-3",68,NA,1.74,NA,0.81
"Nahlik_and_Fennessey_2017","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-4",100,NA,NA,NA,0.25
"Nahlik_and_Fennessey_2017","NWCA11-2637","NWCA11-2637-3339","NWCA11-2637-1-11-VA-115-002-5",120,NA,NA,NA,0.11
"Nahlik_and_Fennessey_2017","NWCA11-2536","NWCA11-2536-3340","NWCA11-2536-1-11-TX-167-001-2",11,NA,1.43,NA,1.35
"Nahlik_and_Fennessey_2017","NWCA11-2536","NWCA11-2536-3340","NWCA11-2536-1-11-TX-167-001-3",32,NA,NA,"outside of valid range (0.06-2.53 g/cc)",1.01
"Nahlik_and_Fennessey_2017","NWCA11-2536","NWCA11-2536-3340","NWCA11-2536-1-11-TX-167-001-4",56,NA,NA,"outside of valid range (0.06-2.53 g/cc)",0.15
"Nahlik_and_Fennessey_2017","NWCA11-2536","NWCA11-2536-3340","NWCA11-2536-1-11-TX-167-001-5",64,NA,1.43,NA,0.42
"Nahlik_and_Fennessey_2017","NWCA11-2420","NWCA11-2420-3358","NWCA11-2420-1-11-SC-019-005-1",60,NA,1.43,NA,0.48
"Nahlik_and_Fennessey_2017","NWCA11-2402","NWCA11-2402-3366","NWCA11-2402-1-11-SC-053-001-1",20,NA,0.33,NA,2.11
"Nahlik_and_Fennessey_2017","NWCA11-2402","NWCA11-2402-3366","NWCA11-2402-1-11-SC-053-001-2",60,NA,0.33,NA,3.26
"Nahlik_and_Fennessey_2017","NWCA11-2066","NWCA11-2066-3401","NWCA11-2066-1-11-NC-031-005-1",25,NA,1.25,NA,4.42
"Nahlik_and_Fennessey_2017","NWCA11-2066","NWCA11-2066-3401","NWCA11-2066-1-11-NC-031-005-2",79,NA,1.33,NA,2.12
"Nahlik_and_Fennessey_2017","NWCA11-2025","NWCA11-2025-3403","NWCA11-2025-1-11-NC-031-001-2",53,NA,0.9,NA,9.14
"Nahlik_and_Fennessey_2017","NWCA11-2404","NWCA11-2404-3404","NWCA11-2404-1-11-SC-019-004-1",17,NA,0.95,NA,2.76
"Nahlik_and_Fennessey_2017","NWCA11-2404","NWCA11-2404-3404","NWCA11-2404-1-11-SC-019-004-2",60,NA,1.43,NA,0.55
"Nahlik_and_Fennessey_2017","NWCA11-2412","NWCA11-2412-3405","NWCA11-2412-1-11-SC-051-001-1",63,NA,1.05,NA,2.47
"Nahlik_and_Fennessey_2017","NWCA11-2666","NWCA11-2666-3408","NWCA11-2666-1-11-VA-810-003-1",16,NA,0.52,NA,12.75
"Nahlik_and_Fennessey_2017","NWCA11-2666","NWCA11-2666-3408","NWCA11-2666-1-11-VA-810-003-2",48,NA,1.65,NA,0.11
"Nahlik_and_Fennessey_2017","NWCA11-2666","NWCA11-2666-3408","NWCA11-2666-1-11-VA-810-003-3",120,NA,1.64,NA,0.01
"Nahlik_and_Fennessey_2017","NWCA11-2653","NWCA11-2653-3409",NA,6,NA,1.44,NA,NA
"Nahlik_and_Fennessey_2017","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-2",24,NA,1.66,"Db inconsistent with layer position, g/cc",1.27
"Nahlik_and_Fennessey_2017","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-3",38,NA,1.46,NA,1.06
"Nahlik_and_Fennessey_2017","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-4",60,NA,NA,NA,1.13
"Nahlik_and_Fennessey_2017","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-5",85,NA,NA,NA,13.61
"Nahlik_and_Fennessey_2017","NWCA11-2653","NWCA11-2653-3409","NWCA11-2653-1-11-VA-810-002-6",125,NA,NA,NA,3.65
"Nahlik_and_Fennessey_2017","NWCA11-2647","NWCA11-2647-3411","NWCA11-2647-1-11-VA-073-002-1",15,NA,0.36,NA,8.96
"Nahlik_and_Fennessey_2017","NWCA11-2647","NWCA11-2647-3411","NWCA11-2647-1-11-VA-073-002-2",30,"BULK DENSITY UNABLE TO BE COLLECTED",NA,NA,8.64
"Nahlik_and_Fennessey_2017","NWCA11-2647","NWCA11-2647-3411","NWCA11-2647-1-11-VA-073-002-3",60,"BULK DENSITY UNABLE TO BE COLLECTED",NA,NA,10.42
"Nahlik_and_Fennessey_2017","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-1",25,NA,0.59,NA,2.41
"Nahlik_and_Fennessey_2017","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-2",42,NA,1.21,NA,2.02
"Nahlik_and_Fennessey_2017","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-3",55,NA,1.63,NA,0.9
"Nahlik_and_Fennessey_2017","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-4",100,NA,NA,NA,0.38
"Nahlik_and_Fennessey_2017","NWCA11-2634","NWCA11-2634-3436","NWCA11-2634-1-11-VA-115-001-5",125,NA,NA,NA,0.07
"Nahlik_and_Fennessey_2017","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-1",19,NA,0.46,NA,6.79
"Nahlik_and_Fennessey_2017","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-2",29,NA,1.06,NA,3.31
"Nahlik_and_Fennessey_2017","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-3",40,NA,1.93,NA,1.83
"Nahlik_and_Fennessey_2017","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-4",70,NA,1.92,NA,0.31
"Nahlik_and_Fennessey_2017","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-5",119,NA,NA,NA,0.14
"Nahlik_and_Fennessey_2017","NWCA11-2651","NWCA11-2651-3437","NWCA11-2651-1-11-VA-115-003-6",120,NA,NA,NA,0.08
"Nahlik_and_Fennessey_2017","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-1",17,NA,0.35,NA,7.71
"Nahlik_and_Fennessey_2017","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-2",42,NA,0.37,NA,6.41
"Nahlik_and_Fennessey_2017","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-3",60,NA,0.56,NA,2.24
"Nahlik_and_Fennessey_2017","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-4",80,NA,NA,NA,2.57
"Nahlik_and_Fennessey_2017","NWCA11-2652","NWCA11-2652-3438","NWCA11-2652-1-11-VA-001-006-5",82,"FOR DEPTH, TEAM WROTE IN 82+",NA,NA,2.2
"Nahlik_and_Fennessey_2017","NWCA11-R305","NWCA11-R305-3451","NWCA11-R305-1-11-ME-009-008-1",10,NA,0.11,NA,46.35
"Nahlik_and_Fennessey_2017","NWCA11-R305","NWCA11-R305-3451","NWCA11-R305-1-11-ME-009-008-4",60,NA,1.9,NA,0.21
"Nahlik_and_Fennessey_2017","NWCA11-R306","NWCA11-R306-3452","NWCA11-R306-1-11-ME-009-009-1",NA,NA,0.06,NA,50.13
"Nahlik_and_Fennessey_2017","NWCA11-R306","NWCA11-R306-3452","NWCA11-R306-1-11-ME-009-009-2",NA,NA,0.13,NA,52.45
"Nahlik_and_Fennessey_2017","NWCA11-R306","NWCA11-R306-3452","NWCA11-R306-1-11-ME-009-009-3",NA,NA,0.1,NA,56.76
"Nahlik_and_Fennessey_2017","NWCA11-2427","NWCA11-2427-3453","NWCA11-2427-1-11-SC-043-001-1",60,NA,1.14,NA,4.58
"Nahlik_and_Fennessey_2017","NWCA11-1021","NWCA11-1021-3469","NWCA11-1021-1-11-AL-003-012-1",14,NA,0.25,NA,10.28
"Nahlik_and_Fennessey_2017","NWCA11-1021","NWCA11-1021-3469","NWCA11-1021-1-11-AL-003-012-2",33,NA,0.16,"Db inconsistent with layer position, g/cc",14.79
"Nahlik_and_Fennessey_2017","NWCA11-1021","NWCA11-1021-3469","NWCA11-1021-1-11-AL-003-012-3",127,NA,0.32,NA,5.52
"Nahlik_and_Fennessey_2017","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-1",15,"EXTRACTED USING KING'S SAMPLER",NA,NA,35.61
"Nahlik_and_Fennessey_2017","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-2",27,NA,NA,NA,35.05
"Nahlik_and_Fennessey_2017","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-3",37,NA,NA,NA,34.95
"Nahlik_and_Fennessey_2017","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-4",54,NA,NA,NA,25.88
"Nahlik_and_Fennessey_2017","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-5",64,NA,NA,NA,1.25
"Nahlik_and_Fennessey_2017","NWCA11-1017","NWCA11-1017-3471","NWCA11-1017-1-11-AL-003-010-6",77,NA,NA,NA,3.27
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-3473","NWCA11-1002-2-11-AL-003-002-2",18,NA,1.31,NA,3.59
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-3473","NWCA11-1002-2-11-AL-003-002-3",41,NA,1.78,NA,0.17
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-3473","NWCA11-1002-2-11-AL-003-002-4",62,NA,1.91,NA,0.23
"Nahlik_and_Fennessey_2017","NWCA11-1002","NWCA11-1002-3473","NWCA11-1002-2-11-AL-003-002-5",100,NA,NA,NA,0.23
"Nahlik_and_Fennessey_2017","NWCA11-1823","NWCA11-1823-3483","NWCA11-1823-1-11-ME-029-002-1",57,NA,0.42,"Db inconsistent with layer position, g/cc",7.78
"Nahlik_and_Fennessey_2017","NWCA11-1823","NWCA11-1823-3483","NWCA11-1823-1-11-ME-029-002-2",84,NA,0.2,"Db inconsistent with layer position, g/cc",14.43
"Nahlik_and_Fennessey_2017","NWCA11-1823","NWCA11-1823-3483","NWCA11-1823-1-11-ME-029-002-3",125,NA,NA,NA,2.42
"Nahlik_and_Fennessey_2017","NWCA11-1824","NWCA11-1824-3532","NWCA11-1824-1-11-ME-027-001-1",82,NA,0.16,NA,30.92
"Nahlik_and_Fennessey_2017","NWCA11-1824","NWCA11-1824-3532","NWCA11-1824-1-11-ME-027-001-2",125,NA,NA,NA,47.18
"Nahlik_and_Fennessey_2017","NWCA11-OH-3006","NWCA11-OH-3006-3545","NWCA11-OH-3006-1-11-OH-123-001-1",13,"TEXTURE: SILTY, CLAY LOAM; STRUCTURE - VERY WEAK, NO STRUCTURE, ALSO HAD GRAY DEPETION",0.96,NA,6.36
"Nahlik_and_Fennessey_2017","NWCA11-OH-3006","NWCA11-OH-3006-3545","NWCA11-OH-3006-1-11-OH-123-001-2",23,"TEXTURE: CLAY; STRUCTURE-MASSIVE; ALSO HAD THE ?? CONCENTRATIONS",1.13,NA,0.95
"Nahlik_and_Fennessey_2017","NWCA11-OH-3006","NWCA11-OH-3006-3545","NWCA11-OH-3006-1-11-OH-123-001-3",44,"TEXTURE: CLAY, STRUCTURE: MASSIVE",1.16,NA,0.96
"Nahlik_and_Fennessey_2017","NWCA11-OH-3006","NWCA11-OH-3006-3545","NWCA11-OH-3006-1-11-OH-123-001-4",60,"TEXTURE: CLAY; STRUCTURE: MASSIVE. ONLY ONE SOIL PROFILE SAMPLED - WATER WAS >25CM ACROSS SITE - USED PVC SAMPLER.",1.02,NA,0.76
"Nahlik_and_Fennessey_2017","NWCA11-2415","NWCA11-2415-3547","NWCA11-2415-1-11-SC-019-008-1",24,NA,0.33,NA,9.47
"Nahlik_and_Fennessey_2017","NWCA11-2415","NWCA11-2415-3547","NWCA11-2415-1-11-SC-019-008-2",70,NA,1.01,NA,1.77
"Nahlik_and_Fennessey_2017","NWCA11-1836","NWCA11-1836-3548","NWCA11-1836-1-11-ME-009-003-1",22,NA,0.21,"Db inconsistent with layer position, g/cc",19.24
"Nahlik_and_Fennessey_2017","NWCA11-1836","NWCA11-1836-3548","NWCA11-1836-1-11-ME-009-003-2",97,NA,0.1,"Db inconsistent with layer position, g/cc",26.8
"Nahlik_and_Fennessey_2017","NWCA11-1836","NWCA11-1836-3548","NWCA11-1836-1-11-ME-009-003-3",126,NA,NA,NA,27.41
"Nahlik_and_Fennessey_2017","NWCA11-1010","NWCA11-1010-3562","NWCA11-1010-1-11-AL-003-005-1",18,NA,0.19,NA,12.83
"Nahlik_and_Fennessey_2017","NWCA11-1010","NWCA11-1010-3562","NWCA11-1010-1-11-AL-003-005-2",27,NA,0.85,"Db inconsistent with layer position, g/cc",1.52
"Nahlik_and_Fennessey_2017","NWCA11-1010","NWCA11-1010-3562","NWCA11-1010-1-11-AL-003-005-3",38,NA,0.21,NA,10.77
"Nahlik_and_Fennessey_2017","NWCA11-1010","NWCA11-1010-3562","NWCA11-1010-1-11-AL-003-005-4",63,NA,0.28,NA,9.39
"Nahlik_and_Fennessey_2017","NWCA11-1203","NWCA11-1203-3569","NWCA11-1203-1-11-DE-005-003-1",21,NA,0.22,"Db inconsistent with layer position, g/cc",16.27
"Nahlik_and_Fennessey_2017","NWCA11-1203","NWCA11-1203-3569","NWCA11-1203-1-11-DE-005-003-2",60,NA,0.18,"Db inconsistent with layer position, g/cc",8.54
"Nahlik_and_Fennessey_2017","NWCA11-1203","NWCA11-1203-3569","NWCA11-1203-1-11-DE-005-003-3",102,NA,NA,NA,0.45
"Nahlik_and_Fennessey_2017","NWCA11-2599","NWCA11-2599-3570","NWCA11-2599-1-11-TX-057-002-1",40,NA,0.14,NA,7.12
"Nahlik_and_Fennessey_2017","NWCA11-2599","NWCA11-2599-3570","NWCA11-2599-1-11-TX-057-002-2",49,NA,0.32,NA,6.49
"Nahlik_and_Fennessey_2017","NWCA11-2599","NWCA11-2599-3570","NWCA11-2599-1-11-TX-057-002-3",74,NA,2.07,NA,0.76
"Nahlik_and_Fennessey_2017","NWCA11-2600","NWCA11-2600-3572","NWCA11-2600-1-11-TX-167-007-2",11,NA,1.61,NA,0.78
"Nahlik_and_Fennessey_2017","NWCA11-2600","NWCA11-2600-3572","NWCA11-2600-1-11-TX-167-007-3",32,NA,1.63,NA,0.16
"Nahlik_and_Fennessey_2017","NWCA11-2600","NWCA11-2600-3572","NWCA11-2600-1-11-TX-167-007-4",63,NA,1.84,NA,0.15
"Nahlik_and_Fennessey_2017","NWCA11-2582","NWCA11-2582-3573","NWCA11-2582-1-11-TX-167-006-2",32,"VERY DIFFICULT OT BREAK OPEN WITHOUT A SOIL KNIFE",2.15,"Db inconsistent with layer position, g/cc",0.97
"Nahlik_and_Fennessey_2017","NWCA11-2582","NWCA11-2582-3573","NWCA11-2582-1-11-TX-167-006-3",51,"VERY DIFFICULT OT BREAK OPEN WITHOUT A SOIL KNIFE",1.12,NA,0.9
"Nahlik_and_Fennessey_2017","NWCA11-2582","NWCA11-2582-3573","NWCA11-2582-1-11-TX-167-006-4",65,"MINERAL/SALT DEPOSITS POSSIBLY PRESENT.",1.28,NA,1.06
"Nahlik_and_Fennessey_2017","NWCA11-2531","NWCA11-2531-3574","NWCA11-2531-1-11-TX-321-001-2",23,"ROCK FRAGMENTS REPRESENTS SHELL FRAGMENTS",1.67,"Db inconsistent with layer position, g/cc",0.8
"Nahlik_and_Fennessey_2017","NWCA11-2531","NWCA11-2531-3574","NWCA11-2531-1-11-TX-321-001-3",34,"ROCK FRAGMENT VALUE IS REPRESENTED BY ABOUT 13% SHELL FRAGMENTS.",1.21,NA,1.68
"Nahlik_and_Fennessey_2017","NWCA11-2531","NWCA11-2531-3574","NWCA11-2531-1-11-TX-321-001-4",93,NA,1.57,NA,0.38
"Nahlik_and_Fennessey_2017","NWCA11-1222","NWCA11-1222-3575","NWCA11-1222-1-11-DE-003-010-1",10,NA,0.39,NA,5.46
"Nahlik_and_Fennessey_2017","NWCA11-1222","NWCA11-1222-3575","NWCA11-1222-1-11-DE-003-010-2",85,NA,0.65,NA,5.1
"Nahlik_and_Fennessey_2017","NWCA11-1222","NWCA11-1222-3575","NWCA11-1222-1-11-DE-003-010-3",125,NA,NA,NA,5.14
"Nahlik_and_Fennessey_2017","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-1",12,NA,0.11,NA,9.07
"Nahlik_and_Fennessey_2017","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-2",22,NA,0.52,"Db inconsistent with layer position, g/cc",26.58
"Nahlik_and_Fennessey_2017","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-3",36,NA,0.22,NA,7.24
"Nahlik_and_Fennessey_2017","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-4",100,NA,0.88,NA,2.34
"Nahlik_and_Fennessey_2017","NWCA11-1210","NWCA11-1210-3576","NWCA11-1210-1-11-DE-005-005-5",134,NA,NA,NA,0.22
