study_id,site_id,core_id,method_id,depth_min,depth_max,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,fraction_sand,fraction_silt
Quafisi_et_al_2024,264,301,single set of methods,12,14,4.33,0.83,bequerelsPerKilogram,37.83,10,100.5,9.83,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,264,301,single set of methods,14,16,4.5,1,bequerelsPerKilogram,35.5,10.67,105.5,10.5,bequerelsPerKilogram,0.55,0.45
Quafisi_et_al_2024,264,301,single set of methods,16,18,4.5,0.67,bequerelsPerKilogram,46.83,32.67,86.83,8.17,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,264,301,single set of methods,18,20,0.65,0.69,bequerelsPerKilogram,4.53,6.54,47.08,5.92,bequerelsPerKilogram,0.81,0.19
Quafisi_et_al_2024,264,301,single set of methods,20,22,2.83,0.7,bequerelsPerKilogram,18.94,7.59,75.69,7.52,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,264,301,single set of methods,22,24,3.44,0.91,bequerelsPerKilogram,37.96,9.45,90.67,9.27,bequerelsPerKilogram,0.83,0.17
Quafisi_et_al_2024,264,301,single set of methods,24,26,1.12,0.68,bequerelsPerKilogram,15.82,6.91,64.28,6.82,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,264,301,single set of methods,26,28,3.5,0.77,bequerelsPerKilogram,19.53,7.71,74.12,7.66,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,264,301,single set of methods,28,30,3.03,0.71,bequerelsPerKilogram,22.11,7.31,69.16,7.22,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,264,301,single set of methods,30,32,0.75,0.74,bequerelsPerKilogram,4.07,6.3,42.84,6.24,bequerelsPerKilogram,0.84,0.16
Quafisi_et_al_2024,264,301,single set of methods,32,34,2.07,0.72,bequerelsPerKilogram,11.23,6.76,57.12,6.48,bequerelsPerKilogram,0.81,0.19
Quafisi_et_al_2024,264,301,single set of methods,34,36,1.07,0.77,bequerelsPerKilogram,14.54,6.91,60.47,6.88,bequerelsPerKilogram,0.84,0.16
Quafisi_et_al_2024,264,301,single set of methods,36,38,2.78,0.79,bequerelsPerKilogram,17.29,8.34,69.39,7.54,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,264,301,single set of methods,38,40,3.01,0.73,bequerelsPerKilogram,29.1,8.14,81.76,8.05,bequerelsPerKilogram,0.81,0.19
Quafisi_et_al_2024,264,301,single set of methods,40,42,2.23,0.81,bequerelsPerKilogram,15.81,7.87,70.28,7.66,bequerelsPerKilogram,0.84,0.16
Quafisi_et_al_2024,264,301,single set of methods,42,44,3.94,0.75,bequerelsPerKilogram,6.26,6.59,54.07,6.47,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,264,301,single set of methods,44,46,2.68,0.78,bequerelsPerKilogram,14.85,7.04,60.3,6.88,bequerelsPerKilogram,0.8,0.2
Quafisi_et_al_2024,264,301,single set of methods,46,48,3.12,0.82,bequerelsPerKilogram,0,6.66,40.12,5.93,bequerelsPerKilogram,0.88,0.12
Quafisi_et_al_2024,264,301,single set of methods,48,50,2.41,0.82,bequerelsPerKilogram,0.5,6.69,41.36,6.22,bequerelsPerKilogram,0.82,0.18
Quafisi_et_al_2024,264,302,single set of methods,0,2,9.17,1,bequerelsPerKilogram,60.67,18,97.67,17.67,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,264,302,single set of methods,2,4,12,1,bequerelsPerKilogram,25,14.33,68.5,13.5,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,264,302,single set of methods,4,6,19.83,1,bequerelsPerKilogram,21.33,11.83,61.67,11.5,bequerelsPerKilogram,0.75,0.25
Quafisi_et_al_2024,264,302,single set of methods,6,8,22.17,1,bequerelsPerKilogram,20.5,12.83,66,12.67,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,264,302,single set of methods,8,10,14.89,0.85,bequerelsPerKilogram,22.89,11.52,59.23,11.07,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,264,302,single set of methods,10,12,6.39,0.44,bequerelsPerKilogram,7.73,7.19,39.63,7.13,bequerelsPerKilogram,0.78,0.22
Quafisi_et_al_2024,264,302,single set of methods,12,14,15.81,0.79,bequerelsPerKilogram,5.35,8.71,40.06,8.16,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,264,302,single set of methods,14,16,1.27,0.58,bequerelsPerKilogram,0,7.96,34.6,7.53,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,264,302,single set of methods,16,18,0.11,0.64,bequerelsPerKilogram,0,8.33,38.68,8.31,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,264,302,single set of methods,18,20,0.67,0.66,bequerelsPerKilogram,1.63,9.34,44.89,9.26,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,264,302,single set of methods,20,22,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,264,302,single set of methods,22,24,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,264,302,single set of methods,24,26,0,0,bequerelsPerKilogram,4.91,9.51,42.43,9.21,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,264,302,single set of methods,26,28,0.49,0.65,bequerelsPerKilogram,0.59,9.02,43.28,9,bequerelsPerKilogram,0.78,0.22
Quafisi_et_al_2024,264,303,single set of methods,0,2,11.83,1.33,bequerelsPerKilogram,43.17,11.67,96.83,11.5,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,264,303,single set of methods,2,4,11.83,1.33,bequerelsPerKilogram,40.5,12.17,97.83,11.67,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,264,303,single set of methods,4,6,14.67,1.33,bequerelsPerKilogram,48.5,14,115.5,12.83,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,264,303,single set of methods,6,8,15.36,1.3,bequerelsPerKilogram,60.54,13.55,118.02,13.06,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,264,303,single set of methods,8,10,20.83,1.33,bequerelsPerKilogram,72.17,15.33,138.67,14,bequerelsPerKilogram,0.87,0.13
Quafisi_et_al_2024,264,303,single set of methods,10,12,26.48,1.48,bequerelsPerKilogram,36.66,12.23,107.64,12.01,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,264,303,single set of methods,12,14,29.47,1.33,bequerelsPerKilogram,47,12.14,117.02,11.8,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,264,303,single set of methods,14,16,32.8,1.45,bequerelsPerKilogram,10.41,10.25,80.54,9.86,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,264,303,single set of methods,16,18,17.36,0.92,bequerelsPerKilogram,0,7.31,62.48,7.29,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,264,303,single set of methods,18,20,10.4,0.89,bequerelsPerKilogram,0,8.57,62.94,7.45,bequerelsPerKilogram,0.67,0.33
Quafisi_et_al_2024,264,303,single set of methods,20,22,7.29,0.6,bequerelsPerKilogram,0,6.14,58.18,6,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,264,303,single set of methods,22,24,5.54,0.76,bequerelsPerKilogram,0.27,7.49,59.18,6.94,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,264,303,single set of methods,24,26,2.41,0.41,bequerelsPerKilogram,0,5.39,52.62,5.01,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,264,303,single set of methods,26,28,0,0,bequerelsPerKilogram,0,7.63,57.34,6.46,bequerelsPerKilogram,0.67,0.33
Quafisi_et_al_2024,264,303,single set of methods,28,30,0.01,0.82,bequerelsPerKilogram,0,8.3,56.58,7.82,bequerelsPerKilogram,0.61,0.39
Quafisi_et_al_2024,264,303,single set of methods,30,32,0.65,0.71,bequerelsPerKilogram,5.65,8.91,72.78,7.99,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,264,303,single set of methods,32,34,0,0,bequerelsPerKilogram,0,6.91,53.73,6.86,bequerelsPerKilogram,0.59,0.41
Quafisi_et_al_2024,264,303,single set of methods,34,36,0.1,0.62,bequerelsPerKilogram,0.92,6.8,53.83,6.36,bequerelsPerKilogram,0.59,0.41
Quafisi_et_al_2024,264,303,single set of methods,36,38,0,0,bequerelsPerKilogram,0,6.58,47.85,6.56,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,264,303,single set of methods,38,40,0.23,0.6,bequerelsPerKilogram,0,6.51,44.12,5.77,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,264,303,single set of methods,40,42,0,0,bequerelsPerKilogram,0,6.85,60.58,6.83,bequerelsPerKilogram,0.5,0.5
Quafisi_et_al_2024,264,303,single set of methods,42,44,1.15,0.67,bequerelsPerKilogram,2.94,7.59,69.3,7.45,bequerelsPerKilogram,0.52,0.48
Quafisi_et_al_2024,264,303,single set of methods,44,46,0.09,0.6,bequerelsPerKilogram,0,6.7,60.75,6.68,bequerelsPerKilogram,0.52,0.48
Quafisi_et_al_2024,264,303,single set of methods,46,48,0,0,bequerelsPerKilogram,0,7.4,40.19,6.44,bequerelsPerKilogram,0.56,0.44
Quafisi_et_al_2024,GRN,401,single set of methods,0,2,3,0.83,bequerelsPerKilogram,13.33,7,60.5,6.83,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,2,4,3.17,0.67,bequerelsPerKilogram,19.83,6.83,66.67,6.67,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,4,6,3,0.83,bequerelsPerKilogram,0.17,7.17,48.67,6.67,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,6,8,5,1,bequerelsPerKilogram,6.67,8.5,64.5,8.33,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,8,10,4.83,0.83,bequerelsPerKilogram,26.83,9.17,69.5,8,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,10,12,6.33,1,bequerelsPerKilogram,9.33,8.17,62.67,8,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,12,14,0.67,1,bequerelsPerKilogram,0,8,53.5,7.83,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,14,16,0,0.83,bequerelsPerKilogram,0,9.17,67.17,8.5,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,16,18,0,0,bequerelsPerKilogram,7,9.5,76.33,9.33,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,18,20,0,0,bequerelsPerKilogram,4,8.17,65,8,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,20,22,0,0,bequerelsPerKilogram,0,6.67,51,6.5,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,22,24,0,0,bequerelsPerKilogram,0,6,39.67,5.67,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,24,26,0.17,0.83,bequerelsPerKilogram,8.67,6.83,50.17,6.67,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,26,28,0,0,bequerelsPerKilogram,0.21,5.95,40.94,5.4,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,28,30,0,0,bequerelsPerKilogram,0,6.59,58.78,6.51,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,30,32,0,0,bequerelsPerKilogram,14.97,9.44,80.6,9.35,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,32,34,0,0,bequerelsPerKilogram,0,8.15,68.99,8.14,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,33,35,0,0,bequerelsPerKilogram,5.5,7.17,69,7.17,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,35,37,0,0,bequerelsPerKilogram,1.33,8.33,65.67,8.17,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,37,39,0,0,bequerelsPerKilogram,3.83,8.67,68.67,8.67,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,39,41,0,0,bequerelsPerKilogram,6.33,8.5,72.33,8.33,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,42,44,0,0,bequerelsPerKilogram,6.67,7.17,63.33,7,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,44,46,0,0,bequerelsPerKilogram,3.67,7.33,54.17,7,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,46,48,0,0,bequerelsPerKilogram,2.67,6.67,51.5,6.67,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,401,single set of methods,48,50,0,0,bequerelsPerKilogram,6.5,6.83,52.33,6.5,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,402,single set of methods,0,2,8.33,1.67,bequerelsPerKilogram,84,16.83,155.33,16.5,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,402,single set of methods,4,6,9.5,2,bequerelsPerKilogram,76.67,18.5,158.5,18.33,bequerelsPerKilogram,0.49,0.51
Quafisi_et_al_2024,GRN,402,single set of methods,6,8,14.83,1.67,bequerelsPerKilogram,89.5,17.33,165.5,17.17,bequerelsPerKilogram,0.75,0.25
Quafisi_et_al_2024,GRN,402,single set of methods,8,10,13.67,1.5,bequerelsPerKilogram,62,14.5,130.5,14.17,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,GRN,402,single set of methods,10,12,10.5,1.5,bequerelsPerKilogram,65.33,16,139.67,15.33,bequerelsPerKilogram,0.82,0.18
Quafisi_et_al_2024,GRN,402,single set of methods,12,14,11.57,1.45,bequerelsPerKilogram,2754.83,238.5,128.3,13.82,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,GRN,402,single set of methods,14,16,16.97,1.81,bequerelsPerKilogram,62.57,13.83,144.42,16.33,bequerelsPerKilogram,0.8,0.2
Quafisi_et_al_2024,GRN,402,single set of methods,16,18,9.98,0.99,bequerelsPerKilogram,49.64,12.53,124.6,12.34,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,GRN,402,single set of methods,18,20,2.53,1.32,bequerelsPerKilogram,0,12.57,94.51,12.11,bequerelsPerKilogram,0.55,0.45
Quafisi_et_al_2024,GRN,402,single set of methods,20,22,1.67,1.03,bequerelsPerKilogram,16.85,11,95.11,10.7,bequerelsPerKilogram,0.42,0.58
Quafisi_et_al_2024,GRN,402,single set of methods,22,24,0,0,bequerelsPerKilogram,0,8.96,80.08,8.94,bequerelsPerKilogram,0.26,0.74
Quafisi_et_al_2024,GRN,402,single set of methods,24,26,0,0,bequerelsPerKilogram,0,9.95,79.13,9.57,bequerelsPerKilogram,0.41,0.59
Quafisi_et_al_2024,GRN,402,single set of methods,42,44,0,0,bequerelsPerKilogram,5.67,7.33,58.17,6.17,bequerelsPerKilogram,0.47,0.53
Quafisi_et_al_2024,GRN,402,single set of methods,44,46,0,0,bequerelsPerKilogram,1.56,6.48,54.77,6.29,bequerelsPerKilogram,0.57,0.43
Quafisi_et_al_2024,GRN,402,single set of methods,45,47,0,0,bequerelsPerKilogram,3.99,6.35,54.71,6.06,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,402,single set of methods,48,50,0,0,bequerelsPerKilogram,8.66,6.82,58.43,6.27,bequerelsPerKilogram,0.54,0.46
Quafisi_et_al_2024,GRN,403,single set of methods,0,2,18.17,1.33,bequerelsPerKilogram,92.33,18,188.5,17.33,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,4,6,20.17,1.5,bequerelsPerKilogram,67.33,16.5,165.33,16.33,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,8,10,18.84,1.32,bequerelsPerKilogram,86.85,17.02,178.77,16.66,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,10,12,15.79,1.65,bequerelsPerKilogram,67.37,17.95,159.45,17.27,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,12,14,14.24,1.97,bequerelsPerKilogram,69.29,18.14,150.99,18.06,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,14,16,22.17,1.54,bequerelsPerKilogram,59.62,16.39,150.4,15.44,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,16,18,30.16,1.68,bequerelsPerKilogram,46.37,15.03,145.59,14.8,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,18,20,36.64,2,bequerelsPerKilogram,35.67,16.75,139.08,15.62,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,20,22,31.38,1.67,bequerelsPerKilogram,25.02,12.82,117.01,12.79,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,22,24,11.47,1.17,bequerelsPerKilogram,26.64,12.81,126.25,12.7,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,24,26,4.13,1.3,bequerelsPerKilogram,0,12.08,89.99,11.78,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,26,28,2.47,1.2,bequerelsPerKilogram,31.77,47.96,97.73,11.4,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,28,30,1.87,0.96,bequerelsPerKilogram,13.41,11.57,108.23,11.19,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,30,32,0,0,bequerelsPerKilogram,0,11.52,96.35,11.21,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,32,34,0.58,0.94,bequerelsPerKilogram,5.63,11.1,98.43,10.59,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,34,36,0,0,bequerelsPerKilogram,6.89,9.6,102.32,9.28,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,36,38,0,0,bequerelsPerKilogram,5.2,10.39,96.48,10.13,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,38,40,0,0,bequerelsPerKilogram,0.56,8.45,80.5,8.34,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,40,42,0,0,bequerelsPerKilogram,10.11,9.41,87.01,8.87,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,42,44,0,0,bequerelsPerKilogram,21.49,9.23,91.48,8.8,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,403,single set of methods,44,46,0,0,bequerelsPerKilogram,22.3,10.41,93.45,9.3,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,404,single set of methods,0,2,17.17,1.5,bequerelsPerKilogram,117.83,20.17,205.5,19.67,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,GRN,404,single set of methods,2,4,20.24,1.33,bequerelsPerKilogram,113.49,19.59,203.32,18.81,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,GRN,404,single set of methods,4,6,17.2,1.36,bequerelsPerKilogram,112.48,18.94,196.06,18.69,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,GRN,404,single set of methods,6,8,18.28,1.92,bequerelsPerKilogram,111.03,23.19,186.6,21.36,bequerelsPerKilogram,0.82,0.18
Quafisi_et_al_2024,GRN,404,single set of methods,8,10,16.27,2.18,bequerelsPerKilogram,119.43,22.87,186.11,22.36,bequerelsPerKilogram,0.83,0.17
Quafisi_et_al_2024,GRN,404,single set of methods,10,12,20.07,1.31,bequerelsPerKilogram,45.84,12.25,111.79,12.2,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,GRN,404,single set of methods,12,14,18.88,0.98,bequerelsPerKilogram,19.47,9.07,80.61,8.65,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,GRN,404,single set of methods,14,16,16.82,1.04,bequerelsPerKilogram,0,8.15,65,7.97,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,GRN,404,single set of methods,16,18,8.36,0.99,bequerelsPerKilogram,0.39,8.82,73.04,8.73,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,GRN,404,single set of methods,18,20,9.1,0.61,bequerelsPerKilogram,0,6.7,67.04,6.57,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,GRN,404,single set of methods,20,22,5.44,0.74,bequerelsPerKilogram,0,7.47,65.49,7.31,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,GRN,404,single set of methods,22,24,0,0,bequerelsPerKilogram,0,4.32,24.44,3.89,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,GRN,404,single set of methods,24,26,6.46,0.83,bequerelsPerKilogram,7.97,10.24,84.04,8.9,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,GRN,404,single set of methods,26,28,2.36,0.44,bequerelsPerKilogram,0,6.44,60.82,5.76,bequerelsPerKilogram,0.61,0.39
Quafisi_et_al_2024,GRN,404,single set of methods,28,30,0.89,0.78,bequerelsPerKilogram,6.41,8.31,63.49,8.1,bequerelsPerKilogram,0.63,0.37
Quafisi_et_al_2024,GRN,404,single set of methods,30,32,0.71,0.62,bequerelsPerKilogram,0,6.83,59.01,6.67,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,GRN,404,single set of methods,32,34,1.61,0.63,bequerelsPerKilogram,0.53,7.2,57.66,6.69,bequerelsPerKilogram,0.75,0.25
Quafisi_et_al_2024,GRN,404,single set of methods,34,36,0.01,0.67,bequerelsPerKilogram,0,6.26,41.18,6.19,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,GRN,404,single set of methods,36,38,0.52,0.63,bequerelsPerKilogram,1.09,7.33,50.03,6.5,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,GRN,404,single set of methods,38,40,0.83,0.64,bequerelsPerKilogram,3.45,6.86,53.58,6.77,bequerelsPerKilogram,0.66,0.34
Quafisi_et_al_2024,GRN,405,single set of methods,0,2,18,1.17,bequerelsPerKilogram,79.33,16.5,171.5,16.17,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,GRN,405,single set of methods,2,4,17.83,1.33,bequerelsPerKilogram,75.67,17,167.83,16.67,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,GRN,405,single set of methods,4,6,18.16,1.34,bequerelsPerKilogram,92.54,17.48,176.03,17.39,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,GRN,405,single set of methods,6,8,17.08,1.44,bequerelsPerKilogram,66.67,17.16,142.52,15.86,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,GRN,405,single set of methods,8,10,16.85,1.2,bequerelsPerKilogram,43.75,15.9,116.87,12.85,bequerelsPerKilogram,0.8,0.2
Quafisi_et_al_2024,GRN,405,single set of methods,10,12,20.71,1.09,bequerelsPerKilogram,45.53,12.12,119.71,11.98,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,GRN,405,single set of methods,12,14,16.55,1.09,bequerelsPerKilogram,23.95,15.65,108.22,11.35,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,GRN,405,single set of methods,14,16,16.83,1.11,bequerelsPerKilogram,14.58,10.9,91.57,10.44,bequerelsPerKilogram,0.63,0.37
Quafisi_et_al_2024,GRN,405,single set of methods,16,18,13.21,1.02,bequerelsPerKilogram,9.99,11.41,88.74,10.07,bequerelsPerKilogram,0.61,0.39
Quafisi_et_al_2024,GRN,405,single set of methods,18,20,6.65,0.82,bequerelsPerKilogram,4.3,10.09,88.07,9.49,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,GRN,405,single set of methods,20,22,2.29,0.66,bequerelsPerKilogram,0,10.43,72,8.18,bequerelsPerKilogram,0.5,0.5
Quafisi_et_al_2024,GRN,405,single set of methods,22,24,0,0,bequerelsPerKilogram,0,8.64,74.89,8.52,bequerelsPerKilogram,0.51,0.49
Quafisi_et_al_2024,GRN,405,single set of methods,24,26,2.03,0.41,bequerelsPerKilogram,0,6.94,72.45,6.59,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,GRN,405,single set of methods,26,28,0.9,0.63,bequerelsPerKilogram,8.86,7.21,58.27,6.97,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,GRN,405,single set of methods,28,30,0.84,0.58,bequerelsPerKilogram,0,6.17,41.96,6.17,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,GRN,405,single set of methods,30,32,0.59,0.58,bequerelsPerKilogram,0.24,7.15,53.85,6.6,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,GRN,405,single set of methods,32,34,0.42,0.27,bequerelsPerKilogram,3.93,5.26,54.98,4.78,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,GRN,405,single set of methods,34,36,1.44,0.3,bequerelsPerKilogram,1.46,5.1,48.96,4.59,bequerelsPerKilogram,0.75,0.25
Quafisi_et_al_2024,GRN,405,single set of methods,36,38,0.8,0.38,bequerelsPerKilogram,7.63,5.79,54.77,5.37,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,GRN,405,single set of methods,38,40,0.36,0.55,bequerelsPerKilogram,3.58,7.19,53.31,6.49,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,GRN,405,single set of methods,40,42,0.48,0.55,bequerelsPerKilogram,1.82,6.78,50.76,6.23,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,GRN,405,single set of methods,42,44,0,0,bequerelsPerKilogram,0.84,6.29,41.59,5.63,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,GRN,405,single set of methods,44,46,0,0,bequerelsPerKilogram,0,6.28,38.67,5.29,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,GRN,405,single set of methods,46,48,0.34,0.5,bequerelsPerKilogram,0,6.86,34.73,5.21,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,GRN,405,single set of methods,48,50,0,0,bequerelsPerKilogram,0,5.83,29.66,5.38,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,GRN,405,single set of methods,50,52,0,0,bequerelsPerKilogram,0,5.29,37.88,5.1,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,GRN,405,single set of methods,52,54,0.22,0.49,bequerelsPerKilogram,0.44,5.98,39.44,5.37,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,WG,501,single set of methods,0,2,11.42,0.76,bequerelsPerKilogram,52.09,8.94,95.94,8.84,bequerelsPerKilogram,0.82,0.18
Quafisi_et_al_2024,WG,501,single set of methods,2,4,13,0.67,bequerelsPerKilogram,40.17,8,87.83,8,bequerelsPerKilogram,0.88,0.12
Quafisi_et_al_2024,WG,501,single set of methods,4,6,15.33,1.17,bequerelsPerKilogram,43.5,9.33,89.17,9.17,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,WG,501,single set of methods,6,8,15.67,1,bequerelsPerKilogram,45.5,9.33,89,9,bequerelsPerKilogram,0.88,0.12
