Site,Status,ID,Date,Lat,Lon,Depth_mid,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,Age,Age_e,VAR,MAR,CAR,Year
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,25.5,0.1617,0.1014,0.1156,0.7399,0.1158,2.3382,0.3742,0.4745,0.1007,0,0,   ,   ,51.3,3.8,5.3,859,,1965.5
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,26.5,0.1767,0.1182,0.1033,0.7062,0.1198,2.6153,0.3634,0.3677,0.0766,0,0,25.94,1.36,53.8,4.1,4.1,718,186,1963
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,27.5,0.1809,0.0927,0.1426,0,0,2.329,0.3321,0,0,0,0,   ,   ,56.2,4.4,4.1,747,,1960.6
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,28.5,0.1882,0.074,0.1289,0.8394,0.1146,1.2572,0.2935,0.2301,0.0731,0,0,29.51,1.34,57.6,4.7,6.9,1303,384,1959.1
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,29.5,0.193,0.0827,0.1991,0.742,0.1318,1.1909,0.4068,0,0,0,0,   ,   ,59.1,4.9,6.8,1314,,1957.7
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,30.5,0.207,0.1279,0.097,0.7616,0.0987,2.073,0.2921,0,0,0,0,24.84,1.25,62.1,5.4,3.4,705,175,1954.7
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,31.5,0.198,0.1068,0.1129,0.5964,0.0837,1.8903,0.293,0,0,0,0,   ,   ,64.9,5.9,3.6,707,,1951.9
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,32.5,0.2398,0.1415,0.0884,0.7859,0.0834,1.9155,0.2529,0,0,0,0,24.34,1.25,68.7,6.6,2.6,630,153,1948.1
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,33.5,0.2571,0.1076,0.1313,0.7998,0.0981,1.3201,0.2951,0,0,0,0,   ,   ,71.8,7.3,3.2,820,,1945
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,34.5,0.2486,0.1104,0.1141,0.7593,0.085,1.2827,0.248,0,0,0,0,22.99,1.15,75,8.1,3.1,764,176,1941.7
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,35.5,0.2529,0.0769,0.1567,0.6959,0.0837,0.748,0.2412,0,0,0,0,   ,   ,77.1,8.7,4.8,1206,,1939.6
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,36.5,0.2281,0.0795,0.1301,0.7495,0.0858,0.9095,0.2323,0,0,0,0,22.4,1.06,79.6,9.4,4,924,207,1937.2
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,37.5,0.1739,0.0919,0.1503,0.8444,0.1052,1.4545,0.3612,0,0,0,0,   ,   ,82.9,10.4,3,528,,1933.9
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,38.5,0.1935,0.0726,0.1707,0.9404,0.1317,0.9572,0.3496,0,0,0,0,21.58,1.08,85.6,11.4,3.8,731,158,1931.2
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,39.5,0.1817,0.0728,0.1717,0.9667,0.1265,0.9121,0.3465,0,0,0,0,   ,   ,88.1,12.3,3.9,708,,1928.7
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,40.5,0.1852,0.0744,0.165,0.6872,0.0954,1.114,0.3121,0,0,0,0,   ,   ,91.6,13.8,2.8,527,,1925.1
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,41.5,0.1764,0.0552,0.1964,0.9294,0.101,0.4819,0.295,0,0,0,0,   ,   ,93.2,14.5,6.4,1126,,1923.6
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,42.5,0.1544,0.0472,0.2407,0.9041,0.1259,0.3842,0.3347,0,0,0,0,18.43,0.99,94.3,15.1,8.8,1354,249,1922.4
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,43.5,0.1995,0.0347,0.2,0.6018,0.1079,0.2521,0.202,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,44.5,0.1729,0.0633,0.1904,0.6987,0.0991,0.9509,0.3294,0,0,0,0,17.57,0.95,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,45.5,0.194,0.0547,0.1337,0.8523,0.0726,0.4381,0.1872,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,47,0.3386,0.096,0.1107,0.847,0.0558,0.4447,0.1535,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,49,0.403,0.0917,0.0106,0.775,0.0443,0.2822,0.0457,0,0,0,0,11.93,0.77,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,51,0.49,0.125,0.1074,0.8526,0.0396,0.3376,0.1338,0,0,0,0,12.4,0.67,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,53,0.409,0.0911,0.1369,0.7866,0.0604,0.3613,0.1684,0,0,0,0,9.1,0.6,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,55,0.4717,0.0994,0.1167,0.865,0.0475,0.197,0.1327,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,57,0.5789,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,10.03,0.67,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,59,0.515,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,61,0.3539,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,63,0.4922,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,11.53,0.66,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,65,0.4997,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,67,0.5133,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,69,0.6005,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,7,0.53,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,71,0.5128,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,73,0.67,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCA,9/9/2016,41.6906,-71.45162,75,0.7526,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,8.03,0.48,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,0.5,0.1792,0.8563,0.0355,0.6446,0.1196,17.8356,0.6669,0,0,4.58,0.74,24.95,1.79,4,1.3,2.5,449,112,2012.8
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,1.5,0.1697,1.0481,0.0227,0.5833,0.0966,23.9884,0.5661,0,0,0,0,   ,   ,9.9,1.5,1.7,286,,2006.9
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,2.5,0.1599,0.7011,0.0391,0.9391,0.1601,18.0382,0.7591,0,0,0,0,25.35,1.57,14.9,1.7,2,321,81,2001.9
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,3.5,0.1248,0.3559,0.038,0.6655,0.1203,11.5433,0.4793,0.1745,0.0529,0,0,   ,   ,17.7,1.8,3.6,444,,1999.1
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,4.5,0.1551,0.2556,0.0547,0.673,0.1163,6.3252,0.4001,0,0,0,0,28.96,1.48,19.8,1.9,4.8,751,217,1997
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,5.5,0.1489,0.2196,0.0559,0,0,6.2958,0.3519,0,0,0,0,   ,   ,21.9,2,4.7,707,,1994.9
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,6.5,0.084,0.1423,0.0896,0,0,6.7425,0.6041,0,0,0,0,33.58,1.22,23.2,2,7.4,625,210,1993.5
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,7.5,0.0789,0.1313,0.1013,0,0,7.1455,0.7238,0,0,0,0,   ,   ,24.6,2.1,7.2,565,,1992.1
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,8.5,0.1732,0.2139,0.0658,0.4032,0.1005,5.3024,0.3887,0,0,0,0,28.89,1.57,27,2.2,4.1,718,208,1989.7
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,9.5,0.1403,0.2126,0.0676,0,0,6.4514,0.4361,0,0,0,0,   ,   ,29.6,2.4,3.9,546,,1987.2
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,10.5,0.1366,0.2978,0.0464,0,0,9.3376,0.4333,0,0,0,0,31.67,1.26,33.6,2.7,2.5,341,108,1983.2
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,11.5,0.1048,0.3377,0.051,0.7083,0.1478,12.0507,0.6673,0.7135,0.0983,0,0,   ,   ,38.1,3,2.2,231,,1978.6
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,12.5,0.1386,0.2432,0.0623,0,0,7.9421,0.4948,0.7825,0.1153,0,0,28.08,1.44,42.7,3.5,2.2,305,86,1974.1
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,13.5,0.1203,0.1314,0.1108,0.5246,0.1282,4.239,0.5431,0.4842,0.0868,0,0,   ,   ,45,3.7,4.3,512,,1971.7
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,14.5,0.1163,0.1396,0.0747,0.8371,0.1829,4.4644,0.4362,0.5418,0.0908,0,0,28.66,1.44,47.6,4,3.9,451,129,1969.1
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,15.5,0.1373,0.1243,0.0874,0.7082,0.1013,3.3376,0.3678,0,0,0,0,   ,   ,50.1,4.3,4.1,557,,1966.7
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,16.5,0.1321,0.1608,0.0877,0.7296,0.1386,4.4309,0.4733,0.4186,0.096,0,0,24.41,1.44,53.5,4.8,2.9,383,93,1963.2
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,17.5,0.1571,0.0995,0.1351,0,0,2.9891,0.4038,0,0,0,0,   ,   ,56.6,5.3,3.3,513,,1960.2
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,18.5,0.1073,0.0519,0.2335,0.7732,0.1301,1.3343,0.509,0,0,0,0,28.53,1.34,57.6,5.5,10,1078,307,1959.2
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,19.5,0.1451,0.0798,0.1195,0.6951,0.1,1.6441,0.2969,0,0,0,0,   ,   ,59.3,5.8,5.8,838,,1957.4
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,20.5,0.1393,0.0752,0.1123,0.7746,0.0848,1.5318,0.2725,0,0,0,0,29.18,1.21,61,6.1,6.1,854,249,1955.8
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,21.5,0.21,0.1305,0.0806,0.7049,0.0762,2.0154,0.2321,0,0,0,0,   ,   ,64.5,6.8,2.9,599,,1952.3
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,22.5,0.1551,0.0632,0.147,0.4389,0.1041,1.4224,0.2927,0,0,0,0,28.54,1.4,66.5,7.2,5,779,222,1950.3
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,23.5,0.1419,0.0833,0.1232,0.7738,0.084,1.7732,0.3248,0,0,0,0,   ,   ,68.9,7.8,4.1,584,,1947.9
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,24.5,0.1927,0.0977,0.114,0.6473,0.1022,1.5928,0.2751,0,0,0,0,29.13,1.24,72.1,8.6,3.1,595,173,1944.6
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,25.5,0.1439,0.0433,0.1772,0.9978,0.1069,0.3284,0.2582,0,0,0,0,   ,   ,72.7,8.7,18.9,2721,,1944.1
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,26.5,0.1624,0.0497,0.2202,0.7633,0.1071,0.504,0.2989,0,0,0,0,23.93,1.18,73.6,9,10.7,1733,415,1943.2
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,27.5,0.1672,0.0807,0.1583,0.5885,0.1278,1.624,0.3728,0,0,0,0,   ,   ,76.9,10,3,503,,1939.9
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,28.5,0.1351,0.0556,0.1895,0.978,0.1219,0.8086,0.3598,0,0,0,0,27.17,1.32,78.4,10.5,6.9,939,255,1938.4
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,29.5,0.1702,0.0689,0.1805,0.5637,0.1065,1.2616,0.3463,0,0,0,0,   ,   ,81.4,11.5,3.3,561,,1935.4
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,30.5,0.1732,0.0487,0.185,0.5992,0.0857,0.6791,0.2515,0,0,0,0,24.89,1.25,83.2,12.2,5.6,967,241,1933.6
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,31.5,0.1604,0.0528,0.2641,0.7716,0.0996,0.5904,0.3732,0,0,0,0,   ,   ,84.7,12.8,6.6,1056,,1932.1
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,32.5,0.1762,0.0585,0.1811,0.9366,0.1325,0.5885,0.3063,0,0,0,0,19.97,1,86.4,13.6,5.7,1007,201,1930.3
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,33.5,0.2802,0.0606,0.1916,0.7055,0.0877,0.3067,0.2129,0,0,0,0,   ,   ,88,14.2,6.6,1836,,1928.8
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,34.5,0.1992,0.0593,0.128,0.6917,0.0676,0.571,0.1752,0,0,0,0,15.27,0.85,90.1,15.2,4.7,932,142,1926.7
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,35.5,0.2371,0.0627,0.1222,0.686,0.0536,0.4516,0.149,0,0,0,0,   ,   ,92.3,16.3,4.6,1102,,1924.5
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,36.5,0.2486,0.0652,0.153,0.8041,0.0569,0.2839,0.1759,0,0,0,0,13.1,0.79,93.8,17.1,6.7,1656,217,1923
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,37.5,0.3017,0.0677,0.142,0.7841,0.0622,0.2876,0.1644,0,0,0,0,   ,   ,95.7,18.2,5.1,1550,,1921.1
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,38.5,0.2063,0.0441,0.1527,0.7777,0.066,0.1572,0.1573,0,0,0,0,12.59,0.06,96.5,18.6,13.2,2717,342,1920.3
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,39.5,0.1995,0.0618,0.1216,0.8032,0.0822,0.5119,0.1798,0,0,0,0,   ,   ,99,20.2,4,793,,1917.8
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,40.5,0.2143,0.0635,0.13,1.1324,0.0751,0.1364,0.1812,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,41.5,0.1875,0.0508,0.2037,0.9084,0.0904,0.2029,0.2437,0,0,0,0,14.45,0.78,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,42.5,0.2424,0.0312,0.2924,0.9572,0.0915,-0.347,0.2005,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,43.5,0.3652,0.0753,0.1288,0.8945,0.0565,0.0789,0.1375,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,44.5,0.3045,0.0736,0.1114,0.969,0.0662,0.1155,0.1378,0,0,0,0,7.91,0.47,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,45.5,0.1687,0.045,0.1857,0.7786,0.0778,0.3911,0.2307,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,47,0.4098,0.0668,0.1607,1.5134,0.1294,0.1631,0.2989,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,49,0.3531,0.0759,0.1451,1.2938,0.1137,0.622,0.3003,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,51,0.3576,0.0647,0.2437,1.4659,0.1246,0.0892,0.3989,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,53,0.4007,0.0565,0.227,1.5942,0.1499,-0.0915,0.3726,0,0,0,0,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,55,0.3634,0.0821,0.1671,1.3244,0.1367,0.7939,0.3795,0,0,0,0,11.62,0.68,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,57,0.3962,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,59,0.4434,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,61,0.4539,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,13.62,0.66,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,63,0.593,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,65,0.6401,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,67,0.5481,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,11.68,0.62,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,69,0.611,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,71,0.6782,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,73,0.8047,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.93,0.41,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,75,0.8288,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,77,0.7416,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,79,0.8864,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.43,0.34,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,81,1.0729,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,83,1.6153,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,85,2.2413,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1.62,0.13,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,87,2.0684,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,  ,,,   
Narragansett Bay,Salt marsh,MCB,9/9/2016,41.69052,-71.4516,89,3.0789,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1.25,0.05,   ,   ,  ,,,   
