study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density_measured,dry_bulk_density_modeled,fraction_organic_matter,fraction_carbon_measured,fraction_carbon_modeled,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,pb214_activity,pb214_activity_se,excess_pb210_activity,excess_pb210_activity_se
Peck_et_al_2020,Alsea,ABOR1309_02PU,46,48,NA,0.45,0.26,NA,0.074,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_02PU,48,50,NA,0.42,0.29,NA,0.081,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_03PU,0,2,NA,0.35,0.38,NA,0.107,0.48,0.07,14.96,0.6,2.06,0.16,12.9,0.76
Peck_et_al_2020,Alsea,ABOR1309_03PU,2,4,NA,0.42,0.34,NA,0.097,0.63,0.05,10.3,0.43,1.57,0.1,8.73,0.53
Peck_et_al_2020,Alsea,ABOR1309_03PU,4,6,NA,0.38,0.31,NA,0.089,0.78,0.07,7.01,0.32,1.78,0.14,5.23,0.45
Peck_et_al_2020,Alsea,ABOR1309_03PU,6,8,NA,0.44,0.32,NA,0.09,1.51,0.09,7.15,0.32,1.82,0.13,5.33,0.45
Peck_et_al_2020,Alsea,ABOR1309_03PU,8,10,NA,0.45,0.23,NA,0.066,4.11,0.12,4.77,0.27,2,0.13,2.78,0.39
Peck_et_al_2020,Alsea,ABOR1309_03PU,10,12,NA,0.47,0.21,NA,0.061,6.08,0.14,3.56,0.18,2.23,0.12,1.33,0.3
Peck_et_al_2020,Alsea,ABOR1309_03PU,12,14,NA,0.43,0.21,NA,0.06,1.76,0.09,3.45,0.18,1.9,0.12,1.55,0.3
Peck_et_al_2020,Alsea,ABOR1309_03PU,14,16,NA,0.45,0.24,NA,0.069,0.42,0.04,2.76,0.14,2.26,0.11,0.5,0.25
Peck_et_al_2020,Alsea,ABOR1309_03PU,16,18,NA,0.42,0.23,NA,0.065,0.28,0.05,1.79,0.15,2.21,0.13,0,0.28
Peck_et_al_2020,Alsea,ABOR1309_03PU,18,20,NA,0.43,0.26,NA,0.074,-0.02,0.02,1.77,0.15,2.18,0.13,0,0.29
Peck_et_al_2020,Alsea,ABOR1309_03PU,20,22,NA,0.44,0.22,NA,0.063,-0.02,0.02,1.56,0.14,0.26,0.07,1.3,0.21
Peck_et_al_2020,Alsea,ABOR1309_03PU,22,24,NA,0.4,0.23,NA,0.066,-0.02,0.02,1.08,0.14,2.32,0.13,0,0.28
Peck_et_al_2020,Alsea,ABOR1309_03PU,24,26,NA,0.43,0.2,NA,0.057,0.22,0.03,1.05,0.09,1.84,0.08,0,0.17
Peck_et_al_2020,Alsea,ABOR1309_03PU,26,28,NA,0.48,0.25,NA,0.07,-0.02,0.02,0.94,0.14,1.89,0.12,0,0.26
Peck_et_al_2020,Alsea,ABOR1309_03PU,28,30,NA,0.58,0.24,NA,0.067,0.18,0.04,0.86,0.13,1.84,0.12,0,0.25
Peck_et_al_2020,Alsea,ABOR1309_03PU,30,32,NA,0.6,0.22,NA,0.062,-0.02,0.02,0.98,0.11,2.1,0.1,0,0.21
Peck_et_al_2020,Alsea,ABOR1309_03PU,32,34,NA,0.56,0.19,NA,0.054,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_03PU,34,36,NA,0.6,0.16,NA,0.046,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_03PU,36,38,NA,0.87,0.17,NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_03PU,38,40,NA,1.05,0.18,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_03PU,40,42,NA,1.18,0.17,NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_03PU,42,44,NA,0.9,0.1,NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_03PU,44,46,NA,0.6,0.05,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_03PU,46,48,NA,0.57,0.04,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_03PU,48,50,NA,0.6,0.04,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_04PU,0,2,NA,0.4,0.28,NA,0.08,0.49,0.06,8.68,0.29,1.25,0.08,7.43,0.37
Peck_et_al_2020,Alsea,ABOR1309_04PU,2,4,NA,0.42,0.3,NA,0.084,0.69,0.06,7.32,0.23,1.03,0.07,6.3,0.3
Peck_et_al_2020,Alsea,ABOR1309_04PU,4,6,NA,0.38,0.27,NA,0.077,1.03,0.07,6.56,0.23,1.08,0.08,5.48,0.31
Peck_et_al_2020,Alsea,ABOR1309_04PU,6,8,NA,0.36,0.25,NA,0.072,1.86,0.09,5.26,0.2,1.32,0.08,3.94,0.28
Peck_et_al_2020,Alsea,ABOR1309_04PU,8,10,NA,0.43,0.18,NA,0.052,4.25,0.08,3.61,0.11,1.23,0.05,2.38,0.16
Peck_et_al_2020,Alsea,ABOR1309_04PU,10,12,NA,0.38,0.23,NA,0.064,3.77,0.11,3.24,0.17,1.1,0.07,2.13,0.24
Peck_et_al_2020,Alsea,ABOR1309_04PU,12,14,NA,0.33,0.27,NA,0.077,0.45,0.06,2.41,0.17,1.19,0.08,1.23,0.25
Peck_et_al_2020,Alsea,ABOR1309_04PU,14,16,NA,0.37,0.25,NA,0.072,0.24,0.05,2.29,0.16,1.14,0.08,1.15,0.24
Peck_et_al_2020,Alsea,ABOR1309_04PU,16,18,NA,0.39,0.23,NA,0.066,0.23,0.04,2.12,0.15,1.2,0.07,0.92,0.22
Peck_et_al_2020,Alsea,ABOR1309_04PU,18,20,NA,0.36,0.24,NA,0.069,-0.02,0.02,1.78,0.14,1.07,0.07,0.71,0.21
Peck_et_al_2020,Alsea,ABOR1309_04PU,20,22,NA,0.37,0.24,NA,0.069,0.17,0.03,1.52,0.11,1.12,0.06,0.4,0.17
Peck_et_al_2020,Alsea,ABOR1309_04PU,22,24,NA,0.37,0.25,NA,0.071,-0.02,0.02,1.95,0.12,1.1,0.06,0.86,0.18
Peck_et_al_2020,Alsea,ABOR1309_04PU,24,26,NA,0.43,0.23,NA,0.065,0.18,0.03,1.45,0.1,1.05,0.06,0.4,0.15
Peck_et_al_2020,Alsea,ABOR1309_04PU,26,28,NA,0.34,0.26,NA,0.074,0.15,0.04,1.46,0.13,1.11,0.06,0.35,0.2
Peck_et_al_2020,Alsea,ABOR1309_04PU,28,30,NA,0.35,0.29,NA,0.083,-0.02,0.02,1.41,0.15,0.96,0.08,0.45,0.23
Peck_et_al_2020,Alsea,ABOR1309_04PU,30,32,NA,0.4,0.27,NA,0.077,-0.02,0.02,1.31,0.13,1.09,0.07,0.22,0.21
Peck_et_al_2020,Alsea,ABOR1309_04PU,32,34,NA,0.41,0.26,NA,0.073,0.12,0.03,1.35,0.11,1.02,0.06,0.34,0.17
Peck_et_al_2020,Alsea,ABOR1309_04PU,34,36,NA,0.43,0.26,NA,0.074,0.2,0.04,1.34,0.14,1.18,0.07,0.16,0.21
Peck_et_al_2020,Alsea,ABOR1309_04PU,36,38,NA,0.45,0.24,NA,0.067,-0.02,0.02,1.3,0.15,1.12,0.08,0.18,0.22
Peck_et_al_2020,Alsea,ABOR1309_04PU,38,40,NA,0.49,0.2,NA,0.057,0.12,0.04,1.23,0.13,1.25,0.07,0,0.2
Peck_et_al_2020,Alsea,ABOR1309_04PU,40,42,NA,0.46,0.2,NA,0.057,-0.02,0.02,1.15,0.13,1.15,0.07,0.01,0.2
Peck_et_al_2020,Alsea,ABOR1309_04PU,42,44,NA,0.51,0.18,NA,0.051,-0.02,0.02,1.14,0.1,1.23,0.06,0,0.16
Peck_et_al_2020,Alsea,ABOR1309_04PU,44,46,NA,0.46,0.17,NA,0.049,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_04PU,46,48,NA,0.47,0.17,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1309_04PU,48,50,NA,0.47,0.17,NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,0,2,0.3,0.32,0.45,0.15401188959660297,0.128,0.39,0.08,15.56,0.48,0.82,0.1,14.75,0.58
Peck_et_al_2020,Alsea,ABOR1702_01PU,2,4,0.2,0.34,0.41,NA,0.116,0.43,0.08,12.05,0.41,0.97,0.1,11.08,0.51
Peck_et_al_2020,Alsea,ABOR1702_01PU,4,6,0.42,0.36,0.32,NA,0.091,0.65,0.08,6.99,0.32,1.22,0.1,5.77,0.42
Peck_et_al_2020,Alsea,ABOR1702_01PU,6,8,0.16,0.28,0.35,NA,0.098,1.6,0.12,8.4,0.34,0.85,0.1,7.54,0.44
Peck_et_al_2020,Alsea,ABOR1702_01PU,8,10,0.22,0.27,0.26,NA,0.073,3.2,0.13,4.98,0.24,1.14,0.09,3.84,0.33
Peck_et_al_2020,Alsea,ABOR1702_01PU,10,12,0.77,0.32,0.2,NA,0.055,3.42,0.12,2.76,0.18,1.28,0.08,1.48,0.26
Peck_et_al_2020,Alsea,ABOR1702_01PU,12,14,0.26,0.45,0.21,NA,0.058,4.9,0.16,3.53,0.21,1.16,0.09,2.36,0.3
Peck_et_al_2020,Alsea,ABOR1702_01PU,14,16,0.18,0.23,0.27,NA,0.076,2.17,0.1,3.41,0.19,0.96,0.08,2.45,0.27
Peck_et_al_2020,Alsea,ABOR1702_01PU,16,18,0.23,0.25,0.26,NA,0.073,0.37,0.05,2.79,0.14,0.97,0.06,1.81,0.21
Peck_et_al_2020,Alsea,ABOR1702_01PU,18,20,0.34,0.31,0.18,NA,0.052,0.22,0.04,1.75,0.15,1.09,0.07,0.66,0.22
Peck_et_al_2020,Alsea,ABOR1702_01PU,20,22,0.45,0.33,0.22,NA,0.062,0.3,0.06,1.52,0.17,1.19,0.08,0.33,0.25
Peck_et_al_2020,Alsea,ABOR1702_01PU,22,24,0.33,0.35,0.27,NA,0.078,0.37,0.07,1.65,0.18,0.83,0.08,0.83,0.26
Peck_et_al_2020,Alsea,ABOR1702_01PU,24,26,NA,0.27,0.17,NA,0.047,-0.02,0.02,0.84,0.13,1.1,0.07,0,0.2
Peck_et_al_2020,Alsea,ABOR1702_01PU,26,28,NA,0.33,0.14,NA,0.039,0.14,0.03,0.94,0.1,1.07,0.05,0,0.15
Peck_et_al_2020,Alsea,ABOR1702_01PU,28,30,NA,0.7,0.16,NA,0.045,-0.02,0.02,1.03,0.13,1.19,0.07,0,0.2
Peck_et_al_2020,Alsea,ABOR1702_01PU,30,34,NA,0.5,0.22,NA,0.061,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,34,36,NA,0.37,0.24,NA,0.068,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,36,38,NA,0.36,0.25,NA,0.072,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,38,40,NA,0.4,0.2,NA,0.058,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,40,42,NA,0.39,0.22,NA,0.061,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,42,44,NA,0.42,0.21,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,44,46,NA,0.43,0.2,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,46,48,NA,0.39,0.24,NA,0.069,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,48,50,NA,0.41,0.23,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,50,52,NA,0.4,0.21,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,52,54,NA,0.41,0.18,NA,0.051,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,54,56,NA,0.4,0.19,NA,0.055,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,56,58,NA,0.39,0.22,NA,0.061,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,58,60,NA,0.39,0.22,NA,0.061,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,60,62,NA,0.4,0.21,NA,0.061,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,62,64,NA,0.4,0.22,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,64,66,NA,0.43,0.2,NA,0.057,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,66,68,NA,0.43,0.2,NA,0.057,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,68,70,NA,0.42,0.18,NA,0.052,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,70,72,NA,0.41,0.21,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,72,74,NA,0.45,0.17,NA,0.049,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,74,76,NA,0.46,0.15,NA,0.043,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,76,78,NA,0.44,0.19,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,78,80,NA,0.48,0.17,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,80,82,NA,0.46,0.16,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,82,84,NA,0.47,0.16,NA,0.046,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,84,86,NA,0.58,0.11,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,86,88,NA,0.75,0.09,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,88,90,NA,0.92,0.06,NA,0.017,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,90,91,NA,0.99,0.06,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,91,92,NA,0.96,0.05,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,92,93,NA,0.9,0.07,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,93,94,NA,1.01,0.07,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,94,95,NA,1.15,0.06,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,95,96,NA,0.95,0.04,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,96,97,NA,1.06,0.06,NA,0.017,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,97,98,NA,0.96,0.05,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Alsea,ABOR1702_01PU,98,99,NA,1.06,0.07,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA
