study_id,site_id,core_id,abbreviated_core_id,genus,species
Peck_et_al_2020,Netarts,NTOR1009_04PU,NT-4,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1709_01PU,NT05,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1709_01PU,NT05,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1709_02PU,NT06,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1709_02PU,NT06,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1709_03PU,NT07,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1709_03PU,NT07,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1709_04PU,NT08,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1709_04PU,NT08,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1802_01PU,NT09,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1802_01PU,NT09,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1802_02PU,NT10,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1802_02PU,NT10,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1802_05PU,NT13,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1802_05PU,NT13,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1802_06PU,NT14,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1802_06PU,NT14,Juncus,balticus
Peck_et_al_2020,Netarts,NTOR1802_07PU,NT15,Alnus,rubra
Peck_et_al_2020,Netarts,NTOR1802_07PU,NT15,Scirpus,micranthus
Peck_et_al_2020,Netarts,NTOR1802_08PU,NT16,Malus,fusca
Peck_et_al_2020,Netarts,NTOR1802_08PU,NT16,Lonicera,involucrata
Peck_et_al_2020,Netarts,NTOR1802_08PU,NT16,Carex,obnupta
Peck_et_al_2020,Netarts,NTOR1802_09PU,NT17,Deschampsia,cespitosa
Peck_et_al_2020,Netarts,NTOR1802_09PU,NT17,Juncus,balticus
Peck_et_al_2020,Salmon River,SROR1509_01PU,SR01,Carex,lyngbyei
Peck_et_al_2020,Salmon River,SROR1509_01PU,SR01,Potentilla,anserina
Peck_et_al_2020,Salmon River,SROR1509_02PU,SR02,Deschampsia,cespitosa
Peck_et_al_2020,Salmon River,SROR1509_02PU,SR02,Agrostis,stolonifera
Peck_et_al_2020,Salmon River,SROR1509_03PU,SR03,Deschampsia,cespitosa
Peck_et_al_2020,Salmon River,SROR1509_03PU,SR03,Agrostis,stolonifera
Peck_et_al_2020,Salmon River,SROR1509_04PU,SR04,Agrostis,stolonifera
Peck_et_al_2020,Salmon River,SROR1809_01PU,SR05,Juncus,balticus
Peck_et_al_2020,Salmon River,SROR1809_01PU,SR05,Agrostis,stolonifera
Peck_et_al_2020,Salmon River,SROR1809_01PU,SR05,Distichlis,spicata
Peck_et_al_2020,Salmon River,SROR1809_02PU,SR06,Juncus,balticus
Peck_et_al_2020,Salmon River,SROR1809_02PU,SR06,Agrostis,stolonifera
Peck_et_al_2020,Salmon River,SROR1809_02PU,SR06,Distichlis,spicata
Peck_et_al_2020,Salmon River,SROR1809_03PU,SR07,Juncus,balticus
Peck_et_al_2020,Salmon River,SROR1809_03PU,SR07,Agrostis,stolonifera
Peck_et_al_2020,Salmon River,SROR1809_03PU,SR07,Distichlis,spicata
Peck_et_al_2020,Salmon River,SROR1809_04PU,SR08,Juncus,balticus
Peck_et_al_2020,Salmon River,SROR1809_04PU,SR08,Agrostis,stolonifera
Peck_et_al_2020,Salmon River,SROR1809_04PU,SR08,Distichlis,spicata
Peck_et_al_2020,Tillamook,TBOR1504_01PU,TB01,Carex,lyngbyei
Peck_et_al_2020,Tillamook,TBOR1504_02PU,TB02,Carex,lyngbyei
Peck_et_al_2020,Tillamook,TBOR1504_03PU,TB03,Deschampsia,cespitosa
Peck_et_al_2020,Tillamook,TBOR1504_03PU,TB03,Potentilla,anserina
Peck_et_al_2020,Tillamook,TBOR1504_04PU,TB04,Carex,lyngbyei
Peck_et_al_2020,Tillamook,TBOR1504_05PU,TB05,Deschampsia,cespitosa
Peck_et_al_2020,Tillamook,TBOR1504_06PU,TB06,Picea,sitchensis
Peck_et_al_2020,Tillamook,TBOR1504_06PU,TB06,Lonicera,involucrata
Peck_et_al_2020,Youngs Bay,YBOR1502_01PU,YB01,Schoenoplectus,tabernaemontani
Peck_et_al_2020,Youngs Bay,YBOR1502_02PU,YB02,Rosa,nutkana
Peck_et_al_2020,Youngs Bay,YBOR1502_02PU,YB02,Spiraea,douglasii
Peck_et_al_2020,Youngs Bay,YBOR1502_02PU,YB02,Salix,hookeriana
Peck_et_al_2020,Youngs Bay,YBOR1502_02PU,YB02,Athyrium,filix-femina
Peck_et_al_2020,Youngs Bay,YBOR1502_02PU,YB02,Oenanthe,sarmentosa
Peck_et_al_2020,Youngs Bay,YBOR1502_03PU,YB03,Carex,lyngbyei
Peck_et_al_2020,Youngs Bay,YBOR1502_04PU,YB04,Schoenoplectus,tabernaemontani
Peck_et_al_2020,Youngs Bay,YBOR1502_04PU,YB04,Athyrium,filix-femina
Peck_et_al_2020,Youngs Bay,YBOR1502_05PU,YB05,Salix,hookeriana
Peck_et_al_2020,Youngs Bay,YBOR1502_05PU,YB05,Athyrium,filix-femina
