study_id,site_id,core_id,depth_min,depth_max,depth_max_decompressed,dry_bulk_density,fraction_carbon_measured,fraction_carbon_modeled,fraction_carbon_density_measured,fraction_carbon_density_modeled,pb210_age,pb210_age_sd,c14_age,c14_age_sd,c14_material,depth_interval_notes
Belshe_et_al_2019,SM,SM05,34,35,69,1.3414,NA,0.021166,NA,0.0284,NA,NA,105,28,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,35,36,70,1.1518,0.023724,NA,0.0273,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,36,37,71,1.2478,NA,0.025018,NA,0.0312,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,37,38,72,1.1852,0.026313,NA,0.0312,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,38,39,73,1.0851,NA,0.032881,NA,0.0357,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,39,40,74,1.0409,0.03945,NA,0.0411,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,40,41,75,1.2956,NA,0.039474,NA,0.0511,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,41,42,76,0.8286,0.039497,NA,0.0327,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,42,43,77,0.5222,NA,0.038481,NA,0.0201,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,43,44,78,0.6613,0.037464,NA,0.0248,NA,NA,NA,366,25,seagrass_sheath,NA
Belshe_et_al_2019,SM,SM05,44,45,79,1.0713,NA,0.036599,NA,0.0392,NA,NA,439,25,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,45,46,80,1.107,0.035734,NA,0.0396,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM05,46,47,81,1.7021,NA,0.036167,NA,0.0616,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM05,47,48,82,0.7635,NA,0.022757999999999997,NA,0.0174,NA,NA,NA,NA,NA,Organic carbon modeled by gapfilled exponential decay
Belshe_et_al_2019,SM,SM05,48,49,83,1.1432,NA,0.022649,NA,0.0259,NA,NA,NA,NA,NA,Organic carbon modeled by gapfilled exponential decay
Belshe_et_al_2019,SM,SM05,49,50,84,0.7954,NA,0.02254,NA,0.0179,NA,NA,NA,NA,NA,Organic carbon modeled by gapfilled exponential decay
Belshe_et_al_2019,SM,SM05,50,51,85,1.0363,NA,0.022433,NA,0.0232,NA,NA,NA,NA,NA,Organic carbon modeled by gapfilled exponential decay
Belshe_et_al_2019,SM,SM10,0,1,3,0.3414,0.026543,NA,0.0091,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,1,2,6,0.2934,0.025266999999999998,NA,0.0074,NA,-62.8,1.2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,2,3,8,0.3353,0.024557000000000002,NA,0.0082,NA,-60.8,1.23,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,3,4,11,0.36870000000000003,0.022997,NA,0.0085,NA,-58.9,1.25,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,4,5,14,0.323,0.027322000000000003,NA,0.0088,NA,-56.4,1.29,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,5,6,16,0.4186,0.016555,NA,0.0069,NA,-54.2,1.33,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,6,7,18,0.4443,0.015333000000000001,NA,0.0068,NA,-51.9,1.37,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,7,8,20,0.513,0.015436,NA,0.0079,NA,-49.3,1.41,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,8,9,23,0.5048,0.012364,NA,0.0062,NA,-46.6,1.45,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,9,10,25,0.4947,0.01298,NA,0.0064,NA,-43.3,1.5,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,10,11,26,0.6039,0.014962,NA,0.009,NA,-39.8,1.58,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,11,12,28,0.5549,0.028461,NA,0.0158,NA,-34.7,1.69,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,12,13,30,0.5227,0.022902999999999996,NA,0.012,NA,-30.6,1.78,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,13,14,32,0.5822,0.011271,NA,0.0066,NA,-25.5,1.97,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,14,15,34,0.7235,0.012657,NA,0.0092,NA,-19.6,2.18,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,15,16,35,0.8947,0.011263,NA,0.0101,NA,-13.2,2.49,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,16,17,37,0.8084,0.008486,NA,0.0069,NA,-7.97,2.6,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,17,18,38,0.931,0.009868,NA,0.0092,NA,-2.4,2.84,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,18,19,40,0.8678,0.010509999999999999,NA,0.0091,NA,3.89,3.17,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,19,20,41,0.8796,0.014028,NA,0.0123,NA,8.97,3.38,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,20,21,43,0.7511,NA,0.012268,NA,0.0092,15,3.66,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,21,22,44,0.92490000000000006,0.010508,NA,0.0097,NA,22.8,4.19,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,22,23,46,1.1148,NA,0.010683,NA,0.0119,39.3,5.69,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,23,24,47,0.9607,0.010859,NA,0.0104,NA,74,10.2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,24,25,48,0.8141,NA,0.0102,NA,0.0083,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,25,26,50,0.9187,0.009541,NA,0.0088,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,26,27,51,1.0665,NA,0.012842,NA,0.0137,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,27,28,52,1.0216,0.016143,NA,0.0165,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,28,29,53,0.9016,NA,0.014664,NA,0.0132,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,29,30,55,1.0595,0.013185,NA,0.014,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,30,31,56,1.0241,NA,0.013432999999999999,NA,0.0138,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,31,32,57,1.2123,0.013682000000000001,NA,0.0166,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,32,33,58,1.2482,NA,0.014774,NA,0.0184,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,33,34,59,1.2143,0.015866,NA,0.0193,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,34,35,61,1.0788,NA,0.013743,NA,0.0148,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,35,36,62,1.4232,0.011619999999999998,NA,0.0165,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,36,37,63,1.2563,NA,0.01006,NA,0.0126,NA,NA,449,28,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,37,38,64,1.2768,0.008499,NA,0.0109,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,38,39,65,1.2544,NA,0.008938,NA,0.0112,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,39,40,66,1.375,0.009377,NA,0.0129,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,40,41,67,1.4529,NA,0.010383999999999999,NA,0.0151,NA,NA,384,29,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,41,42,68,1.1956,0.011391,NA,0.0136,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,42,43,69,1.3442,NA,0.009111000000000001,NA,0.0122,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,43,44,71,1.5046,0.006832,NA,0.0103,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,44,45,72,1.2858,NA,0.006843,NA,0.0088,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,45,46,73,1.4788,0.006854,NA,0.0101,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,46,47,74,1.3038,NA,0.006493,NA,0.0085,NA,NA,479,26,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,47,48,75,1.306,0.006131999999999999,NA,0.008,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,48,49,76,1.29,NA,0.006136,NA,0.0079,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,49,50,77,1.2474,0.00614,NA,0.0077,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,50,51,78,1.5529,NA,0.006219,NA,0.0097,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,51,52,79,1.3875,0.006299,NA,0.0087,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,52,53,80,1.386,NA,0.00688,NA,0.0095,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,53,54,81,1.4684,0.007462,NA,0.011,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,54,55,82,1.3184,NA,0.006523,NA,0.0086,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,55,56,83,1.4058,0.005585,NA,0.0079,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,56,57,84,1.4334,NA,0.005719999999999999,NA,0.0082,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,57,58,85,1.4442,0.005855,NA,0.0085,NA,NA,NA,NA,NA,NA,NA
