study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,bi214_activity,bi214_activity_se,bi214_unit,age,age_min,age_max,depth_interval_notes
Langston_et_al_2022,Goodwin Island,OT3_3,push core,30,31,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,31,32,NA,NA,NA,0.02,0,dpm/g,0.27,0.11,1.26,0.09,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,32,33,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,33,34,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,34,35,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,35,36,NA,NA,NA,0.04,0,dpm/g,0.32,0.14,1.17,0.09,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,36,37,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,37,38,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,38,39,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,39,40,NA,NA,NA,0.02,0,dpm/g,-0.09,0.07,0.85,0.06,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,push core,40,41,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,1,2,NA,NA,NA,0.07,0,dpm/g,2.14,0.22,2.61,0.19,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,2,3,NA,NA,NA,0.11,0,dpm/g,1.93,0.22,2.43,0.18,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,3,4,NA,NA,NA,0.13,0,dpm/g,0.95,0.13,1.5,0.11,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,4,5,NA,NA,NA,0.05,0,dpm/g,2.81,0.25,3.26,0.24,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,5,6,NA,NA,NA,0.09,0,dpm/g,1.79,0.21,2.29,0.17,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,6,7,NA,NA,NA,0.13,0,dpm/g,1.17,0.16,1.7,0.12,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,7,8,NA,NA,NA,0.13,0,dpm/g,0.7,0.13,1.19,0.09,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,8,9,NA,NA,NA,0.13,0,dpm/g,0.69,0.14,1.18,0.09,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,9,10,NA,NA,NA,0.07,0,dpm/g,0.56,0.13,1.11,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,10,11,NA,NA,NA,0.1,0,dpm/g,0.31,0.13,0.8,0.06,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,11,12,NA,NA,NA,0.09,0,dpm/g,0.36,0.19,0.93,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,12,13,NA,NA,NA,0.02,0,dpm/g,0.24,0.2,0.75,0.05,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,13,14,NA,NA,NA,0.05,0,dpm/g,0.42,0.21,1.04,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,14,15,NA,NA,NA,0.03,0,dpm/g,0.45,0.2,1.03,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,15,16,NA,NA,NA,0.05,0,dpm/g,0.22,0.08,0.88,0.06,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,16,17,NA,NA,NA,0.07,0,dpm/g,0.24,0.18,0.91,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,17,18,NA,NA,NA,0.05,0,dpm/g,0.47,0.14,1.14,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,18,19,NA,NA,NA,0.05,0,dpm/g,0.69,0.11,1.36,0.1,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,19,20,NA,NA,NA,0.07,0,dpm/g,0.66,0.21,1.322,0.1,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,20,21,NA,NA,NA,0.1,0,dpm/g,0.99,0.14,1.56,0.11,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,21,22,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,22,23,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,23,24,NA,NA,NA,0.08,0,dpm/g,0.9,0.13,1.46,0.11,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,24,25,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,25,26,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,26,27,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,27,28,NA,NA,NA,0.07,0,dpm/g,1.17,0.13,1.67,0.12,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,28,29,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,29,30,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,30,31,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,31,32,NA,NA,NA,0.07,0,dpm/g,0.56,0.13,1.07,0.08,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,32,33,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,33,34,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,34,35,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,35,36,NA,NA,NA,0.03,0,dpm/g,0.54,0.1,0.96,0.07,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,36,37,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,37,38,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,38,39,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,39,40,NA,NA,NA,0.03,0,dpm/g,0.18,0.1,0.61,0.04,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,push core,40,41,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,1,2,0.32096280014145373,0.10076357239945617,4.284375334045758,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,2,3,0.5455319169217095,0.06360062893081758,2.645151157242592,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,3,4,0.716378282661296,0.2482585515818968,11.471149774114405,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,4,5,0.6977584717687955,0.06160778371480983,2.5591993239486626,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,5,6,0.7106662913311994,0.048798237677510715,2.0114612071111995,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,6,7,0.7894011612406535,0.05607034422932846,2.321410856723023,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,7,8,0.7032002373204101,0.05114824587120107,2.111333411240564,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,8,9,0.7342851678281578,0.05349109142438112,2.2111760785195322,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,9,10,0.6466806283079576,0.050543498844828186,2.0856060856800567,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,10,11,0.6411757064007648,0.052932149725141306,2.1873313008687716,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,11,12,0.5988464333228628,0.04870011686495376,2.0072972091646544,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,12,13,0.7666775136147046,0.04314185694963798,1.772204773512095,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,13,14,0.4716755682207183,0.2323495485461994,10.643639759588543,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,14,15,0.7179803451604004,0.044496440681327,1.8293559580857512,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,15,16,0.6984939817504306,0.04446814699893344,1.8281612823953066,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,16,17,0.7765954845803712,0.04652716376854302,1.9152059749503412,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,17,18,0.6777402127664262,0.04945743722333223,2.0394484413507854,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,18,19,0.6021534239859393,0.0475474317445627,1.9584162264201042,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,19,20,0.6171203799215881,0.052203243582452576,2.156259209311325,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,23,24,0.8223750281522398,0.041825541150935605,1.7167560433516393,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,27,28,0.6696596889414462,0.05659564468118451,2.3439024621693525,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,31,32,0.6278072570652877,0.040718444685680394,1.670187580867736,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,35,36,0.8343668659052046,0.04087104744029265,1.6766029605833723,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_3,russian corer,39,40,0.7902919811251402,0.04572347636280075,1.88120496177952,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,1,2,0.13985491944601722,0.23319427890345645,10.687260448970834,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,2,3,0.05186163292488842,0.21933304528850317,9.975996430428342,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,3,4,0.19664190050040264,0.21824841956003696,9.920746098412828,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,4,5,0.1427803862437251,0.20715116979012,9.358836970240178,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,5,6,0.21702368040010847,0.21374762752656185,9.69210630789332,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
