Source,Site,Management,Marshzone,Core,Habitat_type,Latitude,Longitude,accuracy_flag-see note in metadata,Country,Year_collected,U_depth_m (compressed) ,L_depth_m (compressed),U_depth_m (decompressed) ,L_depth_m (decompressed),Method,SOM_perc,BD_reported_g_cm3,OC_perc
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,2.00,3.00,2.09,3.13,LOI and EA,18.49,0.75,3.548
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,3.00,4.00,3.13,4.18,LOI and EA,24.69,0.62,5.085
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,4.00,5.00,4.18,5.22,LOI and EA,28.08,0.59,6.299
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,5.00,6.00,5.22,6.27,LOI and EA,26.87,0.56,4.918
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,6.00,7.00,6.27,7.31,LOI and EA,23.18,0.81,4.762
Graversen et al 2022,Randers,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,7.53,8.60,LOI and EA,32.41,0.52,6.735
Graversen et al 2022,Randers,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,7.35,8.40,LOI and EA,9.18,1.01,1.769
Graversen et al 2022,Randers,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,7.00,8.00,LOI and EA,20.91,0.71,4.277
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,8.00,9.00,8.36,9.40,LOI and EA,12.73,0.97,3.348
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,9.00,10.00,9.40,10.44,LOI and EA,9.33,1.04,1.802
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,10.00,12.00,10.44,12.53,LOI and EA,8.24,0.96,1.249
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,12.00,14.00,12.53,14.62,LOI and EA,5.48,1.08,1.343
Graversen et al 2022,Randers,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,14.70,16.80,LOI and EA,6.28,1.12,0.829
Graversen et al 2022,Randers,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,14.00,16.00,LOI and EA,7.63,1.17,2.941
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,16.00,18.00,16.71,18.80,LOI and EA,3.88,1.17,0.505
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,18.00,20.00,18.80,20.89,LOI and EA,2.69,1.27,0.425
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,20.00,22.00,20.89,22.98,LOI and EA,5.58,1.16,0.786
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,22.00,24.00,22.98,25.07,LOI and EA,6.90,1.05,1.376
Graversen et al 2022,Randers,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,25.81,27.96,LOI and EA,3.81,1.18,0.209
Graversen et al 2022,Randers,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,25.20,27.30,LOI and EA,6.74,1.16,1.260
Graversen et al 2022,Randers,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,24.00,26.00,LOI and EA,4.72,1.21,0.435
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,26.00,28.00,27.16,29.24,LOI and EA,5.82,1.20,0.993
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,28.00,30.00,29.24,31.33,LOI and EA,8.57,0.97,1.870
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,30.00,32.00,31.33,33.42,LOI and EA,4.83,1.18,0.662
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,32.00,34.00,33.42,35.51,LOI and EA,4.06,1.15,0.560
Graversen et al 2022,Randers,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,36.57,38.72,LOI and EA,3.31,1.17,0.296
Graversen et al 2022,Randers,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,35.70,37.80,LOI and EA,6.90,1.14,0.874
Graversen et al 2022,Randers,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,34.00,36.00,LOI and EA,5.39,1.21,0.734
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,36.00,38.00,37.60,39.69,LOI and EA,5.90,1.30,0.906
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,38.00,40.00,39.69,41.78,LOI and EA,3.58,1.22,0.507
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,40.00,42.00,41.78,43.87,LOI and EA,5.58,1.10,1.578
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,42.00,46.00,43.87,48.04,LOI and EA,7.47,1.19,1.178
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,46.00,50.00,48.04,52.22,LOI and EA,3.23,1.24,0.825
Graversen et al 2022,Randers,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,50.00,53.00,52.22,55.36,LOI and EA,2.45,1.33,0.542
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,56.60702,10.30823,direct from dataset,DK,2018,0,1,0.00,1.04,LOI and EA,11.8,0.85,3.781
Graversen et al 2022,Randers,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,1,2,1.07,2.14,LOI and EA,3.06,1.27,0.171
Graversen et al 2022,Randers,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,1,2,1.00,2.00,LOI and EA,19.86,0.67,4.322
Graversen et al 2022,Randers,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,1,2,1.04,2.07,LOI and EA,14.58,0.74,2.909
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,2,3,2.08,3.11,LOI and EA,10.71,0.90,1.891
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,3,4,3.11,4.15,LOI and EA,9.36,0.82,1.804
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,4,5,4.15,5.19,LOI and EA,9.41,0.94,0.631
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,5,6,5.19,6.23,LOI and EA,16.52,0.69,2.997
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,6,7,6.23,7.27,LOI and EA,15.43,0.72,3.709
Graversen et al 2022,Randers,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,7,8,7.49,8.56,LOI and EA,14.08,0.91,2.810
Graversen et al 2022,Randers,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,7,8,7.00,8.00,LOI and EA,13.91,0.92,3.181
Graversen et al 2022,Randers,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,7,8,7.25,8.29,LOI and EA,17.99,0.63,3.192
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,8,9,8.30,9.34,LOI and EA,13.78,0.69,2.934
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,9,10,9.34,10.38,LOI and EA,11.64,0.94,1.619
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,10,12,10.38,12.46,LOI and EA,5.86,1.11,1.523
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,12,14,12.46,14.53,LOI and EA,6.99,1.05,1.952
Graversen et al 2022,Randers,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,14,16,14.99,17.13,LOI and EA,6.25,1.12,1.605
Graversen et al 2022,Randers,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,14,16,14.00,16.00,LOI and EA,2.24,1.22,0.328
Graversen et al 2022,Randers,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,14,16,14.50,16.58,LOI and EA,2.45,1.28,0.293
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,16,18,16.61,18.68,LOI and EA,4.25,1.14,1.019
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,18,20,18.68,20.76,LOI and EA,2.76,1.27,0.313
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,20,22,20.76,22.83,LOI and EA,6.67,1.11,2.033
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,22,24,22.83,24.91,LOI and EA,5.17,1.20,0.764
Graversen et al 2022,Randers,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,24,26,25.69,27.83,LOI and EA,2.19,1.33,0.219
Graversen et al 2022,Randers,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,24,26,24.00,26.00,LOI and EA,3.81,1.31,0.510
Graversen et al 2022,Randers,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,24,26,24.86,26.94,LOI and EA,5.42,1.01,1.279
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,26,28,26.99,29.06,LOI and EA,1.98,1.25,0.290
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,28,30,29.06,31.14,LOI and EA,5.71,1.06,0.708
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,30,32,31.14,33.21,LOI and EA,3.16,1.19,0.631
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,32,34,33.21,35.29,LOI and EA,2.18,1.28,0.517
Graversen et al 2022,Randers,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,34,36,36.39,38.54,LOI and EA,3,1.22,0.318
Graversen et al 2022,Randers,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,34,36,34.00,36.00,LOI and EA,3.02,1.12,0.431
Graversen et al 2022,Randers,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,34,36,35.23,37.30,LOI and EA,1.71,1.32,0.117
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,36,38,37.37,39.44,LOI and EA,3.6,1.18,0.672
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,38,40,39.44,41.52,LOI and EA,3.55,1.20,0.390
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,40,42,41.52,43.59,LOI and EA,4.14,1.26,0.220
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,42,46,43.59,47.75,LOI and EA,3.08,1.06,0.627
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,46,50,47.75,51.90,LOI and EA,6.14,1.07,1.758
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,50,54,51.90,56.05,LOI and EA,8.59,1.07,1.094
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,54,58,56.05,60.20,LOI and EA,3.32,1.26,0.502
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,58,62,60.20,64.35,LOI and EA,1.55,1.27,0.148
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,62,66,64.35,68.50,LOI and EA,0.98,1.25,0.104
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,66,70,68.50,72.66,LOI and EA,0.83,1.16,0.100
Graversen et al 2022,Randers,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,70,71,72.66,73.69,LOI and EA,0.99,1.17,0.118
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,55.87585,10.01921,direct from dataset,DK,2018,0.00,1.00,0.00,1.24,LOI and EA,33.55,0.17,17.081
Graversen et al 2022,Horsens,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.24,2.48,LOI and EA,44.46,0.20,17.695
Graversen et al 2022,Horsens,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.18,2.36,LOI and EA,35.86,0.18,15.506
Graversen et al 2022,Horsens,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.29,2.58,LOI and EA,42.97,0.22,13.784
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,2.00,3.00,2.47,3.71,LOI and EA,39.95,0.21,17.077
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,3.00,4.00,3.71,4.94,LOI and EA,39.79,0.21,15.100
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,4.00,5.00,4.94,6.18,LOI and EA,33.72,0.28,12.039
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,5.00,6.00,6.18,7.41,LOI and EA,40.78,0.27,17.463
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,6.00,7.00,7.41,8.65,LOI and EA,35.15,0.23,13.653
Graversen et al 2022,Horsens,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,8.25,9.42,LOI and EA,33.2,0.35,9.398
Graversen et al 2022,Horsens,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,9.04,10.33,LOI and EA,53.83,0.19,21.168
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,8.00,9.00,9.88,11.12,LOI and EA,31.92,0.27,9.766
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,9.00,10.00,11.12,12.35,LOI and EA,40.4,0.26,9.717
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,10.00,12.00,12.35,14.83,LOI and EA,31.56,0.22,14.051
