Status,Site_ID,Core_ID,Date,Lat,Lon,Depth_min,Depth_max,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,17,18,1.271,0.1,5.09,0.4,0.7,0.12,4.4,0.42,0.24,0.08,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,18,19,1.261,0.1,8.92,0.48,1.03,0.13,7.89,0.5,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,19,20,1.251,0.13,11.03,0.52,0.5,0.11,10.53,0.54,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,20,21,1.241,0.15,7.83,0.38,0.58,0.1,7.25,0.39,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,21,22,1.231,0.12,5.16,0.37,0.65,0.12,4.51,0.39,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,22,23,1.221,0.17,3.64,0.25,0.66,0.08,2.98,0.26,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,23,24,1.211,0.16,3.93,0.28,1.69,0.11,2.24,0.3,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,24,25,1.201,0.18,3.18,0.31,0.45,0.1,2.73,0.33,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,25,26,1.191,0.15,1.51,0.29,1.02,0.12,0.49,0.32,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,26,27,1.181,0.17,1.89,0.27,0.8,0.1,1.09,0.29,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,27,28,1.171,0.25,1.81,0.18,0.95,0.08,0.86,0.2,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,28,29,1.161,0.3,1.69,0.2,1.2,0.07,0.49,0.21,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,29,30,1.151,0.24,2.04,0.25,1.15,0.1,0.89,0.26,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,30,32,1.141,0.29,1.4,0.13,1.06,0.05,0.34,0.14,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,32,34,1.121,0.28,1.28,0.14,1.23,0.06,0.05,0.15,0,0,0,0
MARSH,1,2,12/8/2015,42.73818498,-70.84720027,34,36,1.101,0.21,1.37,0.16,1.22,0.06,0.15,0.17,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,0,1,1.482,0.15,23.1,0.74,1.06,0.15,22.04,0.76,0,0,13.35,2.18
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,1,2,1.472,0.23,9.2,0.47,0.86,0.13,8.33,0.48,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,2,3,1.462,0.18,5.03,0.35,0.68,0.11,4.35,0.37,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,3,4,1.452,0.21,4.23,0.28,0.68,0.08,3.55,0.3,0.14,0.05,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,4,5,1.442,0.13,3.74,0.41,0.76,0.13,2.98,0.43,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,5,6,1.432,0.16,4.83,0.35,1.03,0.11,3.8,0.37,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,6,7,1.422,0.21,5.22,0.29,0.59,0.07,4.63,0.3,0.16,0.05,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,7,8,1.412,0.16,8.72,0.35,1.05,0.09,7.67,0.36,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,8,9,1.402,0.2,10.07,0.33,0.87,0.09,9.2,0.34,0.18,0.04,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,9,10,1.392,0.18,8.21,0.4,0.62,0.1,7.59,0.41,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,10,11,1.382,0.19,8.78,0.38,0.88,0.09,7.9,0.39,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,11,12,1.372,0.22,7.44,0.22,1.04,0.07,6.4,0.23,0.43,0.04,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,12,13,1.362,0.19,5.16,0.22,0.91,0.07,4.26,0.23,0.47,0.04,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,13,14,1.352,0.2,4.4,0.23,0.96,0.07,3.44,0.24,0.63,0.05,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,14,15,1.342,0.21,5.68,0.25,0.98,0.08,4.7,0.26,1.65,0.07,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,15,16,1.332,0.24,6,0.28,0.95,0.36,5.05,0.45,2.2,0.08,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,16,17,1.322,0.2,4.65,0.25,1.18,0.29,3.47,0.38,1.25,0.07,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,17,18,1.312,0.21,4.73,0.26,0.97,0.27,3.76,0.37,0.61,0.05,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,18,19,1.302,0.16,3.84,0.38,0.77,0.12,3.07,0.4,0.29,0.07,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,19,20,1.292,0.2,3.8,0.27,0.9,0.18,2.9,0.32,0.25,0.05,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,20,21,1.282,0.18,3.23,0.3,0.95,0.15,2.28,0.33,0.17,0.05,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,21,22,1.272,0.15,2.47,0.3,0.99,0.12,1.48,0.32,0.21,0.06,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,22,23,1.262,0.16,2.32,0.25,0.97,0.09,1.35,0.27,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,23,24,1.252,0.15,3.82,0.32,0.8,0.12,3.03,0.34,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,24,25,1.242,0.22,3.05,0.29,0.74,0.09,2.31,0.3,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,25,26,1.232,0.22,3.17,0.3,1.15,0.09,2.01,0.31,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,26,27,1.222,0.2,4,0.27,1.05,0.1,2.94,0.29,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,27,28,1.212,0.17,3.53,0.27,1.11,0.1,2.42,0.29,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,28,29,1.202,0.3,3.15,0.21,1.12,0.07,2.03,0.22,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,29,30,1.192,0.74,2.16,0.15,1.56,0.05,0.6,0.16,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,30,32,1.182,0.58,1.34,0.12,1.46,0.04,-0.12,0.12,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,32,34,1.162,0.32,1.57,0.15,1.42,0.06,0.15,0.16,0,0,0,0
MARSH,2,1,12/8/2015,42.73742543,-70.8459912,34,36,1.142,0.31,1.3,0.13,1.32,0.06,-0.03,0.14,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,0,1,1.509,0.29,18.44,0.52,1.36,0.11,17.08,0.54,0,0,5.3,1.38
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,1,2,1.499,0.26,6.3,0.38,1.2,0.11,5.1,0.39,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,2,3,1.489,0.31,4.68,0.23,1.06,0.08,3.61,0.24,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,3,4,1.479,0.25,4.2,0.23,1.2,0.07,3,0.24,0.11,0.03,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,4,5,1.469,0.32,5,0.24,1.1,0.07,3.89,0.25,0.16,0.04,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,5,6,1.459,0.3,9.32,0.37,1.26,0.09,8.06,0.38,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,6,7,1.449,0.28,5.56,0.28,1.43,0.08,4.13,0.29,0.16,0.04,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,7,8,1.439,0.38,5.62,0.28,1.48,0.09,4.14,0.3,0.14,0.04,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,8,9,1.429,0.33,5.66,0.23,1.29,0.08,4.37,0.25,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,9,10,1.419,0.18,6.25,0.36,1.2,0.11,5.05,0.38,0.2,0.05,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,10,11,1.409,0.28,6.2,0.23,1.31,0.08,4.89,0.24,0.35,0.04,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,11,12,1.399,0.31,7.2,0.23,1.3,0.07,5.9,0.24,0.24,0.04,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,12,13,1.389,0.36,8.1,0.25,1.42,0.07,6.67,0.26,0.76,0.09,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,13,14,1.379,0.33,5.89,0.25,1.45,0.08,4.44,0.26,0.42,0.04,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,14,15,1.369,0.37,3.88,0.19,1.43,0.06,2.45,0.2,0.61,0.04,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,15,16,1.359,0.35,3.48,0.22,1.41,0.07,2.07,0.23,1.45,0.06,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,16,17,1.349,0.36,3.82,0.21,1.29,0.08,2.53,0.23,1.67,0.06,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,17,18,1.339,0.32,3.48,0.23,1.47,0.07,2.01,0.24,1.08,0.06,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,18,19,1.329,0.31,3.57,0.2,1.28,0.07,2.29,0.21,0.46,0.04,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,19,20,1.319,0.43,3.11,0.14,1.31,0.05,1.8,0.15,0.23,0.03,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,20,21,1.309,0.22,3.9,0.21,1.44,0.07,2.46,0.22,0.19,0.04,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,21,22,1.299,0.23,2.75,0.23,1.14,0.08,1.61,0.25,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,22,23,1.289,0.31,2.47,0.21,1.07,0.08,1.4,0.22,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,23,24,1.279,0.31,2.03,0.2,1.34,0.07,0.69,0.22,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,24,25,1.269,0.94,1.45,0.1,1.45,0.04,0.08,0.1,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,25,26,1.259,0.74,1.94,0.13,1.76,0.05,0.18,0.14,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,26,27,1.249,0.74,1.9,0.1,1.74,0.04,0.16,0.1,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,27,28,1.239,0.49,1.61,0.11,1.7,0.05,-0.09,0.12,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,28,29,1.229,0.44,1.36,0.13,1.56,0.05,-0.2,0.14,0,0,0,0
MARSH,2,2,12/8/2015,42.73739991,-70.84580382,29,30,1.219,0.37,1.59,0.16,1.57,0.07,0.02,0.17,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,0,1,1.415,0.19,18.09,0.72,1.32,0.16,16.76,0.74,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,1,2,1.405,0.17,16.1,0.71,1.7,0.17,14.4,0.73,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,2,3,1.395,0.2,10.75,0.48,0.98,0.13,9.77,0.5,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,3,4,1.385,0.19,7.08,0.27,1.09,0.08,5.99,0.28,0.22,0.04,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,4,5,1.375,0.2,6.14,0.33,1.02,0.09,5.13,0.34,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,5,6,1.365,0.19,5.73,0.3,1.35,0.1,4.37,0.32,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,6,7,1.355,0.23,4.57,0.22,1.05,0.07,3.52,0.23,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,7,8,1.345,0.17,4.43,0.37,1.04,0.11,3.39,0.39,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,8,9,1.335,0.26,5.61,0.27,1.12,0.08,4.49,0.28,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,9,10,1.325,0.15,8.62,0.45,1.1,0.13,7.52,0.47,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,10,11,1.315,0.2,7.04,0.32,0.98,0.1,6.05,0.34,0.33,0.05,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,11,12,1.305,0.16,4.08,0.31,0.93,0.09,3.14,0.32,0.24,0.06,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,12,13,1.295,0.21,3.09,0.2,1.13,0.07,1.96,0.21,0.26,0.04,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,13,14,1.285,0.14,2.72,0.27,1.07,0.12,1.65,0.3,0.28,0.06,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,14,15,1.275,0.2,3.4,0.31,1.26,0.1,2.14,0.32,0.39,0.06,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,15,16,1.265,0.16,2.78,0.3,1.12,0.11,1.66,0.32,0.28,0.06,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,16,17,1.255,0.18,2.56,0.25,1.21,0.1,1.35,0.27,0.5,0.06,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,17,18,1.245,0.2,3.47,0.27,1.32,0.08,2.15,0.28,0.59,0.06,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,18,19,1.235,0.22,6.25,0.27,1.38,0.09,4.87,0.28,1.43,0.06,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,19,20,1.225,0.24,7.23,0.3,1.45,0.09,5.78,0.32,1.62,0.07,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,20,21,1.215,0.27,8.01,0.3,1.39,0.08,6.62,0.31,1.03,0.06,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,21,22,1.205,0.18,8.12,0.32,1.3,0.1,6.83,0.34,0.97,0.07,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,22,23,1.195,0.2,8.04,0.3,1.45,0.1,6.58,0.31,0.79,0.06,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,23,24,1.185,0.31,4.53,0.24,1.11,0.08,3.42,0.26,0.7,0.05,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,24,25,1.175,0.37,4.4,0.22,1.47,0.07,2.93,0.23,0.3,0.04,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,25,26,1.165,0.21,3.44,0.25,1.28,0.09,2.16,0.26,0.27,0.07,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,26,27,1.155,0.24,3.1,0.18,1.39,0.07,1.71,0.19,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,27,28,1.145,0.2,3.17,0.27,1.28,0.09,1.89,0.28,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,28,29,1.135,0.22,3.03,0.22,1.64,0.08,1.39,0.23,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,29,30,1.125,0.2,2.09,0.26,1.28,0.09,0.82,0.27,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,30,32,1.115,0.25,2.6,0.16,1.37,0.06,1.23,0.18,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,32,34,1.095,0.2,2.36,0.18,1.06,0.06,1.3,0.19,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,34,36,1.075,0.26,2.22,0.14,1.42,0.06,0.8,0.15,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,36,38,1.055,0.36,2.02,0.13,1.46,0.05,0.56,0.14,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,38,40,1.035,0.32,1.84,0.12,1.39,0.05,0.44,0.13,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,40,42,1.015,0.41,1.76,0.13,1.56,0.05,0.2,0.14,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,42,44,0.995,0.39,1.83,0.12,1.65,0.05,0.18,0.13,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,44,46,0.975,0.46,1.67,0.11,1.4,0.04,0.26,0.12,0,0,0,0
MARSH,3,1,12/8/2015,42.741354,-70.83000142,46,48,0.955,0.37,1.44,0.16,1.34,0.06,0.1,0.17,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,0,1,1.45,0.24,15.69,0.37,1.16,0.08,14.54,0.38,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,1,2,1.44,0.27,15.61,0.38,1.4,0.09,14.21,0.39,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,2,3,1.43,0.27,18.85,0.39,1.56,0.08,17.3,0.4,0.22,0.04,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,3,4,1.42,0.21,21.3,0.7,1.63,0.16,19.67,0.72,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,4,5,1.41,0.29,15.93,0.27,1.29,0.06,14.65,0.28,0.17,0.03,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,5,6,1.4,0.25,14.68,0.36,1.54,0.09,13.14,0.37,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,6,7,1.39,0.35,12.5,0.22,1.27,0.05,11.23,0.22,0.21,0.02,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,7,8,1.38,0.33,10.72,0.22,1.43,0.05,9.29,0.22,0.16,0.03,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,8,9,1.37,0.22,10.45,0.29,1.3,0.08,9.14,0.3,0.19,0.04,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,9,10,1.36,0.28,10.59,0.26,1.26,0.07,9.32,0.27,0.27,0.03,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,10,11,1.35,0.35,10.95,0.4,0.99,0.1,9.97,0.41,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,11,12,1.34,0.3,10.55,0.44,1.43,0.12,9.12,0.46,0.4,0.06,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,12,13,1.33,0.28,7.93,0.33,1.27,0.1,6.66,0.34,0.34,0.06,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,13,14,1.32,0.3,6.26,0.31,1.63,0.1,4.63,0.32,0.46,0.05,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,14,15,1.31,0.26,6.16,0.29,1.61,0.1,4.55,0.31,0.5,0.05,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,15,16,1.3,0.27,5.96,0.25,1.43,0.08,4.53,0.26,0.5,0.05,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,16,17,1.29,0.27,5.23,0.33,1.41,0.08,3.82,0.34,0.74,0.05,0,0
