"[Abbreviations: ID, identification; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment]",,,,,,
Core ID,"Depth
 (cm)","Water 
Content 
(g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk 
Density 
(g/cm^3)","Loss On 
Ignition 
(g-OM/g-dry)",
16CCT07-GB304M,3-4,0.52,0.73,0.63,0.097,
16CCT07-GB304M,4-5,0.62,0.80,0.46,0.142,
16CCT07-GB304M,5-6,0.70,0.85,0.33,0.231,
16CCT07-GB304M,6-7,0.62,0.81,0.43,0.145,
16CCT07-GB304M,7-8,0.39,0.61,0.90,0.048,
16CCT07-GB304M,7-8a,,,,0.048,
16CCT07-GB304M,8-9,0.44,0.66,0.79,0.067,
16CCT07-GB304M,9-10,0.57,0.77,0.54,0.108,
16CCT07-GB304M,10-11,0.49,0.70,0.65,0.075,
16CCT07-GB304M,11-12,0.51,0.72,0.65,0.088,
16CCT07-GB304M,11-12a,,,,0.084,
16CCT07-GB304M,12-13,0.63,0.81,0.40,0.136,
16CCT07-GB304M,13-14,0.57,0.77,0.52,0.099,
16CCT07-GB304M,14-15,0.51,0.73,0.63,0.078,
16CCT07-GB304M,14-15a,,,,0.076,
16CCT07-GB304M,15-16,0.58,0.78,0.50,0.110,
16CCT07-GB304M,16-17,0.63,0.81,0.43,0.146,
16CCT07-GB304M,17-18,0.66,0.83,0.38,0.173,
16CCT07-GB304M,18-19,0.56,0.76,0.56,0.114,
16CCT07-GB304M,19-20,0.55,0.75,0.59,0.095,
16CCT07-GB304M,20-21,0.58,0.78,0.53,0.111,
16CCT07-GB304M,21-22,0.55,0.75,0.59,0.100,
16CCT07-GB304M,22-23,0.48,0.70,0.71,0.082,
16CCT07-GB304M,22-23a,,,,0.090,
16CCT07-GB304M,23-24,0.41,0.63,0.89,0.052,
16CCT07-GB304M,24-25,0.43,0.66,0.83,0.056,
16CCT07-GB304M,25-26,0.39,0.61,0.93,0.046,
16CCT07-GB304M,26-27,0.43,0.65,0.83,0.060,
16CCT07-GB304M,26-27a,,,,0.055,
16CCT07-GB304M,27-28,0.45,0.67,0.76,0.064,
16CCT07-GB304M,28-29,0.43,0.65,0.86,0.059,
16CCT07-GB304M,29-30,0.38,0.60,0.98,0.045,
16CCT07-GB304M,30-31,0.34,0.56,1.03,0.034,
16CCT07-GB304M,31-32,0.35,0.58,0.99,0.040,
16CCT07-GB304M,32-33,0.35,0.57,1.00,0.041,
16CCT07-GB304M,33-34,0.34,0.56,1.08,0.037,
16CCT07-GB304M,33-34a,,,,0.037,
16CCT07-GB304M,34-35,0.35,0.57,1.02,0.039,
16CCT07-GB304M,35-36,0.34,0.57,1.05,0.037,
16CCT07-GB304M,36-37,0.35,0.57,1.02,0.038,
16CCT07-GB304M,37-38,0.33,0.55,1.08,0.035,
16CCT07-GB304M,37-38a,,,,0.034,
16CCT07-GB304M,38-39,0.33,0.56,1.10,0.034,
16CCT07-GB304M,39-40,0.34,0.56,1.07,0.033,
16CCT07-GB304M,40-41,0.29,0.51,1.14,0.030,
16CCT07-GB304M,41-42,0.33,0.55,1.07,0.037,
16CCT07-GB304M,42-43,0.32,0.54,1.11,0.036,
16CCT07-GB304M,43-44,0.32,0.55,1.10,0.037,
16CCT07-GB304M,43-44a,,,,0.037,
16CCT07-GB304M,44-45,0.32,0.54,1.16,0.039,
16CCT07-GB304M,45-46,0.31,0.52,1.17,0.036,
16CCT07-GB304M,46-47,0.29,0.50,1.21,0.034,
* = unconsolidated sediment,,,,,,
,,,,,,
,,,,,,
16CCT07-GB305M,0-1,0.31,0.53,1.12,0.03,
16CCT07-GB305M,1-2,0.27,0.48,1.24,0.023,
16CCT07-GB305M,1-2a,,,,0.022,
16CCT07-GB305M,2-3,0.30,0.52,1.14,0.027,
16CCT07-GB305M,3-4,0.41,0.63,0.89,0.058,
16CCT07-GB305M,4-5,0.54,0.75,0.58,0.117,
16CCT07-GB305M,5-6,0.47,0.69,0.73,0.087,
16CCT07-GB305M,6-7,0.35,0.58,1.00,0.045,
16CCT07-GB305M,6-7a,,,,0.046,
16CCT07-GB305M,7-8,0.37,0.59,0.98,0.046,
16CCT07-GB305M,8-9,0.41,0.64,0.87,0.064,
16CCT07-GB305M,9-10,0.35,0.58,1.00,0.046,
16CCT07-GB305M,10-11,0.37,0.60,0.97,0.048,
16CCT07-GB305M,11-12,0.43,0.65,0.82,0.062,
16CCT07-GB305M,12-13,0.44,0.67,0.79,0.067,
16CCT07-GB305M,12-13a,,,,0.067,
16CCT07-GB305M,13-14,0.45,0.67,0.77,0.071,
16CCT07-GB305M,14-15,0.51,0.72,0.65,0.094,
16CCT07-GB305M,15-16,0.53,0.74,0.61,0.097,
16CCT07-GB305M,16-17,0.55,0.75,0.59,0.099,
16CCT07-GB305M,17-18,0.54,0.75,0.59,0.092,
16CCT07-GB305M,18-19,0.55,0.75,0.58,0.097,
16CCT07-GB305M,18-19a,,,,0.098,
16CCT07-GB305M,19-20,0.57,0.77,0.54,0.112,
16CCT07-GB305M,20-21,0.54,0.75,0.59,0.096,
16CCT07-GB305M,21-22,0.57,0.77,0.54,0.113,
16CCT07-GB305M,22-23,0.55,0.76,0.56,0.109,
16CCT07-GB305M,22-23a,,,,0.104,
16CCT07-GB305M,23-24,0.55,0.75,0.57,0.099,
16CCT07-GB305M,24-25,0.55,0.75,0.57,0.106,
16CCT07-GB305M,25-26,0.57,0.77,0.53,0.119,
16CCT07-GB305M,26-27,0.59,0.79,0.50,0.128,
16CCT07-GB305M,27-28,0.61,0.79,0.46,0.129,
16CCT07-GB305M,28-29,0.64,0.81,0.43,0.163,
16CCT07-GB305M,28-29a,,,,0.162,
16CCT07-GB305M,29-30,0.54,0.75,0.57,0.101,
16CCT07-GB305M,30-31,0.49,0.70,0.70,0.078,
16CCT07-GB305M,31-32,0.44,0.66,0.80,0.064,
16CCT07-GB305M,31-32a,,,,0.063,
16CCT07-GB305M,32-33,0.43,0.66,0.81,0.063,
16CCT07-GB305M,33-34,0.42,0.65,0.82,0.059,
16CCT07-GB305M,34-35,0.44,0.66,0.79,0.065,
16CCT07-GB305M,35-36,0.44,0.66,0.79,0.062,
16CCT07-GB305M,36-37,0.44,0.67,0.80,0.061,
16CCT07-GB305M,36-37a,,,,0.060,
16CCT07-GB305M,37-38,0.41,0.63,0.87,0.053,
16CCT07-GB305M,38-39,0.41,0.63,0.87,0.052,
16CCT07-GB305M,39-40,0.40,0.62,0.89,0.052,
16CCT07-GB305M,40-41,0.39,0.61,0.93,0.050,
16CCT07-GB305M,41-42,0.38,0.61,0.93,0.048,
16CCT07-GB305M,41-42a,,,,0.050,
16CCT07-GB305M,42-43,0.36,0.59,0.96,0.048,
,,,,,,
,,,,,,
16CCT07-GB306M,0-1,0.52,0.73,0.65,0.101,
16CCT07-GB306M,1-2,0.48,0.70,0.72,0.088,
16CCT07-GB306M,1-2a,,,,0.087,
16CCT07-GB306M,2-3,0.44,0.66,0.83,0.074,
16CCT07-GB306M,3-4,0.47,0.69,0.74,0.081,
16CCT07-GB306M,4-5,0.51,0.72,0.63,0.094,
16CCT07-GB306M,5-6,0.47,0.69,0.73,0.080,
16CCT07-GB306M,6-7,0.49,0.70,0.71,0.090,
16CCT07-GB306M,7-8,0.52,0.73,0.64,0.119,
16CCT07-GB306M,7-8a,,,,0.119,
16CCT07-GB306M,8-9,0.55,0.75,0.59,0.132,
16CCT07-GB306M,9-10,0.56,0.76,0.58,0.125,
16CCT07-GB306M,10-11,0.52,0.73,0.64,0.108,
16CCT07-GB306M,11-12,0.51,0.72,0.66,0.094,
16CCT07-GB306M,11-12a,,,,0.094,
16CCT07-GB306M,12-13,0.56,0.76,0.56,0.110,
16CCT07-GB306M,13-14,0.63,0.81,0.44,0.149,
16CCT07-GB306M,14-15,0.67,0.83,0.38,0.182,
16CCT07-GB306M,15-16,0.66,0.83,0.39,0.162,
16CCT07-GB306M,16-17,0.57,0.77,0.54,0.106,
16CCT07-GB306M,16-17a,,,,0.107,
16CCT07-GB306M,17-18,0.50,0.72,0.65,0.083,
16CCT07-GB306M,18-19,0.61,0.79,0.49,0.137,
16CCT07-GB306M,19-20,0.66,0.83,0.38,0.183,
16CCT07-GB306M,20-21,0.60,0.79,0.48,0.131,
16CCT07-GB306M,21-22,0.48,0.70,0.71,0.064,
16CCT07-GB306M,21-22a,,,,0.069,
16CCT07-GB306M,22-23,0.64,0.82,0.43,0.153,
16CCT07-GB306M,23-24,0.64,0.81,0.43,0.150,
16CCT07-GB306M,24-25,0.62,0.80,0.47,0.136,
16CCT07-GB306M,25-26,0.64,0.81,0.42,0.150,
16CCT07-GB306M,26-27,0.57,0.77,0.52,0.114,
16CCT07-GB306M,26-27a,,,,0.112,
16CCT07-GB306M,27-28,0.43,0.65,0.80,0.068,
16CCT07-GB306M,28-29,0.39,0.61,0.92,0.051,
16CCT07-GB306M,29-30,0.35,0.57,1.03,0.037,
16CCT07-GB306M,30-31,0.40,0.63,0.92,0.051,
16CCT07-GB306M,31-32,0.46,0.68,0.79,0.064,
16CCT07-GB306M,32-33,0.50,0.71,0.70,0.082,
16CCT07-GB306M,32-33a,,,,0.081,
16CCT07-GB306M,33-34,0.47,0.69,0.72,0.072,
16CCT07-GB306M,34-35,0.42,0.64,0.87,0.058,
16CCT07-GB306M,35-36,0.36,0.58,1.01,0.043,
16CCT07-GB306M,36-37,0.35,0.58,1.00,0.046,
16CCT07-GB306M,37-38,0.36,0.58,1.01,0.042,
16CCT07-GB306M,37-38a,,,,0.044,
16CCT07-GB306M,38-39,0.43,0.65,0.82,0.063,
16CCT07-GB306M,39-40,0.43,0.66,0.81,0.059,
16CCT07-GB306M,40-41,0.44,0.66,0.82,0.059,
16CCT07-GB306M,41-42,0.44,0.66,0.81,0.061,
16CCT07-GB306M,42-43,0.42,0.64,0.86,0.060,
16CCT07-GB306M,42-43a,,,,0.060,
16CCT07-GB306M,43-44,0.42,0.64,0.85,0.058,
16CCT07-GB306M,44-45,0.40,0.62,0.90,0.059,
16CCT07-GB306M,45-46,0.36,0.58,1.03,0.048,
16CCT07-GB306M,46-47,0.37,0.59,1.03,0.050,
,,,,,,
,,,,,,
16CCT07-GB307M,0-1,0.64,0.81,0.42,0.148,
16CCT07-GB307M,1-2,0.60,0.79,0.50,0.131,
16CCT07-GB307M,2-3,0.42,0.64,0.86,0.052,
16CCT07-GB307M,3-4,0.33,0.56,1.06,0.036,
16CCT07-GB307M,3-4a,,,,0.033,
16CCT07-GB307M,4-5,0.54,0.74,0.60,0.103,
16CCT07-GB307M,5-6,0.49,0.71,0.67,0.083,
16CCT07-GB307M,6-7,0.35,0.58,1.07,0.038,
16CCT07-GB307M,7-8,0.40,0.62,0.90,0.051,
16CCT07-GB307M,7-8a,,,,0.050,
16CCT07-GB307M,8-9,0.49,0.71,0.68,0.089,
16CCT07-GB307M,9-10,0.55,0.75,0.56,0.105,
16CCT07-GB307M,10-11,0.60,0.79,0.48,0.127,
16CCT07-GB307M,10-11a,,,,0.123,
16CCT07-GB307M,11-12,0.60,0.79,0.47,0.119,
16CCT07-GB307M,12-13,0.59,0.78,0.52,0.128,
16CCT07-GB307M,13-14,0.59,0.78,0.51,0.124,
16CCT07-GB307M,14-15,0.61,0.80,0.47,0.137,
16CCT07-GB307M,14-15a,,,,0.133,
16CCT07-GB307M,15-16,0.63,0.81,0.43,0.163,
16CCT07-GB307M,16-17,0.63,0.81,0.43,0.141,
16CCT07-GB307M,17-18,0.61,0.80,0.48,0.135,
16CCT07-GB307M,18-19,0.60,0.79,0.46,0.129,
16CCT07-GB307M,19-20,0.61,0.79,0.47,0.126,
16CCT07-GB307M,20-21,0.60,0.79,0.50,0.119,
16CCT07-GB307M,21-22,0.57,0.77,0.52,0.109,
16CCT07-GB307M,21-22a,,,,0.107,
16CCT07-GB307M,22-23*,0.59,0.78,0.50,0.085,
16CCT07-GB307M,23-24*,0.47,0.69,0.74,0.085,
16CCT07-GB307M,24-25,0.49,0.70,0.71,0.074,
16CCT07-GB307M,25-26,0.50,0.72,0.65,0.081,
16CCT07-GB307M,25-26a,,,,0.083,
16CCT07-GB307M,26-27,0.49,0.71,0.70,0.079,
16CCT07-GB307M,27-28,0.53,0.74,0.62,0.094,
16CCT07-GB307M,28-29,0.54,0.75,0.57,0.098,
16CCT07-GB307M,29-30,0.52,0.73,0.63,0.093,
16CCT07-GB307M,30-31,0.52,0.73,0.62,0.091,
16CCT07-GB307M,30-31a,,,,0.090,
16CCT07-GB307M,31-32,0.46,0.68,0.78,0.071,
16CCT07-GB307M,32-33,0.48,0.69,0.73,0.075,
16CCT07-GB307M,33-34,0.49,0.70,0.71,0.082,
16CCT07-GB307M,34-35,0.45,0.67,0.77,0.075,
16CCT07-GB307M,35-36,0.44,0.66,0.80,0.068,
16CCT07-GB307M,35-36a,,,,0.067,
16CCT07-GB307M,36-37,0.46,0.68,0.76,0.081,
16CCT07-GB307M,37-38,0.48,0.70,0.72,0.081,
16CCT07-GB307M,38-39,0.50,0.71,0.65,0.089,
16CCT07-GB307M,39-40,0.47,0.69,0.78,0.075,
16CCT07-GB307M,40-41,0.44,0.66,0.80,0.062,
16CCT07-GB307M,41-42,0.41,0.63,0.83,0.055,
16CCT07-GB307M,42-43,0.41,0.63,0.88,0.058,
16CCT07-GB307M,42-43a,,,,0.058,
16CCT07-GB307M,43-44,0.41,0.63,0.84,0.065,
*Note: Depth intervals 22-23 & 23-24 cm were combined for LOI,,,,,,
,,,,,,
,,,,,,
16CCT07-GB308M,0-1,0.73,0.87,0.29,0.145,
16CCT07-GB308M,1-2,0.56,0.76,0.56,0.100,
16CCT07-GB308M,2-3,0.57,0.77,0.52,0.106,
16CCT07-GB308M,2-3a,,,,0.107,
16CCT07-GB308M,3-4,0.58,0.77,0.65,0.118,
16CCT07-GB308M,4-5,0.58,0.78,0.50,0.109,
16CCT07-GB308M,5-6,0.63,0.81,0.45,0.149,
16CCT07-GB308M,6-7,0.69,0.85,0.33,0.280,
16CCT07-GB308M,6-7a,,,,0.268,
16CCT07-GB308M,7-8,0.70,0.85,0.33,0.261,
16CCT07-GB308M,8-9,0.69,0.84,0.33,0.280,
16CCT07-GB308M,9-10,0.66,0.83,0.37,0.212,
16CCT07-GB308M,10-11,0.70,0.85,0.33,0.223,
16CCT07-GB308M,11-12,0.70,0.85,0.33,0.217,
16CCT07-GB308M,12-13,0.73,0.87,0.28,0.253,
16CCT07-GB308M,13-14,0.73,0.87,0.29,0.230,
16CCT07-GB308M,14-15,0.67,0.83,0.36,0.187,
16CCT07-GB308M,14-15a,,,,0.175,
16CCT07-GB308M,15-16,0.61,0.80,0.45,0.133,
16CCT07-GB308M,16-17,0.60,0.79,0.50,0.122,
16CCT07-GB308M,17-18,0.69,0.85,0.35,0.180,
16CCT07-GB308M,17-18a,,,,0.181,
16CCT07-GB308M,18-19,0.71,0.86,0.32,0.190,
16CCT07-GB308M,19-20,0.67,0.84,0.37,0.148,
16CCT07-GB308M,20-21,0.59,0.78,0.50,0.098,
16CCT07-GB308M,21-22,0.63,0.81,0.46,0.121,
16CCT07-GB308M,21-22a,,,,0.122,
16CCT07-GB308M,22-23,0.70,0.86,0.32,0.176,
16CCT07-GB308M,23-24,0.69,0.85,0.34,0.182,
16CCT07-GB308M,24-25,0.57,0.77,0.53,0.103,
16CCT07-GB308M,25-26,0.50,0.71,0.66,0.075,
16CCT07-GB308M,26-27,0.49,0.71,0.67,0.071,
16CCT07-GB308M,26-27a,,,,0.068,
16CCT07-GB308M,27-28,0.47,0.69,0.73,0.061,
16CCT07-GB308M,28-29,0.44,0.67,0.81,0.054,
16CCT07-GB308M,29-30,0.44,0.66,0.75,0.052,
16CCT07-GB308M,30-31,0.42,0.65,0.87,0.040,
16CCT07-GB308M,31-32,0.42,0.64,0.88,0.047,
16CCT07-GB308M,31-32a,,,,0.046,
16CCT07-GB308M,32-33,0.38,0.61,0.92,0.044,
16CCT07-GB308M,33-34,0.37,0.59,0.96,0.038,
16CCT07-GB308M,34-35,0.37,0.59,0.96,0.039,
16CCT07-GB308M,35-36,0.41,0.64,0.87,0.050,
16CCT07-GB308M,36-37,0.42,0.64,0.85,0.054,
16CCT07-GB308M,36-37a,,,,0.053,
16CCT07-GB308M,37-38,0.44,0.67,0.77,0.057,
16CCT07-GB308M,38-39,0.44,0.66,0.81,0.056,
16CCT07-GB308M,39-40,0.43,0.65,0.83,0.053,
