study_id,site_id,core_id,latitude,longitude,year,habitat,country,admin_division
Bouillon et al 2003,SB03 Pambala Avicennia 8,M0163,7.515981,79.812103,1999,mangrove,Sri Lanka,Wayamba
Bouillon et al 2003,SB03 Pambala Rhizophora 1,M0164,7.515981,79.812103,1999,mangrove,Sri Lanka,Wayamba
Bouillon et al 2003,SB03 Pambala Rhizophora 2,M0165,7.515981,79.812103,1999,mangrove,Sri Lanka,Wayamba
Bouillon et al 2003,SB03 Pambala Rhizophora 3,M0166,7.515981,79.812103,1999,mangrove,Sri Lanka,Wayamba
Bouillon et al 2003,SB03 Pambala Rhizophora 4,M0167,7.515981,79.812103,1999,mangrove,Sri Lanka,Wayamba
Bouillon et al 2003,SB03 Pambala Rhizophora 5,M0168,7.515981,79.812103,1999,mangrove,Sri Lanka,Wayamba
Bouillon et al 2003,SB03 Pambala Rhizophora 6,M0169,7.515981,79.812103,1999,mangrove,Sri Lanka,Wayamba
Bouillon et al 2003,SB03 Pambala Rhizophora 7,M0170,7.515981,79.812103,1999,mangrove,Sri Lanka,Wayamba
Bouillon et al 2003,SB03 Pambala Rhizophora 8,M0171,7.515981,79.812103,1999,mangrove,Sri Lanka,Wayamba
Abino et al 2014,ACA14 Average,M0172,10.043023,118.730673,2012,mangrove,Philippines,Palawan
Adame et al 2013,MFA13 Isla Pitaya,M0173,19.4867,-87.7004,2011,mangrove,Mexico,Quintana Roo
Adame et al 2013,MFA13 Cayo Culebra,M0174,19.6957,-87.4659,2011,mangrove,Mexico,Quintana Roo
Adame et al 2013,MFA13 Hualaxtoc,M0175,19.6477,-87.454,2011,mangrove,Mexico,Quintana Roo
Adame et al 2013,MFA13 Laguna Negra,M0176,19.78,-87.4789,2011,mangrove,Mexico,Quintana Roo
Adame et al 2013,MFA13 Laguna Xamach,M0177,19.8612,-87.4612,2011,mangrove,Mexico,Quintana Roo
Adame et al 2013,MFA13 La Raya,M0178,19.8408,-87.48,2011,mangrove,Mexico,Quintana Roo
Adame et al 2013,MFA13 El Playon,M0179,19.8218,-87.495,2011,mangrove,Mexico,Quintana Roo
Banerjee et al 2012,KB12 Stn. 1,M0185,21.872546,88.168066,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 2,M0186,21.798146,88.166492,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 3,M0187,21.635327,88.086352,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 4,M0188,21.707425,88.195374,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 5,M0189,21.605932,88.283639,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 6,M0190,21.763191,88.35795,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 7,M0191,21.6923,88.413657,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 8,M0192,21.940441,88.808983,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 9,M0193,22.091424,88.800184,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 10,M0194,22.023449,88.763959,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 11,M0195,21.827697,88.848569,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 12,M0196,21.763583,88.822088,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 13,M0197,21.685091,88.957379,2008,mangrove,India,West Bengal
Banerjee et al 2012,KB12 Stn. 14,M0198,21.908179,89.085136,2008,mangrove,Bangladesh,West Bengal
Chen et al 2014,GC14 Likupang LW,M0206,1.678742,125.046959,2012,mangrove,Indonesia,Sulawesi Utara
Chen et al 2014,GC14 Likupang MZ,M0207,1.681593,125.046741,2012,mangrove,Indonesia,Sulawesi Utara
Chen et al 2014,GC14 Likupang SW,M0208,1.683835,125.046172,2012,mangrove,Indonesia,Sulawesi Utara
Chen et al 2014,GC14 Teremaal LW,M0209,1.694445,124.971915,2012,mangrove,Indonesia,Sulawesi Utara
Chen et al 2014,GC14 Teremaal MZ,M0210,1.69248,124.966551,2012,mangrove,Indonesia,Sulawesi Utara
Chen et al 2014,GC14 Teremaal SW,M0211,1.691096,124.963256,2012,mangrove,Indonesia,Sulawesi Utara
Chen et al 2014,GC14 Kema LW,M0212,1.3851850000000001,125.095997,2012,mangrove,Indonesia,Sulawesi Utara
Chen et al 2014,GC14 Kema MZ,M0213,1.384123,125.097028,2012,mangrove,Indonesia,Sulawesi Utara
Chen et al 2014,GC14 Kema SW,M0214,1.382513,125.098628,2012,mangrove,Indonesia,Sulawesi Utara
Dutta et al 2013,MKD13 ULZ,M0215,21.666868,88.331259,2011,mangrove,India,West Bengal
Dutta et al 2013,MKD13 MLZ,M0216,21.666868,88.331259,2011,mangrove,India,West Bengal
Dutta et al 2013,MKD13 LLZ,M0217,21.666868,88.331259,2011,mangrove,India,West Bengal
Chanda et al 2013,AC13 JK LW,M0221,22.021114,88.684596,2011,mangrove,India,West Bengal
Chanda et al 2013,AC13 JK SW,M0222,22.019495,88.682551,2011,mangrove,India,West Bengal
Chanda et al 2013,AC13 HI LW,M0223,21.574017,88.29267,2011,mangrove,India,West Bengal
Chanda et al 2013,AC13 HI SW,M0224,21.570868,88.296621,2011,mangrove,India,West Bengal
Alongi et al 2004,DMA04 M2/5,M0270,4.867226,100.617941,1999,mangrove,Malaysia,Perak
Alongi et al 2004,DMA04 M15,M0271,4.855745,100.611278,1999,mangrove,Malaysia,Perak
Alongi et al 2004,DMA04 MVR,M0272,4.835893,100.617515,1999,mangrove,Malaysia,Perak
Along et al 2000 MEPS,DMA00MEPS M6,M0273,8.826775,105.194289,1996,mangrove,Vietnam,Ca Mau
Along et al 2000 MEPS,DMA00MEPS M8,M0274,8.837927,105.245301,1996,mangrove,Vietnam,Ca Mau
Along et al 2000 MEPS,DMA00MEPS M35,M0275,8.832831,105.221689,1996,mangrove,Vietnam,Ca Mau
MacKenzie et al 2016,RAM16 CG1.6,M0312,10.50211,106.822809035895,2012,mangrove,Vietnam,Ho Chi Minh
MacKenzie et al 2016,RAM16 CG2.1,M0313,10.521221,106.898137719813,2012,mangrove,Vietnam,Dong Nai
MacKenzie et al 2016,RAM16 KVPF1.1,M0314,8.653015,105.12052704702,2012,mangrove,Vietnam,Ca Mau
MacKenzie et al 2016,RAM16 KVPF1.6,M0315,8.653757,105.119781941869,2012,mangrove,Vietnam,Ca Mau
MacKenzie et al 2016,RAM16 KVPF2.1,M0316,8.639893,105.073531712651,2012,mangrove,Vietnam,Ca Mau
MacKenzie et al 2016,RAM16 KVPF2.6,M0317,8.641268,105.073659228363,2012,mangrove,Vietnam,Ca Mau
MacKenzie et al 2016,RAM16 KVPF3.1,M0318,8.644698,105.104945324149,2012,mangrove,Vietnam,Ca Mau
MacKenzie et al 2016,RAM16 KVPF3.6,M0319,8.643631,105.104436028811,2012,mangrove,Vietnam,Ca Mau
MacKenzie et al 2016,RAM16 U1B0,M0320,7.628384,134.619447272321,2010,mangrove,Palau,Ngaraard
MacKenzie et al 2016,RAM16 U1B375,M0321,7.626623,134.622803332285,2010,mangrove,Palau,Ngaraard
MacKenzie et al 2016,RAM16 U2B0,M0322,7.577479,134.539202067183,2010,mangrove,Palau,Ngardmau
MacKenzie et al 2016,RAM16 U2B375,M0323,7.578062,134.54253741147,2010,mangrove,Palau,Ngardmau
MacKenzie et al 2016,RAM16 U3B0,M0324,7.526389,134.613055936917,2010,mangrove,Palau,Melekeok
MacKenzie et al 2016,RAM16 U3B375,M0325,7.52596,134.611456,2010,mangrove,Palau,Melekeok
MacKenzie et al 2016,RAM16 D1B0,M0326,7.40844,134.505711,2010,mangrove,Palau,Aimeliik
MacKenzie et al 2016,RAM16 D1B375,M0327,7.407428,134.509096955169,2010,mangrove,Palau,Aimeliik
MacKenzie et al 2016,RAM16 D3B0,M0328,7.580028,134.63244411388,2010,mangrove,Palau,Ngaraard
MacKenzie et al 2016,RAM16 D2B0,M0329,7.382636,134.510492560719,2010,mangrove,Palau,Airai
MacKenzie et al 2016,RAM16 D2B375,M0330,7.382522,134.513845273107,2010,mangrove,Palau,Airai
Murdiyarso et al 2015,DM15 Sembilang,M0347,-2.0744444444444445,104.46916666666668,2012,mangrove,Indonesia,Sumatera Selatan
Murdiyarso et al 2015,DM15 Cilacap,M0348,-7.723611111111111,108.95805555555556,2010,mangrove,Indonesia,Jawa Tengah
Murdiyarso et al 2015,DM15 Kubu Raya,M0349,-0.6758333333333333,109.36138888888888,2012,mangrove,Indonesia,Kalimantan Barat
Murdiyarso et al 2015,DM15 Tanjung Putting,M0350,-2.861596,111.694588,2010,mangrove,Indonesia,Kalimantan Tengah
Murdiyarso et al 2015,DM15 Bunaken,M0351,1.623763,124.762924,2010,mangrove,Indonesia,Sulawesi Utara
Murdiyarso et al 2015,DM15 Teminabuan,M0352,-1.573506,131.885747,2012,mangrove,Indonesia,Papua
Murdiyarso et al 2015,DM15 Bintuni,M0353,-2.17,133.53583333333333,2012,mangrove,Indonesia,Papua
Murdiyarso et al 2015,DM15 Timika,M0354,-4.860063,136.786154,2012,mangrove,Indonesia,Papua
Adame et al 2015,MFA15 Panzacola,M0355,15.130013,-92.754068,2012,mangrove,Mexico,Chiapas
Adame et al 2015,MFA15 Teculapa,M0356,15.156381,-92.77937,2012,mangrove,Mexico,Chiapas
Adame et al 2015,MFA15 Paixtalon,M0357,15.178753,-92.804561,2012,mangrove,Mexico,Chiapas
Adame et al 2015,MFA15 Esterillo,M0358,15.180488,-92.837974,2012,mangrove,Mexico,Chiapas
Adame et al 2015,MFA15 Santa Chila,M0359,15.176293,-92.848353,2012,mangrove,Mexico,Chiapas
Adame et al 2015,MFA15 Zacapulco,M0360,15.203104,-92.88521,2012,mangrove,Mexico,Chiapas
Adame et al 2015,MFA15 Las Palmas,M0361,15.164754,-92.827909,2012,mangrove,Mexico,Chiapas
Kauffman et al 2016,JBK16 Grijalva,M0377,18.605455,-92.683617,2014,mangrove,Mexico,Tabasco
Kauffman et al 2016,JBK16 Boca Pedro Oeste,M0378,18.6514,-92.457847,2014,mangrove,Mexico,Campeche
Kauffman et al 2016,JBK16 Boca Pedro Este,M0379,18.648049,-92.474513,2014,mangrove,Mexico,Tabasco
Kauffman et al 2016,JBK16 Sabalo,M0380,18.594015,-92.46801,2014,mangrove,Mexico,Tabasco
Kauffman et al 2016,JBK16 Cometa,M0381,18.491724,-92.428604000000007,2014,mangrove,Mexico,Tabasco
Kauffman et al 2016,JBK16 Vidal,M0382,18.566889,-92.432627,2014,mangrove,Mexico,Tabasco
Kauffman et al 2016,JBK16 Gallego,M0383,18.595338,-92.448039,2014,mangrove,Mexico,Campeche
Sanders et al 2010 EES,CJS10 EES C3A,M0385,-25.094913,-47.995086,2005,mangrove,Brazil,São Paulo
Sanders et al 2010 EES,CJS10 EES C3B,M0386,-25.094888,-47.995183,2005,mangrove,Brazil,São Paulo
Sahu et al 2016,SCS16 Natural,M0387,20.39427,86.736167,2014,mangrove,India,Orissa
Sahu et al 2016,SCS16 Plantation,M0388,20.387933,86.770381,2014,mangrove,India,Orissa
Tue et al 2014,NTT14 Fringe,M0394,8.709533333333333,104.82086388888888,2012,mangrove,Vietnam,Ca Mau
Tue et al 2014,NTT14 Transitional,M0395,8.709063888888888,104.82053888888888,2012,mangrove,Vietnam,Ca Mau
Tue et al 2014,NTT14 Interior,M0396,8.708552777777777,104.82010833333332,2012,mangrove,Vietnam,Ca Mau
Ezcurra et al 2016,PE16 Punta Cancun Fringe,M0400,24.55113888888889,-111.73727777777778,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Punta Cancun Mudflat,M0401,24.550583333333336,-111.73711111111112,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 La Salina Mudflat,M0402,24.577277777777777,-111.79897222222222,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 La Salina Fringe,M0403,24.576472222222225,-111.80055555555556,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 La Salina Receding/Dead,M0404,24.57655555555555,-111.80061111111112,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Sur Mudflat,M0405,24.31063888888889,-110.31830555555555,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Sur Upper Mudflat,M0406,24.310222222222222,-110.31855555555556,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Sur Fringe,M0407,24.312305555555557,-110.31688888888888,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Norte Fringe,M0408,24.32205555555555,-110.31680555555556,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Norte Mudflat,M0409,24.31491666666667,-110.31477777777778,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Norte Upper Mudflat,M0410,24.314944444444446,-110.31463888888888,2013,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Camichin Mudflat,M0411,21.76147222222222,-105.47791666666669,2014,mangrove,Mexico,Nayarit
Ezcurra et al 2016,PE16 Camichan Upper Mudflat,M0412,21.760944444444444,-105.47827777777778,2014,mangrove,Mexico,Nayarit
Ezcurra et al 2016,PE16 Arroyo Toro Mocho Upper  Mudflat,M0413,21.768527777777777,-105.46744444444444,2014,mangrove,Mexico,Nayarit
Ezcurra et al 2016,PE16 La Concepcion Mudflat 1,M0414,15.065138888888889,-92.7508888888889,2014,mangrove,Mexico,Chiapas
Ezcurra et al 2016,PE16 La Concepcion Fringe,M0415,15.069027777777778,-92.75783333333334,2014,mangrove,Mexico,Chiapas
Ezcurra et al 2016,PE16 Las Garzas Mudflat,M0416,15.204055555555556,-92.8129722222222,2014,mangrove,Mexico,Chiapas
Ezcurra et al 2016,PE16 La Concepcion Mudflat 2,M0417,15.059472222222222,-92.74511111111111,2014,mangrove,Mexico,Chiapas
Ezcurra et al 2016,PE16 El Merito Mudflat Core 1,M0418,24.301111111111112,-110.32666666666668,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 El Merito Mudflat Core 2,M0419,24.301111111111112,-110.32666666666668,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Puerto Gata Fringe Core 1,M0420,24.24944444,-110.3127778,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Puerto Gata Fringe Core 2,M0421,24.24944444,-110.3127778,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Puerto Gata Fringe Core 3,M0422,24.24944444,-110.3127778,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Puerto Gata Mudflat Core 4,M0423,24.24944444,-110.3127778,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Puerto Gata Mudflat Core 5,M0424,24.24944444,-110.3127778,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Puerto Gata Mudflat Core 6,M0425,24.24944444,-110.3127778,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 Puerto Gata Mudflat Core 7,M0426,24.24944444,-110.3127778,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 San Gabriel Mudflat Core 1,M0427,24.43277777777778,-110.34694444444445,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 San Gabriel Mudflat Core 2,M0428,24.43277777777778,-110.34694444444445,2014,mangrove,Mexico,Baja California Sur
Ezcurra et al 2016,PE16 San Jose Mudflat Core 1,M0429,24.86916666666667,-110.57555555555555,2014,mangrove,Mexico,Baja California Sur
Ceron-Breton et al 2011,JGCB11 SA1,M0430,18.635407407407406,-91.77956481481482,2009,mangrove,Mexico,Campeche
Ceron-Breton et al 2011,JGCB11 SA2,M0431,18.63533333333333,-91.7805925925926,2009,mangrove,Mexico,Campeche
Ceron-Breton et al 2011,JGCB11 SA3,M0432,18.635537037037036,-91.78361111111111,2009,mangrove,Mexico,Campeche
Ceron-Breton et al 2011,JGCB11 SA4,M0433,18.63588888888889,-91.78604351851853,2009,mangrove,Mexico,Campeche
Ceron-Breton et al 2011,JGCB11 SA5,M0434,18.635537037037036,-91.7856851851852,2009,mangrove,Mexico,Campeche
Ceron-Breton et al 2011,JGCB11 SA6,M0435,18.63542592592593,-91.78534259259258,2009,mangrove,Mexico,Campeche
Bhomia et al 2016 India,RKBEA16 P1,M0436,20.48292,86.691044,2014,mangrove,India,Orissa
Bhomia et al 2016 India,RKBEA16 S1,M0437,20.482975,86.68793,2014,mangrove,India,Orissa
