study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon
Trettin_et_al_2017,1079,1079_4,70,75,0.877,0.0181
Trettin_et_al_2017,1079,1079_4,140,145,0.886,0.020499999999999997
Trettin_et_al_2017,1079,1079_4,182,187,1.036,0.0132
Trettin_et_al_2017,1079,1079_5,5,10,0.703,0.022000000000000002
Trettin_et_al_2017,1079,1079_5,20,25,0.774,0.0235
Trettin_et_al_2017,1079,1079_5,35,40,0.694,0.0192
Trettin_et_al_2017,1079,1079_5,70,75,0.71,0.0192
Trettin_et_al_2017,1079,1079_5,145,150,0.826,0.0159
Trettin_et_al_2017,1079,1079_5,190,195,0.881,0.0155
Trettin_et_al_2017,1113,1113_1,5,10,0.586,0.039599999999999996
Trettin_et_al_2017,1113,1113_1,20,25,0.534,0.0352
Trettin_et_al_2017,1113,1113_1,35,40,0.579,0.053200000000000004
Trettin_et_al_2017,1113,1113_1,70,75,0.728,0.036000000000000004
Trettin_et_al_2017,1113,1113_1,145,150,0.716,0.022099999999999998
Trettin_et_al_2017,1113,1113_1,190,195,0.988,0.0168
Trettin_et_al_2017,1113,1113_2,5,10,0.589,0.028999999999999998
Trettin_et_al_2017,1113,1113_2,20,25,0.686,0.028300000000000002
Trettin_et_al_2017,1113,1113_2,35,40,0.617,0.0341
Trettin_et_al_2017,1113,1113_2,70,75,0.589,0.034300000000000004
Trettin_et_al_2017,1113,1113_2,145,150,0.755,0.0223
Trettin_et_al_2017,1113,1113_3,5,10,0.576,0.0365
Trettin_et_al_2017,1113,1113_3,20,25,0.523,0.0335
Trettin_et_al_2017,1113,1113_3,35,40,0.562,0.031400000000000004
Trettin_et_al_2017,1113,1113_3,65,70,0.464,0.0353
Trettin_et_al_2017,1113,1113_3,155,160,0.453,0.031
Trettin_et_al_2017,1113,1113_3,175,180,0.736,0.028900000000000002
Trettin_et_al_2017,1113,1113_4,5,10,0.666,0.022000000000000002
Trettin_et_al_2017,1113,1113_4,25,30,0.616,0.02
Trettin_et_al_2017,1113,1113_4,35,40,0.609,0.0285
Trettin_et_al_2017,1113,1113_4,70,75,0.564,0.0242
Trettin_et_al_2017,1113,1113_4,145,150,0.769,0.021400000000000002
Trettin_et_al_2017,1130,1130_1,5,10,1.112,0.014199999999999999
Trettin_et_al_2017,1130,1130_1,20,25,1.205,0.0096
Trettin_et_al_2017,1130,1130_1,35,40,1.007,0.015700000000000002
Trettin_et_al_2017,1130,1130_1,70,75,0.905,0.026699999999999998
Trettin_et_al_2017,1130,1130_1,145,150,0.873,0.023700000000000002
Trettin_et_al_2017,1130,1130_2,5,10,1.24,0.0178
Trettin_et_al_2017,1130,1130_2,22,27,1.187,0.013300000000000001
Trettin_et_al_2017,1130,1130_2,45,50,1.007,0.0226
Trettin_et_al_2017,1130,1130_2,70,75,1.107,0.0125
Trettin_et_al_2017,1130,1130_2,145,150,0.921,0.0223
Trettin_et_al_2017,1130,1130_2,190,195,0.81,0.0229
Trettin_et_al_2017,1130,1130_3,0,5,0.583,0.0217
Trettin_et_al_2017,1130,1130_3,25,30,0.964,0.021099999999999997
Trettin_et_al_2017,1130,1130_3,45,50,1.045,0.018500000000000003
Trettin_et_al_2017,1130,1130_3,70,75,0.682,0.034300000000000004
Trettin_et_al_2017,1130,1130_3,144,149,0.776,0.0273
Trettin_et_al_2017,1130,1130_3,182,187,0.631,0.0196
Trettin_et_al_2017,1130,1130_4,5,10,1.092,0.0184
Trettin_et_al_2017,1130,1130_4,20,25,1.168,0.0108
Trettin_et_al_2017,1130,1130_4,35,40,1.067,0.0115
Trettin_et_al_2017,1130,1130_4,60,65,0.859,0.015
Trettin_et_al_2017,1130,1130_4,145,150,0.891,0.0212
Trettin_et_al_2017,1130,1130_4,190,195,0.972,0.0167
Trettin_et_al_2017,1130,1130_5,5,8,1.209,0.0095
Trettin_et_al_2017,1130,1130_5,20,25,1.02,0.0178
Trettin_et_al_2017,1130,1130_5,40,45,1.275,0.015
Trettin_et_al_2017,1130,1130_5,70,75,0.825,0.0146
Trettin_et_al_2017,1130,1130_5,145,150,0.857,0.0189
Trettin_et_al_2017,1130,1130_5,185,190,0.849,0.0171
Trettin_et_al_2017,1216,1216_1,5,10,1.027,0.0111
Trettin_et_al_2017,1216,1216_1,20,25,0.814,0.0103
Trettin_et_al_2017,1216,1216_1,35,40,0.936,0.015600000000000001
Trettin_et_al_2017,1216,1216_1,70,75,0.76,0.0227
Trettin_et_al_2017,1216,1216_1,145,150,0.848,0.0181
Trettin_et_al_2017,1216,1216_1,182,187,0.585,0.018600000000000002
Trettin_et_al_2017,1216,1216_2,5,10,1.014,0.015300000000000001
Trettin_et_al_2017,1216,1216_2,20,25,0.791,0.0144
Trettin_et_al_2017,1216,1216_2,35,40,0.907,0.013300000000000001
Trettin_et_al_2017,1216,1216_2,70,75,0.813,0.0155
Trettin_et_al_2017,1216,1216_2,145,150,0.912,0.016
Trettin_et_al_2017,1216,1216_2,190,195,1.019,0.014199999999999999
Trettin_et_al_2017,1216,1216_3,5,10,0.944,0.0179
Trettin_et_al_2017,1216,1216_3,20,25,0.879,0.0171
Trettin_et_al_2017,1216,1216_3,35,40,0.785,0.013500000000000002
Trettin_et_al_2017,1216,1216_3,70,75,0.788,0.0258
Trettin_et_al_2017,1216,1216_3,145,150,0.882,0.0254
Trettin_et_al_2017,1216,1216_3,183,188,0.737,0.0183
Trettin_et_al_2017,1216,1216_4,5,10,0.976,0.0096
Trettin_et_al_2017,1216,1216_4,20,25,0.904,0.0116
Trettin_et_al_2017,1216,1216_4,35,40,0.734,0.016399999999999998
Trettin_et_al_2017,1216,1216_4,70,75,0.719,0.019
Trettin_et_al_2017,1216,1216_4,145,150,0.853,0.0178
Trettin_et_al_2017,1216,1216_5,5,10,1.085,0.014199999999999999
Trettin_et_al_2017,1216,1216_5,20,25,1.001,0.013300000000000001
Trettin_et_al_2017,1216,1216_5,35,40,0.83,0.015300000000000001
Trettin_et_al_2017,1216,1216_5,65,70,0.692,0.0168
Trettin_et_al_2017,1216,1216_5,145,150,0.929,0.016
Trettin_et_al_2017,1216,1216_5,190,195,1.133,0.009000000000000001
Trettin_et_al_2017,1219,1219_1,5,10,0.908,0.022400000000000003
Trettin_et_al_2017,1219,1219_1,20,25,0.822,0.0166
Trettin_et_al_2017,1219,1219_1,35,40,0.747,0.02
Trettin_et_al_2017,1219,1219_1,70,75,0.713,0.0349
Trettin_et_al_2017,1219,1219_1,145,150,0.774,0.0206
Trettin_et_al_2017,1219,1219_2,5,10,0.899,0.0273
Trettin_et_al_2017,1219,1219_2,20,25,0.898,0.015700000000000002
Trettin_et_al_2017,1219,1219_2,35,40,0.951,0.0206
Trettin_et_al_2017,1219,1219_2,70,75,0.717,0.029500000000000002
Trettin_et_al_2017,1219,1219_2,145,150,0.589,0.023799999999999998
Trettin_et_al_2017,1219,1219_2,168,173,0.76,0.022400000000000003
Trettin_et_al_2017,1219,1219_3,5,10,0.763,0.026099999999999998
Trettin_et_al_2017,1219,1219_3,20,25,0.826,0.0195
Trettin_et_al_2017,1219,1219_3,35,40,0.779,0.0256
Trettin_et_al_2017,1219,1219_3,70,75,0.638,0.0282
Trettin_et_al_2017,1219,1219_3,145,150,0.788,0.014499999999999999
Trettin_et_al_2017,1219,1219_3,188,193,0.698,0.0253
Trettin_et_al_2017,1219,1219_4,5,10,0.812,0.022799999999999997
Trettin_et_al_2017,1219,1219_4,20,25,0.639,0.022099999999999998
Trettin_et_al_2017,1219,1219_4,35,40,0.8,0.0144
Trettin_et_al_2017,1219,1219_4,70,75,0.649,0.03
Trettin_et_al_2017,1219,1219_4,130,135,0.781,0.0196
Trettin_et_al_2017,1219,1219_5,5,10,0.605,0.0308
Trettin_et_al_2017,1219,1219_5,20,25,0.658,0.0248
Trettin_et_al_2017,1219,1219_5,35,40,0.647,0.0331
Trettin_et_al_2017,1219,1219_5,61,68,0.567,0.0354
Trettin_et_al_2017,1254,1254_1,5,10,0.655,0.0401
Trettin_et_al_2017,1254,1254_1,20,25,0.656,0.0242
Trettin_et_al_2017,1254,1254_1,35,40,0.674,0.023799999999999998
Trettin_et_al_2017,1254,1254_1,70,75,0.658,0.0204
Trettin_et_al_2017,1254,1254_1,145,150,0.763,0.0165
Trettin_et_al_2017,1254,1254_1,178,183,1.134,0.0034000000000000002
Trettin_et_al_2017,1254,1254_2,5,10,0.666,0.0297
Trettin_et_al_2017,1254,1254_2,20,25,0.727,0.022000000000000002
Trettin_et_al_2017,1254,1254_2,35,40,0.654,0.018799999999999997
Trettin_et_al_2017,1254,1254_2,75,80,0.584,0.0194
Trettin_et_al_2017,1254,1254_2,145,150,0.931,0.0102
Trettin_et_al_2017,1254,1254_2,190,195,1.246,0.0051
Trettin_et_al_2017,1254,1254_3,5,10,0.682,0.028999999999999998
Trettin_et_al_2017,1254,1254_3,20,25,0.654,0.0258
Trettin_et_al_2017,1254,1254_3,35,40,0.696,0.0242
Trettin_et_al_2017,1254,1254_3,62,67,0.687,0.024
Trettin_et_al_2017,1254,1254_3,145,150,0.69,0.0189
Trettin_et_al_2017,1254,1254_3,170,175,1.139,0.0095
Trettin_et_al_2017,1254,1254_4,5,10,0.623,0.0292
Trettin_et_al_2017,1254,1254_4,20,25,0.696,0.0262
Trettin_et_al_2017,1254,1254_4,35,40,0.614,0.032400000000000005
Trettin_et_al_2017,1254,1254_4,70,75,0.782,0.0225
Trettin_et_al_2017,1254,1254_4,145,150,1.314,0.0096
Trettin_et_al_2017,1254,1254_4,185,190,1.495,0.0068000000000000005
Trettin_et_al_2017,1254,1254_5,5,10,0.75,0.0281
Trettin_et_al_2017,1254,1254_5,20,25,0.713,0.024399999999999998
Trettin_et_al_2017,1254,1254_5,35,40,0.673,0.0304
Trettin_et_al_2017,1254,1254_5,70,75,0.666,0.018799999999999997
Trettin_et_al_2017,1254,1254_5,146,151,0.815,0.0167
Trettin_et_al_2017,1254,1254_5,185,190,1.256,0.0045000000000000005
Trettin_et_al_2017,1285,1285_1,5,10,0.722,0.018000000000000002
Trettin_et_al_2017,1285,1285_1,20,25,0.635,0.0174
Trettin_et_al_2017,1285,1285_1,35,40,0.697,0.0178
Trettin_et_al_2017,1285,1285_1,70,75,0.709,0.0183
Trettin_et_al_2017,1285,1285_1,145,150,0.904,0.0158
Trettin_et_al_2017,1285,1285_1,190,195,0.802,0.0161
Trettin_et_al_2017,1285,1285_2,5,10,0.934,0.011399999999999999
Trettin_et_al_2017,1285,1285_2,20,25,0.892,0.0104
Trettin_et_al_2017,1285,1285_2,35,40,0.95,0.0108
Trettin_et_al_2017,1285,1285_2,70,75,0.918,0.012
Trettin_et_al_2017,1285,1285_2,145,150,0.816,0.0155
Trettin_et_al_2017,1285,1285_2,179,184,0.835,0.0172
Trettin_et_al_2017,1285,1285_3,7,12,0.861,0.013600000000000001
Trettin_et_al_2017,1285,1285_3,20,25,0.88,0.013600000000000001
Trettin_et_al_2017,1285,1285_3,35,40,0.81,0.0137
Trettin_et_al_2017,1285,1285_3,70,75,0.812,0.0126
Trettin_et_al_2017,1285,1285_3,145,150,0.991,0.0165
Trettin_et_al_2017,1285,1285_3,190,195,0.959,0.0177
Trettin_et_al_2017,1285,1285_4,5,10,0.816,0.0189
Trettin_et_al_2017,1285,1285_4,20,25,0.831,0.0132
Trettin_et_al_2017,1285,1285_4,35,40,0.598,0.0129
Trettin_et_al_2017,1285,1285_4,70,75,0.812,0.0113
Trettin_et_al_2017,1285,1285_4,145,150,1.025,0.011000000000000001
Trettin_et_al_2017,1285,1285_5,5,10,0.758,0.0149
Trettin_et_al_2017,1285,1285_5,20,25,0.829,0.0132
Trettin_et_al_2017,1285,1285_5,35,40,0.787,0.014199999999999999
Trettin_et_al_2017,1285,1285_5,70,75,0.633,0.0159
Trettin_et_al_2017,13,13_1,5,10,0.526,0.0463
Trettin_et_al_2017,13,13_1,35,40,0.544,0.05
Trettin_et_al_2017,13,13_1,60,65,0.623,0.032
Trettin_et_al_2017,13,13_2,5,10,0.525,0.0325
Trettin_et_al_2017,13,13_2,15,20,0.571,0.0278
Trettin_et_al_2017,13,13_2,35,40,0.574,0.0364
Trettin_et_al_2017,13,13_2,60,65,0.475,0.0354
Trettin_et_al_2017,13,13_2,145,150,0.866,0.0195
Trettin_et_al_2017,13,13_3,15,20,0.545,0.0384
Trettin_et_al_2017,13,13_3,20,25,0.454,0.0397
Trettin_et_al_2017,13,13_3,35,40,0.584,0.0466
Trettin_et_al_2017,13,13_3,60,65,0.516,0.042800000000000005
Trettin_et_al_2017,13,13_3,145,150,1.209,0.0279
Trettin_et_al_2017,13,13_3,190,195,0.378,0.0024
Trettin_et_al_2017,13,13_4,5,10,0.589,0.0404
Trettin_et_al_2017,13,13_4,21,26,0.836,0.0322
Trettin_et_al_2017,13,13_4,31,36,0.427,0.0323
Trettin_et_al_2017,13,13_4,70,75,0.78,0.032799999999999996
Trettin_et_al_2017,13,13_4,145,150,0.673,0.0265
Trettin_et_al_2017,13,13_4,170,175,0.646,0.0236
Trettin_et_al_2017,13,13_5,5,10,0.516,0.021099999999999997
Trettin_et_al_2017,13,13_5,20,25,0.906,0.0195
Trettin_et_al_2017,13,13_5,35,40,0.582,0.023399999999999997
Trettin_et_al_2017,13,13_5,70,75,0.513,0.0325
Trettin_et_al_2017,13,13_6,5,10,0.917,0.0195
Trettin_et_al_2017,13,13_6,20,25,0.753,0.023
Trettin_et_al_2017,13,13_6,35,40,0.57,0.0218
Trettin_et_al_2017,13,13_6,70,75,0.698,0.024300000000000002
Trettin_et_al_2017,1305,1305_1,12,17,0.86,0.0222
Trettin_et_al_2017,1305,1305_1,20,25,0.936,0.0197
Trettin_et_al_2017,1305,1305_1,35,40,1.125,0.024399999999999998
Trettin_et_al_2017,1305,1305_1,70,75,0.771,0.0183
Trettin_et_al_2017,1305,1305_4,8,13,0.909,0.018600000000000002
Trettin_et_al_2017,1305,1305_4,20,25,0.894,0.0131
Trettin_et_al_2017,1305,1305_4,35,40,1,0.0116
Trettin_et_al_2017,1314,1314_1,12,17,0.695,0.0167
Trettin_et_al_2017,1314,1314_1,20,25,0.899,0.0152
Trettin_et_al_2017,1314,1314_1,35,40,0.711,0.0172
Trettin_et_al_2017,1314,1314_1,70,75,0.736,0.0229
Trettin_et_al_2017,1314,1314_1,145,150,0.635,0.024399999999999998
Trettin_et_al_2017,1314,1314_1,190,195,0.694,0.0191
Trettin_et_al_2017,1314,1314_2,5,10,0.665,0.0218
Trettin_et_al_2017,1314,1314_2,20,25,0.684,0.0169
Trettin_et_al_2017,1314,1314_2,35,40,0.713,0.0182
Trettin_et_al_2017,1314,1314_2,70,75,0.685,0.035
Trettin_et_al_2017,1314,1314_2,145,150,0.622,0.044000000000000004
Trettin_et_al_2017,1314,1314_2,181,186,0.526,0.0236
Trettin_et_al_2017,1314,1314_3,5,10,0.723,0.0154
Trettin_et_al_2017,1314,1314_3,20,25,0.782,0.0137
Trettin_et_al_2017,1314,1314_3,35,40,0.777,0.013000000000000001
Trettin_et_al_2017,1314,1314_3,70,75,0.741,0.019799999999999998
Trettin_et_al_2017,1314,1314_3,145,150,0.687,0.019799999999999998
Trettin_et_al_2017,1314,1314_3,190,195,0.749,0.015
Trettin_et_al_2017,1314,1314_4,5,10,0.638,0.0277
Trettin_et_al_2017,1314,1314_4,20,25,0.628,0.0239
Trettin_et_al_2017,1314,1314_4,35,40,0.556,0.0281
Trettin_et_al_2017,1314,1314_4,70,75,0.777,0.0195
Trettin_et_al_2017,1314,1314_4,145,150,0.799,0.0163
Trettin_et_al_2017,1314,1314_4,179,184,0.713,0.0159
Trettin_et_al_2017,1314,1314_5,5,10,0.678,0.016200000000000003
Trettin_et_al_2017,1314,1314_5,20,25,0.641,0.0203
Trettin_et_al_2017,1314,1314_5,35,40,0.614,0.0208
Trettin_et_al_2017,1314,1314_5,70,75,0.674,0.0226
Trettin_et_al_2017,1314,1314_5,145,150,0.743,0.0194
Trettin_et_al_2017,1314,1314_5,190,195,0.78,0.018000000000000002
Trettin_et_al_2017,1317,1317_1,5,10,0.631,0.025699999999999997
Trettin_et_al_2017,1317,1317_1,23,28,0.823,0.0256
Trettin_et_al_2017,1317,1317_1,35,40,0.769,0.0232
Trettin_et_al_2017,1317,1317_1,70,75,1.212,0.0014000000000000002
Trettin_et_al_2017,1317,1317_2,5,10,0.687,0.0223
Trettin_et_al_2017,1317,1317_2,23,28,0.664,0.024
Trettin_et_al_2017,1317,1317_2,35,40,0.708,0.0253
Trettin_et_al_2017,1317,1317_2,70,75,1.038,0.0058
Trettin_et_al_2017,1317,1317_3,5,10,0.753,0.030299999999999997
Trettin_et_al_2017,1317,1317_3,20,25,0.806,0.0209
Trettin_et_al_2017,1317,1317_3,35,40,0.964,0.0181
Trettin_et_al_2017,1317,1317_3,60,65,1.359,0.024399999999999998
Trettin_et_al_2017,1317,1317_4,5,10,0.758,0.027200000000000002
Trettin_et_al_2017,1317,1317_4,20,25,0.86,0.02
Trettin_et_al_2017,1317,1317_4,35,40,1.447,0.0063
Trettin_et_al_2017,1317,1317_4,45,50,1.43,0.0014000000000000002
Trettin_et_al_2017,1317,1317_5,5,10,0.908,0.0216
Trettin_et_al_2017,1317,1317_5,20,25,0.692,0.0194
Trettin_et_al_2017,1317,1317_5,35,40,0.698,0.0256
Trettin_et_al_2017,1317,1317_5,61,66,1.233,0.0018
Trettin_et_al_2017,1359,1359_1,5,10,0.831,0.0195
Trettin_et_al_2017,1359,1359_1,20,25,0.717,0.0172
Trettin_et_al_2017,1359,1359_1,35,40,0.733,0.0219
Trettin_et_al_2017,1359,1359_1,70,75,0.581,0.0233
Trettin_et_al_2017,1359,1359_1,145,150,0.81,0.0202
Trettin_et_al_2017,1359,1359_1,190,195,0.811,0.011699999999999999
Trettin_et_al_2017,1359,1359_2,5,10,0.749,0.0248
Trettin_et_al_2017,1359,1359_2,20,25,0.601,0.036000000000000004
Trettin_et_al_2017,1359,1359_2,35,40,0.604,0.0292
Trettin_et_al_2017,1359,1359_2,64,69,0.569,0.029300000000000003
Trettin_et_al_2017,1359,1359_2,145,150,1.042,0.0204
Trettin_et_al_2017,1359,1359_2,170,175,1.004,0.0173
Trettin_et_al_2017,1359,1359_3,5,10,0.709,0.015
Trettin_et_al_2017,1359,1359_3,20,25,0.773,0.015700000000000002
Trettin_et_al_2017,1359,1359_3,35,40,0.736,0.0187
Trettin_et_al_2017,1359,1359_3,67,72,0.741,0.0233
Trettin_et_al_2017,1359,1359_3,145,150,1.129,0.013300000000000001
Trettin_et_al_2017,1359,1359_4,5,10,0.774,0.0229
Trettin_et_al_2017,1359,1359_4,20,25,0.455,0.018600000000000002
Trettin_et_al_2017,1359,1359_4,50,55,0.911,0.025699999999999997
Trettin_et_al_2017,1359,1359_4,70,75,0.672,0.0269
Trettin_et_al_2017,1359,1359_4,145,150,0.696,0.023
Trettin_et_al_2017,1359,1359_4,190,195,0.784,0.0212
Trettin_et_al_2017,1359,1359_5,5,10,0.65,0.0231
Trettin_et_al_2017,1359,1359_5,20,25,0.722,0.020499999999999997
Trettin_et_al_2017,1359,1359_5,35,40,0.792,0.0191
Trettin_et_al_2017,1359,1359_5,65,70,0.704,0.0203
Trettin_et_al_2017,1359,1359_5,150,155,0.728,0.0212
Trettin_et_al_2017,1361,1361_1,5,10,0.837,0.024
Trettin_et_al_2017,1361,1361_1,20,25,1.22,0.0187
Trettin_et_al_2017,1361,1361_1,35,40,0.835,0.018500000000000003
Trettin_et_al_2017,1361,1361_1,70,75,0.823,0.025
Trettin_et_al_2017,1361,1361_1,145,150,0.693,0.021099999999999997
Trettin_et_al_2017,1361,1361_1,190,195,0.798,0.0154
Trettin_et_al_2017,1361,1361_2,5,10,0.685,0.0206
Trettin_et_al_2017,1361,1361_2,20,25,0.557,0.0305
Trettin_et_al_2017,1361,1361_2,35,40,0.514,0.0264
Trettin_et_al_2017,1361,1361_2,70,75,0.557,0.022000000000000002
Trettin_et_al_2017,1361,1361_3,5,10,0.728,0.0192
Trettin_et_al_2017,1361,1361_3,20,25,0.721,0.0172
Trettin_et_al_2017,1361,1361_3,35,40,0.681,0.0154
Trettin_et_al_2017,1361,1361_3,70,75,0.673,0.024
Trettin_et_al_2017,1361,1361_3,151,156,0.751,0.0187
Trettin_et_al_2017,1361,1361_4,20,25,0.94,0.0077
Trettin_et_al_2017,1361,1361_4,35,40,1.074,0.0064
Trettin_et_al_2017,1361,1361_4,77,82,1.134,0.0105
Trettin_et_al_2017,1361,1361_4,145,150,0.774,0.011200000000000002
Trettin_et_al_2017,1361,1361_4,190,195,0.928,0.0072
Trettin_et_al_2017,1361,1361_5,5,10,1.136,0.0222
Trettin_et_al_2017,1361,1361_5,20,25,0.998,0.0134
Trettin_et_al_2017,1361,1361_5,35,40,1.022,0.0176
Trettin_et_al_2017,1361,1361_5,70,75,0.776,0.0313
Trettin_et_al_2017,1361,1361_5,145,150,0.844,0.0183
Trettin_et_al_2017,1361,1361_5,190,195,0.991,0.016399999999999998
Trettin_et_al_2017,1382,1382_1,5,10,0.599,0.0254
Trettin_et_al_2017,1382,1382_1,20,25,0.666,0.0131
Trettin_et_al_2017,1382,1382_1,20,25,0.779,0.0217
Trettin_et_al_2017,1382,1382_1,35,40,0.619,0.0204
Trettin_et_al_2017,1382,1382_1,70,75,0.745,0.013999999999999999
Trettin_et_al_2017,1382,1382_1,145,150,0.642,0.0172
Trettin_et_al_2017,1382,1382_2,5,10,0.628,0.0147
Trettin_et_al_2017,1382,1382_2,20,25,0.779,0.0141
Trettin_et_al_2017,1382,1382_2,35,40,0.713,0.0175
Trettin_et_al_2017,1382,1382_2,62,67,0.669,0.0181
Trettin_et_al_2017,1382,1382_2,145,150,0.743,0.0149
Trettin_et_al_2017,1382,1382_2,190,195,0.638,0.013500000000000002
Trettin_et_al_2017,1382,1382_3,5,10,0.603,0.023799999999999998
Trettin_et_al_2017,1382,1382_3,20,25,0.6,0.0208
Trettin_et_al_2017,1382,1382_3,35,40,0.437,0.055099999999999996
Trettin_et_al_2017,1382,1382_3,60,65,0.524,0.0371
Trettin_et_al_2017,1382,1382_4,2,10,0.7,0.018799999999999997
Trettin_et_al_2017,1382,1382_4,20,25,0.635,0.0169
Trettin_et_al_2017,1382,1382_4,35,40,0.571,0.022000000000000002
Trettin_et_al_2017,1382,1382_4,70,75,0.761,0.0191
Trettin_et_al_2017,1382,1382_4,145,150,0.786,0.0161
Trettin_et_al_2017,1382,1382_4,160,165,0.599,0.0178
Trettin_et_al_2017,1382,1382_5,5,10,0.643,0.0276
Trettin_et_al_2017,1382,1382_5,24,29,0.651,0.0182
Trettin_et_al_2017,1382,1382_5,35,40,0.655,0.021400000000000002
Trettin_et_al_2017,1382,1382_5,70,75,0.732,0.0158
Trettin_et_al_2017,1382,1382_5,145,150,0.813,0.016
Trettin_et_al_2017,1382,1382_5,190,195,0.643,0.0163
Trettin_et_al_2017,15,15_1,5,10,0.873,0.0199
Trettin_et_al_2017,15,15_1,20,25,0.962,0.0137
Trettin_et_al_2017,15,15_1,35,40,0.749,0.0219
Trettin_et_al_2017,15,15_1,70,75,0.699,0.0159
Trettin_et_al_2017,15,15_1,145,150,0.708,0.019299999999999998
Trettin_et_al_2017,15,15_1,170,175,0.848,0.0177
Trettin_et_al_2017,15,15_2,5,10,1.004,0.019
Trettin_et_al_2017,15,15_2,20,25,1.021,0.012199999999999999
Trettin_et_al_2017,15,15_2,35,40,0.975,0.0092
Trettin_et_al_2017,15,15_2,70,75,0.885,0.019
Trettin_et_al_2017,15,15_2,145,150,0.869,0.0178
Trettin_et_al_2017,15,15_6,20,25,1.16,0.0055000000000000005
Trettin_et_al_2017,15,15_6,35,40,1.455,0.0059
Trettin_et_al_2017,15,15_6,70,75,1.228,0.006
Trettin_et_al_2017,15,15_6,115,120,1.317,0.0040999999999999995
Trettin_et_al_2017,16,16_1,5,10,0.862,0.0175
Trettin_et_al_2017,16,16_1,20,25,0.681,0.0235
Trettin_et_al_2017,16,16_1,35,40,0.822,0.0158
Trettin_et_al_2017,16,16_1,70,75,0.639,0.0223
Trettin_et_al_2017,16,16_1,145,150,0.77,0.0208
