Site                        ,Geomorphic Setting,Core ID,Sample ID,Pre-ignition sample weight (g),Sample Loss (g),%LOI,Core ID,Sample ID,Mass (mg),%OC,mgC
Bremer Bay,Fluvial,CO70,26_30,4.46,0.15,3.43,CO70,25-30,85.64,1.91,1.64
Bremer Bay,Fluvial,CO70,41_45,3.22,0.35,10.97,CO70,40-45,89.74,2.74,2.46
Bremer Bay,Fluvial,CO70,56_60,4.24,0.2,4.73,CO70,55-60,91.32,1.4,1.28
Oyster Harbour,Fluvial,CO71,1,2.9,1.15,39.63,CO71,1,2.98,16.87,0.5
Oyster Harbour,Fluvial,CO71,4,2.73,1.32,48.26,CO71,4,3.25,20.14,0.65
Oyster Harbour,Fluvial,CO71,7,2.58,0.95,37.05,CO71,7,3.53,13.94,0.49
Oyster Harbour,Fluvial,CO71,10,3.46,1.2,34.64,CO71,10,3.6,14.38,0.52
Oyster Harbour,Fluvial,CO71,15,4.11,0.23,5.66,CO71,15,5.34,2.1,0.11
Oyster Harbour,Fluvial,CO71,20,4.04,0.11,2.73,CO71,20,6.37,1.07,0.07
Oyster Harbour,Fluvial,CO71,41_45,3.95,0.31,7.9,CO71,40-45,21.09,2.27,0.48
Oyster Harbour,Fluvial,CO71,56_60,4.54,0.18,4.02,CO71,55-60,20.91,0.86,0.18
Oyster Harbour,Intermediate,CO78,1,3.56,1.91,53.54,CO78,1,4.55,28.37,1.29
Oyster Harbour,Intermediate,CO78,4,3.45,2.06,59.81,CO78,4,3.38,32.29,1.09
Oyster Harbour,Intermediate,CO78,7,3.68,1.6,43.54,CO78,7,3.38,23.79,0.8
Oyster Harbour,Intermediate,CO78,10,3.68,0.84,22.75,CO78,10,3.21,8.45,0.27
Oyster Harbour,Intermediate,CO78,15,4.31,0.05,1.16,CO78,15,80.55,0.33,0.26
Oyster Harbour,Intermediate,CO78,20,4.06,0.09,2.16,CO78,20,21.08,1.21,0.26
Oyster Harbour,Intermediate,CO78,26_30,4.42,0.14,3.16,CO78,25-30,20.87,1.69,0.35
Oyster Harbour,Intermediate,CO78,HEAD,4.38,0.13,2.91,CO78,HEAD,20.29,0.85,0.17
Oyster Harbour,Marine,CO72,1,4.25,0.42,9.89,CO72,1,2.96,4.82,0.14
Oyster Harbour,Marine,CO72,4,4.34,0.32,7.3,CO72,4,2.76,3.62,0.1
Oyster Harbour,Marine,CO72,7,4.01,0.31,7.65,CO72,7,5.12,3.72,0.19
Oyster Harbour,Marine,CO72,10,4.1,0.15,3.58,CO72,10,6.7,1.46,0.1
Oyster Harbour,Marine,CO72,15,4.34,0.11,2.58,CO72,15,21.05,0.79,0.17
Oyster Harbour,Marine,CO72,20,4.13,0.09,2.07,CO72,20,20.21,0.43,0.09
Oyster Harbour,Marine,CO72,26_30,4.38,0.06,1.3,CO72,25-30,20.34,0.4,0.08
Oyster Harbour,Marine,CO72,41_45,4.15,0.07,1.77,CO72,40-45,20.86,0.53,0.11
Oyster Harbour,Marine,CO72,56_60,4.69,0.08,1.8,CO72,55-60,20.02,0.57,0.11
Oyster Harbour,Marine,CO72,HEAD,3.98,0.07,1.78,CO72,HEAD,20.15,0.53,0.11
Wilson Inlet,Fluvial,CO73,4,3.96,0.45,11.36,CO73,4,19.39,4.68,0.91
Wilson Inlet,Fluvial,CO73,7,3.32,0.96,28.93,CO73,7,3.31,9.95,0.33
Wilson Inlet,Fluvial,CO73,10,4.02,1.21,30.17,CO73,10,2.47,11.12,0.27
Wilson Inlet,Fluvial,CO73,15,4.41,0.24,5.55,CO73,15,6.08,1.21,0.07
Wilson Inlet,Fluvial,CO73,20,3.92,0.18,4.52,CO73,20,6.01,1.15,0.07
Wilson Inlet,Fluvial,CO73,26_30,4.06,0.71,17.39,CO73,25-30,2.21,5.08,0.11
Wilson Inlet,Fluvial,CO73,HEAD,4.29,0.28,6.45,CO73,HEAD,2.12,2.17,0.05
Wilson Inlet,Intermediate,CO74,1,1.47,1.03,70.17,CO74,1,2.13,34.42,0.73
Wilson Inlet,Intermediate,CO74,4,2.52,1.52,60.1,CO74,4,1.96,31.8,0.62
Wilson Inlet,Intermediate,CO74,7,3.65,1.49,40.79,CO74,7,2.89,16.99,0.49
Wilson Inlet,Intermediate,CO74,10,3,0.67,22.18,CO74,10,6.04,7.86,0.47
Wilson Inlet,Intermediate,CO74,15,3.64,0.46,12.62,CO74,15,11.49,3.71,0.43
Wilson Inlet,Intermediate,CO74,20,4.1,0.26,6.44,CO74,20,21.89,1.95,0.43
Wilson Inlet,Intermediate,CO74,26_30,4.65,0.07,1.56,CO74,25-30,60.74,0.71,0.43
Wilson Inlet,Intermediate,CO74,41_45,4.37,0.06,1.45,CO74,40-45,21.42,0.29,0.06
Wilson Inlet,Intermediate,CO74,56_60,4.58,0.06,1.35,CO74,55-60,20.1,0.28,0.06
Wilson Inlet,Intermediate,CO74,76_80,4.41,0.07,1.58,CO74,75-80,20.07,0.33,0.07
Wilson Inlet,Marine,CO43,1,4.05,0.27,6.61,CO43,1,15.2,3.28,0.5
Wilson Inlet,Marine,CO43,4,4.17,0.12,2.77,C043,4,39.12,0.9,0.35
Wilson Inlet,Marine,CO43,7,4.33,0.1,2.41,CO43,7,91.78,0.62,0.57
Wilson Inlet,Marine,CO43,10,4.37,0.1,2.35,CO43,10,103.89,0.51,0.53
Wilson Inlet,Marine,CO43,15,4.27,0.09,2.2,CO43,15,99.46,0.47,0.47
Wilson Inlet,Marine,CO43,20,4.27,0.08,1.88,CO43,20,98.18,1.73,1.7
Wilson Inlet,Marine,CO43,26_30,4.01,0.05,1.22,CO43,25-30,95.23,1.27,1.21
Wilson Inlet,Marine,CO43,41_45,4.01,0.09,2.19,CO43,40-45,100.48,1.72,1.73
Wilson Inlet,Marine,CO43,56_60,4.6,0.07,1.46,CO43,55-60,99.78,0.97,0.97
Wilson Inlet,Marine,CO43,76_80,4.01,0.04,1,CO43,75-80,100.72,0.23,0.23
Nornalup Inlet,Fluvial,CO75,1,3.67,2.06,56.12,CO75,1,3.22,33.8,1.09
Nornalup Inlet,Fluvial,CO75,4,1.35,0.88,65.54,CO75,4,3.26,33.01,1.08
Nornalup Inlet,Fluvial,CO75,7,4.14,1.4,33.94,CO75,7,2.77,18.14,0.5
Nornalup Inlet,Fluvial,CO75,10,2.45,1.23,50.25,CO75,10,2.72,29.7,0.81
Nornalup Inlet,Fluvial,CO75,15,4.44,0.78,17.67,CO75,15,3.01,12.53,0.38
Nornalup Inlet,Fluvial,CO75,20,2.81,1.38,49,CO75,20,2,31.97,0.64
Nornalup Inlet,Fluvial,CO75,26_30,2.47,1.19,48.3,CO75,25-30,2.38,28.67,0.68
Nornalup Inlet,Fluvial,CO75,41_45,4.55,0.3,6.58,CO75,40-45,2.43,5.13,0.12
Nornalup Inlet,Fluvial,CO75,56_60,4.15,0.15,3.69,CO75,55-60,2.46,1.19,0.03
Nornalup Inlet,Fluvial,CO75,76_80,4.29,0.21,4.98,CO75,75-80,2.13,3.62,0.08
Nornalup Inlet,Marine,CO76,1,4.37,0.14,3.26,CO76,1,21.22,0.9,0.19
Nornalup Inlet,Marine,CO76,4,4.37,0.37,8.53,CO76,4,27.65,3.21,0.89
Nornalup Inlet,Marine,CO76,7,4.03,0.18,4.34,CO76,7,20.06,1.6,0.32
Nornalup Inlet,Marine,CO76,10,4.58,0.15,3.25,CO76,10,21.05,1.22,0.26
Nornalup Inlet,Marine,CO76,15,3.95,0.09,2.38,CO76,15,20.2,0.76,0.15
Nornalup Inlet,Marine,CO76,20,4.44,0.07,1.62,CO76,20,20.81,0.38,0.08
Nornalup Inlet,Marine,CO76,26_30,4.25,0.06,1.47,CO76,25-30,21.21,0.32,0.07
Nornalup Inlet,Marine,CO76,41_45,4.16,0.05,1.2,CO76,40-45,20.92,2.3,0.48
Nornalup Inlet,Marine,CO76,56_60,4.58,0.06,1.35,CO76,55-60,20.32,2.37,0.48
Nornalup Inlet,Marine,CO76,76_80,4.15,0.05,1.15,CO76,75-80,19.83,2.43,0.48
Nornalup Inlet,Intermediate,CO66,1,4.58,0.45,9.93,CO66,1,2.13,6.19,0.13
Nornalup Inlet,Intermediate,CO66,4,4.32,0.36,8.44,CO66,4,2.14,7.34,0.16
Nornalup Inlet,Intermediate,CO66,7,4.2,0.43,10.15,CO66,7,2.06,8.44,0.17
Nornalup Inlet,Intermediate,CO66,10,4.29,0.16,3.7,CO66,10,2.09,2.53,0.05
Nornalup Inlet,Intermediate,CO66,15,4.32,0.09,2.17,CO66,15,2.1,1.69,0.04
Nornalup Inlet,Intermediate,CO66,20,4.19,0.08,1.92,CO66,20,5.92,1.01,0.06
Nornalup Inlet,Intermediate,CO66,26_30,4.01,0.07,1.8,CO66,25-30,6.08,1.13,0.07
Nornalup Inlet,Intermediate,CO66,41_45,4.08,0.06,1.45,CO66,40-45,20.04,0.8,0.16
Nornalup Inlet,Intermediate,CO66,56_60,4.22,0.07,1.54,CO66,55-60,14.54,0.62,0.09
Hardy Inlet,Marine,CO67,1,4.18,0.26,6.19,CO67,1,62.97,1.66,1.04
Hardy Inlet,Marine,CO67,4,3.96,0.42,10.72,CO67,4,63.14,3.02,1.91
Hardy Inlet,Marine,CO67,7,4.17,0.27,6.37,CO67,7,85.88,3.41,2.93
Hardy Inlet,Marine,CO67,10,4.15,0.19,4.69,CO67,10,99.08,3.06,3.03
Hardy Inlet,Marine,CO67,15,4.2,0.17,4.04,CO67,15,100.32,0,0
Hardy Inlet,Marine,CO67,20,4.28,0.2,4.62,CO67,20,27.16,0.52,0.14
Hardy Inlet,Marine,CO67,26_30,4.25,0.18,4.12,CO67,25-30,93.61,2.94,2.75
Hardy Inlet,Marine,CO67,41_45,4.3,0.16,3.72,CO67,40-45,101.16,2.88,2.91
Hardy Inlet,Marine,CO67,56_60,4.39,0.17,3.82,CO67,55-60,98.17,1.71,1.68
Hardy Inlet,Marine,CO67,HEAD,4.16,0.13,3.16,CO67,Head,98.47,1.04,1.02
Hardy Inlet,Intermediate,CO77,1,1.21,0.78,64.69,CO77,1,3.24,30.51,0.99
Hardy Inlet,Intermediate,CO77,4,3.18,1.74,54.88,CO77,4,3.08,28.67,0.88
Hardy Inlet,Intermediate,CO77,7,3.51,1.82,51.94,CO77,7,3.35,27.41,0.92
Hardy Inlet,Intermediate,CO77,10,3.69,1.17,31.76,CO77,10,3.17,14.06,0.45
Hardy Inlet,Intermediate,CO77,15,3.94,1.06,26.97,CO77,15,3.26,11.89,0.39
Hardy Inlet,Intermediate,CO77,20,3.96,1.13,28.65,CO77,20,3.22,13.21,0.43
Hardy Inlet,Intermediate,CO77,26_30,4.54,0.27,5.89,CO77,25-30,18.43,1,0.18
Hardy Inlet,Intermediate,CO77,41_45,4.27,0.44,10.31,CO77,40-45,93.12,0.18,0.17
Hardy Inlet,Intermediate,CO77,HEAD,4.49,0.4,8.91,CO77,HEAD,101.41,0.15,0.16
Hardy Inlet,Fluvial,CO79,1,2.73,1.32,48.23,CO79,1,19.02,25.2,4.79
Hardy Inlet,Fluvial,CO79,4,3.29,1.61,48.79,CO79,4,4.28,26.9,1.15
Hardy Inlet,Fluvial,CO79,7,3.01,1.39,46.37,CO79,7,3.88,26.1,1.01
Hardy Inlet,Fluvial,CO79,10,2.23,1.03,46.3,CO79,10,17.02,25.27,4.3
Hardy Inlet,Fluvial,CO79,15,2.06,0.97,46.96,CO79,15,4.21,22.08,0.93
Hardy Inlet,Fluvial,CO79,20,1.35,0.62,45.73,CO79,20,4.29,20.29,0.87
Hardy Inlet,Fluvial,CO79,26_30,3.28,1.03,31.55,CO79,25-30,3.64,16.54,0.6
Hardy Inlet,Fluvial,CO79,41_45,4.12,0.31,7.45,CO79,40-45,3.58,2.38,0.09
Hardy Inlet,Fluvial,CO79,56_60,3.96,0.28,7.06,CO79,55-60,3.27,1.78,0.06
Hardy Inlet,Fluvial,CO79,HEAD,4.15,0.34,8.24,CO79,Head,3.52,2.69,0.09
Vasse-Wonnerup,Fluvial,CO44,1,4.41,0.12,2.76,CO44,1,90.7,1.33,1.21
Vasse-Wonnerup,Fluvial,CO44,4,3.98,0.07,1.72,CO44,4,93.37,0.75,0.7
Vasse-Wonnerup,Fluvial,CO44,7,3.96,0.06,1.48,CO44,7,86.51,0.69,0.6
Vasse-Wonnerup,Fluvial,CO44,10,4.31,0.04,0.88,CO44,10,97.69,0.35,0.34
Vasse-Wonnerup,Fluvial,CO44,15,4.16,0.02,0.38,CO44,15,89.09,0.1,0.09
Vasse-Wonnerup,Fluvial,CO44,20,4.32,0.02,0.38,CO44,20,94.13,0.05,0.05
Vasse-Wonnerup,Fluvial,CO44,26_30,4.39,0.05,1.13,CO44,25-30,60.52,0.31,0.19
Vasse-Wonnerup,Fluvial,CO44,HEAD,4.01,0.03,0.67,CO44,HEAD,80.92,0.23,0.19
Leschenault,Intermediate,CO80,1,4.47,0.11,2.55,CO80,1,17.55,1.21,0.21
Leschenault,Intermediate,CO80,4,4.67,0.24,5.17,CO80,4,19.12,2.04,0.39
Leschenault,Intermediate,CO80,7,4.17,0.05,1.18,CO80,7,52.18,0.44,0.23
Leschenault,Intermediate,CO80,10,4.33,0.03,0.65,CO80,10,73.4,0.27,0.2
Leschenault,Intermediate,CO80,15,3.72,0.02,0.43,CO80,15,92.98,0.15,0.14
Leschenault,Intermediate,CO80,20,4.13,0.02,0.42,CO80,20,90.73,0.13,0.12
Leschenault,Intermediate,CO80,26_30,4.68,0.01,0.31,CO80,25-30,91.13,0.11,0.1
Leschenault,Intermediate,CO80,41_45,4.2,0.01,0.3,CO80,40-45,92.84,0.11,0.1
Leschenault,Intermediate,CO80,56_60,4.2,0.05,1.25,CO80,55-60,11.47,0.67,0.08
Leschenault,Intermediate,CO80,76_80,4.29,0.04,0.99,CO80,75-80,67.77,0.43,0.29
Leschenault,Marine,CO81,1,2.67,1.19,44.78,CO81,1,3.42,24.68,0.84
Leschenault,Marine,CO81,7,4.46,0.73,16.42,CO81,7,3.63,10.58,0.38
Leschenault,Marine,CO81,10,4.05,0.21,5.16,CO81,10,4.95,4.99,0.25
Leschenault,Marine,CO81,15,4.02,0.11,2.79,CO81,15,20.11,0.85,0.17
Leschenault,Marine,CO81,20,4.1,0.09,2.23,CO81,20,20.62,1.26,0.26
Leschenault,Marine,CO81,26_30,4.18,0.06,1.37,CO81,25-30,20.16,0.33,0.07
Leschenault,Marine,CO81,41_45,4.62,0.06,1.32,CO81,40-45,20,0.39,0.08
Leschenault,Marine,CO81,56_60,4.18,0.06,1.53,CO81,55-60,20.73,0.34,0.07
Leschenault,Marine,CO81,76_80,4.22,0.05,1.08,CO81,75-80,57.82,0.46,0.27
Leschenault,Fluvial,CO82,1,4.26,0.28,6.56,CO82,1,4.47,2.24,0.1
Leschenault,Fluvial,CO82,4,4.38,0.25,5.8,CO82,4,4.74,2.2,0.1
Leschenault,Fluvial,CO82,7,4.03,0.72,17.93,CO82,7,4.02,4.93,0.2
Leschenault,Fluvial,CO82,10,4.23,0.34,8,CO82,10,3.74,2.41,0.09
Leschenault,Fluvial,CO82,15,4.19,0.09,2.04,CO82,15,15.81,0.51,0.08
Leschenault,Fluvial,CO82,20,4.49,0.08,1.71,CO82,20,35.08,0.45,0.16
Leschenault,Fluvial,CO82,26_30,4.33,0.03,0.71,CO82,25-30,32.5,0.2,0.06
Leschenault,Fluvial,CO82,41_45,4.29,0.03,0.78,CO82,40-45,47.73,0.18,0.09
Leschenault,Fluvial,CO82,56_60,4.1,0.03,0.71,CO82,55-60,49.09,0.13,0.06
Leschenault,Fluvial,CO82,76_80,4.32,0.02,0.55,CO82,75-80,79.54,0.27,0.22
Peel-Harvey,Intermediate,CO83,1,4.02,1.25,30.99,CO83,1,11.62,12.48,1.45
Peel-Harvey,Intermediate,CO83,4,4.03,1.3,32.29,CO83,4,9.18,14.38,1.32
Peel-Harvey,Intermediate,CO83,7,3.78,0.73,19.37,CO83,7,5.99,6.83,0.41
Peel-Harvey,Intermediate,CO83,10,4.21,0.72,17.08,CO83,10,5.76,4.89,0.28
Peel-Harvey,Intermediate,CO83,15,3.9,0.72,18.56,CO83,15,6.09,5.68,0.35
Peel-Harvey,Intermediate,CO83,20,4.08,0.71,17.48,CO83,20,8.7,5.38,0.47
Peel-Harvey,Intermediate,CO83,26_30,4.25,0.69,16.21,CO83,25-30,11.63,7.15,0.83
Peel-Harvey,Intermediate,CO83,41_45,4.29,0.05,1.21,CO83,40-45,84.11,0.42,0.35
Peel-Harvey,Intermediate,CO83,56_60,4.18,0.05,1.18,CO83,55-60,94.35,0.37,0.35
Peel-Harvey,Intermediate,CO83,76_80,4.39,0.04,0.99,CO83,75-80,85.69,0.35,0.3
Peel-Harvey,Marine,CO84,1,4.03,0.54,13.44,CO84,1,28.88,3.83,1.11
Peel-Harvey,Marine,CO84,4,4.1,1.61,39.3,CO84,4,18.57,16.88,3.13
Peel-Harvey,Marine,CO84,7,4.04,0.57,14.11,CO84,7,32.05,3.71,1.19
Peel-Harvey,Marine,CO84,10,4.41,0.35,7.84,CO84,10,59.29,1.53,0.91
Peel-Harvey,Marine,CO84,15,4.17,0.21,4.95,CO84,15,97.28,0.32,0.31
Peel-Harvey,Marine,CO84,20,4.26,0.24,5.7,CO84,20,96.03,0.35,0.34
Peel-Harvey,Marine,CO84,26_30,4.03,0.16,3.99,CO84,25-30,95.6,0.29,0.28
Peel-Harvey,Marine,CO84,41_45,4.38,0.16,3.56,CO84,40-45,96.81,1.45,1.4
Peel-Harvey,Marine,CO84,56_60,4.14,0.22,5.27,CO84,55-60,97.64,2.58,2.52
Peel-Harvey,Marine,CO84,HEAD,4.23,0.16,3.87,CO84,HEAD,88.42,2.54,2.24
Peel-Harvey,Fluvial,CO85,1,3.91,1.38,35.34,CO85,1,6.29,17.45,1.1
Peel-Harvey,Fluvial,CO85,4,3.5,1.29,36.93,CO85,4,12.08,16.75,2.02
Peel-Harvey,Fluvial,CO85,7,3.93,0.25,6.35,CO85,7,101.47,1.56,1.58
Peel-Harvey,Fluvial,CO85,10,4.4,0.16,3.53,CO85,10,98.7,0.57,0.56
Peel-Harvey,Fluvial,CO85,15,4.39,0.04,0.9,CO85,15,93.99,0.16,0.15
Peel-Harvey,Fluvial,CO85,20,4.18,0.04,1.06,CO85,20,98.68,0.07,0.07
Peel-Harvey,Fluvial,CO85,26_30,4.03,0.05,1.12,CO85,25-30,99.19,0.05,0.05
Peel-Harvey,Fluvial,CO85,41_45,4.25,0.07,1.75,CO85,40-45,99,0.09,0.09
Peel-Harvey,Fluvial,CO85,56_60,4.11,0.13,3.15,CO85,55-60,96.39,0.19,0.18
Peel-Harvey,Fluvial,CO85,76_80,4.04,0.27,6.62,CO85,75-80,27.96,1.19,0.33
Swan,Intermediate,CO86 ,1,4.07,1.41,34.59,CO86,1,23.78,14.22,3.38
Swan,Intermediate,CO86 ,4,3.82,1.35,35.32,CO86,4,23.66,13.47,3.19
Swan,Intermediate,CO86 ,7,2.85,1.18,41.58,CO86,7,24.32,17.06,4.15
Swan,Intermediate,CO86 ,10,3.41,1.4,40.92,CO86,10,24.95,17.8,4.44
Swan,Intermediate,CO86 ,15,3.86,0.47,12.28,CO86,15,56.08,3.97,2.22
Swan,Intermediate,CO86 ,20,4.23,0.21,4.86,CO86,20,70.12,1.01,0.71
Swan,Intermediate,CO86 ,26_30,4.22,0.05,1.29,CO86,25--30,89.51,0.22,0.2
Swan,Intermediate,CO86 ,41_45,4.28,0.07,1.53,CO86,40-45,92,0.16,0.15
Swan,Intermediate,CO86 ,56_60,4.22,0.34,8.01,CO86,55-60,40.03,0.81,0.32
Swan,Intermediate,CO86 ,76_80,4.18,0.32,7.74,CO86,75-80,66.61,1.14,0.76
Swan,Fluvial,CO89,1,2.95,1.61,54.41,CO89,1,3.21,26.2,0.84
Swan,Fluvial,CO89,4,3.87,1.42,36.6,CO89,4,3.29,21.94,0.72
Swan,Fluvial,CO89,7,3.86,1.16,30.07,CO89,7,3.23,16.86,0.54
Swan,Fluvial,CO89,10,3.78,1.06,28.09,CO89,10,3.2,15.32,0.49
Swan,Fluvial,CO89,15,3.93,1.21,30.78,CO89,15,3.13,17.14,0.54
Swan,Fluvial,CO89,20,3.85,0.78,20.18,CO89,20,2.95,9.34,0.28
Swan,Fluvial,CO89,26_30,4.66,0.11,2.41,CO89,25-30,5.66,1.15,0.06
Swan,Fluvial,CO89,41_45,4.1,0.25,5.99,CO89,40-45,6.44,2.05,0.13
Swan,Fluvial,CO89,56_60,4.02,0.06,1.52,CO89,55-60,11.55,0.38,0.04
