lat_long,n,core_ids,study_ids,num_studies
"-15.47812, 47.10877",2,M1027,Blue_Ventures_Unpublished,1
"-15.47816, 47.10429",2,M1028,Blue_Ventures_Unpublished,1
"-15.4804, 47.0367",2,M1047,Blue_Ventures_Unpublished,1
"-15.48044, 47.09529",2,M1030,Blue_Ventures_Unpublished,1
"-15.48466, 47.10435",2,M1029,Blue_Ventures_Unpublished,1
"-15.48486, 47.04603",2,M1050,Blue_Ventures_Unpublished,1
"-15.48489, 47.04137",2,M1049,Blue_Ventures_Unpublished,1
"-15.48493, 47.03671",2,M1048,Blue_Ventures_Unpublished,1
"-15.51429, 47.02285",2,M1055,Blue_Ventures_Unpublished,1
"-15.51984, 47.02168",2,M1056,Blue_Ventures_Unpublished,1
"-15.52123, 47.0161",2,M1061,Blue_Ventures_Unpublished,1
"-15.52792, 47.03859",2,M1057,Blue_Ventures_Unpublished,1
"-15.52796, 47.02455",2,M1054,Blue_Ventures_Unpublished,1
"-15.53327, 47.0358",2,M1062,Blue_Ventures_Unpublished,1
"-15.53659, 46.99864",2,M1066,Blue_Ventures_Unpublished,1
"-15.53994, 47.04843",2,M1059,Blue_Ventures_Unpublished,1
"-15.54073, 47.02215",2,M1065,Blue_Ventures_Unpublished,1
"-15.54203, 46.99533",2,M1064,Blue_Ventures_Unpublished,1
"-15.54271, 47.03867",2,M1063,Blue_Ventures_Unpublished,1
"-15.54286, 47.02609",2,M1060,Blue_Ventures_Unpublished,1
"-15.54468, 46.9439",2,M1070,Blue_Ventures_Unpublished,1
"-15.5447, 46.94166",2,M1071,Blue_Ventures_Unpublished,1
"-15.5468, 47.04011",2,M1058,Blue_Ventures_Unpublished,1
"-15.55, -38.9833",2,M1733,RadamBrasil,1
"-15.58394, 46.9174",2,M1052,Blue_Ventures_Unpublished,1
"-15.58611, 46.93982",2,M1053,Blue_Ventures_Unpublished,1
"-15.58837, 46.91308",2,M1051,Blue_Ventures_Unpublished,1
"-15.59689, 46.92649",2,M1072,Blue_Ventures_Unpublished,1
"-15.60113, 46.92216",2,M1074,Blue_Ventures_Unpublished,1
"-15.60122, 46.92653",2,M1073,Blue_Ventures_Unpublished,1
"-15.63733, 47.01191",2,M1040,Blue_Ventures_Unpublished,1
"-15.64055, 47.0153",2,M1039,Blue_Ventures_Unpublished,1
"-15.64813, 47.00083",2,M1042,Blue_Ventures_Unpublished,1
"-15.6515, 47.0031",2,M1041,Blue_Ventures_Unpublished,1
"-15.6526, 47.01889",2,M1037,Blue_Ventures_Unpublished,1
"-15.65416, 46.99915",2,M1036,Blue_Ventures_Unpublished,1
"-15.65985, 46.9825",2,M1038,Blue_Ventures_Unpublished,1
"-16.45, 145.58",4,"Miyajima_et_al_1998_1, Miyajima_et_al_1998_2",Miyajima_et_al_1998,1
"-16.8773, 145.7853",2,Mellors_et_al_2002_1,Mellors_et_al_2002,1
"-17, 145.77",2,M1707,AU_NatSoil,1
"-17.66, 146.1",2,M1708,AU_NatSoil,1
"-17.769699, -39.332558",6,"S10L1MG1, S10L1MG2, S10L1MG3",Rovai_et_al_2022,1
"-17.773427, -39.215733",6,"S10L3MG1, S10L3MG2, S10L3MG3",Rovai_et_al_2022,1
"-17.788452, -39.331621",6,"S10L2MG1, S10L2MG2, S10L2MG3",Rovai_et_al_2022,1
"-17.9486, 146.1056",2,Mellors_et_al_2002_2,Mellors_et_al_2002,1
"-18.0245, 36.85885",2,M1721,AfSIS_Sentinel_Sites,1
"-18.0246, 36.86041",2,M1720,AfSIS_Sentinel_Sites,1
"-18.0437, 36.83612",2,M1725,AfSIS_Sentinel_Sites,1
"-18.0438, 36.836",2,M1727,AfSIS_Sentinel_Sites,1
"-18.0452, 36.83748",2,M1730,AfSIS_Sentinel_Sites,1
"-18.0453, 36.86095",2,M1716,AfSIS_Sentinel_Sites,1
"-18.0456, 36.86033",2,M1719,AfSIS_Sentinel_Sites,1
"-18.0467, 36.82455",2,M1723,AfSIS_Sentinel_Sites,1
"-18.0467, 36.84099",2,M1728,AfSIS_Sentinel_Sites,1
"-18.0468, 36.83199",2,M1731,AfSIS_Sentinel_Sites,1
"-18.0472, 36.8401",2,M1729,AfSIS_Sentinel_Sites,1
"-18.0478, 36.84018",2,M1726,AfSIS_Sentinel_Sites,1
"-18.0482, 36.82079",2,M1724,AfSIS_Sentinel_Sites,1
"-18.0484, 36.85908",2,M1717,AfSIS_Sentinel_Sites,1
"-18.0494, 36.82481",2,M1722,AfSIS_Sentinel_Sites,1
"-18.0532, 36.8631",2,M1718,AfSIS_Sentinel_Sites,1
"-18.078864, 146.023005",2,M1327,Frusher_et_al_1994,1
"-18.083427, 146.000095",2,M1328,Frusher_et_al_1994,1
"-18.100419, 145.961916",2,M1331,Frusher_et_al_1994,1
"-18.101195, 145.985549",2,M1329,Frusher_et_al_1994,1
"-18.105466, 145.963259",2,M1330,Frusher_et_al_1994,1
"-18.247089, 146.233773",2,M0025,Alongi_1996,1
"-18.247934, 146.233685",2,M0022,Alongi_1996,1
"-18.248799000000002, 146.233672",2,M0023,Alongi_1996,1
"-18.249189, 146.2791",2,M1306,Brunskill_et_al_2002,1
"-18.24988, 146.233706",2,M0024,Alongi_1996,1
"-18.254071, 146.272273",2,M1092,Sanders_et_al_2016_JGR_Biogeoscience,1
"-18.254299, 146.272237",2,M1091,Sanders_et_al_2016_JGR_Biogeoscience,1
"-18.2545, 146.27219",2,M1090,Sanders_et_al_2016_JGR_Biogeoscience,1
"-18.254717, 146.272162",2,M1089,Sanders_et_al_2016_JGR_Biogeoscience,1
"-18.254936, 146.272122",2,M1088,Sanders_et_al_2016_JGR_Biogeoscience,1
"-18.255161, 146.272092",2,M1087,Sanders_et_al_2016_JGR_Biogeoscience,1
"-18.2634, 146.0358",2,Mellors_et_al_2002_3,Mellors_et_al_2002,1
"-18.358643, 146.14801",4,"M0055, M0056",Matsui_1998,1
"-18.358774, 146.145808",4,"M0053, M0054",Matsui_1998,1
"-18.363156, 146.153693",2,M1308,Brunskill_et_al_2002,1
"-18.364415, 146.14926",2,M0017,Alongi_et_al_1999,1
"-18.37, 146.11",2,M1709,AU_NatSoil,1
"-18.377084, 146.141792",2,M1307,Brunskill_et_al_2002,1
"-18.40913, 146.21997",6,"M0066, M0067, M0068",Matsui_1998,1
"-18.418583, 146.193519",2,M0016,Alongi_et_al_1999,1
"-18.421099, 146.193129",6,"M0063, M0064, M0065",Matsui_1998,1
"-18.42286, 146.19197",6,"M0060, M0061, M0062",Matsui_1998,1
"-18.424325, 146.195218",6,"M0057, M0058, M0059",Matsui_1998,1
"-18.437749, 146.186938",2,M0052,Matsui_1998,1
"-18.438016, 146.186906",2,M0051,Matsui_1998,1
"-18.438278, 146.186847",2,M0050,Matsui_1998,1
"-18.438536, 146.186804",2,M0049,Matsui_1998,1
"-18.438787, 146.186745",2,M0048,Matsui_1998,1
"-18.439041, 146.186717",2,M0047,Matsui_1998,1
"-18.439263, 146.186688",2,M0046,Matsui_1998,1
"-18.439432, 146.186671",2,M0045,Matsui_1998,1
"-18.439568, 146.186662",2,M0044,Matsui_1998,1
"-18.439847, 146.186604",2,M0043,Matsui_1998,1
"-18.440094, 146.18658",2,M0042,Matsui_1998,1
"-18.440358, 146.186545",2,M0041,Matsui_1998,1
"-18.44063, 146.186519",2,M0040,Matsui_1998,1
"-18.440898, 146.186483",2,M0039,Matsui_1998,1
"-18.44117, 146.186447",2,M0038,Matsui_1998,1
"-18.441423, 146.186399",2,M0037,Matsui_1998,1
"-18.441679, 146.186347",2,M0036,Matsui_1998,1
"-18.441938, 146.186312",2,M0035,Matsui_1998,1
"-18.442197, 146.186261",2,M0034,Matsui_1998,1
"-18.442462, 146.18623",2,M0033,Matsui_1998,1
"-18.442721, 146.186194",2,M0032,Matsui_1998,1
"-18.743, 36.119",6,"15_1, 15_2, 15_6",Trettin_et_al_2017,1
"-18.743, 36.128",12,"16_1, 16_2, 16_3, 16_4, 16_5, 16_6",Trettin_et_al_2017,1
"-18.744, 36.112",12,"13_1, 13_2, 13_3, 13_4, 13_5, 13_6",Trettin_et_al_2017,1
"-18.746, 36.21",12,"32B_1, 32B_2, 32B_3, 32B_4, 32B_5, 32B_6",Trettin_et_al_2017,1
"-18.746, 36.223",12,"36_1, 36_2, 36_3, 36_4, 36_5, 36_6",Trettin_et_al_2017,1
"-18.747, 36.216",12,"35_1, 35_2, 35_3, 35_4, 35_5, 35_6",Trettin_et_al_2017,1
"-18.75, 178.5",4,"Yamamuro_et_al_1993_1, Yamamuro_et_al_1993_2",Yamamuro_et_al_1993,1
"-18.75, 36.115",12,"17_1, 17_2, 17_3, 17_4, 17_5, 17_6",Trettin_et_al_2017,1
"-18.752, 36.214",12,"37_1, 37_2, 37_3, 37_4, 37_5, 37_6",Trettin_et_al_2017,1
"-18.76, 36.144",10,"25_2, 25_3, 25_4, 25_5, 25_6",Trettin_et_al_2017,1
"-18.762, 36.139",12,"26_1, 26_2, 26_3, 26_4, 26_5, 26_6",Trettin_et_al_2017,1
"-18.766, 36.15",10,"27_1, 27_2, 27_3, 27_5, 27_6",Trettin_et_al_2017,1
"-18.767, 36.151",12,"29_1, 29_2, 29_3, 29_4, 29_5, 29_6",Trettin_et_al_2017,1
"-18.798088, 36.279556",6,"M0364, M0365, M0366",Stringer_et_al_2015,1
"-18.808457, 36.3035",10,"806_1, 806_2, 806_3, 806_4, 806_5",Trettin_et_al_2017,1
"-18.812733, 36.128404",10,"9008_1, 9008_2, 9008_3, 9008_4, 9008_5",Trettin_et_al_2017,1
"-18.818504, 36.24601",10,"864_1, 864_2, 864_3, 864_4, 864_5",Trettin_et_al_2017,1
"-18.822449, 36.132373",10,"9007_1, 9007_2, 9007_3, 9007_4, 9007_5",Trettin_et_al_2017,1
"-18.823362, 36.211684",8,"9024_1, 9024_2, 9024_3, 9024_4",Trettin_et_al_2017,1
"-18.824439, 36.218115",10,"9005_1, 9005_2, 9005_3, 9005_4, 9005_5",Trettin_et_al_2017,1
"-18.824673, 36.194916",4,"M0367, M0368",Stringer_et_al_2015,1
"-18.831602, 36.264041",10,"9001_1, 9001_2, 9001_3, 9001_4, 9001_5",Trettin_et_al_2017,1
"-18.831799, 36.240201",10,"1001_1, 1001_2, 1001_3, 1001_4, 1001_5",Trettin_et_al_2017,1
"-18.833962, 36.18594",8,"9004_1, 9004_3, 9004_4, 9004_5",Trettin_et_al_2017,1
"-18.840148, 36.264355",10,"1079_1, 1079_2, 1079_3, 1079_4, 1079_5",Trettin_et_al_2017,1
"-18.84346, 36.132076",10,"9022_1, 9022_2, 9022_3, 9022_4, 9022_5",Trettin_et_al_2017,1
"-18.845133, 36.118808",10,"9009_1, 9009_2, 9009_3, 9009_4, 9009_5",Trettin_et_al_2017,1
"-18.845148, 36.213549",8,"1113_1, 1113_2, 1113_3, 1113_4",Trettin_et_al_2017,1
"-18.845914, 36.306805",10,"1130_1, 1130_2, 1130_3, 1130_4, 1130_5",Trettin_et_al_2017,1
"-18.850342, 36.26043",8,"9002_1, 9002_2, 9002_3, 9002_4",Trettin_et_al_2017,1
"-18.851282, 36.278995",10,"9025_1, 9025_2, 9025_3, 9025_4, 9025_5",Trettin_et_al_2017,1
"-18.854252, 36.123515",10,"1216_1, 1216_2, 1216_3, 1216_4, 1216_5",Trettin_et_al_2017,1
"-18.854268, 36.237751",10,"1219_1, 1219_2, 1219_3, 1219_4, 1219_5",Trettin_et_al_2017,1
"-18.860066, 36.269428",10,"1254_1, 1254_2, 1254_3, 1254_4, 1254_5",Trettin_et_al_2017,1
"-18.860388, 36.166532",10,"9027_1, 9027_2, 9027_3, 9027_4, 9027_5",Trettin_et_al_2017,1
"-18.864463, 36.221288",10,"9020_1, 9020_2, 9020_3, 9020_4, 9020_5",Trettin_et_al_2017,1
"-18.86529, 36.141464",10,"1285_1, 1285_2, 1285_3, 1285_4, 1285_5",Trettin_et_al_2017,1
"-18.865541, 36.182005",10,"9018_1, 9018_2, 9018_3, 9018_4, 9018_5",Trettin_et_al_2017,1
"-18.868526, 36.282128",4,"1305_1, 1305_4",Trettin_et_al_2017,1
"-18.868706, 36.141405",10,"9021_1, 9021_2, 9021_3, 9021_4, 9021_5",Trettin_et_al_2017,1
"-18.869369, 36.186352",10,"9017_1, 9017_2, 9017_3, 9017_4, 9017_5",Trettin_et_al_2017,1
"-18.870643, 36.270942",8,"9006_1, 9006_2, 9006_3, 9006_5",Trettin_et_al_2017,1
"-18.870943, 36.20356",10,"1314_1, 1314_2, 1314_3, 1314_4, 1314_5",Trettin_et_al_2017,1
"-18.871772, 36.280204",10,"1317_1, 1317_2, 1317_3, 1317_4, 1317_5",Trettin_et_al_2017,1
"-18.873529, 36.21079",10,"9013_1, 9013_2, 9013_3, 9013_4, 9013_5",Trettin_et_al_2017,1
"-18.875474, 36.275058",10,"9003_1, 9003_2, 9003_3, 9003_4, 9003_5",Trettin_et_al_2017,1
"-18.87926, 36.152707",10,"1359_1, 1359_2, 1359_3, 1359_4, 1359_5",Trettin_et_al_2017,1
"-18.881049, 36.185503",10,"9019_1, 9019_2, 9019_3, 9019_4, 9019_5",Trettin_et_al_2017,1
"-18.881318, 36.205854",10,"9014_1, 9014_2, 9014_3, 9014_4, 9014_5",Trettin_et_al_2017,1
"-18.881442, 36.168942",10,"1361_1, 1361_2, 1361_3, 1361_4, 1361_5",Trettin_et_al_2017,1
"-18.88302, 36.174246",10,"1382_1, 1382_2, 1382_3, 1382_4, 1382_5",Trettin_et_al_2017,1
"-18.884576, 36.170079",10,"9011_1, 9011_2, 9011_3, 9011_4, 9011_5",Trettin_et_al_2017,1
"-18.88562, 36.152977",10,"9023_1, 9023_2, 9023_3, 9023_4, 9023_5",Trettin_et_al_2017,1
"-18.891503, 36.177483",10,"9010_1, 9010_2, 9010_3, 9010_4, 9010_5",Trettin_et_al_2017,1
"-18.895905, 36.16247",10,"9012_1, 9012_2, 9012_3, 9012_4, 9012_5",Trettin_et_al_2017,1
"-19.1133, 146.8514",2,Mellors_et_al_2002_4,Mellors_et_al_2002,1
"-19.1487, 146.7909",2,Mellors_et_al_2002_6,Mellors_et_al_2002,1
"-19.16745, 146.8602",2,Mellors_et_al_2002_5,Mellors_et_al_2002,1
"-19.784300000000002, 147.7543",2,Mellors_et_al_2002_7,Mellors_et_al_2002,1
"-19.84184, 34.766158",2,M0369,Sitoe_et_al_2014,1
"-19.95365, -40.152067",6,"Santa Cruz _ 1, Santa Cruz _ 2, Santa Cruz _ 3",Howard_and_Fourqurean_2020,1
"-2.0744444444444445, 104.46916666666667",2,M0347,Murdiyarso_et_al_2015,1
"-2.17, 133.53583333333333",2,M0353,Murdiyarso_et_al_2015,1
"-2.42792, -79.687291",2,M0092,Twilley_et_al_1997,1
"-2.428006, -79.687389",2,M0091,Twilley_et_al_1997,1
"-2.435707, -79.687784",2,M0089,Twilley_et_al_1997,1
"-2.435771, -79.687614",2,M0090,Twilley_et_al_1997,1
"-2.448136, -79.690736",2,M0087,Twilley_et_al_1997,1
"-2.448372, -79.690668",2,M0088,Twilley_et_al_1997,1
"-2.7, 111.7",24,"M1435, M1436, M1437, M1438, M1439, M1440, M1501, M1502, M1503, M1504, M1505, M1506",Donato_et_al_2011,1
"-2.7683833333333334, -41.933616666666666",2,M0661,Szczygielski_et_al_2015,1
"-2.8, 111.7",24,"M1483, M1484, M1485, M1486, M1487, M1488, M1489, M1490, M1491, M1492, M1493, M1494",Donato_et_al_2011,1
"-2.85, -44.3333",2,M1734,RadamBrasil,1
"-2.861596, 111.694588",2,M0350,Murdiyarso_et_al_2015,1
"-2.9, 111.7",12,"M1495, M1496, M1497, M1498, M1499, M1500",Donato_et_al_2011,1
"-20.026, 148.255",2,Mellors_et_al_2002_8,Mellors_et_al_2002,1
"-20.301767, -40.285967",4,"Vitoria _ 1, Vitoria _ 2",Howard_and_Fourqurean_2020,1
"-20.321774, 118.651121",2,M0027,Alongi_et_al_2000,1
"-20.322908, 118.651878",2,M0026,Alongi_et_al_2000,1
"-20.325117, -40.271533",4,"Vila Velha _ 1, Vila Velha _ 2",Howard_and_Fourqurean_2020,1
"-20.728059, 116.620908",2,M0028,Alongi_et_al_2000,1
"-20.72806, 116.625047",2,M0029,Alongi_et_al_2000,1
"-21.601023, -41.049465",2,M0083,Jennerjahn_and_Ittekkot_1997,1
"-21.736174, 165.787142",2,M0237,Leopold_et_al_2013,1
"-21.73738, 165.787442",2,M0238,Leopold_et_al_2013,1
"-21.964478, 113.946274",2,M0030,Alongi_et_al_2000,1
"-22, 165",4,"Grenz_et_al_2003_1, Grenz_et_al_2003_2",Grenz_et_al_2003,1
"-22.310318, 114.121795",2,M0031,Alongi_et_al_2000,1
"-22.745867, -41.88145",4,"Praia dos Ossos _ 1, Praia dos Ossos _ 2",Howard_and_Fourqurean_2020,1
"-22.769126, -41.912172",4,"Manguinhos _ 1, Manguinhos _ 2",Howard_and_Fourqurean_2020,1
"-22.772383, -41.888983",4,"Praia da Ferradura _ 1, Praia da Ferradura _ 2",Howard_and_Fourqurean_2020,1
"-22.878932, -42.003653",4,"Ilha do Japones - site 2 _ 1, Ilha do Japones - site 2 _ 2",Howard_and_Fourqurean_2020,1
"-22.881841, -42.002751",4,"Ilha do Japones - site 1 _ 1, Ilha do Japones - site 1 _ 2",Howard_and_Fourqurean_2020,1
"-22.933926, -43.889642",6,"M0080, M0081, M0082","Lacerda_et_al_1995, Jennerjahn_and_Ittekkot_2002",2
"-22.947603, -43.163558",6,"Urca _ 1, Urca _ 2, Urca _ 3",Howard_and_Fourqurean_2020,1
"-22.9571, -44.384567",4,"Bracui - site 1 _ 1, Bracui - site 1 _ 2",Howard_and_Fourqurean_2020,1
"-22.957267, -44.381133",4,"Bracui - site 2 _ 1, Bracui - site 2 _ 2",Howard_and_Fourqurean_2020,1
"-22.973434, -42.020278",4,"Arraial do Cabo _ 1, Arraial do Cabo _ 2",Howard_and_Fourqurean_2020,1
"-23.104933, -44.213233",4,"Ilha Grande - site 1 _ 1, Ilha Grande - site 1 _ 2",Howard_and_Fourqurean_2020,1
"-23.133783, -44.151083",4,"Ilha Grande - site 2 _ 1, Ilha Grande - site 2 _ 2",Howard_and_Fourqurean_2020,1
"-23.170919444444447, -44.286027777777775",2,M0652,Sanders_et_al_2008,1
"-23.877, -46.36049722",2,M0655,Sanders_et_al_2014,1
"-23.877230555555556, -46.36051944444445",2,M0656,Sanders_et_al_2014,1
"-23.934983, -46.2311",2,M0694,Ferreira_et_al_2007,1
"-23.944459, -46.239924",2,M0693,Ferreira_et_al_2007,1
"-23.951287, -46.242704",2,M0692,Ferreira_et_al_2007,1
"-23.955556, -46.24423",2,M0691,Ferreira_et_al_2007,1
"-24.190284, 151.875375",2,M1098,Sanders_et_al_2016_JGR_Biogeoscience,1
"-24.190361, 151.875601",2,M1097,Sanders_et_al_2016_JGR_Biogeoscience,1
"-24.190422, 151.875845",2,M1096,Sanders_et_al_2016_JGR_Biogeoscience,1
"-24.190472, 151.876088",2,M1095,Sanders_et_al_2016_JGR_Biogeoscience,1
"-24.190545, 151.876346",2,M1094,Sanders_et_al_2016_JGR_Biogeoscience,1
"-24.1906, 151.876581",2,M1093,Sanders_et_al_2016_JGR_Biogeoscience,1
"-24.691084, -47.513154",6,"S23L1MG1, S23L1MG2, S23L1MG3",Rovai_et_al_2022,1
"-24.996785, -47.907329",2,M1333,Otero_et_al_2009,1
"-24.996822, -47.907276",2,M1334,Otero_et_al_2009,1
"-24.996941, -47.907039",2,M1335,Otero_et_al_2009,1
"-25.018879, -47.917862",6,"S23L2MG1, S23L2MG2, S23L2MG3",Rovai_et_al_2022,1
"-25.094888, -47.995183",2,M0386,Sanders_et_al_2010_EES,1
"-25.094913, -47.995086",2,M0385,Sanders_et_al_2010_EES,1
"-25.230937, -48.022265",6,"S23L3MG1, S23L3MG2, S23L3MG3",Rovai_et_al_2022,1
"-25.3167, -48.3167",2,M1742,RadamBrasil,1
"-25.343116666666667, -48.33346388888889",2,M1198,Sanders_et_al_2012_MER,1
"-25.74388, 114.07272",4,"Fourqurean_and_Kendrick_unpublished_59, Fourqurean_and_Kendrick_unpublished_62",Fourqurean_and_Kendrick_unpublished,1
"-25.7451, 114.08416",4,"Fourqurean_and_Kendrick_unpublished_56, Fourqurean_and_Kendrick_unpublished_63",Fourqurean_and_Kendrick_unpublished,1
"-25.75374, 114.10419",2,Fourqurean_and_Kendrick_unpublished_55,Fourqurean_and_Kendrick_unpublished,1
"-25.76446, 114.10518",2,Fourqurean_and_Kendrick_unpublished_54,Fourqurean_and_Kendrick_unpublished,1
"-25.76505, 114.08386",2,Fourqurean_and_Kendrick_unpublished_53,Fourqurean_and_Kendrick_unpublished,1
"-25.77174, 114.11426",2,Fourqurean_and_Kendrick_unpublished_58,Fourqurean_and_Kendrick_unpublished,1
"-25.78442, 114.08992",2,Fourqurean_and_Kendrick_unpublished_1,Fourqurean_and_Kendrick_unpublished,1
"-25.78989, 114.08436",2,Fourqurean_and_Kendrick_unpublished_48,Fourqurean_and_Kendrick_unpublished,1
"-25.79899, 114.10449",2,Fourqurean_and_Kendrick_unpublished_44,Fourqurean_and_Kendrick_unpublished,1
"-25.79944, 114.14422",2,Fourqurean_and_Kendrick_unpublished_52,Fourqurean_and_Kendrick_unpublished,1
"-25.80243, 114.1184",2,Fourqurean_and_Kendrick_unpublished_2,Fourqurean_and_Kendrick_unpublished,1
"-25.81671, 114.10447",2,Fourqurean_and_Kendrick_unpublished_45,Fourqurean_and_Kendrick_unpublished,1
"-25.83033, 114.1376",2,Fourqurean_and_Kendrick_unpublished_3,Fourqurean_and_Kendrick_unpublished,1
"-25.83466, 114.10501",2,Fourqurean_and_Kendrick_unpublished_49,Fourqurean_and_Kendrick_unpublished,1
"-25.839566666666666, -48.60225277777778",2,M1197,Sanders_et_al_2012_MER,1
"-25.85123, 113.93782",4,"Fourqurean_and_Kendrick_unpublished_68, Fourqurean_and_Kendrick_unpublished_70",Fourqurean_and_Kendrick_unpublished,1
