synthesis,study_id,table,test_conditional,addressed,action
,Okeefe-Suttles_et_al_2021_RI,methods,"sediment_sieve_size, carbonate_removal_method missing.",yes,sediment not sieved; carbonates not removed
,Okeefe-Suttles_et_al_2021_RI,depthseries,"cs137_unit, pb210_unit, ra226_unit, be7_unit missing.",yes,
,Okeefe-Suttles_et_al_2021_Wellfleet,methods,"sediment_sieve_size, carbonate_removal_method missing.",yes,sediment not sieved; carbonates not removed
,Okeefe-Suttles_et_al_2021_Wellfleet,depthseries,"cs137_unit, pb210_unit, ra226_unit, be7_unit missing.",yes,
,Poppe_and_Rybczyk_2019,depthseries,cs137_unit missing.,yes,bq/kg
,Poppe_et_al_2019,depthseries,cs137_unit missing.,yes,bq/kg
,Poppe_et_al_2019,methods,carbonate_removal_method missing.,yes,carbonates not removed
,Sanborn_and_Coxson_2020,methods,"sediment_sieve_size, carbonate_removal_method, fraction_carbon_method missing.",yes,sediment not sieved; carbonates not removed; fraction carbon method EA from original data
,Smith_et_al_2015,methods,sediment_sieve_size missing.,yes,no indication that sediment was sieved
,Smith_et_al_2015,depthseries,ra226_unit missing.,yes,not explicitly stated by unsupported Pb210 is derived from in situ decay of Ra226 and all the other radioisotopes are recorded in dpm/g
,StLaurent_et_al_2020,methods,carbonate_removal_method missing.,yes,carbonates not removed
,Thorne_et_al_2015,cores,elevation_method missing.,yes,Leica RX1200 real-time kinematic rover was used (RTK)
Boyd,Unger_et_al_2016,methods,fraction_carbon_method missing.,yes,
,Vaughn_et_al_2020,depthseries,"cs137_unit, pb210_unit, ra226_unit missing.",yes,
,Ward_et_al_2021,methods,sediment_sieve_size missing.,yes,sediment not sieved
,White_et_al_2020,methods,"sediment_sieve_size, carbonate_removal_method missing.",yes,sediment not sieved; carbonates not removed
