lat_long,n,core_ids,study_ids,num_studies
"-18.884576,36.170079",5,"9011_1, 9011_2, 9011_3, 9011_4, 9011_5",Trettin_et_al_2017,1
"-18.88562,36.152977",5,"9023_1, 9023_2, 9023_3, 9023_4, 9023_5",Trettin_et_al_2017,1
"-18.891503,36.177483",5,"9010_1, 9010_2, 9010_3, 9010_4, 9010_5",Trettin_et_al_2017,1
"-18.895905,36.16247",5,"9012_1, 9012_2, 9012_3, 9012_4, 9012_5",Trettin_et_al_2017,1
"-2.7,111.7",12,"M1435, M1436, M1437, M1438, M1439, M1440, M1501, M1502, M1503, M1504, M1505, M1506",Donato_et_al_2011,1
"-2.8,111.7",12,"M1483, M1484, M1485, M1486, M1487, M1488, M1489, M1490, M1491, M1492, M1493, M1494",Donato_et_al_2011,1
"-2.9,111.7",6,"M1495, M1496, M1497, M1498, M1499, M1500",Donato_et_al_2011,1
"-22.933926,-43.889642",3,"M0080, M0081, M0082","Lacerda_et_al_1995, Jennerjahn_and_Ittekkot_2002",2
"-26.0286,32.879",4,"Paula_et_al_2001_1, Paula_et_al_2001_2, Paula_et_al_2001_7, Paula_et_al_2001_8",Paula_et_al_2001,1
"-26.0566,32.0566",4,"Paula_et_al_2001_10, Paula_et_al_2001_3, Paula_et_al_2001_4, Paula_et_al_2001_9",Paula_et_al_2001,1
"-26.0662,32.9192",4,"Paula_et_al_2001_11, Paula_et_al_2001_12, Paula_et_al_2001_5, Paula_et_al_2001_6",Paula_et_al_2001,1
"-27.5333,153.31667",20,"Oakes_and_Connolly_2004_1, Oakes_and_Connolly_2004_10, Oakes_and_Connolly_2004_11, Oakes_and_Connolly_2004_12, Oakes_and_Connolly_2004_13, Oakes_and_Connolly_2004_14, Oakes_and_Connolly_2004_15, Oakes_and_Connolly_2004_16, Oakes_and_Connolly_2004_17, Oakes_and_Connolly_2004_18, Oakes_and_Connolly_2004_19, Oakes_and_Connolly_2004_2, Oakes_and_Connolly_2004_20, Oakes_and_Connolly_2004_3, Oakes_and_Connolly_2004_4, Oakes_and_Connolly_2004_5, Oakes_and_Connolly_2004_6, Oakes_and_Connolly_2004_7, Oakes_and_Connolly_2004_8, Oakes_and_Connolly_2004_9",Oakes_and_Connolly_2004,1
"-29.988266,30.947644",2,"M1298, M1299",Naidoo_and_Raiman_1982,1
"-3.91667,128.8333",3,"Deiongh_et_al_1995_1, Deiongh_et_al_1995_2, Deiongh_et_al_1995_3",Deiongh_et_al_1995,1
"-31.25,152.5",6,"Maher_and_Eyre_2010_1, Maher_and_Eyre_2010_2, Maher_and_Eyre_2010_3, Maher_and_Eyre_2010_4, Maher_and_Eyre_2010_5, Maher_and_Eyre_2010_6",Maher_and_Eyre_2010,1
"-31.39,152.47",11,"Maher_and_Eyre_2010_10, Maher_and_Eyre_2010_11, Maher_and_Eyre_2010_12, Maher_and_Eyre_2010_13, Maher_and_Eyre_2010_14, Maher_and_Eyre_2010_15, Maher_and_Eyre_2010_16, Maher_and_Eyre_2010_17, Maher_and_Eyre_2010_7, Maher_and_Eyre_2010_8, Maher_and_Eyre_2010_9",Maher_and_Eyre_2010,1
"-32.00975,115.4928333",3,"Holmer_unpublished_4, Holmer_unpublished_5, Holmer_unpublished_6",Holmer_unpublished,1
"-32.13566667,115.7405",3,"Holmer_unpublished_1, Holmer_unpublished_2, Holmer_unpublished_3",Holmer_unpublished,1
"-32.15,152.28",7,"Maher_and_Eyre_2010_18, Maher_and_Eyre_2010_19, Maher_and_Eyre_2010_20, Maher_and_Eyre_2010_21, Maher_and_Eyre_2010_22, Maher_and_Eyre_2010_23, Maher_and_Eyre_2010_24",Maher_and_Eyre_2010,1
"-33.5833333333333,151.266666666667",2,"Fonseca_et_al_2011_5, Fonseca_et_al_2011_6",Fonseca_et_al_2011,1
"-34.05,151.133333333333",2,"Fonseca_et_al_2011_3, Fonseca_et_al_2011_4",Fonseca_et_al_2011,1
"-35.25,150.483333333333",2,"Fonseca_et_al_2011_1, Fonseca_et_al_2011_2",Fonseca_et_al_2011,1
"-4.14,119.36",3,"Alongi_et_al_2008_1, Alongi_et_al_2008_2, Alongi_et_al_2008_3",Alongi_et_al_2008,1
"-4.41667,39.5",7,"Hemminga_et_al_1994_1, Hemminga_et_al_1994_2, Hemminga_et_al_1994_3, Hemminga_et_al_1994_4, Hemminga_et_al_1994_5, Hemminga_et_al_1994_6, Hemminga_et_al_1994_7",Hemminga_et_al_1994,1
"-4.639,39.277",3,"De_Troch_et_al_2006_3, De_Troch_et_al_2006_4, De_Troch_et_al_2006_5",De_Troch_et_al_2006,1
"-45.84744491,170.7118319",2,"Leduc_and_Probert_2011_3, Leduc_and_Probert_2011_4",Leduc_and_Probert_2011,1
"-7.7,109",12,"M1380, M1381, M1382, M1383, M1384, M1385, M1386, M1387, M1388, M1389, M1390, M1391",Donato_et_al_2011,1
"1.3,124.5",6,"M1422, M1423, M1424, M1425, M1426, M1427",Donato_et_al_2011,1
"1.4,124.6",6,"M1428, M1429, M1430, M1431, M1432, M1433",Donato_et_al_2011,1
"1.6,124.8",6,"M1410, M1411, M1412, M1413, M1414, M1415",Donato_et_al_2011,1
"1.7,124.7",6,"M1392, M1393, M1394, M1395, M1396, M1397",Donato_et_al_2011,1
"1.7,124.8",6,"M1404, M1405, M1406, M1407, M1408, M1409",Donato_et_al_2011,1
"1.7,125",6,"M1398, M1399, M1400, M1401, M1402, M1403",Donato_et_al_2011,1
"10.1,105",3,"M1587, M1588, M1589",Bukoski_et_al_2017,1
"10.2,100.6",2,"M1579, M1580",Bukoski_et_al_2017,1
"10.2,104.6",4,"M1581, M1582, M1583, M1584",Bukoski_et_al_2017,1
"10.280598,99.162639",2,"M0732, M0733",Alongi_et_al_2001,1
"10.373296,99.217642",2,"M0734, M0735",Alongi_et_al_2001,1
"16.412,119.907",2,"Agawin_et_al_1996_2, Kamp-Nielsen_et_al_2002_25","Agawin_et_al_1996, Kamp-Nielsen_et_al_2002",2
"16.4391666666667,119.924333333333",12,"Kamp-Nielsen_et_al_2002_53, Kamp-Nielsen_et_al_2002_55, Kamp-Nielsen_et_al_2002_57, Kamp-Nielsen_et_al_2002_59, Kamp-Nielsen_et_al_2002_61, Kamp-Nielsen_et_al_2002_63, Kamp-Nielsen_et_al_2002_65, Kamp-Nielsen_et_al_2002_67, Kamp-Nielsen_et_al_2002_69, Kamp-Nielsen_et_al_2002_71, Kamp-Nielsen_et_al_2002_73, Kamp-Nielsen_et_al_2002_75",Kamp-Nielsen_et_al_2002,1
"16.4505,119.9225",2,"Agawin_et_al_1996_1, Kamp-Nielsen_et_al_2002_85","Agawin_et_al_1996, Kamp-Nielsen_et_al_2002",2
"16.825207,82.293886",23,"M0117, M0118, M0119, M0120, M0121, M0122, M0123, M0124, M0125, M0126, M0127, M0128, M0129, M0130, M0131, M0132, M0133, M0134, M0135, M0136, M0137, M0138, M0139",Bouillon_et_al_2003,1
"16.829848,-88.103264",3,"M0069, M0070, M0071",Mckee_et_al_2002,1
"16.84,-88.08",2,"Abed-Navandi_and_Dworschak_2005_1, Abed-Navandi_and_Dworschak_2005_2",Abed-Navandi_and_Dworschak_2005,1
"19.552029,110.837921",3,"M0263, M0264, M0265",Liu_et_al_2014,1
"19.956571,110.582643",4,"M0256, M0257, M0258, M0259",Liu_et_al_2014,1
"19.981578,110.592345",16,"M0463, M0464, M0465, M0466, M0467, M0468, M0469, M0470, M0471, M0472, M0473, M0474, M0475, M0476, M0477, M0478",Liu_et_al_2008,1
"20.6,100.7",2,"M1572, M1573",Bukoski_et_al_2017,1
"20.7,100.7",4,"M1574, M1575, M1576, M1577",Bukoski_et_al_2017,1
"21.105199,110.305425",2,"M0459, M0460",Liu_2005,1
"21.10991,110.317315",3,"M0485, M0486, M0487",Xu_et_al_2012,1
"21.158102,110.429248",2,"M0457, M0458",Liu_2005,1
"21.2,101.4",6,"M1566, M1567, M1568, M1569, M1570, M1571",Bukoski_et_al_2017,1
"21.4666667,109.7166667",5,"M0452, M0453, M0454, M0455, M0456",He_et_al_2002,1
"21.529747,109.783918",17,"M0239, M0240, M0241, M0242, M0243, M0244, M0245, M0246, M0247, M0248, M0249, M0250, M0251, M0252, M0253, M0254, M0255",Liu_et_al_2014,1
"21.666868,88.331259",3,"M0215, M0216, M0217",Dutta_et_al_2013,1
"21.9345556,-82.7106389",2,"Duarte_unpublished_10, Duarte_unpublished_7",Duarte_unpublished,1
"22.3,89.6",2,"M1379, M1434",Donato_et_al_2011,1
"22.3989722,-82.7658889",2,"Duarte_unpublished_13, Duarte_unpublished_17",Duarte_unpublished,1
"22.493027,114.029298",3,"M0260, M0261, M0262",Liu_et_al_2014,1
"22.5317972,113.9850889",2,"M0480, M0481",Mao_et_al_2011,1
"23.7525,-76.1244",4,"Stoner_et_al_1998_10, Stoner_et_al_1998_11, Stoner_et_al_1998_4, Stoner_et_al_1998_9",Stoner_et_al_1998,1
"23.7554,-76.1196",3,"Stoner_et_al_1998_3, Stoner_et_al_1998_7, Stoner_et_al_1998_8",Stoner_et_al_1998,1
"24.15131667,52.0476",3,"Jazirat_seagrass_1, Jazirat_seagrass_2, Jazirat_seagrass_3",Campbell_et_al_2015,1
"24.19905,52.45295",3,"Halat_Idai_seagrass_1, Halat_Idai_seagrass_2, Halat_Idai_seagrass_3",Campbell_et_al_2015,1
"24.20513,53.61585",2,"Abu_al_Abyad_seagrass_1, Abu_al_Abyad_seagrass_2",Campbell_et_al_2015,1
"24.21152,51.87123",2,"Umm_al_Hatam_seagrass_1, Umm_al_Hatam_seagrass_2",Campbell_et_al_2015,1
"24.23258,51.79963",2,"Sila_peninsula_seagrass_1, Sila_peninsula_seagrass_2",Campbell_et_al_2015,1
"24.24085,53.47422",2,"Fasht_al_Basm_seagrass_1, Fasht_al_Basm_seagrass_2",Campbell_et_al_2015,1
"24.24782,51.69347",2,"Dahwat_an_Nahklah_seagrass_1, Dahwat_an_Nahklah_seagrass_2",Campbell_et_al_2015,1
"24.24944444,-110.3127778",7,"M0420, M0421, M0422, M0423, M0424, M0425, M0426",Ezcurra_et_al_2016,1
"24.25276667,51.66758333",2,"Ras_Muhayjij_seagrass_1, Ras_Muhayjij_seagrass_2",Campbell_et_al_2015,1
"24.27702,53.34829",3,"Marawah_seagrass_1, Marawah_seagrass_2, Marawah_seagrass_3",Campbell_et_al_2015,1
"24.3011111111111,-110.326666666667",2,"M0418, M0419",Ezcurra_et_al_2016,1
"24.3015,54.3661",5,"Kenig_et_al_1990_1, Kenig_et_al_1990_14, Kenig_et_al_1990_19, Kenig_et_al_1990_24, Kenig_et_al_1990_7",Kenig_et_al_1990,1
"24.30582,54.00273",2,"Al_Dabiya_2_seagrass_1, Al_Dabiya_2_seagrass_2",Campbell_et_al_2015,1
"24.31826,54.05725",2,"Al_Dabiya_3_seagrass_1, Al_Dabiya_3_seagrass_2",Campbell_et_al_2015,1
"24.4327777777778,-110.346944444444",2,"M0427, M0428",Ezcurra_et_al_2016,1
"24.54534,53.11234",2,"Bu_Tinah_SE_seagrass_1, Bu_Tinah_SE_seagrass_2",Campbell_et_al_2015,1
"24.54852,53.03997",2,"Bu_Tinah_3_seagrass_1, Bu_Tinah_3_seagrass_2",Campbell_et_al_2015,1
"24.57855,53.079",2,"Bu_Tinah_2_seagrass_1, Bu_Tinah_2_seagrass_2",Campbell_et_al_2015,1
"24.64498,54.50703",2,"Ghurab_NN_seagrass_1, Ghurab_NN_seagrass_2",Campbell_et_al_2015,1
"24.65578,54.53673",2,"Ghurab_NE_seagrass_1, Ghurab_NE_seagrass_2",Campbell_et_al_2015,1
"24.9412,-80.8642",2,"Fourqurean_unpublished_5, Fourqurean_unpublished_6",Fourqurean_unpublished,1
"25.00956,56.35998",6,"Khalba_West_mangrove_1, Khalba_West_mangrove_2, Khalba_West_mangrove_3, Khalba_West_mangrove_4, Khalba_West_mangrove_5, Khalba_West_mangrove_6",Schile-Beers_and_Megonigal_2017,1
"25.01736,56.35649",6,"Khalba_North_mangrove_1, Khalba_North_mangrove_2, Khalba_North_mangrove_3, Khalba_North_mangrove_4, Khalba_North_mangrove_5, Khalba_North_mangrove_6",Schile-Beers_and_Megonigal_2017,1
"25.024,-80.6543",2,"Orem_et_al_1999_5, Orem_et_al_1999_6",Orem_et_al_1999,1
"25.02476744,-80.68097374",2,"Fourqurean_unpublished_1, Fourqurean_unpublished_2",Fourqurean_unpublished,1
"25.0343,-80.6397",2,"Fourqurean_unpublished_3, Fourqurean_unpublished_4",Fourqurean_unpublished,1
"25.0642,-80.6277",2,"Orem_et_al_1999_3, Orem_et_al_1999_4",Orem_et_al_1999,1
"25.1481,-80.5752",2,"Orem_et_al_1999_1, Orem_et_al_1999_2",Orem_et_al_1999,1
"25.19062,55.32697",6,"Al_Khor_mangrove_1, Al_Khor_mangrove_2, Al_Khor_mangrove_3, Al_Khor_mangrove_4, Al_Khor_mangrove_5, Al_Khor_mangrove_6",Schile-Beers_and_Megonigal_2017,1
"25.2148,-80.5404",2,"Fourqurean_unpublished_7, Fourqurean_unpublished_8",Fourqurean_unpublished,1
"25.364094,-81.078481",2,"SH3_1, WSC05","Breithaupt_et_al_2014, Breithaupt_et_al_2017",2
"25.410175,-80.963883",2,"WSC02A, WSC02B",Breithaupt_et_al_2017,1
"25.42345,-81.060336",2,"WSC08A, WSC08B",Breithaupt_et_al_2017,1
"25.4354,55.47844",6,"Ajman_al_Zorah_mangrove_1, Ajman_al_Zorah_mangrove_2, Ajman_al_Zorah_mangrove_3, Ajman_al_Zorah_mangrove_4, Ajman_al_Zorah_mangrove_5, Ajman_al_Zorah_mangrove_6",Schile-Beers_and_Megonigal_2017,1
"25.53317,55.59277",6,"Umm_al_Quwain_mangrove_1, Umm_al_Quwain_mangrove_2, Umm_al_Quwain_mangrove_3, Umm_al_Quwain_mangrove_4, Umm_al_Quwain_mangrove_5, Umm_al_Quwain_mangrove_6",Schile-Beers_and_Megonigal_2017,1
"25.54269,55.64256",5,"Umm_al_Quwain_microbial_mat_1, Umm_al_Quwain_microbial_mat_2, Umm_al_Quwain_microbial_mat_3, Umm_al_Quwain_microbial_mat_4, Umm_al_Quwain_microbial_mat_5",Schile-Beers_and_Megonigal_2017,1
"25.56217,55.60479",6,"Sinnia_mangrove_1, Sinnia_mangrove_2, Sinnia_mangrove_3, Sinnia_mangrove_4, Sinnia_mangrove_5, Sinnia_mangrove_6",Schile-Beers_and_Megonigal_2017,1
"25.77278,55.94654",6,"Ras_al_Kaimah_mangrove_1, Ras_al_Kaimah_mangrove_2, Ras_al_Kaimah_mangrove_3, Ras_al_Kaimah_mangrove_4, Ras_al_Kaimah_mangrove_5, Ras_al_Kaimah_mangrove_6",Schile-Beers_and_Megonigal_2017,1
"25.8981,56.03976",6,"Al_Rams_mangrove_1, Al_Rams_mangrove_2, Al_Rams_mangrove_3, Al_Rams_mangrove_4, Al_Rams_mangrove_5, Al_Rams_mangrove_6",Schile-Beers_and_Megonigal_2017,1
"26,-81.7",2,"M0973, M0974",Chmura_et_al_2003,1
"29.040559,-89.197959",3,"CRMS0159_1, CRMS0159_2, CRMS0159_3",CRMS_Database,1
"29.113146,-89.197959",3,"CRMS0154_1, CRMS0154_2, CRMS0154_3",CRMS_Database,1
"29.127657,-89.229211",3,"CRMS0157_1, CRMS0157_2, CRMS0157_3",CRMS_Database,1
"29.127669,-90.856674",3,"CRMS0376_1, CRMS0376_2, CRMS0376_3",CRMS_Database,1
"29.142181,-90.229243",3,"CRMS0292_1, CRMS0292_2, CRMS0292_3",CRMS_Database,1
"29.147828,-90.916995",3,"CRMS0302_1, CRMS0302_2, CRMS0302_3",CRMS_Database,1
"29.1567,-90.792999",3,"CRMS0374_1, CRMS0374_2, CRMS0374_3",CRMS_Database,1
"29.163943,-89.166708",3,"CRMS0156_1, CRMS0156_2, CRMS0156_3",CRMS_Database,1
"29.163946,-89.135458",3,"CRMS0162_1, CRMS0162_2, CRMS0162_3",CRMS_Database,1
"29.163966,-90.699625",3,"CRMS0347_1, CRMS0347_2, CRMS0347_3",CRMS_Database,1
"29.171218,-90.761293",3,"CRMS0345_1, CRMS0345_2, CRMS0345_3",CRMS_Database,1
"29.171219,-90.824389",3,"CRMS0421_1, CRMS0421_2, CRMS0421_3",CRMS_Database,1
"29.193062,-90.169942",3,"CRMS0164_1, CRMS0164_2, CRMS0164_3",CRMS_Database,1
"29.19392,-90.16984",2,"CRMS0164_Piazza_1, CRMS0164_Piazza_2",Piazza_et_al_2011,1
"29.207497,-90.948878",3,"CRMS0383_1, CRMS0383_2, CRMS0383_3",CRMS_Database,1
"29.214753,-89.229211",3,"CRMS4448_1, CRMS4448_2, CRMS4448_3",CRMS_Database,1
"29.214755,-89.416714",3,"CRMS0163_1, CRMS0163_2, CRMS0163_3",CRMS_Database,1
"29.21476,-90.791755",3,"CRMS0311_1, CRMS0311_2, CRMS0311_3",CRMS_Database,1
"29.22375,-90.11115",2,"CRMS0164_H_Piazza_1, CRMS0164_H_Piazza_2",Piazza_et_al_2011,1
"29.228696,-89.187346",3,"CRMS2627_1, CRMS2627_2, CRMS2627_3",CRMS_Database,1
"29.229271,-89.260462",3,"CRMS2634_1, CRMS2634_2, CRMS2634_3",CRMS_Database,1
"29.229272,-91.010792",3,"CRMS0377_1, CRMS0377_2, CRMS0377_3",CRMS_Database,1
"29.229826,-89.313275",3,"CRMS2608_1, CRMS2608_2, CRMS2608_3",CRMS_Database,1
"29.243788,-91.073015",3,"CRMS0303_1, CRMS0303_2, CRMS0303_3",CRMS_Database,1
"29.243788,-91.104536",3,"CRMS0322_1, CRMS0322_2, CRMS0322_3",CRMS_Database,1
"29.243788,-91.19802",3,"CRMS0293_1, CRMS0293_2, CRMS0293_3",CRMS_Database,1
"29.251045,-91.198019",3,"CRMS0309_1, CRMS0309_2, CRMS0309_3",CRMS_Database,1
"29.251048,-90.823006",3,"CRMS0307_1, CRMS0307_2, CRMS0307_3",CRMS_Database,1
"29.258304,-90.948011",3,"CRMS4455_1, CRMS4455_2, CRMS4455_3",CRMS_Database,1
"29.261217,-91.09475",3,"CRMS0326_H_Piazza_1, CRMS0326_H_Piazza_2, CRMS0326_H_Piazza_3",Piazza_et_al_2011,1
"29.272819,-91.073015",3,"CRMS0326_1, CRMS0326_2, CRMS0326_3",CRMS_Database,1
"29.272863,-90.387717",3,"CRMS0335_1, CRMS0335_2, CRMS0335_3",CRMS_Database,1
"29.273717,-91.07405",2,"CRMS0326_Piazza_1, CRMS0326_Piazza_2",Piazza_et_al_2011,1
"29.287399,-90.137924",3,"CRMS0175_1, CRMS0175_2, CRMS0175_3",CRMS_Database,1
"29.287475,-90.046981",3,"CRMS0178_1, CRMS0178_2, CRMS0178_3",CRMS_Database,1
"29.294589,-89.166708",3,"CRMS0161_1, CRMS0161_2, CRMS0161_3",CRMS_Database,1
"29.294598,-90.698003",3,"CRMS0369_1, CRMS0369_2, CRMS0369_3",CRMS_Database,1
"29.294633,-90.29328",3,"CRMS0310_1, CRMS0310_2, CRMS0310_3",CRMS_Database,1
"29.294648,-90.325462",3,"CRMS0318_1, CRMS0318_2, CRMS0318_3",CRMS_Database,1
"29.296625,-90.541487",3,"CRMS0355_1, CRMS0355_2, CRMS0355_3",CRMS_Database,1
"29.301853,-91.104266",3,"CRMS0399_1, CRMS0399_2, CRMS0399_3",CRMS_Database,1
"29.301854,-91.041763",3,"CRMS0332_1, CRMS0332_2, CRMS0332_3",CRMS_Database,1
"29.302356,-90.514482",2,"lapeur1, lapeur2",Nyman_et_al_1993,1
"29.305008,-90.603683",2,"barre1, barre2",Nyman_et_al_1993,1
"29.30914,-90.512264",3,"CRMS0341_1, CRMS0341_2, CRMS0341_3",CRMS_Database,1
"29.309147,-90.355932",3,"CRMS0337_1, CRMS0337_2, CRMS0337_3",CRMS_Database,1
"29.31011,-90.538337",2,"charles1, charles2",Nyman_et_al_1993,1
"29.310416,-90.59195",2,"dow1, dow2",Nyman_et_al_1993,1
"29.314151,-90.57975",2,"sdeMangu1, sdeMangu2",Nyman_et_al_1993,1
"29.316534,-89.734333",3,"CRMS0172_1, CRMS0172_2, CRMS0172_3",CRMS_Database,1
"29.323486,-90.592312",2,"mid1, mid2",Nyman_et_al_1993,1
"29.323631,-90.729254",3,"CRMS0434_1, CRMS0434_2, CRMS0434_3",CRMS_Database,1
"29.323648,-90.386423",3,"CRMS0336_1, CRMS0336_2, CRMS0336_3",CRMS_Database,1
"29.323649,-90.292514",3,"CRMS0978_1, CRMS0978_2, CRMS0978_3",CRMS_Database,1
"29.323665,-90.324705",3,"CRMS0319_1, CRMS0319_2, CRMS0319_3",CRMS_Database,1
"29.323766,-89.796054",3,"CRMS0171_1, CRMS0171_2, CRMS0171_3",CRMS_Database,1
"29.330633,-90.578615",2,"mdeMangu1, mdeMangu2",Nyman_et_al_1993,1
"29.330885,-91.010512",3,"CRMS0354_1, CRMS0354_2, CRMS0354_3",CRMS_Database,1
"29.330913,-90.418213",3,"CRMS0338_1, CRMS0338_2, CRMS0338_3",CRMS_Database,1
"29.333294,-90.594176",2,"ups1, ups2",Nyman_et_al_1993,1
"29.334125,-90.560901",2,"dufrene1, dufrene2",Nyman_et_al_1993,1
"29.337027,-90.607462",2,"grand1, grand2",Nyman_et_al_1993,1
"29.338137,-89.322962",3,"CRMS2614_1, CRMS2614_2, CRMS2614_3",CRMS_Database,1
"29.338139,-89.197959",3,"CRMS4626_1, CRMS4626_2, CRMS4626_3",CRMS_Database,1
"29.338227,-89.700323",3,"CRMS0181_1, CRMS0181_2, CRMS0181_3",CRMS_Database,1
"29.343,-90.574",2,"ndeMangu1, ndeMangu2",Nyman_et_al_1993,1
