site_id,core_id,species_code,genus,species
Secret River Low Marsh,COL-SEC-LM3,CALY3,Carex,lyngbyei
Secret River Low Marsh,COL-SEC-LM4,SPEU,Sparganium,eurycarpum
Secret River Low Marsh,COL-SEC-LM4,ELCA7,Elodea,canadensis
Secret River Low Marsh,COL-SEC-LM5,POPE3,Polygonum,persicaria
Secret River Low Marsh,COL-SEC-LM5,ELPA3,Eleocharis,palustris
Secret River Low Marsh,COL-SEC-LM6,POPE3,Polygonum,persicaria
Secret River Low Marsh,COL-SEC-LM6,LIOC,Lilaeopsis,occidentalis
Secret River Swamp,COL-SEC-TS1,PISI,Picea,sitchensis
Secret River Swamp,COL-SEC-TS1,ALRU2,Alnus,rubra
Secret River Swamp,COL-SEC-TS1,COSE16,Cornus,sericea
Secret River Swamp,COL-SEC-TS1,POMU,Polystichum,munitum
Secret River Swamp,COL-SEC-TS2,PISI,Picea,sitchensis
Secret River Swamp,COL-SEC-TS2,ALRU2,Alnus,rubra
Secret River Swamp,COL-SEC-TS2,COSE16,Cornus,sericea
Secret River Swamp,COL-SEC-TS2,LYAM3,Lysichiton,americanus
Secret River Swamp,COL-SEC-TS3,PISI,Picea,sitchensis
Secret River Swamp,COL-SEC-TS3,ACCI,Acer,circinatum
Secret River Swamp,COL-SEC-TS3,POMU,Polystichum,munitum
Secret River Swamp,COL-SEC-TS4,PISI,Picea,sitchensis
Secret River Swamp,COL-SEC-TS4,COSE16,Cornus,sericea
Secret River Swamp,COL-SEC-TS4,Rosa sp,Rosa,sp.
Secret River Swamp,COL-SEC-TS4,POMU,Polystichum,munitum
Secret River Swamp,COL-SEC-TS5,PISI,Picea,sitchensis
Secret River Swamp,COL-SEC-TS5,COSE16,Cornus,sericea
Secret River Swamp,COL-SEC-TS5,ATFI,Athyrium,filix-femina
Secret River Swamp,COL-SEC-TS6,PISI,Picea,sitchensis
Secret River Swamp,COL-SEC-TS6,ALRU2,Alnus,rubra
Secret River Swamp,COL-SEC-TS6,GASH,Gaultheria,shallon
Secret River Swamp,COL-SEC-TS6,RUSP,Rubus,spectabilis
Secret River Swamp,COL-SEC-TS6,POMU,Polystichum,munitum
Barview Eelgrass,COO-BAR-SG1,ZOMA,Zostera,marina
Barview Eelgrass,COO-BAR-SG2,ZOMA,Zostera,marina
Barview Eelgrass,COO-BAR-SG3,ZOMA,Zostera,marina
Barview Eelgrass,COO-BAR-SG4,ZOMA,Zostera,marina
Barview Eelgrass,COO-BAR-SG5,ZOMA,Zostera,marina
Barview Eelgrass,COO-BAR-SG6,ZOMA,Zostera,marina
Danger Point High Marsh,COO-DAN-HM1,CALY3,Carex,lyngbyei
Danger Point High Marsh,COO-DAN-HM1,AGST2,Agrostis,stolonifera
Danger Point High Marsh,COO-DAN-HM2,CALY3,Carex,lyngbyei
Danger Point High Marsh,COO-DAN-HM2,AGST2,Agrostis,stolonifera
Danger Point High Marsh,COO-DAN-HM3,CALY3,Carex,lyngbyei
Danger Point High Marsh,COO-DAN-HM3,AGST2,Agrostis,stolonifera
Danger Point High Marsh,COO-DAN-HM4,CALY3,Carex,lyngbyei
Danger Point High Marsh,COO-DAN-HM4,AGST2,Agrostis,stolonifera
Danger Point High Marsh,COO-DAN-HM5,CALY3,Carex,lyngbyei
Danger Point High Marsh,COO-DAN-HM5,AGST2,Agrostis,stolonifera
Danger Point High Marsh,COO-DAN-HM6,CALY3,Carex,lyngbyei
Danger Point High Marsh,COO-DAN-HM6,AGST2,Agrostis,stolonifera
Hampel High Marsh,COO-HAM-HM2,CALY3,Carex,lyngbyei
Hampel High Marsh,COO-HAM-HM2,AGST2,Agrostis,stolonifera
Hampel High Marsh,COO-HAM-HM3,CALY3,Carex,lyngbyei
Hampel High Marsh,COO-HAM-HM3,AGST2,Agrostis,stolonifera
Hampel High Marsh,COO-HAM-HM4,CALY3,Carex,lyngbyei
Hampel High Marsh,COO-HAM-HM4,AGST2,Agrostis,stolonifera
Hampel High Marsh,COO-HAM-HM5,CALY3,Carex,lyngbyei
Hampel High Marsh,COO-HAM-HM5,AGST2,Agrostis,stolonifera
Hampel High Marsh,COO-HAM-HM6,CALY3,Carex,lyngbyei
Hampel High Marsh,COO-HAM-HM6,AGST2,Agrostis,stolonifera
Hidden Creek Low Marsh,COO-HID-LM1,JACA4,Jaumea,carnosa
Hidden Creek Low Marsh,COO-HID-LM1,SAPA30,Sarcocornia,pacifica
Hidden Creek Low Marsh,COO-HID-LM2,JACA4,Jaumea,carnosa
Hidden Creek Low Marsh,COO-HID-LM2,SAPA30,Sarcocornia,pacifica
Hidden Creek Low Marsh,COO-HID-LM3,JACA4,Jaumea,carnosa
Hidden Creek Low Marsh,COO-HID-LM3,SAPA30,Sarcocornia,pacifica
Hidden Creek Low Marsh,COO-HID-LM4,JACA4,Jaumea,carnosa
Hidden Creek Low Marsh,COO-HID-LM4,SAPA30,Sarcocornia,pacifica
Hidden Creek Low Marsh,COO-HID-LM5,JACA4,Jaumea,carnosa
Hidden Creek Low Marsh,COO-HID-LM5,SAPA30,Sarcocornia,pacifica
Hidden Creek Low Marsh,COO-HID-LM6,JACA4,Jaumea,carnosa
Hidden Creek Low Marsh,COO-HID-LM6,SAPA30,Sarcocornia,pacifica
Metcalf High Marsh,COO-MET-HM1,CALY3,Carex,lyngbyei
Metcalf High Marsh,COO-MET-HM1,TRMA20,Triglochin,maritima
Metcalf High Marsh,COO-MET-HM2,CALY3,Carex,lyngbyei
Metcalf High Marsh,COO-MET-HM2,TRMA20,Triglochin,maritima
Metcalf High Marsh,COO-MET-HM3,CALY3,Carex,lyngbyei
Metcalf High Marsh,COO-MET-HM3,TRMA20,Triglochin,maritima
Metcalf High Marsh,COO-MET-HM4,CALY3,Carex,lyngbyei
Metcalf High Marsh,COO-MET-HM4,TRMA20,Triglochin,maritima
Metcalf High Marsh,COO-MET-HM5,CALY3,Carex,lyngbyei
Metcalf High Marsh,COO-MET-HM5,TRMA20,Triglochin,maritima
Metcalf High Marsh,COO-MET-HM6,CALY3,Carex,lyngbyei
Metcalf High Marsh,COO-MET-HM6,TRMA20,Triglochin,maritima
Metcalf Low Marsh,COO-MET-LM1,DISP,Distichlis,spicata
Metcalf Low Marsh,COO-MET-LM1,SAPA30,Sarcocornia,pacifica
Metcalf Low Marsh,COO-MET-LM2,DISP,Distichlis,spicata
Metcalf Low Marsh,COO-MET-LM2,SAPA30,Sarcocornia,pacifica
Metcalf Low Marsh,COO-MET-LM3,DISP,Distichlis,spicata
Metcalf Low Marsh,COO-MET-LM3,SAPA30,Sarcocornia,pacifica
Metcalf Low Marsh,COO-MET-LM4,DISP,Distichlis,spicata
Metcalf Low Marsh,COO-MET-LM4,SAPA30,Sarcocornia,pacifica
Metcalf Low Marsh,COO-MET-LM5,DISP,Distichlis,spicata
Metcalf Low Marsh,COO-MET-LM5,SAPA30,Sarcocornia,pacifica
Metcalf Low Marsh,COO-MET-LM6,DISP,Distichlis,spicata
Metcalf Low Marsh,COO-MET-LM6,SAPA30,Sarcocornia,pacifica
Millicoma High Marsh,COO-MIL-HM1,CALY3,Carex,lyngbyei
Millicoma High Marsh,COO-MIL-HM1,AGST2,Agrostis,stolonifera
Millicoma High Marsh,COO-MIL-HM2,CALY3,Carex,lyngbyei
Millicoma High Marsh,COO-MIL-HM2,AGST2,Agrostis,stolonifera
Millicoma High Marsh,COO-MIL-HM3,CALY3,Carex,lyngbyei
Millicoma High Marsh,COO-MIL-HM3,AGST2,Agrostis,stolonifera
Millicoma High Marsh,COO-MIL-HM4,CALY3,Carex,lyngbyei
Millicoma High Marsh,COO-MIL-HM4,AGST2,Agrostis,stolonifera
Millicoma High Marsh,COO-MIL-HM5,CALY3,Carex,lyngbyei
Millicoma High Marsh,COO-MIL-HM5,AGST2,Agrostis,stolonifera
Millicoma High Marsh,COO-MIL-HM6,CALY3,Carex,lyngbyei
Millicoma High Marsh,COO-MIL-HM6,AGST2,Agrostis,stolonifera
Valino Island Eelgrass,COO-VAL-SG1,ZOMA,Zostera,marina
Valino Island Eelgrass,COO-VAL-SG2,ZOMA,Zostera,marina
Valino Island Eelgrass,COO-VAL-SG3,ZOMA,Zostera,marina
Valino Island Eelgrass,COO-VAL-SG4,ZOMA,Zostera,marina
Valino Island Eelgrass,COO-VAL-SG5,ZOMA,Zostera,marina
Valino Island Eelgrass,COO-VAL-SG6,ZOMA,Zostera,marina
Chehalis Flood Plain,GRA-CHE-TS1,PISI,Picea,sitchensis
Chehalis Flood Plain,GRA-CHE-TS2,PISI,Picea,sitchensis
Chehalis Flood Plain,GRA-CHE-TS3,PISI,Picea,sitchensis
Chehalis Flood Plain,GRA-CHE-TS4,PISI,Picea,sitchensis
Chehalis Flood Plain,GRA-CHE-TS5,PISI,Picea,sitchensis
Chehalis Flood Plain,GRA-CHE-TS6,PISI,Picea,sitchensis
John's Marsh,GRA-JOH-HM1,JUBA,Juncus,balticus
John's Marsh,GRA-JOH-HM1,POAN5,Potentilla,anserina
John's Marsh,GRA-JOH-HM1,DECE,Deschampsia,cespitosa
John's Marsh,GRA-JOH-HM2,JUBA,Juncus,balticus
John's Marsh,GRA-JOH-HM2,POAN5,Potentilla,anserina
John's Marsh,GRA-JOH-HM2,DECE,Deschampsia,cespitosa
John's Marsh,GRA-JOH-HM3,JUBA,Juncus,balticus
John's Marsh,GRA-JOH-HM3,POAN5,Potentilla,anserina
John's Marsh,GRA-JOH-HM3,DECE,Deschampsia,cespitosa
John's Marsh,GRA-JOH-HM4,JUBA,Juncus,balticus
John's Marsh,GRA-JOH-HM4,POAN5,Potentilla,anserina
John's Marsh,GRA-JOH-HM4,DECE,Deschampsia,cespitosa
John's Marsh,GRA-JOH-HM5,JUBA,Juncus,balticus
John's Marsh,GRA-JOH-HM5,POAN5,Potentilla,anserina
John's Marsh,GRA-JOH-HM5,DECE,Deschampsia,cespitosa
John's Marsh,GRA-JOH-HM6,JUBA,Juncus,balticus
John's Marsh,GRA-JOH-HM6,POAN5,Potentilla,anserina
John's Marsh,GRA-JOH-HM6,DECE,Deschampsia,cespitosa
John's Swamp,GRA-JOH-TS1,PISI,Picea,sitchensis
John's Swamp,GRA-JOH-TS2,PISI,Picea,sitchensis
John's Swamp,GRA-JOH-TS3,PISI,Picea,sitchensis
John's Swamp,GRA-JOH-TS4,PISI,Picea,sitchensis
John's Swamp,GRA-JOH-TS5,PISI,Picea,sitchensis
John's Swamp,GRA-JOH-TS6,PISI,Picea,sitchensis
Humboldt Eelgrass,HUM-HUM-SG1,ZOMA,Zostera,marina
Humboldt Eelgrass,HUM-HUM-SG2,ZOMA,Zostera,marina
Humboldt Eelgrass,HUM-HUM-SG3,ZOMA,Zostera,marina
Humboldt Eelgrass,HUM-HUM-SG4,ZOMA,Zostera,marina
Humboldt Eelgrass,HUM-HUM-SG5,ZOMA,Zostera,marina
Humboldt Eelgrass,HUM-HUM-SG6,ZOMA,Zostera,marina
Mad River Marsh,HUM-MAD-HM1,DISP,Distichlis,spicata
Mad River Marsh,HUM-MAD-HM1,SAPA30,Sarcocornia,pacifica
Mad River Marsh,HUM-MAD-HM2,DISP,Distichlis,spicata
Mad River Marsh,HUM-MAD-HM2,SAPA30,Sarcocornia,pacifica
Mad River Marsh,HUM-MAD-HM3,DISP,Distichlis,spicata
Mad River Marsh,HUM-MAD-HM3,SAPA30,Sarcocornia,pacifica
Mad River Marsh,HUM-MAD-HM4,DISP,Distichlis,spicata
Mad River Marsh,HUM-MAD-HM4,SAPA30,Sarcocornia,pacifica
Mad River Marsh,HUM-MAD-HM5,DISP,Distichlis,spicata
Mad River Marsh,HUM-MAD-HM5,SAPA30,Sarcocornia,pacifica
Mad River Marsh,HUM-MAD-HM6,DISP,Distichlis,spicata
Mad River Marsh,HUM-MAD-HM6,SAPA30,Sarcocornia,pacifica
South Bay,HUM-SHB-LM1,SAPA30,Sarcocornia,pacifica
South Bay,HUM-SHB-LM2,SAPA30,Sarcocornia,pacifica
South Bay,HUM-SHB-LM3,SAPA30,Sarcocornia,pacifica
South Bay,HUM-SHB-LM4,SAPA30,Sarcocornia,pacifica
South Bay,HUM-SHB-LM5,SAPA30,Sarcocornia,pacifica
South Bay,HUM-SHB-LM6,SAPA30,Sarcocornia,pacifica
Coal Creek Swamp,NEH-COA-TS1,PISI,Picea,sitchensis
Coal Creek Swamp,NEH-COA-TS2,PISI,Picea,sitchensis
Coal Creek Swamp,NEH-COA-TS3,PISI,Picea,sitchensis
Coal Creek Swamp,NEH-COA-TS4,PISI,Picea,sitchensis
Coal Creek Swamp,NEH-COA-TS5,PISI,Picea,sitchensis
Coal Creek Swamp,NEH-COA-TS6,PISI,Picea,sitchensis
Padilla lower transect,PAD-LOW-SG1,ZOMA,Zostera,marina
Padilla lower transect,PAD-LOW-SG2,ZOMA,Zostera,marina
Padilla lower transect,PAD-LOW-SG3,ZOMA,Zostera,marina
Padilla lower transect,PAD-LOW-SG4,ZOMA,Zostera,marina
Padilla lower transect,PAD-LOW-SG5,ZOMA,Zostera,marina
Padilla lower transect,PAD-LOW-SG6,ZOMA,Zostera,marina
Padilla upper Transect,PAD-UPR-SG1,NAJA5,Nanozostera,japonica
Padilla upper Transect,PAD-UPR-SG2,NAJA5,Nanozostera,japonica
Padilla upper Transect,PAD-UPR-SG3,NAJA5,Nanozostera,japonica
Padilla upper Transect,PAD-UPR-SG4,NAJA5,Nanozostera,japonica
Padilla upper Transect,PAD-UPR-SG5,NAJA5,Nanozostera,japonica
Padilla upper Transect,PAD-UPR-SG6,NAJA5,Nanozostera,japonica
Delta Island Marsh,SKA-DEL-LM1,SCPU10,Schoenoplectus,pungens
Delta Island Marsh,SKA-DEL-LM1,ELPA3,Eleocharis,palustris
Delta Island Marsh,SKA-DEL-LM2,SCPU10,Schoenoplectus,pungens
Delta Island Marsh,SKA-DEL-LM2,ELPA3,Eleocharis,palustris
Delta Island Marsh,SKA-DEL-LM3,SCPU10,Schoenoplectus,pungens
Delta Island Marsh,SKA-DEL-LM3,ELPA3,Eleocharis,palustris
Delta Island Marsh,SKA-DEL-LM4,SCPU10,Schoenoplectus,pungens
Delta Island Marsh,SKA-DEL-LM4,ELPA3,Eleocharis,palustris
Delta Island Marsh,SKA-DEL-LM5,SCPU10,Schoenoplectus,pungens
Delta Island Marsh,SKA-DEL-LM5,ELPA3,Eleocharis,palustris
Delta Island Marsh,SKA-DEL-LM6,SCPU10,Schoenoplectus,pungens
Delta Island Marsh,SKA-DEL-LM6,ELPA3,Eleocharis,palustris
Fir Island Marsh,SKA-FIR-HM1,SCPU10,Schoenoplectus,pungens
Fir Island Marsh,SKA-FIR-HM1,Schoenoplectus sp.,Schoenoplectus,sp.
Fir Island Marsh,SKA-FIR-HM2,SCPU10,Schoenoplectus,pungens
Fir Island Marsh,SKA-FIR-HM2,Schoenoplectus sp.,Schoenoplectus,sp.
Fir Island Marsh,SKA-FIR-HM3,SCPU10,Schoenoplectus,pungens
Fir Island Marsh,SKA-FIR-HM3,Schoenoplectus sp.,Schoenoplectus,sp.
Fir Island Marsh,SKA-FIR-HM4,SCPU10,Schoenoplectus,pungens
Fir Island Marsh,SKA-FIR-HM4,Schoenoplectus sp.,Schoenoplectus,sp.
Fir Island Marsh,SKA-FIR-HM5,SCPU10,Schoenoplectus,pungens
Fir Island Marsh,SKA-FIR-HM5,Schoenoplectus sp.,Schoenoplectus,sp.
Fir Island Marsh,SKA-FIR-HM6,SCPU10,Schoenoplectus,pungens
Fir Island Marsh,SKA-FIR-HM6,Schoenoplectus sp.,Schoenoplectus,sp.
Skagit Wildlife Marsh,SKA-WIL-HM1,TYLA,Typha,latifolia
Skagit Wildlife Marsh,SKA-WIL-HM1,Schoenoplectus sp.,Schoenoplectus,sp.
Skagit Wildlife Marsh,SKA-WIL-HM2,TYLA,Typha,latifolia
Skagit Wildlife Marsh,SKA-WIL-HM2,Schoenoplectus sp.,Schoenoplectus,sp.
Skagit Wildlife Marsh,SKA-WIL-HM3,TYLA,Typha,latifolia
Skagit Wildlife Marsh,SKA-WIL-HM3,Schoenoplectus sp.,Schoenoplectus,sp.
Skagit Wildlife Marsh,SKA-WIL-HM4,TYLA,Typha,latifolia
Skagit Wildlife Marsh,SKA-WIL-HM4,Schoenoplectus sp.,Schoenoplectus,sp.
Skagit Wildlife Marsh,SKA-WIL-HM5,TYLA,Typha,latifolia
Skagit Wildlife Marsh,SKA-WIL-HM5,Schoenoplectus sp.,Schoenoplectus,sp.
Skagit Wildlife Marsh,SKA-WIL-HM6,TYLA,Typha,latifolia
Skagit Wildlife Marsh,SKA-WIL-HM6,Schoenoplectus sp.,Schoenoplectus,sp.
Otter Island Swamp,SNO-OTT-TS1,PISI,Picea,sitchensis
Otter Island Swamp,SNO-OTT-TS2,PISI,Picea,sitchensis
Otter Island Swamp,SNO-OTT-TS3,PISI,Picea,sitchensis
Otter Island Swamp,SNO-OTT-TS4,PISI,Picea,sitchensis
Otter Island Swamp,SNO-OTT-TS5,PISI,Picea,sitchensis
Otter Island Swamp,SNO-OTT-TS6,PISI,Picea,sitchensis
Criteser's Marsh,YAQ-CRI-HM1,GRIN,Grindelia,integrifolia
Criteser's Marsh,YAQ-CRI-HM1,SAPA30,Sarcocornia,pacifica
Criteser's Marsh,YAQ-CRI-HM1,JUBA,Juncus,balticus
Criteser's Marsh,YAQ-CRI-HM2,GRIN,Grindelia,integrifolia
Criteser's Marsh,YAQ-CRI-HM2,SAPA30,Sarcocornia,pacifica
Criteser's Marsh,YAQ-CRI-HM2,JUBA,Juncus,balticus
Criteser's Marsh,YAQ-CRI-HM3,GRIN,Grindelia,integrifolia
Criteser's Marsh,YAQ-CRI-HM3,SAPA30,Sarcocornia,pacifica
Criteser's Marsh,YAQ-CRI-HM3,JUBA,Juncus,balticus
Criteser's Marsh,YAQ-CRI-HM4,GRIN,Grindelia,integrifolia
Criteser's Marsh,YAQ-CRI-HM4,SAPA30,Sarcocornia,pacifica
Criteser's Marsh,YAQ-CRI-HM4,JUBA,Juncus,balticus
Criteser's Marsh,YAQ-CRI-HM5,GRIN,Grindelia,integrifolia
Criteser's Marsh,YAQ-CRI-HM5,SAPA30,Sarcocornia,pacifica
Criteser's Marsh,YAQ-CRI-HM5,JUBA,Juncus,balticus
Criteser's Marsh,YAQ-CRI-HM6,GRIN,Grindelia,integrifolia
Criteser's Marsh,YAQ-CRI-HM6,SAPA30,Sarcocornia,pacifica
Criteser's Marsh,YAQ-CRI-HM6,JUBA,Juncus,balticus
Poole Slough,YAQ-POO-LM1,SAPA30,Sarcocornia,pacifica
Poole Slough,YAQ-POO-LM1,DISP,Distichlis,spicata
Poole Slough,YAQ-POO-LM1,JACA4,Jaumea,carnosa
Poole Slough,YAQ-POO-LM2,SAPA30,Sarcocornia,pacifica
Poole Slough,YAQ-POO-LM2,DISP,Distichlis,spicata
Poole Slough,YAQ-POO-LM2,JACA4,Jaumea,carnosa
Poole Slough,YAQ-POO-LM3,SAPA30,Sarcocornia,pacifica
Poole Slough,YAQ-POO-LM3,DISP,Distichlis,spicata
Poole Slough,YAQ-POO-LM3,JACA4,Jaumea,carnosa
Poole Slough,YAQ-POO-LM4,SAPA30,Sarcocornia,pacifica
Poole Slough,YAQ-POO-LM4,DISP,Distichlis,spicata
Poole Slough,YAQ-POO-LM4,JACA4,Jaumea,carnosa
Poole Slough,YAQ-POO-LM5,SAPA30,Sarcocornia,pacifica
Poole Slough,YAQ-POO-LM5,DISP,Distichlis,spicata
Poole Slough,YAQ-POO-LM5,JACA4,Jaumea,carnosa
Poole Slough,YAQ-POO-LM6,SAPA30,Sarcocornia,pacifica
Poole Slough,YAQ-POO-LM6,DISP,Distichlis,spicata
Poole Slough,YAQ-POO-LM6,JACA4,Jaumea,carnosa
Sally's Bend,YAQ-SAL-SG1,ZOMA,Zostera,marina
Sally's Bend,YAQ-SAL-SG2,ZOMA,Zostera,marina
Sally's Bend,YAQ-SAL-SG3,ZOMA,Zostera,marina
Sally's Bend,YAQ-SAL-SG4,ZOMA,Zostera,marina
Sally's Bend,YAQ-SAL-SG5,ZOMA,Zostera,marina
Sally's Bend,YAQ-SAL-SG6,ZOMA,Zostera,marina
