study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issn,article-number
Boyd_2012,Boyd_2012_article,synthesis source,MastersThesis,Comparison of sediment accumulation and accretion in impounded and unimpounded marshes of the Delaware Estuary,Brandon Boyd,University of Delaware,NA,http://udspace.udel.edu/handle/19716/12831,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,Boyd_and_Sommerfield_2016_article,synthesis source,Article,Marsh accretion and sediment accumulation in a managed tidal wetland complex of Delaware Bay,Brandon M. Boyd and Christopher K. Sommerfield,NA,10.1016/j.ecoleng.2016.03.045,https://doi.org/10.1016/j.ecoleng.2016.03.045,2016,jul,Elsevier {BV},92,NA,37--46,Ecological Engineering,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_and_Sommerfield_2016,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2017,Boyd_et_al_2017_article,synthesis source,Article,Hydrogeomorphic influences on salt marsh sediment accumulation and accretion in two estuaries of the U.S. Mid-Atlantic coast,Brandon M. Boyd and Christopher K. Sommerfield and Tracy Elsey-Quirk,NA,10.1016/j.margeo.2016.11.008,https://doi.org/10.1016/j.margeo.2016.11.008,2017,NA,Elsevier,383,NA,132--145,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2017,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2020,Breithaupt_et_al_2020_data,primary dataset,Misc,Dataset: Increasing rates of carbon burial in southwest Florida coastal wetlands,"Breithaupt, Joshua L. and Smoak, Joseph M. and Bianchi, Thomas S. and Vaughn, Derrick and Sanders, Christian J. and Radabaugh, Kara R. and  Michael J. Osland and Laura C. Feher and James C. Lynch and Donald R. Cahoon and Gordon H. Anderson and Kevin R.T. Whelan and Brad E. Rosenheim and Ryan P. Moyer and Lisa G. Chambers",NA,10.25573/data.9894266,https://doi.org/10.25573/data.9894266,2020,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burden_et_al_2018,Burden_et_al_2018_data,primary dataset,Misc,"Soil biochemical measurements from salt marshes of different ages on the Essex coast, UK (2011)",A. Burden and A. Garbutt and S. Hughes and S. Oakley and J.A. Tempest,NA,10.5285/0B1FAAB4-3539-457F-9169-B0B1FBD59BC2,https://catalogue.ceh.ac.uk/id/0b1faab4-3539-457f-9169-b0b1fbd59bc2,2018,NA,NERC Environmental Information Data Centre,NA,NA,NA,NA,This resource is made available under the terms of the Open Government Licence,NA,NA,NA,en,NA,NA,NA
Burden_et_al_2018,Burden_et_al_2019_article,associated source,Article,Effect of restoration on saltmarsh carbon accumulation in Eastern England,A. Burden and A. Garbutt and C. D. Evans,NA,10.1098/rsbl.2018.0773,https://doi.org/10.1098/rsbl.2018.0773,2019,jan,The Royal Society,15,1,20180773,Biology Letters,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Callaway_et_al_2019_data,primary dataset,Misc,Dataset: Carbon sequestration and sediment accretion in San Francisco Bay tidal wetlands,John C. Callaway and {Evyan L. Borgnis} and {R. Eugene Turner} and Charles S. Milan,NA,10.25573/DATA.9693251,https://smithsonian.figshare.com/articles/Dataset_Carbon_sequestration_and_sediment_accretion_in_San_Francisco_Bay_tidal_wetlands/9693251,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_2019,Callaway_et_al_2012_article,associated source,Article,Carbon Sequestration and Sediment Accretion in San Francisco Bay Tidal Wetlands,John C. Callaway and Evyan L. Borgnis and R. Eugene Turner and Charles S. Milan,NA,10.1007/s12237-012-9508-9,https://doi.org/10.1007/s12237-012-9508-9,2012,jun,Springer Science and Business Media {LLC},35,5,1163--1181,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA
Carlin_et_al_2021,Carlin_et_al_2021_data,primary dataset,Misc,"Dataset: Sedimentary organic carbon measurements in a restored coastal wetland in San Francisco Bay, CA, USA",Joseph Carlin and Patty Y. Oikawa and Ariane Arias-Ortiz and Sadie Kanneg and Theresa Duncan and Katya Beener,NA,10.25573/SERC.16416684,https://smithsonian.figshare.com/articles/dataset/Dataset_Sedimentary_organic_carbon_measurements_in_a_restored_coastal_wetland_in_San_Francisco_Bay_CA_USA/16416684,2021,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA
Carlin_et_al_2021,Arias-Ortiz_et_al_2021_article,associated source,Article,"Tidal and nontidal marsh restoration: a trade-off between carbon sequestration, methane emissions, and soil accretion",Ariane Arias-Ortiz and Patty Y. Oikawa and Joseph Carlin and Pere Masqué and Julie Shahan and Sadie Kanneg and Adina Paytan and Dennis D. Baldocchi,NA,10.1029/2021JG006573,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2021JG006573,2021,NA,NA,NA,NA,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
Chambers_et_al_2019,Chambers_et_al_2019_data,primary dataset,Misc,Barataria Bay carbon mineralization and biogeochemical properties from nine soil cores,Lisa Chambers and Havalend Steinmuller and Kyle Dittmer and John White and Robert Cook and Zuo Xue,NA,10.1575/1912/bco-dmo.775547.1,https://doi.org/10.1575/1912/bco-dmo.775547.1,2019,sep,Biological and Chemical Oceanography Data Management Office,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochran_et_al_1998,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochran_et_al_1998,Cochran_et_al_1998_article,synthesis source,Article,"Atmospheric Deposition of Metals to Coastal Waters (Long Island Sound, New York U.S.A.): Evidence from Saltmarsh Deposits",J.K. Cochran and D.J. Hirschberg and J. Wang and C. Dere,NA,10.1006/ecss.1997.0299,https://doi.org/10.1006/ecss.1997.0299,1998,apr,Elsevier {BV},46,4,503--522,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA
Craft_2007,Craft_2007_article,associated source,Article,"Freshwater input structures soil properties, vertical accretion, and nutrient accumulation of Georgia and U.S tidal marshes",Christopher Craft,NA,10.4319/lo.2007.52.3.1220,https://doi.org/10.4319/lo.2007.52.3.1220,2007,may,Wiley,52,3,1220--1230,Limnology and Oceanography,NA,NA,NA,NA,NA,NA,NA,NA
CRMS_Database,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,Doughty_et_al_2019_data,primary dataset,Misc,Mangroves marching northward: the impacts of rising seas and temperatures on ecosystems at Kennedy Space Center,Cheryl Doughty and {J. Adam Langley} and Wayne Walker and Ilka C. Feller and Ronald Schaub and Samantha Chapman,NA,10.25573/DATA.9695918.V1,https://smithsonian.figshare.com/articles/Mangroves_marching_northward_the_impacts_of_rising_seas_and_temperatures_on_ecosystems_at_Kennedy_Space_Center/9695918/1,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Doughty_et_al_2016,Doughty_et_al_2015_article,associated source,Article,Mangrove Range Expansion Rapidly Increases Coastal Wetland Carbon Storage,Cheryl L. Doughty and J. Adam Langley and Wayne S. Walker and Ilka C. Feller and Ronald Schaub and Samantha K. Chapman,NA,10.1007/s12237-015-9993-8,https://doi.org/10.1007/s12237-015-9993-8,2015,may,Springer Science and Business Media {LLC},39,2,385--396,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA
Drake_et_al_2015,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake_et_al_2015,Drake_et_al_2015_article,synthesis source,Article,Carbon Sequestration in Tidal Salt Marshes of the Northeast United States,Katherine Drake and Holly Halifax and Susan C. Adamowicz and Christopher Craft,NA,10.1007/s00267-015-0568-z,https://doi.org/10.1007/s00267-015-0568-z,2015,jun,Springer Science and Business Media {LLC},56,4,998--1008,Environmental Management,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2013,Drexler_et_al_2013_combined,combined dataset and manuscript,Article,"A Long-Term Comparison of Carbon Sequestration Rates in Impounded and Naturally Tidal Freshwater Marshes Along the Lower Waccamaw River, South Carolina",Judith Z. Drexler and Ken W. Krauss and M. Craig Sasser and Christopher C. Fuller and Christopher M. Swarzenski and Amber Powell and Kathleen M. Swanson and James Orlando,NA,10.1007/s13157-013-0456-3,https://doi.org/10.1007/s13157-013-0456-3,2013,jul,Springer Science and Business Media {LLC},33,5,965--974,Wetlands,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Drexler_et_al_2019_article,associated source,Article,"Carbon accumulation and vertical accretion in a restored versus historic salt marsh in southern Puget Sound, Washington, United States",Judith Z. Drexler and Isa Woo and Christopher C. Fuller and Glynnis Nakai,NA,10.1111/rec.12941,https://doi.org/10.1111/rec.12941,2019,mar,Wiley,27,5,1117--1127,Restoration Ecology,NA,NA,NA,NA,NA,NA,NA,NA
Elsey_Quirk_et_al_2011,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elsey_Quirk_et_al_2011,Elsey_Quirk_et_al_2011_article,synthesis source,Article,"Salt Marsh Carbon Pool Distribution in a Mid-Atlantic Lagoon, {USA}: Sea Level Rise Implications",Tracy Elsey-Quirk and Denise M. Seliskar and Christopher K. Sommerfield and John L. Gallagher,NA,10.1007/s13157-010-0139-2,https://doi.org/10.1007/s13157-010-0139-2,2011,feb,Springer Science and Business Media {LLC},31,1,87--99,Wetlands,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Ensign_et_al_2020_data,primary dataset,Misc,Dataset: Head of tide bottleneck of particulate material transport from watersheds to estuaries,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,NA,10.25573/SERC.13483332,https://smithsonian.figshare.com/articles/dataset/Dataset_Head_of_tide_bottleneck_of_particulate_material_transport_from_watersheds_to_estuaries/13483332,2021,jan,The Smithsonian Institution,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Ensign_et_al_2015_article,associated source,Article,Head-of-tide bottleneck of particulate material transport from watersheds to estuaries,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,NA,10.1002/2015gl066830,https://doi.org/10.1002/2015gl066830,2015,dec,American Geophysical Union ({AGU}),42,24,"10,671--10,679",Geophysical Research Letters,NA,NA,NA,NA,NA,NA,NA,NA
Fell_et_al_2021,Fell_et_al_2021_data,primary dataset,Misc,"{Dataset: Carbon sequestration across Northeastern, Florida Coastal Wetlands}",Claire Fell and Therese Adgie and Samantha Chapman,NA,10.25573/serc.15043920.v1,https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_sequestration_across_Northeastern_Florida_Coastal_Wetlands/15043920,2021,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlach_et_al_2017,Gerlach_et_al_2017_article,associated source,Article,Reconstructing Common Era relative sea-level change on the Gulf Coast of Florida,Matthew J. Gerlach and Simon E. Engelhart and Andrew C. Kemp and Ryan P. Moyer and Joseph M. Smoak and Christopher E. Bernhardt and Niamh Cahill,NA,10.1016/j.margeo.2017.07.001,https://doi.org/10.1016/j.margeo.2017.07.001,2017,aug,Elsevier {BV},390,NA,254--269,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA
Giblin_and_Forbrich_2018,Giblin_and_Forbrich_2018_data,primary dataset,Misc,"PIE LTER high marsh sediment chemistry and activity measurements, Nelson Island Creek marsh, Rowley, MA",Anne Giblin and Inke Forbrich and {Plum Island Ecosystems LTER},NA,10.6073/PASTA/D1D5CBF87602CCF51DE30B87B8E46D01,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-pie.427.1,2018,NA,Environmental Data Initiative,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA
Gonneea_et_al_2018,Gonneea_et_al_2018_data,primary dataset,Misc,"Collection, analysis, and age-dating of sediment cores from salt marshes on the south shore of Cape Cod, Massachusetts, from 2013 through 2014","Meagan E. Gonneea and Kevin D. Kroeger and {, O&Amp}",NA,10.5066/F7H41QPP,https://www.sciencebase.gov/catalog/item/5a748e35e4b00f54eb19f96c,2018,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,Hill_and_Anisfeld_2015_article,synthesis source,Article,Coastal wetland response to sea level rise in Connecticut and New York,Troy D. Hill and Shimon C. Anisfeld,NA,10.1016/j.ecss.2015.06.004,https://doi.org/10.1016/j.ecss.2015.06.004,2015,sep,Elsevier {BV},163,NA,185--193,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA
Johnson_et_al_2007,Johnson_et_al_2007_article,associated source,Article,"Middle to late Holocene fluctuations of C3 and C4 vegetation in a Northern New England Salt Marsh, Sprague Marsh, Phippsburg Maine",Beverly J. Johnson and Karen A. Moore and Charlotte Lehmann and Curtis Bohlen and Thomas A. Brown,NA,10.1016/j.orggeochem.2006.06.006,https://doi.org/10.1016/j.orggeochem.2006.06.006,2007,mar,Elsevier {BV},38,3,394--403,Organic Geochemistry,NA,NA,NA,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Kauffman_et_al_2020_data,primary dataset,Misc,"Dataset: Carbon stocks in seagrass meadows, emergent marshes, and forested tidal swamps of the Pacific Northwest",{J. Boone Kauffman} and Leila Giovannoni and James Kelly and Nicholas Dunstan and Amy Borde and {Heida Diefenderfer} and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,NA,10.25573/serc.12640172,https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_in_seagrass_meadows_emergent_marshes_and_forested_tidal_swamps_of_the_Pacific_Northwest/12640172,2020,aug,The Smithsonian Institution,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA
Kauffman_et_al_2020,Kauffman_et_al_2020_article,associated source,Article,"Total ecosystem carbon stocks at the marine-terrestrial interface: Blue carbon of the Pacific Northwest Coast, United States",J. Boone Kauffman and Leila Giovannoni and James Kelly and Nicholas Dunstan and Amy Borde and Heida Diefenderfer and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,NA,10.1111/gcb.15248,https://doi.org/10.1111/gcb.15248,2020,aug,Wiley,NA,NA,NA,Global Change Biology,NA,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2020,Kemp_et_al_2012_article,associated source,Article,Use of lead isotopes for developing chronologies in recent salt-marsh sediments,Andrew C. Kemp and Christopher K. Sommerfield and Christopher H. Vane and Benjamin P. Horton and Simon Chenery and Shimon Anisfeld and Daria Nikitina,NA,10.1016/j.quageo.2012.05.004,https://doi.org/10.1016/j.quageo.2012.05.004,2012,oct,Elsevier {BV},12,NA,40--49,Quaternary Geochronology,NA,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2020,Kemp_et_al_2020_data,primary dataset,Misc,Dataset: Use of lead isotopes for developing chronologies in recent salt-marsh sediments,Andrew C. Kemp and Christopher K. Sommerfield and Christopher H. Vane and Benjamin P. Horton and Simon Chenery and Shimon Anisfeld and Daria Nikitina,NA,10.25573/serc.11569419,NA,2020,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keshta_et_al_2020,Keshta_et_al_2020_data,primary dataset,Misc,Dataset: Soil Redox and Hydropattern control Soil Carbon Stocks across different habitats in Tidal Freshwater Wetlands in a Sub-estuary of the Chesapeake Bay,Amr E. Keshta and Stephanie A. Yarwood and Andrew H. Baldwin,NA,10.25573/serc.13187549,https://smithsonian.figshare.com/articles/dataset/Dataset_Soil_Redox_and_Hydropattern_control_Soil_Carbon_Stocks_across_different_habitats_in_Tidal_Freshwater_Wetlands_in_a_Sub-estuary_of_the_Chesapeake_Bay/13187549,2020,NA,The Smithsonian Institution,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA
