"StudyID","SampID","StudySampID","Ecosystem","SubSampID","SampInterval","ExtrapInterval","SampLength","BD_type","BD","C method","OM_type","C_type","PercOM","PercC","Calc_CD_C","Calc_CD_OM","Notes"
"13",15,"RR-CA-15-2014","EM","15c","10-15","10-15",5,"M",0.5,"CHN&LOI","M","M",16.6,5.7,0.028,0.034,NA
"13",15,"RR-CA-15-2014","EM","15d","15-20","15-20",5,"M",0.46,"CHN&LOI","M","M",20.1,7.3,0.033,0.039,NA
"13",15,"RR-CA-15-2014","EM","15e","20-30","20-30",10,"E",0.46,NA,"E","E",20.1,7.3,0.033,0.039,NA
"13",16,"RR-CA-16-2014","EM","16a","0-5","0-5",5,"M",0.19,"CHN&LOI","M","M",58.1,27.4,0.052,0.049,NA
"13",16,"RR-CA-16-2014","EM","16b","5-10","5-10",5,"M",0.19,"CHN&LOI","M","M",37.8,16.6,0.032,0.031,NA
"13",16,"RR-CA-16-2014","EM","16c","10-15","10-15",5,"M",0.27,"CHN&LOI","M","M",42,19.8,0.053,0.05,NA
"13",16,"RR-CA-16-2014","EM","16d","15-20","15-20",5,"M",0.2,"CHN&LOI","M","M",44.4,20.2,0.04,0.039,NA
"13",16,"RR-CA-16-2014","EM","16e","20-30","20-30",10,"E",0.2,NA,"E","E",44.4,20.2,0.04,0.039,NA
"13",17,"RR-CA-17-2014","EM","17a","0-5","0-5",5,"M",0.52,"CHN&LOI","M","M",16.1,6.3,0.033,0.034,NA
"13",17,"RR-CA-17-2014","EM","17b","5-10","5-10",5,"M",0.45,"CHN&LOI","M","M",26.4,12,0.054,0.051,NA
"13",17,"RR-CA-17-2014","EM","17c","10-15","10-15",5,"M",0.36,"CHN&LOI","M","M",18,6.8,0.024,0.027,NA
"13",17,"RR-CA-17-2014","EM","17d","15-20","15-20",5,"M",0.42,"CHN&LOI","M","M",14.8,3.6,0.015,0.025,NA
"13",17,"RR-CA-17-2014","EM","17e","20-30","20-30",10,"E",0.42,NA,"E","E",14.8,3.6,0.015,0.025,NA
"13",18,"RR-CA-18-2014","EM","18a","0-5","0-5",5,"M",0.51,"CHN&LOI","M","M",15.6,5.4,0.028,0.032,NA
"13",18,"RR-CA-18-2014","EM","18b","5-10","5-10",5,"M",0.44,"CHN&LOI","M","M",14,4.4,0.019,0.025,NA
"13",18,"RR-CA-18-2014","EM","18c","10-15","10-15",5,"M",0.76,"CHN&LOI","M","M",12.9,3.7,0.028,0.039,NA
"13",18,"RR-CA-18-2014","EM","18d","15-20","15-20",5,"M",0.46,"CHN&LOI","M","M",16.3,4.7,0.021,0.031,NA
"13",18,"RR-CA-18-2014","EM","18e","20-30","20-30",10,"E",0.46,NA,"E","E",16.3,4.7,0.021,0.031,NA
"13",19,"RR-CA-19-2014","EM","19a","0-5","0-5",5,"M",0.29,"CHN&LOI","M","M",31.6,13,0.038,0.04,NA
"13",19,"RR-CA-19-2014","EM","19b","5-10","5-10",5,"M",0.28,"CHN&LOI","M","M",36.5,15.8,0.044,0.045,NA
"13",19,"RR-CA-19-2014","EM","19c","10-15","10-15",5,"M",0.34,"CHN&LOI","M","M",33.8,15.5,0.053,0.05,NA
"13",19,"RR-CA-19-2014","EM","19d","15-20","15-20",5,"M",0.39,"CHN&LOI","M","M",27.3,12.1,0.047,0.046,NA
"13",19,"RR-CA-19-2014","EM","19e","20-30","20-30",10,"E",0.39,NA,"E","E",27.3,12.1,0.047,0.046,NA
"13",20,"RR-CA-20-2014","EM","20a","0-5","0-5",5,"M",0.22,"CHN&LOI","M","M",15.1,4.5,0.01,0.013,NA
"13",20,"RR-CA-20-2014","EM","20b","5-10","5-10",5,"M",0.21,"CHN&LOI","M","M",15.7,5,0.011,0.013,NA
"13",20,"RR-CA-20-2014","EM","20c","10-15","10-15",5,"M",0.18,"CHN&LOI","M","M",20.5,7.6,0.014,0.015,NA
"13",20,"RR-CA-20-2014","EM","20d","15-20","15-20",5,"M",0.19,"CHN&LOI","M","M",21.6,9.5,0.018,0.017,NA
"13",20,"RR-CA-20-2014","EM","20e","20-30","20-30",10,"E",0.19,NA,"E","E",21.6,9.5,0.018,0.017,NA
"4",21,"IBV","SG","21a","0-1","0-1",1,"M",1.62,"CHN",NA,"M",NA,1.3,0.021,NA,NA
"4",21,"IBV","SG","21b","1-2","1-2",1,"M",1.64,"CHN",NA,"M",NA,0.8,0.013,NA,NA
"4",21,"IBV","SG","21c","2-3","2-3",1,"M",1.68,"CHN",NA,"M",NA,0.5,0.008,NA,NA
"4",21,"IBV","SG","21d","3-4","3-4",1,"M",1.65,"CHN",NA,"M",NA,0.4,0.007,NA,NA
"4",21,"IBV","SG","21e","4-5","4-5",1,"M",1.65,"CHN",NA,"M",NA,0.4,0.007,NA,NA
"4",21,"IBV","SG","21f","5-6","5-6",1,"M",1.69,"CHN",NA,"M",NA,0.4,0.007,NA,NA
"4",21,"IBV","SG","21g","6-7","6-7",1,"M",1.66,"CHN",NA,"M",NA,0.3,0.006,NA,NA
"4",21,"IBV","SG","21h","7-8","7-8",1,"M",1.65,"CHN",NA,"M",NA,0.5,0.009,NA,NA
"4",21,"IBV","SG","21i","8-9","8-9",1,"M",1.7,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",21,"IBV","SG","21j","9-10","9-10",1,"M",1.67,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",21,"IBV","SG","21k","10-12","10-12",2,"M",1.7,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",21,"IBV","SG","21l","12-14","12-14",2,"M",1.66,"CHN",NA,"M",NA,0.4,0.007,NA,NA
"4",21,"IBV","SG","21m","14-16","14-16",2,"M",1.7,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",21,"IBV","SG","21n","16-18","16-18",2,"M",1.65,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",21,"IBV","SG","21o","18-20","18-20",2,"M",1.7,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",21,"IBV","SG","21p","20-25","20-25",5,"M",1.67,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",21,"IBV","SG","21q","25-30","25-30",5,"M",1.66,"CHN",NA,"M",NA,0.8,0.014,NA,NA
"4",21,"IBV","SG","21r","30-35","30-35",5,"M",1.74,"CHN",NA,"M",NA,0.5,0.009,NA,NA
"4",21,"IBV","SG","21s","35-40","35-40",5,"M",1.76,"CHN",NA,"M",NA,0.9,0.015,NA,NA
"4",21,"IBV","SG","21t","40-45","40-45",5,"M",1.74,"CHN",NA,"M",NA,1.5,0.027,NA,NA
"4",21,"IBV","SG","21u","45-50","45-50",5,"E",1.74,NA,NA,"E",NA,1.5,0.027,NA,NA
"4",22,"IBB","FL","22a","0-1","0-1",1,"M",1.63,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",22,"IBB","FL","22b","1-2","1-2",1,"I",1.66,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",22,"IBB","FL","22c","2-3","2-3",1,"M",1.7,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",22,"IBB","FL","22d","3-4","3-4",1,"I",1.66,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",22,"IBB","FL","22e","4-5","4-5",1,"M",1.63,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",22,"IBB","FL","22f","5-6","5-6",1,"I",1.64,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",22,"IBB","FL","22g","6-7","6-7",1,"M",1.66,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",22,"IBB","FL","22h","7-8","7-8",1,"I",1.68,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",22,"IBB","FL","22i","8-9","8-9",1,"M",1.71,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",22,"IBB","FL","22j","9-10","9-10",1,"I",1.7,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",22,"IBB","FL","22k","10-12","10-12",2,"M",1.68,"CHN",NA,"M",NA,0.3,0.004,NA,"A Spooner: unclear where mixed layer ends"
"4",22,"IBB","FL","22l","12-14","12-14",2,"I",1.67,"CHN",NA,"M",NA,0.1,0.002,NA,"A Spooner: unclear where mixed layer ends"
"4",22,"IBB","FL","22m","14-16","14-16",2,"M",1.66,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",22,"IBB","FL","22n","16-18","16-18",2,"I",1.66,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",22,"IBB","FL","22o","18-20","18-20",2,"M",1.66,"CHN",NA,"M",NA,0.1,0.002,NA,NA
"4",22,"IBB","FL","22p","20-25","20-25",5,"I",1.69,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",22,"IBB","FL","22q","25-30","25-30",5,"M",1.72,"CHN",NA,"M",NA,0.3,0.006,NA,NA
"4",22,"IBB","FL","22r","30-35","30-35",5,"M",1.7,"CHN",NA,"M",NA,0.8,0.013,NA,NA
"4",22,"IBB","FL","22s","35-40","35-40",5,"M",1.68,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",22,"IBB","FL","22t","40-45","40-45",5,"I",1.66,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",22,"IBB","FL","22u","45-50","45-50",5,"I",1.64,"CHN",NA,"M",NA,0.6,0.009,NA,NA
"4",22,"IBB","FL","22v","50-52.5","50-52.5",2.5,"M",1.62,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",23,"IHV","SG","23a","0-1","0-1",1,"M",1.59,"CHN",NA,"M",NA,0.6,0.01,NA,NA
"4",23,"IHV","SG","23b","1-2","1-2",1,"M",1.58,"CHN",NA,"M",NA,0.6,0.01,NA,NA
"4",23,"IHV","SG","23c","2-3","2-3",1,"M",1.56,"CHN",NA,"M",NA,0.5,0.007,NA,NA
"4",23,"IHV","SG","23d","3-4","3-4",1,"M",1.57,"CHN",NA,"M",NA,0.4,0.006,NA,NA
"4",23,"IHV","SG","23e","4-5","4-5",1,"M",1.58,"CHN",NA,"M",NA,0.4,0.006,NA,NA
"4",23,"IHV","SG","23f","5-6","5-6",1,"M",1.61,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",23,"IHV","SG","23g","6-7","6-7",1,"M",1.61,"CHN",NA,"M",NA,0.4,0.007,NA,NA
"4",23,"IHV","SG","23h","7-8","7-8",1,"M",1.54,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",23,"IHV","SG","23i","8-9","8-9",1,"M",1.54,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",23,"IHV","SG","23j","9-10","9-10",1,"M",1.58,"CHN",NA,"M",NA,0.5,0.008,NA,NA
"4",23,"IHV","SG","23k","10-12","10-12",2,"M",1.59,"CHN",NA,"M",NA,1.1,0.017,NA,NA
"4",23,"IHV","SG","23l","12-14","12-14",2,"M",1.61,"CHN",NA,"M",NA,0.8,0.012,NA,NA
"4",23,"IHV","SG","23m","14-16","14-16",2,"M",1.57,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",23,"IHV","SG","23n","16-18","16-18",2,"M",1.63,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",23,"IHV","SG","23o","18-20","18-20",2,"M",1.61,"CHN",NA,"M",NA,0.7,0.011,NA,NA
"4",23,"IHV","SG","23p","20-25","20-25",5,"M",1.62,"CHN",NA,"M",NA,0.4,0.007,NA,NA
"4",23,"IHV","SG","23q","25-30","25-30",5,"M",1.6,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",23,"IHV","SG","23r","30-35","30-35",5,"M",1.6,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",23,"IHV","SG","23s","35-40","35-40",5,"M",1.59,"CHN",NA,"M",NA,0.1,0.002,NA,NA
"4",23,"IHV","SG","23t","40-45","40-45",5,"M",1.59,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",23,"IHV","SG","23u","45-50","45-50",5,"M",1.63,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",24,"IRV","SG","24a","0-1","0-1",1,"M",1.56,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",24,"IRV","SG","24b","1-2","1-2",1,"M",1.54,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",24,"IRV","SG","24c","2-3","2-3",1,"M",1.56,"CHN",NA,"M",NA,0.4,0.006,NA,NA
"4",24,"IRV","SG","24d","3-4","3-4",1,"M",1.54,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",24,"IRV","SG","24e","4-5","4-5",1,"M",1.55,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",24,"IRV","SG","24f","5-6","5-6",1,"M",1.54,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",24,"IRV","SG","24g","6-7","6-7",1,"M",1.57,"CHN",NA,"M",NA,0.4,0.006,NA,NA
"4",24,"IRV","SG","24h","7-8","7-8",1,"M",1.53,"CHN",NA,"M",NA,0.5,0.008,NA,NA
"4",24,"IRV","SG","24i","8-9","8-9",1,"M",1.57,"CHN",NA,"M",NA,0.4,0.006,NA,NA
"4",24,"IRV","SG","24j","9-10","9-10",1,"M",1.49,"CHN",NA,"M",NA,0.4,0.006,NA,NA
"4",24,"IRV","SG","24k","10-12","10-12",2,"M",1.6,"CHN",NA,"M",NA,0.4,0.007,NA,NA
"4",24,"IRV","SG","24l","12-14","12-14",2,"M",1.54,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",24,"IRV","SG","24m","14-16","14-16",2,"M",1.57,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",24,"IRV","SG","24n","16-18","16-18",2,"M",1.54,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",24,"IRV","SG","24o","18-20","18-20",2,"M",1.57,"CHN",NA,"M",NA,0.8,0.013,NA,NA
"4",24,"IRV","SG","24p","20-25","20-25",5,"M",1.53,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",24,"IRV","SG","24q","25-30","25-30",5,"M",1.53,"CHN",NA,"M",NA,0.4,0.006,NA,NA
"4",24,"IRV","SG","24r","30-35","30-35",5,"M",1.58,"CHN",NA,"M",NA,0.4,0.006,NA,NA
"4",24,"IRV","SG","24s","35-40","35-40",5,"M",1.66,"CHN",NA,"M",NA,0.6,0.009,NA,NA
"4",24,"IRV","SG","24t","40-45","40-45",5,"M",1.56,"CHN",NA,"M",NA,0.9,0.014,NA,NA
"4",24,"IRV","SG","24u","45-50","45-50",5,"M",1.6,"CHN",NA,"M",NA,1,0.016,NA,NA
"4",25,"IRV2","SG","25a","0-1","0-1",1,"M",1.65,"CHN",NA,"M",NA,0.5,0.008,NA,NA
"4",25,"IRV2","SG","25b","1-2","1-2",1,"M",1.62,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",25,"IRV2","SG","25c","2-3","2-3",1,"M",1.73,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",25,"IRV2","SG","25d","3-4","3-4",1,"M",1.73,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",25,"IRV2","SG","25e","4-5","4-5",1,"M",1.73,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",25,"IRV2","SG","25f","5-6","5-6",1,"M",1.74,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",25,"IRV2","SG","25g","6-7","6-7",1,"M",1.74,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",25,"IRV2","SG","25h","7-8","7-8",1,"M",1.81,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",25,"IRV2","SG","25i","8-9","8-9",1,"M",1.75,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",25,"IRV2","SG","25j","9-10","9-10",1,"M",1.71,"CHN",NA,"M",NA,0.1,0.002,NA,NA
"4",25,"IRV2","SG","25k","10-12","10-12",2,"M",1.67,"CHN",NA,"M",NA,0.4,0.007,NA,NA
"4",25,"IRV2","SG","25l","12-14","12-14",2,"M",1.69,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",25,"IRV2","SG","25m","14-16","14-16",2,"M",1.64,"CHN",NA,"M",NA,0.1,0.002,NA,NA
"4",25,"IRV2","SG","25n","16-18","16-18",2,"M",1.68,"CHN",NA,"M",NA,0.1,0.002,NA,NA
"4",25,"IRV2","SG","25o","18-20","18-20",2,"M",1.66,"CHN",NA,"M",NA,0.1,0.002,NA,NA
"4",25,"IRV2","SG","25p","20-25","20-25",5,"M",1.54,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",25,"IRV2","SG","25q","25-30","25-30",5,"M",1.53,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",25,"IRV2","SG","25r","30-35","30-35",5,"M",1.48,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",25,"IRV2","SG","25s","35-40","35-40",5,"M",1.6,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",25,"IRV2","SG","25t","40-45","40-45",5,"M",1.6,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",25,"IRV2","SG","25u","45-50","45-50",5,"M",1.65,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",26,"SBB","FL","26a","0-1","0-1",1,"M",1.7,"CHN",NA,"M",NA,0.9,0.015,NA,NA
"4",26,"SBB","FL","26b","1-2","1-2",1,"M",1.7,"CHN",NA,"M",NA,0.6,0.011,NA,NA
"4",26,"SBB","FL","26c","2-3","2-3",1,"M",1.73,"CHN",NA,"M",NA,0.6,0.01,NA,NA
"4",26,"SBB","FL","26d","3-4","3-4",1,"M",1.72,"CHN",NA,"M",NA,0.4,0.007,NA,NA
"4",26,"SBB","FL","26e","4-5","4-5",1,"M",1.74,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",26,"SBB","FL","26f","5-6","5-6",1,"M",1.68,"CHN",NA,"M",NA,0.4,0.006,NA,NA
"4",26,"SBB","FL","26g","6-7","6-7",1,"M",1.69,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",26,"SBB","FL","26h","7-8","7-8",1,"M",1.65,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",26,"SBB","FL","26i","8-9","8-9",1,"M",1.66,"CHN",NA,"M",NA,0.3,0.006,NA,NA
"4",26,"SBB","FL","26j","9-10","9-10",1,"M",1.66,"CHN",NA,"M",NA,0.3,0.004,NA,NA
"4",26,"SBB","FL","26k","10-12","10-12",2,"M",1.63,"CHN",NA,"M",NA,0.3,0.005,NA,NA
"4",26,"SBB","FL","26l","12-14","12-14",2,"M",1.64,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",26,"SBB","FL","26m","14-16","14-16",2,"M",1.57,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",26,"SBB","FL","26n","16-18","16-18",2,"M",1.58,"CHN",NA,"M",NA,0.2,0.004,NA,NA
"4",26,"SBB","FL","26o","18-20","18-20",2,"M",1.6,"CHN",NA,"M",NA,0.2,0.003,NA,NA
"4",26,"SBB","FL","26p","20-25","20-25",5,"M",1.55,"CHN",NA,"M",NA,0.2,0.003,NA,NA
