"ID","TREEID","COMPID","BIOMASS","EQID","C_CONT","C_CONCID","NOTES"
44161,21893,7,2.48,5,0.97,6,
44162,21894,1,60.32,41,30.16,8,
44163,21894,7,2.77,5,1.08,6,
44164,21895,1,15.06,41,7.53,8,"Decay reduction factor applied (0.95)."
44165,21895,7,0.65,5,0.25,6,
44166,21896,1,14.54,41,7.27,8,
44167,21896,7,0.59,5,0.23,6,
44168,21897,3,2.76,11,1.38,8,
44169,21897,7,0.59,5,0.23,6,
44170,21898,1,20.99,41,10.49,8,
44171,21898,7,0.88,5,0.34,6,
44172,21899,1,51.85,41,25.92,8,
44173,21899,7,2.35,5,0.91,6,
44174,21900,1,69.55,41,34.77,8,
44175,21900,7,3.23,5,1.26,6,
44176,21901,1,64.84,41,32.42,8,
44177,21901,7,2.99,5,1.16,6,
44178,21902,1,13.91,41,6.95,8,
44179,21902,7,0.56,5,0.22,6,
44180,21903,1,66.39,41,33.19,8,
44181,21903,7,3.07,5,1.19,6,
44182,21904,1,6.16,42,3.08,8,
44183,21904,7,5.18,20,2.02,6,
44184,21905,1,32.83,41,16.41,8,
44185,21905,7,1.43,5,0.56,6,
44186,21906,1,14.13,42,7.06,8,
44187,21906,7,10.54,20,4.11,6,
44188,21907,1,9.40,42,4.70,8,"Decay reduction factor applied (0.8)."
44189,21907,7,9.00,20,3.51,6,
44190,21908,1,6.16,42,3.08,8,
44191,21908,7,5.18,20,2.02,6,
44192,21909,1,6.16,42,3.08,8,
44193,21909,7,5.18,20,2.02,6,
44194,21910,1,17.33,42,8.66,8,
44195,21910,7,12.56,20,4.90,6,
44196,21911,1,91.13,42,45.56,8,
44197,21911,7,52.17,20,20.34,6,
44198,21912,1,5.30,42,2.65,8,
44199,21912,7,4.55,20,1.77,6,
44200,21913,1,6.79,42,3.39,8,
44201,21913,7,5.62,20,2.19,6,
44202,21914,1,17.90,42,8.95,8,
44203,21914,7,12.92,20,5.04,6,
44204,21915,1,19.69,42,9.85,8,
44205,21915,7,14.02,20,5.46,6,
44206,21916,1,77.84,41,38.92,8,
44207,21916,7,3.64,5,1.42,6,
44208,21917,1,43.78,42,21.89,8,
44209,21917,7,27.81,20,10.84,6,
44210,21918,1,72.07,42,36.03,8,
44211,21918,7,42.66,20,16.63,6,
44212,21919,1,156.82,42,78.41,8,
44213,21919,7,83.10,20,32.41,6,
44214,21920,1,372.25,41,186.12,8,
44215,21920,7,19.71,5,7.69,6,
44216,21921,1,5.30,42,2.65,8,
44217,21921,7,4.55,20,1.77,6,
44218,21922,1,71.17,41,35.58,8,
44219,21922,7,3.31,5,1.29,6,
44220,21923,1,72.07,42,36.03,8,
44221,21923,7,42.66,20,16.63,6,
44222,21924,1,6828.42,42,3414.21,8,
44223,21924,7,2115.04,20,824.86,6,
44224,21925,1,5475.68,42,2737.84,8,
44225,21925,7,1750.17,20,682.56,6,
44226,21926,1,2241.95,42,1120.98,8,
44227,21926,7,813.67,20,317.33,6,
44228,21927,1,626.96,42,313.48,8,
44229,21927,7,272.77,20,106.38,6,
44230,21928,1,19.43,41,9.71,8,
44231,21928,7,0.81,5,0.31,6,
44232,21929,3,0.74,11,0.37,8,
44233,21929,7,0.78,5,0.30,6,
44234,21930,1,10.63,41,5.32,8,"Decay reduction factor applied (0.8)."
44235,21930,7,0.54,5,0.21,6,
44236,21931,3,1.10,11,0.55,8,
44237,21931,7,0.54,5,0.21,6,
44238,21932,3,1.04,11,0.52,8,
44239,21932,7,0.62,5,0.24,6,
44240,21933,1,15.19,41,7.59,8,
44241,21933,7,0.62,5,0.24,6,
44242,21934,3,1.79,11,0.89,8,
44243,21934,7,0.68,5,0.26,6,
44244,21935,1,21.79,41,10.89,8,
44245,21935,7,0.92,5,0.36,6,
44246,21936,1,30.81,41,15.40,8,
44247,21936,7,1.34,5,0.52,6,
44248,21937,1,36.02,41,18.01,8,
44249,21937,7,1.58,5,0.61,6,
44250,21938,1,29.82,41,14.91,8,
44251,21938,7,1.29,5,0.50,6,
44252,21939,1,21.48,41,10.74,8,"Decay reduction factor applied (0.95)."
44253,21939,7,0.96,5,0.37,6,
44254,21940,1,26.07,41,13.03,8,
44255,21940,7,1.12,5,0.43,6,
44256,21941,3,1.64,11,0.82,8,
44257,21941,7,1.16,5,0.45,6,
44258,21942,3,5.18,11,2.59,8,
44259,21942,7,1.80,5,0.70,6,
44260,21943,3,3.02,11,1.51,8,
44261,21943,7,0.71,5,0.28,6,
44262,21944,3,0.83,11,0.41,8,
44263,21944,7,0.46,5,0.18,6,
44264,21945,1,36.02,41,18.01,8,
44265,21945,7,1.58,5,0.61,6,
44266,21946,1,30.81,41,15.40,8,
44267,21946,7,1.34,5,0.52,6,
44268,21947,1,30.81,41,15.40,8,
44269,21947,7,1.34,5,0.52,6,
44270,21948,1,30.81,41,15.40,8,
44271,21948,7,1.34,5,0.52,6,
44272,21949,1,34.94,41,17.47,8,
44273,21949,7,1.53,5,0.59,6,
44274,21950,1,34.94,41,17.47,8,
44275,21950,7,1.53,5,0.59,6,
44276,21951,3,0.83,11,0.41,8,
44277,21951,7,0.46,5,0.18,6,
44278,21952,1,36.02,41,18.01,8,
44279,21952,7,1.58,5,0.61,6,
44280,21953,1,26.07,41,13.03,8,
44281,21953,7,1.12,5,0.43,6,
44282,21954,1,36.02,41,18.01,8,
44283,21954,7,1.58,5,0.61,6,
44284,21955,3,1.90,11,0.95,8,
44285,21955,7,1.20,5,0.47,6,
44286,21956,1,36.02,41,18.01,8,
44287,21956,7,1.58,5,0.61,6,
44288,21957,1,36.02,41,18.01,8,
44289,21957,7,1.58,5,0.61,6,
44290,21958,1,36.02,41,18.01,8,
44291,21958,7,1.58,5,0.61,6,
44292,21959,1,37.11,41,18.56,8,
44293,21959,7,1.64,5,0.64,6,
44294,21960,1,37.11,41,18.56,8,
44295,21960,7,1.64,5,0.64,6,
44296,21961,1,34.94,41,17.47,8,
44297,21961,7,1.53,5,0.59,6,
44298,21962,1,53.21,41,26.60,8,
44299,21962,7,2.41,5,0.94,6,
44300,21963,1,42.91,41,21.45,8,
44301,21963,7,1.91,5,0.74,6,
44302,21964,1,46.62,41,23.31,8,
44303,21964,7,2.09,5,0.81,6,
44304,21965,1,47.90,41,23.95,8,
44305,21965,7,2.16,5,0.84,6,
44306,21966,1,88.52,41,44.26,8,
44307,21966,7,4.18,5,1.63,6,
44308,21967,1,49.19,41,24.59,8,
44309,21967,7,2.22,5,0.86,6,
44310,21968,3,1.30,11,0.65,8,
44311,21968,7,0.96,5,0.37,6,
44312,21969,1,40.53,41,20.26,8,
44313,21969,7,1.80,5,0.70,6,
44314,21970,1,58.86,41,29.43,8,
44315,21970,7,2.69,5,1.05,6,
44316,21971,1,47.90,41,23.95,8,
44317,21971,7,2.16,5,0.84,6,
44318,21972,1,53.21,41,26.60,8,
44319,21972,7,2.41,5,0.94,6,
44320,21973,1,55.99,41,27.99,8,
44321,21973,7,2.55,5,0.99,6,
44322,21974,1,57.41,41,28.71,8,
44323,21974,7,2.62,5,1.02,6,
44324,21975,1,57.41,41,28.71,8,
44325,21975,7,2.62,5,1.02,6,
44326,21976,1,40.53,41,20.26,8,
44327,21976,7,1.80,5,0.70,6,
44328,21977,1,50.51,41,25.25,8,
44329,21977,7,2.28,5,0.89,6,
44330,21978,1,45.36,41,22.68,8,
44331,21978,7,2.03,5,0.79,6,
44332,21979,1,51.85,41,25.92,8,
44333,21979,7,2.35,5,0.91,6,
44334,21980,1,63.31,41,31.65,8,
44335,21980,7,2.91,5,1.13,6,
44336,21981,1,61.81,41,30.90,8,
44337,21981,7,2.84,5,1.10,6,
44338,21982,1,61.81,41,30.90,8,
44339,21982,7,2.84,5,1.10,6,
44340,21983,1,63.31,41,31.65,8,
44341,21983,7,2.91,5,1.13,6,
44342,21984,1,51.85,41,25.92,8,
44343,21984,7,2.35,5,0.91,6,
44344,21985,1,64.84,41,32.42,8,
44345,21985,7,2.99,5,1.16,6,
44346,21986,1,71.43,23,35.71,8,
44347,21986,7,32.74,20,12.76,6,
44348,21987,1,38.23,41,19.11,8,
44349,21987,7,1.69,5,0.66,6,
44350,21988,1,88.52,41,44.26,8,
44351,21988,7,4.18,5,1.63,6,
44352,21989,1,84.87,41,42.43,8,
44353,21989,7,4.00,5,1.56,6,
44354,21990,1,77.84,41,38.92,8,
44355,21990,7,3.64,5,1.42,6,
44356,21991,1,74.46,41,37.23,8,
44357,21991,7,3.47,5,1.35,6,
44358,21992,1,72.80,41,36.40,8,
44359,21992,7,3.39,5,1.32,6,
44360,21993,1,66.39,41,33.19,8,
44361,21993,7,3.07,5,1.19,6,
44362,21994,1,69.55,41,34.77,8,
44363,21994,7,3.23,5,1.26,6,
44364,21995,1,96.09,41,48.04,8,
44365,21995,7,4.57,5,1.78,6,
44366,21996,1,58.86,41,29.43,8,
44367,21996,7,2.69,5,1.05,6,
44368,21997,1,61.81,41,30.90,8,
44369,21997,7,2.84,5,1.10,6,
44370,21998,1,13.91,41,6.95,8,
44371,21998,7,0.56,5,0.22,6,
44372,21999,1,26.98,41,13.49,8,
44373,21999,7,1.16,5,0.45,6,
44374,22000,1,18.25,34,9.13,8,
44375,22000,7,12.25,35,4.77,6,
44376,22001,1,24.30,41,12.15,8,
44377,22001,7,1.03,5,0.40,6,
44378,22002,1,22.61,41,11.30,8,
44379,22002,7,0.96,5,0.37,6,
44380,22003,1,21.79,41,10.89,8,
44381,22003,7,0.92,5,0.36,6,
44382,22004,1,22.61,41,11.30,8,
44383,22004,7,0.96,5,0.37,6,
44384,22005,1,69.55,41,34.77,8,
44385,22005,7,3.23,5,1.26,6,
44386,22006,1,40.53,41,20.26,8,
44387,22006,7,1.80,5,0.70,6,
44388,22007,1,30.81,41,15.40,8,
44389,22007,7,1.34,5,0.52,6,
44390,22008,1,21.79,41,10.89,8,
44391,22008,7,0.92,5,0.36,6,
44392,22009,1,24.95,34,12.48,8,
44393,22009,7,14.57,35,5.68,6,
44394,22010,1,26.44,42,13.22,8,
44395,22010,7,18.05,20,7.04,6,
44396,22011,1,713.11,23,356.55,8,
44397,22011,7,261.11,20,101.83,6,
44398,22012,1,680.55,23,340.27,8,
44399,22012,7,250.32,20,97.62,6,
44400,22013,1,263.01,23,131.50,8,
44401,22013,7,106.14,20,41.39,6,
44402,22014,1,56.74,34,28.37,8,
44403,22014,7,22.97,35,8.95,6,
44404,22015,1,12.11,41,6.05,8,
44405,22015,7,0.49,5,0.19,6,
44406,22016,1,42.91,41,21.45,8,
44407,22016,7,1.91,5,0.74,6,
44408,22017,1,86.68,41,43.34,8,
44409,22017,7,4.09,5,1.59,6,
44410,22018,1,34.94,41,17.47,8,
44411,22018,7,1.53,5,0.59,6,
44412,22019,1,85.41,23,42.70,8,
44413,22019,7,38.46,20,15.00,6,
44414,22020,1,67.00,38,33.50,8,
44415,22020,7,46.24,20,18.03,6,
44416,22021,1,123.23,38,61.61,8,
44417,22021,7,85.54,20,33.36,6,
44418,22022,1,67.89,38,33.94,8,
44419,22022,7,46.86,20,18.27,6,
44420,22023,1,87.69,34,43.84,8,
44421,22023,7,29.23,35,11.40,6,
44422,22024,1,44.09,23,22.04,8,
44423,22024,7,21.18,20,8.26,6,
44424,22025,1,38.03,23,19.01,8,
44425,22025,7,18.53,20,7.23,6,
44426,22026,1,6.76,23,3.38,8,
44427,22026,7,3.90,20,1.52,6,
44428,22027,1,283.76,38,141.88,8,
44429,22027,7,198.54,20,77.43,6,
44430,22028,1,61.08,23,30.54,8,
44431,22028,7,28.42,20,11.08,6,
44432,22029,1,111.55,23,55.77,8,
44433,22029,7,48.95,20,19.09,6,
44434,22030,1,32.21,41,16.10,8,
44435,22030,7,1.40,5,0.54,6,
44436,22031,1,16.05,41,8.03,8,
44437,22031,7,0.66,5,0.25,6,
44438,22032,1,16.05,41,8.03,8,
44439,22032,7,0.66,5,0.25,6,
44440,22033,1,16.05,41,8.03,8,
44441,22033,7,0.66,5,0.25,6,
44442,22034,1,16.05,41,8.03,8,
44443,22034,7,0.66,5,0.25,6,
44444,22035,1,18.30,41,9.15,8,
44445,22035,7,0.76,5,0.29,6,
44446,22036,1,18.30,41,9.15,8,
44447,22036,7,0.76,5,0.29,6,
44448,22037,1,18.30,41,9.15,8,
44449,22037,7,0.76,5,0.29,6,
44450,22038,1,16.05,41,8.03,8,
44451,22038,7,0.66,5,0.25,6,
44452,22039,1,32.21,41,16.10,8,
44453,22039,7,1.40,5,0.54,6,
44454,22040,1,32.21,41,16.10,8,
44455,22040,7,1.40,5,0.54,6,
44456,22041,1,32.21,41,16.10,8,
44457,22041,7,1.40,5,0.54,6,
44458,22042,1,32.21,41,16.10,8,
44459,22042,7,1.40,5,0.54,6,
44460,22043,1,16.05,41,8.03,8,
44461,22043,7,0.66,5,0.25,6,
44462,22044,1,13.98,41,6.99,8,
44463,22044,7,0.57,5,0.22,6,
44464,22045,1,39.10,41,19.55,8,
44465,22045,7,1.73,5,0.67,6,
44466,22046,1,16.05,41,8.03,8,
44467,22046,7,0.66,5,0.25,6,
44468,22047,1,20.72,41,10.36,8,
44469,22047,7,0.87,5,0.34,6,
44470,22048,1,16.05,41,8.03,8,
44471,22048,7,0.66,5,0.25,6,
44472,22049,1,13.98,41,6.99,8,
44473,22049,7,0.57,5,0.22,6,
44474,22050,1,26.09,41,13.05,8,
44475,22050,7,1.12,5,0.43,6,
44476,22051,1,13.98,41,6.99,8,
44477,22051,7,0.57,5,0.22,6,
44478,22052,1,13.98,41,6.99,8,
44479,22052,7,0.57,5,0.22,6,
44480,22053,1,13.98,41,6.99,8,
44481,22053,7,0.57,5,0.22,6,
44482,22054,1,16.05,41,8.03,8,
44483,22054,7,0.66,5,0.25,6,
44484,22055,1,16.05,41,8.03,8,
44485,22055,7,0.66,5,0.25,6,
44486,22056,1,16.05,41,8.03,8,
44487,22056,7,0.66,5,0.25,6,
44488,22057,1,16.05,41,8.03,8,
44489,22057,7,0.66,5,0.25,6,
44490,22058,1,13.25,36,6.62,8,
44491,22058,7,8.90,20,3.47,6,
44492,22059,1,16.05,41,8.03,8,
44493,22059,7,0.66,5,0.25,6,
44494,22060,1,13.98,41,6.99,8,
44495,22060,7,0.57,5,0.22,6,
44496,22061,1,35.56,41,17.78,8,
44497,22061,7,1.56,5,0.61,6,
44498,22062,1,26.09,41,13.05,8,
44499,22062,7,1.12,5,0.43,6,
44500,22063,1,12.07,41,6.03,8,
44501,22063,7,0.48,5,0.19,6,
44502,22064,1,26.09,41,13.05,8,
44503,22064,7,1.12,5,0.43,6,
44504,22065,1,26.09,41,13.05,8,
44505,22065,7,1.12,5,0.43,6,
44506,22066,1,26.09,41,13.05,8,
44507,22066,7,1.12,5,0.43,6,
44508,22067,1,26.09,41,13.05,8,
44509,22067,7,1.12,5,0.43,6,
44510,22068,1,58.22,36,29.11,8,
44511,22068,7,37.03,20,14.44,6,
44512,22069,1,29.06,41,14.53,8,
44513,22069,7,1.26,5,0.49,6,
44514,22070,1,26.09,41,13.05,8,
44515,22070,7,1.12,5,0.43,6,
44516,22071,1,26.09,41,13.05,8,
44517,22071,7,1.12,5,0.43,6,
44518,22072,1,29.06,41,14.53,8,
44519,22072,7,1.26,5,0.49,6,
44520,22073,1,29.06,41,14.53,8,
44521,22073,7,1.26,5,0.49,6,
44522,22074,1,29.06,41,14.53,8,
44523,22074,7,1.26,5,0.49,6,
44524,22075,1,29.06,41,14.53,8,
44525,22075,7,1.26,5,0.49,6,
44526,22076,1,29.06,41,14.53,8,
44527,22076,7,1.26,5,0.49,6,
44528,22077,1,26.09,41,13.05,8,
44529,22077,7,1.12,5,0.43,6,
44530,22078,1,20.72,41,10.36,8,
44531,22078,7,0.87,5,0.34,6,
44532,22079,1,32.21,41,16.10,8,
44533,22079,7,1.40,5,0.54,6,
44534,22080,1,35.56,41,17.78,8,
44535,22080,7,1.56,5,0.61,6,
44536,22081,1,42.84,41,21.42,8,
44537,22081,7,1.91,5,0.74,6,
44538,22082,1,42.84,41,21.42,8,
44539,22082,7,1.91,5,0.74,6,
44540,22083,1,46.78,41,23.39,8,
44541,22083,7,2.10,5,0.82,6,
44542,22084,1,50.92,41,25.46,8,
44543,22084,7,2.30,5,0.90,6,
44544,22085,1,32.21,41,16.10,8,
44545,22085,7,1.40,5,0.54,6,
44546,22086,1,64.62,41,32.31,8,
44547,22086,7,2.98,5,1.16,6,
44548,22087,1,46.78,41,23.39,8,
44549,22087,7,2.10,5,0.82,6,
44550,22088,1,16.51,36,8.25,8,
44551,22088,7,11.00,20,4.29,6,
44552,22089,1,29.06,41,14.53,8,
44553,22089,7,1.26,5,0.49,6,
44554,22090,1,35.56,41,17.78,8,
44555,22090,7,1.56,5,0.61,6,
44556,22091,1,26.09,41,13.05,8,
44557,22091,7,1.12,5,0.43,6,
44558,22092,1,26.09,41,13.05,8,
44559,22092,7,1.12,5,0.43,6,
44560,22093,1,35.56,41,17.78,8,
44561,22093,7,1.56,5,0.61,6,
44562,22094,1,55.28,41,27.64,8,
44563,22094,7,2.52,5,0.98,6,
44564,22095,1,26.09,41,13.05,8,
44565,22095,7,1.12,5,0.43,6,
44566,22096,1,13.98,41,6.99,8,
44567,22096,7,0.57,5,0.22,6,
44568,22097,1,13.98,41,6.99,8,
44569,22097,7,0.57,5,0.22,6,
44570,22098,1,13.98,41,6.99,8,
44571,22098,7,0.57,5,0.22,6,
44572,22099,1,13.98,41,6.99,8,
44573,22099,7,0.57,5,0.22,6,
44574,22100,1,20.72,41,10.36,8,
44575,22100,7,0.87,5,0.34,6,
44576,22101,1,20.72,41,10.36,8,
44577,22101,7,0.87,5,0.34,6,
44578,22102,1,26.09,41,13.05,8,
44579,22102,7,1.12,5,0.43,6,
44580,22103,1,12.07,41,6.03,8,
44581,22103,7,0.48,5,0.19,6,
44582,22104,1,16.05,41,8.03,8,
44583,22104,7,0.66,5,0.25,6,
44584,22105,1,23.32,41,11.66,8,
44585,22105,7,0.99,5,0.38,6,
44586,22106,1,23.32,41,11.66,8,
44587,22106,7,0.99,5,0.38,6,
44588,22107,1,23.32,41,11.66,8,
44589,22107,7,0.99,5,0.38,6,
44590,22108,1,23.32,41,11.66,8,
44591,22108,7,0.99,5,0.38,6,
44592,22109,1,23.32,41,11.66,8,
44593,22109,7,0.99,5,0.38,6,
44594,22110,1,26.09,41,13.05,8,
44595,22110,7,1.12,5,0.43,6,
44596,22111,1,12.07,41,6.03,8,
44597,22111,7,0.48,5,0.19,6,
44598,22112,1,20.72,41,10.36,8,
44599,22112,7,0.87,5,0.34,6,
44600,22113,1,12.07,41,6.03,8,
44601,22113,7,0.48,5,0.19,6,
44602,22114,1,12.07,41,6.03,8,
44603,22114,7,0.48,5,0.19,6,
44604,22115,1,12.07,41,6.03,8,
44605,22115,7,0.48,5,0.19,6,
44606,22116,1,12.07,41,6.03,8,
44607,22116,7,0.48,5,0.19,6,
44608,22117,1,12.07,41,6.03,8,
44609,22117,7,0.48,5,0.19,6,
44610,22118,1,20.72,41,10.36,8,
44611,22118,7,0.87,5,0.34,6,
44612,22119,1,12.07,41,6.03,8,
44613,22119,7,0.48,5,0.19,6,
44614,22120,1,13.98,41,6.99,8,
44615,22120,7,0.57,5,0.22,6,
44616,22121,1,12.07,41,6.03,8,
44617,22121,7,0.48,5,0.19,6,
44618,22122,1,12.07,41,6.03,8,
44619,22122,7,0.48,5,0.19,6,
44620,22123,1,29.06,41,14.53,8,
44621,22123,7,1.26,5,0.49,6,
44622,22124,1,12.07,41,6.03,8,
44623,22124,7,0.48,5,0.19,6,
44624,22125,1,12.07,41,6.03,8,
44625,22125,7,0.48,5,0.19,6,
44626,22126,1,12.07,41,6.03,8,
44627,22126,7,0.48,5,0.19,6,
44628,22127,1,12.07,41,6.03,8,
44629,22127,7,0.48,5,0.19,6,
44630,22128,1,26.09,41,13.05,8,
44631,22128,7,1.12,5,0.43,6,
44632,22129,1,20.72,41,10.36,8,
44633,22129,7,0.87,5,0.34,6,
44634,22130,1,20.72,41,10.36,8,
44635,22130,7,0.87,5,0.34,6,
44636,22131,1,20.72,41,10.36,8,
44637,22131,7,0.87,5,0.34,6,
44638,22132,1,20.72,41,10.36,8,
44639,22132,7,0.87,5,0.34,6,
44640,22133,1,20.72,41,10.36,8,
44641,22133,7,0.87,5,0.34,6,
44642,22134,1,18.30,41,9.15,8,
44643,22134,7,0.76,5,0.29,6,
44644,22135,1,20.72,41,10.36,8,
44645,22135,7,0.87,5,0.34,6,
44646,22136,1,26.09,41,13.05,8,
44647,22136,7,1.12,5,0.43,6,
44648,22137,1,18.30,41,9.15,8,
44649,22137,7,0.76,5,0.29,6,
44650,22138,1,20.72,41,10.36,8,
44651,22138,7,0.87,5,0.34,6,
44652,22139,1,20.72,41,10.36,8,
44653,22139,7,0.87,5,0.34,6,
44654,22140,1,20.72,41,10.36,8,
44655,22140,7,0.87,5,0.34,6,
44656,22141,1,20.72,41,10.36,8,
44657,22141,7,0.87,5,0.34,6,
44658,22142,1,23.32,41,11.66,8,
44659,22142,7,0.99,5,0.38,6,
44660,22143,1,12.07,41,6.03,8,
44661,22143,7,0.48,5,0.19,6,
44662,22144,1,20.72,41,10.36,8,
44663,22144,7,0.87,5,0.34,6,
44664,22145,1,13.98,41,6.99,8,
44665,22145,7,0.57,5,0.22,6,
44666,22146,1,16.05,41,8.03,8,
44667,22146,7,0.66,5,0.25,6,
44668,22147,1,20.72,41,10.36,8,
44669,22147,7,0.87,5,0.34,6,
44670,22148,1,20.72,41,10.36,8,
44671,22148,7,0.87,5,0.34,6,
44672,22149,1,20.72,41,10.36,8,
44673,22149,7,0.87,5,0.34,6,
44674,22150,1,20.72,41,10.36,8,
44675,22150,7,0.87,5,0.34,6,
44676,22151,1,20.72,41,10.36,8,
44677,22151,7,0.87,5,0.34,6,
44678,22152,1,20.72,41,10.36,8,
44679,22152,7,0.87,5,0.34,6,
44680,22153,1,20.72,41,10.36,8,
