Site,Status,ID,Date,Lat,Lon,Depth,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,13C,15N,Age,Age_e,VAR,MAR,CAR,Year
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,25.5,-19.2,0.1464,4.0445,0.2273,0.415,0.0707,3.6296,0.238,4.8777,0.1005,0,0,   ,   ,   ,   ,64.4,4.8,3.2,462,,1953.6
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,26.5,-20.2,0.096,3.7687,0.2781,0.811,0.0971,2.9577,0.2946,2.2943,0.0959,0,0,   ,   ,   ,   ,66.2,5.1,5.5,525,,1951.7
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,27.5,-21.2,0.1932,3.8267,0.1971,0.7388,0.0601,3.088,0.206,3.4603,0.0709,0,0,23.3,1.05,-26.17,3.91,70.4,5.8,2.4,458,107,1947.5
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,28.5,-22.2,0.1599,3.7582,0.2774,1.2761,0.1053,2.4821,0.2967,2.0024,0.0803,0,0,   ,   ,   ,   ,73.6,6.4,3.2,508,,1944.4
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,29.5,-23.2,0.3835,2.8944,0.1864,1.6329,0.0625,1.2615,0.1966,1.1602,0.0448,0,0,   ,   ,   ,   ,77.9,7.4,2.3,889,,1940
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,30.5,-24.2,0.691,2.2351,0.1126,1.6249,0.0429,0.6101,0.1205,0.7649,0.0285,0,0,3.94,0.28,-23.65,4.4,87.1,10,2.2,1493,59,1930.8
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,31.5,-25.2,0.6378,2.112,0.1145,1.6402,0.0435,0.4718,0.1224,0.5269,0.0254,0,0,   ,   ,   ,   ,95.9,13.3,2.3,1458,,1922
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,32.5,-26.2,0.707,2.0834,0.1179,1.6758,0.0411,0.4075,0.1249,0.4041,0.0209,0,0,   ,   ,   ,   ,107.3,19.4,1.7,1235,,1910.6
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,33.5,-27.2,0.489,2.1033,0.1498,1.7112,0.0597,0.392,0.1612,0.3053,0.0282,0,0,3.06,0.25,-21.94,4.45,112.3,22.7,2,991,30,1905.7
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,34.5,-28.2,0.5373,2.011,0.141,1.4415,0.0539,0.5695,0.1509,0.183,0.0294,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,35.5,-29.2,0.4346,2.3556,0.1651,1.7406,0.0627,0.615,0.1766,0.1803,0.03,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,36.5,-30.2,0.6203,1.8758,0.1219,1.7022,0.0511,0.1736,0.1322,0.1302,0.0201,0,0,2.39,0.23,-20.02,4.82,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,37.5,-31.2,0.9646,1.6452,0.1212,1.6929,0.0474,-0.0477,0.1302,0.0743,0.0188,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,38.5,-32.2,0.794,1.8045,0.1292,1.5977,0.0494,0.2067,0.1383,0.0791,0.0176,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,39.5,-33.2,0.6386,1.9472,0.1441,1.6207,0.0558,0.3265,0.1545,0,0,0,0,2.53,0.26,-19.38,5.08,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,40.5,-34.2,1.0569,1.6737,0.1003,1.8421,0.0446,-0.1684,0.1097,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,41.5,-35.2,1.015,1.8031,0.1145,1.7157,0.0422,0.0874,0.122,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,42.5,-36.2,1.2298,1.3647,0.0927,1.5136,0.041,-0.149,0.1013,0,0,0,0,0.82,0.07,-21.1,4.7,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,43.5,-37.2,0.9742,1.6431,0.1091,1.5125,0.0422,0.1306,0.117,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,44.5,-38.2,1.0333,1.5225,0.0843,1.4763,0.0338,0.0463,0.0909,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,45.5,-39.2,0.9366,1.6328,0.0825,1.5538,0.0353,0.079,0.0897,0,0,0,0,1.55,0.12,-21.14,4.9,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,46.5,-40.2,0.7423,1.6091,0.0967,1.6381,0.0388,-0.029,0.1042,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,47.5,-41.2,1.1544,1.506,0.0994,1.6094,0.0352,-0.1034,0.1055,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,48.5,-42.2,1.4263,1.5057,0.0867,1.5834,0.031,-0.0777,0.0921,0,0,0,0,1.15,0.12,-18.43,5.17,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,49.5,-43.2,2.0005,1.2347,0.0719,1.3257,0.029,-0.091,0.0775,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,50.5,-44.2,1.3258,1.8152,0.0869,1.5126,0.0337,0.3026,0.0933,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,51.5,-45.2,1.497,1.2906,0.0746,1.2378,0.0298,0.0528,0.0803,0,0,0,0,0.55,0.05,-18.86,5,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,52.5,-46.2,1.3077,1.0922,0.0825,1.1974,0.034,-0.1052,0.0892,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,53.5,-47.2,1.5228,1.2942,0.0949,1.2833,0.0314,0.0109,0.0999,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,54.5,-48.2,2.0408,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.48,0.05,-18.61,4.74,   ,   ,  ,,,   
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,55.5,-49.2,2.1142,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,0,6.3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,1,5.3,0.0578,18.9036,0.6446,5.1101,0.2228,13.7936,0.682,0,0,6.4901,1.1299,38.24,1.63,-27.07,4.54,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,3,3.3,0.0717,26.2375,0.5169,0.9334,0.0973,25.3041,0.526,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,5,1.3,0.0555,25.0609,0.9674,1.1959,0.2079,23.8649,0.9894,0,0,0,0,32.22,1.79,-27.18,5.14,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,7,-0.7,0.0754,19.9444,0.6203,0.4369,0.1263,19.5076,0.633,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,9,-2.7,0.0564,21.723,0.7668,0.6001,0.1405,21.1229,0.7796,0,0,0,0,33.78,1.8,-27.03,5.52,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,11,-4.7,0.0955,18.6794,0.4427,0.8431,0.1254,17.8363,0.4601,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,13,-6.7,0.069,20.8684,0.5718,1.3978,0.1289,19.4706,0.5861,0,0,0,0,28.91,1.97,-27.47,5.91,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,15,-8.7,0.0744,17.0285,0.533,2.0051,0.1323,15.0233,0.5492,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,17,-10.7,0.0687,12.8473,0.5768,0.8188,0.2025,12.0284,0.6114,0,0,0,0,24.73,1.6,-27.53,6.16,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,19,-12.7,0.0836,9.6628,0.3971,0.9061,0.1006,8.7567,0.4097,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,21,-14.7,0.0902,7.0126,0.3457,0.809,0.0966,6.2036,0.359,0,0,0,0,27.2,1.13,-27.91,5.29,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,23,-16.7,0.0789,7.8985,0.3673,0.432,0.0887,7.4665,0.3778,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,25,-18.7,0.0851,9.1718,0.3935,0.5673,0.0947,8.6045,0.4047,0.3736,0.0637,0,0,24.6,1.33,-28.07,4.56,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,27,-20.7,0.1076,6.0646,0.2978,0,0,6.0646,0.2978,0.3706,0.0586,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Phragmites,HRPB,10/27/2017,41.93754,-70.05544,29,-22.7,0.0774,11.3076,0.4161,0.4129,0.0994,10.8946,0.4278,1.6871,0.0945,0,0,22.25,1.13,-27.77,4.08,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,0,59.3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,2017.9
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,0.5,58.8,0.1013,19.3909,0.7815,0.3,0.1,19.0909,0.7878,0,0,7.4195,1.294,45.59,2,-29.92,4.5,1.8,1.1,5.7,,263,2016.1
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,1.5,57.8,0.1371,31.617,0.6165,0.3177,0.0985,31.2993,0.6244,0.5326,0.0691,0,0,   ,   ,   ,   ,6,1.2,2.3,,,2011.9
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,2.5,56.8,0.1692,29.2697,0.6703,0.4008,0.0954,28.8689,0.677,1.5572,0.1092,0,0,   ,   ,   ,   ,11.7,1.3,1.8,,,2006.2
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,3.5,55.8,0.2429,24.8174,0.3574,0.8641,0.065,23.9534,0.3632,3.3668,0.0791,0,0,32.88,1.95,-27.73,5.35,20.2,1.7,1.2,,95,1997.7
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,4.5,54.8,0.2356,18.1195,0.6106,1.0097,0.1288,17.1098,0.6241,4.1637,0.1632,0,0,   ,   ,   ,   ,27.7,2,1.3,,,1990.3
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,5.5,53.8,0.2744,15.2114,0.47,1.223,0.1122,13.9884,0.4832,3.9306,0.1372,0,0,   ,   ,   ,   ,36.9,2.7,1.1,,,1981
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,6.5,52.8,0.3489,10.0438,0.3997,1.3734,0.1049,8.6704,0.4133,4.2104,0.12,0,0,16.35,1.12,-24.74,6.28,46.7,3.6,1,,58,1971.2
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,7.5,51.8,0.5341,4.7133,0.2696,1.2433,0.0854,3.47,0.2828,2.102,0.0849,0,0,   ,   ,   ,   ,54.6,4.6,1.3,,,1963.3
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,8.5,50.8,0.5173,2.8372,0.2491,1.3048,0.0941,1.5324,0.2663,1.4885,0.0747,0,0,   ,   ,   ,   ,58.7,5.2,2.4,,,1959.2
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,9.5,49.8,0.5198,2.562,0.1606,1.2706,0.0541,1.2914,0.1695,1.0926,0.0464,0,0,11.16,0.86,-19.89,5.05,62.6,5.9,2.5,,148,1955.3
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,10.5,48.8,0.5361,2.2814,0.1786,1.3614,0.0566,0.92,0.1874,0.8928,0.0395,0,0,   ,   ,   ,   ,65.9,6.5,3.1,,,1952
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,11.5,47.8,0.7897,1.8538,0.1292,1.0344,0.0475,0.8194,0.1377,0.5386,0.031,0,0,   ,   ,   ,   ,70.7,7.6,2.1,,,1947.3
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,12.5,46.8,0.5288,1.8545,0.1491,1.1855,0.0563,0.669,0.1594,0.4793,0.033,0,0,10.19,0.78,-20.08,4.51,73.6,8.3,3.4,,182,1944.3
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,13.5,45.8,0.5108,1.7239,0.1027,1.1715,0.0387,0.5524,0.1098,0.3843,0.0244,0,0,   ,   ,   ,   ,76.2,9,3.9,,,1941.7
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,14.5,44.8,0.5747,1.8065,0.0907,1.0832,0.0342,0.7233,0.0969,0.2562,0.0192,0,0,   ,   ,   ,   ,80.4,10.3,2.4,,,1937.5
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,15.5,43.8,0.7519,1.7717,0.0877,1.2284,0.3296,0.5433,0.3411,0.2618,0.0168,0,0,10.43,0.83,-18.67,4.48,85.1,12.2,2.1,,165,1932.8
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,16.5,42.8,0.6985,1.7776,0.107,1.1358,0.2587,0.6418,0.28,0.2214,0.0189,0,0,   ,   ,   ,   ,91.3,14.9,1.6,,,1926.6
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,17.5,41.8,0.9892,1.2959,0.1121,1.471,0.3207,-0.1751,0.3398,0.2201,0.0178,0,0,   ,   ,   ,   ,96.2,18.8,2,,,1921.7
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,18.5,40.8,0.7862,1.7026,0.1182,1.4041,0.3555,0.2985,0.3746,0.2056,0.0231,0,0,5.68,0.47,-17.63,6.82,100.7,21.9,2.2,,100,1917.2
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,19.5,39.8,0.7348,1.6611,0.1174,1.421,0.3288,0.2401,0.3491,0.1979,0.0229,0,0,   ,   ,   ,   ,104.5,25,2.6,,,1913.4
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,20.5,38.8,0.8318,1.5363,0.1145,1.344,0.3383,0.1922,0.3571,0.1991,0.0195,0,0,   ,   ,   ,   ,108.4,28.6,2.6,,,1909.5
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,21.5,37.8,0.7273,1.5766,0.1348,1.387,0.0519,0.1896,0.1444,0.0987,0.023,0,0,6.18,0.47,-17.21,6.37,112.2,32.2,2.6,,119,1905.7
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,22.5,36.8,0.6812,1.3831,0.1272,1.3758,0.0495,0.0074,0.1365,0.1381,0.0184,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,23.5,35.8,0.7729,1.3544,0.131,1.3274,0.0511,0.027,0.1406,0.1277,0.0259,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,24.5,34.8,0.725,1.2883,0.1246,1.4484,0.0497,-0.1601,0.1341,0.0823,0.0196,0,0,5.26,0.4,-17.31,6.44,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,25.5,33.8,0.7037,1.5198,0.1309,1.4284,0.0507,0.0915,0.1403,0.1574,0.0245,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,26.5,32.8,0.7336,1.8741,0.1642,1.481,0.0584,0.3931,0.1742,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,27.5,31.8,0.5624,1.9365,0.1396,1.3683,0.061,0.5682,0.1524,0.144,0.0218,0,0,6.96,0.53,-17.64,6.21,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,28.5,30.8,0.6616,1.5769,0.1211,1.3931,0.0435,0.1838,0.1287,0.1533,0.0197,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,29.5,29.8,0.5621,1.5177,0.1153,1.317,0.044,0.2007,0.1234,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,30.5,28.8,0.7428,1.4362,0.1152,1.3522,0.0379,0.084,0.1212,0.1108,0.0165,0,0,7.53,0.58,-17.2,6.34,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,31.5,27.8,0.4083,1.5908,0.1538,1.4076,0.0642,0.1832,0.1667,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,32.5,26.8,0.4774,2.0306,0.1572,1.7158,0.0546,0.3148,0.1664,0.1434,0.0235,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,33.5,25.8,0.5012,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,6.91,0.55,-17.26,6.27,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,34.5,24.8,0.4474,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,35.5,23.8,0.6679,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKA,10/27/2017,41.94299,-70.05075,36.5,22.8,0.7135,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.51,0.45,-17.55,5.89,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,0,60.4,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,2017.9
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,0.5,59.9,0.0915,19.2352,0.6925,1.0152,0.1811,18.2201,0.7158,0.4454,0.097,3.9505,1.1144,36.67,1.51,-29.39,3.68,0.9,0.6,11,1003,368,2017
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,1.5,58.9,0.1927,24.3596,0.5237,0.7543,0.0936,23.6053,0.532,0.6266,0.0709,2.0593,0.4135,   ,   ,   ,   ,3.5,0.7,3.8,733,,2014.4
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,2.5,57.9,0.3689,22.261,0.3873,1.3402,0.074,20.9208,0.3943,0.63,0.0447,0,0,   ,   ,   ,   ,8.6,0.8,2,735,,2009.4
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,3.5,56.9,0.5774,17.1097,0.2378,1.5276,0.0533,15.5821,0.2437,1.2091,0.0388,0,0,13.06,0.86,-27.58,5.07,15.6,1,1.4,818,107,2002.3
