study_id,site_id,vegetation_class,site_longitude_max,site_longitude_min,site_latitude_max,site_latitude_min,site_description,salinity_class,inundation_class
Trettin_et_al_2017,9023,NA,36.152977,36.152977,-18.88562,-18.88562,NA,NA,NA
Trettin_et_al_2017,9024,NA,36.211684,36.211684,-18.823362,-18.823362,NA,NA,NA
Trettin_et_al_2017,9025,NA,36.278995,36.278995,-18.851282,-18.851282,NA,NA,NA
Trettin_et_al_2017,9027,NA,36.166532,36.166532,-18.860388,-18.860388,NA,NA,NA
Krauss_et_al_2018,Savannah_River_low,emergent,NA,NA,NA,NA,NA,oligohaline,low
Krauss_et_al_2018,Savannah_River_mid,forested,NA,NA,NA,NA,NA,oligohaline,mid
Krauss_et_al_2018,Savannah_River_mid,emergent,NA,NA,NA,NA,NA,oligohaline,low
Krauss_et_al_2018,Savannah_River_high,forested,NA,NA,NA,NA,NA,fresh,high
Krauss_et_al_2018,Waccamaw_River_Butler_island,forested to emergent,NA,NA,NA,NA,NA,oligohaline,mid
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_high,emergent,NA,NA,NA,NA,NA,oligohaline,low
Krauss_et_al_2018,Waccamaw_River_Turkey_creek_low,forested to emergent,NA,NA,NA,NA,NA,oligohaline,low
Krauss_et_al_2018,Waccamaw_River_Richmond_island,forested,NA,NA,NA,NA,NA,fresh,high
