Province,Wetland,Site,Soil depth,"TN 
(g kg-1)","LOC 
(g kg-1)","MBC 
(mg kg-1)","DOC
(mg kg-1)","TP
(g kg-1)",C:N ,pH,"EC
(μS cm-1)",Soil water content (%),"Bulk density
(g cm-3)","Clay 
(%)","Silt
(%)","Sand 
(%)","Λ8
(g kg-1 OC)",S/V,C/V,(Ad/Al)v,(Ad/Al)s,
Liaoning ,Liao River Delta,3 ,0—10,1.05 ,3.45 ,294.21 ,65.03 ,0.55 ,10.17 ,8.96 ,570 ,37.33 ,1.41 ,6.08 ,39.31 ,51.57 ,5.53 ,1.24 ,0.64 ,0.35 ,0.32 ,
Liaoning ,Liao River Delta,3 ,10—20,1.05 ,3.47 ,154.19 ,88.39 ,0.61 ,8.78 ,9.63 ,460 ,34.12 ,1.37 ,20.73 ,65.18 ,14.51 ,7.77 ,1.38 ,1.09 ,0.31 ,0.29 ,
Liaoning ,Liao River Delta,3 ,20—30,1.01 ,2.99 ,515.51 ,142.80 ,0.46 ,9.80 ,9.44 ,338 ,39.24 ,1.27 ,8.58 ,41.30 ,51.57 ,5.94 ,1.05 ,0.46 ,0.35 ,0.33 ,
Liaoning ,Liao River Delta,3 ,30—40,0.61 ,2.46 ,174.92 ,176.36 ,0.55 ,11.26 ,9.01 ,832 ,36.26 ,1.30 ,5.05 ,40.26 ,55.48 ,10.05 ,1.24 ,1.23 ,0.35 ,0.25 ,
Liaoning ,Liao River Delta,3 ,40—60,nd,nd,nd,nd,nd,nd,nd,nd,26.96 ,1.34 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,3 ,60—80,nd,nd,nd,nd,nd,nd,nd,nd,31.48 ,1.35 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,3 ,80—100,nd,nd,nd,nd,nd,nd,nd,nd,28.41 ,1.34 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,4 ,0—10,1.30 ,3.84 ,102.23 ,89.28 ,0.62 ,8.08 ,8.45 ,264 ,30.80 ,1.13 ,7.36 ,57.00 ,35.65 ,19.50 ,1.91 ,1.67 ,0.39 ,0.33 ,
Liaoning ,Liao River Delta,4 ,10—20,1.34 ,4.07 ,391.86 ,108.62 ,0.54 ,9.53 ,8.18 ,196 ,25.25 ,1.20 ,9.35 ,59.68 ,30.98 ,11.43 ,1.60 ,1.09 ,0.36 ,0.31 ,
Liaoning ,Liao River Delta,4 ,20—30,1.11 ,2.97 ,38.95 ,117.40 ,0.52 ,8.08 ,8.41 ,255 ,29.84 ,1.39 ,6.91 ,54.12 ,38.96 ,9.17 ,1.49 ,0.92 ,0.35 ,0.35 ,
Liaoning ,Liao River Delta,4 ,30—40,0.85 ,2.11 ,149.31 ,103.10 ,0.47 ,8.62 ,8.52 ,184 ,22.60 ,1.59 ,6.08 ,53.36 ,40.58 ,7.95 ,1.27 ,0.71 ,0.35 ,0.35 ,
Liaoning ,Liao River Delta,4 ,40—60,0.70 ,1.88 ,nd,75.06 ,0.45 ,8.24 ,8.88 ,283 ,18.94 ,1.53 ,5.08 ,38.52 ,56.40 ,9.65 ,1.33 ,0.84 ,0.35 ,0.34 ,
Liaoning ,Liao River Delta,4 ,60—80,0.64 ,1.43 ,nd,92.16 ,0.44 ,7.39 ,9.25 ,316 ,19.65 ,1.61 ,6.30 ,43.78 ,49.91 ,8.13 ,1.25 ,0.87 ,0.36 ,0.37 ,
Liaoning ,Liao River Delta,4 ,80—100,0.63 ,1.73 ,nd,127.55 ,0.45 ,9.17 ,9.32 ,381 ,19.06 ,1.53 ,6.18 ,49.74 ,44.08 ,8.11 ,1.33 ,0.90 ,0.37 ,0.40 ,
Liaoning ,Liao River Delta,5 ,0—10,0.80 ,2.11 ,123.74 ,149.24 ,0.39 ,7.75 ,9.61 ,568 ,28.96 ,1.42 ,7.56 ,59.68 ,32.37 ,4.63 ,0.65 ,1.02 ,0.49 ,0.35 ,
Liaoning ,Liao River Delta,5 ,10—20,0.97 ,2.12 ,67.28 ,201.15 ,0.44 ,5.23 ,9.46 ,1012 ,23.38 ,1.74 ,3.07 ,60.69 ,36.06 ,3.64 ,0.65 ,0.64 ,0.35 ,0.28 ,
Liaoning ,Liao River Delta,5 ,20—30,0.49 ,2.00 ,154.19 ,66.40 ,0.46 ,12.31 ,9.21 ,1396 ,23.43 ,1.71 ,20.73 ,55.34 ,24.34 ,8.45 ,0.98 ,0.51 ,0.36 ,0.29 ,
Liaoning ,Liao River Delta,5 ,30—40,0.93 ,2.20 ,51.68 ,136.54 ,0.45 ,5.69 ,9.06 ,1680 ,25.54 ,1.60 ,3.05 ,65.34 ,31.99 ,4.22 ,0.65 ,0.64 ,0.36 ,0.29 ,
Liaoning ,Liao River Delta,5 ,40—60,nd,nd,nd,nd,nd,nd,nd,nd,25.66 ,1.63 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,5 ,60—80,nd,nd,nd,nd,nd,nd,nd,nd,25.17 ,1.61 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,5 ,80—100,nd,nd,nd,nd,nd,nd,nd,nd,19.46 ,1.53 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,6 ,0—10,0.95 ,2.44 ,131.22 ,44.77 ,0.42 ,7.34 ,9.42 ,466 ,29.68 ,1.46 ,13.65 ,56.18 ,30.60 ,3.60 ,1.35 ,0.72 ,0.35 ,0.33 ,
Liaoning ,Liao River Delta,6 ,10—20,1.39 ,4.36 ,405.14 ,136.97 ,0.52 ,9.20 ,9.08 ,417 ,34.54 ,1.23 ,18.88 ,71.58 ,10.60 ,4.27 ,1.37 ,0.64 ,0.35 ,0.26 ,
Liaoning ,Liao River Delta,6 ,20—30,1.05 ,3.33 ,23.62 ,92.14 ,0.43 ,8.30 ,8.82 ,457 ,20.73 ,1.75 ,19.76 ,72.68 ,7.94 ,8.45 ,1.14 ,0.55 ,0.36 ,0.24 ,
Liaoning ,Liao River Delta,6 ,30—40,1.14 ,2.12 ,160.21 ,136.54 ,0.45 ,8.35 ,8.80 ,416 ,30.87 ,1.34 ,6.34 ,58.16 ,36.06 ,3.88 ,1.36 ,0.87 ,0.36 ,0.29 ,
Liaoning ,Liao River Delta,6 ,40—60,nd,nd,nd,nd,nd,nd,nd,nd,32.64 ,1.38 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,6 ,60—80,nd,nd,nd,nd,nd,nd,nd,nd,31.48 ,1.31 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,6 ,80—100,nd,nd,nd,nd,nd,nd,nd,nd,28.60 ,1.37 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,7 ,0—10,3.72 ,14.87 ,439.44 ,142.80 ,0.76 ,9.86 ,7.71 ,2003 ,23.16 ,0.81 ,8.47 ,61.21 ,30.32 ,22.02 ,1.82 ,1.49 ,0.36 ,0.36 ,
Liaoning ,Liao River Delta,7 ,10—20,2.07 ,7.08 ,417.15 ,201.15 ,0.60 ,8.12 ,8.45 ,1915 ,24.11 ,1.12 ,13.15 ,64.85 ,21.99 ,20.04 ,1.76 ,1.24 ,0.49 ,0.44 ,
Liaoning ,Liao River Delta,7 ,20—30,1.56 ,5.87 ,69.90 ,166.18 ,0.55 ,9.12 ,8.72 ,1235 ,25.15 ,1.18 ,11.61 ,66.75 ,21.62 ,5.03 ,1.41 ,1.16 ,0.46 ,0.40 ,
Liaoning ,Liao River Delta,7 ,30—40,1.26 ,4.63 ,117.51 ,169.85 ,0.61 ,7.90 ,8.28 ,1690 ,24.01 ,1.32 ,9.93 ,77.91 ,12.17 ,12.77 ,1.52 ,1.68 ,0.37 ,0.33 ,
Liaoning ,Liao River Delta,7 ,40—60,1.53 ,4.33 ,nd,96.65 ,0.60 ,6.27 ,8.48 ,1685 ,25.35 ,1.34 ,7.63 ,69.32 ,23.05 ,8.19 ,1.50 ,1.48 ,0.37 ,0.36 ,
Liaoning ,Liao River Delta,7 ,60—80,1.12 ,3.99 ,nd,87.66 ,0.59 ,8.34 ,8.47 ,1802 ,22.32 ,1.35 ,8.62 ,64.61 ,26.76 ,8.80 ,1.45 ,1.48 ,0.39 ,0.37 ,
Liaoning ,Liao River Delta,7 ,80—100,1.09 ,4.17 ,nd,76.24 ,0.57 ,6.88 ,8.52 ,1661 ,26.24 ,1.43 ,8.59 ,72.81 ,18.55 ,16.39 ,1.55 ,1.21 ,0.48 ,0.45 ,
Tianjin, Duliujian River ,1 ,0—10,1.44 ,4.94 ,174.92 ,132.21 ,0.66 ,8.74 ,8.68 ,1383 ,32.96 ,1.44 ,11.70 ,64.73 ,23.56 ,11.57 ,1.32 ,1.49 ,0.43 ,0.37 ,
Tianjin, Duliujian River ,1 ,10—20,1.09 ,2.46 ,106.85 ,86.50 ,0.65 ,6.73 ,8.64 ,2109 ,24.72 ,1.54 ,11.66 ,63.98 ,24.34 ,7.99 ,1.29 ,1.14 ,0.53 ,0.37 ,
Tianjin, Duliujian River ,1 ,20—30,0.93 ,2.46 ,100.72 ,82.94 ,0.66 ,7.76 ,8.72 ,1796 ,28.01 ,1.51 ,9.04 ,54.90 ,36.05 ,6.89 ,1.33 ,1.23 ,0.52 ,0.35 ,
Tianjin, Duliujian River ,1 ,30—40,0.99 ,3.20 ,88.86 ,83.28 ,0.71 ,8.04 ,8.92 ,1706 ,30.87 ,1.33 ,10.20 ,60.73 ,29.07 ,3.50 ,1.44 ,1.05 ,0.58 ,0.37 ,
Tianjin, Duliujian River ,1 ,40—60,1.04 ,nd,100.84 ,66.95 ,0.66 ,7.31 ,9.29 ,1925 ,34.32 ,1.55 ,10.11 ,69.93 ,19.96 ,2.90 ,1.39 ,1.04 ,0.51 ,0.29 ,
Tianjin, Duliujian River ,1 ,60—80,0.65 ,nd,30.35 ,45.05 ,0.72 ,6.90 ,9.50 ,1980 ,32.01 ,1.66 ,12.15 ,68.19 ,19.69 ,3.89 ,1.18 ,0.70 ,0.53 ,0.25 ,
Tianjin, Duliujian River ,1 ,80—100,0.44 ,nd,19.44 ,27.67 ,0.70 ,9.21 ,9.45 ,2029 ,31.99 ,1.68 ,14.33 ,66.95 ,18.70 ,3.30 ,1.15 ,0.67 ,0.50 ,0.19 ,
Tianjin, Duliujian River ,2 ,0—10,1.26 ,4.71 ,137.39 ,110.17 ,0.75 ,7.80 ,8.60 ,2502 ,28.47 ,1.68 ,13.87 ,58.55 ,27.57 ,12.53 ,1.44 ,1.82 ,0.45 ,0.33 ,
Tianjin, Duliujian River ,2 ,10—20,1.05 ,4.00 ,154.19 ,99.26 ,0.75 ,6.50 ,8.45 ,2875 ,34.42 ,1.43 ,7.97 ,42.55 ,49.48 ,9.43 ,1.21 ,1.31 ,0.47 ,0.25 ,
Tianjin, Duliujian River ,2 ,20—30,1.25 ,4.94 ,121.72 ,106.82 ,0.72 ,7.60 ,8.52 ,2921 ,34.81 ,1.40 ,6.02 ,47.29 ,46.69 ,9.11 ,1.22 ,1.37 ,0.49 ,0.27 ,
Tianjin, Duliujian River ,2 ,30—40,1.18 ,4.49 ,102.23 ,99.79 ,0.76 ,8.27 ,8.50 ,2900 ,34.00 ,1.46 ,6.40 ,45.86 ,47.70 ,7.76 ,1.30 ,1.39 ,0.52 ,0.35 ,
Tianjin, Duliujian River ,2 ,40—60,0.84 ,3.10 ,84.11 ,74.53 ,0.80 ,8.19 ,9.19 ,2226 ,34.11 ,1.57 ,8.34 ,62.51 ,29.17 ,12.37 ,1.59 ,1.55 ,0.43 ,0.29 ,
Tianjin, Duliujian River ,2 ,60—80,0.71 ,2.56 ,35.77 ,61.18 ,0.75 ,6.66 ,9.22 ,2450 ,32.36 ,1.65 ,12.84 ,68.32 ,18.84 ,7.20 ,1.14 ,1.42 ,0.55 ,0.25 ,
Tianjin, Duliujian River ,2 ,80—100,0.50 ,1.88 ,10.80 ,28.85 ,0.70 ,7.21 ,9.29 ,2019 ,30.26 ,1.69 ,12.49 ,70.75 ,16.77 ,6.40 ,1.05 ,1.04 ,0.59 ,0.34 ,
Tianjin, Duliujian River ,3 ,0—10,1.30 ,5.87 ,149.31 ,89.49 ,0.77 ,7.17 ,8.31 ,2664 ,34.54 ,1.41 ,10.90 ,60.51 ,28.60 ,11.53 ,1.70 ,1.96 ,0.49 ,0.36 ,
Tianjin, Duliujian River ,3 ,10—20,1.18 ,4.94 ,167.51 ,109.09 ,0.66 ,8.84 ,8.40 ,2432 ,32.86 ,1.52 ,9.03 ,55.58 ,35.40 ,5.95 ,1.55 ,1.69 ,0.51 ,0.34 ,
Tianjin, Duliujian River ,3 ,20—30,1.30 ,4.36 ,153.68 ,95.75 ,0.75 ,7.30 ,8.40 ,2991 ,27.25 ,1.60 ,10.47 ,48.05 ,41.50 ,6.73 ,1.60 ,1.56 ,0.52 ,0.34 ,
Tianjin, Duliujian River ,3 ,30—40,1.32 ,5.37 ,117.16 ,98.19 ,0.73 ,7.09 ,8.38 ,2991 ,34.65 ,1.46 ,8.57 ,55.34 ,36.09 ,5.37 ,1.46 ,1.70 ,0.47 ,0.29 ,
Tianjin, Duliujian River ,3 ,40—60,1.26 ,nd,138.05 ,104.42 ,0.72 ,7.32 ,8.66 ,2982 ,34.93 ,1.48 ,8.59 ,54.56 ,36.85 ,5.02 ,1.56 ,1.47 ,0.56 ,0.37 ,
Tianjin, Duliujian River ,3 ,60—80,1.68 ,nd,196.54 ,135.89 ,0.79 ,7.01 ,8.68 ,2890 ,33.15 ,1.39 ,8.78 ,48.65 ,42.56 ,8.57 ,1.62 ,1.31 ,0.65 ,0.43 ,
Tianjin, Duliujian River ,3 ,80—100,1.80 ,nd,212.58 ,121.65 ,0.71 ,6.94 ,8.60 ,3304 ,39.77 ,1.36 ,9.55 ,48.93 ,41.53 ,10.43 ,1.66 ,1.33 ,0.58 ,0.41 ,
Tianjin, Duliujian River ,4 ,0—10,0.89 ,3.47 ,118.95 ,64.45 ,0.70 ,8.67 ,8.84 ,1162 ,26.15 ,1.53 ,11.89 ,62.39 ,25.69 ,7.91 ,1.54 ,0.80 ,0.42 ,0.30 ,
Tianjin, Duliujian River ,4 ,10—20,0.80 ,3.47 ,44.65 ,41.98 ,0.80 ,7.59 ,8.70 ,1376 ,21.30 ,1.73 ,12.70 ,59.48 ,27.82 ,6.10 ,1.35 ,0.78 ,0.59 ,0.33 ,
Tianjin, Duliujian River ,4 ,20—30,0.73 ,3.45 ,48.51 ,36.24 ,0.89 ,8.34 ,8.75 ,1719 ,23.61 ,1.73 ,12.14 ,63.94 ,23.91 ,5.90 ,1.37 ,0.78 ,0.63 ,0.39 ,
Tianjin, Duliujian River ,4 ,30—40,0.73 ,3.45 ,25.61 ,33.57 ,0.73 ,5.20 ,8.63 ,1706 ,23.06 ,1.68 ,12.95 ,61.77 ,25.28 ,6.26 ,1.14 ,0.72 ,0.72 ,0.34 ,
Tianjin, Duliujian River ,4 ,40—60,0.74 ,nd,12.94 ,44.30 ,0.74 ,5.06 ,9.02 ,1951 ,25.69 ,1.69 ,10.88 ,61.75 ,27.33 ,9.70 ,1.30 ,0.97 ,0.63 ,0.39 ,
Tianjin, Duliujian River ,4 ,60—80,0.73 ,nd,66.64 ,32.74 ,0.70 ,8.33 ,9.20 ,1886 ,28.71 ,1.60 ,13.51 ,64.82 ,21.65 ,5.20 ,1.19 ,0.84 ,0.57 ,0.33 ,
Tianjin, Duliujian River ,4 ,80—100,0.78 ,nd,37.77 ,62.06 ,0.66 ,6.19 ,9.17 ,1840 ,30.35 ,1.65 ,11.14 ,63.39 ,25.52 ,13.69 ,1.47 ,1.11 ,0.50 ,0.32 ,
Tianjin, Duliujian River ,5 ,0—10,1.13 ,4.71 ,157.72 ,90.45 ,0.62 ,10.13 ,8.39 ,2184 ,37.12 ,1.34 ,11.59 ,65.46 ,22.94 ,10.88 ,1.59 ,1.69 ,0.46 ,0.39 ,
Tianjin, Duliujian River ,5 ,10—20,0.87 ,3.72 ,131.22 ,74.99 ,0.63 ,9.22 ,8.59 ,2007 ,32.52 ,1.52 ,7.37 ,60.69 ,31.99 ,10.50 ,1.29 ,1.27 ,0.51 ,0.35 ,
Tianjin, Duliujian River ,5 ,20—30,0.66 ,2.32 ,79.04 ,52.06 ,0.62 ,9.08 ,8.63 ,1773 ,28.29 ,1.49 ,8.45 ,47.49 ,44.06 ,7.72 ,1.17 ,0.97 ,0.59 ,0.35 ,
Tianjin, Duliujian River ,5 ,30—40,0.73 ,2.44 ,35.62 ,46.71 ,0.63 ,7.41 ,8.56 ,1956 ,26.57 ,1.62 ,7.28 ,50.15 ,42.56 ,8.45 ,1.11 ,1.02 ,0.55 ,0.22 ,
Tianjin, Duliujian River ,5 ,40—60,0.65 ,2.24 ,57.42 ,37.57 ,0.66 ,8.69 ,8.98 ,2049 ,26.14 ,1.62 ,8.33 ,49.45 ,42.23 ,6.77 ,1.10 ,0.78 ,0.55 ,0.24 ,
Tianjin, Duliujian River ,5 ,60—80,0.70 ,2.48 ,63.90 ,39.63 ,0.61 ,8.59 ,8.94 ,2394 ,26.48 ,1.61 ,8.67 ,50.01 ,41.31 ,11.75 ,1.31 ,0.95 ,0.44 ,0.31 ,
Tianjin, Duliujian River ,5 ,80—100,0.60 ,2.55 ,45.99 ,44.45 ,0.63 ,8.65 ,9.02 ,2536 ,25.65 ,1.64 ,8.73 ,49.07 ,42.21 ,7.77 ,1.19 ,0.59 ,0.50 ,0.33 ,
Tianjin, Duliujian River ,6 ,0—10,0.67 ,4.05 ,52.51 ,37.83 ,0.65 ,6.35 ,8.31 ,6114 ,26.60 ,1.56 ,7.41 ,37.98 ,54.61 ,3.96 ,1.19 ,0.41 ,0.62 ,0.29 ,
Tianjin, Duliujian River ,6 ,10—20,0.45 ,2.39 ,23.62 ,28.31 ,0.61 ,8.26 ,8.78 ,4361 ,22.57 ,1.75 ,8.54 ,41.26 ,50.20 ,3.77 ,0.67 ,0.27 ,0.56 ,0.33 ,
Tianjin, Duliujian River ,6 ,20—30,0.40 ,2.56 ,24.47 ,23.17 ,0.62 ,9.54 ,8.49 ,4612 ,20.27 ,1.77 ,7.66 ,41.30 ,51.05 ,4.75 ,0.90 ,0.27 ,0.64 ,0.21 ,
Tianjin, Duliujian River ,6 ,30—40,0.57 ,3.45 ,41.88 ,27.46 ,0.63 ,6.65 ,8.51 ,4372 ,20.78 ,1.69 ,7.62 ,40.78 ,51.57 ,5.94 ,1.06 ,0.34 ,0.51 ,0.23 ,
Tianjin, Duliujian River ,6 ,40—60,0.47 ,nd,14.03 ,32.56 ,0.64 ,8.01 ,8.99 ,4026 ,20.97 ,1.69 ,6.30 ,42.01 ,51.68 ,6.75 ,1.09 ,0.36 ,0.53 ,0.28 ,
Tianjin, Duliujian River ,6 ,60—80,0.88 ,nd,68.02 ,60.39 ,0.65 ,6.99 ,8.97 ,4108 ,24.44 ,1.60 ,7.98 ,43.66 ,48.35 ,7.31 ,1.16 ,0.40 ,0.36 ,0.27 ,
Tianjin, Duliujian River ,6 ,80—100,0.65 ,nd,38.79 ,50.65 ,0.66 ,7.45 ,9.06 ,3686 ,24.68 ,1.65 ,8.00 ,41.38 ,50.62 ,7.11 ,1.09 ,0.36 ,0.43 ,0.20 ,
Tianjin, Duliujian River ,7 ,0—10,0.65 ,2.20 ,39.02 ,41.73 ,0.68 ,7.67 ,8.55 ,3975 ,22.51 ,1.57 ,10.38 ,51.61 ,38.01 ,6.79 ,1.27 ,0.58 ,0.50 ,0.30 ,
Tianjin, Duliujian River ,7 ,10—20,0.53 ,2.12 ,26.63 ,31.38 ,0.68 ,8.64 ,8.78 ,3168 ,18.53 ,1.82 ,12.30 ,55.90 ,31.77 ,5.27 ,1.23 ,0.46 ,0.57 ,0.29 ,
Tianjin, Duliujian River ,7 ,20—30,0.61 ,2.46 ,29.41 ,34.36 ,0.65 ,6.67 ,8.87 ,3087 ,21.74 ,1.79 ,11.56 ,57.89 ,30.57 ,8.32 ,1.28 ,0.55 ,0.64 ,0.34 ,
Tianjin, Duliujian River ,7 ,30—40,0.51 ,2.20 ,27.20 ,32.19 ,0.75 ,8.11 ,8.46 ,3219 ,21.47 ,1.74 ,10.71 ,51.55 ,37.75 ,6.72 ,1.27 ,0.59 ,0.52 ,0.29 ,
Tianjin, Duliujian River ,7 ,40—60,0.57 ,nd,31.84 ,23.36 ,0.65 ,7.99 ,9.23 ,3755 ,23.01 ,1.66 ,9.08 ,52.34 ,38.55 ,5.64 ,1.03 ,0.30 ,0.55 ,0.25 ,
Tianjin, Duliujian River ,7 ,60—80,0.58 ,nd,38.77 ,33.06 ,0.62 ,8.35 ,9.08 ,3697 ,24.05 ,1.65 ,6.85 ,44.16 ,49.00 ,6.57 ,0.96 ,0.26 ,0.50 ,0.27 ,
Tianjin, Duliujian River ,7 ,80—100,0.54 ,nd,48.06 ,37.35 ,0.65 ,9.81 ,9.23 ,3846 ,25.71 ,1.63 ,8.07 ,45.52 ,46.41 ,3.37 ,1.11 ,0.39 ,0.52 ,0.24 ,
Tianjin, Duliujian River ,8 ,0—10,0.87 ,3.93,146.57 ,58.06 ,0.76 ,9.20 ,8.30 ,2201 ,24.38 ,1.40 ,8.41 ,67.09 ,24.49 ,6.93 ,1.37 ,0.81 ,0.48 ,0.29 ,
Tianjin, Duliujian River ,8 ,10—20,0.66 ,2.56 ,23.45 ,24.73 ,0.71 ,6.96 ,8.87 ,2330 ,23.65 ,1.55 ,8.66 ,60.73 ,30.60 ,4.22 ,1.14 ,0.46 ,0.62 ,0.26 ,
Tianjin, Duliujian River ,8 ,20—30,0.55 ,2.50 ,19.96 ,21.03 ,0.73 ,8.76 ,8.76 ,2929 ,20.86 ,1.72 ,8.69 ,58.96 ,32.37 ,3.60 ,1.05 ,0.45 ,0.52 ,0.24 ,
Tianjin, Duliujian River ,8 ,30—40,0.59 ,2.00 ,23.13 ,27.69 ,0.81 ,7.52 ,8.74 ,3078 ,21.90 ,1.74 ,9.35 ,58.17 ,32.48 ,3.88 ,1.03 ,0.36 ,0.56 ,0.25 ,
Tianjin, Duliujian River ,8 ,40—60,0.51 ,2.18 ,27.87 ,24.71 ,0.83 ,8.55 ,9.29 ,3150 ,24.25 ,1.67 ,11.04 ,56.67 ,32.29 ,3.58 ,1.09 ,0.38 ,0.53 ,0.28 ,
Tianjin, Duliujian River ,8 ,60—80,0.48 ,1.44 ,12.35 ,14.72 ,0.69 ,7.66 ,9.31 ,3058 ,25.39 ,1.69 ,9.97 ,56.53 ,33.48 ,3.52 ,1.12 ,0.50 ,0.50 ,0.24 ,
Tianjin, Duliujian River ,8 ,80—100,0.51 ,2.22 ,16.93 ,15.91 ,0.70 ,7.66 ,9.38 ,3088 ,28.07 ,1.68 ,11.50 ,58.86 ,29.63 ,2.70 ,1.18 ,0.47 ,0.47 ,0.18 ,
Tianjin, Duliujian River ,9 ,0—10,0.63 ,2.46 ,72.82 ,48.83 ,0.72 ,8.33 ,8.76 ,2999 ,22.46 ,1.61 ,10.57 ,51.97 ,37.48 ,5.53 ,1.24 ,0.64 ,0.52 ,0.27 ,
Tianjin, Duliujian River ,9 ,10—20,0.64 ,2.20 ,27.24 ,29.58 ,0.70 ,7.53 ,8.71 ,3047 ,19.67 ,1.78 ,14.52 ,51.60 ,33.88 ,6.77 ,1.29 ,0.61 ,0.50 ,0.31 ,
Tianjin, Duliujian River ,9 ,20—30,0.52 ,2.00 ,25.16 ,31.13 ,0.71 ,9.89 ,8.71 ,3138 ,21.48 ,1.72 ,10.25 ,53.69 ,36.06 ,5.86 ,1.20 ,0.58 ,0.49 ,0.30 ,
Tianjin, Duliujian River ,9 ,30—40,0.58 ,3.45 ,28.88 ,36.35 ,0.70 ,8.44 ,8.75 ,3117 ,22.36 ,1.76 ,10.48 ,52.79 ,36.69 ,5.97 ,1.17 ,0.51 ,0.49 ,0.28 ,
