Province,Wetland,Site,Soil depth,"SOC content 
(g kg-1)",SOC density (Mg ha-1),Reference,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,20—30,3.28 ,5.41 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,30—40,4.13 ,6.64 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,40—60,4.49 ,14.92 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,60—80,3.59 ,12.17 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,80—100,4.25 ,14.20 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,0—10,4.27 ,6.59 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,10—20,4.07 ,7.14 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,20—30,3.79 ,6.64 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,30—40,3.79 ,6.46 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,40—60,5.04 ,16.55 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,60—80,5.00 ,16.43 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,80—100,4.91 ,16.17 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,0—10,1.59 ,2.80 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,10—20,1.91 ,3.13 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,20—30,5.70 ,9.60 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,30—40,6.41 ,8.57 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,40—60,5.85 ,18.85 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,60—80,5.09 ,16.69 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,80—100,5.25 ,17.15 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,0—10,11.01 ,14.51 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,10—20,15.21 ,18.75 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,20—30,17.12 ,20.50 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,30—40,13.67 ,17.26 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,40—60,10.93 ,28.84 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,60—80,8.48 ,23.32 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,80—100,7.03 ,19.81 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,0—10,15.85 ,19.34 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,10—20,14.45 ,18.02 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,20—30,11.46 ,14.99 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,30—40,11.66 ,15.20 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,40—60,8.46 ,23.27 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,60—80,7.46 ,20.88 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,80—100,7.70 ,21.47 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,0—10,15.53 ,19.05 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,10—20,10.03 ,13.43 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,20—30,6.02 ,8.63 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,30—40,6.57 ,9.33 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,40—60,8.17 ,22.60 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,60—80,8.25 ,22.78 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,80—100,7.01 ,19.78 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,0—10,2.79 ,4.72 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,10—20,2.60 ,4.27 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,20—30,2.83 ,4.83 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,30—40,2.69 ,4.23 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,40—60,2.40 ,7.86 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,60—80,2.38 ,7.81 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,80—100,2.29 ,7.56 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,0—10,7.33 ,11.11 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,10—20,3.54 ,5.79 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,20—30,4.40 ,6.77 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,30—40,2.46 ,3.95 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,40—60,3.11 ,9.65 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,60—80,2.37 ,7.79 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,80—100,1.60 ,5.55 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,0—10,5.07 ,8.13 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,10—20,2.79 ,4.93 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,20—30,3.51 ,5.48 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,30—40,2.57 ,4.07 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,40—60,1.97 ,6.65 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,60—80,2.26 ,7.48 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,80—100,2.15 ,7.17 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,0—10,8.83 ,9.53 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,10—20,4.24 ,6.12 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,20—30,4.55 ,6.82 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,30—40,2.04 ,3.19 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,40—60,2.58 ,8.33 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,60—80,2.81 ,8.92 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,80—100,1.89 ,6.44 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,0—10,8.66 ,8.18 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,10—20,5.38 ,6.11 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,20—30,4.84 ,6.61 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,30—40,4.22 ,5.34 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,40—60,3.21 ,9.90 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,60—80,2.55 ,8.27 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,80—100,2.17 ,7.24 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,0—10,2.99 ,4.97 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,10—20,2.03 ,3.35 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,20—30,1.86 ,2.85 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,30—40,2.10 ,3.26 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,40—60,2.09 ,7.00 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,60—80,1.31 ,4.67 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,80—100,0.63 ,2.35 ,This study,,,,,,,,,,,,
Jiangsu,Linhong River Estuary,1 ,0—100,nd,93.70 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Sheyang River Estuary,2 ,0—100,nd,103.60 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Doulong Harbor,3 ,0—100,nd,63.30 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Dafeng,4 ,0—100,nd,61.30 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Qidong,5 ,0—100,nd,19.50 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Wanggang Wetland,6 ,0—100,3.20 ,40.80 ,"Gao et al., 2016",,,,,,,,,,,,
Jiangsu,Wanggang Wetland,7 ,0—100,3.40 ,42.90 ,"Gao et al., 2016",,,,,,,,,,,,
Jiangsu,Wanggang Wetland,8 ,0—100,2.90 ,31.30 ,"Gao et al., 2016",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,9 ,0—100,0.90 ,14.35 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,10 ,0—100,2.40 ,31.84 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,11 ,0—100,2.70 ,36.92 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,12 ,0—100,3.80 ,49.19 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,13 ,0—100,3.40 ,44.03 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,14 ,0—100,2.70 ,37.67 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,15 ,0—100,1.60 ,23.59 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,16 ,0—100,3.10 ,41.92 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,17 ,0—100,2.30 ,32.82 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,18 ,0—100,4.40 ,56.30 ,"Zang, 2019",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,19 ,0—100,4.30 ,56.10 ,"Zang, 2019",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,20 ,0—100,5.20 ,65.30 ,"Zang, 2019",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,21 ,0—100,5.90 ,71.90 ,"Yang, 2019",,,,,,,,,,,,
Jiangsu,Dafeng Wetland,22 ,0—100,2.00 ,29.10 ,"Yang, 2016",,,,,,,,,,,,
Shanghai,Chongming Island,1 ,0—10,20.08 ,13.65 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,1 ,10—20,26.67 ,21.69 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,1 ,20—30,19.66 ,16.05 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,1 ,30—40,18.74 ,17.87 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,1 ,40—60,nd,27.89 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,1 ,60—80,nd,27.41 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,1 ,80—100,nd,26.90 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,2 ,0—10,22.90 ,12.52 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,2 ,10—20,22.07 ,15.82 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,2 ,20—30,16.70 ,18.04 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,2 ,30—40,16.49 ,16.88 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,2 ,40—60,nd,25.76 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,2 ,60—80,nd,25.29 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,2 ,80—100,nd,24.69 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,3 ,0—10,20.61 ,12.92 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,3 ,10—20,27.65 ,19.35 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,3 ,20—30,18.32 ,16.24 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,3 ,30—40,19.01 ,14.77 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,3 ,40—60,nd,25.76 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,3 ,60—80,nd,25.30 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,3 ,80—100,nd,24.70 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,4 ,0—10,24.77 ,12.14 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,4 ,10—20,22.39 ,18.96 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,4 ,20—30,17.18 ,21.47 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,4 ,30—40,16.43 ,16.10 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,4 ,40—60,nd,27.67 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,4 ,60—80,nd,27.20 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,4 ,80—100,nd,26.68 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,5 ,0—10,20.51 ,12.85 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,5 ,10—20,28.49 ,17.47 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,5 ,20—30,18.10 ,15.99 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,5 ,30—40,20.30 ,14.01 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,5 ,40—60,nd,24.71 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,5 ,60—80,nd,24.26 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,5 ,80—100,nd,23.61 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,6 ,0—10,24.78 ,11.15 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,6 ,10—20,17.91 ,13.79 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,6 ,20—30,22.76 ,22.30 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,6 ,30—40,17.57 ,15.17 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,6 ,40—60,nd,25.45 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,6 ,60—80,nd,25.00 ,This study,,,,,,,,,,,,
Shanghai,Chongming Island,6 ,80—100,nd,24.38 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,1 ,0—10,19.75 ,21.40 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,1 ,10—20,19.80 ,22.64 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,1 ,20—30,19.33 ,22.42 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,1 ,30—40,19.70 ,25.34 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,1 ,40—60,nd,35.87 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,1 ,60—80,nd,35.35 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,1 ,80—100,nd,35.16 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Isand,2 ,0—10,19.47 ,17.52 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Isand,2 ,10—20,19.02 ,21.49 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Isand,2 ,20—30,18.94 ,21.53 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Isand,2 ,30—40,18.86 ,24.02 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Isand,2 ,40—60,nd,33.30 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Isand,2 ,60—80,nd,32.80 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Isand,2 ,80—100,nd,32.51 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,3 ,0—10,20.45 ,20.17 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,3 ,10—20,20.12 ,23.68 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,3 ,20—30,19.55 ,23.14 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,3 ,30—40,19.46 ,24.65 ,This study,,,,,,,,,,,,
