CORE ID,SAMPLE ID,DEPTH MIN,DEPTH MAX,DEPTH MIDDLE,SAMPLE VOLUME,SAMPLE DRY WEIGHT,DRY BULK DENSITY,PERCENTAGE ORGANIC MATTER,PERCENTAGE CARBONATES,PERCENTAGE TOTAL NITROGEN,DELTA 15-NITROGEN (TOTAL),PERCENTAGE TOTAL CARBON,DELTA 13-CARBON (TOTAL),PERCENTAGE ORGANIC NITROGEN,DELTA 15-NITROGEN (ACIDIFIED),PERCENTAGE ORGANIC CARBON,DELTA 13-CARBON (ACIDIFIED)
ZN,ZN_23_B,33.6,36.6,35.1,3.4,2.88,0.84,1.33,9.999,0.06,3.26,2.25,-4.06,0.053,15.03,0.62,-17.75
ZN,ZN_25_B,36.6,39.7,38.1,3.1,2.437,0.8,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_27_B,39.7,42.7,41.2,3.1,2.68,0.88,1.73,8.032,0.07,3.39,2.25,-6.7,0.052,21.49,0.56,-17.39
ZN,ZN_29_B,42.7,45.8,44.2,3.1,1.122,0.37,2.34,11.498,0.03,5.29,2.68,-7.04,0.064,13.69,0.67,-16.59
ZN,ZN_31_B,45.8,48.8,47.3,3.1,2.247,0.74,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_33_B,48.8,51.9,50.3,3.8,2.764,0.72,3.55,13.534,0.1,4.47,2.96,-6.38,0.131,8.86,1.23,-16.35
ZN,ZN_35_B,51.9,54.9,53.4,2.7,1.877,0.7,2.69,11.905,0.03,3.47,2.58,-4.65,0.06,9.9,0.59,-16.11
ZN,ZN_37_B,54.9,58,56.4,2.3,1.832,0.8,2.48,10.928,0.06,4.23,2.59,-4.23,0.054,12.2,0.58,-15.02
ZN,ZN_39_B,58,61,59.5,2.7,2.745,1.03,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_41_B,61,64.1,62.5,NA,NA,NA,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_43_B,64.1,67.1,65.6,2.7,2.123,0.8,1.67,8.155,0.05,2.35,1.86,-5,0.037,13.54,0.42,-16.29
ZN,ZN_45_B,67.1,70.2,68.6,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_47_B,70.2,73.2,71.7,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_49_B,73.2,76.3,74.7,NA,NA,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_51_B,76.3,79.3,77.8,3.4,3.073,0.9,1.26,11.968,0.03,5.53,3.22,-4.17,0.037,11.02,0.38,-16.91
ZN,ZN_53_B,79.3,82.4,80.8,2.7,3.225,1.21,0.79,6.687,0.01,4.83,1.5,-10.98,0.014,24.91,0.13,-19.82
ZN,ZN_55_B,82.4,85.4,83.9,3.1,3.381,1.11,0.95,4.918,0.01,4.34,0.93,-10.51,0.016,22.06,0.15,-18.13
ZN,ZN_57_B,85.4,88.5,86.9,3.1,2.724,0.89,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_59_B,88.5,91.5,90,7.6,7.676,1.01,0.59,1.945,0.01,6.48,0.27,-11.55,0.006,16.93,0.04,-24.08
ZN,ZN_61_B,91.5,94.6,93,5,4.73,0.95,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_63_B,94.6,97.6,96.1,6.5,6.688,1.03,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_65_B,97.6,100.7,99.1,4.6,4.086,0.89,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_67_B,100.7,103.7,102.2,4.6,4.435,0.97,0.55,1.512,0,4.58,0.2,-11.69,0.005,18.27,0.03,-23.93
ZN,ZN_69_B,103.7,106.8,105.2,5,4.063,0.82,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_71_B,106.8,109.8,108.3,5,4.796,0.97,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_73_B,109.8,112.9,111.3,7.2,7.127,0.98,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_75_B,112.9,115.9,114.4,6.1,6.246,1.02,0.47,1.058,0,2.45,0.06,-14.39,0.005,12.01,0.1,-17.36
ZN,ZN_77_B,115.9,119,117.4,6.1,5.901,0.97,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_79_B,119,122,120.5,6.9,5.471,0.8,1.03,4.02,0,7.25,0.61,-10.67,0.008,14.19,0.11,-19.88
CP,CP_01_B,0,3.6,1.8,3.1,0.356,0.11,5.75,22.15,0.18,6.23,5.39,-7.85,0.279,6.52,2.1555,-16.98
CP,CP_03_B,3.6,7.2,5.4,3.1,0.846,0.27,6.59,23.33,0.32,5.33,5.24,-8.25,0.308,6.61,2.4294,-16.23
CP,CP_05_B,7.2,10.7,8.9,6.3,2.45,0.39,5.03,21.415,0.15,5.19,5.33,-8.13,0.269,6.87,2.2147,-16.32
CP,CP_07_B,10.7,14.3,12.5,5.4,1.979,0.37,5.78,23.605,0.32,4.59,6,-7.22,0.303,6.29,2.671,-16.28
CP,CP_09_B,14.3,17.9,16.1,3.6,1.195,0.33,6.28,25.063,0.16,3.85,6.3,-7.71,0.327,5.49,2.9517,-15.82
CP,CP_11_B,17.9,21.5,19.7,5.4,1.655,0.31,5.91,26.976,0.31,4.27,6.75,-5.91,0.288,5.93,2.5236,-16.16
CP,CP_13_B,21.5,25,23.2,5.4,0.599,0.11,6.57,25.96,0.39,4.84,8.16,-12.86,0.392,5.8,5.66,-18.93
CP,CP_15_B,25,28.6,26.8,3.6,1.324,0.37,6.42,21.216,0.34,3.21,4.93,-10.36,0.327,5.24,2.6941,-15.5
CP,CP_17_B,28.6,32.2,30.4,6.3,1.951,0.31,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_19_B,32.2,35.8,34,6.3,2.122,0.34,9.71,22.577,0.35,3.86,4.98,-10.31,0.34,6.35,2.7827,-15.91
CP,CP_21_B,35.8,39.3,37.5,5.8,0.549,0.09,8.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_23_B,39.3,42.9,41.1,4.5,1.302,0.29,9.16,21.674,0.32,3.86,4.7,-9.99,0.302,6.39,2.5954,-15.77
CP,CP_25_B,42.9,46.5,44.7,4.5,1.73,0.39,7.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_27_B,46.5,50.1,48.3,4.5,2.188,0.49,7.15,18.075,0.19,3.76,3.86,-8.91,0.178,7.42,1.4028,-18.62
CP,CP_29_B,50.1,53.6,51.8,5.4,2.046,0.38,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_31_B,53.6,57.2,55.4,5.4,0.378,0.07,7.5,20.136,0.2,3.74,3.7,-9.27,0.189,6.92,1.5677,-17.77
CP,CP_33_B,57.2,60.8,59,5.8,0.735,0.13,9.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_35_B,60.8,64.4,62.6,4.9,0.431,0.09,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_37_B,64.4,67.9,66.2,6.7,0.817,0.12,5.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_39_B,67.9,71.5,69.7,4.9,2.612,0.53,5.25,21.176,0.14,4.42,4.57,-6.35,0.124,8.95,1.1817,-18.13
CP,CP_41_B,71.5,75.1,73.3,5.8,3.209,0.55,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_43_B,75.1,78.7,76.9,6.3,3.077,0.49,5.22,19.423,0.15,3.86,4.12,-6.69,0.145,7.64,1.2148,-17.71
CP,CP_45_B,78.7,82.2,80.5,4.9,2.489,0.51,6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_47_B,82.2,85.8,84,6.3,3.819,0.61,4.27,19.048,0.1,3.23,4.74,-3.85,0.087,11.34,0.7819,-17.15
CP,CP_49_B,85.8,89.4,87.6,5.4,2.653,0.49,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_51_B,89.4,93,91.2,6.3,2.886,0.46,6.18,19.141,0.12,3.85,3.98,-6,0.101,8.24,0.8937,-18.71
CP,CP_53_B,93,96.5,94.8,5.4,3.055,0.57,5.1,22.021,0.09,3.69,5.18,-2.99,0.088,8.33,0.833,-17.6
CP,CP_55_B,96.5,100.1,98.3,4.5,2.68,0.6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_57_B,100.1,103.7,101.9,5.4,4.457,0.83,3.23,18.743,0.07,3.61,4.14,-2.5,0.064,10.82,0.5946,-16.7
CP,CP_59_B,103.7,107.3,105.5,3.1,1.684,0.54,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_61_B,107.3,110.8,109.1,3.1,0.062,0.02,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_63_B,110.8,114.4,112.6,NA,NA,NA,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_65_B,114.4,118,116.2,NA,NA,NA,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP,CP_67_B,118,121.6,119.8,5.4,4.959,0.92,2.82,24.44,0.06,4.01,6.03,-1.17,0.074,13.65,0.4288,-18.29
SM,SM_01_B,0,2.9,1.5,2.9,1.577,0.54,6.32,12.796,0.28,5.31,3.17,-16.32,0.256,8.39,2.63,-17.19
SM,SM_03_B,2.9,5.8,4.4,3.6,1.624,0.45,7.2,13.688,0.28,4.94,3.44,-15.95,0.283,6.51,3.3,-16.59
SM,SM_05_B,5.8,8.7,7.3,4,2.39,0.6,7.41,13.904,0.26,4.73,3.28,-16.17,0.278,6.35,3.18,-16.65
SM,SM_07_B,8.7,11.6,10.2,4.4,2.539,0.58,5.98,10.619,0.22,4.5,3.2,-16.09,0.197,6.83,2.64,-16.65
SM,SM_09_B,11.6,14.5,13.1,5.1,1.402,0.28,12.97,18.319,0.31,4.39,6.31,-15.64,0.294,5.48,5.64,-15.81
SM,SM_11_B,14.5,17.5,16,3.6,1.261,0.35,11.31,18.577,0.36,5.64,5.5,-15.99,0.338,6.38,4.99,-15.84
SM,SM_13_B,17.5,20.4,18.9,4.4,1.775,0.41,8.13,15.676,0.3,5.48,3.58,-16.38,0.306,6.81,3.49,-16.58
SM,SM_15_B,20.4,23.3,21.8,4.4,2.261,0.52,4.05,8.559,0.14,5.07,1.97,-15.64,0.134,8.3,1.72,-16.67
SM,SM_17_B,23.3,26.2,24.7,3.6,2.066,0.57,5.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,SM_19_B,26.2,29.1,27.6,5.1,2.94,0.58,4.34,12.71,0.15,4.98,1.94,-15.55,0.147,9.02,1.78,-17.61
SM,SM_21_B,29.1,32,30.5,5.1,2.847,0.56,6.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,SM_23_B,32,34.9,33.5,5.8,2.869,0.49,4.44,15.233,0.16,4.15,2.65,-13.32,0.156,9.32,1.91,-16.94
SM,SM_25_B,34.9,37.8,36.4,3.6,2.553,0.7,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,SM_27_B,37.8,40.7,39.3,4.4,3.881,0.89,3.71,12.258,0.07,4.39,2.1,-7.82,0.072,13.84,0.72,-18.25
SM,SM_29_B,40.7,43.6,42.2,4,4.101,1.03,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,SM_31_B,43.6,46.5,45.1,4.4,4.606,1.06,1.52,11.256,0.04,3.37,2.25,-4.1,0.042,32.34,0.34,-19.28
SM,SM_33_B,46.5,49.5,48,2.9,4.051,1.39,0.73,6.225,0.01,4.7,1.44,-3.62,0.019,38.6,0.12,-21.43
SM,SM_35_B,49.5,52.4,50.9,2.9,4.024,1.38,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,SM_37_B,52.4,55.3,53.8,4.4,5.671,1.3,0.17,4.319,0.01,2.37,1.16,-3.64,0.015,50.03,0.08,-22.33
SM,SM_39_B,55.3,58.2,56.7,2.9,3.027,1.04,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,SM_41_B,58.2,61.1,59.6,4.4,4.428,1.01,0.29,4.427,0,3.31,1.17,-2.8,0.017,46.04,0.08,-22.31
SM,SM_43_B,61.1,64,62.5,2.9,2.941,1.01,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,SM_45_B,64,66.9,65.5,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,SM_47_B,66.9,69.8,68.4,2.2,2.164,0.99,0.42,9.311,0.01,4.04,2.25,-4.2,0.015,41.93,0.07,-23.77
SM,SM_49_B,69.8,72.7,71.3,2.2,2.749,1.26,0.97,13.424,0.01,4.38,2.9,-5.47,0.02,14.43,0.12,-21.18
SM,SM_51_B,72.7,75.6,74.2,2.2,3.389,1.55,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM,SM_53_B,75.6,78.5,77.1,2.9,4.337,1.49,1.99,6.006,0.02,7.8,0.1,-17.49,0.034,41.02,0.17,-21.15
CN,CN_01_B,0,3,1.5,5.2,1.593,0.31,9.03,20.924,0.21,4.23,5.16,-10.84,0.412,6.02,3.23,-15.29
CN,CN_03_B,3,5.9,4.5,1.5,0.684,0.46,11.16,24.411,0.44,5.32,5.41,-11.27,0.435,6.54,3.46,-15.35
CN,CN_05_B,5.9,8.9,7.4,2.2,0.893,0.4,7.82,23.42,0.14,4.83,5.76,-7.1,0.276,6.68,2.25,-14.48
CN,CN_07_B,8.9,11.9,10.4,4.1,1.679,0.41,9.7,21.573,0.33,4.43,4.99,-9.44,0.31,5.26,2.56,-13.62
CN,CN_09_B,11.9,14.9,13.4,5.2,2.208,0.42,9.87,23.551,0.19,3.4,6.01,-9.43,0.356,4.65,3.11,-13.44
CN,CN_11_B,14.9,17.8,16.4,5.2,2.307,0.44,8.66,23.454,0.32,3.88,5.77,-7.5,0.299,6.79,2.48,-12.58
CN,CN_13_B,17.8,20.8,19.3,4.8,2.066,0.43,10.5,22.287,0.15,3.27,4.62,-10.39,0.315,4.95,2.56,-12.63
CN,CN_15_B,20.8,23.8,22.3,4.5,1.725,0.39,10.14,22.526,0.32,4.55,5.08,-9.7,0.323,5.6,2.7,-12.65
CN,CN_17_B,23.8,26.8,25.3,4.8,2.014,0.42,9.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_19_B,26.8,29.7,28.3,4.8,1.886,0.39,9.47,22.183,0.26,4.18,4.7,-8.26,0.253,6.72,2.06,-11.75
CN,CN_21_B,29.7,32.7,31.2,5.2,2.338,0.45,9.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_23_B,32.7,35.7,34.2,4.1,2.119,0.52,8.4,20.561,0.21,3.82,4.11,-8.1,0.194,6.68,1.62,-16.7
CN,CN_25_B,35.7,38.7,37.2,4.8,2.436,0.5,8.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_27_B,38.7,41.6,40.2,3.7,1.595,0.43,10.15,21.513,0.17,3.09,4.27,-11.3,0.343,4.53,3.02,-15.58
CN,CN_29_B,41.6,44.6,43.1,5.2,2.857,0.55,6.97,19.267,0.16,4.26,4.21,-6.8,0.137,7.11,1.33,-16.33
CN,CN_31_B,44.6,47.6,46.1,4.5,3.03,0.68,4.5,22.418,0.05,5.09,5.32,-3.93,0.087,8.07,0.86,-15.91
CN,CN_33_B,47.6,50.6,49.1,3.7,2.857,0.77,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_35_B,50.6,53.5,52.1,5.6,3.922,0.7,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_37_B,53.5,56.5,55,5.6,3.7,0.66,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_39_B,56.5,59.5,58,5.2,3.537,0.68,4.87,20.269,0.13,3.59,4.86,-4.52,0.089,8.82,0.88,-15.8
CN,CN_41_B,59.5,62.5,61,3,2.231,0.75,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_43_B,62.5,65.4,63.9,4.1,3.189,0.78,3.69,21.821,0.03,3.3,5.79,-2.27,0.064,10.11,0.62,-17.34
CN,CN_45_B,65.4,68.4,66.9,4.1,2.948,0.72,3.97,19.147,0.09,3.84,4.71,-3.3,0.067,8.45,0.63,-16.99
CN,CN_47_B,68.4,71.4,69.9,3.7,3.48,0.94,3.49,20.452,0.06,2.51,5.29,-2.05,0.051,9.59,0.47,-17.55
CN,CN_49_B,71.4,74.4,72.9,NA,NA,NA,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_51_B,74.4,77.3,75.8,NA,NA,NA,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_53_B,77.3,80.3,78.8,NA,NA,NA,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_55_B,80.3,83.3,81.8,NA,NA,NA,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_57_B,83.3,86.3,84.8,NA,NA,NA,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_59_B,86.3,89.2,87.7,NA,2.948,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_61_B,89.2,92.2,90.7,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_63_B,92.2,95.2,93.7,4.5,4.199,0.94,2.11,18.331,0.04,4.28,5.07,-0.69,0.029,12.85,0.22,-19.87
CN,CN_65_B,95.2,98.2,96.7,2.2,2.813,1.26,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_67_B,98.2,101.1,99.6,5.6,4.82,0.86,2.08,14.15,0.02,5.89,3.4,-0.73,0.027,29.88,0.2,-20.19
CN,CN_69_B,101.1,104.1,102.6,5.9,5.995,1.01,1.16,5.527,0.02,5.37,1.19,-1.95,0.025,29.16,0.18,-19.57
CN,CN_71_B,104.1,107.1,105.6,5.2,4.72,0.91,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_73_B,107.1,110.1,108.6,5.9,6.054,1.02,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_75_B,110.1,113,111.5,4.5,4.271,0.96,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,CN_77_B,113,116,114.5,4.5,4.897,1.1,1.21,3.318,0.01,5.59,0.08,-14.38,0.005,0.43,0.11,-19.06
