study_id,core_id,sample_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,c14_age,c14_age_sd,c14_material,c14_notes,age,age_min,age_max,age_depth_model_reference
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261038,34,35,0.2592,0.895062,NA,NA,NA,NA,1236,1007,1752,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261039,36,37,0.416,0.663462,NA,NA,NA,NA,1327,1071,1872,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261040,38,39,0.2987,0.696429,NA,NA,NA,NA,1567,1244,2031,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261041,40,41,0.6848,0.49532699999999996,NA,NA,NA,NA,1939,1652,2212,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261019,40.5,41.5,NA,NA,2200,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261042,42,43,0.3657,0.25,NA,NA,NA,NA,2214,1990,2361,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261043,44,45,0.7333,0.254545,NA,NA,NA,NA,2344,2100,2564,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261044,46,47,0.66,0.222222,NA,NA,NA,NA,2445,2172,2718,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261045,48,49,0.8587,0.298137,NA,NA,NA,NA,2545,2248,2857,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261046,50,51,0.6187,0.206897,NA,NA,NA,NA,2645,2330,2979,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261047,52,53,0.341,0.12030099999999999,NA,NA,NA,NA,2743,2412,3098,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261048,54,55,0.9444,0.117647,NA,NA,NA,NA,2840,2488,3199,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261049,56,57,0.559,0.10091699999999999,NA,NA,NA,NA,2937,2576,3308,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261050,58,59,0.6578,0.10473,NA,NA,NA,NA,3037,2668,3415,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261051,60,61,0.9778,0.136364,NA,NA,NA,NA,3137,2758,3513,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261052,62,63,0.765,0.104575,NA,NA,NA,NA,3235,2850,3611,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261053,64,65,0.915,0.13442600000000002,NA,NA,NA,NA,3333,2948,3705,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261054,66,67,0.6333,0.11228099999999999,NA,NA,NA,NA,3434,3048,3798,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261055,68,69,0.42,0.07936499999999999,NA,NA,NA,NA,3534,3147,3884,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261056,70,71,0.96,0.078125,NA,NA,NA,NA,3633,3249,3973,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261057,72,73,0.1921,0.063197,NA,NA,NA,NA,3732,3351,4053,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261058,74,75,0.2084,0.062305,NA,NA,NA,NA,3831,3459,4139,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261059,76,77,0.2843,0.055046,NA,NA,NA,NA,3929,3581,4216,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261060,78,79,0.215,0.049419000000000005,NA,NA,NA,NA,4029,3705,4289,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261061,80,81,0.2055,0.044248,NA,NA,NA,NA,4127,3837,4360,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261062,82,83,0.312,0.038462,NA,NA,NA,NA,4224,3972,4432,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261020,82.5,83.5,NA,NA,3850,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Moderately_Salt_Impacted,261188,0,1,0.2727,0.4183,NA,NA,NA,NA,-47,-61,-19,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261189,1,2,0.1469,0.44872,NA,NA,NA,NA,-33,-60,23,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261190,2,3,0.3259,0.53158,NA,NA,NA,NA,-18,-53,37,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261191,3,4,0.2571,0.58621,NA,NA,NA,NA,-3,-49,64,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261192,4,5,0.2504,0.60993,NA,NA,NA,NA,11,-38,77,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261193,5,6,0.2322,0.59504,NA,NA,NA,NA,26,-32,97,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261194,6,7,0.2619,0.55797,NA,NA,NA,NA,41,-19,110,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261195,7,8,0.1782,0.5914,NA,NA,NA,NA,55,-11,127,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261196,8,9,0.1497,0.62963,NA,NA,NA,NA,70,4,137,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261182,8.5,9.5,NA,NA,NA,NA,seeds,c14 age yielded greater than modern day,NA,NA,NA,NA
Jones_et_al_2017,Moderately_Salt_Impacted,261197,9,10,0.146,0.72152,NA,NA,NA,NA,84,13,155,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261198,10,11,0.0623,0.74286,NA,NA,NA,NA,99,31,165,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261199,11,12,0.1925,0.6698999999999999,NA,NA,NA,NA,114,41,180,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261200,12,13,0.1704,0.6630400000000001,NA,NA,NA,NA,129,60,188,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261201,13,14,0.2007,0.5945900000000001,NA,NA,NA,NA,143,72,201,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261202,14,15,0.259,0.54745,NA,NA,NA,NA,158,95,207,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261203,15,16,0.169,0.58333,NA,NA,NA,NA,173,109,219,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261204,16,17,0.3262,0.24405000000000002,NA,NA,NA,NA,187,135,225,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261205,17,18,1.0073,0.24772,NA,NA,NA,NA,201,152,235,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261206,18,19,0.5105,0.25468,NA,NA,NA,NA,214,174,241,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261207,19,20,0.4279,0.25670000000000004,NA,NA,NA,NA,227,185,255,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261208,20,21,0.2257,0.2439,NA,NA,NA,NA,236,192,264,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261209,21,22,0.6642,0.25138,NA,NA,NA,NA,244,195,279,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261210,22,23,0.2583,0.24286000000000002,NA,NA,NA,NA,253,202,286,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261211,23,24,0.3478,0.22727,NA,NA,NA,NA,262,207,297,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261183,23.5,24.5,NA,NA,185,30,seeds,NA,NA,NA,NA,NA
Jones_et_al_2017,Moderately_Salt_Impacted,261212,24,25,0.387,0.24257,NA,NA,NA,NA,271,213,304,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261213,25,26,0.0899,0.42857,NA,NA,NA,NA,280,219,317,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261214,26,27,0.2368,0.40741,NA,NA,NA,NA,291,228,337,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261215,27,28,0.6337,0.2341,NA,NA,NA,NA,302,237,368,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261216,28,29,0.1791,0.25275,NA,NA,NA,NA,312,248,380,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261217,29,30,0.5037,0.19343,NA,NA,NA,NA,323,256,401,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261218,30,31,0.2925,0.2125,NA,NA,NA,NA,334,268,411,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261184,30.5,31.5,NA,NA,220,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Moderately_Salt_Impacted,261219,31,32,0.281,0.23925999999999997,NA,NA,NA,NA,344,276,426,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261220,32,33,0.435,0.22821999999999998,NA,NA,NA,NA,356,289,438,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261221,33,34,0.0772,0.21951,NA,NA,NA,NA,367,295,459,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261222,34,35,0.2486,0.22727,NA,NA,NA,NA,380,305,469,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261223,36,37,0.1487,0.36145000000000005,NA,NA,NA,NA,406,322,497,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261224,37,38,0.1786,0.24211,NA,NA,NA,NA,419,329,513,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261225,38,39,0.2044,0.22522999999999999,NA,NA,NA,NA,432,341,523,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261185,38.5,39.5,NA,NA,40,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Moderately_Salt_Impacted,261226,39,40,0.7094,0.22606,NA,NA,NA,NA,444,349,539,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261227,40,41,0.218,0.24561,NA,NA,NA,NA,457,363,548,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261228,41,42,0.6285,0.22956,NA,NA,NA,NA,470,372,562,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261229,42,43,0.0932,0.28846,NA,NA,NA,NA,482,385,570,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261230,43,44,0.125,0.20548,NA,NA,NA,NA,495,395,584,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261231,44,45,0.3915,0.29577000000000003,NA,NA,NA,NA,507,409,591,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261232,45,46,0.1388,0.28571,NA,NA,NA,NA,519,420,603,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261233,46,47,0.549,0.22727,NA,NA,NA,NA,532,436,611,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261234,47,48,0.4229,0.25322,NA,NA,NA,NA,545,447,623,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261235,48,49,0.3352,0.22951,NA,NA,NA,NA,558,464,630,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261236,49,50,0.4469,0.22541,NA,NA,NA,NA,570,476,641,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261237,50,51,0.4004,0.22172,NA,NA,NA,NA,583,492,648,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261186,50.5,51.5,NA,NA,520,30,seeds,NA,NA,NA,NA,NA
Jones_et_al_2017,Moderately_Salt_Impacted,261238,52,53,0.2522,0.21831,NA,NA,NA,NA,610,526,668,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261239,53,54,0.5431,0.21905000000000002,NA,NA,NA,NA,625,537,689,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261240,54,55,0.2176,0.2437,NA,NA,NA,NA,645,553,719,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261241,55,56,0.5698,0.21895,NA,NA,NA,NA,665,561,763,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261242,56,57,0.6325,0.21675999999999998,NA,NA,NA,NA,686,579,787,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261243,57,58,0.1615,0.20238,NA,NA,NA,NA,705,591,821,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261244,58,59,0.4097,0.21586,NA,NA,NA,NA,726,610,842,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261245,59,60,0.4334,0.21645,NA,NA,NA,NA,746,624,872,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261246,60,61,0.9141,0.22338000000000002,NA,NA,NA,NA,766,646,892,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261247,61,62,0.3532,0.23913,NA,NA,NA,NA,787,660,921,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261248,62,63,0.8061,0.3066,NA,NA,NA,NA,807,683,937,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261249,63,64,0.5078,0.27692,NA,NA,NA,NA,827,698,961,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261250,64,65,0.4346,0.29719,NA,NA,NA,NA,847,720,980,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261251,65,66,0.2779,0.31293,NA,NA,NA,NA,867,735,1004,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261252,66,67,0.1738,0.34021,NA,NA,NA,NA,887,761,1018,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261253,67,68,0.3053,0.40385,NA,NA,NA,NA,908,776,1041,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261254,68,69,0.3346,0.44767,NA,NA,NA,NA,928,799,1056,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261255,69,70,0.1847,0.57692,NA,NA,NA,NA,949,816,1078,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261256,70,71,0.3385,0.44317999999999996,NA,NA,NA,NA,969,844,1091,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261257,71,72,0.4215,0.41981,NA,NA,NA,NA,989,862,1115,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261258,72,73,0.3636,0.5153099999999999,NA,NA,NA,NA,1009,892,1128,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261259,73,74,0.088,0.5502600000000001,NA,NA,NA,NA,1029,913,1148,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261187,73.5,74.5,NA,NA,1180,30,seeds,NA,NA,NA,NA,NA
Jones_et_al_2017,Moderately_Salt_Impacted,261260,74,75,0.0652,0.54225,NA,NA,NA,NA,1050,946,1161,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261261,75,76,0.0582,0.50407,NA,NA,NA,NA,1070,969,1180,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261262,76,77,0.0786,0.41357999999999995,NA,NA,NA,NA,1086,987,1197,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261263,77,78,0.1252,0.4794,NA,NA,NA,NA,1102,998,1220,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261264,78,79,0.1034,0.38136000000000003,NA,NA,NA,NA,1118,1010,1238,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261265,79,80,0.1548,0.40729,NA,NA,NA,NA,1132,1018,1262,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261266,80,81,0.2373,0.38889,NA,NA,NA,NA,1148,1031,1279,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261267,81,82,0.3028,0.42162,NA,NA,NA,NA,1163,1041,1301,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261268,82,83,0.2379,0.39854999999999996,NA,NA,NA,NA,1179,1052,1319,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261269,83,84,0.1642,0.42697,NA,NA,NA,NA,1194,1061,1343,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261270,84,85,0.15,0.39744,NA,NA,NA,NA,1209,1072,1360,YBP
Jones_et_al_2017,Moderately_Salt_Impacted,261271,85,86,0.1937,0.34694,NA,NA,NA,NA,1223,1081,1383,YBP
Jones_et_al_2017,Oligohaline_Marsh,260779,2,3,1.34,0.31343,NA,NA,NA,NA,-16,-52,39,YBP
Jones_et_al_2017,Oligohaline_Marsh,260780,3,4,0.34,0.30693000000000004,NA,NA,NA,NA,-1,-47,68,YBP
Jones_et_al_2017,Oligohaline_Marsh,260781,7,8,1.5,0.29333,NA,NA,NA,NA,58,-10,131,YBP
Jones_et_al_2017,Oligohaline_Marsh,260782,9,10,0.59,0.30508,NA,NA,NA,NA,86,14,158,YBP
Jones_et_al_2017,Oligohaline_Marsh,260783,12,13,1.16,0.31034,NA,NA,NA,NA,131,62,190,YBP
Jones_et_al_2017,Oligohaline_Marsh,260784,15,16,1.02,0.25489999999999996,NA,NA,NA,NA,175,112,220,YBP
Jones_et_al_2017,Oligohaline_Marsh,260785,17,18,1.69,0.23621999999999999,NA,NA,NA,NA,203,157,234,YBP
Jones_et_al_2017,Oligohaline_Marsh,260786,20,21,0.95,0.24211,NA,NA,NA,NA,235,209,260,YBP
Jones_et_al_2017,Oligohaline_Marsh,260773,21.5,22.5,NA,NA,30,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Oligohaline_Marsh,260787,22,23,1.75,0.24,NA,NA,NA,NA,252,229,281,YBP
Jones_et_al_2017,Oligohaline_Marsh,260788,25,26,1.31,0.22137,NA,NA,NA,NA,301,249,378,YBP
Jones_et_al_2017,Oligohaline_Marsh,260789,27,28,1.61,0.21488,NA,NA,NA,NA,340,271,434,YBP
Jones_et_al_2017,Oligohaline_Marsh,260790,30,31,0.73,0.23288,NA,NA,NA,NA,403,326,516,YBP
Jones_et_al_2017,Oligohaline_Marsh,260774,30.5,31.5,NA,NA,220,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Oligohaline_Marsh,260791,32,33,1.14,0.29825,NA,NA,NA,NA,469,394,618,YBP
Jones_et_al_2017,Oligohaline_Marsh,260792,35,36,0.8,0.3,NA,NA,NA,NA,789,517,1076,YBP
Jones_et_al_2017,Oligohaline_Marsh,260775,36.5,37.5,NA,NA,1260,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Oligohaline_Marsh,260793,37,38,1.04,0.40385,NA,NA,NA,NA,1061,802,1235,YBP
Jones_et_al_2017,Oligohaline_Marsh,260794,40,41,0.72,0.27777999999999997,NA,NA,NA,NA,1191,970,1363,YBP
Jones_et_al_2017,Oligohaline_Marsh,260795,42,43,1.27,0.24409,NA,NA,NA,NA,1251,1040,1433,YBP
Jones_et_al_2017,Oligohaline_Marsh,260796,45,46,0.82,0.21951,NA,NA,NA,NA,1339,1127,1534,YBP
Jones_et_al_2017,Oligohaline_Marsh,260797,47,48,1.48,0.22297,NA,NA,NA,NA,1399,1193,1588,YBP
Jones_et_al_2017,Oligohaline_Marsh,260798,50,51,1.31,0.20611000000000002,NA,NA,NA,NA,1487,1287,1663,YBP
Jones_et_al_2017,Oligohaline_Marsh,260799,52,53,1.53,0.22876000000000002,NA,NA,NA,NA,1546,1352,1715,YBP
Jones_et_al_2017,Oligohaline_Marsh,260800,55,56,1.44,0.22917,NA,NA,NA,NA,1634,1445,1786,YBP
Jones_et_al_2017,Oligohaline_Marsh,260801,57,58,2.15,0.22791,NA,NA,NA,NA,1692,1520,1830,YBP
Jones_et_al_2017,Oligohaline_Marsh,260776,59.5,60.5,NA,NA,1850,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Oligohaline_Marsh,260802,60,61,1.7,0.28235,NA,NA,NA,NA,1779,1658,1884,YBP
Jones_et_al_2017,Oligohaline_Marsh,260803,62,63,1.72,0.27326,NA,NA,NA,NA,1836,1722,1930,YBP
Jones_et_al_2017,Oligohaline_Marsh,260804,65,66,1.52,0.28947,NA,NA,NA,NA,1916,1789,2051,YBP
Jones_et_al_2017,Oligohaline_Marsh,260805,67,68,2.07,0.28019,NA,NA,NA,NA,1971,1834,2117,YBP
Jones_et_al_2017,Oligohaline_Marsh,260806,70,71,1.1,0.34545000000000003,NA,NA,NA,NA,2049,1912,2192,YBP
Jones_et_al_2017,Oligohaline_Marsh,260777,71.5,72.5,NA,NA,2180,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Oligohaline_Marsh,260807,72,73,1.14,0.44737000000000005,NA,NA,NA,NA,2103,1962,2244,YBP
Jones_et_al_2017,Oligohaline_Marsh,260808,75,76,1.08,0.40741,NA,NA,NA,NA,2172,2018,2316,YBP
Jones_et_al_2017,Oligohaline_Marsh,260778,76.5,77.5,NA,NA,2030,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Oligohaline_Marsh,260809,77,78,0.78,0.5897399999999999,NA,NA,NA,NA,2207,2047,2350,YBP
