Source,Site,Subsite,Season,Core,Habitat_type,Species,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Human et al (2022),Swartkops Estuary,1,Summer,3,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,0.93590673,1.613056667,1.601151811,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,3,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,0.759484065,1.39795,1.445644835,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,3,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,0.896371204,1.430663333,1.566303397,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,3,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,0.93387836,1.477206667,1.599363913,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,3,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,0.807319643,1.29537,1.487809293,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,3,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.038532716,1.550016667,1.691611032,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,4,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0,0.05,LOI,2.981772288,1.419906667,3.404470946,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,4,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,0.851470547,1.528746667,1.526725912,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,4,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,1.026604373,1.4262,1.681096847,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,4,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,0.625950108,1.618916667,1.32794192,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,4,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,0.771950996,1.576876667,1.456633756,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,4,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,1.025623949,1.597646667,1.680232656,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,4,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,0.833859521,1.636873333,1.511202751,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,4,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,0.990162401,1.333556667,1.648975232,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,4,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.85,1,LOI,0.758168515,1.519233333,1.444485249,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,5,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0,0.05,LOI,1.730965035,1.522883333,2.301952433,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,5,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,,,,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,5,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,1.096820174,1.761203333,1.742988254,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,5,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,1.020661369,1.301153333,1.675858413,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,5,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,0.801464441,1.679716667,1.482648251,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,5,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,0.836426846,1.30021,1.513465708,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,5,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,0.603230222,1.399376667,1.307915577,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,5,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,0.929681196,1.402253333,1.595664342,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,5,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.85,1,LOI,0.987764727,1.617363333,1.646861813,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,6,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0,0.05,LOI,1.554010551,1.24101,2.145976686,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,6,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,1.509766507,1.352353333,2.10697797,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,6,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,1.38586884,1.58653,1.99776892,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,6,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,1.159268466,1.622606667,1.798033024,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,6,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,1.109436346,1.507846667,1.754108723,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,6,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,1.016145519,1.5465,1.671877937,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,6,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,0.984506263,1.535363333,1.643989655,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,6,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,1.068868652,1.66075,1.718350509,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,6,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.082804945,1.55437,1.730634592,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,1,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0,0.05,LOI,11.62181611,1.096786667,11.0201993,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,1,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,16.68249924,0.946866667,15.48091603,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,1,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,11.7066057,0.96945,11.09493671,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,1,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,10.98820106,0.759533333,10.46170213,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,1,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,4.923655117,0.861486667,5.116134964,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,1,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,10.39187903,0.813446667,9.936076708,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,1,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,3.023894969,0.930776667,3.441599796,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,1,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,1.979886338,1.152493333,2.521363013,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,1,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.85,1,LOI,3.451677333,1.06269,3.818666667,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,2,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0,0.05,LOI,9.616298222,0.83993,9.252444444,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,2,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,15.81581509,0.85779,14.71698113,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,2,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,4.313355761,1.116483333,4.5781893,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,2,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,2.99008813,1.068213333,3.411800908,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,2,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,3.340401017,1.144443333,3.72058265,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,2,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,5.69906991,0.79579,5.799620899,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,2,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,4.612170741,0.94551,4.841578441,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,2,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,2.962330781,1.372416667,3.387334315,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,2,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.49101132,0.856546667,2.090446294,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,3,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0,0.05,LOI,8.291932529,1.138823333,8.08508817,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,3,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,18.20269546,0.689546667,16.82088626,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,3,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,7.168022342,1.021276667,7.094422514,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,3,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,6.792154806,0.963546667,6.763115739,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,3,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,9.800780243,1.025226667,9.415055304,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,3,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,12.88474193,0.97842,12.13339967,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,3,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,1.645205996,0.867426667,2.226360507,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,3,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,2.017974493,1.311536667,2.554935648,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,3,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.85,1,LOI,3.151888261,1.385036667,3.554418917,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,4,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0,0.05,LOI,8.20019767,1.085283333,8.004228885,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,4,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,5.513713058,1.266423333,5.636238923,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,4,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,18.17184784,0.779246667,16.79369576,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,4,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,4.169829126,0.93023,4.451678384,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,4,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,6.323263101,1.138626667,6.349813222,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,4,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,9.795853723,0.868313333,9.410712845,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,4,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,2.815786483,1.14981,3.258163493,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,4,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,1.749520598,1.376203333,2.318308151,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,4,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.658047591,1.320573333,2.237679674,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,5,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0,0.05,LOI,8.414204081,1.105533333,8.192863888,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,5,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,5.980873322,1.258613333,6.048015269,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,5,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,10.59269011,1.134686667,10.11308075,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,5,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,4.285389965,0.986076667,4.553538973,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,5,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,7.631258333,0.97134,7.502739826,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,5,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,7.052613842,0.977863333,6.992696203,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,5,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,4.277817451,0.724806667,4.546864214,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,5,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,1.491195304,1.090413333,2.090608466,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,5,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.85,1,LOI,0.856047129,1.270016667,1.53075992,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,6,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0,0.05,LOI,8.23644903,1.0037,8.036182486,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,6,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,7.034196763,1.088646667,6.97646255,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,6,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,10.04942398,0.8423,9.634221222,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,6,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,8.028267346,0.891796667,7.852681663,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,6,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,5.768496806,1.267833333,5.860816929,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,6,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,15.44538438,1.096486667,14.39046662,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,6,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,3.824312579,0.91714,4.147124353,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,6,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,3.48881827,1.48719,3.851404381,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,2,Summer,6,Saltmarsh,Spartina maritima,-33.8532,25.6139,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.598732532,1.15463,2.185396679,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,1,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0,0.05,LOI,6.474692631,0.88173,6.483290111,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,1,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,5.101239734,1.102076667,5.272666139,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,1,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,3.876521756,1.218096667,4.193143902,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,1,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,5.522166702,0.7314,5.64369035,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,1,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,2.855719737,0.879676667,3.293362483,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,1,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,5.555528952,0.96654,5.673097358,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,1,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,2.52413047,1.109363333,3.001084593,(1.1345*SOM_perc)-0.8806
