study_id,Reference,component
Murdiyarso et al. 2015,"Murdiyarso, D. et al. The potential of Indonesian mangrove forests for global climate change mitigation. Nat. Clim. Chang. 5, 1089-1092, doi:10.1038/NCLIMATE2734 (2015).",dead wood
Donato et al. (2011),"Donato, D. C. et al. Mangroves among the most carbon-rich forests in the tropics. Nat. Geosci. 4, 293-297, doi:10.1038/ngeo1123 (2011).",dead wood
Donato et al. (2012),"Donato, D. C. et al. Whole-island carbon stocks in the tropical Pacific: Implications for mangrove conservation and upland restoration. J. Environ. Manag. 97, 89-96, doi:10.1016/j.jenvman.2011.12.004 (2012).",dead wood
Adame et al. (2015),"Adame, M. et al. Carbon stocks and soil sequestration rates of riverine mangroves and freshwater wetlands. Biogeosciences 12, 3805-3818 (2015).",dead wood
Tue et al. (2014),"Tue, N. T. et al. Carbon storage of a tropical mangrove forest in Mui Ca Mau National Park, Vietnam. CATENA 121, 119-126, doi:10.1016/j.catena.2014.05.008 (2014).",dead wood
Hieu et al. (2017),"Hieu, P.V. Dung, L.V., Tue, N.T., & Omori, K. Will restored mangrove forests enhance sediment organic carbon and ecosystem carbon storage? Reg. Stud. Mar.
Sci., 14, 43-52 (2017).",dead wood
Dung et al. 2016,"Dung, L. V. et al. Carbon storage in a restored mangrove forest in Can Gio Mangrove Forest Park, Mekong Delta, Vietnam. For. Ecol. Manag. 380, 31-40, doi:10.1016/j.foreco.2016.08.032 (2016).",dead wood
Adame et al. (2013),"Adame, M. F. et al. Carbon stocks of tropical coastal wetlands within the karstic landscape of the Mexican Caribbean. PLoS One 8, e56569 (2013).",dead wood
Ochoa-Gomez et al. (2019),"Ochoa-Gómez, J. G., Lluch-Cota, S. E., Rivera-Monroy, V. H., Lluch-Cota, D. B., Troyo-Diéguez, E., Oechel, W., & Serviere-Zaragoza, E. Mangrove wetland productivity and carbon stocks in an arid zone of the Gulf of California (La Paz Bay, Mexico). For. Ecol. Manage., 442, 135-147 (2019).",dead wood
Mao et al. 2012,"Mao, Z., Yang, X., Zhao, Z., Lai, M., Yang, D., Wu, C., & Hualin, H. Preliminary study on mangrove ecosystem carbon cycle of Kandelia candel in Futian nature reserve, Shenzhen, China. Ecology and Environmental Sciences, 21, 1189-1199 (2012).",dead wood
Krauss et al. 1995 in Hiraishi et al. 2013,"Krauss, K. W., Doyle, T. W., Twilley, R. R., Smith III, T. J., Whelan, K. R., & Sullivan, J. K.  Woody Debris in the Mangrove Forests of South Florida 1. Biotropica: The Journal of Biology and Conservation, 37(1), 9-15 (2005).",dead wood
Tam et al. 1995 in Hiraishi et al. 2013,"Tam, N. F. Y., Wong, Y. S., Lan, C. Y., & Chen, G. Z. Community structure and standing crop biomass of a mangrove forest in Futian Nature Reserve, Shenzhen, China. Hydrobiologia, 295(1-3), 193-201 (1995).",dead wood
Robertson and Daniel 1989 in Hiraishi et al. 2013,"Robertson, A. I., & Daniel, P. A.  Decomposition and the annual flux of detritus from fallen timber in tropical mangrove forests. Limnol. Oceanogr., 34(3), 640-646(1989).",dead wood
Steinke and Rajh 1995 in Hiraishi et al. 2013,"Steinke, T. D., Ward, C. J., & Rajh, A. Forest structure and biomass of mangroves in the Mgeni estuary, South Africa. Hydrobiologia, 295(1-3), 159-166 (1995).",dead wood
Allen et al. 2000 in Hiraishi et al. 2013,"Allen, J. A., Ewel, K. C., Keeland, B. D., Tara, T., & Smith, T. J. Downed wood in Micronesian mangrove forests. Wetlands, 20(1), 169-176 (2000).",dead wood
Adame et al. (2018),"Adame, M. F. et al. Loss and recovery of carbon and nitrogen after mangrove clearing. Ocean Coast. Manag. 161, 117-126, doi:10.1016/j.ocecoaman.2018.04.019 (2018).",litter
Kauffman et al. (2016),"Kauffman, J. B. et al. Carbon stocks of mangroves and losses arising from their conversion to cattle pastures in the Pantanos de Centla, Mexico. Wetl. Ecol. Manag. 24, 203-216, doi:10.1007/s11273-015-9453-z (2016).",litter
Sitoe et al. (2014),"Sitoe, A. A. et al. Biomass and Carbon Stocks of Sofala Bay Mangrove Forests. Forests 5, 1967-1981 (2014).",litter
Stringer et al. (2014),"Stringer, C. E. et al. Final Report: The Zambezi River Delta mangrove carbon project : A pilot baseline assessment for REDD+ reporting and monitoring., (2014).",litter
Mao et al. 2012,"Mao, Z., Yang, X., Zhao, Z., Lai, M., Yang, D., Wu, C., & Hualin, H. Preliminary study on mangrove ecosystem carbon cycle of Kandelia candel in Futian nature reserve, Shenzhen, China. Ecology and Environmental Sciences, 21, 1189-1199 (2012).",litter
"Utrera-Lopez and Moreno-Casasola, 2008 in Hiraishi et al. 2013","Utrera-López, M. E., & Moreno-Casasola, P. Mangrove litter dynamics in la mancha Lagoon, Veracruz, Mexico. Wet. Ecol. Manage., 16(1), 11-22  (2008).",litter
Liao 1990 in Hiraishi et al. 2013,"Liao, B., Zheng, D., Zheng, S. ""STUDIES ON THE BIOMASS OF SONNERATIA CASEOLARIS STAND."" Forest Research 1 (1990).",litter
Richards et al. 2011 in Hiraishi et al. 2013,"Richards, T. M., Krebs, J. M., & McIvor, C. C. Microhabitat associations of a semi-terrestrial fish, Kryptolebias marmoratus (Poey 1880) in a mosquito-ditched mangrove forest, west-central Florida. J. Exp. Mai. Biol. Ecol., 401(1-2)  , 48-56 .",litter
Chen et al. 2008 in Hiraishi et al. 2013,"Chen, G. C., Ye, Y., & Lu, C. Y. Seasonal variability of leaf litter removal by crabs in a Kandelia candel mangrove forest in Jiulongjiang Estuary, China. Estuar. Coast. Shelf Sci., 79(4), 701-706 (2008).",litter
e Silva et al. 2007 in Hiraishi et al. 2013,"e Silva, C. A. R., Oliveira, S. R., Rêgo, R. D., & Mozeto, A. A. Dynamics of phosphorus and nitrogen through litter fall and decomposition in a tropical mangrove forest. Mar. Environ. Res., 64(4), 524-534 (2007).",litter
Twilley et al. 1986 in Hiraishi et al. 2013,"Twilley, R. W. et al. Litter production and turnover in basin mangrove forests in southwest Florida. Oecologia 67, 670-683, doi:10.2307/1937691 (1986).",litter
Kauffman et al (2014),"Kauffman, J. B. et al. Carbon stocks of intact mangroves and carbon emissions arising from their conversion in the Dominican Republic. Ecol. Appl. 24, 518-527, doi:10.1890/13-0640.1 (2014).",dead root
Kauffman et al. (2016),"Kauffman, J. B. et al. Carbon stocks of mangroves and losses arising from their conversion to cattle pastures in the Pantanos de Centla, Mexico. Wetl. Ecol. Manag. 24, 203-216, doi:10.1007/s11273-015-9453-z (2016).",dead root
Stringer et al. (2014),"Stringer, C. E. et al. Final Report: The Zambezi River Delta mangrove carbon project : A pilot baseline assessment for REDD+ reporting and monitoring., (2014).",dead root
Alongi 2009,"Alongi, D. The energetics of mangrove forests. Springer. (2009).",dead root
