References,Sample ID,Country,C stock (Mg ha-1)
Kauffman et al (2014),Guinea media-medium,Dominican Republic,525.46
Kauffman et al (2014),Laguna media-medium,Dominican Republic,449.46
Kauffman et al (2014),Mediana sur-medium,Dominican Republic,533.67
Kauffman et al (2014),Morro bajo-short,Dominican Republic,386.96
Kauffman et al (2014),Tapio alta-tall,Dominican Republic,468.07
Kauffman et al. (2011),Yap-interior,Fed. States of Micronesia,418.0833
Kauffman et al. (2011),Airai-interior,Palau,437.7167
Kauffman et al. (2016),Boca Pedro Este,Mexico,377.49
Kauffman et al. (2016),Boca Pedro Oeste,Mexico,491.22
Kauffman et al. (2016),Grijalva,Mexico,101.2
Kauffman et al. (2016),Manglar Cometa,Mexico,428.86
Kauffman et al. (2016),Manglar Gallego,Mexico,382.36
Kauffman et al. (2016),Manglar Vital,Mexico,355.56
Kauffman et al. (2016),Sabalo,Mexico,423.03
Kelleway unpublished data,GR1A,Australia,324.7069
Kelleway unpublished data,GR2A,Australia,295.9476
Kelleway unpublished data,GR3A,Australia,228.1637
Kelleway unpublished data,GR4A,Australia,165.6498843
Kelleway unpublished data,TP1A,Australia,267.4181
Kelleway unpublished data,TP2A,Australia,186.9876
Kelleway unpublished data,TP3A,Australia,176.927
Kelleway unpublished data,TP4A,Australia,112.1974
Kennedy et al. (2004),Umalagan,Philippines,477.906402
Kennedy et al. (2004),Oyster Bay-Philippines,Philippines,463.217923
Kennedy et al. (2004),Dan Moi,Vietnam,212.663797
Kennedy et al. (2004),Ghia Luan,Vietnam,178.964745
Keuskamp et al. (2015),Keuskamp-dwarf,Belize,695.3626
Khan et al. (2007),Khan 1,Japan,57.3
Koch and Madden (2001),M,Bahamas,91
Koch et al. (2005),"Rio Caet_ estuary, Brazil",Brazil,216.063628
Kristensen et al. (1992),Kristensen-creek site,Pakistan,180.5252
Kristensen et al. (2000),"Bangrong, Thailand",Thailand,253.039
Kristensen et al. (2008 MEPS),R1-Ras Dege,Tanzania,193.755
Kristensen et al. (2008 MEPS),M1-Ras Dege,Tanzania,124.86
Kusumaningtyas et al. (2019),SAL,Indonesia,317.4
Kusumaningtyas et al. (2019),Kobgsi Island,Indonesia,108
Lacerda et al.( 1995),AvicenniaLA1,Brazil,265.8
Lacerda et al.( 1995),RhizophoraLA1,Brazil,203.3
Lallier-Verges et al. (1998),GU,French Guiana/Guadeloupe,623.51
Leopold et al. (2015),Leopold-Avicennia,New Caledonia,457.92
Liao et al. 2013 ,mindong Fujian1,China,62.21
Zheng et al. 1995 ,Yingluo bay1,China,620.5
Liu et al. 2014,Jiulong River Estuary,China,333.41
Liu et al. 2014,Futian Shenzhen,China,602.88
Liu et al. 2014,Gaoqiao ,China,260.14
Livesley & Andrusiak (2012),Jacks Beach,Australia,138.55
Livesley & Andrusiak (2012),Stony point,Australia,146.4
Livesley & Andrusiak (2012),Yaringa NP,Australia,144.01
Lovelock et al. (2005),Lovelock-10-Panama,Panama,426.8192
Lovelock et al. (2005),Lovelock-1-Panama,Panama,367.1304094
Lovelock et al. (2005),Lovelock-2-Panama,Panama,402.2119309
Lovelock et al. (2005),Lovelock-3-Panama,Panama,332.598624
Lovelock et al. (2005),Lovelock-4-Panama,Panama,302.8296979
Lovelock et al. (2005),Lovelock-5-Panama,Panama,270.0768825
Lovelock et al. (2005),Lovelock-6-Panama,Panama,350.3334515
Lovelock et al. (2005),Lovelock-7-Panama,Panama,436.28882
Lovelock et al. (2005),Lovelock-8-Panama,Panama,415.4376246
Lovelock et al. (2005),Lovelock-9-Panama,Panama,443.8497059
Lovelock et al. (2010),lovelock-1,New Zealand,232.736208
Lovelock et al. (2010),lovelock-2,New Zealand,167.796035
Lovelock et al. (2010),lovelock-3,New Zealand,172.369043
Lovelock et al. (2010),lovelock-4,New Zealand,273.517763
Lovelock et al. (2010),lovelock-5,New Zealand,236.800458
Lovelock et al. (2010),lovelock-6,New Zealand,232.401339
Lovelock et al. (2010),lovelock-7,New Zealand,286.099022
Lovelock et al. (2010),lovelock-8,New Zealand,257.279294
Lovelock et al. (2010),lovelock-9,New Zealand,262.652349
Lovelock et al. (2010),lovelock-10,New Zealand,271.752504
Lovelock et al. (2010),lovelock-11,New Zealand,219.371236
Lovelock et al. (2010),lovelock-12,New Zealand,260.56667
Lovelock et al. (2010),lovelock-13,New Zealand,218.792173
Lovelock et al. (2010),lovelock-14,New Zealand,237.349663
Lovelock et al. (2010),lovelock-15,New Zealand,177.361103
Lovelock et al. (2010),lovelock-16,New Zealand,232.353886
Lovelock et al. (2010),lovelock-17,New Zealand,223.597844
Lovelock et al. (2010),lovelock-18,New Zealand,183.675837
Lovelock et al. (2010),lovelock-19,New Zealand,215.342381
Lovelock et al. (2010),lovelock-20,New Zealand,173.578282
Lovelock et al. (2010),lovelock-21,New Zealand,180.483867
Lovelock et al. (2010),lovelock-22,New Zealand,154.800925
Lovelock et al. (2010),lovelock-23,New Zealand,159.72564
Lovelock et al. (2010),lovelock-24,New Zealand,156.670352
Lovelock et al. (2010),lovelock-25,New Zealand,170.620861
Lovelock et al. (2010),lovelock-26,New Zealand,139.837607
Lovelock et al. (2010),lovelock-27,New Zealand,150.261502
Lovelock et al. (2010),lovelock-28,New Zealand,152.896263
Lovelock et al. (2010),lovelock-29,New Zealand,166.315317
Lovelock et al. (2010),lovelock-30,New Zealand,145.076332
Lovelock et al. (2010),lovelock-31,New Zealand,131.475878
Lovelock et al. (2010),lovelock-32,New Zealand,124.549261
Lovelock et al. (2010),lovelock-33,New Zealand,116.601107
Lovelock et al. (2010),lovelock-34,New Zealand,126.720259
Lovelock et al. unpublished data,lovelock-10,Australia,580.394274
Lovelock et al. unpublished data,lovelock-4,Australia,479.364736
Lovelock et al. unpublished data,lovelock-17,Australia,475.873846
Lovelock et al. unpublished data,main dain-1,Australia,441.14
Lovelock et al. unpublished data,lovelock-12,Australia,437.070474
Lovelock et al. unpublished data,lovelock-18,Australia,427.549507
Lovelock et al. unpublished data,lovelock-16,Australia,382.2
Lovelock et al. unpublished data,south arm-1,Australia,358.2666667
Lovelock et al. unpublished data,wet scrub c,Australia,354.9473716
Lovelock et al. unpublished data,lovelock-2,Australia,321.787743
Lovelock et al. unpublished data,lovelock-11,Australia,312.686471
Lovelock et al. unpublished data,lovelock-5,Australia,309.397504
Lovelock et al. unpublished data,Daintree-Chizo,Australia,284.44
Lovelock et al. unpublished data,aims-Rhizo-1,Australia,232.4693423
Lovelock et al. unpublished data,lovelock-22,Australia,205.058729
Lovelock et al. unpublished data,lovelock-29,Australia,177.896066
Lovelock et al. unpublished data,lovelock-32,Australia,138.654724
Lovelock et al. unpublished data,lovelock-23,Australia,136.616141
Lovelock et al. unpublished data,lovelock-28,Australia,132.599786
Lovelock et al. unpublished data,hinch 2CDC,Australia,124.6719209
Lovelock et al. unpublished data,lovelock-24,Australia,121.505974
Lovelock et al. unpublished data,dry scrub-1,Australia,116.6350584
Lovelock et al. unpublished data,lovelock-31,Australia,101.960091
Lovelock et al. unpublished data,aims C12,Australia,92.64308422
Lovelock et al. unpublished data,lovelock-33,Australia,83.6964232
Lovelock et al. unpublished data,schrimp-C9,Australia,69.3447225
Lovelock et al. unpublished data,lovelock-30,Australia,37.0795923
Lu et al. (2014),Lu-mix1,China,127.76
Lunstrum & Chen (2014),lun-2014,China,68.065
Luo & Gu (2015),Luo-MG1-dry,China,242.4442
Lupembe 2014,lup-14,Tanzania,164.3
Lyimo et al. (2002),Lyimo-A,Tanzania,283.33
Machiwa (1998),MF,Tanzania,292.2129
