Study ID,Sample_ID,Country,Latitude,Longitude,LOI,OC,ecosystem
Ranjan et al. (2010),Pichavaram_27,India,11.4,79.8,3.99,0.75,mangrove
Ranjan et al. (2010),Pichavaram_28,India,11.4,79.8,2.86,0.52,mangrove
Ranjan et al. (2010),Pichavaram_29,India,11.4,79.8,1.74,0.35,mangrove
Ranjan et al. (2010),Pichavaram_30,India,11.4,79.8,3.37,1.79,mangrove
Ranjan et al. (2010),Pichavaram_31,India,11.4,79.8,4.27,1.52,mangrove
Ranjan et al. (2010),Pichavaram_32,India,11.4,79.8,4.58,1.33,mangrove
Ranjan et al. (2010),Pichavaram_33,India,11.4,79.8,5.26,1.35,mangrove
Ranjan et al. (2010),Pichavaram_34,India,11.4,79.8,5.39,1.42,mangrove
Ranjan et al. (2010),Pichavaram_35,India,11.4,79.8,5.52,1.53,mangrove
Ranjan et al. (2010),Pichavaram_36,India,11.4,79.8,5.17,1.11,mangrove
Ranjan et al. (2010),Pichavaram_37,India,11.4,79.8,4.82,1.33,mangrove
Ranjan et al. (2010),Pichavaram_38,India,11.4,79.8,4.65,1.5,mangrove
Ranjan et al. (2010),Pichavaram_39,India,11.4,79.8,4.49,1.17,mangrove
Ranjan et al. (2010),Pichavaram_40,India,11.4,79.8,4.68,1.25,mangrove
Ranjan et al. (2010),Pichavaram_41,India,11.4,79.8,4.88,1.24,mangrove
Ranjan et al. (2010),Pichavaram_42,India,11.4,79.8,4.52,1.12,mangrove
Ranjan et al. (2010),Pichavaram_43,India,11.4,79.8,4.17,0.96,mangrove
Ranjan et al. (2010),Pichavaram_44,India,11.4,79.8,3.8,0.94,mangrove
Ranjan et al. (2010),Pichavaram_45,India,11.4,79.8,3.43,0.72,mangrove
Ranjan et al. (2010),Pichavaram_46,India,11.4,79.8,3.5,0.88,mangrove
Ranjan et al. (2010),Pichavaram_47,India,11.4,79.8,0.23,0.1,mangrove
Ranjan et al. (2010),Pichavaram_48,India,11.4,79.8,0.21,0.09,mangrove
Ranjan et al. (2010),Pichavaram_49,India,11.4,79.8,0.21,0.09,mangrove
Ranjan et al. (2010),Pichavaram_50,India,11.4,79.8,0.21,0.09,mangrove
Ranjan et al. (2010),Pichavaram_51,India,11.4,79.8,0.45,0.1,mangrove
Ranjan et al. (2010),Pichavaram_52,India,11.4,79.8,4.18,1.08,mangrove
Ranjan et al. (2010),Pichavaram_53,India,11.4,79.8,5.03,1.6,mangrove
Ranjan et al. (2010),Pichavaram_54,India,11.4,79.8,5.87,1.81,mangrove
Ranjan et al. (2010),Pichavaram_55,India,11.4,79.8,5,1.57,mangrove
Ranjan et al. (2010),Pichavaram_56,India,11.4,79.8,3.38,0.85,mangrove
Ranjan et al. (2010),Pichavaram_57,India,11.4,79.8,3.52,0.84,mangrove
Ranjan et al. (2010),Pichavaram_58,India,11.4,79.8,3.66,0.97,mangrove
Ranjan et al. (2010),Pichavaram_59,India,11.4,79.8,4.22,1.45,mangrove
Ranjan et al. (2010),Pichavaram_60,India,11.4,79.8,4.78,1.57,mangrove
Ranjan et al. (2010),Pichavaram_61,India,11.4,79.8,5.33,1.78,mangrove
Ranjan et al. (2010),Pichavaram_62,India,11.4,79.8,5.89,1.46,mangrove
Ranjan et al. (2010),Pichavaram_63,India,11.4,79.8,6.31,1.44,mangrove
Ranjan et al. (2010),Pichavaram_64,India,11.4,79.8,6.73,1.55,mangrove
Ranjan et al. (2010),Pichavaram_65,India,11.4,79.8,7.13,1.12,mangrove
Ranjan et al. (2010),Pichavaram_66,India,11.4,79.8,7.53,1.02,mangrove
Ranjan et al. (2010),Pichavaram_67,India,11.4,79.8,6.05,0.95,mangrove
Ranjan et al. (2010),Pichavaram_68,India,11.4,79.8,4.57,0.87,mangrove
Ranjan et al. (2010),Pichavaram_69,India,11.4,79.8,4.48,0.79,mangrove
Ranjan et al. (2010),Pichavaram_70,India,11.4,79.8,4.38,0.87,mangrove
Ranjan et al. (2010),Pichavaram_71,India,11.4,79.8,4.7,0.74,mangrove
Ranjan et al. (2010),Pichavaram_72,India,11.4,79.8,5.02,0.92,mangrove
Ranjan et al. (2010),Pichavaram_73,India,11.4,79.8,3.88,0.72,mangrove
Ranjan et al. (2010),Pichavaram_74,India,11.4,79.8,4.59,0.59,mangrove
Ranjan et al. (2010),Pichavaram_75,India,11.4,79.8,4.84,0.57,mangrove
Ranjan et al. (2010),Pichavaram_76,India,11.4,79.8,5.09,0.58,mangrove
Ranjan et al. (2010),Pichavaram_77,India,11.4,79.8,5.2,0.51,mangrove
Ranjan et al. (2010),Pichavaram_78,India,11.4,79.8,4.68,0.5,mangrove
Ranjan et al. (2010),Pichavaram_79,India,11.4,79.8,4.63,0.51,mangrove
Ranjan et al. (2010),Pichavaram_80,India,11.4,79.8,4.59,0.5,mangrove
Bird et al. (2004),Singapore_coast_1,Singapore,1.34,103.89,79.9,22.62,mangrove
Bird et al. (2004),Singapore_coast_2,Singapore,1.34,103.89,78.76,27.72,mangrove
Bird et al. (2004),Singapore_coast_3,Singapore,1.34,103.89,77.87,26.44,mangrove
Bird et al. (2004),Singapore_coast_4,Singapore,1.34,103.89,77.17,22.03,mangrove
Bird et al. (2004),Singapore_coast_5,Singapore,1.34,103.89,76.89,32.72,mangrove
Bird et al. (2004),Singapore_coast_6,Singapore,1.34,103.89,75.99,34.62,mangrove
Bird et al. (2004),Singapore_coast_7,Singapore,1.34,103.89,75.24,26.63,mangrove
Bird et al. (2004),Singapore_coast_8,Singapore,1.34,103.89,74.51,32.8,mangrove
Bird et al. (2004),Singapore_coast_9,Singapore,1.34,103.89,73.56,21.5,mangrove
Bird et al. (2004),Singapore_coast_10,Singapore,1.34,103.89,72.75,23.65,mangrove
Bird et al. (2004),Singapore_coast_11,Singapore,1.34,103.89,71.26,25.06,mangrove
Bird et al. (2004),Singapore_coast_12,Singapore,1.34,103.89,69.1,25.67,mangrove
Bird et al. (2004),Singapore_coast_13,Singapore,1.34,103.89,68.88,27.69,mangrove
Bird et al. (2004),Singapore_coast_14,Singapore,1.34,103.89,67.52,19.06,mangrove
Bird et al. (2004),Singapore_coast_15,Singapore,1.34,103.89,66.57,28.38,mangrove
Bird et al. (2004),Singapore_coast_16,Singapore,1.34,103.89,64.12,22.46,mangrove
Bird et al. (2004),Singapore_coast_17,Singapore,1.34,103.89,62.39,13.3,mangrove
Bird et al. (2004),Singapore_coast_18,Singapore,1.34,103.89,61.55,22.32,mangrove
Bird et al. (2004),Singapore_coast_19,Singapore,1.34,103.89,59.54,11.51,mangrove
Bird et al. (2004),Singapore_coast_20,Singapore,1.34,103.89,58.87,21.9,mangrove
Bird et al. (2004),Singapore_coast_21,Singapore,1.34,103.89,58.73,11.19,mangrove
Bird et al. (2004),Singapore_coast_22,Singapore,1.34,103.89,57.24,24.38,mangrove
Bird et al. (2004),Singapore_coast_23,Singapore,1.34,103.89,54.51,13.91,mangrove
Bird et al. (2004),Singapore_coast_24,Singapore,1.34,103.89,50.04,13.07,mangrove
Bird et al. (2004),Singapore_coast_25,Singapore,1.34,103.89,48.72,15.61,mangrove
Bird et al. (2004),Singapore_coast_26,Singapore,1.34,103.89,47.59,8.24,mangrove
Bird et al. (2004),Singapore_coast_27,Singapore,1.34,103.89,46.08,12.71,mangrove
Bird et al. (2004),Singapore_coast_28,Singapore,1.34,103.89,45.85,25.78,mangrove
Bird et al. (2004),Singapore_coast_29,Singapore,1.34,103.89,45.61,9.21,mangrove
Bird et al. (2004),Singapore_coast_30,Singapore,1.34,103.89,45.59,7.87,mangrove
Bird et al. (2004),Singapore_coast_31,Singapore,1.34,103.89,44.05,16.76,mangrove
Bird et al. (2004),Singapore_coast_32,Singapore,1.34,103.89,43.89,5.02,mangrove
Bird et al. (2004),Singapore_coast_33,Singapore,1.34,103.89,43.69,7.16,mangrove
Bird et al. (2004),Singapore_coast_34,Singapore,1.34,103.89,39.93,5.8,mangrove
Bird et al. (2004),Singapore_coast_35,Singapore,1.34,103.89,39,11.4,mangrove
Bird et al. (2004),Singapore_coast_36,Singapore,1.34,103.89,37.52,18.23,mangrove
Bird et al. (2004),Singapore_coast_37,Singapore,1.34,103.89,35.34,5.98,mangrove
Bird et al. (2004),Singapore_coast_38,Singapore,1.34,103.89,34.74,9.31,mangrove
Bird et al. (2004),Singapore_coast_39,Singapore,1.34,103.89,34.58,10.13,mangrove
Bird et al. (2004),Singapore_coast_40,Singapore,1.34,103.89,32.4,6.16,mangrove
Bird et al. (2004),Singapore_coast_41,Singapore,1.34,103.89,31.67,9.52,mangrove
Bird et al. (2004),Singapore_coast_42,Singapore,1.34,103.89,31.4,9.74,mangrove
Bird et al. (2004),Singapore_coast_43,Singapore,1.34,103.89,30.83,5.31,mangrove
Bird et al. (2004),Singapore_coast_44,Singapore,1.34,103.89,30.57,3.45,mangrove
Bird et al. (2004),Singapore_coast_45,Singapore,1.34,103.89,26.1,6.65,mangrove
Bird et al. (2004),Singapore_coast_46,Singapore,1.34,103.89,25.04,5.88,mangrove
Bird et al. (2004),Singapore_coast_47,Singapore,1.34,103.89,24.86,5.3,mangrove
Bird et al. (2004),Singapore_coast_48,Singapore,1.34,103.89,24.77,8.88,mangrove
Bird et al. (2004),Singapore_coast_49,Singapore,1.34,103.89,24.08,22.87,mangrove
Bird et al. (2004),Singapore_coast_50,Singapore,1.34,103.89,22.88,7.9,mangrove
Bird et al. (2004),Singapore_coast_51,Singapore,1.34,103.89,21.94,9.66,mangrove
Bird et al. (2004),Singapore_coast_52,Singapore,1.34,103.89,21.88,11.67,mangrove
Bird et al. (2004),Singapore_coast_53,Singapore,1.34,103.89,21.45,7.5,mangrove
Bird et al. (2004),Singapore_coast_54,Singapore,1.34,103.89,21.12,3.56,mangrove
Bird et al. (2004),Singapore_coast_55,Singapore,1.34,103.89,20.74,7.99,mangrove
Bird et al. (2004),Singapore_coast_56,Singapore,1.34,103.89,20.4,4.14,mangrove
Bird et al. (2004),Singapore_coast_57,Singapore,1.34,103.89,19.65,6.53,mangrove
Bird et al. (2004),Singapore_coast_58,Singapore,1.34,103.89,19.28,5.84,mangrove
Bird et al. (2004),Singapore_coast_59,Singapore,1.34,103.89,18.94,8.08,mangrove
Bird et al. (2004),Singapore_coast_60,Singapore,1.34,103.89,18.55,4.18,mangrove
Bird et al. (2004),Singapore_coast_61,Singapore,1.34,103.89,18.21,3.8,mangrove
Bird et al. (2004),Singapore_coast_62,Singapore,1.34,103.89,17.59,8.31,mangrove
Bird et al. (2004),Singapore_coast_63,Singapore,1.34,103.89,17.34,3.07,mangrove
Bird et al. (2004),Singapore_coast_64,Singapore,1.34,103.89,17.27,7.6,mangrove
Bird et al. (2004),Singapore_coast_65,Singapore,1.34,103.89,17.16,1.05,mangrove
Bird et al. (2004),Singapore_coast_66,Singapore,1.34,103.89,16.84,6.78,mangrove
Bird et al. (2004),Singapore_coast_67,Singapore,1.34,103.89,16.3,7.04,mangrove
Bird et al. (2004),Singapore_coast_68,Singapore,1.34,103.89,16.02,9.23,mangrove
Bird et al. (2004),Singapore_coast_69,Singapore,1.34,103.89,16.02,6.66,mangrove
Bird et al. (2004),Singapore_coast_70,Singapore,1.34,103.89,15.42,6.96,mangrove
Bird et al. (2004),Singapore_coast_71,Singapore,1.34,103.89,15.24,6.71,mangrove
Bird et al. (2004),Singapore_coast_72,Singapore,1.34,103.89,14.69,6.14,mangrove
Bird et al. (2004),Singapore_coast_73,Singapore,1.34,103.89,13.8,5.84,mangrove
Bird et al. (2004),Singapore_coast_74,Singapore,1.34,103.89,13.76,1.04,mangrove
Bird et al. (2004),Singapore_coast_75,Singapore,1.34,103.89,13.65,5.66,mangrove
Bird et al. (2004),Singapore_coast_76,Singapore,1.34,103.89,13.3,9.19,mangrove
Bird et al. (2004),Singapore_coast_77,Singapore,1.34,103.89,12.99,6.01,mangrove
Bird et al. (2004),Singapore_coast_78,Singapore,1.34,103.89,12.35,4.28,mangrove
Bird et al. (2004),Singapore_coast_79,Singapore,1.34,103.89,11.3,2.74,mangrove
Bird et al. (2004),Singapore_coast_80,Singapore,1.34,103.89,11.28,5.68,mangrove
Bird et al. (2004),Singapore_coast_81,Singapore,1.34,103.89,11.14,3.21,mangrove
Bird et al. (2004),Singapore_coast_82,Singapore,1.34,103.89,11.04,6.49,mangrove
Bird et al. (2004),Singapore_coast_83,Singapore,1.34,103.89,10.63,7.24,mangrove
Bird et al. (2004),Singapore_coast_84,Singapore,1.34,103.89,10.13,6.07,mangrove
Bird et al. (2004),Singapore_coast_85,Singapore,1.34,103.89,9.78,2.84,mangrove
Bird et al. (2004),Singapore_coast_86,Singapore,1.34,103.89,9.57,3.89,mangrove
Bird et al. (2004),Singapore_coast_87,Singapore,1.34,103.89,9.51,1,mangrove
Bird et al. (2004),Singapore_coast_88,Singapore,1.34,103.89,9.45,1.15,mangrove
Bird et al. (2004),Singapore_coast_89,Singapore,1.34,103.89,9.18,2.54,mangrove
Bird et al. (2004),Singapore_coast_90,Singapore,1.34,103.89,8.91,7.02,mangrove
Bird et al. (2004),Singapore_coast_91,Singapore,1.34,103.89,8.53,2.26,mangrove
Bird et al. (2004),Singapore_coast_92,Singapore,1.34,103.89,8.36,3.05,mangrove
Bird et al. (2004),Singapore_coast_93,Singapore,1.34,103.89,8.28,0.96,mangrove
Bird et al. (2004),Singapore_coast_94,Singapore,1.34,103.89,7.4,1.5,mangrove
Bird et al. (2004),Singapore_coast_95,Singapore,1.34,103.89,7.06,3.41,mangrove
Bird et al. (2004),Singapore_coast_96,Singapore,1.34,103.89,6.71,1.37,mangrove
Bird et al. (2004),Singapore_coast_97,Singapore,1.34,103.89,6.45,0.59,mangrove
Bird et al. (2004),Singapore_coast_98,Singapore,1.34,103.89,6.33,4.12,mangrove
Bird et al. (2004),Singapore_coast_99,Singapore,1.34,103.89,6.18,1.17,mangrove
Bird et al. (2004),Singapore_coast_100,Singapore,1.34,103.89,6.11,2.75,mangrove
Bird et al. (2004),Singapore_coast_101,Singapore,1.34,103.89,5.93,2.11,mangrove
Bird et al. (2004),Singapore_coast_102,Singapore,1.34,103.89,5.71,5.24,mangrove
Bird et al. (2004),Singapore_coast_103,Singapore,1.34,103.89,5.63,2.18,mangrove
Bird et al. (2004),Singapore_coast_104,Singapore,1.34,103.89,5.6,1.78,mangrove
Bird et al. (2004),Singapore_coast_105,Singapore,1.34,103.89,5.46,1.29,mangrove
Bird et al. (2004),Singapore_coast_106,Singapore,1.34,103.89,5.26,1.3,mangrove
Bird et al. (2004),Singapore_coast_107,Singapore,1.34,103.89,4.86,0.94,mangrove
Bird et al. (2004),Singapore_coast_108,Singapore,1.34,103.89,4.66,2.02,mangrove
Bird et al. (2004),Singapore_coast_109,Singapore,1.34,103.89,4.45,0.68,mangrove
Bird et al. (2004),Singapore_coast_110,Singapore,1.34,103.89,4.41,1.88,mangrove
Bird et al. (2004),Singapore_coast_111,Singapore,1.34,103.89,4.4,1.46,mangrove
Bird et al. (2004),Singapore_coast_112,Singapore,1.34,103.89,4.23,2.01,mangrove
Bird et al. (2004),Singapore_coast_113,Singapore,1.34,103.89,4.12,1.47,mangrove
Bird et al. (2004),Singapore_coast_114,Singapore,1.34,103.89,4.04,1.77,mangrove
Bird et al. (2004),Singapore_coast_115,Singapore,1.34,103.89,3.71,1.84,mangrove
Bird et al. (2004),Singapore_coast_116,Singapore,1.34,103.89,3.59,2.37,mangrove
Bird et al. (2004),Singapore_coast_117,Singapore,1.34,103.89,3.32,1.25,mangrove
Bird et al. (2004),Singapore_coast_118,Singapore,1.34,103.89,3.31,2,mangrove
Bird et al. (2004),Singapore_coast_119,Singapore,1.34,103.89,3.14,1.85,mangrove
Bird et al. (2004),Singapore_coast_120,Singapore,1.34,103.89,2.9,1.53,mangrove
Bird et al. (2004),Singapore_coast_121,Singapore,1.34,103.89,2.81,1.19,mangrove
Bird et al. (2004),Singapore_coast_122,Singapore,1.34,103.89,2.62,2.05,mangrove
Bird et al. (2004),Singapore_coast_123,Singapore,1.34,103.89,2.49,0.96,mangrove
Bird et al. (2004),Singapore_coast_124,Singapore,1.34,103.89,2.39,1.11,mangrove
Bird et al. (2004),Singapore_coast_125,Singapore,1.34,103.89,2.34,0.51,mangrove
Bird et al. (2004),Singapore_coast_126,Singapore,1.34,103.89,2.21,1.39,mangrove
Bird et al. (2004),Singapore_coast_127,Singapore,1.34,103.89,2.03,0.88,mangrove
Bird et al. (2004),Singapore_coast_128,Singapore,1.34,103.89,1.93,0.53,mangrove
Bird et al. (2004),Singapore_coast_129,Singapore,1.34,103.89,1.9,0.69,mangrove
Bird et al. (2004),Singapore_coast_130,Singapore,1.34,103.89,1.89,0.51,mangrove
Bird et al. (2004),Singapore_coast_131,Singapore,1.34,103.89,1.82,0.62,mangrove
Bird et al. (2004),Singapore_coast_132,Singapore,1.34,103.89,1.72,1.03,mangrove
Bird et al. (2004),Singapore_coast_133,Singapore,1.34,103.89,1.65,1.49,mangrove
Bird et al. (2004),Singapore_coast_134,Singapore,1.34,103.89,1.65,0.3,mangrove
Bird et al. (2004),Singapore_coast_135,Singapore,1.34,103.89,1.57,1.25,mangrove
Bird et al. (2004),Singapore_coast_136,Singapore,1.34,103.89,1.54,0.69,mangrove
Bird et al. (2004),Singapore_coast_137,Singapore,1.34,103.89,1.44,1.17,mangrove
Bird et al. (2004),Singapore_coast_138,Singapore,1.34,103.89,1.39,0.78,mangrove
Bird et al. (2004),Singapore_coast_139,Singapore,1.34,103.89,1.33,0.52,mangrove
Bird et al. (2004),Singapore_coast_140,Singapore,1.34,103.89,1.32,0.44,mangrove
Bird et al. (2004),Singapore_coast_141,Singapore,1.34,103.89,1.27,0.39,mangrove
Bird et al. (2004),Singapore_coast_142,Singapore,1.34,103.89,1.09,0.17,mangrove
Bird et al. (2004),Singapore_coast_143,Singapore,1.34,103.89,1.05,0.65,mangrove
Bird et al. (2004),Singapore_coast_144,Singapore,1.34,103.89,1.05,0.48,mangrove
Bird et al. (2004),Singapore_coast_145,Singapore,1.34,103.89,0.94,0.38,mangrove
Bird et al. (2004),Singapore_coast_146,Singapore,1.34,103.89,0.83,0.47,mangrove
Bird et al. (2004),Singapore_coast_147,Singapore,1.34,103.89,0.81,0.3,mangrove
Bird et al. (2004),Singapore_coast_148,Singapore,1.34,103.89,0.81,0.4,mangrove
Bird et al. (2004),Singapore_coast_149,Singapore,1.34,103.89,0.69,0.48,mangrove
Bird et al. (2004),Singapore_coast_150,Singapore,1.34,103.89,0.69,0.4,mangrove
Bird et al. (2004),Singapore_coast_151,Singapore,1.34,103.89,0.65,0.14,mangrove
Bird et al. (2004),Singapore_coast_152,Singapore,1.34,103.89,0.64,0.24,mangrove
Bird et al. (2004),Singapore_coast_153,Singapore,1.34,103.89,0.61,0.12,mangrove
Bird et al. (2004),Singapore_coast_154,Singapore,1.34,103.89,0.57,0.23,mangrove
Bird et al. (2004),Singapore_coast_155,Singapore,1.34,103.89,0.55,0.25,mangrove
Bird et al. (2004),Singapore_coast_156,Singapore,1.34,103.89,0.53,0.23,mangrove
Bird et al. (2004),Singapore_coast_157,Singapore,1.34,103.89,0.46,0.04,mangrove
Bird et al. (2004),Singapore_coast_158,Singapore,1.34,103.89,0.39,0.1,mangrove
Bird et al. (2004),Singapore_coast_159,Singapore,1.34,103.89,0.39,0.18,mangrove
Bird et al. (2004),Singapore_coast_160,Singapore,1.34,103.89,0.25,0.23,mangrove
Beasy and Ellison (2013),Rubicon_1_1,Australia,-41.1491,146.6032,2.33,1.07,saltmarsh
Beasy and Ellison (2013),Rubicon_1_2,Australia,-41.1491,146.6032,1.26,0.98,saltmarsh
Beasy and Ellison (2013),Rubicon_1_3,Australia,-41.1491,146.6032,1.04,0.43,saltmarsh
Beasy and Ellison (2013),Rubicon_1_4,Australia,-41.1491,146.6032,1.3,0.17,saltmarsh
Beasy and Ellison (2013),Rubicon_1_5,Australia,-41.1491,146.6032,1.76,0.19,saltmarsh
Beasy and Ellison (2013),Rubicon_1_6,Australia,-41.1491,146.6032,1.54,0.29,saltmarsh
Beasy and Ellison (2013),Rubicon_1_7,Australia,-41.1491,146.6032,1.07,0.34,saltmarsh
Beasy and Ellison (2013),Rubicon_1_8,Australia,-41.1491,146.6032,2.1,1.47,saltmarsh
Beasy and Ellison (2013),Rubicon_1_9,Australia,-41.1491,146.6032,2.13,1.7,saltmarsh
Beasy and Ellison (2013),Rubicon_1_10,Australia,-41.1491,146.6032,2.01,0.66,saltmarsh
Beasy and Ellison (2013),Rubicon_1_11,Australia,-41.1491,146.6032,1.74,0.41,saltmarsh
Beasy and Ellison (2013),Rubicon_1_12,Australia,-41.1491,146.6032,1.82,0.19,saltmarsh
Beasy and Ellison (2013),Rubicon_1_13,Australia,-41.1491,146.6032,1.65,0.17,saltmarsh
Beasy and Ellison (2013),Rubicon_1_14,Australia,-41.1491,146.6032,2.03,0.23,saltmarsh
Beasy and Ellison (2013),Rubicon_1_15,Australia,-41.1491,146.6032,1.39,0.22,saltmarsh
Beasy and Ellison (2013),Rubicon_1_16,Australia,-41.1491,146.6032,1.27,0.33,saltmarsh
Callaway et al. (2012),Browns Island1,USA,38.2104,-122.0247,59.5,27.12,saltmarsh
Callaway et al. (2012),Browns Island2,USA,38.2104,-122.0247,48.6,21.92,saltmarsh
Callaway et al. (2012),Rush  Ranch1,USA,38.2104,-122.0247,43.9,18.14,saltmarsh
Callaway et al. (2012),Rush  Ranch2,USA,38.2104,-122.0247,32,12.59,saltmarsh
