study_id,site_id,transect_id,plot_id,plot_radius,species_code,biomass_flag,decay_class,debris_number,plot_density,tree_height,canopy_width,diameter_dbh,diameter_base,diameter_qmd,wood_volume,wood_volume_flag,biomass_decay_corrected,decay_3_wood_volume,decay_3_biomass_g,decay_3_biomass_Mg,decay_3_biomass_aboveground,biomass_aboveground,biomass_aboveground_scaled,biomass_aboveground_carbon,biomass_downed_wood,biomass_belowground,biomass_belowground_scaled,biomass_total,biomass_belowground_carbon,biomass_total_carbon
Morrissette_et_al_2023,Big Creek,1,3,2,Rhizophora mangle,live,NA,NA,795.7747,400,80,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.956151468,6.331304048,3.039025943,NA,3.811132652,3.032802943,9.36410699,1.182793148,4.22181909
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,live,NA,NA,64.9612,410,90,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05155133,1.042728036,0.5005094575,NA,9.375116223,0.6090188,1.651746836,0.237517332,0.7380267895
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,live,NA,NA,64.9612,450,150,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.94967079,0.8412261542,0.403788554,NA,7.118251282,0.4624101452,1.303636299,0.1803399566,0.5841285106
Morrissette_et_al_2023,Big Creek,1,3,2,Rhizophora mangle,live,NA,NA,795.7747,120,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,1.907261524,0.9154855314,NA,0.8180266921,0.6509649455,2.558226469,0.2538763288,1.16936186
Morrissette_et_al_2023,Big Creek,1,3,2,Rhizophora mangle,live,NA,NA,795.7747,200,70,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.835418742,3.847903899,1.846993871,NA,2.012287688,1.601327631,5.44923153,0.6245177762,2.471511648
Morrissette_et_al_2023,Big Creek,1,3,2,Rhizophora mangle,live,NA,NA,795.7747,200,110,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.956151468,6.331304048,3.039025943,NA,3.811132652,3.032802943,9.36410699,1.182793148,4.22181909
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,live,NA,NA,64.9612,300,200,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05155133,1.042728036,0.5005094575,NA,9.375116223,0.6090188,1.651746836,0.237517332,0.7380267895
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,live,NA,NA,64.9612,590,150,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.83401849,2.977432842,1.429167764,NA,36.00581499,2.338980949,5.31641379,0.9122025699,2.341370334
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,live,NA,NA,64.9612,420,90,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.61936647,1.534342389,0.7364843467,NA,15.38568686,0.9994726815,2.53381507,0.3897943458,1.126278692
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,live,NA,NA,64.9612,240,175,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4448992,1.328125186,0.6375000892,NA,12.78573992,0.8305770079,2.158702194,0.3239250331,0.9614251223
Morrissette_et_al_2023,Big Creek,1,3,2,Rhizophora mangle,live,NA,NA,795.7747,210,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.70723336,9.316320112,4.471833654,NA,6.254524444,4.977192313,14.29351242,1.941105002,6.412938656
Morrissette_et_al_2023,Big Creek,1,3,2,Rhizophora mangle,live,NA,NA,795.7747,350,350,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.70723336,9.316320112,4.471833654,NA,6.254524444,4.977192313,14.29351242,1.941105002,6.412938656
Morrissette_et_al_2023,Big Creek,1,4,NA,NA,debris,NA,1,NA,NA,NA,NA,NA,4,0.4112,diameter <7.6cm,NA,NA,NA,NA,NA,NA,0.2874,0.1437,291.9758,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,4,3,Laguncularia racemosa,live,NA,NA,353.68,149,49,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09499935987,0.0335993736,0.01612769933,NA,0.02698512662,0.009544099581,0.04314347318,0.003722198837,0.01984989816
Morrissette_et_al_2023,Big Creek,1,4,3,Laguncularia racemosa,live,NA,NA,353.68,152,37,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2953905611,0.1044737336,0.05014739215,NA,0.09950145271,0.0351916738,0.1396654074,0.01372475278,0.06387214493
Morrissette_et_al_2023,Big Creek,1,4,3,Avicennia germinans,live,NA,NA,353.68,180,44,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8828065386,0.3122310166,0.149870888,NA,0.3643490033,0.1288629555,0.4410939721,0.05025655264,0.2001274406
Morrissette_et_al_2023,Big Creek,1,4,3,Avicennia germinans,live,NA,NA,353.68,220,51,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6693780846,0.236745641,0.1136379077,NA,0.2651851697,0.09379069083,0.3305363318,0.03657836942,0.1502162771
Morrissette_et_al_2023,Big Creek,1,4,3,Avicennia germinans,live,NA,NA,353.68,140,40,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.799478855,1.697479681,0.814790247,NA,2.54440677,0.8999057863,2.597385468,0.3509632567,1.165753504
Morrissette_et_al_2023,Big Creek,1,4,3,Rhizophora mangle,live,NA,NA,353.68,220,52,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.292661539,0.4571885332,0.2194504959,NA,0.3705826851,0.1310676841,0.5882562172,0.05111639679,0.2705668927
Morrissette_et_al_2023,Big Creek,1,4,3,Rhizophora mangle,live,NA,NA,353.68,220,39,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.628804226,0.5760754788,0.2765162298,NA,0.4984564797,0.1762940877,0.7523695665,0.06875469422,0.345270924
Morrissette_et_al_2023,Big Creek,1,4,3,Rhizophora mangle,live,NA,NA,353.68,250,49,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.997164804,0.7063572479,0.339051479,NA,0.6474196041,0.2289793656,0.9353366135,0.08930195257,0.4283534316
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,dead,3,NA,795.7747,107,NA,4,5,NA,NA,NA,3.978,1708.765,1179.048,0.00117905,0.93825623,7.956,3.166,0.450363,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,5,7,Rhizophora mangle,dead,3,NA,64.9612,220,NA,6,6,NA,NA,NA,8.026,6220.353,4292.044,0.00429204,0.27881632,16.052,0.521,0.1338318,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,dead,3,NA,795.7747,140,NA,2,2,NA,NA,NA,1.198,439.823,303.478,3.0348e-4,0.2415,2.397,0.954,0.11592,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,dead,1,NA,795.7747,190,NA,2.5,7,NA,NA,NA,3.439,NA,NA,NA,NA,3.527,2.736,1.3134312,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,5,7,Rhizophora mangle,dead,3,NA,64.9612,90,NA,6,11,NA,NA,NA,8.026,5254.314,3625.476,0.00362548,0.2355153,16.052,0.521,0.1130473,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,dead,2,NA,795.7747,120,NA,2,3,NA,NA,NA,2.037,NA,NA,NA,NA,2.397,1.621,0.7781627,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,dead,2,NA,795.7747,220,NA,1.37,6.6,NA,NA,NA,1.058,NA,NA,NA,NA,1.245,0.842,0.4042507,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,220,45,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8090238,1.439575371,0.6909961782,NA,0.5702660142,0.4538032664,1.893378638,0.1769832739,0.8679794521
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,175,52,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,1.907261524,0.9154855314,NA,0.8180266921,0.6509649455,2.558226469,0.2538763288,1.16936186
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,300,70,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.835418742,3.847903899,1.846993871,NA,2.012287688,1.601327631,5.44923153,0.6245177762,2.471511648
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,170,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,1.907261524,0.9154855314,NA,0.8180266921,0.6509649455,2.558226469,0.2538763288,1.16936186
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,230,44,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456636429,1.159154417,0.5563941203,NA,0.4319201643,0.3437111391,1.502865556,0.1340473443,0.6904414645
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,160,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,1.907261524,0.9154855314,NA,0.8180266921,0.6509649455,2.558226469,0.2538763288,1.16936186
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,120,40,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.835418742,3.847903899,1.846993871,NA,2.012287688,1.601327631,5.44923153,0.6245177762,2.471511648
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,210,70,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.835418742,3.847903899,1.846993871,NA,2.012287688,1.601327631,5.44923153,0.6245177762,2.471511648
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,180,80,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.628804226,1.296161195,0.6221573734,NA,0.4984564797,0.3966590556,1.69282025,0.1546970317,0.7768544051
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,120,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,1.907261524,0.9154855314,NA,0.8180266921,0.6509649455,2.558226469,0.2538763288,1.16936186
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,180,30,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456636429,1.159154417,0.5563941203,NA,0.4319201643,0.3437111391,1.502865556,0.1340473443,0.6904414645
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,170,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722,0.5745493334,0.27578368,NA,0.175582361,0.1397240006,0.714273334,0.05449236025,0.3302760403
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,140,40,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456636429,1.159154417,0.5563941203,NA,0.4319201643,0.3437111391,1.502865556,0.1340473443,0.6904414645
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,100,60,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.835418742,3.847903899,1.846993871,NA,2.012287688,1.601327631,5.44923153,0.6245177762,2.471511648
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,140,30,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456636429,1.159154417,0.5563941203,NA,0.4319201643,0.3437111391,1.502865556,0.1340473443,0.6904414645
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,140,70,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456636429,1.159154417,0.5563941203,NA,0.4319201643,0.3437111391,1.502865556,0.1340473443,0.6904414645
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,110,40,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456636429,1.159154417,0.5563941203,NA,0.4319201643,0.3437111391,1.502865556,0.1340473443,0.6904414645
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,130,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,1.907261524,0.9154855314,NA,0.8180266921,0.6509649455,2.558226469,0.2538763288,1.16936186
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,190,80,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.607947214,2.075338411,0.9961624375,NA,0.9116071416,0.7254338996,2.800772311,0.2829192209,1.279081658
Morrissette_et_al_2023,Big Creek,1,5,7,Rhizophora mangle,live,NA,NA,64.9612,200,70,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4110681,1.715694677,0.823533445,NA,17.75581681,1.153439167,2.869133844,0.4498412751,1.27337472
Morrissette_et_al_2023,Big Creek,1,5,2,Rhizophora mangle,live,NA,NA,795.7747,220,90,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.956151468,6.331304048,3.039025943,NA,3.811132652,3.032802943,9.36410699,1.182793148,4.22181909
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,2,NA,795.7747,260,NA,3.9,7,NA,NA,NA,6.473,NA,NA,NA,NA,7.615,5.151,2.472409,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,1,NA,795.7747,200,NA,2.7,6.6,NA,NA,NA,3.929,NA,NA,NA,NA,4.029,3.126,1.5005962,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,2,NA,795.7747,130,NA,2,4,NA,NA,NA,2.037,NA,NA,NA,NA,2.397,1.621,0.7781627,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,2,NA,795.7747,220,NA,3.3,6.5,NA,NA,NA,4.847,NA,NA,NA,NA,5.703,3.857,1.8515486,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,1,NA,795.7747,220,NA,4,4,NA,NA,NA,7.757,NA,NA,NA,NA,7.956,6.173,2.9630503,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,2,NA,795.7747,220,NA,3,9,NA,NA,NA,4.11,NA,NA,NA,NA,4.835,3.271,1.5699448,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,2,NA,795.7747,210,NA,2,5,NA,NA,NA,2.037,NA,NA,NA,NA,2.397,1.621,0.7781627,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,1,NA,795.7747,170,NA,2.2,7.5,NA,NA,NA,2.756,NA,NA,NA,NA,2.827,2.193,1.0527054,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,1,NA,795.7747,230,NA,4,7,NA,NA,NA,7.757,NA,NA,NA,NA,7.956,6.173,2.9630503,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,dead,2,NA,795.7747,200,NA,3,5,NA,NA,NA,4.11,NA,NA,NA,NA,4.835,3.271,1.5699448,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,6,7,Rhizophora mangle,live,NA,NA,64.9612,180,152,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.80718084,0.896931036,0.4305268973,NA,7.728337065,0.5020420497,1.398973086,0.1957963994,0.6263232967
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,live,NA,NA,795.7747,130,50,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.835418742,3.847903899,1.846993871,NA,2.012287688,1.601327631,5.44923153,0.6245177762,2.471511648
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,live,NA,NA,795.7747,150,70,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,1.907261524,0.9154855314,NA,0.8180266921,0.6509649455,2.558226469,0.2538763288,1.16936186
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,live,NA,NA,795.7747,180,70,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.835418742,3.847903899,1.846993871,NA,2.012287688,1.601327631,5.44923153,0.6245177762,2.471511648
Morrissette_et_al_2023,Big Creek,1,6,2,Rhizophora mangle,live,NA,NA,795.7747,130,40,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.628804226,1.296161195,0.6221573734,NA,0.4984564797,0.3966590556,1.69282025,0.1546970317,0.7768544051
